year,state,county,subgroup_type,subgroup,index_transportation_cost,index_transportation_cost_quality
2015,01,089,race-ethnicity,Majority White-NH Tracts,27.3384483540858,1
2015,01,089,race-ethnicity,Mixed Race and Ethnicity Tracts,23.479202204435115,1
2015,01,091,race-ethnicity,All,43.580243931892284,1
2015,01,091,race-ethnicity,Majority Non-White Tracts,39.862366333218354,1
2015,01,091,race-ethnicity,Majority White-NH Tracts,44,1
2015,01,091,race-ethnicity,Mixed Race and Ethnicity Tracts,46.369680111265644,1
2015,01,093,race-ethnicity,All,43.810681138902,1
2015,01,093,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,093,race-ethnicity,Majority White-NH Tracts,43.810681138902,1
2015,01,093,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,095,race-ethnicity,All,37.83523539885,1
2015,01,095,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,095,race-ethnicity,Majority White-NH Tracts,37.83523539885,1
2015,01,095,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,097,race-ethnicity,All,30.638960230368124,1
2015,01,097,race-ethnicity,Majority Non-White Tracts,28.629697885196375,1
2015,01,097,race-ethnicity,Majority White-NH Tracts,31.81602689020178,1
2015,01,097,race-ethnicity,Mixed Race and Ethnicity Tracts,28.661715281523588,1
2015,01,099,race-ethnicity,All,51.50808945990959,1
2015,01,099,race-ethnicity,Majority Non-White Tracts,51.06950477845352,1
2015,01,099,race-ethnicity,Majority White-NH Tracts,52.0313630880579,1
2015,01,099,race-ethnicity,Mixed Race and Ethnicity Tracts,51.24784791965567,1
2015,01,101,race-ethnicity,All,27.817953357458787,1
2015,01,101,race-ethnicity,Majority Non-White Tracts,26.428197723087226,1
2015,01,101,race-ethnicity,Majority White-NH Tracts,29.66855750561541,1
2015,01,101,race-ethnicity,Mixed Race and Ethnicity Tracts,28.967637749499385,1
2015,01,103,race-ethnicity,All,31.931566994700983,1
2015,01,103,race-ethnicity,Majority Non-White Tracts,27,1
2015,01,103,race-ethnicity,Majority White-NH Tracts,32.10910086468481,1
2015,01,103,race-ethnicity,Mixed Race and Ethnicity Tracts,30,1
2015,01,105,race-ethnicity,All,54.06811594202899,1
2015,01,105,race-ethnicity,Majority Non-White Tracts,53.19873712196743,1
2015,01,105,race-ethnicity,Majority White-NH Tracts,NA,1
2015,01,105,race-ethnicity,Mixed Race and Ethnicity Tracts,60,1
2015,01,107,race-ethnicity,All,36.66640502354788,1
2015,01,107,race-ethnicity,Majority Non-White Tracts,36,1
2015,01,107,race-ethnicity,Majority White-NH Tracts,37.20368620037807,1
2015,01,107,race-ethnicity,Mixed Race and Ethnicity Tracts,36,1
2015,01,109,race-ethnicity,All,41.84725480994838,1
2015,01,109,race-ethnicity,Majority Non-White Tracts,38,1
2015,01,109,race-ethnicity,Majority White-NH Tracts,42.499504214179474,1
2015,01,109,race-ethnicity,Mixed Race and Ethnicity Tracts,43.52464637805401,1
2015,01,111,race-ethnicity,All,39.87044307347168,1
2015,01,111,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,111,race-ethnicity,Majority White-NH Tracts,39.87044307347168,1
2015,01,111,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,113,race-ethnicity,All,32.794703475563146,1
2015,01,113,race-ethnicity,Majority Non-White Tracts,30.942826486817903,1
2015,01,113,race-ethnicity,Majority White-NH Tracts,33.202069331446765,1
2015,01,113,race-ethnicity,Mixed Race and Ethnicity Tracts,34.49013381719211,1
2015,01,115,race-ethnicity,All,30.857218799837394,1
2015,01,115,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,115,race-ethnicity,Majority White-NH Tracts,30.857218799837394,1
2015,01,115,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,117,race-ethnicity,All,29.506407710435035,1
2015,01,117,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,117,race-ethnicity,Majority White-NH Tracts,29.710691214917073,1
2015,01,117,race-ethnicity,Mixed Race and Ethnicity Tracts,24.94970688059241,1
2015,01,119,race-ethnicity,All,67.19356178608516,1
2015,01,119,race-ethnicity,Majority Non-White Tracts,67.19356178608516,1
2015,01,119,race-ethnicity,Majority White-NH Tracts,NA,1
2015,01,119,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,121,race-ethnicity,All,39.7455766293279,1
2015,01,121,race-ethnicity,Majority Non-White Tracts,35.60663670929831,1
2015,01,121,race-ethnicity,Majority White-NH Tracts,40.66232995300519,1
2015,01,121,race-ethnicity,Mixed Race and Ethnicity Tracts,38.95695045695046,1
2015,01,123,race-ethnicity,All,36.94731360656742,1
2015,01,123,race-ethnicity,Majority Non-White Tracts,38,1
2015,01,123,race-ethnicity,Majority White-NH Tracts,37.23009770943457,1
2015,01,123,race-ethnicity,Mixed Race and Ethnicity Tracts,35.590706556333544,1
2015,01,125,race-ethnicity,All,32.05358176137021,1
2015,01,125,race-ethnicity,Majority Non-White Tracts,29.39046465222349,1
2015,01,125,race-ethnicity,Majority White-NH Tracts,33.4985603350493,1
2015,01,125,race-ethnicity,Mixed Race and Ethnicity Tracts,28.932663207955038,1
2015,01,127,race-ethnicity,All,30.915983126318256,1
2015,01,127,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,127,race-ethnicity,Majority White-NH Tracts,30.915983126318256,1
2015,01,127,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,129,race-ethnicity,All,37.84982879504321,1
2015,01,129,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,129,race-ethnicity,Majority White-NH Tracts,38.16313322918991,1
2015,01,129,race-ethnicity,Mixed Race and Ethnicity Tracts,37,1
2015,01,131,race-ethnicity,All,55.54931043455634,1
2015,01,131,race-ethnicity,Majority Non-White Tracts,55.54931043455634,1
2015,01,131,race-ethnicity,Majority White-NH Tracts,NA,1
2015,01,131,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,133,race-ethnicity,All,44.14650223261748,1
2015,01,133,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,133,race-ethnicity,Majority White-NH Tracts,44.14650223261748,1
2015,01,133,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,02,013,race-ethnicity,All,15,1
2015,02,013,race-ethnicity,Majority Non-White Tracts,15,1
2015,02,013,race-ethnicity,Majority White-NH Tracts,NA,1
2015,02,013,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,02,016,race-ethnicity,All,6.8400702987697715,1
2015,02,016,race-ethnicity,Majority Non-White Tracts,6.8400702987697715,1
2015,02,016,race-ethnicity,Majority White-NH Tracts,NA,1
2015,02,016,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,02,020,race-ethnicity,All,20.637081055383884,1
2015,02,020,race-ethnicity,Majority Non-White Tracts,NA,1
2015,02,020,race-ethnicity,Majority White-NH Tracts,21.602475456148838,1
2015,02,020,race-ethnicity,Mixed Race and Ethnicity Tracts,19.13238943219968,1
2015,02,050,race-ethnicity,All,25.346033868092693,1
2015,02,050,race-ethnicity,Majority Non-White Tracts,25.346033868092693,1
2015,02,050,race-ethnicity,Majority White-NH Tracts,NA,1
2015,02,050,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,02,060,race-ethnicity,All,24,1
2015,02,060,race-ethnicity,Majority Non-White Tracts,NA,1
2015,02,060,race-ethnicity,Majority White-NH Tracts,NA,1
2015,02,060,race-ethnicity,Mixed Race and Ethnicity Tracts,24,1
2015,02,068,race-ethnicity,All,20,1
2015,02,068,race-ethnicity,Majority Non-White Tracts,NA,1
2015,02,068,race-ethnicity,Majority White-NH Tracts,20,1
2015,02,068,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,02,070,race-ethnicity,All,23,1
2015,02,070,race-ethnicity,Majority Non-White Tracts,23,1
2015,02,070,race-ethnicity,Majority White-NH Tracts,NA,1
2015,02,070,race-ethnicity,Mixed Race and Ethnicity Tracts,23,1
2015,02,090,race-ethnicity,All,21.809931988083864,1
2015,02,090,race-ethnicity,Majority Non-White Tracts,NA,1
2015,02,090,race-ethnicity,Majority White-NH Tracts,21.953096848509908,1
2015,02,090,race-ethnicity,Mixed Race and Ethnicity Tracts,19,1
2015,02,100,race-ethnicity,All,28,1
2015,02,100,race-ethnicity,Majority Non-White Tracts,NA,1
2015,02,100,race-ethnicity,Majority White-NH Tracts,28,1
2015,02,100,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,02,105,race-ethnicity,All,28.87443946188341,1
2015,02,105,race-ethnicity,Majority Non-White Tracts,25,1
2015,02,105,race-ethnicity,Majority White-NH Tracts,NA,1
2015,02,105,race-ethnicity,Mixed Race and Ethnicity Tracts,29,1
2015,02,110,race-ethnicity,All,18.83498431566782,1
2015,02,110,race-ethnicity,Majority Non-White Tracts,NA,1
2015,02,110,race-ethnicity,Majority White-NH Tracts,18.767395857575053,1
2015,02,110,race-ethnicity,Mixed Race and Ethnicity Tracts,19,1
2015,02,122,race-ethnicity,All,25.48047474982546,1
2015,02,122,race-ethnicity,Majority Non-White Tracts,NA,1
2015,02,122,race-ethnicity,Majority White-NH Tracts,25.510567402894136,1
2015,02,122,race-ethnicity,Mixed Race and Ethnicity Tracts,24.155136268343817,1
2015,02,130,race-ethnicity,All,23.118283652933357,1
2015,02,130,race-ethnicity,Majority Non-White Tracts,NA,1
2015,02,130,race-ethnicity,Majority White-NH Tracts,25.388414055080723,1
2015,02,130,race-ethnicity,Mixed Race and Ethnicity Tracts,21.60582094273964,1
2015,02,150,race-ethnicity,All,22.994537906925935,1
2015,02,150,race-ethnicity,Majority Non-White Tracts,24,1
2015,02,150,race-ethnicity,Majority White-NH Tracts,23.11727078891258,1
2015,02,150,race-ethnicity,Mixed Race and Ethnicity Tracts,22,1
2015,02,158,race-ethnicity,All,28,1
2015,02,158,race-ethnicity,Majority Non-White Tracts,28,1
2015,02,158,race-ethnicity,Majority White-NH Tracts,NA,1
2015,02,158,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,02,164,race-ethnicity,All,28,1
2015,02,164,race-ethnicity,Majority Non-White Tracts,28,1
2015,02,164,race-ethnicity,Majority White-NH Tracts,NA,1
2015,02,164,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,02,170,race-ethnicity,All,24.069489999356872,1
2015,02,170,race-ethnicity,Majority Non-White Tracts,NA,1
2015,02,170,race-ethnicity,Majority White-NH Tracts,24.069489999356872,1
2015,02,170,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,02,180,race-ethnicity,All,21.465982905982905,1
2015,02,180,race-ethnicity,Majority Non-White Tracts,21,1
2015,02,180,race-ethnicity,Majority White-NH Tracts,NA,1
2015,02,180,race-ethnicity,Mixed Race and Ethnicity Tracts,22,1
2015,02,185,race-ethnicity,All,19.70948012232416,1
2015,02,185,race-ethnicity,Majority Non-White Tracts,19.70948012232416,1
2015,02,185,race-ethnicity,Majority White-NH Tracts,NA,1
2015,02,185,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,02,188,race-ethnicity,All,18.47871781397793,1
2015,02,188,race-ethnicity,Majority Non-White Tracts,18.47871781397793,1
2015,02,188,race-ethnicity,Majority White-NH Tracts,NA,1
2015,02,188,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,02,195,race-ethnicity,All,23,1
2015,02,195,race-ethnicity,Majority Non-White Tracts,NA,1
2015,02,195,race-ethnicity,Majority White-NH Tracts,23,1
2015,02,195,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,02,198,race-ethnicity,All,28.513227513227513,1
2015,02,198,race-ethnicity,Majority Non-White Tracts,23,1
2015,02,198,race-ethnicity,Majority White-NH Tracts,28.05658324265506,1
2015,02,198,race-ethnicity,Mixed Race and Ethnicity Tracts,32,1
2015,02,220,race-ethnicity,All,22.389976958525345,1
2015,02,220,race-ethnicity,Majority Non-White Tracts,NA,1
2015,02,220,race-ethnicity,Majority White-NH Tracts,22.389976958525345,1
2015,02,220,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,02,230,race-ethnicity,All,24,1
2015,02,230,race-ethnicity,Majority Non-White Tracts,NA,1
2015,02,230,race-ethnicity,Majority White-NH Tracts,24,1
2015,02,230,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,02,240,race-ethnicity,All,23.816249409541804,1
2015,02,240,race-ethnicity,Majority Non-White Tracts,NA,1
2015,02,240,race-ethnicity,Majority White-NH Tracts,22,1
2015,02,240,race-ethnicity,Mixed Race and Ethnicity Tracts,27,1
2015,02,261,race-ethnicity,All,21.712292358803985,1
2015,02,261,race-ethnicity,Majority Non-White Tracts,NA,1
2015,02,261,race-ethnicity,Majority White-NH Tracts,21.712292358803985,1
2015,02,261,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,02,275,race-ethnicity,All,27,1
2015,02,275,race-ethnicity,Majority Non-White Tracts,NA,1
2015,02,275,race-ethnicity,Majority White-NH Tracts,27,1
2015,02,275,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,02,282,race-ethnicity,All,20,1
2015,02,282,race-ethnicity,Majority Non-White Tracts,NA,1
2015,02,282,race-ethnicity,Majority White-NH Tracts,NA,1
2015,02,282,race-ethnicity,Mixed Race and Ethnicity Tracts,20,1
2015,02,290,race-ethnicity,All,32.22754793138244,1
2015,02,290,race-ethnicity,Majority Non-White Tracts,31.220770288858322,1
2015,02,290,race-ethnicity,Majority White-NH Tracts,NA,1
2015,02,290,race-ethnicity,Mixed Race and Ethnicity Tracts,35,1
2015,04,001,race-ethnicity,All,50.557596513075964,1
2015,04,001,race-ethnicity,Majority Non-White Tracts,50.67369689665562,1
2015,04,001,race-ethnicity,Majority White-NH Tracts,50.300533689126084,1
2015,04,001,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,04,003,race-ethnicity,All,31.365775729646696,1
2015,04,003,race-ethnicity,Majority Non-White Tracts,NA,1
2015,04,003,race-ethnicity,Majority White-NH Tracts,31.434788922310965,1
2015,04,003,race-ethnicity,Mixed Race and Ethnicity Tracts,26,1
2015,04,005,race-ethnicity,All,31.709539029151205,1
2015,04,005,race-ethnicity,Majority Non-White Tracts,35.186967113276495,1
2015,04,005,race-ethnicity,Majority White-NH Tracts,31.575858156028367,1
2015,04,005,race-ethnicity,Mixed Race and Ethnicity Tracts,27.9337637992085,1
2015,04,007,race-ethnicity,All,37.54330671002917,1
2015,04,007,race-ethnicity,Majority Non-White Tracts,39.77759651984774,1
2015,04,007,race-ethnicity,Majority White-NH Tracts,37.3278447823807,1
2015,04,007,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,04,009,race-ethnicity,All,33.83255771511999,1
2015,04,009,race-ethnicity,Majority Non-White Tracts,38,1
2015,04,009,race-ethnicity,Majority White-NH Tracts,33.433356664333566,1
2015,04,009,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,04,011,race-ethnicity,All,30.88350419384902,1
2015,04,011,race-ethnicity,Majority Non-White Tracts,NA,1
2015,04,011,race-ethnicity,Majority White-NH Tracts,30.88350419384902,1
2015,04,011,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,04,012,race-ethnicity,All,40.136038441003734,1
2015,04,012,race-ethnicity,Majority Non-White Tracts,NA,1
2015,04,012,race-ethnicity,Majority White-NH Tracts,40.96215631757801,1
2015,04,012,race-ethnicity,Mixed Race and Ethnicity Tracts,38.28606018678658,1
2015,04,013,race-ethnicity,All,26.48046124901041,1
2015,04,013,race-ethnicity,Majority Non-White Tracts,26.989480436177036,1
