year,state,place,subgroup_type,subgroup,index_transit_trips,index_transit_trips_quality
2015,06,23182,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,23182,race-ethnicity,Majority White-NH Tracts,42.63,1
2015,06,23182,race-ethnicity,Mixed Race and Ethnicity Tracts,57.64,1
2015,06,24638,race-ethnicity,All,77.9,1
2015,06,24638,race-ethnicity,Majority Non-White Tracts,53.09,1
2015,06,24638,race-ethnicity,Majority White-NH Tracts,92.91,1
2015,06,24638,race-ethnicity,Mixed Race and Ethnicity Tracts,15.03,1
2015,06,24680,race-ethnicity,All,72.89,1
2015,06,24680,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,24680,race-ethnicity,Majority White-NH Tracts,63.27,1
2015,06,24680,race-ethnicity,Mixed Race and Ethnicity Tracts,70.13,1
2015,06,26000,race-ethnicity,All,85.22,1
2015,06,26000,race-ethnicity,Majority Non-White Tracts,72.2,1
2015,06,26000,race-ethnicity,Majority White-NH Tracts,NA,NA
2015,06,26000,race-ethnicity,Mixed Race and Ethnicity Tracts,83.67,1
2015,06,27000,race-ethnicity,All,89.64,1
2015,06,27000,race-ethnicity,Majority Non-White Tracts,81.78,1
2015,06,27000,race-ethnicity,Majority White-NH Tracts,96.89,1
2015,06,27000,race-ethnicity,Mixed Race and Ethnicity Tracts,89.22,1
2015,06,28000,race-ethnicity,All,90.5,1
2015,06,28000,race-ethnicity,Majority Non-White Tracts,70.27,1
2015,06,28000,race-ethnicity,Majority White-NH Tracts,98.27,1
2015,06,28000,race-ethnicity,Mixed Race and Ethnicity Tracts,90.93,1
2015,06,29000,race-ethnicity,All,91.59,1
2015,06,29000,race-ethnicity,Majority Non-White Tracts,82.77,1
2015,06,29000,race-ethnicity,Majority White-NH Tracts,95.7,1
2015,06,29000,race-ethnicity,Mixed Race and Ethnicity Tracts,90.39,1
2015,06,30000,race-ethnicity,All,98.48,1
2015,06,30000,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,30000,race-ethnicity,Majority White-NH Tracts,99.83,1
2015,06,30000,race-ethnicity,Mixed Race and Ethnicity Tracts,97.9,1
2015,06,32548,race-ethnicity,All,98.35,1
2015,06,32548,race-ethnicity,Majority Non-White Tracts,97.68,1
2015,06,32548,race-ethnicity,Majority White-NH Tracts,99.74,1
2015,06,32548,race-ethnicity,Mixed Race and Ethnicity Tracts,98.89,1
2015,06,33000,race-ethnicity,All,91.36,1
2015,06,33000,race-ethnicity,Majority Non-White Tracts,80.84,1
2015,06,33000,race-ethnicity,Majority White-NH Tracts,98.28,1
2015,06,33000,race-ethnicity,Mixed Race and Ethnicity Tracts,89.58,1
2015,06,33182,race-ethnicity,All,80.41,1
2015,06,33182,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,33182,race-ethnicity,Majority White-NH Tracts,94.19,1
2015,06,33182,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,06,33434,race-ethnicity,All,69.13,1
2015,06,33434,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,33434,race-ethnicity,Majority White-NH Tracts,84.9,1
2015,06,33434,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,06,36000,race-ethnicity,All,89.51,1
2015,06,36000,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,36000,race-ethnicity,Majority White-NH Tracts,97.88,1
2015,06,36000,race-ethnicity,Mixed Race and Ethnicity Tracts,92.79,2
2015,06,36448,race-ethnicity,All,76.65,1
2015,06,36448,race-ethnicity,Majority Non-White Tracts,71.9,1
2015,06,36448,race-ethnicity,Majority White-NH Tracts,65.32,1
2015,06,36448,race-ethnicity,Mixed Race and Ethnicity Tracts,73.88,1
2015,06,36546,race-ethnicity,All,98.55,1
2015,06,36546,race-ethnicity,Majority Non-White Tracts,98.47,1
2015,06,36546,race-ethnicity,Majority White-NH Tracts,99.81,1
2015,06,36546,race-ethnicity,Mixed Race and Ethnicity Tracts,98.38,1
2015,06,36770,race-ethnicity,All,87.86,1
2015,06,36770,race-ethnicity,Majority Non-White Tracts,60.05,1
2015,06,36770,race-ethnicity,Majority White-NH Tracts,96.85,1
2015,06,36770,race-ethnicity,Mixed Race and Ethnicity Tracts,86.55,1
2015,06,37692,race-ethnicity,All,NA,NA
2015,06,37692,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,37692,race-ethnicity,Majority White-NH Tracts,NA,NA
2015,06,37692,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,06,39496,race-ethnicity,All,80.47,1
2015,06,39496,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,39496,race-ethnicity,Majority White-NH Tracts,93.66,1
2015,06,39496,race-ethnicity,Mixed Race and Ethnicity Tracts,76.6,1
2015,06,39892,race-ethnicity,All,97.16,1
2015,06,39892,race-ethnicity,Majority Non-White Tracts,95.8,1
2015,06,39892,race-ethnicity,Majority White-NH Tracts,99.63,1
2015,06,39892,race-ethnicity,Mixed Race and Ethnicity Tracts,97.78,1
2015,06,40130,race-ethnicity,All,67.88,1
2015,06,40130,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,40130,race-ethnicity,Majority White-NH Tracts,65.45,1
2015,06,40130,race-ethnicity,Mixed Race and Ethnicity Tracts,77.33,1
2015,06,41992,race-ethnicity,All,63.56,1
2015,06,41992,race-ethnicity,Majority Non-White Tracts,3.14,2
2015,06,41992,race-ethnicity,Majority White-NH Tracts,79.54,1
2015,06,41992,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,06,43000,race-ethnicity,All,99.8,1
2015,06,43000,race-ethnicity,Majority Non-White Tracts,98.96,1
2015,06,43000,race-ethnicity,Majority White-NH Tracts,99.94,1
2015,06,43000,race-ethnicity,Mixed Race and Ethnicity Tracts,99.94,1
2015,06,44000,race-ethnicity,All,99.27,1
2015,06,44000,race-ethnicity,Majority Non-White Tracts,99.85,1
2015,06,44000,race-ethnicity,Majority White-NH Tracts,99.79,1
2015,06,44000,race-ethnicity,Mixed Race and Ethnicity Tracts,99.31,1
2015,06,45484,race-ethnicity,All,38.46,1
2015,06,45484,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,45484,race-ethnicity,Majority White-NH Tracts,51.3,1
2015,06,45484,race-ethnicity,Mixed Race and Ethnicity Tracts,23.52,1
2015,06,46842,race-ethnicity,All,65.9,1
2015,06,46842,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,46842,race-ethnicity,Majority White-NH Tracts,82.15,1
2015,06,46842,race-ethnicity,Mixed Race and Ethnicity Tracts,38.79,1
2015,06,46898,race-ethnicity,All,77.37,1
2015,06,46898,race-ethnicity,Majority Non-White Tracts,66.62,1
2015,06,46898,race-ethnicity,Majority White-NH Tracts,94.53,1
2015,06,46898,race-ethnicity,Mixed Race and Ethnicity Tracts,65.72,1
2015,06,47766,race-ethnicity,All,81.46,1
2015,06,47766,race-ethnicity,Majority Non-White Tracts,67.85,1
2015,06,47766,race-ethnicity,Majority White-NH Tracts,9.74,1
2015,06,47766,race-ethnicity,Mixed Race and Ethnicity Tracts,4.62,2
2015,06,48256,race-ethnicity,All,81.4,1
2015,06,48256,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,48256,race-ethnicity,Majority White-NH Tracts,94.74,1
2015,06,48256,race-ethnicity,Mixed Race and Ethnicity Tracts,84.81,2
2015,06,48354,race-ethnicity,All,89.18,1
2015,06,48354,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,48354,race-ethnicity,Majority White-NH Tracts,97.85,1
2015,06,48354,race-ethnicity,Mixed Race and Ethnicity Tracts,85.56,1
2015,06,49270,race-ethnicity,All,80.15,1
2015,06,49270,race-ethnicity,Majority Non-White Tracts,63.01,1
2015,06,49270,race-ethnicity,Majority White-NH Tracts,82.21,1
2015,06,49270,race-ethnicity,Mixed Race and Ethnicity Tracts,76.34,1
2015,06,49670,race-ethnicity,All,92.22,1
2015,06,49670,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,49670,race-ethnicity,Majority White-NH Tracts,98.55,1
2015,06,49670,race-ethnicity,Mixed Race and Ethnicity Tracts,92.34,1
2015,06,50076,race-ethnicity,All,67.78,1
2015,06,50076,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,50076,race-ethnicity,Majority White-NH Tracts,84.82,1
2015,06,50076,race-ethnicity,Mixed Race and Ethnicity Tracts,57.94,1
2015,06,50258,race-ethnicity,All,66.49,1
2015,06,50258,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,50258,race-ethnicity,Majority White-NH Tracts,82.12,1
2015,06,50258,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,06,51182,race-ethnicity,All,87.01,1
2015,06,51182,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,51182,race-ethnicity,Majority White-NH Tracts,97.15,1
2015,06,51182,race-ethnicity,Mixed Race and Ethnicity Tracts,86.82,2
2015,06,52526,race-ethnicity,All,95.98,1
2015,06,52526,race-ethnicity,Majority Non-White Tracts,86.32,1
2015,06,52526,race-ethnicity,Majority White-NH Tracts,98.93,1
2015,06,52526,race-ethnicity,Mixed Race and Ethnicity Tracts,97.18,1
2015,06,53000,race-ethnicity,All,97.3,1
2015,06,53000,race-ethnicity,Majority Non-White Tracts,96.79,1
2015,06,53000,race-ethnicity,Majority White-NH Tracts,99.41,1
2015,06,53000,race-ethnicity,Mixed Race and Ethnicity Tracts,98.26,1
2015,06,53322,race-ethnicity,All,94.06,1
2015,06,53322,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,53322,race-ethnicity,Majority White-NH Tracts,99.02,1
2015,06,53322,race-ethnicity,Mixed Race and Ethnicity Tracts,89.61,1
2015,06,53896,race-ethnicity,All,78.36,1
2015,06,53896,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,53896,race-ethnicity,Majority White-NH Tracts,95.79,1
2015,06,53896,race-ethnicity,Mixed Race and Ethnicity Tracts,70.82,1
2015,06,53980,race-ethnicity,All,88.92,1
2015,06,53980,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,53980,race-ethnicity,Majority White-NH Tracts,97.14,1
2015,06,53980,race-ethnicity,Mixed Race and Ethnicity Tracts,93.97,1
2015,06,54652,race-ethnicity,All,76.58,1
2015,06,54652,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,54652,race-ethnicity,Majority White-NH Tracts,91.3,1
2015,06,54652,race-ethnicity,Mixed Race and Ethnicity Tracts,71.8,1
2015,06,55156,race-ethnicity,All,48.09,1
2015,06,55156,race-ethnicity,Majority Non-White Tracts,50.32,1
2015,06,55156,race-ethnicity,Majority White-NH Tracts,21.84,2
2015,06,55156,race-ethnicity,Mixed Race and Ethnicity Tracts,30.73,1
2015,06,56000,race-ethnicity,All,99.01,1
2015,06,56000,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,56000,race-ethnicity,Majority White-NH Tracts,99.81,1
2015,06,56000,race-ethnicity,Mixed Race and Ethnicity Tracts,99.46,1
2015,06,56700,race-ethnicity,All,70.51,1
2015,06,56700,race-ethnicity,Majority Non-White Tracts,41.23,1
2015,06,56700,race-ethnicity,Majority White-NH Tracts,61.12,2
2015,06,56700,race-ethnicity,Mixed Race and Ethnicity Tracts,70.07,1
2015,06,57456,race-ethnicity,All,64.45,1
2015,06,57456,race-ethnicity,Majority Non-White Tracts,45.95,1
2015,06,57456,race-ethnicity,Majority White-NH Tracts,NA,NA
2015,06,57456,race-ethnicity,Mixed Race and Ethnicity Tracts,54.07,1
2015,06,57792,race-ethnicity,All,66.56,1
2015,06,57792,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,57792,race-ethnicity,Majority White-NH Tracts,80.47,1
2015,06,57792,race-ethnicity,Mixed Race and Ethnicity Tracts,67.22,1
2015,06,58072,race-ethnicity,All,89.71,1
2015,06,58072,race-ethnicity,Majority Non-White Tracts,80.54,1
2015,06,58072,race-ethnicity,Majority White-NH Tracts,98.3,1
2015,06,58072,race-ethnicity,Mixed Race and Ethnicity Tracts,82.8,1
2015,06,59444,race-ethnicity,All,90.77,1
2015,06,59444,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,59444,race-ethnicity,Majority White-NH Tracts,98.71,1
2015,06,59444,race-ethnicity,Mixed Race and Ethnicity Tracts,83.31,1
2015,06,59451,race-ethnicity,All,72.82,1
2015,06,59451,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,59451,race-ethnicity,Majority White-NH Tracts,91.25,1
2015,06,59451,race-ethnicity,Mixed Race and Ethnicity Tracts,62.95,1
2015,06,59920,race-ethnicity,All,70.65,1
2015,06,59920,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,59920,race-ethnicity,Majority White-NH Tracts,86.85,1
2015,06,59920,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,06,60102,race-ethnicity,All,85.42,1
2015,06,60102,race-ethnicity,Majority Non-White Tracts,NA,NA
