year,state,county,r_black_nh_hv_hh,black_nh_wealth_quality,r_hispanic_hv_hh,hispanic_wealth_quality,r_other_nh_hv_hh,other_nh_wealth_quality,r_white_nh_hv_hh,white_nh_wealth_quality
2014,02,150,0.2%:0.3%,3,2.4%:3.6%,3,41.4%:56.1%,3,55.9%:40.0%,3
2014,02,164,0.2%:0.3%,3,2.4%:3.6%,3,41.4%:56.1%,3,55.9%:40.0%,3
2014,02,170,0.4%:0.4%,3,2.5%:3.4%,3,8.5%:9.9%,2,88.6%:86.3%,2
2014,02,180,0.2%:0.3%,3,2.4%:3.6%,3,41.4%:56.1%,3,55.9%:40.0%,3
2014,02,185,0.2%:0.3%,3,2.4%:3.6%,3,41.4%:56.1%,3,55.9%:40.0%,3
2014,02,188,0.2%:0.3%,3,2.4%:3.6%,3,41.4%:56.1%,3,55.9%:40.0%,3
2014,02,195,0.2%:0.3%,3,2.4%:3.6%,3,41.4%:56.1%,3,55.9%:40.0%,3
2014,02,198,0.2%:0.3%,3,2.4%:3.6%,3,41.4%:56.1%,3,55.9%:40.0%,3
2014,02,220,0.2%:0.3%,3,2.4%:3.6%,3,41.4%:56.1%,3,55.9%:40.0%,3
2014,02,230,1.4%:4.1%,3,3.1%:4.2%,3,9.8%:13.5%,3,85.7%:78.2%,3
2014,02,240,1.4%:4.1%,3,3.1%:4.2%,3,9.8%:13.5%,3,85.7%:78.2%,3
2014,02,261,1.4%:4.1%,3,3.1%:4.2%,3,9.8%:13.5%,3,85.7%:78.2%,3
2014,02,270,0.2%:0.3%,3,2.4%:3.6%,3,41.4%:56.1%,3,55.9%:40.0%,3
2014,02,275,0.2%:0.3%,3,2.4%:3.6%,3,41.4%:56.1%,3,55.9%:40.0%,3
2014,02,282,0.2%:0.3%,3,2.4%:3.6%,3,41.4%:56.1%,3,55.9%:40.0%,3
2014,02,290,0.2%:0.3%,3,2.4%:3.6%,3,41.4%:56.1%,3,55.9%:40.0%,3
2014,04,001,0.2%:0.3%,3,3.4%:7.1%,3,31.4%:47.8%,2,65.1%:44.8%,2
2014,04,003,1.5%:2.4%,3,23.4%:35.8%,2,3.5%:3.8%,3,71.6%:58.0%,2
2014,04,005,0.7%:1.3%,3,7.7%:11.5%,3,11.2%:24.2%,1,80.4%:63.1%,1
2014,04,007,0.4%:0.9%,3,19.4%:26.5%,2,3.5%:10.3%,2,76.7%:62.3%,2
2014,04,009,0.4%:0.9%,3,19.4%:26.5%,3,3.5%:10.3%,3,76.7%:62.3%,3
2014,04,011,0.4%:0.9%,3,19.4%:26.5%,3,3.5%:10.3%,3,76.7%:62.3%,3
2014,04,012,1.6%:1.4%,3,8.4%:11.4%,3,2.4%:4.4%,3,87.6%:82.8%,3
2014,04,013,1.9%:5.2%,1,10.0%:21.6%,1,5.9%:6.3%,1,82.2%:66.9%,1
2014,04,015,1.6%:1.4%,3,8.4%:11.4%,1,2.4%:4.4%,1,87.6%:82.8%,1
2014,04,017,0.2%:0.3%,3,3.4%:7.1%,3,31.4%:47.8%,2,65.1%:44.8%,2
2014,04,019,1.4%:2.7%,1,16.0%:27.4%,1,4.7%:6.1%,1,77.9%:63.7%,1
2014,04,021,1.9%:3.5%,3,10.9%:20.1%,1,2.7%:7.3%,1,84.5%:69.1%,1
2014,04,023,1.5%:2.4%,3,23.4%:35.8%,3,3.5%:3.8%,3,71.6%:58.0%,3
2014,04,025,0.2%:0.4%,3,6.3%:9.5%,1,3.7%:3.5%,3,89.8%:86.6%,1
2014,04,027,2.1%:2.2%,3,40.8%:52.0%,1,1.0%:2.9%,3,56.2%:43.0%,1
2014,05,001,23.6%:39.0%,3,0.6%:2.7%,3,2.2%:1.2%,3,73.6%:57.1%,3
2014,05,003,16.4%:31.3%,3,1.8%:5.1%,3,0.9%:0.6%,3,80.8%:63.0%,3
2014,05,005,0.0%:0.0%,3,1.6%:2.3%,3,1.7%:2.4%,3,96.6%:95.3%,3
2014,05,007,0.7%:1.9%,3,5.5%:11.8%,1,3.9%:6.1%,3,89.9%:80.1%,1
2014,05,009,0.0%:0.0%,3,1.6%:2.3%,3,1.7%:2.4%,3,96.6%:95.3%,3
2014,05,011,16.4%:31.3%,3,1.8%:5.1%,3,0.9%:0.6%,3,80.8%:63.0%,3
2014,05,013,19.4%:37.4%,3,0.4%:1.1%,3,0.5%:1.3%,3,79.6%:60.2%,3
2014,05,015,0.0%:0.0%,3,1.6%:2.3%,3,1.7%:2.4%,3,96.6%:95.3%,3
2014,05,017,16.4%:31.3%,3,1.8%:5.1%,3,0.9%:0.6%,3,80.8%:63.0%,3
2014,05,019,3.7%:10.1%,3,0.5%:2.1%,3,1.1%:1.8%,3,94.6%:86.1%,3
2014,05,021,1.6%:5.2%,3,0.8%:2.1%,3,0.5%:4.1%,3,97.1%:88.7%,3
2014,05,023,1.6%:0.9%,3,0.5%:1.9%,3,0.6%:2.3%,3,97.3%:94.9%,3
2014,05,025,16.4%:31.3%,3,1.8%:5.1%,3,0.9%:0.6%,3,80.8%:63.0%,3
2014,05,027,19.4%:37.4%,3,0.4%:1.1%,3,0.5%:1.3%,3,79.6%:60.2%,3
2014,05,029,3.4%:3.6%,3,2.9%:6.7%,3,2.0%:2.5%,3,91.7%:87.2%,3
2014,05,031,2.5%:8.3%,2,0.9%:2.3%,3,0.4%:3.8%,3,96.2%:85.6%,2
2014,05,033,1.5%:5.4%,3,3.0%:6.0%,3,10.7%:6.9%,3,84.9%:81.7%,3
2014,05,035,16.7%:38.1%,2,1.7%:4.3%,3,0.2%:0.6%,3,81.5%:57.0%,2
2014,05,037,22.0%:36.1%,3,0.5%:1.5%,3,0.5%:1.6%,3,77.0%:60.7%,3
2014,05,039,19.4%:37.4%,3,0.4%:1.1%,3,0.5%:1.3%,3,79.6%:60.2%,3
2014,05,041,16.4%:31.3%,3,1.8%:5.1%,3,0.9%:0.6%,3,80.8%:63.0%,3
2014,05,043,16.4%:31.3%,3,1.8%:5.1%,3,0.9%:0.6%,3,80.8%:63.0%,3
2014,05,045,5.7%:8.5%,3,3.5%:2.7%,3,0.9%:2.6%,3,89.9%:86.2%,2
2014,05,047,2.1%:3.8%,3,2.1%:7.0%,3,1.2%:3.4%,3,94.6%:85.7%,3
2014,05,049,1.6%:0.9%,3,0.5%:1.9%,3,0.6%:2.3%,3,97.3%:94.9%,3
2014,05,051,3.7%:10.1%,2,0.5%:2.1%,3,1.1%:1.8%,3,94.6%:86.1%,2
2014,05,053,27.2%:44.3%,3,0.0%:1.1%,3,2.8%:1.6%,3,70.0%:53.0%,3
2014,05,055,1.6%:5.2%,3,0.8%:2.1%,3,0.5%:4.1%,3,97.1%:88.7%,3
2014,05,057,11.8%:24.7%,3,1.3%:3.3%,3,2.0%:1.1%,3,84.9%:70.8%,3
2014,05,059,3.7%:10.1%,3,0.5%:2.1%,3,1.1%:1.8%,3,94.6%:86.1%,3
2014,05,061,2.1%:3.8%,3,2.1%:7.0%,3,1.2%:3.4%,3,94.6%:85.7%,3
2014,05,063,1.6%:0.9%,3,0.5%:1.9%,3,0.6%:2.3%,3,97.3%:94.9%,3
2014,05,065,1.6%:0.9%,3,0.5%:1.9%,3,0.6%:2.3%,3,97.3%:94.9%,3
2014,05,067,3.7%:8.0%,3,0.4%:2.6%,3,0.3%:1.3%,3,95.7%:88.0%,3
2014,05,069,27.2%:44.3%,2,0.0%:1.1%,3,2.8%:1.6%,3,70.0%:53.0%,2
2014,05,071,3.4%:3.6%,3,2.9%:6.7%,3,2.0%:2.5%,3,91.7%:87.2%,3
2014,05,073,11.8%:24.7%,3,1.3%:3.3%,3,2.0%:1.1%,3,84.9%:70.8%,3
2014,05,075,1.6%:5.2%,3,0.8%:2.1%,3,0.5%:4.1%,3,97.1%:88.7%,3
2014,05,077,22.0%:36.1%,3,0.5%:1.5%,3,0.5%:1.6%,3,77.0%:60.7%,3
2014,05,079,16.4%:31.3%,3,1.8%:5.1%,3,0.9%:0.6%,3,80.8%:63.0%,3
2014,05,081,11.8%:24.7%,3,1.3%:3.3%,3,2.0%:1.1%,3,84.9%:70.8%,3
2014,05,083,2.1%:3.8%,3,2.1%:7.0%,3,1.2%:3.4%,3,94.6%:85.7%,3
2014,05,085,5.7%:8.5%,3,3.5%:2.7%,3,0.9%:2.6%,3,89.9%:86.2%,2
2014,05,087,0.0%:0.0%,3,1.6%:2.3%,3,1.7%:2.4%,3,96.6%:95.3%,3
2014,05,089,0.0%:0.0%,3,1.6%:2.3%,3,1.7%:2.4%,3,96.6%:95.3%,3
2014,05,091,11.8%:24.7%,2,1.3%:3.3%,3,2.0%:1.1%,3,84.9%:70.8%,2
2014,05,093,16.7%:38.1%,2,1.7%:4.3%,3,0.2%:0.6%,3,81.5%:57.0%,2
2014,05,095,22.0%:36.1%,3,0.5%:1.5%,3,0.5%:1.6%,3,77.0%:60.7%,3
2014,05,097,3.7%:10.1%,3,0.5%:2.1%,3,1.1%:1.8%,3,94.6%:86.1%,3
2014,05,099,11.8%:24.7%,3,1.3%:3.3%,3,2.0%:1.1%,3,84.9%:70.8%,3
2014,05,101,0.0%:0.0%,3,1.6%:2.3%,3,1.7%:2.4%,3,96.6%:95.3%,3
2014,05,103,19.4%:37.4%,3,0.4%:1.1%,3,0.5%:1.3%,3,79.6%:60.2%,3
2014,05,105,3.4%:3.6%,3,2.9%:6.7%,3,2.0%:2.5%,3,91.7%:87.2%,3
2014,05,107,22.0%:36.1%,3,0.5%:1.5%,3,0.5%:1.6%,3,77.0%:60.7%,3
2014,05,109,11.8%:24.7%,3,1.3%:3.3%,3,2.0%:1.1%,3,84.9%:70.8%,3
2014,05,111,22.0%:36.1%,3,0.5%:1.5%,3,0.5%:1.6%,3,77.0%:60.7%,3
2014,05,113,2.1%:3.8%,3,2.1%:7.0%,3,1.2%:3.4%,3,94.6%:85.7%,3
2014,05,115,3.4%:3.6%,3,2.9%:6.7%,3,2.0%:2.5%,3,91.7%:87.2%,2
2014,05,117,3.7%:8.0%,3,0.4%:2.6%,3,0.3%:1.3%,3,95.7%:88.0%,3
2014,05,119,15.4%:35.1%,1,2.3%:3.9%,3,3.6%:3.5%,1,78.7%:57.5%,1
2014,05,121,1.6%:5.2%,3,0.8%:2.1%,3,0.5%:4.1%,3,97.1%:88.7%,3
2014,05,123,22.0%:36.1%,3,0.5%:1.5%,3,0.5%:1.6%,3,77.0%:60.7%,3
2014,05,125,2.8%:6.3%,3,3.0%:3.3%,3,0.7%:0.9%,3,93.4%:89.5%,1
2014,05,127,2.1%:3.8%,3,2.1%:7.0%,3,1.2%:3.4%,3,94.6%:85.7%,3
2014,05,129,0.0%:0.0%,3,1.6%:2.3%,3,1.7%:2.4%,3,96.6%:95.3%,3
2014,05,131,1.5%:5.4%,3,3.0%:6.0%,3,10.7%:6.9%,3,84.9%:81.7%,2
2014,05,133,2.1%:3.8%,3,2.1%:7.0%,3,1.2%:3.4%,3,94.6%:85.7%,3
2014,05,135,1.6%:0.9%,3,0.5%:1.9%,3,0.6%:2.3%,3,97.3%:94.9%,3
2014,05,137,1.6%:0.9%,3,0.5%:1.9%,3,0.6%:2.3%,3,97.3%:94.9%,3
2014,05,139,19.4%:37.4%,2,0.4%:1.1%,3,0.5%:1.3%,3,79.6%:60.2%,2
2014,05,141,1.6%:0.9%,3,0.5%:1.9%,3,0.6%:2.3%,3,97.3%:94.9%,3
2014,05,143,3.1%:5.2%,3,4.4%:10.6%,3,4.1%:6.6%,3,88.4%:77.6%,1
2014,05,145,3.7%:8.0%,3,0.4%:2.6%,3,0.3%:1.3%,3,95.7%:88.0%,2
2014,05,147,3.7%:8.0%,3,0.4%:2.6%,3,0.3%:1.3%,3,95.7%:88.0%,3
2014,05,149,3.4%:3.6%,3,2.9%:6.7%,3,2.0%:2.5%,3,91.7%:87.2%,3
2014,06,001,5.7%:13.0%,1,8.1%:16.3%,1,33.8%:29.9%,1,52.3%:40.8%,1
2014,06,003,0.6%:0.4%,3,3.7%:6.5%,3,1.6%:4.4%,3,94.2%:88.7%,3
2014,06,005,0.6%:0.4%,3,3.7%:6.5%,3,1.6%:4.4%,3,94.2%:88.7%,3
2014,06,007,0.2%:1.1%,3,7.7%:12.2%,1,5.5%:6.5%,1,86.5%:80.2%,1
2014,06,009,0.6%:0.4%,3,3.7%:6.5%,3,1.6%:4.4%,3,94.2%:88.7%,3
2014,06,011,8.2%:0.9%,3,11.8%:21.8%,3,4.4%:5.7%,3,75.6%:71.6%,3
2014,06,013,3.0%:8.9%,1,8.7%:18.4%,1,19.3%:18.2%,1,69.1%:54.5%,1
2014,06,015,2.3%:1.0%,3,3.6%:7.3%,3,5.5%:8.6%,3,88.5%:83.1%,3
2014,06,017,0.2%:0.1%,3,6.7%:9.8%,3,7.6%:6.9%,3,85.6%:83.2%,1
2014,06,019,2.8%:4.9%,1,26.5%:44.2%,1,11.9%:10.5%,1,58.8%:40.4%,1
2014,06,021,8.2%:0.9%,3,11.8%:21.8%,3,4.4%:5.7%,3,75.6%:71.6%,3
2014,06,023,0.3%:1.3%,3,2.0%:6.4%,3,6.7%:11.3%,1,91.0%:80.9%,1
2014,06,025,1.3%:1.0%,3,68.3%:73.9%,1,3.4%:4.5%,3,27.0%:20.7%,1
2014,06,027,0.6%:0.4%,3,3.7%:6.5%,3,1.6%:4.4%,3,94.2%:88.7%,3
2014,06,029,2.0%:4.5%,1,29.1%:41.6%,1,9.9%:6.7%,1,59.1%:47.2%,1
2014,06,031,4.4%:4.2%,3,29.7%:46.8%,1,5.7%:5.5%,3,60.2%:43.6%,1
2014,06,033,0.3%:1.2%,3,7.7%:14.9%,2,6.0%:6.6%,2,86.0%:77.2%,2
2014,06,035,2.3%:1.0%,3,3.6%:7.3%,3,5.5%:8.6%,3,88.5%:83.1%,3
2014,06,037,4.5%:9.5%,1,19.9%:37.1%,1,19.7%:17.1%,1,55.9%:36.2%,1
2014,06,039,4.2%:3.3%,3,28.5%:45.0%,1,3.8%:3.8%,3,63.4%:47.9%,1
2014,06,041,0.8%:1.7%,3,4.1%:9.5%,3,4.5%:7.4%,1,90.6%:81.4%,1
2014,06,043,0.6%:0.4%,3,3.7%:6.5%,3,1.6%:4.4%,3,94.2%:88.7%,3
2014,06,045,0.3%:1.2%,3,7.7%:14.9%,2,6.0%:6.6%,2,86.0%:77.2%,2
2014,06,047,1.8%:3.7%,3,35.2%:48.1%,1,11.1%:8.3%,1,51.9%:39.9%,1
2014,06,049,2.3%:1.0%,3,3.6%:7.3%,3,5.5%:8.6%,3,88.5%:83.1%,3
2014,06,051,0.6%:0.4%,3,3.7%:6.5%,3,1.6%:4.4%,3,94.2%:88.7%,3
2014,06,053,2.3%:2.1%,3,17.4%:40.3%,1,7.0%:9.1%,1,73.3%:48.6%,1
2014,06,055,1.7%:3.9%,3,10.3%:25.5%,1,5.4%:6.9%,1,82.6%:63.7%,1
2014,06,057,0.0%:0.0%,3,1.8%:3.8%,3,4.5%:5.1%,3,93.7%:91.1%,1
2014,06,059,0.8%:1.6%,1,11.8%:24.1%,1,20.1%:20.6%,1,67.3%:53.7%,1
2014,06,061,1.6%:1.6%,3,6.1%:9.7%,1,11.1%:9.1%,1,81.2%:79.6%,1
2014,06,063,2.3%:1.0%,3,3.6%:7.3%,3,5.5%:8.6%,3,88.5%:83.1%,3
2014,06,065,5.1%:6.4%,1,24.4%:35.7%,1,9.7%:8.2%,1,60.8%:49.7%,1
2014,06,067,5.0%:9.8%,1,11.7%:17.0%,1,17.8%:17.4%,1,65.6%:55.8%,1
2014,06,069,0.8%:0.4%,3,41.7%:63.8%,2,2.0%:3.1%,3,55.5%:32.7%,2
2014,06,071,6.3%:8.9%,1,32.7%:40.8%,1,13.7%:9.3%,1,47.3%:41.1%,1
2014,06,073,2.0%:4.8%,1,12.9%:24.6%,1,13.6%:13.3%,1,71.5%:57.2%,1
2014,06,075,1.8%:4.6%,1,6.7%:12.0%,1,34.6%:33.0%,1,56.9%:50.4%,1
2014,06,077,2.7%:8.0%,1,18.1%:31.1%,1,19.3%:16.5%,1,59.9%:44.3%,1
2014,06,079,1.0%:1.2%,3,7.2%:15.7%,1,2.6%:4.2%,3,89.1%:78.9%,1
2014,06,081,1.0%:2.5%,3,8.5%:18.8%,1,23.5%:28.3%,1,66.9%:50.4%,1
2014,06,083,0.7%:1.4%,3,12.9%:32.8%,1,5.1%:7.1%,1,81.4%:58.8%,1
2014,06,085,0.7%:2.8%,1,8.5%:19.6%,1,35.3%:35.4%,1,55.5%:42.2%,1
2014,06,087,0.2%:0.3%,3,10.0%:24.1%,1,8.0%:8.6%,1,81.9%:66.9%,1
2014,06,089,0.0%:0.8%,3,3.4%:6.3%,3,5.6%:6.2%,1,91.0%:86.7%,1
2014,06,091,0.0%:0.0%,3,1.8%:3.8%,3,4.5%:5.1%,3,93.7%:91.1%,3
2014,06,093,2.3%:1.0%,3,3.6%:7.3%,3,5.5%:8.6%,3,88.5%:83.1%,3
2014,06,095,12.5%:15.1%,1,13.4%:19.1%,1,17.6%:17.1%,1,56.5%:48.6%,1
2014,06,097,0.3%:0.7%,3,10.2%:16.8%,1,4.3%:6.3%,1,85.1%:76.2%,1
2014,06,099,1.7%:2.6%,3,23.4%:33.6%,1,8.8%:9.2%,1,66.2%:54.6%,1
2014,06,101,1.4%:2.9%,3,13.7%:26.3%,2,10.4%:10.3%,2,74.5%:60.4%,2
2014,06,103,8.2%:0.9%,3,11.8%:21.8%,2,4.4%:5.7%,3,75.6%:71.6%,2
2014,06,105,8.2%:0.9%,3,11.8%:21.8%,3,4.4%:5.7%,3,75.6%:71.6%,3
2014,06,107,0.4%:1.3%,3,36.9%:51.9%,1,6.8%:4.9%,1,55.8%:41.8%,1
2014,06,109,0.6%:0.4%,3,3.7%:6.5%,3,1.6%:4.4%,3,94.2%:88.7%,3
2014,06,111,1.2%:1.4%,3,15.8%:30.6%,1,10.6%:8.8%,1,72.5%:59.2%,1
2014,06,113,1.5%:3.3%,3,12.2%:21.9%,1,13.5%:15.2%,1,72.7%:59.7%,1
2014,06,115,1.4%:2.9%,3,13.7%:26.3%,2,10.4%:10.3%,2,74.5%:60.4%,2
2014,08,001,2.3%:2.3%,1,20.1%:29.0%,1,5.4%:5.7%,1,72.2%:63.1%,1
2014,08,003,0.0%:0.6%,3,31.5%:41.5%,3,3.2%:2.4%,3,65.3%:55.5%,3
2014,08,005,5.3%:9.2%,1,5.8%:14.3%,1,5.1%:6.5%,1,83.8%:70.0%,1
2014,08,007,0.0%:0.1%,3,5.0%:9.9%,3,2.6%:5.8%,3,92.5%:84.1%,3
2014,08,009,0.0%:0.6%,3,31.5%:41.5%,3,3.2%:2.4%,3,65.3%:55.5%,3
2014,08,011,0.0%:0.8%,3,7.2%:16.8%,3,1.4%:1.2%,3,91.4%:81.3%,3
