year,state,place,r_black_nh_hv_hh,black_nh_wealth_quality,r_hispanic_hv_hh,hispanic_wealth_quality,r_other_nh_hv_hh,other_nh_wealth_quality,r_white_nh_hv_hh,white_nh_wealth_quality
2014,06,2252,9.2%:17.7%,2,15.4%:25.3%,2,17.4%:13.8%,2,58.0%:43.2%,2
2014,06,2364,4.3%:6.5%,3,24.9%:31.4%,3,8.5%:5.1%,3,62.3%:57.0%,3
2014,06,3526,3.1%:6.1%,2,30.0%:42.0%,2,9.8%:6.9%,2,57.0%:45.0%,2
2014,06,4982,5.2%:13.8%,3,52.0%:54.7%,2,15.5%:13.6%,2,27.4%:17.8%,2
2014,06,6000,2.6%:8.3%,2,2.9%:7.2%,2,12.8%:21.6%,2,81.7%:62.9%,2
2014,06,8786,1.6%:3.7%,3,14.1%:23.5%,3,23.8%:25.4%,3,60.5%:47.3%,3
2014,06,8954,0.0%:0.5%,3,16.0%:21.4%,2,12.4%:14.6%,2,71.6%:63.5%,2
2014,06,11194,0.1%:1.0%,3,9.8%:12.1%,1,9.7%:9.0%,1,80.5%:77.9%,1
2014,06,11530,25.2%:24.5%,1,32.4%:35.3%,1,30.1%:28.6%,1,12.4%:11.5%,1
2014,06,13014,0.4%:1.3%,3,5.0%:11.6%,3,4.2%:6.4%,3,90.4%:80.7%,3
2014,06,13210,4.2%:4.9%,3,29.8%:38.8%,2,28.9%:23.6%,2,37.1%:32.7%,2
2014,06,13214,3.9%:4.6%,2,27.7%:37.0%,2,28.6%:23.5%,2,39.9%:34.9%,2
2014,06,13392,1.4%:4.5%,2,41.7%:51.1%,2,24.3%:17.2%,2,32.6%:27.2%,2
2014,06,13588,1.1%:2.1%,3,7.3%:12.6%,1,4.8%:4.9%,1,86.8%:80.5%,1
2014,06,14218,1.5%:2.9%,3,17.5%:25.1%,2,14.3%:11.5%,2,66.7%:60.5%,2
2014,06,15044,42.0%:40.4%,2,53.7%:55.5%,2,3.5%:2.8%,2,0.7%:1.3%,2
2014,06,16000,3.1%:7.0%,3,10.7%:18.0%,3,16.5%:18.1%,3,69.7%:56.9%,3
2014,06,16350,7.0%:6.5%,2,28.1%:35.5%,2,15.3%:12.6%,2,49.6%:45.4%,2
2014,06,16532,0.3%:2.1%,3,7.9%:20.5%,2,22.3%:18.7%,2,69.6%:58.7%,2
2014,06,17918,1.8%:2.5%,3,15.5%:21.1%,3,44.5%:43.2%,3,38.2%:33.1%,3
2014,06,19766,1.0%:4.1%,3,50.0%:63.0%,1,12.3%:10.4%,1,36.7%:22.5%,1
2014,06,21712,1.0%:5.4%,3,15.9%:21.8%,2,6.5%:7.9%,2,76.6%:64.8%,2
2014,06,22020,8.8%:10.9%,2,10.1%:12.5%,2,32.8%:32.0%,2,48.4%:44.6%,2
2014,06,22230,0.6%:0.4%,3,29.8%:60.9%,2,50.7%:30.4%,2,18.9%:8.2%,2
2014,06,22804,2.2%:2.8%,3,16.1%:32.6%,3,13.5%:9.1%,3,68.2%:55.4%,3
2014,06,23182,13.5%:15.2%,3,15.0%:21.3%,3,19.2%:19.6%,3,52.2%:43.9%,3
2014,06,24638,3.2%:2.3%,2,7.4%:7.8%,2,15.5%:12.0%,2,73.8%:77.9%,2
2014,06,24680,8.7%:9.6%,2,52.1%:61.5%,2,12.2%:7.5%,2,27.0%:21.4%,2
2014,06,26000,1.3%:4.5%,2,8.9%:14.8%,2,58.0%:52.2%,2,31.8%:28.5%,2
2014,06,27000,4.0%:6.8%,2,22.5%:39.0%,2,12.3%:12.5%,2,61.1%:41.6%,2
2014,06,28000,1.2%:3.0%,3,16.0%:29.7%,2,27.1%:23.6%,2,55.7%:43.7%,2
2014,06,29000,0.1%:1.2%,3,21.2%:30.6%,1,45.9%:42.0%,1,32.8%:26.2%,1
2014,06,30000,0.3%:0.5%,1,8.5%:15.8%,1,14.1%:16.1%,1,77.1%:67.5%,1
2014,06,32548,10.7%:21.2%,2,39.9%:48.9%,2,14.5%:16.6%,2,34.8%:13.4%,2
2014,06,33000,5.9%:12.4%,2,18.6%:28.8%,2,43.4%:32.6%,2,32.2%:26.1%,2
2014,06,33182,5.1%:6.2%,3,20.3%:27.2%,3,7.5%:6.3%,3,67.2%:60.4%,3
2014,06,33434,4.3%:6.6%,3,25.0%:31.5%,3,8.6%:5.2%,3,62.0%:56.7%,3
2014,06,36000,0.0%:0.2%,3,8.2%:13.8%,1,18.3%:15.5%,1,73.4%:70.5%,1
2014,06,36448,0.7%:2.0%,3,37.0%:62.2%,3,2.7%:2.3%,3,59.6%:33.5%,3
2014,06,36546,57.6%:49.8%,1,27.6%:40.2%,1,8.3%:4.4%,1,6.5%:5.6%,1
2014,06,36770,0.6%:1.7%,3,6.4%:11.4%,2,29.2%:30.2%,2,63.8%:56.8%,2
2014,06,37692,4.4%:7.3%,2,44.1%:50.5%,2,18.9%:12.2%,2,32.6%:30.0%,2
2014,06,39496,1.4%:1.8%,3,12.0%:18.1%,3,26.9%:25.3%,3,59.8%:54.8%,3
2014,06,39892,5.6%:5.9%,2,23.9%:29.2%,2,32.1%:30.3%,2,38.4%:34.7%,2
2014,06,40130,9.6%:22.9%,2,30.5%:27.0%,2,9.9%:7.5%,2,49.9%:42.6%,2
2014,06,41992,1.0%:2.0%,3,6.9%:11.0%,3,28.4%:25.1%,3,63.7%:61.8%,3
2014,06,43000,6.6%:13.7%,1,19.6%:30.5%,1,15.1%:15.6%,1,58.7%:40.3%,1
2014,06,44000,5.1%:11.0%,1,16.7%:36.0%,1,13.5%:14.9%,1,64.8%:38.1%,1
2014,06,45484,1.8%:3.5%,3,20.9%:29.9%,3,22.4%:18.9%,3,54.9%:47.8%,3
2014,06,46842,5.7%:6.4%,3,22.3%:28.9%,3,10.0%:7.8%,3,62.0%:56.9%,3
2014,06,46898,2.4%:5.4%,3,26.3%:42.2%,3,10.9%:10.1%,3,60.5%:42.3%,3
2014,06,47766,1.6%:1.7%,3,8.0%:12.2%,2,67.2%:64.5%,2,23.2%:21.6%,2
2014,06,48256,1.0%:1.5%,3,10.7%:13.1%,2,12.4%:11.3%,2,75.9%:74.2%,2
2014,06,48354,2.6%:2.8%,3,18.0%:28.9%,2,11.4%:10.4%,2,68.0%:57.9%,2
2014,06,49270,16.5%:20.0%,2,38.3%:44.8%,2,14.0%:9.8%,2,31.1%:25.3%,2
2014,06,49670,0.0%:2.2%,3,3.3%:8.8%,3,29.5%:30.9%,3,67.1%:58.0%,3
2014,06,50076,4.8%:8.7%,3,17.2%:21.0%,2,9.0%:8.9%,2,69.0%:61.4%,2
2014,06,50258,1.7%:3.9%,3,10.3%:25.5%,3,5.4%:6.9%,3,82.6%:63.7%,3
2014,06,51182,0.1%:1.0%,3,3.2%:8.9%,3,15.7%:16.0%,3,80.9%:74.2%,3
2014,06,52526,3.2%:5.6%,3,65.3%:62.3%,1,13.8%:16.2%,1,17.7%:15.9%,1
2014,06,53000,16.0%:26.1%,2,6.8%:17.2%,2,20.1%:20.6%,2,57.1%:36.1%,2
2014,06,53322,2.3%:4.5%,3,17.5%:22.9%,3,8.8%:7.5%,3,71.3%:65.1%,3
2014,06,53896,5.2%:7.1%,1,53.7%:59.6%,1,12.5%:9.3%,1,28.6%:24.0%,1
2014,06,53980,0.7%:1.3%,3,13.6%:28.2%,2,18.9%:14.1%,2,66.9%:56.3%,2
2014,06,54652,3.8%:3.7%,3,41.9%:57.5%,2,11.3%:8.8%,2,43.0%:30.0%,2
2014,06,55156,8.4%:13.3%,2,37.8%:44.9%,2,9.3%:7.5%,2,44.5%:34.2%,2
2014,06,56000,4.1%:8.0%,1,11.5%:24.3%,1,22.5%:22.9%,1,61.9%:44.8%,1
2014,06,56700,5.8%:8.7%,3,39.1%:48.5%,3,6.1%:5.5%,3,49.1%:37.3%,3
2014,06,57456,7.9%:12.3%,3,22.0%:26.1%,3,19.9%:19.8%,3,50.2%:41.8%,3
2014,06,57792,1.0%:2.0%,3,6.9%:11.0%,3,28.4%:25.1%,3,63.7%:61.8%,3
2014,06,58072,7.9%:7.5%,1,50.6%:62.1%,1,21.3%:12.8%,1,20.2%:17.6%,1
2014,06,59444,4.1%:8.8%,2,7.1%:13.1%,2,15.8%:13.3%,2,73.0%:64.7%,2
2014,06,59451,6.9%:8.2%,2,26.2%:29.8%,2,18.5%:15.4%,2,48.4%:46.5%,2
2014,06,59920,0.0%:0.8%,3,3.4%:6.3%,3,5.6%:6.2%,3,91.0%:86.7%,3
2014,06,60102,1.0%:2.4%,3,7.3%:18.0%,2,16.6%:18.3%,2,75.1%:61.3%,2
2014,06,60466,12.4%:12.7%,2,61.7%:61.5%,2,11.7%:8.4%,2,14.2%:17.5%,2
2014,06,60620,10.3%:20.5%,2,17.7%:30.1%,2,27.2%:22.8%,2,44.8%:26.7%,2
2014,06,62000,4.9%:6.8%,2,32.0%:42.0%,2,11.9%:10.3%,2,51.1%:40.9%,2
2014,06,62938,1.7%:1.6%,3,7.5%:9.9%,3,14.5%:10.2%,3,76.2%:78.3%,3
2014,06,64000,5.7%:14.2%,2,15.5%:19.8%,2,20.3%:20.9%,2,58.5%:45.1%,2
2014,06,64224,0.0%:1.5%,3,46.5%:62.0%,3,10.3%:7.7%,3,43.2%:28.9%,3
2014,06,65000,12.7%:14.6%,2,43.9%:54.8%,2,8.4%:6.4%,2,35.0%:24.2%,2
2014,06,65042,2.7%:1.5%,3,13.7%:27.6%,2,4.7%:6.4%,2,79.0%:64.5%,2
2014,06,66000,2.6%:6.2%,1,10.5%:22.8%,1,16.2%:16.5%,1,70.8%:54.5%,1
2014,06,67000,1.8%:4.6%,1,6.7%:12.0%,1,34.6%:33.0%,1,56.8%:50.4%,1
2014,06,68000,1.3%:3.4%,2,13.3%:24.6%,2,36.4%:34.5%,2,49.1%:37.5%,2
2014,06,68084,3.9%:11.0%,2,7.3%:18.0%,2,31.2%:28.1%,2,57.6%:42.9%,2
2014,06,68196,1.7%:2.7%,3,13.3%:22.0%,2,14.8%:10.6%,2,70.2%:64.7%,2
2014,06,68252,0.1%:2.0%,3,6.5%:14.0%,3,24.9%:26.2%,3,68.6%:57.8%,3
2014,06,68378,0.8%:2.7%,3,4.1%:4.2%,3,31.4%:32.0%,3,63.7%:61.0%,3
2014,06,69000,0.5%:1.0%,3,53.2%:65.3%,1,19.2%:16.6%,1,27.2%:17.0%,1
2014,06,69070,0.5%:0.7%,3,7.5%:22.6%,3,4.7%:7.7%,3,87.2%:69.0%,3
2014,06,69084,1.6%:3.1%,3,4.6%:11.7%,2,40.2%:41.2%,2,53.6%:43.9%,2
2014,06,69088,3.1%:5.6%,3,19.6%:26.0%,2,17.4%:14.4%,2,60.0%:54.0%,2
2014,06,69196,0.4%:2.2%,3,31.3%:49.0%,2,6.6%:5.9%,2,61.8%:42.9%,2
2014,06,70000,0.7%:2.7%,3,9.3%:12.9%,3,7.8%:10.9%,1,82.2%:73.5%,1
2014,06,70098,0.7%:1.0%,3,8.2%:19.1%,3,5.6%:8.9%,3,85.5%:71.1%,3
2014,06,72016,0.5%:0.9%,3,16.3%:19.3%,2,12.6%:11.7%,2,70.5%:68.2%,2
2014,06,73080,4.7%:5.6%,2,87.2%:88.3%,2,1.3%:0.8%,2,6.9%:5.3%,2
2014,06,75000,5.9%:14.0%,2,22.2%:34.2%,2,23.8%:19.4%,2,48.0%:32.4%,2
2014,06,77000,0.1%:1.4%,3,6.2%:14.2%,2,39.7%:43.8%,2,54.1%:40.5%,2
2014,06,78120,3.1%:3.5%,3,12.3%:16.9%,3,10.7%:10.9%,3,74.0%:68.7%,3
2014,06,78582,0.5%:0.6%,3,5.7%:10.5%,2,12.4%:11.0%,2,81.5%:77.9%,2
2014,06,80000,2.4%:2.8%,1,6.7%:11.3%,1,35.6%:35.5%,1,55.4%:50.4%,1
2014,06,80238,1.8%:3.5%,3,21.0%:29.9%,3,22.6%:19.0%,3,54.6%:47.6%,3
2014,06,80854,1.2%:1.8%,3,10.8%:16.6%,3,30.7%:28.9%,3,57.3%:52.7%,3
2014,06,81344,3.7%:6.8%,3,23.2%:39.5%,2,10.1%:9.2%,2,63.0%:44.5%,2
2014,06,81554,9.5%:7.9%,3,12.7%:20.0%,3,12.2%:10.5%,3,65.7%:61.5%,3
2014,06,81666,15.0%:21.8%,2,12.7%:16.6%,2,22.4%:21.2%,2,49.8%:40.3%,2
2014,06,82590,12.5%:17.1%,3,34.8%:42.8%,3,14.3%:7.2%,3,38.5%:33.0%,3
2014,06,82954,1.0%:2.2%,3,29.7%:38.7%,3,12.4%:6.2%,3,56.8%:52.9%,3
2014,06,82996,1.3%:2.4%,3,17.4%:28.8%,3,6.1%:7.2%,3,75.1%:61.6%,3
2014,06,84200,6.6%:5.5%,3,38.5%:51.1%,2,32.0%:26.8%,2,22.9%:16.6%,2
2014,06,84550,0.6%:1.4%,3,14.0%:21.0%,2,32.8%:37.7%,2,52.6%:39.9%,2
2014,06,85292,0.4%:1.0%,3,45.3%:53.8%,2,25.1%:18.0%,2,29.2%:27.2%,2
2014,08,3455,0.3%:0.3%,3,6.4%:10.6%,2,4.1%:3.1%,2,89.3%:86.0%,2
2014,08,4000,13.6%:16.2%,3,10.7%:21.0%,3,5.9%:7.5%,3,69.9%:55.3%,3
2014,08,7850,0.0%:1.9%,3,4.1%:6.3%,3,3.5%:7.5%,3,92.4%:84.3%,3
2014,08,12815,2.9%:4.0%,3,3.9%:7.5%,2,5.5%:6.2%,2,87.7%:82.3%,2
2014,08,16000,2.5%:5.0%,2,6.7%:13.1%,2,5.4%:6.0%,2,85.4%:75.9%,2
2014,08,20000,2.9%:8.6%,2,12.2%:22.0%,2,3.2%:5.9%,2,81.6%:63.5%,2
2014,08,27425,0.0%:0.2%,3,4.9%:9.7%,3,3.1%:3.5%,3,92.0%:86.6%,3
2014,08,32155,0.0%:0.7%,3,12.9%:24.3%,3,2.4%:2.6%,3,84.7%:72.4%,3
2014,08,43000,0.2%:1.7%,3,8.6%:14.5%,2,3.6%:4.0%,2,87.6%:79.7%,2
2014,08,45970,0.2%:1.8%,3,6.4%:13.4%,3,3.9%:5.7%,3,89.5%:79.1%,3
2014,08,46465,0.0%:0.0%,3,1.2%:4.2%,3,2.9%:3.5%,3,95.9%:92.2%,3
2014,08,62000,0.5%:1.0%,3,27.3%:38.8%,3,2.0%:1.8%,3,70.2%:58.4%,3
2014,08,77290,0.6%:0.8%,3,25.4%:33.2%,2,6.6%:6.3%,2,67.5%:59.7%,2
2014,08,83835,2.4%:1.6%,3,12.0%:18.2%,2,5.5%:5.7%,2,80.0%:74.6%,2
2014,09,8000,43.5%:33.6%,1,20.3%:35.2%,1,4.2%:5.7%,1,32.1%:25.5%,1
2014,09,18430,2.5%:3.1%,3,4.0%:13.2%,3,6.3%:6.7%,3,87.2%:77.1%,3
2014,09,37000,33.1%:33.7%,1,26.4%:42.7%,3,3.2%:6.2%,3,37.3%:17.4%,1
2014,09,52000,24.5%:33.6%,1,9.9%:21.9%,3,10.2%:8.1%,3,55.4%:36.4%,1
2014,09,55990,1.5%:9.6%,3,5.1%:12.8%,2,2.7%:5.6%,2,90.7%:72.0%,2
2014,09,73000,2.8%:9.8%,3,5.9%:15.5%,2,4.5%:9.3%,2,86.8%:65.4%,2
2014,09,80000,11.4%:17.2%,3,17.1%:32.4%,3,3.0%:4.6%,3,68.4%:45.8%,1
2014,11,50000,26.9%:44.9%,1,5.0%:7.8%,1,4.8%:6.0%,1,63.3%:41.3%,1
2014,12,7300,0.3%:3.7%,1,7.8%:11.1%,1,3.0%:3.3%,1,88.9%:81.9%,1
2014,12,7875,4.6%:13.2%,3,5.8%:9.3%,3,2.1%:2.8%,3,87.5%:74.7%,3
2014,12,10275,2.6%:4.6%,2,9.0%:14.9%,2,2.1%:1.2%,2,86.4%:79.3%,2
2014,12,12875,2.3%:8.5%,2,2.7%:9.5%,2,3.3%:3.5%,3,91.7%:78.6%,2
2014,12,14400,5.9%:14.8%,3,12.7%:18.7%,3,8.8%:9.0%,3,72.5%:57.4%,3
2014,12,16475,2.0%:6.7%,2,20.4%:27.7%,2,5.6%:4.8%,2,72.0%:60.8%,2
2014,12,16725,5.0%:14.4%,2,14.3%:13.5%,2,4.6%:4.1%,3,76.1%:67.9%,2
2014,12,17200,10.2%:10.1%,3,11.3%:17.1%,3,4.6%:2.7%,3,73.9%:70.1%,3
2014,12,17935,0.8%:0.6%,3,79.5%:87.8%,3,6.0%:4.0%,3,13.7%:7.6%,3
2014,12,24000,5.6%:24.2%,2,14.2%:17.6%,2,2.6%:2.8%,2,77.6%:55.5%,2
2014,12,24125,2.8%:13.8%,2,4.7%:14.1%,2,5.2%:3.3%,3,87.4%:68.7%,2
2014,12,25175,11.9%:19.4%,2,6.1%:7.8%,3,5.5%:8.9%,2,76.5%:63.9%,2
2014,12,30000,2.2%:2.0%,2,93.0%:95.3%,2,0.8%:0.3%,3,3.9%:2.4%,2
2014,12,32000,7.8%:17.5%,2,20.7%:27.7%,2,4.1%:5.4%,2,67.4%:49.4%,2
2014,12,32275,7.5%:17.4%,3,53.0%:64.0%,3,1.0%:1.0%,3,38.5%:17.5%,3
2014,12,35000,12.9%:28.7%,1,3.8%:6.4%,1,5.1%:5.6%,1,78.2%:59.3%,1
2014,12,36950,9.1%:11.5%,3,39.9%:47.3%,3,3.8%:3.7%,3,47.2%:37.4%,3
2014,12,38250,8.7%:14.2%,3,7.7%:11.9%,3,2.7%:3.2%,3,81.0%:70.7%,3
2014,12,39425,2.5%:6.0%,2,5.2%:8.3%,2,2.9%:3.6%,2,89.5%:82.0%,2
2014,12,43975,3.2%:5.5%,3,6.2%:7.2%,3,5.6%:5.1%,3,84.9%:82.1%,3
2014,12,45000,4.0%:15.3%,1,57.0%:69.4%,1,3.8%:2.0%,1,35.2%:13.3%,1
2014,12,45025,2.1%:6.0%,3,27.1%:43.6%,2,1.6%:3.4%,3,69.3%:47.0%,2
2014,12,45060,57.1%:57.6%,2,30.7%:34.3%,2,2.9%:2.8%,3,9.3%:5.3%,2
2014,12,45975,27.9%:31.4%,2,33.7%:35.4%,2,7.1%:5.4%,2,31.3%:27.8%,2
2014,12,49675,1.8%:2.3%,3,5.3%:3.0%,3,2.9%:1.5%,3,89.9%:93.3%,3
2014,12,53000,7.0%:22.4%,2,14.1%:26.3%,2,5.6%:5.7%,2,73.2%:45.6%,2
2014,12,54000,10.3%:16.8%,2,12.8%:11.7%,2,2.4%:3.5%,3,74.4%:68.0%,2
2014,12,54200,6.6%:9.5%,3,3.7%:4.8%,3,1.9%:1.7%,3,87.8%:84.1%,3
2014,12,55775,16.2%:18.8%,3,32.1%:36.4%,3,6.3%:6.6%,3,45.4%:38.2%,3
2014,12,57425,16.1%:24.7%,2,16.2%:22.1%,2,3.5%:5.4%,2,64.1%:47.8%,2
2014,12,58050,2.8%:15.5%,2,7.8%:10.0%,2,1.1%:2.2%,2,88.2%:72.3%,2
2014,12,58715,12.5%:14.9%,1,10.7%:14.3%,1,3.5%:3.0%,3,73.4%:67.8%,1
2014,12,63000,5.9%:17.1%,1,3.0%:5.4%,1,2.3%:3.5%,1,88.8%:74.0%,1
2014,12,69700,15.5%:23.6%,2,16.6%:22.5%,2,3.6%:5.4%,2,64.2%:48.4%,2
2014,12,70600,17.4%:37.9%,2,4.4%:6.5%,3,3.0%:4.8%,3,75.2%:50.8%,2
2014,12,71000,6.7%:22.9%,1,13.4%:21.3%,1,5.5%:4.5%,1,74.4%:51.3%,1
2014,12,76600,8.0%:25.4%,3,6.3%:20.5%,3,1.7%:3.7%,3,84.0%:50.4%,3
2014,13,3440,11.7%:27.8%,1,1.9%:7.9%,3,3.0%:3.1%,3,83.3%:61.2%,1
2014,13,4000,12.5%:46.0%,1,2.2%:3.9%,1,3.3%:5.0%,1,82.1%:45.2%,1
2014,13,4204,38.2%:53.9%,1,2.8%:3.2%,3,3.3%:3.6%,1,55.8%:39.3%,1
2014,13,19000,26.1%:44.0%,2,2.9%:5.2%,3,3.1%:5.3%,3,68.0%:45.4%,2
2014,13,42425,2.5%:9.4%,3,1.5%:4.8%,3,23.0%:22.6%,2,73.0%:63.2%,2
2014,13,49008,24.9%:50.4%,1,2.1%:2.1%,3,1.4%:2.7%,3,71.6%:44.8%,1
2014,13,67284,3.0%:11.9%,2,1.6%:8.2%,2,7.3%:9.6%,2,88.1%:70.3%,2
2014,13,68516,1.4%:20.6%,3,4.4%:6.5%,3,7.4%:9.7%,1,86.8%:63.1%,1
2014,13,69000,22.1%:46.4%,2,4.9%:3.7%,3,4.0%:2.8%,3,69.0%:47.2%,2
2014,13,72122,77.6%:82.2%,2,4.2%:6.0%,3,1.3%:0.8%,3,16.9%:11.0%,2
2014,13,80508,14.6%:28.6%,3,3.1%:5.2%,3,6.6%:4.3%,3,75.8%:61.9%,3
2014,15,71550,0.3%:2.4%,3,1.9%:4.1%,3,78.6%:72.1%,2,19.3%:21.4%,2
2014,16,8830,1.9%:1.5%,3,2.3%:6.3%,3,3.9%:5.1%,3,91.9%:87.2%,3
2014,16,52120,0.0%:0.0%,3,3.7%:6.5%,3,5.7%:4.0%,3,90.6%:89.5%,3
2014,16,56260,0.0%:0.0%,3,6.0%:9.8%,3,4.2%:2.7%,3,89.8%:87.5%,3
2014,17,2154,0.5%:2.0%,3,5.8%:11.6%,3,8.4%:11.6%,3,85.2%:74.8%,3
2014,17,3012,4.5%:9.3%,2,22.5%:33.2%,2,9.4%:6.6%,2,63.6%:50.8%,2
2014,17,6613,2.6%:7.2%,3,2.3%:3.6%,3,4.1%:6.1%,3,91.1%:83.1%,3
2014,17,12385,5.6%:12.0%,3,1.3%:4.2%,3,8.7%:12.1%,3,84.5%:71.7%,3
2014,17,14000,13.2%:30.5%,1,14.5%:21.5%,1,8.6%:7.5%,1,63.7%:40.5%,1
2014,17,14351,7.0%:10.9%,3,27.7%:46.2%,2,3.0%:3.8%,3,62.3%:39.1%,2
2014,17,23074,2.2%:3.7%,3,16.6%:26.0%,3,10.2%:8.2%,3,71.0%:62.1%,3
2014,17,24582,5.8%:11.8%,3,3.5%:6.6%,3,14.1%:16.4%,3,76.6%:65.3%,3
2014,17,38570,6.3%:17.2%,3,12.8%:17.1%,3,2.0%:3.3%,3,78.8%:62.5%,3
2014,17,51622,4.6%:9.1%,3,4.7%:9.4%,3,14.6%:13.0%,3,76.0%:68.6%,3
2014,17,59000,5.7%:13.6%,3,3.0%:2.8%,3,5.9%:5.7%,3,85.5%:77.9%,3
2014,17,65000,5.0%:14.8%,3,3.8%:9.0%,3,3.8%:4.2%,3,87.4%:72.1%,3
2014,17,68003,1.5%:4.2%,3,5.1%:11.5%,2,15.7%:15.1%,2,77.8%:69.2%,2
2014,17,72000,2.6%:12.0%,3,2.7%:2.3%,3,1.4%:2.3%,3,93.3%:83.3%,3
2014,17,79293,4.6%:17.3%,3,11.0%:26.4%,3,8.1%:7.0%,3,76.4%:49.3%,3
2014,18,5860,0.4%:3.2%,3,0.9%:2.5%,3,3.3%:6.8%,3,95.5%:87.5%,3
2014,18,10342,2.2%:3.3%,3,1.3%:1.9%,3,9.3%:9.0%,1,87.2%:85.8%,1
2014,18,22000,2.1%:7.6%,3,0.3%:1.3%,3,2.8%:3.1%,3,94.8%:88.0%,3
2014,18,23278,2.2%:3.9%,3,1.1%:1.7%,3,8.7%:8.0%,3,88.1%:86.4%,3
2014,18,25000,3.7%:14.1%,2,4.6%:6.2%,2,7.1%:4.2%,2,84.6%:75.4%,2
2014,18,31000,9.3%:23.8%,2,37.3%:36.0%,2,0.8%:0.7%,3,52.6%:39.5%,2
2014,18,36003,12.7%:26.8%,1,2.5%:6.5%,1,4.5%:4.0%,1,80.2%:62.7%,1
2014,18,71000,6.5%:25.2%,2,8.4%:8.4%,2,3.8%:4.2%,3,81.3%:62.2%,2
2014,19,12000,1.9%:4.5%,3,5.2%:2.5%,3,1.3%:2.5%,3,91.6%:90.5%,3
2014,19,19000,3.0%:6.4%,3,2.9%:4.2%,3,1.6%:3.2%,3,92.6%:86.2%,3
2014,19,21000,6.2%:11.0%,3,4.4%:8.4%,2,6.2%:6.3%,2,83.3%:74.3%,2
