year,state,place,state_name,place_name,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality
2014,04,27820,NA,NA,2.2%:6.2%,1,15.8%:24.9%,1,8.2%:7.7%,1,73.8%:61.2%,1
2014,04,28380,NA,NA,4.0%:7.3%,3,18.4%:20.8%,2,3.1%:7.1%,2,74.5%:64.8%,2
2014,04,46000,NA,NA,1.7%:3.4%,3,13.0%:20.4%,2,2.4%:3.7%,2,82.9%:72.5%,2
2014,04,54050,NA,NA,3.1%:4.8%,2,8.8%:15.3%,2,7.9%:6.2%,2,80.2%:73.7%,2
2014,04,55000,NA,NA,2.1%:7.2%,2,12.8%:30.1%,2,5.5%:6.2%,2,79.6%:56.5%,2
2014,04,65000,NA,NA,0.4%:0.9%,3,1.6%:6.0%,3,5.6%:6.0%,3,92.4%:87.1%,3
2014,04,71510,NA,NA,2.5%:5.1%,3,9.6%:13.0%,1,2.9%:2.9%,1,85.1%:79.0%,1
2014,04,73000,NA,NA,2.8%:5.6%,3,9.7%:16.5%,3,6.9%:13.1%,3,80.6%:64.8%,3
2014,04,77000,NA,NA,1.7%:4.0%,2,18.7%:30.1%,2,4.0%:6.5%,2,75.6%:59.3%,2
2014,04,85540,NA,NA,2.1%:2.8%,3,40.8%:51.4%,2,1.0%:2.9%,3,56.2%:42.8%,2
2014,05,23290,NA,NA,3.1%:5.9%,3,4.4%:9.9%,3,4.1%:6.5%,3,88.4%:77.7%,2
2014,05,24550,NA,NA,1.5%:6.1%,3,3.0%:5.8%,3,10.7%:6.7%,3,84.9%:81.4%,2
2014,05,35710,NA,NA,1.6%:6.5%,2,0.8%:2.1%,3,0.5%:3.9%,3,97.1%:87.5%,2
2014,05,41000,NA,NA,14.7%:40.0%,1,2.2%:4.4%,3,4.6%:3.3%,1,78.5%:52.4%,1
2014,05,66080,NA,NA,2.8%:5.6%,3,4.5%:10.1%,3,4.1%:6.4%,3,88.6%:77.9%,3
2014,06,00562,NA,NA,3.3%:10.4%,3,7.1%:17.8%,2,31.5%:28.2%,2,58.1%:43.7%,2
2014,06,00884,NA,NA,0.8%:2.2%,3,21.6%:28.8%,2,49.0%:45.5%,2,28.5%:23.5%,2
2014,06,02000,NA,NA,1.0%:2.8%,3,22.1%:38.4%,3,23.8%:19.4%,3,53.1%:39.4%,3
2014,06,02252,NA,NA,9.2%:17.9%,1,15.3%:25.5%,1,17.5%:13.5%,1,58.0%:43.1%,1
2014,06,02364,NA,NA,4.2%:6.4%,2,24.8%:31.2%,2,8.5%:5.3%,2,62.5%:57.1%,2
2014,06,03526,NA,NA,3.0%:6.1%,2,30.8%:42.7%,2,9.7%:7.1%,2,56.4%:44.1%,2
2014,06,04982,NA,NA,5.4%:14.1%,3,50.8%:53.7%,2,15.6%:13.2%,2,28.2%:19.0%,2
2014,06,06000,NA,NA,2.3%:6.7%,3,2.8%:9.8%,3,12.6%:26.2%,1,82.2%:57.2%,1
2014,06,08786,NA,NA,1.6%:3.7%,3,13.4%:21.9%,3,23.5%:25.0%,3,61.5%:49.4%,3
2014,06,08954,NA,NA,NA%:0.7%,NA,16.1%:21.5%,1,12.4%:14.5%,3,71.5%:63.3%,1
2014,06,11194,NA,NA,0.1%:1.0%,3,9.5%:12.0%,1,9.6%:9.1%,1,80.7%:77.8%,1
2014,06,11530,NA,NA,25.0%:23.2%,1,31.9%:34.4%,1,30.8%:30.1%,1,12.3%:12.3%,1
2014,06,13014,NA,NA,0.4%:1.7%,3,5.0%:12.4%,3,4.2%:6.5%,3,90.4%:79.4%,1
2014,06,13210,NA,NA,4.2%:10.1%,3,30.1%:38.3%,2,28.7%:22.6%,2,37.0%:29.0%,2
2014,06,13214,NA,NA,4.2%:10.2%,3,29.2%:37.1%,2,29.4%:23.4%,2,37.3%:29.2%,2
2014,06,13392,NA,NA,1.2%:5.6%,1,41.1%:47.6%,1,24.7%:17.8%,1,33.1%:29.0%,1
2014,06,13588,NA,NA,1.1%:2.9%,3,7.3%:12.5%,1,4.7%:5.0%,1,86.8%:79.6%,1
2014,06,14218,NA,NA,1.5%:2.8%,3,17.2%:24.6%,1,14.3%:11.4%,1,67.0%:61.3%,1
2014,06,15044,NA,NA,42.7%:40.0%,2,54.4%:55.0%,2,2.6%:3.0%,3,0.3%:2.0%,3
2014,06,16000,NA,NA,2.2%:5.2%,3,8.8%:16.1%,3,15.7%:16.9%,3,73.3%:61.7%,3
2014,06,16350,NA,NA,7.6%:7.6%,2,27.5%:34.4%,2,15.0%:12.8%,2,50.0%:45.2%,2
2014,06,16532,NA,NA,0.2%:2.0%,3,7.9%:21.2%,2,21.7%:17.7%,2,70.3%:59.0%,2
2014,06,17918,NA,NA,1.7%:3.1%,3,15.4%:20.4%,2,44.7%:43.7%,2,38.2%:32.8%,2
2014,06,19766,NA,NA,1.0%:4.0%,3,49.8%:62.4%,1,12.3%:10.5%,1,37.0%:23.1%,1
2014,06,21712,NA,NA,1.0%:5.9%,3,15.8%:22.0%,2,6.4%:7.8%,2,76.8%:64.4%,2
2014,06,22020,NA,NA,8.8%:11.1%,1,10.1%:13.0%,1,32.7%:31.4%,1,48.4%:44.4%,1
2014,06,22230,NA,NA,0.6%:1.0%,3,29.8%:60.8%,1,50.5%:29.3%,1,19.1%:8.8%,1
2014,06,22804,NA,NA,2.3%:3.3%,3,16.6%:35.8%,1,12.7%:8.7%,1,68.3%:52.2%,1
2014,06,23182,NA,NA,13.6%:15.2%,1,15.1%:21.9%,1,19.4%:18.9%,1,51.9%:43.9%,1
2014,06,24638,NA,NA,3.2%:8.4%,3,7.4%:9.8%,3,15.5%:12.4%,2,73.8%:69.4%,2
2014,06,24680,NA,NA,8.5%:9.7%,1,51.5%:60.9%,1,12.4%:7.7%,1,27.5%:21.8%,1
2014,06,26000,NA,NA,0.6%:3.8%,3,7.4%:12.1%,2,61.1%:55.6%,2,30.9%:28.6%,2
2014,06,27000,NA,NA,4.1%:7.3%,3,23.0%:40.1%,3,12.3%:12.1%,3,60.5%:40.5%,3
2014,06,28000,NA,NA,1.2%:3.3%,3,16.0%:29.7%,3,27.2%:22.8%,3,55.5%:44.1%,3
2014,06,29000,NA,NA,0.1%:1.2%,3,22.0%:31.3%,3,46.8%:40.4%,3,31.1%:27.2%,3
2014,06,30000,NA,NA,0.3%:0.8%,2,8.1%:15.6%,2,14.2%:16.1%,2,77.4%:67.5%,2
2014,06,32548,NA,NA,10.8%:21.3%,2,39.7%:48.1%,2,14.8%:16.7%,2,34.7%:14.0%,2
2014,06,33000,NA,NA,6.9%:13.9%,1,21.3%:30.5%,1,38.9%:28.4%,1,32.9%:27.2%,1
2014,06,33182,NA,NA,5.0%:6.3%,3,20.3%:27.4%,2,7.5%:6.2%,2,67.2%:60.1%,2
2014,06,33434,NA,NA,4.2%:6.5%,2,24.9%:31.4%,2,8.6%:5.3%,2,62.3%:56.9%,2
2014,06,36000,NA,NA,0.0%:0.2%,3,8.2%:13.7%,3,18.3%:15.1%,3,73.5%:71.0%,3
2014,06,36448,NA,NA,0.6%:3.3%,3,45.2%:68.0%,2,2.5%:2.0%,3,51.7%:26.7%,2
2014,06,36546,NA,NA,57.5%:49.2%,1,27.6%:38.6%,1,8.3%:4.5%,1,6.6%:7.7%,1
2014,06,36770,NA,NA,0.8%:1.9%,3,7.4%:13.4%,2,32.5%:31.0%,2,59.4%:53.7%,2
2014,06,37692,NA,NA,4.5%:7.4%,3,44.2%:50.3%,2,18.9%:12.0%,2,32.4%:30.3%,2
2014,06,39496,NA,NA,1.5%:2.2%,3,13.0%:20.0%,3,26.5%:24.3%,3,59.1%:53.5%,3
2014,06,39892,NA,NA,5.6%:5.7%,2,24.0%:29.1%,2,32.4%:30.7%,2,38.0%:34.4%,2
2014,06,40130,NA,NA,9.5%:22.8%,1,29.8%:27.4%,1,10.0%:9.0%,1,50.7%:40.8%,1
2014,06,41992,NA,NA,1.0%:3.6%,3,6.9%:12.1%,2,28.4%:24.9%,2,63.7%:59.5%,2
2014,06,43000,NA,NA,6.5%:13.8%,2,20.0%:30.9%,2,14.9%:16.0%,2,58.6%:39.2%,2
2014,06,44000,NA,NA,5.1%:11.4%,1,16.7%:35.5%,1,13.5%:15.4%,1,64.7%:37.7%,1
2014,06,45484,NA,NA,1.8%:4.1%,3,21.0%:30.1%,3,22.5%:18.7%,3,54.7%:47.1%,3
2014,06,46842,NA,NA,5.9%:5.8%,2,23.6%:30.4%,2,10.3%:7.9%,2,60.1%:55.9%,2
2014,06,46898,NA,NA,2.5%:6.6%,3,25.7%:42.7%,2,10.9%:10.6%,2,61.0%:40.2%,2
2014,06,47766,NA,NA,1.6%:2.0%,3,8.5%:14.2%,2,71.3%:65.7%,2,18.6%:18.1%,2
2014,06,48256,NA,NA,1.0%:1.5%,3,11.0%:13.7%,1,12.4%:11.5%,1,75.6%:73.3%,1
2014,06,48354,NA,NA,2.5%:2.6%,3,18.1%:29.5%,1,11.4%:10.5%,1,68.0%:57.3%,1
2014,06,49270,NA,NA,16.6%:19.6%,1,38.4%:44.0%,1,14.0%:10.0%,1,31.0%:26.4%,1
2014,06,49670,NA,NA,0.0%:2.4%,3,3.3%:9.5%,3,29.5%:30.6%,2,67.2%:57.5%,2
2014,06,50076,NA,NA,4.8%:8.5%,3,17.1%:20.9%,2,9.0%:8.9%,2,69.1%:61.7%,2
2014,06,50258,NA,NA,1.7%:4.5%,3,10.3%:25.9%,2,5.4%:7.2%,2,82.6%:62.5%,2
2014,06,51182,NA,NA,0.1%:1.0%,3,3.1%:9.0%,3,15.3%:15.2%,3,81.5%:74.8%,3
2014,06,52526,NA,NA,3.2%:6.4%,3,65.3%:58.2%,1,13.8%:16.1%,1,17.7%:19.3%,1
2014,06,53000,NA,NA,17.0%:26.9%,3,6.3%:16.8%,3,19.0%:19.9%,3,57.7%:36.4%,3
2014,06,53322,NA,NA,3.1%:5.3%,3,19.6%:23.4%,2,9.2%:7.1%,2,68.0%:64.2%,2
2014,06,53896,NA,NA,5.3%:7.3%,1,56.7%:60.1%,1,10.4%:8.4%,1,27.6%:24.2%,1
2014,06,53980,NA,NA,0.7%:2.1%,3,12.9%:25.4%,2,18.6%:13.5%,2,67.8%:59.0%,2
2014,06,54652,NA,NA,3.3%:3.5%,3,37.3%:52.9%,1,11.4%:8.6%,1,48.1%:35.1%,1
2014,06,55156,NA,NA,8.5%:13.5%,1,38.1%:45.0%,1,9.2%:7.5%,1,44.3%:33.9%,1
2014,06,56000,NA,NA,4.3%:8.6%,3,11.0%:23.9%,3,21.9%:23.3%,3,62.8%:44.2%,3
2014,06,56700,NA,NA,5.4%:9.5%,2,45.0%:54.4%,2,4.2%:4.4%,2,45.4%:31.7%,2
2014,06,57456,NA,NA,7.8%:12.0%,3,22.5%:25.6%,2,20.1%:19.9%,2,49.6%:42.4%,2
2014,06,57792,NA,NA,1.0%:3.6%,3,6.9%:12.1%,3,28.4%:24.9%,3,63.7%:59.5%,3
2014,06,58072,NA,NA,8.1%:8.4%,1,51.9%:58.7%,1,20.5%:13.6%,1,19.5%:19.3%,1
2014,06,59444,NA,NA,4.4%:9.6%,3,7.1%:13.4%,3,17.3%:13.8%,2,71.2%:63.2%,2
2014,06,59451,NA,NA,6.9%:9.3%,3,26.2%:30.5%,1,18.6%:15.2%,1,48.3%:45.0%,1
2014,06,59920,NA,NA,NA%:0.9%,NA,3.4%:7.0%,3,5.6%:6.0%,2,91.0%:86.1%,2
2014,06,60102,NA,NA,1.0%:2.8%,3,7.3%:18.4%,2,16.6%:18.5%,2,75.1%:60.3%,2
2014,06,60466,NA,NA,12.4%:12.3%,2,60.5%:60.8%,2,11.0%:7.9%,2,16.1%:19.0%,2
2014,06,60620,NA,NA,10.9%:21.2%,2,19.5%:31.4%,2,28.0%:22.4%,2,41.6%:25.0%,2
2014,06,62000,NA,NA,5.3%:6.9%,2,31.0%:39.9%,2,11.4%:12.7%,2,52.3%:40.6%,2
2014,06,62938,NA,NA,1.8%:1.8%,3,7.5%:9.8%,1,14.5%:10.1%,1,76.3%:78.3%,1
2014,06,64000,NA,NA,5.7%:15.1%,2,15.7%:20.5%,2,21.9%:21.0%,2,56.7%:43.3%,2
2014,06,64224,NA,NA,NA%:1.4%,NA,46.5%:60.8%,1,10.3%:8.0%,3,43.2%:29.9%,1
2014,06,65000,NA,NA,12.4%:14.8%,3,41.0%:51.4%,3,7.4%:7.4%,3,39.2%:26.3%,3
2014,06,65042,NA,NA,2.7%:1.5%,3,13.7%:28.4%,1,4.7%:6.7%,1,79.0%:63.4%,1
2014,06,66000,NA,NA,2.6%:6.7%,1,10.2%:22.7%,1,16.3%:16.0%,1,71.0%:54.7%,1
2014,06,67000,NA,NA,1.8%:5.3%,2,6.7%:12.5%,2,34.6%:32.7%,2,56.9%:49.5%,2
2014,06,68000,NA,NA,1.3%:3.5%,1,13.8%:25.3%,1,37.4%:34.1%,1,47.5%:37.2%,1
2014,06,68084,NA,NA,3.3%:10.4%,2,7.1%:17.8%,2,31.5%:28.2%,2,58.1%:43.7%,2
2014,06,68196,NA,NA,1.7%:3.1%,3,13.0%:22.1%,2,14.8%:10.8%,2,70.6%:64.1%,2
2014,06,68252,NA,NA,0.1%:1.8%,3,6.2%:12.4%,2,25.9%:27.4%,2,67.7%:58.4%,2
2014,06,68378,NA,NA,0.8%:2.7%,3,4.1%:4.6%,3,31.4%:31.4%,2,63.7%:61.3%,2
2014,06,69000,NA,NA,0.5%:1.0%,3,51.7%:63.6%,2,19.4%:16.2%,2,28.3%:19.3%,2
2014,06,69070,NA,NA,0.5%:1.6%,3,7.5%:22.2%,2,4.7%:11.7%,3,87.2%:64.5%,2
2014,06,69084,NA,NA,1.5%:3.0%,3,4.4%:11.7%,1,40.2%:41.1%,1,53.9%:44.2%,1
2014,06,69088,NA,NA,3.3%:5.8%,3,19.2%:25.7%,1,17.0%:14.5%,1,60.6%:53.9%,1
2014,06,69196,NA,NA,0.5%:2.6%,3,29.8%:47.2%,2,6.4%:6.3%,2,63.3%:43.9%,2
2014,06,70000,NA,NA,0.7%:3.3%,3,9.4%:13.1%,3,7.8%:11.1%,3,82.1%:72.5%,3
2014,06,70098,NA,NA,0.6%:1.2%,3,8.5%:18.7%,1,5.3%:8.7%,1,85.6%:71.4%,1
2014,06,72016,NA,NA,0.5%:0.9%,3,16.9%:21.4%,1,12.1%:11.3%,1,70.5%:66.4%,1
2014,06,73080,NA,NA,4.7%:7.3%,3,87.1%:84.6%,2,1.2%:1.3%,3,7.0%:6.8%,3
2014,06,75000,NA,NA,5.6%:13.7%,3,21.2%:32.4%,3,23.8%:19.9%,3,49.3%:34.1%,3
2014,06,77000,NA,NA,0.1%:1.5%,3,6.2%:14.4%,3,40.0%:43.4%,3,53.7%:40.7%,3
2014,06,78120,NA,NA,3.1%:3.5%,1,12.3%:16.8%,1,10.7%:10.9%,1,74.0%:68.8%,1
2014,06,78582,NA,NA,0.5%:0.5%,3,5.2%:9.9%,1,12.3%:11.2%,1,82.0%:78.3%,1
2014,06,80000,NA,NA,1.9%:3.0%,3,6.0%:11.4%,2,34.4%:33.8%,2,57.8%:51.8%,2
2014,06,80238,NA,NA,1.8%:4.1%,3,21.0%:30.1%,2,22.6%:18.7%,2,54.6%:47.1%,2
2014,06,80854,NA,NA,1.5%:2.2%,3,13.0%:20.2%,3,26.7%:24.6%,3,58.8%:53.1%,3
2014,06,81344,NA,NA,3.7%:6.8%,3,23.2%:39.4%,2,10.1%:9.3%,3,63.0%:44.5%,2
2014,06,81554,NA,NA,9.1%:12.2%,2,12.4%:20.9%,2,11.4%:8.8%,2,67.0%:58.0%,2
2014,06,81666,NA,NA,15.2%:21.7%,1,12.7%:17.0%,1,22.7%:21.1%,1,49.4%:40.3%,1
2014,06,82590,NA,NA,13.9%:18.9%,2,36.5%:45.0%,2,15.3%:7.3%,2,34.2%:28.7%,2
2014,06,82954,NA,NA,1.0%:2.3%,3,29.7%:39.7%,1,12.4%:6.0%,3,56.8%:52.0%,1
2014,06,82996,NA,NA,1.5%:2.5%,3,18.8%:30.3%,2,4.8%:6.9%,2,74.9%:60.3%,2
2014,06,84200,NA,NA,6.4%:5.8%,3,38.5%:50.2%,2,32.2%:26.6%,2,22.9%:17.4%,2
2014,06,84550,NA,NA,0.6%:1.4%,3,14.0%:20.8%,2,32.7%:37.2%,2,52.8%:40.6%,2
2014,06,85292,NA,NA,0.4%:1.2%,3,45.3%:52.6%,2,25.2%:18.3%,2,29.2%:28.0%,2
2014,08,03455,NA,NA,0.3%:0.3%,3,6.3%:10.4%,1,4.1%:3.1%,1,89.3%:86.2%,1
2014,08,04000,NA,NA,11.7%:14.3%,3,9.6%:19.8%,3,6.0%:7.4%,3,72.7%:58.4%,3
2014,08,07850,NA,NA,NA%:1.9%,NA,4.0%:6.6%,3,3.5%:7.0%,3,92.5%:84.5%,2
2014,08,12815,NA,NA,2.4%:3.4%,3,3.7%:7.3%,2,5.3%:6.2%,2,88.6%:83.1%,2
2014,08,16000,NA,NA,2.2%:4.7%,3,6.0%:12.6%,3,5.8%:6.1%,3,86.0%:76.6%,3
2014,08,20000,NA,NA,3.2%:9.1%,1,12.5%:22.3%,1,3.2%:6.0%,1,81.0%:62.6%,1
2014,08,27425,NA,NA,0.0%:0.5%,3,5.3%:10.0%,2,3.1%:4.4%,3,91.5%:85.1%,2
2014,08,32155,NA,NA,NA%:1.1%,NA,12.9%:24.7%,2,2.4%:2.8%,3,84.7%:71.5%,2
2014,08,43000,NA,NA,0.2%:2.0%,3,8.3%:14.7%,3,3.4%:3.8%,3,88.1%:79.6%,3
2014,08,45970,NA,NA,0.2%:1.8%,3,6.4%:13.4%,2,3.9%:5.7%,3,89.5%:79.1%,2
2014,08,46465,NA,NA,NA,NA,1.2%:4.1%,3,2.9%:3.5%,3,95.9%:92.4%,2
2014,08,62000,NA,NA,0.5%:1.3%,3,27.3%:38.0%,3,2.0%:2.2%,3,70.2%:58.6%,3
2014,08,77290,NA,NA,0.6%:0.9%,3,26.8%:34.1%,2,6.5%:6.4%,2,66.1%:58.7%,2
2014,08,83835,NA,NA,2.0%:1.7%,3,11.0%:17.8%,2,5.8%:5.6%,2,81.1%:74.9%,2
2014,09,08000,NA,NA,43.6%:33.4%,1,20.3%:33.5%,1,4.2%:5.7%,3,31.9%:27.4%,1
2014,09,18430,NA,NA,2.5%:4.0%,3,4.0%:13.2%,3,6.3%:6.7%,3,87.2%:76.0%,2
2014,09,37000,NA,NA,33.1%:32.1%,3,26.4%:38.2%,3,3.2%:6.8%,3,37.3%:22.8%,3
2014,09,52000,NA,NA,24.5%:31.0%,1,9.9%:20.6%,3,10.2%:9.6%,3,55.4%:38.8%,1
2014,09,55990,NA,NA,1.6%:9.9%,3,5.1%:13.0%,3,2.7%:5.6%,3,90.6%:71.5%,2
2014,09,73000,NA,NA,2.8%:10.3%,3,5.9%:15.3%,3,4.5%:9.1%,3,86.8%:65.3%,3
2014,09,80000,NA,NA,11.4%:18.4%,3,17.1%:30.8%,3,3.0%:4.7%,3,68.4%:46.1%,2
2014,11,50000,NA,NA,26.9%:45.5%,1,5.0%:7.6%,1,4.8%:6.6%,1,63.3%:40.3%,1
2014,12,07300,NA,NA,0.2%:4.9%,3,7.8%:11.3%,2,3.1%:3.4%,2,88.9%:80.4%,2
2014,12,07875,NA,NA,4.2%:13.4%,2,5.9%:9.5%,2,2.2%:3.0%,3,87.7%:74.2%,2
2014,12,10275,NA,NA,2.6%:4.6%,1,9.0%:15.0%,1,2.1%:1.2%,3,86.3%:79.2%,1
2014,12,12875,NA,NA,2.3%:8.7%,2,2.7%:9.2%,2,3.2%:3.6%,3,91.8%:78.5%,2
2014,12,14400,NA,NA,5.1%:14.8%,1,13.1%:19.3%,1,8.9%:9.6%,1,72.8%:56.3%,1
2014,12,16475,NA,NA,2.5%:6.8%,2,21.7%:28.9%,2,5.7%:4.6%,2,70.0%:59.7%,2
2014,12,16725,NA,NA,5.0%:14.4%,2,14.3%:14.6%,2,4.6%:4.0%,3,76.1%:66.9%,2
2014,12,17200,NA,NA,10.2%:10.3%,3,11.3%:17.2%,2,4.6%:2.6%,3,73.8%:69.9%,2
2014,12,17935,NA,NA,0.8%:4.2%,3,79.5%:84.0%,2,6.0%:3.6%,3,13.7%:8.2%,3
2014,12,24000,NA,NA,4.7%:23.5%,3,14.0%:16.7%,3,2.4%:2.7%,3,78.9%:57.1%,3
2014,12,24125,NA,NA,2.8%:15.1%,2,4.7%:14.6%,2,5.2%:3.2%,3,87.3%:67.0%,2
2014,12,25175,NA,NA,12.0%:19.1%,1,6.2%:8.6%,3,5.4%:8.6%,1,76.4%:63.7%,1
2014,12,30000,NA,NA,3.1%:3.9%,2,92.1%:92.3%,2,0.7%:0.6%,3,4.1%:3.2%,2
2014,12,32000,NA,NA,7.8%:17.3%,2,20.6%:27.3%,2,4.2%:5.4%,2,67.5%:49.9%,2
2014,12,32275,NA,NA,3.4%:15.3%,3,27.9%:51.4%,3,1.8%:1.4%,3,66.9%:31.9%,3
2014,12,35000,NA,NA,13.0%:29.1%,3,3.8%:6.5%,3,5.0%:5.5%,3,78.1%:58.9%,3
2014,12,36950,NA,NA,9.1%:11.6%,3,39.9%:47.2%,2,3.8%:3.6%,3,47.2%:37.6%,2
2014,12,38250,NA,NA,8.8%:15.2%,2,7.5%:11.1%,2,2.6%:3.2%,2,81.0%:70.5%,2
2014,12,39425,NA,NA,2.5%:7.2%,2,5.3%:8.0%,2,2.8%:3.5%,2,89.4%:81.3%,2
2014,12,43975,NA,NA,3.0%:5.2%,2,6.0%:7.1%,2,5.7%:6.0%,2,85.3%:81.7%,2
2014,12,45000,NA,NA,3.8%:16.4%,2,57.1%:67.2%,2,4.0%:2.1%,2,35.2%:14.3%,2
2014,12,45025,NA,NA,2.0%:7.3%,3,27.2%:42.2%,2,1.6%:3.5%,3,69.3%:47.0%,2
2014,12,45060,NA,NA,57.3%:57.1%,2,30.8%:34.3%,2,2.9%:2.9%,3,9.0%:5.7%,2
2014,12,45975,NA,NA,27.5%:30.7%,2,34.1%:35.7%,2,7.3%:5.6%,2,31.1%:28.1%,2
2014,12,49675,NA,NA,1.8%:2.3%,3,5.3%:3.0%,3,2.9%:1.6%,3,89.9%:93.2%,3
2014,12,53000,NA,NA,7.1%:22.7%,3,13.4%:25.9%,3,5.6%:5.5%,3,74.0%:45.9%,3
2014,12,54000,NA,NA,11.4%:18.0%,3,13.8%:12.0%,1,1.9%:3.4%,3,72.9%:66.6%,1
2014,12,54200,NA,NA,6.6%:10.0%,3,3.7%:4.9%,3,1.9%:1.6%,3,87.8%:83.4%,2
2014,12,55775,NA,NA,14.7%:17.0%,2,34.0%:38.2%,2,6.8%:6.4%,2,44.6%:38.4%,2
2014,12,57425,NA,NA,15.9%:24.3%,2,16.3%:22.2%,2,3.5%:5.3%,2,64.3%:48.1%,2
2014,12,58050,NA,NA,2.9%:17.4%,2,8.0%:10.8%,2,1.2%:2.3%,2,87.9%:69.5%,2
2014,12,58715,NA,NA,12.5%:14.7%,1,10.7%:14.2%,1,3.5%:3.0%,3,73.3%:68.1%,1
2014,12,63000,NA,NA,6.0%:17.5%,3,3.0%:5.3%,3,2.2%:3.7%,3,88.8%:73.5%,3
2014,12,69700,NA,NA,15.2%:23.5%,2,17.9%:23.0%,2,3.8%:5.3%,2,63.2%:48.1%,2
2014,12,70600,NA,NA,14.3%:34.3%,1,5.0%:7.6%,3,4.1%:4.3%,3,76.6%:53.8%,1
2014,12,71000,NA,NA,6.7%:22.4%,2,13.3%:21.2%,2,5.6%:4.6%,2,74.4%:51.8%,2
2014,12,76600,NA,NA,9.1%:26.4%,2,8.0%:22.5%,2,1.7%:3.8%,2,81.2%:47.3%,2
2014,13,03440,NA,NA,11.7%:24.6%,2,1.9%:6.7%,3,3.0%:5.2%,3,83.3%:63.6%,2
2014,13,04000,NA,NA,12.9%:45.8%,3,2.1%:4.7%,3,3.2%:6.2%,3,81.8%:43.4%,3
2014,13,04204,NA,NA,38.2%:50.9%,1,2.8%:4.3%,3,3.3%:4.1%,3,55.8%:40.6%,1
2014,13,19000,NA,NA,26.1%:43.5%,3,2.9%:6.1%,3,3.1%:5.5%,3,68.0%:44.9%,3
2014,13,42425,NA,NA,2.5%:9.5%,3,1.5%:4.8%,3,22.8%:22.4%,2,73.1%:63.2%,2
2014,13,49008,NA,NA,24.9%:50.9%,1,2.1%:2.2%,3,1.4%:2.7%,3,71.5%:44.2%,1
2014,13,67284,NA,NA,3.0%:12.6%,3,1.6%:8.2%,3,6.9%:9.2%,2,88.4%:70.0%,2
2014,13,68516,NA,NA,1.4%:21.0%,3,4.4%:6.5%,3,7.4%:9.7%,3,86.8%:62.8%,1
2014,13,69000,NA,NA,22.8%:45.9%,3,4.9%:4.2%,3,4.0%:3.3%,3,68.2%:46.6%,3
2014,13,80508,NA,NA,14.5%:28.6%,2,3.1%:5.2%,3,6.7%:4.1%,3,75.7%:62.2%,2
2014,15,71550,NA,NA,0.2%:2.5%,3,1.9%:4.3%,3,77.3%:70.8%,1,20.6%:22.3%,1
2014,16,08830,NA,NA,1.2%:1.1%,3,2.0%:6.8%,2,3.7%:5.1%,2,93.1%:86.9%,2
2014,16,52120,NA,NA,NA%:0.0%,NA,4.1%:7.4%,3,5.5%:3.8%,3,90.5%:88.7%,3
2014,16,56260,NA,NA,NA%:0.0%,NA,6.8%:13.4%,2,3.4%:2.8%,3,89.8%:83.7%,2
2014,17,02154,NA,NA,0.5%:2.4%,3,6.1%:11.4%,3,8.3%:11.3%,3,85.2%:75.0%,3
2014,17,03012,NA,NA,4.4%:9.0%,2,19.7%:30.1%,2,9.7%:7.2%,2,66.1%:53.7%,2
