year,state,county,share_poverty_exposure,share_poverty_exposure_quality
2016,04,007,0.3370280255925025,1
2016,04,009,0.2918183043536865,1
2016,04,011,0,1
2016,04,012,0,1
2016,04,013,0.22517940385258803,1
2016,04,015,0.04682715658325414,1
2016,04,017,0.46049089469517024,1
2016,04,019,0.2057445289561404,1
2016,04,021,0.17051929024906398,1
2016,04,023,0.1551125657046514,1
2016,04,025,0,1
2016,04,027,0.17059261095958345,1
2016,05,001,0,1
2016,05,003,0,1
2016,05,005,0,1
2016,05,007,0,1
2016,05,009,0,1
2016,05,011,0,1
2016,05,013,0,1
2016,05,015,0,1
2016,05,017,0.3234932349323493,1
2016,05,019,0,1
2016,05,021,0,1
2016,05,023,0,1
2016,05,025,0,1
2016,05,027,0.2852535387923311,1
2016,05,029,0,1
2016,05,031,0.13280162723477143,1
2016,05,033,0,1
2016,05,035,0.35493286631640397,1
2016,05,037,0,1
2016,05,039,0,1
2016,05,041,0.2086032650945841,1
2016,05,043,0,1
2016,05,045,0.08106508875739644,1
2016,05,047,0,1
2016,05,049,0,1
2016,05,051,0.17480523448240745,1
2016,05,053,0,1
2016,05,055,0,1
2016,05,057,0.3463572769152022,1
2016,05,059,0,1
2016,05,061,0,1
2016,05,063,0,1
2016,05,065,0,1
2016,05,067,0.3067770305225039,1
2016,05,069,0.2403443599268825,1
2016,05,071,0,1
2016,05,073,0,1
2016,05,075,0,1
2016,05,077,0,1
2016,05,079,0,1
2016,05,081,0,1
2016,05,083,0,1
2016,05,085,0,1
2016,05,087,0,1
2016,05,089,0,1
2016,05,091,0.23282660875528632,1
2016,05,093,0.17165596454734558,1
2016,05,095,0,1
2016,05,097,0,1
2016,05,099,0,1
2016,05,101,0,1
2016,05,103,0,1
2016,05,105,0,1
2016,05,107,0.3301457194899818,1
2016,05,109,0,1
2016,05,111,0,1
2016,05,113,0,1
2016,05,115,0,1
2016,05,117,0,1
2016,05,119,0.20065642679257778,1
2016,05,121,0,1
2016,05,123,0.3362263495920847,1
2016,05,125,0,1
2016,05,127,0,1
2016,05,129,0,1
2016,05,131,0.1828077131014597,1
2016,05,133,0,1
2016,05,135,0,1
2016,05,137,0,1
2016,05,139,0,1
2016,05,141,0,1
2016,05,143,0.17645013905442988,1
2016,05,145,0,1
2016,05,147,0,1
2016,05,149,0,1
2016,06,001,0.07056279339627618,1
2016,06,003,0,1
2016,06,005,0,1
2016,06,007,0.2125452040640606,1
2016,06,009,0,1
2016,06,011,0,1
2016,06,013,0,1
2016,06,015,0,1
2016,06,017,0,1
2016,06,019,0.4266847672557205,1
2016,06,021,0,1
2016,06,023,0.13157989942476755,1
2016,06,025,0.10884789899388439,1
2016,06,027,0,1
2016,06,029,0.3250511952416724,1
2016,06,031,0.11234778967935523,1
2016,06,033,0.08360645202750466,1
2016,06,035,0,1
2016,06,037,0.10502635649950313,1
2016,06,039,0,1
2016,06,041,0,1
2016,06,043,0,1
2016,06,045,0,1
2016,06,047,0.17963326471010677,1
2016,06,049,0,1
2016,06,051,0,2
2016,06,053,0.01790643998250087,1
2016,06,055,0.007115671024325666,1
2016,06,057,0,1
2016,06,059,0.03269304588697881,1
2016,06,061,0,1
2016,06,063,0,1
2016,06,065,0.07906522356639031,1
2016,06,067,0.11642268195356432,1
2016,06,069,0,1
2016,06,071,0.1383189484822601,1
2016,06,073,0.06798506387042141,1
2016,06,075,0.04724515262046458,1
2016,06,077,0.13760665237946174,1
2016,06,079,0.25679961298645454,1
2016,06,081,0,1
2016,06,083,0.1676883971291866,1
2016,06,085,0.004633796519426524,1
2016,06,087,0.09854377598122975,1
2016,06,089,0,1
2016,06,091,0,2
2016,06,093,0,1
2016,06,095,0.04520792265089646,1
2016,06,097,0,1
2016,06,099,0.09042292064884738,1
2016,06,101,0,1
2016,06,103,0,1
2016,06,105,0,1
2016,06,107,0.31894910721308894,1
2016,06,109,0,1
2016,06,111,0.029484890265126688,1
2016,06,113,0.29572214509743433,1
2016,06,115,0.30152519893899205,1
2016,08,001,0.033330612911123804,1
2016,08,003,0.4419139155871291,1
2016,08,005,0,1
2016,08,007,0,1
2016,08,009,0,1
2016,08,011,0,1
2016,08,013,0.25007365216537364,1
2016,08,014,0,1
2016,08,015,0,1
2016,08,017,0,2
2016,08,019,0,1
2016,08,021,0,1
2016,08,023,0,1
2016,08,025,0,1
2016,08,027,0,2
2016,08,029,0,1
2016,08,031,0.09322216497259825,1
2016,08,033,0,2
2016,08,035,0,1
2016,08,037,0,1
2016,08,039,0,1
2016,08,041,0,1
2016,08,043,0,1
2016,08,045,0,1
2016,08,047,0,2
2016,08,049,0,1
2016,08,051,0,1
2016,08,053,0,2
2016,08,055,0,1
2016,08,057,0,2
2016,08,059,0,1
2016,08,061,0,2
2016,08,063,0,1
2016,08,065,0,2
2016,08,067,0,1
2016,08,069,0.15547550432276658,1
2016,08,071,0,1
2016,08,073,0,2
2016,08,075,0,1
2016,08,077,0,1
2016,08,079,0,2
2016,08,081,0,1
2016,08,083,0,1
2016,08,085,0,1
2016,08,087,0,1
2016,08,089,0,1
2016,08,091,0,1
2016,08,093,0,1
2016,08,095,0,2
2016,08,097,0,1
2016,08,099,0,1
2016,08,101,0.20653775033691665,1
2016,08,103,0,1
2016,08,105,0,1
2016,08,107,0,1
2016,08,109,0,1
2016,08,111,NA,NA
2016,08,113,0,1
2016,08,115,0,1
2016,08,117,0,1
2016,08,119,0,1
2016,08,121,0,1
2016,08,123,0.15694566813509545,1
2016,08,125,0,1
2016,09,001,0.05330276016823415,1
2016,09,003,0.1800852920757711,1
2016,09,005,0,1
2016,09,007,0,1
2016,09,009,0.13269223566425709,1
2016,09,011,0.05923181906804445,1
2016,09,013,0.019299577144096282,1
2016,09,015,0.13756191084837832,1
2016,10,001,0,1
2016,10,003,0.1286153542594998,1
2016,10,005,0,1
2016,11,001,0.21847224701053009,1
2016,12,001,0.43348690633188897,1
2016,12,003,0,1
2016,12,005,0.03687461170193327,1
2016,12,007,0,1
2016,12,009,0.0777305221246946,1
2016,12,011,0.0608690084776722,1
2016,12,013,0,1
2016,12,015,0,1
2016,12,017,0,1
2016,12,019,0,1
2016,12,021,0.14646831955922865,1
2016,12,023,0,1
2016,12,027,0.2598790322580645,1
2016,12,029,0,1
2016,12,031,0.12042912233678855,1
2016,12,033,0.011904761904761904,1
2016,12,035,0,1
2016,12,037,0,1
2016,12,039,0,1
2016,12,041,0,1
2016,12,043,0,1
2016,12,045,0,1
2016,12,047,0,1
2016,12,049,0,1
2016,12,051,0,1
2016,12,053,0.04673413063477461,1
2016,12,055,0.27190428291598284,1
2016,12,057,0.1691748686588689,1
2016,12,059,0,1
2016,12,061,0,1
2016,12,063,0,1
2016,12,065,0,1
2016,12,067,0,1
2016,12,069,0,1
2016,12,071,0.06622592809372571,1
2016,12,073,0.5128465295452982,1
2016,12,075,0,1
2016,12,077,0,1
2016,12,079,0,1
2016,12,081,0.12867808519982432,1
2016,12,083,0.06059801546477284,1
2016,12,085,0.048766753012726656,1
2016,12,086,0.12998163338395805,1
2016,12,087,4.075394803871625e-4,1
2016,12,089,0,1
2016,12,091,0,1
2016,12,093,0.12608456891817682,1
2016,12,095,0.04877301336602154,1
2016,12,097,0,1
2016,12,099,0.08363187540205118,1
2016,12,101,0,1
2016,12,103,0.05667536163149158,1
2016,12,105,0.11750510319800408,1
2016,12,107,0.1180439330543933,1
2016,12,109,0.04759446623993392,1
2016,12,111,0.1422273558571566,1
2016,12,113,0,1
2016,12,115,0.041819736142880246,1
2016,12,117,0.020612918434700613,1
2016,12,119,0.040510490186599635,1
2016,12,121,0,1
2016,12,123,0,1
2016,12,125,0,1
2016,12,127,0.060614391584986854,1
2016,12,129,0,1
2016,12,131,0,1
2016,12,133,0,1
2016,13,001,0,1
2016,13,003,0,1
2016,13,005,0,1
2016,13,007,0,2
2016,13,009,0.29824842037910904,1
2016,13,011,0,1
2016,13,013,0,1
2016,13,015,0,1
2016,13,017,0.2550437121721587,1
2016,13,019,0,1
2016,13,021,0.6112233718807061,1
2016,13,023,0,1
2016,13,025,0,1
2016,13,027,0,1
2016,13,029,0,1
2016,13,031,0.43772105917216325,1
2016,13,033,0,1
2016,13,035,0,1
2016,13,037,0.8112827400940228,1
2016,13,039,0,1
2016,13,043,0,1
2016,13,045,0,1
2016,13,047,0,1
2016,13,049,0,1
2016,13,051,0.14562306900102986,1
2016,13,053,0,1
2016,13,055,0,1
2016,13,057,0,1
2016,13,059,0.5379510260126631,1
2016,13,061,0,1
2016,13,063,0.17232534278518796,1
2016,13,065,0,1
2016,13,067,0.046718336348063584,1
2016,13,069,0,1
2016,13,071,0.08527200353825741,1
2016,13,073,0,1
2016,13,075,0,1
2016,13,077,0,1
2016,13,079,0,1
2016,13,081,0.20217771205807233,1
2016,13,083,0,1
2016,13,085,0,1
2016,13,087,0.3336238198983297,1
2016,13,089,0.13696506712156048,1
2016,13,091,0,1
2016,13,093,0,1
2016,13,095,0.6222666963160626,1
2016,13,097,0,1
2016,13,099,0,1
2016,13,101,0,1
2016,13,103,0,1
2016,13,105,0,1
2016,13,107,0,1
2016,13,109,0,1
2016,13,111,0,1
2016,13,113,0,1
2016,13,115,0.06700747581354441,1
2016,13,117,0,1
2016,13,119,0,1
2016,13,121,0.2798795166000709,1
2016,13,123,0,1
2016,13,125,0,1
2016,13,127,0.14851419911708505,1
2016,13,129,0,1
2016,13,131,0,1
2016,13,133,0,1
2016,13,135,0,1
2016,13,137,0,1
2016,13,139,0.19616191904047975,1
2016,13,141,0,1
2016,13,143,0,1
2016,13,145,0,1
2016,13,147,0,1
2016,13,149,0,1
2016,13,151,0,1
2016,13,153,0.14815796448449509,1
2016,13,155,0,1
2016,13,157,0,1
2016,13,159,0,1
2016,13,161,0,1
2016,13,163,0,1
2016,13,165,0,1
2016,13,167,0,1
2016,13,169,0,1
2016,13,171,0,1
2016,13,173,0,1
2016,13,175,0.1629663891458526,1
2016,13,177,0,1
2016,13,179,0,1
2016,13,181,0,1
2016,13,183,0,1
2016,13,185,0.42342178160081645,1
2016,13,187,0,1
2016,13,189,0,1
2016,13,191,0,1
2016,13,193,0,1
2016,13,195,0,1
2016,13,197,0,1
2016,13,199,0,1
2016,13,201,0,1
2016,13,205,0.17304847986852917,1
2016,13,207,0,1
2016,13,209,0,1
2016,13,211,0,1
2016,13,213,0,1
2016,13,215,0.37189421586761984,1
2016,13,217,0.1577950043066322,1
2016,13,219,0,1
2016,13,221,0,1
2016,13,223,0,1
2016,13,225,0.16596235113330773,1
2016,13,227,0,1
2016,13,229,0,1
2016,13,231,0,1
2016,13,233,0,1
2016,13,235,0,1
2016,13,237,0,1
2016,13,239,0,1
2016,13,241,0,1
2016,13,243,0,1
2016,13,245,0.25109805134549956,1
2016,13,247,0,1
2016,13,249,0,1
2016,13,251,0,1
2016,13,253,0,1
2016,13,255,0.2699013380186512,1
2016,13,257,0,1
2016,13,259,0.6086434573829532,1
2016,13,261,0.4869217355626218,1
2016,13,263,0,1
2016,13,265,0,1
2016,13,267,0.29584120982986767,1
2016,13,269,0,1
2016,13,271,0,1
2016,13,273,0.3973141172617098,1
2016,13,275,0,1
2016,13,277,0.4648430156044369,1
2016,13,279,0,1
2016,13,281,0,1
2016,13,283,0,1
2016,13,285,0.10918821239922158,1
2016,13,287,0,1
2016,13,289,0,1
2016,13,291,0,1
2016,13,293,0,1
2016,13,295,0,1
2016,13,297,0,1
2016,13,299,0.1511278195488722,1
2016,13,301,0,1
2016,13,303,0,1
2016,13,305,0,1
2016,13,307,0,1
2016,13,309,0,1
2016,13,311,0,1
2016,13,313,0,1
2016,13,315,0,1
2016,13,317,0.29083969465648857,1
2016,13,319,0,1
2016,13,321,0,1
2016,15,001,0.09902901754484147,1
2016,15,003,0.02334023174227249,1
2016,15,005,NA,NA
2016,15,007,0,1
2016,15,009,0,1
2016,16,001,0.07072268644449228,1
2016,16,003,0,1
2016,16,005,0.15885714285714286,1
2016,16,007,0,1
2016,16,009,0,1
2016,16,011,0,1
2016,16,013,0,1
2016,16,015,0,1
2016,16,017,0,1
2016,16,019,0,1
2016,16,021,0,1
2016,16,023,0,2
2016,16,025,0,2
2016,16,027,0.138120216239362,1
2016,16,029,0,1
2016,16,031,0,1
2016,16,033,0,2
2016,16,035,0,1
2016,16,037,0,1
2016,16,039,0,1
2016,16,041,0,1
2016,16,043,0,1
2016,16,045,0,1
2016,16,047,0,1
2016,16,049,0,1
2016,16,051,0,1
2016,16,053,0,1
2016,16,055,0,1
2016,16,057,0,1
2016,16,059,0,1
2016,16,061,0,1
2016,16,063,0,1
2016,16,065,0.6855880909537052,1
2016,16,067,0,1
2016,16,069,0,1
2016,16,071,0,1
2016,16,073,0,1
2016,16,075,0,1
2016,16,077,0,2
2016,16,079,0,1
2016,16,081,0,2
2016,16,083,0,1
2016,16,085,0,2
2016,16,087,0,1
2016,17,001,0,1
2016,17,003,0.5490367775831874,1
2016,17,005,0,1
2016,17,007,0,1
2016,17,009,0,1
2016,17,011,0,1
2016,17,013,0,1
2016,17,015,0,1
2016,17,017,0,1
2016,17,019,0.41199193411238794,1
2016,17,021,0,1
2016,17,023,0,1
2016,17,025,0,1
2016,17,027,0,1
2016,17,029,0.0955092895154514,1
2016,17,031,0.15399646543291443,1
2016,17,033,0,1
2016,17,035,0,1
2016,17,037,0.3952558191211599,1
2016,17,039,0,1
2016,17,041,0,1
2016,17,043,0,1
2016,17,045,0,1
2016,17,047,0,1
2016,17,049,0,1
2016,17,051,0,1
2016,17,053,0,1
2016,17,055,0,1
2016,17,057,0,1
2016,17,059,0,1
2016,17,061,0,1
2016,17,063,0,1
2016,17,065,0,1
2016,17,067,0,1
2016,17,069,0,1
2016,17,071,0,1
2016,17,073,0,1
2016,17,075,0,1
2016,17,077,0.5492821734371982,1
2016,17,079,0,1
2016,17,081,0.13469962453066334,1
2016,17,083,0,1
2016,17,085,0,1
2016,17,087,0,1
2016,17,089,0,1
2016,17,091,0.325,1
2016,17,093,0,1
2016,17,095,0.25492991209313376,1
2016,17,097,0.025220888830278253,1
2016,17,099,0,1
2016,17,101,0,1
2016,17,103,0,1
2016,17,105,0,1
2016,17,107,0,1
2016,17,109,0.5421464762782128,1
2016,17,111,0,1
2016,17,113,0.12429210134128167,1
2016,17,115,0.40349536329359015,1
2016,17,117,0,1
2016,17,119,0,1
2016,17,121,0,1
2016,17,123,0,1
2016,17,125,0,1
2016,17,127,0,1
2016,17,129,0,1
2016,17,131,0,1
2016,17,133,0,1
2016,17,135,0,1
2016,17,137,0,1
2016,17,139,0,1
2016,17,141,0,1
2016,17,143,0.27351538794971825,1
2016,17,145,0,1
2016,17,147,0,1
2016,17,149,0,1
2016,17,151,0,1
2016,17,153,0,1
2016,17,155,0,1
2016,17,157,0,1
2016,17,159,0,1
2016,17,161,0.0863157894736842,1
2016,17,163,0.2812045420004777,1
2016,17,165,0,1
2016,17,167,0.23557432432432432,1
2016,17,169,0,1
2016,17,171,0,1
2016,17,173,0,1
2016,17,175,0,1
2016,17,177,0.09482160211023184,1
2016,17,179,0,1
2016,17,181,0,1
2016,17,183,0.2277214602795998,1
2016,17,185,0,1
2016,17,187,0,1
2016,17,189,0,1
2016,17,191,0,1
2016,17,193,0,1
2016,17,195,0,1
2016,17,197,0.04950361705402494,1
2016,17,199,0,1
2016,17,201,0.20648278365013836,1
2016,17,203,0,1
2016,18,001,0,1
2016,18,003,0.2525804381703181,1
2016,18,005,0,1
2016,18,007,0,1
2016,18,009,0,1
2016,18,011,0,1
2016,18,013,0,1
2016,18,015,0,1
2016,18,017,0,1
2016,18,019,0,1
2016,18,021,0,1
2016,18,023,0,1
2016,18,025,0,1
2016,18,027,0,1
2016,18,029,0,1
2016,18,031,0,1
2016,18,033,0,1
2016,18,035,0.40091685767868307,1
2016,18,037,0,1
2016,18,039,0.09553793267758075,1
2016,18,041,0,1
2016,18,043,0.1459668508287293,1
2016,18,045,0,1
2016,18,047,0,1
2016,18,049,0,1
2016,18,051,0,1
2016,18,053,0,1
2016,18,055,0,1
2016,18,057,0,1
2016,18,059,0,1
2016,18,061,0,1
2016,18,063,0,1
2016,18,065,0,1
2016,18,067,0.10947676545920235,1
2016,18,069,0,1
2016,18,071,0,1
2016,18,073,0,1
2016,18,075,0,1
2016,18,077,0,1
2016,18,079,0,1
2016,18,081,0,1
2016,18,083,0,1
2016,18,085,0,1
2016,18,087,0,1
2016,18,089,0.2175019139037748,1
2016,18,091,0.0985755632483968,1
2016,18,093,0,1
2016,18,095,0.10049471335726065,1
2016,18,097,0.23746974720928002,1
2016,18,099,0,1
2016,18,101,0,1
2016,18,103,0,1
2016,18,105,0.4139620521782549,1
2016,18,107,0,1
2016,18,109,0,1
2016,18,111,0,1
2016,18,113,0,1
2016,18,115,0,1
2016,18,117,0,1
2016,18,119,0,1
2016,18,121,0,1
2016,18,123,0,1
2016,18,125,0,1
2016,18,127,0,1
2016,18,129,0,1
2016,18,131,0,1
2016,18,133,0,1
2016,18,135,0,1
2016,18,137,0,1
2016,18,139,0,1
2016,18,141,0.24136046988116377,1
2016,18,143,0,1
2016,18,145,0,1
2016,18,147,0,1
2016,18,149,0,1
2016,18,151,0,1
2016,18,153,0,1
2016,18,155,0,1
2016,18,157,0.3066031276531646,1
2016,18,159,0,1
2016,18,161,0,1
2016,18,163,0.1637495792662403,1
2016,18,165,0,1
2016,18,167,0.21368373809405078,1
2016,18,169,0,1
2016,18,171,0,2
2016,18,173,0,1
2016,18,175,0,1
2016,18,177,0,1
2016,18,179,0,1
2016,18,181,0,1
2016,18,183,0,1
2016,19,001,0,1
2016,19,003,0,1
2016,19,005,0,1
2016,19,007,0,1
2016,19,009,0,1
2016,19,011,0,1
2016,19,013,0.07543993879112472,1
2016,19,015,0,1
2016,19,017,0,1
2016,19,019,0,1
2016,19,021,0,1
2016,19,023,0,1
2016,19,025,0,1
2016,19,027,0,1
2016,19,029,0,1
2016,19,031,0,1
2016,19,033,0,1
2016,19,035,0,1
2016,19,037,0,1
2016,19,039,0,1
2016,19,041,0,1
2016,19,043,0,1
2016,19,045,0,1
2016,19,047,0,1
2016,19,049,0,1
2016,19,051,0,1
2016,19,053,0,1
2016,19,055,0,1
2016,19,057,0,1
2016,19,059,0,1
2016,19,061,0.1006370523415978,1
2016,19,063,0,1
2016,19,065,0,1
2016,19,067,0,1
2016,19,069,0,1
2016,19,071,0,1
2016,19,073,0,1
2016,19,075,0,1
2016,19,077,0,1
2016,19,079,0,1
2016,19,081,0,1
2016,19,083,0,1
2016,19,085,0,1
2016,19,087,0,1
2016,19,089,0,1
2016,19,091,0,1
2016,19,093,0,1
2016,19,095,0,1
2016,19,097,0,1
2016,19,099,0,1
2016,19,101,0,1
2016,19,103,0.3499644515076743,1
2016,19,105,0,1
2016,19,107,0,1
2016,19,109,0,1
2016,19,111,0.19020480854853072,1
2016,19,113,0.03359783045399759,1
2016,19,115,0,1
2016,19,117,0,1
2016,19,119,0,1
2016,19,121,0,1
2016,19,123,0,1
2016,19,125,0,1
2016,19,127,0,1
2016,19,129,0,1
2016,19,131,0,1
2016,19,133,0,1
2016,19,135,0,1
2016,19,137,0,1
2016,19,139,0,1
2016,19,141,0,1
2016,19,143,0,1
2016,19,145,0,1
2016,19,147,0,1
2016,19,149,0,1
2016,19,151,0,1
2016,19,153,0.030050739655542058,1
2016,19,155,0,1
2016,19,157,0,1
2016,19,159,0,1
2016,19,161,0,1
2016,19,163,0.05525890363983736,1
2016,19,165,0,1
2016,19,167,0,1
2016,19,169,0.5995588003571616,1
2016,19,171,0,1
2016,19,173,0,1
2016,19,175,0,1
2016,19,177,0,1
2016,19,179,0,1
2016,19,181,0,1
2016,19,183,0,1
2016,19,185,0,1
2016,19,187,0,1
2016,19,189,0,1
2016,19,191,0,1
2016,19,193,0.05886111900028401,1
2016,19,195,0,1
2016,19,197,0,1
2016,20,001,0,1
2016,20,003,0,2
2016,20,005,0,1
2016,20,007,0,1
2016,20,009,0,1
2016,20,011,0,1
2016,20,013,0,1
2016,20,015,0,1
2016,20,017,0,2
2016,20,019,0,1
2016,20,021,0,1
2016,20,023,0,2
2016,20,025,0,1
2016,20,027,0,1
2016,20,029,0,1
2016,20,031,0,1
2016,20,033,0,2
2016,20,035,0,1
2016,20,037,0.11203522504892367,1
2016,20,039,0,1
2016,20,041,0,1
2016,20,043,0,1
2016,20,045,0.163441068318173,1
2016,20,047,0,1
2016,20,049,0,1
2016,20,051,0,1
2016,20,053,0,1
2016,20,055,0,1
2016,20,057,0,1
2016,20,059,0,1
2016,20,061,0,1
2016,20,063,0,1
2016,20,065,0,1
2016,20,067,0,2
2016,20,069,0,1
2016,20,071,0,3
2016,20,073,0,1
2016,20,075,0,2
2016,20,077,0,1
2016,20,079,0,1
2016,20,081,0,1
2016,20,083,0,2
2016,20,085,0,1
2016,20,087,0,1
2016,20,089,0,1
2016,20,091,0,1
2016,20,093,0,2
2016,20,095,0,2
2016,20,097,0,1
2016,20,099,0,1
2016,20,101,0,2
2016,20,103,0,1
2016,20,105,0,1
2016,20,107,0,1
2016,20,109,0,1
2016,20,111,0.19622245540398742,1
2016,20,113,0,1
2016,20,115,0,1
2016,20,117,0,1
2016,20,119,0,1
2016,20,121,0,1
2016,20,123,0,1
2016,20,125,0,1
2016,20,127,0,1
2016,20,129,0,2
2016,20,131,0,1
2016,20,133,0,1
2016,20,135,0,1
2016,20,137,0,2
2016,20,139,0,1
2016,20,141,0,1
2016,20,143,0,1
2016,20,145,0,2
2016,20,147,0,1
2016,20,149,0,1
2016,20,151,0,1
2016,20,153,0,1
2016,20,155,0,1
2016,20,157,0,1
2016,20,159,0,1
2016,20,161,0.373039659859204,1
2016,20,163,0,1
2016,20,165,0,1
2016,20,167,0,2
2016,20,169,0,1
2016,20,171,0,3
2016,20,173,0.10994223329270232,1
2016,20,175,0,1
2016,20,177,0.1978562921794363,1
2016,20,179,0,2
2016,20,181,0,2
2016,20,183,0,1
2016,20,185,0,1
2016,20,187,0,2
2016,20,189,0,1
2016,20,191,0,1
2016,20,193,0,1
2016,20,195,0,2
2016,20,197,0,1
2016,20,199,0,2
2016,20,201,0,1
2016,20,203,0,2
2016,20,205,0,1
2016,20,207,0,1
2016,20,209,0.23321156856821115,1
2016,21,001,0.1391702846116739,1
2016,21,003,0,1
2016,21,005,0,1
2016,21,007,0,1
2016,21,009,0,1
2016,21,011,0,1
2016,21,013,0.5453150572831423,1
2016,21,015,0,1
2016,21,017,0,1
2016,21,019,0.25639567936327456,1
2016,21,021,0,1
2016,21,023,0,1
2016,21,025,0.12627522103831332,1
2016,21,027,0,1
2016,21,029,0,1
2016,21,031,0,1
2016,21,033,0,1
2016,21,035,0.3847939640162507,1
2016,21,037,0.16897549094230477,1
2016,21,039,0,1
2016,21,041,0,1
2016,21,043,0,1
2016,21,045,0,1
2016,21,047,0.1272687513667177,1
2016,21,049,0,1
2016,21,051,0.5003140309006406,1
2016,21,053,0,1
2016,21,055,0,1
2016,21,057,0,1
2016,21,059,0.11539201230848131,1
2016,21,061,0.09324635456638526,1
2016,21,063,0,1
2016,21,065,0,1
2016,21,067,0.3252958684714053,1
2016,21,069,0,1
2016,21,071,0.11671869580298301,1
2016,21,073,0,1
2016,21,075,0,1
2016,21,077,0,1
2016,21,079,0,1
2016,21,081,0,1
2016,21,083,0,1
2016,21,085,0,1
2016,21,087,0,1
2016,21,089,0,1
2016,21,091,0,1
2016,21,093,0,1
2016,21,095,0.36332844078130294,1
2016,21,097,0,1
2016,21,099,0,1
2016,21,101,0.19825206991720332,1
2016,21,103,0,1
2016,21,105,0,1
2016,21,107,0,1
2016,21,109,0,1
2016,21,111,0.17841857030161634,1
2016,21,113,0,1
2016,21,115,0,1
2016,21,117,0.17541848199954138,1
2016,21,119,0,1
2016,21,121,0.2738151323848111,1
2016,21,123,0,1
2016,21,125,0,1
2016,21,127,0,1
2016,21,129,0.31101694915254235,1
2016,21,131,0,1
2016,21,133,0,1
2016,21,135,0,1
2016,21,137,0.17887254091585386,1
2016,21,139,0,1
2016,21,141,0,1
2016,21,143,0,1
2016,21,145,0.14856286369247046,1
2016,21,147,0.4971039675644367,1
2016,21,149,0,1
2016,21,151,0.04500058065265358,1
2016,21,153,0,1
2016,21,155,0,1
2016,21,157,0,1
2016,21,159,0,1
2016,21,161,0,1
2016,21,163,0.11274288296430185,1
2016,21,165,0,1
2016,21,167,0,1
2016,21,169,0,1
2016,21,171,0,1
2016,21,173,0,1
2016,21,175,0,1
2016,21,177,0,1
2016,21,179,0,1
2016,21,181,0,1
2016,21,183,0,1
2016,21,185,0,1
2016,21,187,0,1
2016,21,189,0.4437046004842615,1
2016,21,191,0,1
2016,21,193,0.09210170408439275,1
2016,21,195,0.06993817619783617,1
2016,21,197,0,1
2016,21,199,0,1
2016,21,201,0,1
2016,21,203,0,1
2016,21,205,0.4295825771324864,1
2016,21,207,0,1
2016,21,209,0,1
2016,21,211,0,1
2016,21,213,0,1
2016,21,215,0,1
2016,21,217,0,1
2016,21,219,0,1
2016,21,221,0.009283819628647215,1
