year,metro,subgroup_type,subgroup,learning_rate,learning_rate_lb,learning_rate_ub,learning_rate_quality
2017,10540,race-ethnicity,Hispanic,1.2706372,.93687522,1.6043991,2
2017,10540,race-ethnicity,"White, Non-Hispanic",.94768327,.79976547,1.0956011,2
2017,10580,all,All,.72525603,.44929817,1.0012139,3
2017,10580,gender,Female,.73729461,.44709226,1.0274969,3
2017,10580,gender,Male,.72496164,.4095448,1.0403785,3
2017,10580,income,Economically Disadvantaged,.60151482,.20810899,.99492061,3
2017,10580,income,Not Economically Disadvantaged,.87694657,.58648044,1.1674128,3
2017,10580,race-ethnicity,"Black, Non-Hispanic",.4098703,-.12718529,.94692588,3
2017,10580,race-ethnicity,Hispanic,.44228095,-.39299348,1.2775553,3
2017,10580,race-ethnicity,"White, Non-Hispanic",.80816209,.56311816,1.0532061,3
2017,10620,all,All,.90781289,.74092746,1.0746983,1
2017,10620,gender,Female,.93768555,.76384294,1.1115282,1
2017,10620,gender,Male,.87960857,.68710971,1.0721074,1
2017,10620,income,Economically Disadvantaged,.70618546,.43489176,.97747916,1
2017,10620,income,Not Economically Disadvantaged,.90063965,.7009328,1.1003464,1
2017,10620,race-ethnicity,"Black, Non-Hispanic",.96374804,.61237144,1.3151246,1
2017,10620,race-ethnicity,Hispanic,.91628867,.46110874,1.3714685,1
2017,10620,race-ethnicity,"White, Non-Hispanic",.91383618,.76630282,1.0613695,1
2017,10660,all,All,.84648502,.52983904,1.163131,1
2017,10660,gender,Female,.9456234,.61323828,1.2780086,1
2017,10660,gender,Male,.75150996,.38896173,1.1140581,1
2017,10660,income,Economically Disadvantaged,.69073659,.31094909,1.0705241,1
2017,10660,income,Not Economically Disadvantaged,.93120682,.55060583,1.3118079,1
2017,10660,race-ethnicity,"Black, Non-Hispanic",,,,
2017,10660,race-ethnicity,Hispanic,.96493793,.39288026,1.5369955,1
2017,10660,race-ethnicity,"White, Non-Hispanic",.85712016,.57922071,1.1350195,1
2017,10700,all,All,.90533406,.78679353,1.0238745,1
2017,10700,gender,Female,.93196195,.80714691,1.056777,1
2017,10700,gender,Male,.88513583,.74980342,1.0204682,1
2017,10700,income,Economically Disadvantaged,.89570308,.76486671,1.0265394,1
2017,10700,income,Not Economically Disadvantaged,.82784218,.66457337,.99111098,1
2017,10700,race-ethnicity,"Black, Non-Hispanic",1.2723123,.19842368,2.3462009,3
2017,10700,race-ethnicity,Hispanic,.87512141,.70048159,1.0497612,1
2017,10700,race-ethnicity,"White, Non-Hispanic",.90738243,.8001256,1.0146393,1
2017,10740,all,All,1.106106,.85320604,1.359006,3
2017,10740,gender,Female,1.0988723,.8339026,1.363842,3
2017,10740,gender,Male,1.1075548,.81747031,1.3976393,3
2017,10740,income,Economically Disadvantaged,1.1640195,.8985315,1.4295074,3
2017,10740,income,Not Economically Disadvantaged,.86835641,.48789242,1.2488204,3
2017,10740,race-ethnicity,"Black, Non-Hispanic",1.1863002,.1394852,2.2331152,3
2017,10740,race-ethnicity,Hispanic,1.1290599,.89949822,1.3586216,3
2017,10740,race-ethnicity,"White, Non-Hispanic",.96684575,.58204287,1.3516486,3
2017,10780,all,All,.95367843,.85776496,1.0495919,1
2017,10780,gender,Female,1.0236146,.92122889,1.1260004,1
2017,10780,gender,Male,.89005387,.78191626,.99819148,1
2017,10780,income,Economically Disadvantaged,.93270612,.83599401,1.0294182,1
2017,10780,income,Not Economically Disadvantaged,1.041981,.88339913,1.2005628,1
2017,10780,race-ethnicity,"Black, Non-Hispanic",.9019469,.79889429,1.0049995,1
2017,10780,race-ethnicity,Hispanic,.93081915,.3711307,1.4905076,1
2017,10780,race-ethnicity,"White, Non-Hispanic",.99955148,.89856839,1.1005346,1
2017,10820,all,All,.88296139,.67449796,1.0914248,1
2017,10820,gender,Female,.90670288,.68846208,1.1249436,1
2017,10820,gender,Male,.85408854,.614793,1.093384,1
2017,10820,income,Economically Disadvantaged,.80041564,.50180203,1.0990293,1
2017,10820,income,Not Economically Disadvantaged,.88160223,.66427767,1.0989268,1
2017,10820,race-ethnicity,"Black, Non-Hispanic",,,,
2017,10820,race-ethnicity,Hispanic,,,,
2017,10820,race-ethnicity,"White, Non-Hispanic",.90200865,.73743385,1.0665835,1
2017,10860,all,All,.92652392,.74919909,1.1038488,1
2017,10860,gender,Female,.92349905,.73506141,1.1119367,1
2017,10860,gender,Male,.92205048,.72126579,1.1228352,1
2017,10860,income,Economically Disadvantaged,.9264527,.74834031,1.104565,1
2017,10860,income,Not Economically Disadvantaged,.93468279,.6379773,1.2313883,1
2017,10860,race-ethnicity,"Black, Non-Hispanic",,,,
2017,10860,race-ethnicity,Hispanic,.94842118,.80912381,1.0877186,1
2017,10860,race-ethnicity,"White, Non-Hispanic",.78817475,.41859138,1.1577581,1
2017,10900,all,All,.92359519,.87836415,.96882623,1
2017,10900,gender,Female,1.0101357,.96257442,1.0576969,1
2017,10900,gender,Male,.84634471,.79463679,.89805263,1
2017,10900,income,Economically Disadvantaged,.91097361,.83181763,.99012959,1
2017,10900,income,Not Economically Disadvantaged,.94496763,.89557838,.99435687,1
2017,10900,race-ethnicity,"Black, Non-Hispanic",.85349047,.70414114,1.0028398,1
2017,10900,race-ethnicity,Hispanic,.92665219,.8375712,1.0157331,1
2017,10900,race-ethnicity,"White, Non-Hispanic",.9561367,.91256315,.99971026,1
2017,10940,all,All,1.0491308,.85035491,1.2479067,1
2017,10940,gender,Female,1.0821973,.8651284,1.2992662,1
2017,10940,gender,Male,1.0180556,.79827499,1.2378361,1
2017,10940,income,Economically Disadvantaged,.98659939,.75311887,1.2200799,1
2017,10940,income,Not Economically Disadvantaged,1.1045786,.85882956,1.3503276,1
2017,10940,race-ethnicity,"Black, Non-Hispanic",,,,
2017,10940,race-ethnicity,Hispanic,1.0761312,.53902096,1.6132414,1
2017,10940,race-ethnicity,"White, Non-Hispanic",1.0399444,.88063759,1.1992512,1
2017,10980,all,All,1.2274263,.97132462,1.4835279,1
2017,10980,gender,Female,1.2062379,.93636286,1.476113,1
2017,10980,gender,Male,1.2536608,.96149248,1.5458292,1
2017,10980,income,Economically Disadvantaged,1.20948,.92589962,1.4930605,1
2017,10980,income,Not Economically Disadvantaged,1.2564012,.91281426,1.5999881,1
2017,10980,race-ethnicity,"Black, Non-Hispanic",,,,
2017,10980,race-ethnicity,Hispanic,,,,
2017,10980,race-ethnicity,"White, Non-Hispanic",1.2369699,1.0394056,1.4345343,1
2017,11020,all,All,.92009169,.80048722,1.0396962,1
2017,11020,gender,Female,.97533286,.84966338,1.1010023,1
2017,11020,gender,Male,.86748368,.73066497,1.0043024,1
2017,11020,income,Economically Disadvantaged,.83717668,.68830442,.98604894,1
2017,11020,income,Not Economically Disadvantaged,.99519986,.85720795,1.1331918,1
2017,11020,race-ethnicity,"Black, Non-Hispanic",.78271145,.35967684,1.2057461,1
2017,11020,race-ethnicity,Hispanic,,,,
2017,11020,race-ethnicity,"White, Non-Hispanic",.93783557,.84393036,1.0317408,1
2017,11060,all,All,.88344234,.65279192,1.1140928,1
2017,11060,gender,Female,.88712198,.64101696,1.133227,1
2017,11060,gender,Male,.88558614,.62530071,1.1458715,1
2017,11060,income,Economically Disadvantaged,.84447676,.58611453,1.102839,1
2017,11060,income,Not Economically Disadvantaged,.89840919,.59419662,1.2026218,1
2017,11060,race-ethnicity,"Black, Non-Hispanic",1.4403168,-1.7586595,4.6392932,3
2017,11060,race-ethnicity,Hispanic,.84277821,.55878925,1.1267672,1
2017,11060,race-ethnicity,"White, Non-Hispanic",.94064307,.68887496,1.1924112,1
2017,11100,all,All,.88570571,.81438875,.95702267,1
2017,11100,gender,Female,.91241956,.83708304,.98775607,1
2017,11100,gender,Male,.86121875,.78004682,.94239068,1
2017,11100,income,Economically Disadvantaged,.92372376,.84223676,1.0052108,1
2017,11100,income,Not Economically Disadvantaged,.76949346,.67823309,.86075383,1
2017,11100,race-ethnicity,"Black, Non-Hispanic",.95745581,.76792258,1.146989,1
2017,11100,race-ethnicity,Hispanic,.94536173,.86234093,1.0283825,1
2017,11100,race-ethnicity,"White, Non-Hispanic",.81679797,.73814458,.89545137,1
2017,11140,all,All,1.034189,.82587099,1.242507,1
2017,11140,gender,Female,1.0706611,.8541947,1.2871274,1
2017,11140,gender,Male,.99848557,.757586,1.2393851,1
2017,11140,income,Economically Disadvantaged,1.048473,.8552798,1.2416662,1
2017,11140,income,Not Economically Disadvantaged,.79779017,.27884436,1.316736,1
2017,11140,race-ethnicity,"Black, Non-Hispanic",1.0639132,.86691839,1.2609081,1
2017,11140,race-ethnicity,Hispanic,1.1029392,.63288546,1.572993,1
2017,11140,race-ethnicity,"White, Non-Hispanic",.80859327,.52812541,1.0890611,1
2017,11180,all,All,.89833635,.74733484,1.0493379,1
2017,11180,gender,Female,.88592392,.721506,1.0503418,1
2017,11180,gender,Male,.91070718,.74334741,1.0780669,1
2017,11180,income,Economically Disadvantaged,.91179353,.65790194,1.1656851,1
2017,11180,income,Not Economically Disadvantaged,.86207116,.71673846,1.0074039,1
2017,11180,race-ethnicity,"Black, Non-Hispanic",.91049969,.44662216,1.3743773,1
2017,11180,race-ethnicity,Hispanic,.8955279,.4470436,1.3440121,1
2017,11180,race-ethnicity,"White, Non-Hispanic",.90237254,.77588457,1.0288604,1
2017,11220,all,All,1.3763679,.27376115,2.4789748,3
2017,11220,gender,Female,1.4370772,.25462463,2.6195297,3
2017,11220,gender,Male,1.3071607,.069142096,2.5451794,3
2017,11220,income,Economically Disadvantaged,1.3790808,.1597545,2.598407,3
2017,11220,income,Not Economically Disadvantaged,1.3477989,-.13280329,2.8284011,3
2017,11220,race-ethnicity,"Black, Non-Hispanic",-.45130226,-4.3200603,3.4174559,3
2017,11220,race-ethnicity,Hispanic,,,,
2017,11220,race-ethnicity,"White, Non-Hispanic",1.5058411,.53661764,2.4750648,3
2017,11244,all,All,1.1460643,1.1214899,1.1706387,1
2017,11244,gender,Female,1.2023257,1.176562,1.2280895,1
2017,11244,gender,Male,1.0889268,1.0607429,1.1171107,1
2017,11244,income,Economically Disadvantaged,1.1405385,1.1106975,1.1703794,1
2017,11244,income,Not Economically Disadvantaged,1.1123137,1.0832083,1.1414192,1
2017,11244,race-ethnicity,"Black, Non-Hispanic",1.0542963,.90306079,1.2055317,1
2017,11244,race-ethnicity,Hispanic,1.1322311,1.106781,1.1576812,1
2017,11244,race-ethnicity,"White, Non-Hispanic",1.0831881,1.0474442,1.1189319,1
2017,11260,all,All,1.2373705,1.0531054,1.4216356,3
2017,11260,gender,Female,1.1540059,.96142596,1.3465859,3
2017,11260,gender,Male,1.327585,1.1157115,1.5394585,3
2017,11260,income,Economically Disadvantaged,1.2266055,.9832232,1.4699879,3
2017,11260,income,Not Economically Disadvantaged,.93843842,.7351324,1.1417444,3
2017,11260,race-ethnicity,"Black, Non-Hispanic",1.3319274,.75124186,1.9126129,3
2017,11260,race-ethnicity,Hispanic,1.2923491,.83619744,1.7485007,3
2017,11260,race-ethnicity,"White, Non-Hispanic",1.0833217,.88966566,1.2769777,3
2017,11380,all,All,1.105835,.85883051,1.3528395,1
2017,11380,gender,Female,1.128603,.87043118,1.3867748,1
2017,11380,gender,Male,1.0855376,.80142885,1.3696463,1
2017,11380,income,Economically Disadvantaged,1.0649837,.73420048,1.395767,1
2017,11380,income,Not Economically Disadvantaged,1.07838,.80896419,1.3477957,1
2017,11380,race-ethnicity,"Black, Non-Hispanic",,,,
2017,11380,race-ethnicity,Hispanic,1.1647137,.94636279,1.3830646,1
2017,11380,race-ethnicity,"White, Non-Hispanic",1.0590066,.70555061,1.4124626,1
2017,11420,all,All,.98820931,.73139411,1.2450244,1
2017,11420,gender,Female,1.0149148,.74510455,1.284725,1
2017,11420,gender,Male,.96280688,.668962,1.2566518,1
2017,11420,income,Economically Disadvantaged,.92050678,.60747325,1.2335403,1
2017,11420,income,Not Economically Disadvantaged,1.0142206,.71022868,1.3182125,1
2017,11420,race-ethnicity,"Black, Non-Hispanic",,,,
2017,11420,race-ethnicity,Hispanic,.82965547,.18876487,1.4705461,3
2017,11420,race-ethnicity,"White, Non-Hispanic",.98428857,.77721566,1.1913615,1
2017,11460,all,All,1.2083991,1.1356275,1.2811706,1
2017,11460,gender,Female,1.195361,1.1189663,1.2717557,1
2017,11460,gender,Male,1.2163979,1.1330832,1.2997125,1
2017,11460,income,Economically Disadvantaged,1.1615912,1.0512549,1.2719275,1
2017,11460,income,Not Economically Disadvantaged,1.1794685,1.1063079,1.2526292,1
2017,11460,race-ethnicity,"Black, Non-Hispanic",1.1570705,1.0409806,1.2731605,1
2017,11460,race-ethnicity,Hispanic,1.2166723,.99682772,1.4365169,1
2017,11460,race-ethnicity,"White, Non-Hispanic",1.1823118,1.1114445,1.2531791,1
2017,11500,all,All,.77671015,.65616053,.89725977,1
2017,11500,gender,Female,.79224992,.66385031,.92064953,1
2017,11500,gender,Male,.76168656,.62550384,.89786929,1
2017,11500,income,Economically Disadvantaged,.74439991,.60769904,.88110077,1
2017,11500,income,Not Economically Disadvantaged,.75359637,.59760076,.90959197,1
2017,11500,race-ethnicity,"Black, Non-Hispanic",.8104642,.64556754,.97536087,1
2017,11500,race-ethnicity,Hispanic,.99562061,.53532714,1.455914,1
2017,11500,race-ethnicity,"White, Non-Hispanic",.73667151,.62435621,.8489868,1
2017,11540,all,All,1.0953338,1.0127574,1.1779102,1
2017,11540,gender,Female,1.1532897,1.0655402,1.2410392,1
2017,11540,gender,Male,1.0421495,.948672,1.135627,1
2017,11540,income,Economically Disadvantaged,1.0897769,.95817536,1.2213784,1
2017,11540,income,Not Economically Disadvantaged,1.0896623,1.0085419,1.1707827,1
2017,11540,race-ethnicity,"Black, Non-Hispanic",.88782984,.52357358,1.2520862,1
2017,11540,race-ethnicity,Hispanic,1.146785,.92013204,1.373438,1
2017,11540,race-ethnicity,"White, Non-Hispanic",1.0889475,1.0199506,1.1579444,1
2017,11580,all,All,.86173338,.64538908,1.0780777,1
2017,11580,gender,Female,.86332226,.63659197,1.0900526,1
2017,11580,gender,Male,.86669654,.61860454,1.1147885,1
2017,11580,income,Economically Disadvantaged,.84909034,.64207333,1.0561073,1
2017,11580,income,Not Economically Disadvantaged,.86341935,.41732338,1.3095154,1
2017,11580,race-ethnicity,"Black, Non-Hispanic",.72342008,.23918259,1.2076576,2
2017,11580,race-ethnicity,Hispanic,.89951146,.67895913,1.1200638,1
2017,11580,race-ethnicity,"White, Non-Hispanic",.86939245,.59423417,1.1445508,1
2017,11620,all,All,.89162296,.72379446,1.0594515,1
2017,11620,gender,Female,.82724899,.65027493,1.004223,1
2017,11620,gender,Male,.95345956,.76201993,1.1448991,1
2017,11620,income,Economically Disadvantaged,.90138519,.72348613,1.0792842,1
2017,11620,income,Not Economically Disadvantaged,.97803044,.73275834,1.2233025,1
2017,11620,race-ethnicity,"Black, Non-Hispanic",1.0337086,.57469302,1.4927241,1
2017,11620,race-ethnicity,Hispanic,.55002642,.17087674,.92917609,1
2017,11620,race-ethnicity,"White, Non-Hispanic",.91116774,.73972225,1.0826132,1
2017,11660,all,All,.79637873,.50684083,1.0859166,1
2017,11660,gender,Female,.77933121,.45786762,1.1007948,1
2017,11660,gender,Male,.82849783,.51249027,1.1445054,1
2017,11660,income,Economically Disadvantaged,.77129537,.4507263,1.0918645,1
2017,11660,income,Not Economically Disadvantaged,.72058243,.33240423,1.1087606,1
2017,11660,race-ethnicity,"Black, Non-Hispanic",.81351101,.45302048,1.1740016,1
2017,11660,race-ethnicity,Hispanic,.89153242,.25533527,1.5277296,3
2017,11660,race-ethnicity,"White, Non-Hispanic",.88772929,.59180439,1.1836542,1
2017,11680,all,All,1.1086504,.8768,1.340501,1
2017,11680,gender,Female,1.1955136,.95306849,1.4379587,1
2017,11680,gender,Male,1.0221879,.75570363,1.2886722,1
2017,11680,income,Economically Disadvantaged,1.1014669,.84837168,1.354562,1
2017,11680,income,Not Economically Disadvantaged,.97663885,.6549412,1.2983365,1
2017,11680,race-ethnicity,"Black, Non-Hispanic",,,,
2017,11680,race-ethnicity,Hispanic,1.0066781,.26184577,1.7515105,3
2017,11680,race-ethnicity,"White, Non-Hispanic",1.1166449,.90852898,1.3247608,1
2017,11700,all,All,.86578256,.79649878,.93506634,1
2017,11700,gender,Female,.89290512,.81954604,.96626419,1
2017,11700,gender,Male,.8376767,.75898868,.91636473,1
2017,11700,income,Economically Disadvantaged,.74316311,.63302749,.85329872,1
2017,11700,income,Not Economically Disadvantaged,.83598369,.75201058,.9199568,1
2017,11700,race-ethnicity,"Black, Non-Hispanic",.68295872,.46644038,.89947706,1
2017,11700,race-ethnicity,Hispanic,.99396336,.86010128,1.1278254,1
2017,11700,race-ethnicity,"White, Non-Hispanic",.85453141,.79354054,.91552228,1
2017,11740,all,All,1.0430666,.84190226,1.244231,1
2017,11740,gender,Female,1.0278239,.81595057,1.2396973,1
2017,11740,gender,Male,1.0352618,.80566478,1.2648587,1
2017,11740,income,Economically Disadvantaged,1.008213,.73244947,1.2839767,1
2017,11740,income,Not Economically Disadvantaged,1.0234681,.80694711,1.2399892,1
2017,11740,race-ethnicity,"Black, Non-Hispanic",,,,
2017,11740,race-ethnicity,Hispanic,,,,
2017,11740,race-ethnicity,"White, Non-Hispanic",1.0439205,.88707364,1.2007674,1
2017,11780,all,All,1.0318508,.88679564,1.176906,1
2017,11780,gender,Female,1.0422847,.88476628,1.1998031,1
2017,11780,gender,Male,1.0087687,.8476221,1.1699152,1
2017,11780,income,Economically Disadvantaged,.99899721,.83722639,1.160768,1
2017,11780,income,Not Economically Disadvantaged,1.103929,.91182148,1.2960366,1
2017,11780,race-ethnicity,"Black, Non-Hispanic",.73698753,-.5145492,1.9885242,3
2017,11780,race-ethnicity,Hispanic,1.0020137,.61475468,1.3892727,1
2017,11780,race-ethnicity,"White, Non-Hispanic",1.0464225,.92673177,1.1661131,1
2017,11820,all,All,1.0675639,.7427547,1.3923731,2
2017,11820,gender,Female,1.1938672,.86226994,1.5254645,2
2017,11820,gender,Male,.93736947,.55491102,1.3198279,2
2017,11820,income,Economically Disadvantaged,.99207664,.61111063,1.3730426,2
2017,11820,income,Not Economically Disadvantaged,1.0846545,.68384719,1.4854617,2
2017,11820,race-ethnicity,"Black, Non-Hispanic",,,,
2017,11820,race-ethnicity,Hispanic,.91648853,.37285045,1.4601266,2
2017,11820,race-ethnicity,"White, Non-Hispanic",1.0711597,.78672361,1.3555958,2
2017,11860,all,All,.82705349,.46816429,1.1859426,1
2017,11860,gender,Female,.88712412,.48660284,1.2876455,1
2017,11860,gender,Male,.81576586,.42547724,1.2060544,1
2017,11860,income,Economically Disadvantaged,.80031323,.40850577,1.1921207,1
2017,11860,income,Not Economically Disadvantaged,.84347755,.34990388,1.3370513,1
2017,11860,race-ethnicity,"Black, Non-Hispanic",,,,
2017,11860,race-ethnicity,Hispanic,,,,
2017,11860,race-ethnicity,"White, Non-Hispanic",.81641424,.5146299,1.1181986,1
2017,11900,all,All,1.0034939,.80852556,1.1984622,1
2017,11900,gender,Female,1.0333848,.83236545,1.2344041,1
2017,11900,gender,Male,.97680628,.74956238,1.2040502,1
2017,11900,income,Economically Disadvantaged,1.0198227,.79221034,1.2474351,1
2017,11900,income,Not Economically Disadvantaged,.98508179,.7432093,1.2269543,1
2017,11900,race-ethnicity,"Black, Non-Hispanic",,,,
2017,11900,race-ethnicity,Hispanic,,,,
2017,11900,race-ethnicity,"White, Non-Hispanic",.9959864,.84131515,1.1506577,1
2017,11940,all,All,.96271026,.77887201,1.1465485,1
2017,11940,gender,Female,.9933179,.80698961,1.1796463,1
2017,11940,gender,Male,.928765,.68931895,1.168211,2
2017,11940,income,Economically Disadvantaged,.90665752,.66911268,1.1442024,1
2017,11940,income,Not Economically Disadvantaged,.73839563,.51132852,.96546274,1
2017,11940,race-ethnicity,"Black, Non-Hispanic",1.0140213,.54244417,1.4855983,1
2017,11940,race-ethnicity,Hispanic,1.337623,.52141231,2.1538336,3
2017,11940,race-ethnicity,"White, Non-Hispanic",.94251961,.79107475,1.0939645,1
2017,11980,all,All,.87619799,.71966332,1.0327327,1
2017,11980,gender,Female,1.0102451,.845936,1.1745541,1
2017,11980,gender,Male,.74557066,.56629509,.92484623,1
2017,11980,income,Economically Disadvantaged,.8339991,.66009474,1.0079035,1
2017,11980,income,Not Economically Disadvantaged,.83261019,.62202126,1.0431991,1
2017,11980,race-ethnicity,"Black, Non-Hispanic",.74169302,.36049995,1.1228861,1
2017,11980,race-ethnicity,Hispanic,1.0128286,.77465606,1.2510011,1
2017,11980,race-ethnicity,"White, Non-Hispanic",.84034783,.69278395,.9879117,1
2017,12020,all,All,1.0165079,.91930044,1.1137153,1
2017,12020,gender,Female,1.1161765,1.0143839,1.2179691,1
2017,12020,gender,Male,.92088258,.80932021,1.032445,1
2017,12020,income,Economically Disadvantaged,1.0361892,.92959648,1.1427819,1
2017,12020,income,Not Economically Disadvantaged,.97431052,.84161878,1.1070023,1
2017,12020,race-ethnicity,"Black, Non-Hispanic",.94266224,.81438679,1.0709378,1
2017,12020,race-ethnicity,Hispanic,.94837475,.77230901,1.1244406,1
2017,12020,race-ethnicity,"White, Non-Hispanic",.98960972,.88470995,1.0945095,1
2017,12060,all,All,.99632007,.98022991,1.0124103,1
2017,12060,gender,Female,1.0702095,1.0533379,1.0870811,1
2017,12060,gender,Male,.93067771,.91223598,.94911945,1
2017,12060,income,Economically Disadvantaged,.99679786,.97802985,1.0155659,1
2017,12060,income,Not Economically Disadvantaged,.8935383,.87351286,.91356373,1
2017,12060,race-ethnicity,"Black, Non-Hispanic",1.028834,1.0104698,1.0471982,1
2017,12060,race-ethnicity,Hispanic,1.0552253,1.0267206,1.0837299,1
2017,12060,race-ethnicity,"White, Non-Hispanic",.89845383,.87814796,.9187597,1
2017,12100,all,All,1.0263593,.94917369,1.103545,2
2017,12100,gender,Female,1.0949094,1.0130404,1.1767784,2
2017,12100,gender,Male,.96150941,.87395775,1.0490611,2
2017,12100,income,Economically Disadvantaged,1.0342228,.94238186,1.1260638,2
2017,12100,income,Not Economically Disadvantaged,.94640446,.85229349,1.0405154,2
2017,12100,race-ethnicity,"Black, Non-Hispanic",.93662751,.81044996,1.0628051,2
2017,12100,race-ethnicity,Hispanic,1.0200741,.9145748,1.1255734,2
2017,12100,race-ethnicity,"White, Non-Hispanic",1.0335298,.94364631,1.1234132,2
2017,12140,all,All,1.0858282,.89462727,1.2770292,1
2017,12140,gender,Female,1.1660209,.96766979,1.3643719,1
2017,12140,gender,Male,.99015933,.76869619,1.2116225,1
2017,12140,income,Economically Disadvantaged,1.0916812,.83819085,1.3451716,1
2017,12140,income,Not Economically Disadvantaged,1.0309149,.82170022,1.2401296,1
