year,state,county,subgroup_type,subgroup,share_hs_degree,share_hs_degree_ub,share_hs_degree_lb,hs_degree_quality
2018,01,023,race-ethnicity,"Black, Non-Hispanic",0.717872969,0.8556288957,0.5801170423,3
2018,01,023,race-ethnicity,Hispanic,1,1,1,3
2018,01,023,race-ethnicity,Other Races and Ethnicities,0.5035971223,0.9036700932,0.1035241514,3
2018,01,023,race-ethnicity,"White, Non-Hispanic",0.8623853211,0.9430884011,0.7816822411,3
2018,01,025,race-ethnicity,"Black, Non-Hispanic",0.717872969,0.8556288957,0.5801170423,3
2018,01,025,race-ethnicity,Hispanic,1,1,1,3
2018,01,025,race-ethnicity,Other Races and Ethnicities,0.5035971223,0.9036700932,0.1035241514,3
2018,01,025,race-ethnicity,"White, Non-Hispanic",0.8623853211,0.9430884011,0.7816822411,3
2018,01,027,race-ethnicity,"Black, Non-Hispanic",0.7063711911,0.8781580783,0.534584304,3
2018,01,027,race-ethnicity,Hispanic,1,1,1,3
2018,01,027,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,027,race-ethnicity,"White, Non-Hispanic",0.7819837087,0.8677673337,0.6962000837,3
2018,01,029,race-ethnicity,"Black, Non-Hispanic",0.7063711911,0.8781580783,0.534584304,3
2018,01,029,race-ethnicity,Hispanic,1,1,1,3
2018,01,029,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,029,race-ethnicity,"White, Non-Hispanic",0.7819837087,0.8677673337,0.6962000837,3
2018,01,031,race-ethnicity,"Black, Non-Hispanic",0.7611336032,0.9137156447,0.6085515618,3
2018,01,031,race-ethnicity,Hispanic,1,1,1,3
2018,01,031,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,031,race-ethnicity,"White, Non-Hispanic",0.8975084938,0.9477491467,0.8472678408,2
2018,01,033,race-ethnicity,"Black, Non-Hispanic",0.9925650558,1,0.9539374652,3
2018,01,033,race-ethnicity,Hispanic,0.9279538905,1,0.787396767,3
2018,01,033,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,033,race-ethnicity,"White, Non-Hispanic",0.9661405295,0.9946146589,0.9376664002,2
2018,01,035,race-ethnicity,"Black, Non-Hispanic",0.717872969,0.8556288957,0.5801170423,3
2018,01,035,race-ethnicity,Hispanic,1,1,1,3
2018,01,035,race-ethnicity,Other Races and Ethnicities,0.5035971223,0.9036700932,0.1035241514,3
2018,01,035,race-ethnicity,"White, Non-Hispanic",0.8623853211,0.9430884011,0.7816822411,3
2018,01,037,race-ethnicity,"Black, Non-Hispanic",0.8794384806,1,0.7491645433,3
2018,01,037,race-ethnicity,Hispanic,1,1,1,3
2018,01,037,race-ethnicity,Other Races and Ethnicities,0.4166666667,0.9745562084,0,3
2018,01,037,race-ethnicity,"White, Non-Hispanic",0.8672659968,0.9347867783,0.7997452153,3
2018,01,039,race-ethnicity,"Black, Non-Hispanic",0.7611336032,0.9137156447,0.6085515618,3
2018,01,039,race-ethnicity,Hispanic,1,1,1,3
2018,01,039,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,039,race-ethnicity,"White, Non-Hispanic",0.8975084938,0.9477491467,0.8472678408,2
2018,01,041,race-ethnicity,"Black, Non-Hispanic",0.7611336032,0.9137156447,0.6085515618,3
2018,01,041,race-ethnicity,Hispanic,1,1,1,3
2018,01,041,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,041,race-ethnicity,"White, Non-Hispanic",0.8975084938,0.9477491467,0.8472678408,2
2018,01,043,race-ethnicity,"Black, Non-Hispanic",1,1,1,3
2018,01,043,race-ethnicity,Hispanic,1,1,1,3
2018,01,043,race-ethnicity,Other Races and Ethnicities,,,0,3
2018,01,043,race-ethnicity,"White, Non-Hispanic",0.8480314961,0.919473395,0.7765895972,3
2018,01,045,race-ethnicity,"Black, Non-Hispanic",0.9186746988,0.9725180636,0.864831334,3
2018,01,045,race-ethnicity,Hispanic,0.9055793991,1,0.7466218924,3
2018,01,045,race-ethnicity,Other Races and Ethnicities,0.9586206897,1,0.8542912015,3
2018,01,045,race-ethnicity,"White, Non-Hispanic",0.9137205387,0.9490236792,0.8784173983,2
2018,01,047,race-ethnicity,"Black, Non-Hispanic",0.8705929487,0.9541430095,0.787042888,3
2018,01,047,race-ethnicity,Hispanic,,,0,3
2018,01,047,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,047,race-ethnicity,"White, Non-Hispanic",0.8955223881,0.9786612819,0.8123834942,3
2018,01,049,race-ethnicity,"Black, Non-Hispanic",1,1,1,3
2018,01,049,race-ethnicity,Hispanic,0.5772200772,0.8457621193,0.3086780352,3
2018,01,049,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,049,race-ethnicity,"White, Non-Hispanic",0.7560165975,0.8370175266,0.6750156684,2
2018,01,051,race-ethnicity,"Black, Non-Hispanic",0.7228400342,0.8948904576,0.5507896108,3
2018,01,051,race-ethnicity,Hispanic,0.8743169399,1,0.6090682389,3
2018,01,051,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,051,race-ethnicity,"White, Non-Hispanic",0.9170946442,0.9737490576,0.8604402307,3
2018,01,053,race-ethnicity,"Black, Non-Hispanic",0.717872969,0.8556288957,0.5801170423,3
2018,01,053,race-ethnicity,Hispanic,1,1,1,3
2018,01,053,race-ethnicity,Other Races and Ethnicities,0.5035971223,0.9036700932,0.1035241514,3
2018,01,053,race-ethnicity,"White, Non-Hispanic",0.8623853211,0.9430884011,0.7816822411,3
2018,01,055,race-ethnicity,"Black, Non-Hispanic",0.8990384615,1,0.7352619898,3
2018,01,055,race-ethnicity,Hispanic,1,1,1,3
2018,01,055,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,055,race-ethnicity,"White, Non-Hispanic",0.8978960396,0.9659704043,0.8298216749,3
2018,01,057,race-ethnicity,"Black, Non-Hispanic",0.7972972973,1,0.5597228955,3
2018,01,057,race-ethnicity,Hispanic,1,1,1,3
2018,01,057,race-ethnicity,Other Races and Ethnicities,0,0,0,3
2018,01,057,race-ethnicity,"White, Non-Hispanic",0.8228271251,0.8897622351,0.7558920152,2
2018,01,059,race-ethnicity,"Black, Non-Hispanic",0.9925650558,1,0.9539374652,3
2018,01,059,race-ethnicity,Hispanic,0.9279538905,1,0.787396767,3
2018,01,059,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,059,race-ethnicity,"White, Non-Hispanic",0.9661405295,0.9946146589,0.9376664002,2
2018,01,061,race-ethnicity,"Black, Non-Hispanic",0.9186746988,0.9725180636,0.864831334,3
2018,01,061,race-ethnicity,Hispanic,0.9055793991,1,0.7466218924,3
2018,01,061,race-ethnicity,Other Races and Ethnicities,0.9586206897,1,0.8542912015,3
2018,01,061,race-ethnicity,"White, Non-Hispanic",0.9137205387,0.9490236792,0.8784173983,2
2018,01,063,race-ethnicity,"Black, Non-Hispanic",0.8705929487,0.9541430095,0.787042888,3
2018,01,063,race-ethnicity,Hispanic,,,0,3
2018,01,063,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,063,race-ethnicity,"White, Non-Hispanic",0.8955223881,0.9786612819,0.8123834942,3
2018,01,065,race-ethnicity,"Black, Non-Hispanic",0.8705929487,0.9541430095,0.787042888,3
2018,01,065,race-ethnicity,Hispanic,,,0,3
2018,01,065,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,065,race-ethnicity,"White, Non-Hispanic",0.8955223881,0.9786612819,0.8123834942,3
2018,01,067,race-ethnicity,"Black, Non-Hispanic",0.9186746988,0.9725180636,0.864831334,3
2018,01,067,race-ethnicity,Hispanic,0.9055793991,1,0.7466218924,3
2018,01,067,race-ethnicity,Other Races and Ethnicities,0.9586206897,1,0.8542912015,3
2018,01,067,race-ethnicity,"White, Non-Hispanic",0.9137205387,0.9490236792,0.8784173983,2
2018,01,069,race-ethnicity,"Black, Non-Hispanic",0.9186746988,0.9725180636,0.864831334,3
2018,01,069,race-ethnicity,Hispanic,0.9055793991,1,0.7466218924,3
2018,01,069,race-ethnicity,Other Races and Ethnicities,0.9586206897,1,0.8542912015,3
2018,01,069,race-ethnicity,"White, Non-Hispanic",0.9137205387,0.9490236792,0.8784173983,2
2018,01,071,race-ethnicity,"Black, Non-Hispanic",1,1,1,3
2018,01,071,race-ethnicity,Hispanic,0.5772200772,0.8457621193,0.3086780352,3
2018,01,071,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,071,race-ethnicity,"White, Non-Hispanic",0.7560165975,0.8370175266,0.6750156684,2
2018,01,073,race-ethnicity,"Black, Non-Hispanic",0.9054466231,0.9439367668,0.8669564794,1
2018,01,073,race-ethnicity,Hispanic,0.8774703557,1,0.7337633679,3
2018,01,073,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,073,race-ethnicity,"White, Non-Hispanic",0.924599248,0.9597302722,0.8894682238,1
2018,01,075,race-ethnicity,"Black, Non-Hispanic",0.7972972973,1,0.5597228955,3
2018,01,075,race-ethnicity,Hispanic,1,1,1,3
2018,01,075,race-ethnicity,Other Races and Ethnicities,0,0,0,3
2018,01,075,race-ethnicity,"White, Non-Hispanic",0.8228271251,0.8897622351,0.7558920152,2
2018,01,077,race-ethnicity,"Black, Non-Hispanic",0.9925650558,1,0.9539374652,3
2018,01,077,race-ethnicity,Hispanic,0.9279538905,1,0.787396767,3
2018,01,077,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,077,race-ethnicity,"White, Non-Hispanic",0.9661405295,0.9946146589,0.9376664002,2
2018,01,079,race-ethnicity,"Black, Non-Hispanic",0.6423690205,0.8934431199,0.3912949211,3
2018,01,079,race-ethnicity,Hispanic,0.801980198,1,0.4526732673,3
2018,01,079,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,079,race-ethnicity,"White, Non-Hispanic",0.9370598592,0.9880920211,0.8860276972,3
2018,01,081,race-ethnicity,"Black, Non-Hispanic",0.9607843137,1,0.8901363036,3
2018,01,081,race-ethnicity,Hispanic,1,1,1,3
2018,01,081,race-ethnicity,Other Races and Ethnicities,0.9473684211,1,0.8442105263,3
2018,01,081,race-ethnicity,"White, Non-Hispanic",0.9669522644,0.9919788387,0.9419256901,1
2018,01,083,race-ethnicity,"Black, Non-Hispanic",0.8472505092,1,0.624277715,3
2018,01,083,race-ethnicity,Hispanic,0.5229885057,1,0.0335066817,3
2018,01,083,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,083,race-ethnicity,"White, Non-Hispanic",0.8697495183,0.9444452073,0.7950538293,3
2018,01,085,race-ethnicity,"Black, Non-Hispanic",0.7228400342,0.8948904576,0.5507896108,3
2018,01,085,race-ethnicity,Hispanic,0.8743169399,1,0.6090682389,3
2018,01,085,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,085,race-ethnicity,"White, Non-Hispanic",0.9170946442,0.9737490576,0.8604402307,3
2018,01,087,race-ethnicity,"Black, Non-Hispanic",0.8947612425,0.9693615866,0.8201608983,3
2018,01,087,race-ethnicity,Hispanic,1,1,1,3
2018,01,087,race-ethnicity,Other Races and Ethnicities,0.7703927492,1,0.4956136413,3
2018,01,087,race-ethnicity,"White, Non-Hispanic",0.8701657459,0.9525153887,0.7878161031,3
2018,01,089,race-ethnicity,"Black, Non-Hispanic",0.8460773932,0.9227963801,0.7693584064,3
2018,01,089,race-ethnicity,Hispanic,0.7423460093,0.9250997843,0.5595922342,3
2018,01,089,race-ethnicity,Other Races and Ethnicities,0.9867309238,1,0.9427474922,3
2018,01,089,race-ethnicity,"White, Non-Hispanic",0.8932105183,0.9285144895,0.8579065472,1
2018,01,091,race-ethnicity,"Black, Non-Hispanic",0.8705929487,0.9541430095,0.787042888,3
2018,01,091,race-ethnicity,Hispanic,,,0,3
2018,01,091,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,091,race-ethnicity,"White, Non-Hispanic",0.8955223881,0.9786612819,0.8123834942,3
2018,01,093,race-ethnicity,"Black, Non-Hispanic",0.8612716763,0.9849655231,0.7375778295,3
2018,01,093,race-ethnicity,Hispanic,0.9562025528,1,0.8526383204,3
2018,01,093,race-ethnicity,Other Races and Ethnicities,0.5349987633,0.9341007495,0.135896777,3
2018,01,093,race-ethnicity,"White, Non-Hispanic",0.8651494322,0.9051576319,0.8251412325,2
2018,01,095,race-ethnicity,"Black, Non-Hispanic",0.8943089431,1,0.720357372,3
2018,01,095,race-ethnicity,Hispanic,0.4671875,0.7494792968,0.1848957032,3
2018,01,095,race-ethnicity,Other Races and Ethnicities,0.5538461538,0.9220971616,0.1855951461,3
2018,01,095,race-ethnicity,"White, Non-Hispanic",0.9468680089,0.9842910689,0.909444949,1
2018,01,097,race-ethnicity,"Black, Non-Hispanic",0.8469692851,0.9133497033,0.780588867,1
2018,01,097,race-ethnicity,Hispanic,0.7692307692,1,0.4321005203,3
2018,01,097,race-ethnicity,Other Races and Ethnicities,0.9427312775,1,0.8251432386,3
2018,01,097,race-ethnicity,"White, Non-Hispanic",0.8900044623,0.9358411452,0.8441677794,1
2018,01,099,race-ethnicity,"Black, Non-Hispanic",0.717872969,0.8556288957,0.5801170423,3
2018,01,099,race-ethnicity,Hispanic,1,1,1,3
2018,01,099,race-ethnicity,Other Races and Ethnicities,0.5035971223,0.9036700932,0.1035241514,3
2018,01,099,race-ethnicity,"White, Non-Hispanic",0.8623853211,0.9430884011,0.7816822411,3
2018,01,101,race-ethnicity,"Black, Non-Hispanic",0.86244473,0.9228264275,0.8020630325,1
2018,01,101,race-ethnicity,Hispanic,0.5285630153,0.8110026618,0.2461233689,3
2018,01,101,race-ethnicity,Other Races and Ethnicities,0.8189360021,1,0.5673561536,3
2018,01,101,race-ethnicity,"White, Non-Hispanic",0.9544790866,0.9895119237,0.9194462495,1
2018,01,103,race-ethnicity,"Black, Non-Hispanic",0.6423690205,0.8934431199,0.3912949211,3
2018,01,103,race-ethnicity,Hispanic,0.801980198,1,0.4526732673,3
2018,01,103,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,103,race-ethnicity,"White, Non-Hispanic",0.9370598592,0.9880920211,0.8860276972,3
2018,01,105,race-ethnicity,"Black, Non-Hispanic",0.8705929487,0.9541430095,0.787042888,3
2018,01,105,race-ethnicity,Hispanic,,,0,3
2018,01,105,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,105,race-ethnicity,"White, Non-Hispanic",0.8955223881,0.9786612819,0.8123834942,3
2018,01,107,race-ethnicity,"Black, Non-Hispanic",0.7981072555,0.9697942545,0.6264202566,3
2018,01,107,race-ethnicity,Hispanic,1,1,1,3
2018,01,107,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,107,race-ethnicity,"White, Non-Hispanic",0.8279932546,0.9082225074,0.7477640019,3
2018,01,109,race-ethnicity,"Black, Non-Hispanic",0.8947612425,0.9693615866,0.8201608983,3
2018,01,109,race-ethnicity,Hispanic,1,1,1,3
2018,01,109,race-ethnicity,Other Races and Ethnicities,0.7703927492,1,0.4956136413,3
2018,01,109,race-ethnicity,"White, Non-Hispanic",0.8701657459,0.9525153887,0.7878161031,3
2018,01,111,race-ethnicity,"Black, Non-Hispanic",0.7063711911,0.8781580783,0.534584304,3
2018,01,111,race-ethnicity,Hispanic,1,1,1,3
2018,01,111,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,111,race-ethnicity,"White, Non-Hispanic",0.7819837087,0.8677673337,0.6962000837,3
2018,01,113,race-ethnicity,"Black, Non-Hispanic",0.8947612425,0.9693615866,0.8201608983,3
2018,01,113,race-ethnicity,Hispanic,1,1,1,3
2018,01,113,race-ethnicity,Other Races and Ethnicities,0.7703927492,1,0.4956136413,3
2018,01,113,race-ethnicity,"White, Non-Hispanic",0.8701657459,0.9525153887,0.7878161031,3
2018,01,115,race-ethnicity,"Black, Non-Hispanic",1,1,1,3
2018,01,115,race-ethnicity,Hispanic,1,1,1,3
2018,01,115,race-ethnicity,Other Races and Ethnicities,0.4025974026,1,0,3
2018,01,115,race-ethnicity,"White, Non-Hispanic",0.945861122,0.9945450194,0.8971772247,3
2018,01,117,race-ethnicity,"Black, Non-Hispanic",0.8650674663,1,0.7189407075,3
2018,01,117,race-ethnicity,Hispanic,1,1,1,3
2018,01,117,race-ethnicity,Other Races and Ethnicities,0.8252427184,1,0.543913045,3
2018,01,117,race-ethnicity,"White, Non-Hispanic",0.9176982268,0.9649413867,0.870455067,1
2018,01,119,race-ethnicity,"Black, Non-Hispanic",0.8705929487,0.9541430095,0.787042888,3
2018,01,119,race-ethnicity,Hispanic,,,0,3
2018,01,119,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,119,race-ethnicity,"White, Non-Hispanic",0.8955223881,0.9786612819,0.8123834942,3
2018,01,121,race-ethnicity,"Black, Non-Hispanic",0.7063711911,0.8781580783,0.534584304,3
2018,01,121,race-ethnicity,Hispanic,1,1,1,3
2018,01,121,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,121,race-ethnicity,"White, Non-Hispanic",0.7819837087,0.8677673337,0.6962000837,3
2018,01,123,race-ethnicity,"Black, Non-Hispanic",0.8794384806,1,0.7491645433,3
2018,01,123,race-ethnicity,Hispanic,1,1,1,3
2018,01,123,race-ethnicity,Other Races and Ethnicities,0.4166666667,0.9745562084,0,3
2018,01,123,race-ethnicity,"White, Non-Hispanic",0.8672659968,0.9347867783,0.7997452153,3
2018,01,125,race-ethnicity,"Black, Non-Hispanic",0.8677019225,0.9482330281,0.7871708169,3
2018,01,125,race-ethnicity,Hispanic,1,1,1,3
2018,01,125,race-ethnicity,Other Races and Ethnicities,1,1,1,3
2018,01,125,race-ethnicity,"White, Non-Hispanic",0.9290131769,0.9646935461,0.8933328076,1
2018,01,127,race-ethnicity,"Black, Non-Hispanic",0.7972972973,1,0.5597228955,3
2018,01,127,race-ethnicity,Hispanic,1,1,1,3
2018,01,127,race-ethnicity,Other Races and Ethnicities,0,0,0,3
2018,01,127,race-ethnicity,"White, Non-Hispanic",0.8228271251,0.8897622351,0.7558920152,2
2018,01,129,race-ethnicity,"Black, Non-Hispanic",0.717872969,0.8556288957,0.5801170423,3
2018,01,129,race-ethnicity,Hispanic,1,1,1,3
2018,01,129,race-ethnicity,Other Races and Ethnicities,0.5035971223,0.9036700932,0.1035241514,3
2018,01,129,race-ethnicity,"White, Non-Hispanic",0.8623853211,0.9430884011,0.7816822411,3
2018,01,131,race-ethnicity,"Black, Non-Hispanic",0.717872969,0.8556288957,0.5801170423,3
2018,01,131,race-ethnicity,Hispanic,1,1,1,3
2018,01,131,race-ethnicity,Other Races and Ethnicities,0.5035971223,0.9036700932,0.1035241514,3
2018,01,131,race-ethnicity,"White, Non-Hispanic",0.8623853211,0.9430884011,0.7816822411,3
2018,01,133,race-ethnicity,"Black, Non-Hispanic",1,1,1,3
2018,01,133,race-ethnicity,Hispanic,1,1,1,3
2018,01,133,race-ethnicity,Other Races and Ethnicities,,,0,3
2018,01,133,race-ethnicity,"White, Non-Hispanic",0.8480314961,0.919473395,0.7765895972,3
2018,02,013,race-ethnicity,"Black, Non-Hispanic",1,1,1,3
2018,02,013,race-ethnicity,Hispanic,1,1,1,3
2018,02,013,race-ethnicity,Other Races and Ethnicities,0.7086236934,0.7585670196,0.6586803672,2
2018,02,013,race-ethnicity,"White, Non-Hispanic",0.807073955,0.9617553798,0.6523925301,3
2018,02,016,race-ethnicity,"Black, Non-Hispanic",1,1,1,3
2018,02,016,race-ethnicity,Hispanic,1,1,1,3
2018,02,016,race-ethnicity,Other Races and Ethnicities,0.7086236934,0.7585670196,0.6586803672,2
2018,02,016,race-ethnicity,"White, Non-Hispanic",0.807073955,0.9617553798,0.6523925301,3
2018,02,020,race-ethnicity,"Black, Non-Hispanic",1,1,1,3
2018,02,020,race-ethnicity,Hispanic,1,1,1,3
2018,02,020,race-ethnicity,Other Races and Ethnicities,0.821514713,0.9483765317,0.6946528943,3
2018,02,020,race-ethnicity,"White, Non-Hispanic",0.9252853684,0.9907340502,0.8598366866,3
2018,02,050,race-ethnicity,"Black, Non-Hispanic",1,1,1,3
2018,02,050,race-ethnicity,Hispanic,1,1,1,3
2018,02,050,race-ethnicity,Other Races and Ethnicities,0.7086236934,0.7585670196,0.6586803672,2
2018,02,050,race-ethnicity,"White, Non-Hispanic",0.807073955,0.9617553798,0.6523925301,3
2018,02,060,race-ethnicity,"Black, Non-Hispanic",1,1,1,3
2018,02,060,race-ethnicity,Hispanic,1,1,1,3
2018,02,060,race-ethnicity,Other Races and Ethnicities,0.7086236934,0.7585670196,0.6586803672,2
2018,02,060,race-ethnicity,"White, Non-Hispanic",0.807073955,0.9617553798,0.6523925301,3
2018,02,068,race-ethnicity,"Black, Non-Hispanic",1,1,1,3
2018,02,068,race-ethnicity,Hispanic,1,1,1,3
2018,02,068,race-ethnicity,Other Races and Ethnicities,0.985458613,1,0.9375655556,3
2018,02,068,race-ethnicity,"White, Non-Hispanic",0.9615066225,1,0.9106621348,3
2018,02,070,race-ethnicity,"Black, Non-Hispanic",1,1,1,3
2018,02,070,race-ethnicity,Hispanic,1,1,1,3
2018,02,070,race-ethnicity,Other Races and Ethnicities,0.7086236934,0.7585670196,0.6586803672,2
2018,02,070,race-ethnicity,"White, Non-Hispanic",0.807073955,0.9617553798,0.6523925301,3
2018,02,090,race-ethnicity,"Black, Non-Hispanic",1,1,1,3
2018,02,090,race-ethnicity,Hispanic,1,1,1,3
2018,02,090,race-ethnicity,Other Races and Ethnicities,0.985458613,1,0.9375655556,3
2018,02,090,race-ethnicity,"White, Non-Hispanic",0.9615066225,1,0.9106621348,3
2018,02,100,race-ethnicity,"Black, Non-Hispanic",1,1,1,3
2018,02,100,race-ethnicity,Hispanic,1,1,1,3
2018,02,100,race-ethnicity,Other Races and Ethnicities,0.985458613,1,0.9375655556,3
2018,02,100,race-ethnicity,"White, Non-Hispanic",0.9615066225,1,0.9106621348,3
2018,02,105,race-ethnicity,"Black, Non-Hispanic",1,1,1,3
2018,02,105,race-ethnicity,Hispanic,1,1,1,3
2018,02,105,race-ethnicity,Other Races and Ethnicities,0.7086236934,0.7585670196,0.6586803672,2
2018,02,105,race-ethnicity,"White, Non-Hispanic",0.807073955,0.9617553798,0.6523925301,3
2018,02,110,race-ethnicity,"Black, Non-Hispanic",1,1,1,3
2018,02,110,race-ethnicity,Hispanic,1,1,1,3
2018,02,110,race-ethnicity,Other Races and Ethnicities,0.985458613,1,0.9375655556,3
2018,02,110,race-ethnicity,"White, Non-Hispanic",0.9615066225,1,0.9106621348,3
2018,02,122,race-ethnicity,"Black, Non-Hispanic",,,0,3
2018,02,122,race-ethnicity,Hispanic,0.7636761488,1,0.5003679013,3
2018,02,122,race-ethnicity,Other Races and Ethnicities,0.8870967742,1,0.7719118217,3
2018,02,122,race-ethnicity,"White, Non-Hispanic",0.7985893417,0.8814479808,0.7157307026,3
2018,02,130,race-ethnicity,"Black, Non-Hispanic",1,1,1,3
2018,02,130,race-ethnicity,Hispanic,1,1,1,3
2018,02,130,race-ethnicity,Other Races and Ethnicities,0.985458613,1,0.9375655556,3
2018,02,130,race-ethnicity,"White, Non-Hispanic",0.9615066225,1,0.9106621348,3
2018,02,150,race-ethnicity,"Black, Non-Hispanic",1,1,1,3
2018,02,150,race-ethnicity,Hispanic,1,1,1,3
2018,02,150,race-ethnicity,Other Races and Ethnicities,0.7086236934,0.7585670196,0.6586803672,2
2018,02,150,race-ethnicity,"White, Non-Hispanic",0.807073955,0.9617553798,0.6523925301,3
2018,02,158,race-ethnicity,"Black, Non-Hispanic",1,1,1,3
2018,02,158,race-ethnicity,Hispanic,1,1,1,3
2018,02,158,race-ethnicity,Other Races and Ethnicities,0.7086236934,0.7585670196,0.6586803672,2
2018,02,158,race-ethnicity,"White, Non-Hispanic",0.807073955,0.9617553798,0.6523925301,3
2018,02,164,race-ethnicity,"Black, Non-Hispanic",1,1,1,3
2018,02,164,race-ethnicity,Hispanic,1,1,1,3
