year,state,county,subgroup_type,subgroup,share_hs_degree,share_hs_degree_ub,share_hs_degree_lb,share_hs_degree_quality
2021,01,085,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,085,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,085,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,085,race-ethnicity,"White, Non-Hispanic",0.93931,0.99334,0.88527,3
2021,01,087,all,All,0.88369,0.91672,0.85067,2
2021,01,087,race-ethnicity,"Black, Non-Hispanic",0.88609,0.93225,0.83994,2
2021,01,087,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,087,race-ethnicity,Other Races and Ethnicities,0.87112,0.98375,0.75849,3
2021,01,087,race-ethnicity,"White, Non-Hispanic",0.92589,0.96959,0.88218,2
2021,01,089,all,All,0.92458,0.94493,0.90424,1
2021,01,089,race-ethnicity,"Black, Non-Hispanic",0.94934,0.98202,0.91667,1
2021,01,089,race-ethnicity,Hispanic,0.83638,0.94825,0.72450,3
2021,01,089,race-ethnicity,Other Races and Ethnicities,0.89483,0.98253,0.80712,3
2021,01,089,race-ethnicity,"White, Non-Hispanic",0.92374,0.95025,0.89723,1
2021,01,091,all,All,0.95779,0.98653,0.92904,2
2021,01,091,race-ethnicity,"Black, Non-Hispanic",0.97645,1.00000,0.94422,3
2021,01,091,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,091,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,091,race-ethnicity,"White, Non-Hispanic",0.91766,0.97323,0.86209,3
2021,01,093,all,All,0.90170,0.93233,0.87108,2
2021,01,093,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,093,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,093,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,093,race-ethnicity,"White, Non-Hispanic",0.93266,0.96102,0.90430,2
2021,01,095,all,All,0.79002,0.84887,0.73117,1
2021,01,095,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,095,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,095,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,095,race-ethnicity,"White, Non-Hispanic",0.91202,0.95878,0.86527,1
2021,01,097,all,All,0.88676,0.91707,0.85646,1
2021,01,097,race-ethnicity,"Black, Non-Hispanic",0.93247,0.97111,0.89383,1
2021,01,097,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,097,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,097,race-ethnicity,"White, Non-Hispanic",0.84064,0.88836,0.79292,1
2021,01,099,all,All,0.84247,0.90218,0.78276,2
2021,01,099,race-ethnicity,"Black, Non-Hispanic",0.84561,0.94477,0.74644,3
2021,01,099,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,099,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,099,race-ethnicity,"White, Non-Hispanic",0.83186,0.91381,0.74991,3
2021,01,101,all,All,0.87041,0.90336,0.83746,1
2021,01,101,race-ethnicity,"Black, Non-Hispanic",0.86957,0.91850,0.82064,1
2021,01,101,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,101,race-ethnicity,Other Races and Ethnicities,0.85337,0.96584,0.74089,3
2021,01,101,race-ethnicity,"White, Non-Hispanic",0.93488,0.97323,0.89653,1
2021,01,103,all,All,0.84879,0.91316,0.78443,1
2021,01,103,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,103,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,103,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,103,race-ethnicity,"White, Non-Hispanic",0.88520,0.95181,0.81860,3
2021,01,105,all,All,0.95779,0.98653,0.92904,2
2021,01,105,race-ethnicity,"Black, Non-Hispanic",0.97645,1.00000,0.94422,3
2021,01,105,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,105,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,105,race-ethnicity,"White, Non-Hispanic",0.91766,0.97323,0.86209,3
2021,01,107,all,All,0.94297,0.98481,0.90113,2
2021,01,107,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,107,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,107,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,107,race-ethnicity,"White, Non-Hispanic",0.95814,0.99884,0.91744,3
2021,01,109,all,All,0.88369,0.91672,0.85067,2
2021,01,109,race-ethnicity,"Black, Non-Hispanic",0.88609,0.93225,0.83994,2
2021,01,109,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,109,race-ethnicity,Other Races and Ethnicities,0.87112,0.98375,0.75849,3
2021,01,109,race-ethnicity,"White, Non-Hispanic",0.92589,0.96959,0.88218,2
2021,01,111,all,All,0.88150,0.92629,0.83670,2
2021,01,111,race-ethnicity,"Black, Non-Hispanic",0.90190,0.98605,0.81776,3
2021,01,111,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,111,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,111,race-ethnicity,"White, Non-Hispanic",0.84741,0.90971,0.78512,2
2021,01,113,all,All,0.88369,0.91672,0.85067,2
2021,01,113,race-ethnicity,"Black, Non-Hispanic",0.88609,0.93225,0.83994,2
2021,01,113,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,113,race-ethnicity,Other Races and Ethnicities,0.87112,0.98375,0.75849,3
2021,01,113,race-ethnicity,"White, Non-Hispanic",0.92589,0.96959,0.88218,2
2021,01,115,all,All,0.85641,0.92107,0.79176,2
2021,01,115,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,115,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,115,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,115,race-ethnicity,"White, Non-Hispanic",0.89831,0.95941,0.83721,3
2021,01,117,all,All,0.95364,0.98149,0.92580,1
2021,01,117,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,117,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,117,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,117,race-ethnicity,"White, Non-Hispanic",0.95164,0.98370,0.91958,1
2021,01,119,all,All,0.95779,0.98653,0.92904,2
2021,01,119,race-ethnicity,"Black, Non-Hispanic",0.97645,1.00000,0.94422,3
2021,01,119,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,119,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,119,race-ethnicity,"White, Non-Hispanic",0.91766,0.97323,0.86209,3
2021,01,121,all,All,0.88150,0.92629,0.83670,2
2021,01,121,race-ethnicity,"Black, Non-Hispanic",0.90190,0.98605,0.81776,3
2021,01,121,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,121,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,121,race-ethnicity,"White, Non-Hispanic",0.84741,0.90971,0.78512,2
2021,01,123,all,All,0.88769,0.94217,0.83320,2
2021,01,123,race-ethnicity,"Black, Non-Hispanic",0.94303,1.00000,0.86731,3
2021,01,123,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,123,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,123,race-ethnicity,"White, Non-Hispanic",0.89389,0.95975,0.82803,3
2021,01,125,all,All,0.96956,0.98380,0.95532,1
2021,01,125,race-ethnicity,"Black, Non-Hispanic",0.92356,0.97438,0.87274,1
2021,01,125,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,125,race-ethnicity,Other Races and Ethnicities,1.00000,1.00000,1.00000,3
2021,01,125,race-ethnicity,"White, Non-Hispanic",0.98549,0.99722,0.97376,1
2021,01,127,all,All,0.89542,0.94375,0.84709,2
2021,01,127,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,127,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,127,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,127,race-ethnicity,"White, Non-Hispanic",0.92206,0.96600,0.87812,2
2021,01,129,all,All,0.84247,0.90218,0.78276,2
2021,01,129,race-ethnicity,"Black, Non-Hispanic",0.84561,0.94477,0.74644,3
2021,01,129,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,129,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,129,race-ethnicity,"White, Non-Hispanic",0.83186,0.91381,0.74991,3
2021,01,131,all,All,0.84247,0.90218,0.78276,2
2021,01,131,race-ethnicity,"Black, Non-Hispanic",0.84561,0.94477,0.74644,3
2021,01,131,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,131,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,131,race-ethnicity,"White, Non-Hispanic",0.83186,0.91381,0.74991,3
2021,01,133,all,All,0.84491,0.90787,0.78196,2
2021,01,133,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,133,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,133,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,133,race-ethnicity,"White, Non-Hispanic",0.83224,0.90584,0.75863,3
2021,02,013,all,All,0.73874,0.79154,0.68594,2
2021,02,013,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,02,013,race-ethnicity,Hispanic,NA,NA,NA,3
2021,02,013,race-ethnicity,Other Races and Ethnicities,0.68698,0.74757,0.62639,2
2021,02,013,race-ethnicity,"White, Non-Hispanic",0.98264,1.00000,0.93875,3
2021,02,016,all,All,0.73874,0.79154,0.68594,2
2021,02,016,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,02,016,race-ethnicity,Hispanic,NA,NA,NA,3
2021,02,016,race-ethnicity,Other Races and Ethnicities,0.68698,0.74757,0.62639,2
2021,02,016,race-ethnicity,"White, Non-Hispanic",0.98264,1.00000,0.93875,3
2021,02,020,all,All,0.93031,0.96273,0.89790,1
2021,02,020,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,02,020,race-ethnicity,Hispanic,NA,NA,NA,3
2021,02,020,race-ethnicity,Other Races and Ethnicities,0.91726,0.98475,0.84977,3
2021,02,020,race-ethnicity,"White, Non-Hispanic",0.92048,0.96735,0.87361,1
2021,02,050,all,All,0.73874,0.79154,0.68594,2
2021,02,050,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,02,050,race-ethnicity,Hispanic,NA,NA,NA,3
2021,02,050,race-ethnicity,Other Races and Ethnicities,0.68698,0.74757,0.62639,2
2021,02,050,race-ethnicity,"White, Non-Hispanic",0.98264,1.00000,0.93875,3
2021,02,060,all,All,0.73874,0.79154,0.68594,2
2021,02,060,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,02,060,race-ethnicity,Hispanic,NA,NA,NA,3
2021,02,060,race-ethnicity,Other Races and Ethnicities,0.68698,0.74757,0.62639,2
2021,02,060,race-ethnicity,"White, Non-Hispanic",0.98264,1.00000,0.93875,3
2021,02,068,all,All,0.92290,0.96187,0.88393,2
2021,02,068,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,02,068,race-ethnicity,Hispanic,NA,NA,NA,3
2021,02,068,race-ethnicity,Other Races and Ethnicities,0.88304,0.96797,0.79810,3
2021,02,068,race-ethnicity,"White, Non-Hispanic",0.95398,0.99484,0.91312,2
2021,02,070,all,All,0.73874,0.79154,0.68594,2
2021,02,070,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,02,070,race-ethnicity,Hispanic,NA,NA,NA,3
2021,02,070,race-ethnicity,Other Races and Ethnicities,0.68698,0.74757,0.62639,2
2021,02,070,race-ethnicity,"White, Non-Hispanic",0.98264,1.00000,0.93875,3
2021,02,090,all,All,0.92290,0.96187,0.88393,2
2021,02,090,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
