year,state,county,subgroup_type,subgroup,index_air_hazard,environmental_quality
2014,01,043,race-ethnicity,"Majority White, Non-Hispanic",24,1
2014,01,045,all,All,14,1
2014,01,045,poverty,Not Extreme Poverty,14,1
2014,01,045,race-ethnicity,"Majority White, Non-Hispanic",14,1
2014,01,045,race-ethnicity,No Majority Race/Ethnicity,13,1
2014,01,047,all,All,10,1
2014,01,047,poverty,Extreme Poverty,10,1
2014,01,047,poverty,Not Extreme Poverty,10,1
2014,01,047,race-ethnicity,Majority Non-White,10,1
2014,01,047,race-ethnicity,"Majority White, Non-Hispanic",10,1
2014,01,047,race-ethnicity,No Majority Race/Ethnicity,11,1
2014,01,049,all,All,45,1
2014,01,049,poverty,Not Extreme Poverty,45,1
2014,01,049,race-ethnicity,"Majority White, Non-Hispanic",45,1
2014,01,049,race-ethnicity,No Majority Race/Ethnicity,41,1
2014,01,051,all,All,8,1
2014,01,051,poverty,Not Extreme Poverty,8,1
2014,01,051,race-ethnicity,"Majority White, Non-Hispanic",8,1
2014,01,051,race-ethnicity,No Majority Race/Ethnicity,7,1
2014,01,053,all,All,16,1
2014,01,053,poverty,Extreme Poverty,23,1
2014,01,053,poverty,Not Extreme Poverty,16,1
2014,01,053,race-ethnicity,Majority Non-White,16,1
2014,01,053,race-ethnicity,"Majority White, Non-Hispanic",15,1
2014,01,053,race-ethnicity,No Majority Race/Ethnicity,25,1
2014,01,055,all,All,19,1
2014,01,055,poverty,Extreme Poverty,12,1
2014,01,055,poverty,Not Extreme Poverty,20,1
2014,01,055,race-ethnicity,Majority Non-White,12,1
2014,01,055,race-ethnicity,"Majority White, Non-Hispanic",20,1
2014,01,055,race-ethnicity,No Majority Race/Ethnicity,12,1
2014,01,057,all,All,21,1
2014,01,057,poverty,Not Extreme Poverty,21,1
2014,01,057,race-ethnicity,"Majority White, Non-Hispanic",21,1
2014,01,059,all,All,37,1
2014,01,059,poverty,Not Extreme Poverty,37,1
2014,01,059,race-ethnicity,"Majority White, Non-Hispanic",35,1
2014,01,059,race-ethnicity,No Majority Race/Ethnicity,41,1
2014,01,061,all,All,19,1
2014,01,061,poverty,Not Extreme Poverty,19,1
2014,01,061,race-ethnicity,"Majority White, Non-Hispanic",19,1
2014,01,063,all,All,14,1
2014,01,063,poverty,Extreme Poverty,14,1
2014,01,063,poverty,Not Extreme Poverty,14,1
2014,01,063,race-ethnicity,Majority Non-White,14,1
2014,01,065,all,All,15,1
2014,01,065,poverty,Extreme Poverty,15,1
2014,01,065,poverty,Not Extreme Poverty,15,1
2014,01,065,race-ethnicity,Majority Non-White,15,1
2014,01,065,race-ethnicity,"Majority White, Non-Hispanic",14,1
2014,01,065,race-ethnicity,No Majority Race/Ethnicity,16,1
2014,01,067,all,All,16,1
2014,01,067,poverty,Not Extreme Poverty,16,1
2014,01,067,race-ethnicity,"Majority White, Non-Hispanic",17,1
2014,01,067,race-ethnicity,No Majority Race/Ethnicity,13,1
2014,01,069,all,All,16,1
2014,01,069,poverty,Extreme Poverty,13,1
2014,01,069,poverty,Not Extreme Poverty,16,1
2014,01,069,race-ethnicity,Majority Non-White,13,1
2014,01,069,race-ethnicity,"Majority White, Non-Hispanic",17,1
2014,01,069,race-ethnicity,No Majority Race/Ethnicity,13,1
2014,01,071,all,All,49,1
2014,01,071,poverty,Not Extreme Poverty,49,1
2014,01,071,race-ethnicity,"Majority White, Non-Hispanic",49,1
2014,01,073,all,All,9,1
2014,01,073,poverty,Extreme Poverty,4,1
2014,01,073,poverty,Not Extreme Poverty,9,1
2014,01,073,race-ethnicity,Majority Non-White,7,1
2014,01,073,race-ethnicity,"Majority White, Non-Hispanic",10,1
2014,01,073,race-ethnicity,No Majority Race/Ethnicity,9,1
2014,01,075,all,All,26,1
2014,01,075,poverty,Not Extreme Poverty,26,1
2014,01,075,race-ethnicity,"Majority White, Non-Hispanic",26,1
2014,01,077,all,All,36,1
2014,01,077,poverty,Extreme Poverty,22,1
2014,01,077,poverty,Not Extreme Poverty,37,1
2014,01,077,race-ethnicity,Majority Non-White,24,1
2014,01,077,race-ethnicity,"Majority White, Non-Hispanic",36,1
2014,01,079,all,All,36,1
2014,01,079,poverty,Not Extreme Poverty,36,1
2014,01,079,race-ethnicity,"Majority White, Non-Hispanic",36,1
2014,01,079,race-ethnicity,No Majority Race/Ethnicity,38,1
2014,01,081,all,All,8,1
2014,01,081,poverty,Extreme Poverty,7,1
2014,01,081,poverty,Not Extreme Poverty,8,1
2014,01,081,race-ethnicity,Majority Non-White,5,1
2014,01,081,race-ethnicity,"Majority White, Non-Hispanic",8,1
2014,01,081,race-ethnicity,No Majority Race/Ethnicity,7,1
2014,01,083,all,All,35,1
2014,01,083,poverty,Not Extreme Poverty,35,1
2014,01,083,race-ethnicity,"Majority White, Non-Hispanic",35,1
2014,01,083,race-ethnicity,No Majority Race/Ethnicity,26,1
2014,01,085,all,All,15,1
2014,01,085,poverty,Extreme Poverty,16,1
2014,01,085,poverty,Not Extreme Poverty,15,1
2014,01,085,race-ethnicity,Majority Non-White,15,1
2014,01,087,all,All,5,1
2014,01,087,poverty,Extreme Poverty,4,1
2014,01,087,poverty,Not Extreme Poverty,5,1
2014,01,087,race-ethnicity,Majority Non-White,5,1
2014,01,087,race-ethnicity,No Majority Race/Ethnicity,7,1
2014,01,089,all,All,28,1
2014,01,089,poverty,Extreme Poverty,16,1
2014,01,089,poverty,Not Extreme Poverty,28,1
2014,01,089,race-ethnicity,Majority Non-White,21,1
2014,01,089,race-ethnicity,"Majority White, Non-Hispanic",31,1
2014,01,089,race-ethnicity,No Majority Race/Ethnicity,22,1
2014,01,091,all,All,14,1
2014,01,091,poverty,Extreme Poverty,11,1
2014,01,091,poverty,Not Extreme Poverty,15,1
2014,01,091,race-ethnicity,Majority Non-White,14,1
2014,01,091,race-ethnicity,"Majority White, Non-Hispanic",13,1
2014,01,091,race-ethnicity,No Majority Race/Ethnicity,16,1
2014,01,093,all,All,32,1
2014,01,093,poverty,Not Extreme Poverty,32,1
2014,01,093,race-ethnicity,"Majority White, Non-Hispanic",32,1
2014,01,095,all,All,35,1
2014,01,095,poverty,Not Extreme Poverty,35,1
2014,01,095,race-ethnicity,"Majority White, Non-Hispanic",36,1
2014,01,095,race-ethnicity,No Majority Race/Ethnicity,27,1
2014,01,097,all,All,17,1
2014,01,097,poverty,Extreme Poverty,10,1
2014,01,097,poverty,Not Extreme Poverty,17,1
2014,01,097,race-ethnicity,Majority Non-White,11,1
2014,01,097,race-ethnicity,"Majority White, Non-Hispanic",20,1
2014,01,097,race-ethnicity,No Majority Race/Ethnicity,14,1
2014,01,099,all,All,22,1
2014,01,099,poverty,Extreme Poverty,17,1
2014,01,099,poverty,Not Extreme Poverty,22,1
2014,01,099,race-ethnicity,Majority Non-White,19,1
2014,01,099,race-ethnicity,"Majority White, Non-Hispanic",23,1
2014,01,099,race-ethnicity,No Majority Race/Ethnicity,23,1
2014,01,101,all,All,6,1
2014,01,101,poverty,Extreme Poverty,6,1
2014,01,101,poverty,Not Extreme Poverty,6,1
2014,01,101,race-ethnicity,Majority Non-White,6,1
2014,01,101,race-ethnicity,"Majority White, Non-Hispanic",6,1
2014,01,101,race-ethnicity,No Majority Race/Ethnicity,8,1
2014,01,103,all,All,24,1
2014,01,103,poverty,Extreme Poverty,5,1
2014,01,103,poverty,Not Extreme Poverty,25,1
2014,01,103,race-ethnicity,Majority Non-White,9,1
2014,01,103,race-ethnicity,"Majority White, Non-Hispanic",27,1
2014,01,103,race-ethnicity,No Majority Race/Ethnicity,16,1
2014,01,105,all,All,13,1
2014,01,105,poverty,Extreme Poverty,14,1
2014,01,105,poverty,Not Extreme Poverty,13,1
2014,01,105,race-ethnicity,Majority Non-White,13,1
2014,01,105,race-ethnicity,No Majority Race/Ethnicity,14,1
2014,01,107,all,All,19,1
2014,01,107,poverty,Not Extreme Poverty,19,1
2014,01,107,race-ethnicity,Majority Non-White,16,1
2014,01,107,race-ethnicity,"Majority White, Non-Hispanic",20,1
2014,01,107,race-ethnicity,No Majority Race/Ethnicity,18,1
2014,01,109,all,All,10,1
2014,01,109,poverty,Extreme Poverty,8,1
2014,01,109,poverty,Not Extreme Poverty,10,1
2014,01,109,race-ethnicity,Majority Non-White,10,1
2014,01,109,race-ethnicity,"Majority White, Non-Hispanic",10,1
2014,01,109,race-ethnicity,No Majority Race/Ethnicity,9,1
2014,01,111,all,All,21,1
2014,01,111,poverty,Not Extreme Poverty,21,1
2014,01,111,race-ethnicity,"Majority White, Non-Hispanic",22,1
2014,01,111,race-ethnicity,No Majority Race/Ethnicity,16,1
2014,01,113,all,All,5,1
2014,01,113,poverty,Extreme Poverty,4,1
2014,01,113,poverty,Not Extreme Poverty,5,1
2014,01,113,race-ethnicity,Majority Non-White,4,1
2014,01,113,race-ethnicity,"Majority White, Non-Hispanic",5,1
2014,01,113,race-ethnicity,No Majority Race/Ethnicity,5,1
2014,01,115,all,All,17,1
2014,01,115,poverty,Not Extreme Poverty,17,1
2014,01,115,race-ethnicity,"Majority White, Non-Hispanic",17,1
2014,01,117,all,All,11,1
2014,01,117,poverty,Not Extreme Poverty,11,1
2014,01,117,race-ethnicity,"Majority White, Non-Hispanic",11,1
2014,01,117,race-ethnicity,No Majority Race/Ethnicity,10,1
2014,01,119,all,All,19,1
2014,01,119,poverty,Extreme Poverty,18,1
2014,01,119,poverty,Not Extreme Poverty,20,1
2014,01,119,race-ethnicity,Majority Non-White,19,1
2014,01,119,race-ethnicity,No Majority Race/Ethnicity,21,1
2014,01,121,all,All,14,1
2014,01,121,poverty,Extreme Poverty,12,1
2014,01,121,poverty,Not Extreme Poverty,14,1
2014,01,121,race-ethnicity,Majority Non-White,14,1
2014,01,121,race-ethnicity,"Majority White, Non-Hispanic",14,1
2014,01,121,race-ethnicity,No Majority Race/Ethnicity,14,1
2014,01,123,all,All,12,1
2014,01,123,poverty,Not Extreme Poverty,12,1
2014,01,123,race-ethnicity,Majority Non-White,12,1
2014,01,123,race-ethnicity,"Majority White, Non-Hispanic",12,1
2014,01,123,race-ethnicity,No Majority Race/Ethnicity,13,1
2014,01,125,all,All,8,1
2014,01,125,poverty,Extreme Poverty,4,1
2014,01,125,poverty,Not Extreme Poverty,8,1
2014,01,125,race-ethnicity,Majority Non-White,4,1
2014,01,125,race-ethnicity,"Majority White, Non-Hispanic",10,1
2014,01,125,race-ethnicity,No Majority Race/Ethnicity,5,1
2014,01,127,all,All,16,1
2014,01,127,poverty,Not Extreme Poverty,16,1
2014,01,127,race-ethnicity,"Majority White, Non-Hispanic",16,1
2014,01,129,all,All,17,1
2014,01,129,poverty,Not Extreme Poverty,17,1
2014,01,129,race-ethnicity,Majority Non-White,9,1
2014,01,129,race-ethnicity,"Majority White, Non-Hispanic",20,1
2014,01,131,all,All,14,1
2014,01,131,poverty,Extreme Poverty,12,1
2014,01,131,poverty,Not Extreme Poverty,16,1
2014,01,131,race-ethnicity,Majority Non-White,14,1
2014,01,133,all,All,30,1
2014,01,133,poverty,Not Extreme Poverty,30,1
2014,01,133,race-ethnicity,"Majority White, Non-Hispanic",30,1
2014,02,013,all,All,100,1
2014,02,013,poverty,Not Extreme Poverty,100,1
2014,02,013,race-ethnicity,Majority Non-White,100,1
2014,02,016,all,All,100,1
2014,02,016,poverty,Not Extreme Poverty,100,1
2014,02,016,race-ethnicity,Majority Non-White,100,1
2014,02,020,all,All,70,1
2014,02,020,poverty,Not Extreme Poverty,70,1
2014,02,020,race-ethnicity,Majority Non-White,62,1
2014,02,020,race-ethnicity,"Majority White, Non-Hispanic",77,1
2014,02,020,race-ethnicity,No Majority Race/Ethnicity,65,1
2014,02,050,all,All,100,1
2014,02,050,poverty,Not Extreme Poverty,100,1
2014,02,050,race-ethnicity,Majority Non-White,100,1
2014,02,060,all,All,100,1
2014,02,060,poverty,Not Extreme Poverty,100,1
2014,02,060,race-ethnicity,No Majority Race/Ethnicity,100,1
2014,02,068,all,All,100,1
2014,02,068,poverty,Not Extreme Poverty,100,1
2014,02,068,race-ethnicity,"Majority White, Non-Hispanic",100,1
2014,02,070,all,All,100,1
2014,02,070,poverty,Not Extreme Poverty,100,1
2014,02,070,race-ethnicity,Majority Non-White,100,1
2014,02,090,all,All,96,1
2014,02,090,poverty,Not Extreme Poverty,96,1
2014,02,090,race-ethnicity,"Majority White, Non-Hispanic",98,1
2014,02,090,race-ethnicity,No Majority Race/Ethnicity,90,1
2014,02,100,all,All,100,1
2014,02,100,poverty,Not Extreme Poverty,100,1
2014,02,100,race-ethnicity,"Majority White, Non-Hispanic",100,1
2014,02,105,all,All,100,1
2014,02,105,poverty,Not Extreme Poverty,100,1
2014,02,105,race-ethnicity,Majority Non-White,100,1
2014,02,105,race-ethnicity,No Majority Race/Ethnicity,100,1
2014,02,110,all,All,100,1
2014,02,110,poverty,Not Extreme Poverty,100,1
2014,02,110,race-ethnicity,"Majority White, Non-Hispanic",100,1
2014,02,110,race-ethnicity,No Majority Race/Ethnicity,100,1
2014,02,122,all,All,100,1
2014,02,122,poverty,Not Extreme Poverty,100,1
2014,02,122,race-ethnicity,"Majority White, Non-Hispanic",100,1
2014,02,122,race-ethnicity,No Majority Race/Ethnicity,100,1
2014,02,130,all,All,98,1
2014,02,130,poverty,Not Extreme Poverty,98,1
2014,02,130,race-ethnicity,"Majority White, Non-Hispanic",100,1
2014,02,130,race-ethnicity,No Majority Race/Ethnicity,97,1
2014,02,150,all,All,100,1
2014,02,150,poverty,Not Extreme Poverty,100,1
2014,02,150,race-ethnicity,Majority Non-White,100,1
2014,02,150,race-ethnicity,"Majority White, Non-Hispanic",100,1
2014,02,150,race-ethnicity,No Majority Race/Ethnicity,100,1
2014,02,158,all,All,NA,NA
2014,02,164,all,All,100,1
2014,02,164,poverty,Not Extreme Poverty,100,1
2014,02,164,race-ethnicity,Majority Non-White,100,1
2014,02,170,all,All,100,1
2014,02,170,poverty,Not Extreme Poverty,100,1
2014,02,170,race-ethnicity,"Majority White, Non-Hispanic",100,1
2014,02,180,all,All,100,1
2014,02,180,poverty,Not Extreme Poverty,100,1
2014,02,180,race-ethnicity,Majority Non-White,100,1
2014,02,185,all,All,99,1
2014,02,185,poverty,Not Extreme Poverty,99,1
2014,02,185,race-ethnicity,Majority Non-White,100,1
2014,02,185,race-ethnicity,"Majority White, Non-Hispanic",96,1
2014,02,188,all,All,92,1
2014,02,188,poverty,Not Extreme Poverty,92,1
2014,02,188,race-ethnicity,Majority Non-White,92,1
2014,02,195,all,All,100,1
2014,02,195,poverty,Not Extreme Poverty,100,1
2014,02,195,race-ethnicity,"Majority White, Non-Hispanic",100,1
2014,02,198,all,All,100,1
2014,02,198,poverty,Extreme Poverty,100,1
2014,02,198,poverty,Not Extreme Poverty,100,1
2014,02,198,race-ethnicity,Majority Non-White,100,1
2014,02,198,race-ethnicity,"Majority White, Non-Hispanic",100,1
2014,02,198,race-ethnicity,No Majority Race/Ethnicity,100,1
2014,02,220,all,All,100,1
2014,02,220,poverty,Not Extreme Poverty,100,1
2014,02,220,race-ethnicity,"Majority White, Non-Hispanic",100,1
2014,02,230,all,All,100,1
2014,02,230,poverty,Not Extreme Poverty,100,1
2014,02,230,race-ethnicity,"Majority White, Non-Hispanic",100,1
2014,02,240,all,All,100,1
2014,02,240,poverty,Not Extreme Poverty,100,1
2014,02,240,race-ethnicity,"Majority White, Non-Hispanic",100,1
2014,02,240,race-ethnicity,No Majority Race/Ethnicity,100,1
2014,02,261,all,All,100,1
2014,02,261,poverty,Not Extreme Poverty,100,1
2014,02,261,race-ethnicity,"Majority White, Non-Hispanic",100,1
2014,02,275,all,All,100,1
2014,02,275,poverty,Not Extreme Poverty,100,1
2014,02,275,race-ethnicity,"Majority White, Non-Hispanic",100,1
2014,02,282,all,All,100,1
2014,02,282,poverty,Not Extreme Poverty,100,1
2014,02,282,race-ethnicity,Majority Non-White,100,1
2014,02,290,all,All,100,1
2014,02,290,poverty,Not Extreme Poverty,100,1
2014,02,290,race-ethnicity,Majority Non-White,100,1
2014,02,290,race-ethnicity,No Majority Race/Ethnicity,100,1
2014,04,001,all,All,98,1
2014,04,001,poverty,Extreme Poverty,98,1
2014,04,001,poverty,Not Extreme Poverty,98,1
2014,04,001,race-ethnicity,Majority Non-White,98,1
2014,04,001,race-ethnicity,"Majority White, Non-Hispanic",98,1
2014,04,001,race-ethnicity,No Majority Race/Ethnicity,97,1
2014,04,003,all,All,90,1
2014,04,003,poverty,Extreme Poverty,83,1
2014,04,003,poverty,Not Extreme Poverty,90,1
2014,04,003,race-ethnicity,Majority Non-White,83,1
2014,04,003,race-ethnicity,"Majority White, Non-Hispanic",91,1
2014,04,003,race-ethnicity,No Majority Race/Ethnicity,91,1
2014,04,005,all,All,93,1
2014,04,005,poverty,Extreme Poverty,93,1
2014,04,005,poverty,Not Extreme Poverty,94,1
2014,04,005,race-ethnicity,Majority Non-White,94,1
2014,04,005,race-ethnicity,"Majority White, Non-Hispanic",94,1
2014,04,005,race-ethnicity,No Majority Race/Ethnicity,92,1
2014,04,007,all,All,82,1
2014,04,007,poverty,Extreme Poverty,81,1
2014,04,007,poverty,Not Extreme Poverty,82,1
2014,04,007,race-ethnicity,Majority Non-White,78,1
2014,04,007,race-ethnicity,"Majority White, Non-Hispanic",85,1
2014,04,007,race-ethnicity,No Majority Race/Ethnicity,77,1
2014,04,009,all,All,80,1
2014,04,009,poverty,Extreme Poverty,75,1
2014,04,009,poverty,Not Extreme Poverty,80,1
2014,04,009,race-ethnicity,Majority Non-White,75,1
2014,04,009,race-ethnicity,"Majority White, Non-Hispanic",82,1
2014,04,009,race-ethnicity,No Majority Race/Ethnicity,79,1
2014,04,011,all,All,86,1
2014,04,011,poverty,Not Extreme Poverty,86,1
2014,04,011,race-ethnicity,Majority Non-White,91,1
2014,04,011,race-ethnicity,"Majority White, Non-Hispanic",89,1
2014,04,011,race-ethnicity,No Majority Race/Ethnicity,79,1
2014,04,012,all,All,46,1
2014,04,012,poverty,Not Extreme Poverty,46,1
2014,04,012,race-ethnicity,Majority Non-White,35,1
2014,04,012,race-ethnicity,"Majority White, Non-Hispanic",53,1
2014,04,013,all,All,21,1
2014,04,013,poverty,Extreme Poverty,12,1
2014,04,013,poverty,Not Extreme Poverty,22,1
2014,04,013,race-ethnicity,Majority Non-White,13,1
2014,04,013,race-ethnicity,"Majority White, Non-Hispanic",25,1
2014,04,013,race-ethnicity,No Majority Race/Ethnicity,16,1
2014,04,015,all,All,65,1
2014,04,015,poverty,Extreme Poverty,87,1
2014,04,015,poverty,Not Extreme Poverty,64,1
2014,04,015,race-ethnicity,Majority Non-White,94,1
2014,04,015,race-ethnicity,"Majority White, Non-Hispanic",65,1
2014,04,015,race-ethnicity,No Majority Race/Ethnicity,50,1
2014,04,017,all,All,93,1
2014,04,017,poverty,Extreme Poverty,97,1
2014,04,017,poverty,Not Extreme Poverty,92,1
2014,04,017,race-ethnicity,Majority Non-White,94,1
2014,04,017,race-ethnicity,"Majority White, Non-Hispanic",96,1
2014,04,017,race-ethnicity,No Majority Race/Ethnicity,79,1
2014,04,019,all,All,44,1
2014,04,019,poverty,Extreme Poverty,28,1
2014,04,019,poverty,Not Extreme Poverty,46,1
2014,04,019,race-ethnicity,Majority Non-White,31,1
2014,04,019,race-ethnicity,"Majority White, Non-Hispanic",55,1
2014,04,019,race-ethnicity,No Majority Race/Ethnicity,34,1
2014,04,021,all,All,40,1
2014,04,021,poverty,Extreme Poverty,31,1
2014,04,021,poverty,Not Extreme Poverty,40,1
2014,04,021,race-ethnicity,Majority Non-White,43,1
2014,04,021,race-ethnicity,"Majority White, Non-Hispanic",42,1
2014,04,021,race-ethnicity,No Majority Race/Ethnicity,36,1
2014,04,023,all,All,83,1
2014,04,023,poverty,Extreme Poverty,81,1
2014,04,023,poverty,Not Extreme Poverty,83,1
2014,04,023,race-ethnicity,Majority Non-White,81,1
2014,04,023,race-ethnicity,"Majority White, Non-Hispanic",95,1
2014,04,023,race-ethnicity,No Majority Race/Ethnicity,90,1
2014,04,025,all,All,87,1
2014,04,025,poverty,Extreme Poverty,95,1
2014,04,025,poverty,Not Extreme Poverty,86,1
2014,04,025,race-ethnicity,"Majority White, Non-Hispanic",87,1
2014,04,025,race-ethnicity,No Majority Race/Ethnicity,79,1
2014,04,027,all,All,34,1
2014,04,027,poverty,Extreme Poverty,41,1
2014,04,027,poverty,Not Extreme Poverty,33,1
2014,04,027,race-ethnicity,Majority Non-White,35,1
2014,04,027,race-ethnicity,"Majority White, Non-Hispanic",39,1
2014,04,027,race-ethnicity,No Majority Race/Ethnicity,24,1
2014,05,001,all,All,52,1
2014,05,001,poverty,Not Extreme Poverty,52,1
2014,05,001,race-ethnicity,Majority Non-White,47,1
2014,05,001,race-ethnicity,"Majority White, Non-Hispanic",53,1
2014,05,001,race-ethnicity,No Majority Race/Ethnicity,48,1
2014,05,003,all,All,36,1
2014,05,003,poverty,Not Extreme Poverty,36,1
2014,05,003,race-ethnicity,"Majority White, Non-Hispanic",38,1
2014,05,003,race-ethnicity,No Majority Race/Ethnicity,23,1
2014,05,005,all,All,37,1
2014,05,005,poverty,Not Extreme Poverty,37,1
2014,05,005,race-ethnicity,"Majority White, Non-Hispanic",37,1
2014,05,007,all,All,51,1
2014,05,007,poverty,Not Extreme Poverty,51,1
2014,05,007,race-ethnicity,"Majority White, Non-Hispanic",52,1
2014,05,007,race-ethnicity,No Majority Race/Ethnicity,43,1
2014,05,009,all,All,59,1
2014,05,009,poverty,Not Extreme Poverty,59,1
2014,05,009,race-ethnicity,"Majority White, Non-Hispanic",59,1
2014,05,011,all,All,30,1
2014,05,011,poverty,Extreme Poverty,38,1
2014,05,011,poverty,Not Extreme Poverty,28,1
2014,05,011,race-ethnicity,"Majority White, Non-Hispanic",34,1
2014,05,011,race-ethnicity,No Majority Race/Ethnicity,27,1
2014,05,013,all,All,34,1
2014,05,013,poverty,Not Extreme Poverty,34,1
2014,05,013,race-ethnicity,"Majority White, Non-Hispanic",34,1
2014,05,015,all,All,72,1
2014,05,015,poverty,Not Extreme Poverty,72,1
2014,05,015,race-ethnicity,"Majority White, Non-Hispanic",72,1
2014,05,017,all,All,61,1
2014,05,017,poverty,Extreme Poverty,59,1
2014,05,017,poverty,Not Extreme Poverty,62,1
2014,05,017,race-ethnicity,Majority Non-White,59,1
2014,05,017,race-ethnicity,"Majority White, Non-Hispanic",64,1
2014,05,017,race-ethnicity,No Majority Race/Ethnicity,61,1
2014,05,019,all,All,22,1
2014,05,019,poverty,Not Extreme Poverty,22,1
2014,05,019,race-ethnicity,"Majority White, Non-Hispanic",23,1
2014,05,019,race-ethnicity,No Majority Race/Ethnicity,16,1
2014,05,021,all,All,64,1
2014,05,021,poverty,Not Extreme Poverty,64,1
2014,05,021,race-ethnicity,"Majority White, Non-Hispanic",64,1
2014,05,023,all,All,43,1
2014,05,023,poverty,Not Extreme Poverty,43,1
2014,05,023,race-ethnicity,"Majority White, Non-Hispanic",43,1
2014,05,025,all,All,38,1
2014,05,025,poverty,Not Extreme Poverty,38,1
