year,state,place,subgroup_type,subgroup,index_air_hazard,environmental_quality
2014,05,35710,race-ethnicity,Majority Non-White,48,1
2014,05,35710,race-ethnicity,"Majority White, Non-Hispanic",52,1
2014,05,35710,race-ethnicity,No Majority Race/Ethnicity,50,1
2014,05,41000,all,All,23,1
2014,05,41000,race-ethnicity,Majority Non-White,23,1
2014,05,41000,race-ethnicity,"Majority White, Non-Hispanic",24,1
2014,05,41000,race-ethnicity,No Majority Race/Ethnicity,22,1
2014,05,66080,all,All,42,1
2014,05,66080,race-ethnicity,Majority Non-White,41,1
2014,05,66080,race-ethnicity,"Majority White, Non-Hispanic",42,1
2014,05,66080,race-ethnicity,No Majority Race/Ethnicity,41,1
2014,06,00562,all,All,56,1
2014,06,00562,race-ethnicity,Majority Non-White,53,1
2014,06,00562,race-ethnicity,"Majority White, Non-Hispanic",56,1
2014,06,00562,race-ethnicity,No Majority Race/Ethnicity,57,1
2014,06,00884,all,All,10,1
2014,06,00884,race-ethnicity,Majority Non-White,10,1
2014,06,00884,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,00884,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2014,06,02000,all,All,10,1
2014,06,02000,race-ethnicity,Majority Non-White,8,1
2014,06,02000,race-ethnicity,"Majority White, Non-Hispanic",16,1
2014,06,02000,race-ethnicity,No Majority Race/Ethnicity,20,1
2014,06,02252,all,All,61,1
2014,06,02252,race-ethnicity,Majority Non-White,61,1
2014,06,02252,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,02252,race-ethnicity,No Majority Race/Ethnicity,62,1
2014,06,02364,all,All,76,1
2014,06,02364,race-ethnicity,Majority Non-White,NA,NA
2014,06,02364,race-ethnicity,"Majority White, Non-Hispanic",76,1
2014,06,02364,race-ethnicity,No Majority Race/Ethnicity,76,1
2014,06,03526,all,All,7,1
2014,06,03526,race-ethnicity,Majority Non-White,8,1
2014,06,03526,race-ethnicity,"Majority White, Non-Hispanic",9,1
2014,06,03526,race-ethnicity,No Majority Race/Ethnicity,4,1
2014,06,04982,all,All,4,1
2014,06,04982,race-ethnicity,Majority Non-White,4,1
2014,06,04982,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,04982,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2014,06,06000,all,All,30,1
2014,06,06000,race-ethnicity,Majority Non-White,30,1
2014,06,06000,race-ethnicity,"Majority White, Non-Hispanic",30,1
2014,06,06000,race-ethnicity,No Majority Race/Ethnicity,30,1
2014,06,08786,all,All,6,1
2014,06,08786,race-ethnicity,Majority Non-White,6,1
2014,06,08786,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,08786,race-ethnicity,No Majority Race/Ethnicity,7,1
2014,06,08954,all,All,19,1
2014,06,08954,race-ethnicity,Majority Non-White,20,1
2014,06,08954,race-ethnicity,"Majority White, Non-Hispanic",19,1
2014,06,08954,race-ethnicity,No Majority Race/Ethnicity,19,1
2014,06,11194,all,All,45,1
2014,06,11194,race-ethnicity,Majority Non-White,NA,NA
2014,06,11194,race-ethnicity,"Majority White, Non-Hispanic",45,1
2014,06,11194,race-ethnicity,No Majority Race/Ethnicity,48,1
2014,06,11530,all,All,2,1
2014,06,11530,race-ethnicity,Majority Non-White,2,1
2014,06,11530,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,11530,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2014,06,13014,all,All,8,1
2014,06,13014,race-ethnicity,Majority Non-White,NA,NA
2014,06,13014,race-ethnicity,"Majority White, Non-Hispanic",9,1
2014,06,13014,race-ethnicity,No Majority Race/Ethnicity,7,1
2014,06,13210,all,All,15,1
2014,06,13210,race-ethnicity,Majority Non-White,15,1
2014,06,13210,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,13210,race-ethnicity,No Majority Race/Ethnicity,20,1
2014,06,13214,all,All,21,1
2014,06,13214,race-ethnicity,Majority Non-White,21,1
2014,06,13214,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,13214,race-ethnicity,No Majority Race/Ethnicity,22,1
2014,06,13392,all,All,31,1
2014,06,13392,race-ethnicity,Majority Non-White,31,1
2014,06,13392,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,13392,race-ethnicity,No Majority Race/Ethnicity,43,1
2014,06,13588,all,All,10,1
2014,06,13588,race-ethnicity,Majority Non-White,NA,NA
2014,06,13588,race-ethnicity,"Majority White, Non-Hispanic",10,1
2014,06,13588,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2014,06,14218,all,All,12,1
2014,06,14218,race-ethnicity,Majority Non-White,NA,NA
2014,06,14218,race-ethnicity,"Majority White, Non-Hispanic",13,1
2014,06,14218,race-ethnicity,No Majority Race/Ethnicity,10,1
2014,06,15044,all,All,1,1
2014,06,15044,race-ethnicity,Majority Non-White,1,1
2014,06,15044,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,15044,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2014,06,16000,all,All,39,1
2014,06,16000,race-ethnicity,Majority Non-White,34,1
2014,06,16000,race-ethnicity,"Majority White, Non-Hispanic",49,1
2014,06,16000,race-ethnicity,No Majority Race/Ethnicity,37,1
2014,06,16350,all,All,39,1
2014,06,16350,race-ethnicity,Majority Non-White,32,1
2014,06,16350,race-ethnicity,"Majority White, Non-Hispanic",28,1
2014,06,16350,race-ethnicity,No Majority Race/Ethnicity,46,1
2014,06,16532,all,All,29,1
2014,06,16532,race-ethnicity,Majority Non-White,36,1
2014,06,16532,race-ethnicity,"Majority White, Non-Hispanic",31,1
2014,06,16532,race-ethnicity,No Majority Race/Ethnicity,21,1
2014,06,17918,all,All,82,1
2014,06,17918,race-ethnicity,Majority Non-White,82,1
2014,06,17918,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,17918,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2014,06,19766,all,All,5,1
2014,06,19766,race-ethnicity,Majority Non-White,5,1
2014,06,19766,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,19766,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2014,06,21712,all,All,25,1
2014,06,21712,race-ethnicity,Majority Non-White,24,1
2014,06,21712,race-ethnicity,"Majority White, Non-Hispanic",27,1
2014,06,21712,race-ethnicity,No Majority Race/Ethnicity,24,1
2014,06,22020,all,All,28,1
2014,06,22020,race-ethnicity,Majority Non-White,28,1
2014,06,22020,race-ethnicity,"Majority White, Non-Hispanic",27,1
2014,06,22020,race-ethnicity,No Majority Race/Ethnicity,27,1
2014,06,22230,all,All,8,1
2014,06,22230,race-ethnicity,Majority Non-White,8,1
2014,06,22230,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,22230,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2014,06,22804,all,All,36,1
2014,06,22804,race-ethnicity,Majority Non-White,36,1
2014,06,22804,race-ethnicity,"Majority White, Non-Hispanic",33,1
2014,06,22804,race-ethnicity,No Majority Race/Ethnicity,37,1
2014,06,23182,all,All,54,1
2014,06,23182,race-ethnicity,Majority Non-White,51,1
2014,06,23182,race-ethnicity,"Majority White, Non-Hispanic",70,1
2014,06,23182,race-ethnicity,No Majority Race/Ethnicity,57,1
2014,06,24638,all,All,29,1
2014,06,24638,race-ethnicity,Majority Non-White,31,1
2014,06,24638,race-ethnicity,"Majority White, Non-Hispanic",28,1
2014,06,24638,race-ethnicity,No Majority Race/Ethnicity,30,1
2014,06,24680,all,All,25,1
2014,06,24680,race-ethnicity,Majority Non-White,25,1
2014,06,24680,race-ethnicity,"Majority White, Non-Hispanic",88,1
2014,06,24680,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2014,06,26000,all,All,62,1
2014,06,26000,race-ethnicity,Majority Non-White,62,1
2014,06,26000,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,26000,race-ethnicity,No Majority Race/Ethnicity,62,1
2014,06,27000,all,All,6,1
2014,06,27000,race-ethnicity,Majority Non-White,6,1
2014,06,27000,race-ethnicity,"Majority White, Non-Hispanic",10,1
2014,06,27000,race-ethnicity,No Majority Race/Ethnicity,8,1
2014,06,28000,all,All,9,1
2014,06,28000,race-ethnicity,Majority Non-White,8,1
2014,06,28000,race-ethnicity,"Majority White, Non-Hispanic",10,1
2014,06,28000,race-ethnicity,No Majority Race/Ethnicity,10,1
2014,06,29000,all,All,7,1
2014,06,29000,race-ethnicity,Majority Non-White,7,1
2014,06,29000,race-ethnicity,"Majority White, Non-Hispanic",3,1
2014,06,29000,race-ethnicity,No Majority Race/Ethnicity,4,1
2014,06,30000,all,All,19,1
2014,06,30000,race-ethnicity,Majority Non-White,10,1
2014,06,30000,race-ethnicity,"Majority White, Non-Hispanic",19,1
2014,06,30000,race-ethnicity,No Majority Race/Ethnicity,24,1
2014,06,32548,all,All,4,1
2014,06,32548,race-ethnicity,Majority Non-White,4,1
2014,06,32548,race-ethnicity,"Majority White, Non-Hispanic",3,1
2014,06,32548,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2014,06,33000,all,All,50,1
2014,06,33000,race-ethnicity,Majority Non-White,50,1
2014,06,33000,race-ethnicity,"Majority White, Non-Hispanic",69,1
2014,06,33000,race-ethnicity,No Majority Race/Ethnicity,59,1
2014,06,33182,all,All,52,1
2014,06,33182,race-ethnicity,Majority Non-White,55,1
2014,06,33182,race-ethnicity,"Majority White, Non-Hispanic",52,1
2014,06,33182,race-ethnicity,No Majority Race/Ethnicity,51,1
2014,06,33434,all,All,72,1
2014,06,33434,race-ethnicity,Majority Non-White,70,1
2014,06,33434,race-ethnicity,"Majority White, Non-Hispanic",75,1
2014,06,33434,race-ethnicity,No Majority Race/Ethnicity,73,1
2014,06,36000,all,All,26,1
2014,06,36000,race-ethnicity,Majority Non-White,3,1
2014,06,36000,race-ethnicity,"Majority White, Non-Hispanic",30,1
2014,06,36000,race-ethnicity,No Majority Race/Ethnicity,17,1
2014,06,36448,all,All,57,1
2014,06,36448,race-ethnicity,Majority Non-White,57,1
2014,06,36448,race-ethnicity,"Majority White, Non-Hispanic",59,1
2014,06,36448,race-ethnicity,No Majority Race/Ethnicity,60,1
2014,06,36546,all,All,3,1
2014,06,36546,race-ethnicity,Majority Non-White,3,1
2014,06,36546,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,36546,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2014,06,36770,all,All,25,1
2014,06,36770,race-ethnicity,Majority Non-White,26,1
2014,06,36770,race-ethnicity,"Majority White, Non-Hispanic",25,1
2014,06,36770,race-ethnicity,No Majority Race/Ethnicity,25,1
2014,06,37692,race-ethnicity,Majority Non-White,NA,NA
2014,06,37692,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,37692,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2014,06,39496,all,All,43,1
2014,06,39496,race-ethnicity,Majority Non-White,35,1
2014,06,39496,race-ethnicity,"Majority White, Non-Hispanic",45,1
2014,06,39496,race-ethnicity,No Majority Race/Ethnicity,42,1
2014,06,39892,all,All,5,1
2014,06,39892,race-ethnicity,Majority Non-White,5,1
2014,06,39892,race-ethnicity,"Majority White, Non-Hispanic",4,1
2014,06,39892,race-ethnicity,No Majority Race/Ethnicity,5,1
2014,06,40130,all,All,65,1
2014,06,40130,race-ethnicity,Majority Non-White,62,1
2014,06,40130,race-ethnicity,"Majority White, Non-Hispanic",69,1
2014,06,40130,race-ethnicity,No Majority Race/Ethnicity,69,1
2014,06,41992,all,All,70,1
2014,06,41992,race-ethnicity,Majority Non-White,60,1
2014,06,41992,race-ethnicity,"Majority White, Non-Hispanic",71,1
2014,06,41992,race-ethnicity,No Majority Race/Ethnicity,68,1
2014,06,43000,all,All,1,1
2014,06,43000,race-ethnicity,Majority Non-White,2,1
2014,06,43000,race-ethnicity,"Majority White, Non-Hispanic",1,1
2014,06,43000,race-ethnicity,No Majority Race/Ethnicity,1,1
2014,06,44000,all,All,13,NA
2014,06,44000,race-ethnicity,Majority Non-White,11,1
2014,06,44000,race-ethnicity,"Majority White, Non-Hispanic",15,1
2014,06,44000,race-ethnicity,No Majority Race/Ethnicity,17,1
2014,06,45484,all,All,25,1
2014,06,45484,race-ethnicity,Majority Non-White,23,1
2014,06,45484,race-ethnicity,"Majority White, Non-Hispanic",24,1
2014,06,45484,race-ethnicity,No Majority Race/Ethnicity,26,1
2014,06,46842,all,All,38,1
2014,06,46842,race-ethnicity,Majority Non-White,38,1
2014,06,46842,race-ethnicity,"Majority White, Non-Hispanic",36,1
2014,06,46842,race-ethnicity,No Majority Race/Ethnicity,38,1
2014,06,46898,all,All,17,1
2014,06,46898,race-ethnicity,Majority Non-White,16,1
2014,06,46898,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,46898,race-ethnicity,No Majority Race/Ethnicity,20,1
2014,06,47766,all,All,64,1
2014,06,47766,race-ethnicity,Majority Non-White,64,1
2014,06,47766,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,47766,race-ethnicity,No Majority Race/Ethnicity,75,1
2014,06,48256,all,All,47,1
2014,06,48256,race-ethnicity,Majority Non-White,NA,NA
2014,06,48256,race-ethnicity,"Majority White, Non-Hispanic",47,1
2014,06,48256,race-ethnicity,No Majority Race/Ethnicity,43,1
2014,06,48354,all,All,26,1
2014,06,48354,race-ethnicity,Majority Non-White,25,1
2014,06,48354,race-ethnicity,"Majority White, Non-Hispanic",25,1
2014,06,48354,race-ethnicity,No Majority Race/Ethnicity,27,1
2014,06,49270,all,All,36,1
2014,06,49270,race-ethnicity,Majority Non-White,36,1
2014,06,49270,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,49270,race-ethnicity,No Majority Race/Ethnicity,37,1
2014,06,49670,all,All,55,1
2014,06,49670,race-ethnicity,Majority Non-White,54,1
2014,06,49670,race-ethnicity,"Majority White, Non-Hispanic",60,1
2014,06,49670,race-ethnicity,No Majority Race/Ethnicity,55,1
2014,06,50076,all,All,33,1
2014,06,50076,race-ethnicity,Majority Non-White,NA,NA
2014,06,50076,race-ethnicity,"Majority White, Non-Hispanic",38,1
2014,06,50076,race-ethnicity,No Majority Race/Ethnicity,32,1
2014,06,50258,all,All,65,1
2014,06,50258,race-ethnicity,Majority Non-White,64,1
2014,06,50258,race-ethnicity,"Majority White, Non-Hispanic",66,1
2014,06,50258,race-ethnicity,No Majority Race/Ethnicity,64,1
2014,06,51182,all,All,42,1
2014,06,51182,race-ethnicity,Majority Non-White,NA,NA
2014,06,51182,race-ethnicity,"Majority White, Non-Hispanic",42,1
2014,06,51182,race-ethnicity,No Majority Race/Ethnicity,36,1
2014,06,52526,all,All,5,1
2014,06,52526,race-ethnicity,Majority Non-White,5,1
2014,06,52526,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,52526,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2014,06,53000,all,All,47,1
2014,06,53000,race-ethnicity,Majority Non-White,49,1
2014,06,53000,race-ethnicity,"Majority White, Non-Hispanic",43,1
2014,06,53000,race-ethnicity,No Majority Race/Ethnicity,39,1
2014,06,53322,all,All,38,1
2014,06,53322,race-ethnicity,Majority Non-White,37,1
2014,06,53322,race-ethnicity,"Majority White, Non-Hispanic",40,1
2014,06,53322,race-ethnicity,No Majority Race/Ethnicity,37,1
2014,06,53896,all,All,20,1
2014,06,53896,race-ethnicity,Majority Non-White,20,1
2014,06,53896,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,53896,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2014,06,53980,all,All,10,1
2014,06,53980,race-ethnicity,Majority Non-White,9,1
2014,06,53980,race-ethnicity,"Majority White, Non-Hispanic",13,1
2014,06,53980,race-ethnicity,No Majority Race/Ethnicity,11,1
2014,06,54652,all,All,34,1
2014,06,54652,race-ethnicity,Majority Non-White,33,1
2014,06,54652,race-ethnicity,"Majority White, Non-Hispanic",61,1
2014,06,54652,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2014,06,55156,all,All,74,1
2014,06,55156,race-ethnicity,Majority Non-White,75,1
2014,06,55156,race-ethnicity,"Majority White, Non-Hispanic",70,1
2014,06,55156,race-ethnicity,No Majority Race/Ethnicity,71,1
2014,06,56000,all,All,19,1
2014,06,56000,race-ethnicity,Majority Non-White,21,1
2014,06,56000,race-ethnicity,"Majority White, Non-Hispanic",20,1
2014,06,56000,race-ethnicity,No Majority Race/Ethnicity,17,1
2014,06,56700,all,All,38,1
2014,06,56700,race-ethnicity,Majority Non-White,38,1
2014,06,56700,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,56700,race-ethnicity,No Majority Race/Ethnicity,36,1
2014,06,57456,all,All,47,1
2014,06,57456,race-ethnicity,Majority Non-White,47,1
2014,06,57456,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,57456,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2014,06,57792,all,All,65,1
2014,06,57792,race-ethnicity,Majority Non-White,61,1
2014,06,57792,race-ethnicity,"Majority White, Non-Hispanic",68,1
2014,06,57792,race-ethnicity,No Majority Race/Ethnicity,63,1
2014,06,58072,all,All,21,1
2014,06,58072,race-ethnicity,Majority Non-White,20,1
2014,06,58072,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,58072,race-ethnicity,No Majority Race/Ethnicity,26,1
2014,06,59444,all,All,17,1
2014,06,59444,race-ethnicity,Majority Non-White,10,1
2014,06,59444,race-ethnicity,"Majority White, Non-Hispanic",15,1
2014,06,59444,race-ethnicity,No Majority Race/Ethnicity,18,1
2014,06,59451,all,All,36,1
2014,06,59451,race-ethnicity,Majority Non-White,34,1
2014,06,59451,race-ethnicity,"Majority White, Non-Hispanic",45,1
2014,06,59451,race-ethnicity,No Majority Race/Ethnicity,39,1
2014,06,59920,all,All,13,1
2014,06,59920,race-ethnicity,Majority Non-White,NA,NA
2014,06,59920,race-ethnicity,"Majority White, Non-Hispanic",13,1
2014,06,59920,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2014,06,60102,all,All,75,1
2014,06,60102,race-ethnicity,Majority Non-White,73,1
2014,06,60102,race-ethnicity,"Majority White, Non-Hispanic",81,1
2014,06,60102,race-ethnicity,No Majority Race/Ethnicity,71,1
2014,06,60466,all,All,24,1
2014,06,60466,race-ethnicity,Majority Non-White,24,1
2014,06,60466,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,60466,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2014,06,60620,all,All,1,1
2014,06,60620,race-ethnicity,Majority Non-White,1,1
2014,06,60620,race-ethnicity,"Majority White, Non-Hispanic",1,1
2014,06,60620,race-ethnicity,No Majority Race/Ethnicity,3,1
2014,06,62000,all,All,24,1
2014,06,62000,race-ethnicity,Majority Non-White,22,1
2014,06,62000,race-ethnicity,"Majority White, Non-Hispanic",27,1
2014,06,62000,race-ethnicity,No Majority Race/Ethnicity,27,1
2014,06,62938,all,All,9,1
2014,06,62938,race-ethnicity,Majority Non-White,NA,NA
2014,06,62938,race-ethnicity,"Majority White, Non-Hispanic",9,1
2014,06,62938,race-ethnicity,No Majority Race/Ethnicity,7,1
2014,06,64000,all,All,16,1
2014,06,64000,race-ethnicity,Majority Non-White,18,1
2014,06,64000,race-ethnicity,"Majority White, Non-Hispanic",10,1
2014,06,64000,race-ethnicity,No Majority Race/Ethnicity,13,1
2014,06,64224,all,All,31,1
2014,06,64224,race-ethnicity,Majority Non-White,32,1
2014,06,64224,race-ethnicity,"Majority White, Non-Hispanic",25,1
2014,06,64224,race-ethnicity,No Majority Race/Ethnicity,26,1
2014,06,65000,all,All,28,1
2014,06,65000,race-ethnicity,Majority Non-White,27,1
2014,06,65000,race-ethnicity,"Majority White, Non-Hispanic",59,1
2014,06,65000,race-ethnicity,No Majority Race/Ethnicity,50,1
2014,06,65042,all,All,49,1
2014,06,65042,race-ethnicity,Majority Non-White,66,1
2014,06,65042,race-ethnicity,"Majority White, Non-Hispanic",53,1
2014,06,65042,race-ethnicity,No Majority Race/Ethnicity,37,1
2014,06,66000,all,All,34,1
2014,06,66000,race-ethnicity,Majority Non-White,28,1
2014,06,66000,race-ethnicity,"Majority White, Non-Hispanic",42,1
2014,06,66000,race-ethnicity,No Majority Race/Ethnicity,34,1
2014,06,67000,all,All,36,1
2014,06,67000,race-ethnicity,Majority Non-White,43,1
2014,06,67000,race-ethnicity,"Majority White, Non-Hispanic",24,1
2014,06,67000,race-ethnicity,No Majority Race/Ethnicity,35,1
2014,06,68000,all,All,40,1
2014,06,68000,race-ethnicity,Majority Non-White,42,1
2014,06,68000,race-ethnicity,"Majority White, Non-Hispanic",36,1
2014,06,68000,race-ethnicity,No Majority Race/Ethnicity,36,1
2014,06,68084,all,All,51,1
2014,06,68084,race-ethnicity,Majority Non-White,51,1
2014,06,68084,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,68084,race-ethnicity,No Majority Race/Ethnicity,53,1
2014,06,68196,all,All,41,1
2014,06,68196,race-ethnicity,Majority Non-White,42,1
2014,06,68196,race-ethnicity,"Majority White, Non-Hispanic",40,1
2014,06,68196,race-ethnicity,No Majority Race/Ethnicity,40,1
2014,06,68252,all,All,62,1
2014,06,68252,race-ethnicity,Majority Non-White,54,1
2014,06,68252,race-ethnicity,"Majority White, Non-Hispanic",69,1
2014,06,68252,race-ethnicity,No Majority Race/Ethnicity,64,1
2014,06,68378,all,All,64,1
2014,06,68378,race-ethnicity,Majority Non-White,65,1
2014,06,68378,race-ethnicity,"Majority White, Non-Hispanic",63,1
2014,06,68378,race-ethnicity,No Majority Race/Ethnicity,64,1
2014,06,69000,all,All,12,1
2014,06,69000,race-ethnicity,Majority Non-White,12,1
2014,06,69000,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,06,69000,race-ethnicity,No Majority Race/Ethnicity,12,1
2014,06,69070,all,All,72,1
