year,state,place,subgroup_type,subgroup,index_air_hazard,index_air_hazard_quality
2014,04,73000,poverty,Not High-Poverty,14,1
2014,04,77000,all,All,29,1
2014,04,77000,poverty,High-Poverty,19,1
2014,04,77000,poverty,Not High-Poverty,30,1
2014,04,85540,all,All,25,1
2014,04,85540,poverty,High-Poverty,NA,NA
2014,04,85540,poverty,Not High-Poverty,25,1
2014,05,23290,all,All,52,1
2014,05,23290,poverty,High-Poverty,52,1
2014,05,23290,poverty,Not High-Poverty,52,1
2014,05,24550,all,All,20,1
2014,05,24550,poverty,High-Poverty,23,1
2014,05,24550,poverty,Not High-Poverty,20,1
2014,05,35710,all,All,51,1
2014,05,35710,poverty,High-Poverty,48,1
2014,05,35710,poverty,Not High-Poverty,52,1
2014,05,41000,all,All,23,1
2014,05,41000,poverty,High-Poverty,22,1
2014,05,41000,poverty,Not High-Poverty,23,1
2014,05,66080,all,All,42,1
2014,05,66080,poverty,High-Poverty,NA,NA
2014,05,66080,poverty,Not High-Poverty,42,1
2014,06,00562,all,All,56,1
2014,06,00562,poverty,High-Poverty,NA,NA
2014,06,00562,poverty,Not High-Poverty,56,1
2014,06,00884,all,All,10,1
2014,06,00884,poverty,High-Poverty,NA,NA
2014,06,00884,poverty,Not High-Poverty,10,1
2014,06,02000,all,All,10,1
2014,06,02000,poverty,High-Poverty,NA,NA
2014,06,02000,poverty,Not High-Poverty,10,1
2014,06,02252,all,All,61,1
2014,06,02252,poverty,High-Poverty,NA,NA
2014,06,02252,poverty,Not High-Poverty,61,1
2014,06,02364,all,All,76,1
2014,06,02364,poverty,High-Poverty,74,1
2014,06,02364,poverty,Not High-Poverty,76,1
2014,06,03526,all,All,7,1
2014,06,03526,poverty,High-Poverty,6,1
2014,06,03526,poverty,Not High-Poverty,7,1
2014,06,04982,all,All,4,1
2014,06,04982,poverty,High-Poverty,NA,NA
2014,06,04982,poverty,Not High-Poverty,4,1
2014,06,06000,all,All,30,1
2014,06,06000,poverty,High-Poverty,31,1
2014,06,06000,poverty,Not High-Poverty,30,1
2014,06,08786,all,All,6,1
2014,06,08786,poverty,High-Poverty,NA,NA
2014,06,08786,poverty,Not High-Poverty,6,1
2014,06,08954,all,All,19,1
2014,06,08954,poverty,High-Poverty,NA,NA
2014,06,08954,poverty,Not High-Poverty,19,1
2014,06,11194,all,All,45,1
2014,06,11194,poverty,High-Poverty,NA,NA
2014,06,11194,poverty,Not High-Poverty,45,1
2014,06,11530,all,All,2,1
2014,06,11530,poverty,High-Poverty,NA,NA
2014,06,11530,poverty,Not High-Poverty,2,1
2014,06,13014,all,All,8,1
2014,06,13014,poverty,High-Poverty,7,1
2014,06,13014,poverty,Not High-Poverty,9,1
2014,06,13210,all,All,15,1
2014,06,13210,poverty,High-Poverty,NA,NA
2014,06,13210,poverty,Not High-Poverty,15,1
2014,06,13214,all,All,21,1
2014,06,13214,poverty,High-Poverty,NA,NA
2014,06,13214,poverty,Not High-Poverty,21,1
2014,06,13392,all,All,31,1
2014,06,13392,poverty,High-Poverty,NA,NA
2014,06,13392,poverty,Not High-Poverty,31,1
2014,06,13588,all,All,10,1
2014,06,13588,poverty,High-Poverty,NA,NA
2014,06,13588,poverty,Not High-Poverty,10,1
2014,06,14218,all,All,12,1
2014,06,14218,poverty,High-Poverty,NA,NA
2014,06,14218,poverty,Not High-Poverty,12,1
2014,06,15044,all,All,1,1
2014,06,15044,poverty,High-Poverty,2,1
2014,06,15044,poverty,Not High-Poverty,1,1
2014,06,16000,all,All,39,1
2014,06,16000,poverty,High-Poverty,NA,NA
2014,06,16000,poverty,Not High-Poverty,39,1
2014,06,16350,all,All,39,1
2014,06,16350,poverty,High-Poverty,NA,NA
2014,06,16350,poverty,Not High-Poverty,39,1
2014,06,16532,all,All,29,1
2014,06,16532,poverty,High-Poverty,NA,NA
2014,06,16532,poverty,Not High-Poverty,29,1
2014,06,17918,all,All,82,1
2014,06,17918,poverty,High-Poverty,NA,NA
2014,06,17918,poverty,Not High-Poverty,82,1
2014,06,19766,all,All,5,1
2014,06,19766,poverty,High-Poverty,NA,NA
2014,06,19766,poverty,Not High-Poverty,5,1
2014,06,21712,all,All,25,1
2014,06,21712,poverty,High-Poverty,24,1
2014,06,21712,poverty,Not High-Poverty,25,1
2014,06,22020,all,All,28,1
2014,06,22020,poverty,High-Poverty,NA,NA
2014,06,22020,poverty,Not High-Poverty,28,1
2014,06,22230,all,All,8,1
2014,06,22230,poverty,High-Poverty,NA,NA
2014,06,22230,poverty,Not High-Poverty,8,1
2014,06,22804,all,All,36,1
2014,06,22804,poverty,High-Poverty,31,1
2014,06,22804,poverty,Not High-Poverty,36,1
2014,06,23182,all,All,54,1
2014,06,23182,poverty,High-Poverty,NA,NA
2014,06,23182,poverty,Not High-Poverty,54,1
2014,06,24638,all,All,29,1
2014,06,24638,poverty,High-Poverty,NA,NA
2014,06,24638,poverty,Not High-Poverty,29,1
2014,06,24680,all,All,25,1
2014,06,24680,poverty,High-Poverty,31,1
2014,06,24680,poverty,Not High-Poverty,25,1
2014,06,26000,all,All,62,1
2014,06,26000,poverty,High-Poverty,NA,NA
2014,06,26000,poverty,Not High-Poverty,62,1
2014,06,27000,all,All,6,1
2014,06,27000,poverty,High-Poverty,5,1
2014,06,27000,poverty,Not High-Poverty,7,1
2014,06,28000,all,All,9,1
2014,06,28000,poverty,High-Poverty,NA,NA
2014,06,28000,poverty,Not High-Poverty,9,1
2014,06,29000,all,All,7,1
2014,06,29000,poverty,High-Poverty,NA,NA
2014,06,29000,poverty,Not High-Poverty,7,1
2014,06,30000,all,All,19,1
2014,06,30000,poverty,High-Poverty,NA,NA
2014,06,30000,poverty,Not High-Poverty,19,1
2014,06,32548,all,All,4,1
2014,06,32548,poverty,High-Poverty,4,1
2014,06,32548,poverty,Not High-Poverty,4,1
2014,06,33000,all,All,50,1
2014,06,33000,poverty,High-Poverty,NA,NA
2014,06,33000,poverty,Not High-Poverty,50,1
2014,06,33182,all,All,52,1
2014,06,33182,poverty,High-Poverty,52,1
2014,06,33182,poverty,Not High-Poverty,53,1
2014,06,33434,all,All,72,1
2014,06,33434,poverty,High-Poverty,NA,NA
2014,06,33434,poverty,Not High-Poverty,72,1
2014,06,36000,all,All,26,1
2014,06,36000,poverty,High-Poverty,NA,NA
2014,06,36000,poverty,Not High-Poverty,26,1
2014,06,36448,all,All,57,1
2014,06,36448,poverty,High-Poverty,58,1
2014,06,36448,poverty,Not High-Poverty,57,1
2014,06,36546,all,All,3,1
2014,06,36546,poverty,High-Poverty,6,1
2014,06,36546,poverty,Not High-Poverty,3,1
2014,06,36770,all,All,25,1
2014,06,36770,poverty,High-Poverty,35,1
2014,06,36770,poverty,Not High-Poverty,24,1
2014,06,37692,poverty,High-Poverty,NA,NA
2014,06,37692,poverty,Not High-Poverty,NA,NA
2014,06,39496,all,All,43,1
2014,06,39496,poverty,High-Poverty,NA,NA
2014,06,39496,poverty,Not High-Poverty,43,1
2014,06,39892,all,All,5,1
2014,06,39892,poverty,High-Poverty,NA,NA
2014,06,39892,poverty,Not High-Poverty,5,1
2014,06,40130,all,All,65,1
2014,06,40130,poverty,High-Poverty,63,1
2014,06,40130,poverty,Not High-Poverty,64,1
2014,06,41992,all,All,70,1
2014,06,41992,poverty,High-Poverty,NA,NA
2014,06,41992,poverty,Not High-Poverty,70,1
2014,06,43000,all,All,1,1
2014,06,43000,poverty,High-Poverty,0,1
2014,06,43000,poverty,Not High-Poverty,2,1
2014,06,44000,all,All,13,1
2014,06,44000,poverty,High-Poverty,6,1
2014,06,44000,poverty,Not High-Poverty,13,1
2014,06,45484,all,All,25,1
2014,06,45484,poverty,High-Poverty,NA,NA
2014,06,45484,poverty,Not High-Poverty,25,1
2014,06,46842,all,All,38,1
2014,06,46842,poverty,High-Poverty,NA,NA
2014,06,46842,poverty,Not High-Poverty,38,1
2014,06,46898,all,All,17,1
2014,06,46898,poverty,High-Poverty,13,1
2014,06,46898,poverty,Not High-Poverty,18,1
2014,06,47766,all,All,64,1
2014,06,47766,poverty,High-Poverty,NA,NA
2014,06,47766,poverty,Not High-Poverty,64,1
2014,06,48256,all,All,47,1
2014,06,48256,poverty,High-Poverty,NA,NA
2014,06,48256,poverty,Not High-Poverty,47,1
2014,06,48354,all,All,26,1
2014,06,48354,poverty,High-Poverty,22,1
2014,06,48354,poverty,Not High-Poverty,26,1
2014,06,49270,all,All,36,1
2014,06,49270,poverty,High-Poverty,32,1
2014,06,49270,poverty,Not High-Poverty,36,1
2014,06,49670,all,All,55,1
2014,06,49670,poverty,High-Poverty,NA,NA
2014,06,49670,poverty,Not High-Poverty,55,1
2014,06,50076,all,All,33,1
2014,06,50076,poverty,High-Poverty,NA,NA
2014,06,50076,poverty,Not High-Poverty,33,1
2014,06,50258,all,All,65,1
2014,06,50258,poverty,High-Poverty,58,1
2014,06,50258,poverty,Not High-Poverty,65,1
2014,06,51182,all,All,42,1
2014,06,51182,poverty,High-Poverty,NA,NA
2014,06,51182,poverty,Not High-Poverty,42,1
2014,06,52526,all,All,5,1
2014,06,52526,poverty,High-Poverty,5,1
2014,06,52526,poverty,Not High-Poverty,5,1
2014,06,53000,all,All,47,1
2014,06,53000,poverty,High-Poverty,43,1
2014,06,53000,poverty,Not High-Poverty,47,1
2014,06,53322,all,All,38,1
2014,06,53322,poverty,High-Poverty,NA,NA
2014,06,53322,poverty,Not High-Poverty,38,1
2014,06,53896,all,All,20,1
2014,06,53896,poverty,High-Poverty,26,1
2014,06,53896,poverty,Not High-Poverty,20,1
2014,06,53980,all,All,10,1
2014,06,53980,poverty,High-Poverty,NA,NA
2014,06,53980,poverty,Not High-Poverty,10,1
2014,06,54652,all,All,34,1
2014,06,54652,poverty,High-Poverty,NA,NA
2014,06,54652,poverty,Not High-Poverty,34,1
2014,06,55156,all,All,74,1
2014,06,55156,poverty,High-Poverty,68,1
2014,06,55156,poverty,Not High-Poverty,75,1
2014,06,56000,all,All,19,1
2014,06,56000,poverty,High-Poverty,NA,NA
2014,06,56000,poverty,Not High-Poverty,19,1
2014,06,56700,all,All,38,1
2014,06,56700,poverty,High-Poverty,NA,NA
2014,06,56700,poverty,Not High-Poverty,38,1
2014,06,57456,all,All,47,1
2014,06,57456,poverty,High-Poverty,NA,NA
2014,06,57456,poverty,Not High-Poverty,47,1
2014,06,57792,all,All,65,1
2014,06,57792,poverty,High-Poverty,NA,NA
2014,06,57792,poverty,Not High-Poverty,65,1
2014,06,58072,all,All,21,1
2014,06,58072,poverty,High-Poverty,22,1
2014,06,58072,poverty,Not High-Poverty,20,1
2014,06,59444,all,All,17,1
2014,06,59444,poverty,High-Poverty,10,1
2014,06,59444,poverty,Not High-Poverty,17,1
2014,06,59451,all,All,36,1
2014,06,59451,poverty,High-Poverty,NA,NA
2014,06,59451,poverty,Not High-Poverty,36,1
2014,06,59920,all,All,13,1
2014,06,59920,poverty,High-Poverty,NA,NA
2014,06,59920,poverty,Not High-Poverty,13,1
2014,06,60102,all,All,75,1
2014,06,60102,poverty,High-Poverty,NA,NA
2014,06,60102,poverty,Not High-Poverty,75,1
2014,06,60466,all,All,24,1
2014,06,60466,poverty,High-Poverty,22,1
2014,06,60466,poverty,Not High-Poverty,25,1
2014,06,60620,all,All,1,1
2014,06,60620,poverty,High-Poverty,NA,NA
2014,06,60620,poverty,Not High-Poverty,1,1
2014,06,62000,all,All,24,1
2014,06,62000,poverty,High-Poverty,20,1
2014,06,62000,poverty,Not High-Poverty,24,1
2014,06,62938,all,All,9,1
2014,06,62938,poverty,High-Poverty,NA,NA
2014,06,62938,poverty,Not High-Poverty,9,1
2014,06,64000,all,All,16,1
2014,06,64000,poverty,High-Poverty,13,1
2014,06,64000,poverty,Not High-Poverty,16,1
2014,06,64224,all,All,31,1
2014,06,64224,poverty,High-Poverty,31,1
2014,06,64224,poverty,Not High-Poverty,31,1
2014,06,65000,all,All,28,1
2014,06,65000,poverty,High-Poverty,26,1
2014,06,65000,poverty,Not High-Poverty,28,1
2014,06,65042,all,All,49,1
2014,06,65042,poverty,High-Poverty,NA,NA
2014,06,65042,poverty,Not High-Poverty,49,1
2014,06,66000,all,All,34,1
2014,06,66000,poverty,High-Poverty,21,1
2014,06,66000,poverty,Not High-Poverty,35,1
2014,06,67000,all,All,36,1
2014,06,67000,poverty,High-Poverty,29,1
2014,06,67000,poverty,Not High-Poverty,37,1
2014,06,68000,all,All,40,1
2014,06,68000,poverty,High-Poverty,19,1
2014,06,68000,poverty,Not High-Poverty,40,1
2014,06,68084,all,All,51,1
2014,06,68084,poverty,High-Poverty,NA,NA
2014,06,68084,poverty,Not High-Poverty,51,1
2014,06,68196,all,All,41,1
2014,06,68196,poverty,High-Poverty,NA,NA
2014,06,68196,poverty,Not High-Poverty,41,1
2014,06,68252,all,All,62,1
2014,06,68252,poverty,High-Poverty,NA,NA
2014,06,68252,poverty,Not High-Poverty,62,1
2014,06,68378,all,All,64,1
2014,06,68378,poverty,High-Poverty,NA,NA
2014,06,68378,poverty,Not High-Poverty,64,1
2014,06,69000,all,All,12,1
2014,06,69000,poverty,High-Poverty,12,1
2014,06,69000,poverty,Not High-Poverty,12,1
2014,06,69070,all,All,72,1
2014,06,69070,poverty,High-Poverty,NA,NA
2014,06,69070,poverty,Not High-Poverty,72,1
2014,06,69084,all,All,30,1
2014,06,69084,poverty,High-Poverty,NA,NA
2014,06,69084,poverty,Not High-Poverty,30,1
2014,06,69088,all,All,50,1
2014,06,69088,poverty,High-Poverty,NA,NA
2014,06,69088,poverty,Not High-Poverty,50,1
2014,06,69196,all,All,74,1
2014,06,69196,poverty,High-Poverty,NA,NA
2014,06,69196,poverty,Not High-Poverty,74,1
2014,06,70000,all,All,14,1
2014,06,70000,poverty,High-Poverty,NA,NA
2014,06,70000,poverty,Not High-Poverty,14,1
2014,06,70098,all,All,59,1
2014,06,70098,poverty,High-Poverty,NA,NA
2014,06,70098,poverty,Not High-Poverty,59,1
2014,06,72016,all,All,53,1
2014,06,72016,poverty,High-Poverty,NA,NA
2014,06,72016,poverty,Not High-Poverty,53,1
2014,06,73080,all,All,6,1
2014,06,73080,poverty,High-Poverty,NA,NA
2014,06,73080,poverty,Not High-Poverty,6,1
2014,06,75000,all,All,25,1
2014,06,75000,poverty,High-Poverty,21,1
2014,06,75000,poverty,Not High-Poverty,26,1
2014,06,77000,all,All,46,1
2014,06,77000,poverty,High-Poverty,NA,NA
2014,06,77000,poverty,Not High-Poverty,46,1
2014,06,78120,all,All,43,1
2014,06,78120,poverty,High-Poverty,NA,NA
2014,06,78120,poverty,Not High-Poverty,43,1
2014,06,78582,all,All,44,1
2014,06,78582,poverty,High-Poverty,NA,NA
2014,06,78582,poverty,Not High-Poverty,44,1
2014,06,80000,all,All,1,1
2014,06,80000,poverty,High-Poverty,NA,NA
2014,06,80000,poverty,Not High-Poverty,1,1
2014,06,80238,all,All,55,1
2014,06,80238,poverty,High-Poverty,NA,NA
2014,06,80238,poverty,Not High-Poverty,55,1
2014,06,80854,all,All,12,1
2014,06,80854,poverty,High-Poverty,NA,NA
2014,06,80854,poverty,Not High-Poverty,12,1
2014,06,81344,all,All,33,1
2014,06,81344,poverty,High-Poverty,NA,NA
2014,06,81344,poverty,Not High-Poverty,33,1
2014,06,81554,all,All,68,1
2014,06,81554,poverty,High-Poverty,NA,NA
2014,06,81554,poverty,Not High-Poverty,67,1
2014,06,81666,all,All,22,1
2014,06,81666,poverty,High-Poverty,24,1
2014,06,81666,poverty,Not High-Poverty,22,1
2014,06,82590,all,All,69,1
2014,06,82590,poverty,High-Poverty,63,1
2014,06,82590,poverty,Not High-Poverty,69,1
2014,06,82954,all,All,6,1
2014,06,82954,poverty,High-Poverty,4,1
2014,06,82954,poverty,Not High-Poverty,6,1
2014,06,82996,all,All,39,1
2014,06,82996,poverty,High-Poverty,NA,NA
2014,06,82996,poverty,Not High-Poverty,39,1
2014,06,84200,all,All,11,1
2014,06,84200,poverty,High-Poverty,NA,NA
2014,06,84200,poverty,Not High-Poverty,11,1
2014,06,84550,all,All,7,1
2014,06,84550,poverty,High-Poverty,NA,NA
2014,06,84550,poverty,Not High-Poverty,7,1
2014,06,85292,all,All,9,1
2014,06,85292,poverty,High-Poverty,NA,NA
2014,06,85292,poverty,Not High-Poverty,9,1
2014,08,03455,all,All,58,1
2014,08,03455,poverty,High-Poverty,NA,NA
2014,08,03455,poverty,Not High-Poverty,58,1
2014,08,04000,all,All,66,1
2014,08,04000,poverty,High-Poverty,45,1
2014,08,04000,poverty,Not High-Poverty,67,1
2014,08,07850,all,All,94,1
2014,08,07850,poverty,High-Poverty,94,1
2014,08,07850,poverty,Not High-Poverty,94,1
2014,08,12815,all,All,68,1
2014,08,12815,poverty,High-Poverty,NA,NA
2014,08,12815,poverty,Not High-Poverty,68,1
2014,08,16000,all,All,90,1
2014,08,16000,poverty,High-Poverty,83,1
2014,08,16000,poverty,Not High-Poverty,90,1
2014,08,20000,all,All,35,1
2014,08,20000,poverty,High-Poverty,26,1
2014,08,20000,poverty,Not High-Poverty,35,1
2014,08,27425,all,All,83,1
2014,08,27425,poverty,High-Poverty,86,1
2014,08,27425,poverty,Not High-Poverty,83,1
2014,08,32155,all,All,45,1
2014,08,32155,poverty,High-Poverty,34,1
2014,08,32155,poverty,Not High-Poverty,46,1
2014,08,43000,all,All,49,1
2014,08,43000,poverty,High-Poverty,NA,NA
2014,08,43000,poverty,Not High-Poverty,49,1
2014,08,45970,all,All,72,1
2014,08,45970,poverty,High-Poverty,NA,NA
2014,08,45970,poverty,Not High-Poverty,72,1
2014,08,46465,all,All,80,1
2014,08,46465,poverty,High-Poverty,NA,NA
2014,08,46465,poverty,Not High-Poverty,80,1
2014,08,62000,all,All,87,1
2014,08,62000,poverty,High-Poverty,84,1
2014,08,62000,poverty,Not High-Poverty,88,1
2014,08,77290,all,All,52,1
2014,08,77290,poverty,High-Poverty,NA,NA
2014,08,77290,poverty,Not High-Poverty,52,1
2014,08,83835,all,All,53,1
2014,08,83835,poverty,High-Poverty,NA,NA
2014,08,83835,poverty,Not High-Poverty,53,1
2014,09,08000,all,All,60,1
2014,09,08000,poverty,High-Poverty,59,1
2014,09,08000,poverty,Not High-Poverty,61,1
2014,09,18430,all,All,78,1
2014,09,18430,poverty,High-Poverty,NA,NA
2014,09,18430,poverty,Not High-Poverty,78,1
2014,09,37000,all,All,52,1
2014,09,37000,poverty,High-Poverty,51,1
2014,09,37000,poverty,Not High-Poverty,53,1
2014,09,52000,all,All,67,1
2014,09,52000,poverty,High-Poverty,67,1
2014,09,52000,poverty,Not High-Poverty,67,1
2014,09,55990,all,All,61,1
2014,09,55990,poverty,High-Poverty,NA,NA
2014,09,55990,poverty,Not High-Poverty,61,1
2014,09,73000,all,All,64,1
2014,09,73000,poverty,High-Poverty,NA,NA
2014,09,73000,poverty,Not High-Poverty,64,1
2014,09,80000,all,All,78,1
2014,09,80000,poverty,High-Poverty,76,1
2014,09,80000,poverty,Not High-Poverty,78,1
2014,11,50000,all,All,20,1
2014,11,50000,poverty,High-Poverty,24,1
2014,11,50000,poverty,Not High-Poverty,20,1
2014,12,07300,all,All,75,1
2014,12,07300,poverty,High-Poverty,73,1
2014,12,07300,poverty,Not High-Poverty,75,1
2014,12,07875,all,All,74,1
2014,12,07875,poverty,High-Poverty,NA,NA
2014,12,07875,poverty,Not High-Poverty,74,1
2014,12,10275,all,All,66,1
2014,12,10275,poverty,High-Poverty,NA,NA
2014,12,10275,poverty,Not High-Poverty,66,1
2014,12,12875,all,All,53,1
2014,12,12875,poverty,High-Poverty,64,1
2014,12,12875,poverty,Not High-Poverty,53,1
2014,12,14400,all,All,58,1
2014,12,14400,poverty,High-Poverty,NA,NA
2014,12,14400,poverty,Not High-Poverty,58,1
2014,12,16475,all,All,42,1
2014,12,16475,poverty,High-Poverty,NA,NA
2014,12,16475,poverty,Not High-Poverty,42,1
2014,12,16725,all,All,68,1
2014,12,16725,poverty,High-Poverty,71,1
2014,12,16725,poverty,Not High-Poverty,68,1
2014,12,17200,all,All,43,1
2014,12,17200,poverty,High-Poverty,NA,NA
2014,12,17200,poverty,Not High-Poverty,43,1
2014,12,17935,all,All,38,1
2014,12,17935,poverty,High-Poverty,NA,NA
2014,12,17935,poverty,Not High-Poverty,38,1
2014,12,24000,all,All,60,1
2014,12,24000,poverty,High-Poverty,54,1
2014,12,24000,poverty,Not High-Poverty,61,1
2014,12,24125,all,All,46,1
2014,12,24125,poverty,High-Poverty,48,1
2014,12,24125,poverty,Not High-Poverty,46,1
2014,12,25175,all,All,25,1
2014,12,25175,poverty,High-Poverty,23,1
2014,12,25175,poverty,Not High-Poverty,26,1
2014,12,30000,all,All,26,1
2014,12,30000,poverty,High-Poverty,20,1
2014,12,30000,poverty,Not High-Poverty,26,1
2014,12,32000,all,All,45,1
2014,12,32000,poverty,High-Poverty,62,1
2014,12,32000,poverty,Not High-Poverty,45,1
2014,12,32275,all,All,64,1
2014,12,32275,poverty,High-Poverty,63,1
2014,12,32275,poverty,Not High-Poverty,65,1
2014,12,35000,all,All,30,1
2014,12,35000,poverty,High-Poverty,18,1
2014,12,35000,poverty,Not High-Poverty,31,1
2014,12,36950,all,All,31,1
2014,12,36950,poverty,High-Poverty,30,1
2014,12,36950,poverty,Not High-Poverty,31,1
2014,12,38250,all,All,28,1
2014,12,38250,poverty,High-Poverty,23,1
2014,12,38250,poverty,Not High-Poverty,29,1
2014,12,39425,all,All,56,1
2014,12,39425,poverty,High-Poverty,62,1
2014,12,39425,poverty,Not High-Poverty,56,1
2014,12,43975,all,All,62,1
2014,12,43975,poverty,High-Poverty,56,1
2014,12,43975,poverty,Not High-Poverty,62,1
2014,12,45000,all,All,42,1
2014,12,45000,poverty,High-Poverty,43,1
2014,12,45000,poverty,Not High-Poverty,42,1
2014,12,45025,all,All,75,1
2014,12,45025,poverty,High-Poverty,NA,NA
2014,12,45025,poverty,Not High-Poverty,75,1
2014,12,45060,all,All,30,1
2014,12,45060,poverty,High-Poverty,28,1
2014,12,45060,poverty,Not High-Poverty,30,1
2014,12,45975,all,All,40,1
2014,12,45975,poverty,High-Poverty,NA,NA
2014,12,45975,poverty,Not High-Poverty,40,1
2014,12,49675,all,All,51,1
2014,12,49675,poverty,High-Poverty,NA,NA
2014,12,49675,poverty,Not High-Poverty,51,1
2014,12,53000,all,All,23,1
2014,12,53000,poverty,High-Poverty,21,1
2014,12,53000,poverty,Not High-Poverty,23,1
2014,12,54000,all,All,59,1
2014,12,54000,poverty,High-Poverty,NA,NA
2014,12,54000,poverty,Not High-Poverty,59,1
2014,12,54200,all,All,62,1
2014,12,54200,poverty,High-Poverty,NA,NA
2014,12,54200,poverty,Not High-Poverty,62,1
2014,12,55775,all,All,40,1
2014,12,55775,poverty,High-Poverty,NA,NA
2014,12,55775,poverty,Not High-Poverty,40,1
2014,12,57425,all,All,43,1
2014,12,57425,poverty,High-Poverty,NA,NA
2014,12,57425,poverty,Not High-Poverty,43,1
2014,12,58050,all,All,69,1
2014,12,58050,poverty,High-Poverty,64,1
2014,12,58050,poverty,Not High-Poverty,70,1
2014,12,58715,all,All,62,1
2014,12,58715,poverty,High-Poverty,NA,NA
2014,12,58715,poverty,Not High-Poverty,62,1
2014,12,63000,all,All,55,1
2014,12,63000,poverty,High-Poverty,60,1
2014,12,63000,poverty,Not High-Poverty,55,1
2014,12,69700,all,All,49,1
2014,12,69700,poverty,High-Poverty,NA,NA
2014,12,69700,poverty,Not High-Poverty,49,1
2014,12,70600,all,All,13,1
2014,12,70600,poverty,High-Poverty,12,1
2014,12,70600,poverty,Not High-Poverty,13,1
2014,12,71000,all,All,32,1
2014,12,71000,poverty,High-Poverty,21,1
2014,12,71000,poverty,Not High-Poverty,33,1
2014,12,76600,all,All,64,1
2014,12,76600,poverty,High-Poverty,75,1
2014,12,76600,poverty,Not High-Poverty,63,1
2014,13,03440,all,All,24,1
2014,13,03440,poverty,High-Poverty,22,1
2014,13,03440,poverty,Not High-Poverty,25,1
2014,13,04000,all,All,7,1
2014,13,04000,poverty,High-Poverty,7,1
2014,13,04000,poverty,Not High-Poverty,7,1
2014,13,04204,all,All,21,1
2014,13,04204,poverty,High-Poverty,12,1
2014,13,04204,poverty,Not High-Poverty,22,1
2014,13,19000,all,All,8,1
2014,13,19000,poverty,High-Poverty,4,1
2014,13,19000,poverty,Not High-Poverty,8,1
2014,13,42425,all,All,22,1
2014,13,42425,poverty,High-Poverty,NA,NA
2014,13,42425,poverty,Not High-Poverty,22,1
2014,13,49008,poverty,High-Poverty,NA,NA
2014,13,49008,poverty,Not High-Poverty,NA,NA
2014,13,67284,all,All,18,1
2014,13,67284,poverty,High-Poverty,NA,NA
2014,13,67284,poverty,Not High-Poverty,18,1
2014,13,68516,all,All,14,1
2014,13,68516,poverty,High-Poverty,NA,NA
2014,13,68516,poverty,Not High-Poverty,14,1
2014,13,69000,all,All,39,1
2014,13,69000,poverty,High-Poverty,33,1
2014,13,69000,poverty,Not High-Poverty,40,1
2014,13,72122,poverty,High-Poverty,NA,NA
