zip,county,num_below_p50,pop2018,ec_zip,ec_se_zip,nbhd_ec_zip,ec_grp_mem_zip,ec_high_zip,ec_high_se_zip,nbhd_ec_high_zip,ec_grp_mem_high_zip,exposure_grp_mem_zip,exposure_grp_mem_high_zip,nbhd_exposure_zip,bias_grp_mem_zip,bias_grp_mem_high_zip,nbhd_bias_zip,nbhd_bias_high_zip,clustering_zip,support_ratio_zip,volunteering_rate_zip,civic_organizations_zip
1036,25013,269.5790100097656,5191,1.06871,.047869999,,1.23535,1.52443,.019370001,,1.60393,1.2194099,1.48092,,-.01307,-.083070002,,,.10727,.93704998,.067129999,.02125
1038,25015,103.9872817993164,2867,1.1593601,.0484,,1.31947,1.59393,.01925,,1.66556,1.27413,1.51511,,-.035580002,-.099299997,,,.10542,.96112001,.13269,.03974
1039,25015,111.9935960769653,1042,,,,,,,,,,,,,,,,.091310024,.70760655,.20204093,.025376104
1040,25013,7716.437271118164,40376,.54841,.01105,.48269001,.58591002,1.26553,.01568,1.15244,1.31234,.79841,1.15654,.71906,.26615,-.13471,.32872,-.60271001,.083059996,.96736002,.075099997,.0137
1050,25015,212.5843391418457,2422,1.21948,.03011,,1.28382,1.51228,.02424,,1.5603499,1.2702399,1.41996,,-.01069,-.098870002,,,.11536,.95437998,.098949999,.04005
1053,25015,69.91505432128906,1702,,,,,,,,,,,,,,,,.089741327,.53246152,.13541465,.0054097595
1054,25011,139.8256072998047,1983,,,,,,,,,,,,,,,,.09307798,.73553628,.20803298,.040462032
1056,25013,1133.18017578125,21336,.92281997,.021579999,1.50828,1.16878,1.44359,.01445,1.75425,1.5731601,1.21672,1.43213,1.54864,.0394,-.098480001,.02606,-.13277,.11473,.97454,.06515,.0085500004
1057,25013,619.5478481054306,8745,1.0259,.04016,,1.29907,1.48875,.01644,,1.6187299,1.28377,1.48801,,-.01192,-.087849997,,,.1142,.96269,.096869998,.01555
1060,25015,771.9011936187744,15779,1.11224,.02204,1.06218,1.25475,1.6494401,.01132,1.56032,1.67327,1.32535,1.56171,1.33227,.053259999,-.071429998,.20273,-.17117,.096749999,.88603002,.21965,.04603
1062,25015,673.6262578964233,10495,1.04111,.02651,.96244001,1.16021,1.62642,.01532,1.52795,1.67347,1.28004,1.53522,1.24163,.093610004,-.090049997,.22486,-.23059,.096050002,.90754998,.16169,.024420001
1068,25027,113.1150665283203,1840,,,,,,,,,,,,,,,,.10178547,.90602934,.1457517,.04110539
1069,25013,803.3616724014282,8698,.98422998,.02623,1.53824,1.17681,1.40874,.016249999,1.76085,1.54616,1.25295,1.4368401,1.57449,.060770001,-.076080002,.023019999,-.11837,.10901,.96244001,.059969999,.00605
1071,25013,114.6232681274414,1270,,,,,,,,,,,,,,,,.11582574,.91285092,.042092569,.025127543
1072,25011,111.6723251342773,1536,,,,,,,,,,,,,,,,.091754116,.70962709,.17483531,.027524991
1073,25015,328.8324890136719,6140,1.2580301,.027009999,1.45368,1.37524,1.59122,.01553,1.57189,1.60805,1.3274601,1.4411,1.3598,-.035999998,-.11585,-.06904,-.15597001,.10609,.95244998,.14509,.01018
1075,25015,749.5169531702995,17763,1.10874,.019130001,1.22562,1.2205,1.56585,.01355,1.47865,1.6076,1.23958,1.44209,1.2149,.01539,-.11477,-.0088299997,-.21709999,.10207,.93800998,.10522,.0211
1077,25013,589.8705749511719,9727,1.14063,.040199999,,1.30942,1.5476201,.01448,,1.66615,1.34486,1.55117,,.026350001,-.074129999,,,.12032,.97527999,.064139999,.02434
1080,25013,214.7553100585938,2802,.87129003,.044840001,,,1.3243001,.024769999,,,,,,,,,,.096969999,.83745998,.054340001,.034699999
1081,25013,156.7560729980469,1941,,,,,,,,,,,,,,,,.10479272,.94611824,.066093884,.029450638
1082,25015,971.0207901000977,10586,1.05092,.01705,.77565002,1.02749,1.39424,.016580001,1.00431,1.37936,1.07198,1.23334,.81415999,.041499998,-.1184,.0473,-.23356,.1037,.97213,.070260003,.01071
1083,25027,272.9303588867188,2986,1.0980999,.02905,1.20824,1.19359,1.39852,.0219,1.36475,1.47691,1.2926199,1.3712699,1.28914,.076609999,-.077030003,.062760003,-.058649998,.10182,.92167997,.098219998,.01262
1085,25013,2960.840648651123,41942,.88858998,.018060001,1.39158,1.14834,1.45622,.01324,1.77886,1.62962,1.29449,1.4885499,1.57974,.1129,-.094769999,.11911,-.12605,.10994,.97639,.06016,.01505
1089,25013,2510.902740478516,28666,.80242002,.01441,.91516,.91564,1.38678,.01491,1.4468499,1.48647,1.0322599,1.30388,1.05363,.11297,-.14004,.13142,-.37321001,.10007,.93879002,.051860001,.01737
1095,25013,533.5501594543457,14690,.97569001,.02926,1.67847,1.05993,1.54872,.01389,1.84058,1.63397,1.12666,1.50011,1.6389,.05923,-.08924,-.024150001,-.12305,.10153,.93478,.06882,.01736
1096,25015,194.0450172424316,2695,1.2317801,.034010001,,1.3281,1.52654,.02327,,1.58038,1.32154,1.46311,,-.00496,-.080150001,,,.10599,.94979,.15459999,.024569999
1098,25015,116.8984146118164,1196,,,,,,,,,,,,,,,,.10457646,.8773303,.11235987,.02230704
1103,25013,544.6565208435059,2389,,,,,,,,,,,,,,,,.080455974,.63722759,.068006344,.23100102
1104,25013,3824.62846750021,23876,.52688003,.01083,.049679998,.45874,1.08745,.035950001,.17560001,1.12546,.50213999,1.07016,.133,.086439997,-.05167,.62650001,-.32029,.07767,.89434999,.03472,.00477
1105,25013,3352.189338684082,11957,.4285,.01166,,.37786001,1.10928,.053789999,,1.1745501,.45304,1.17002,,.16594,-.0038699999,,,.07361,.88006002,.029899999,.01981
1106,25013,437.0134429931641,16022,1.0292701,.043310001,,1.2389899,1.65995,.01418,,1.74248,1.19636,1.60457,,-.035629999,-.085950002,,,.10256,.96543998,.11805,.021090001
1107,25013,3360.254684448242,11582,.52256,.01363,.11073,.49597999,1.3504601,.032109998,.56484997,1.38411,.60683,1.27345,.24702001,.18267,-.086900003,.55175,-1.28666,.080669999,.84056997,.032760002,.0055900002
1108,25013,4669.880706787109,27850,.53073001,.01033,.087530002,.43437001,1.13853,.036049999,.23899999,1.1704299,.49199,1.07895,.11865,.11712,-.084789999,.26230001,-1.01432,.079460002,.91209,.04397,.0050499998
1109,25013,6944.596252441406,29903,.50476003,.0096000005,.068800002,.39059001,1.08134,.03238,.15704,1.07283,.44345,1.02424,.12529001,.11921,-.04744,.45089,-.25336999,.083070002,.94999999,.034480002,.0093400003
1118,25013,1168.483169555664,14980,.78123999,.01455,.43566,.79172999,1.28874,.02245,.77068001,1.29055,.82405001,1.1872801,.49884,.039220002,-.086989999,.12667,-.54492003,.086110003,.85843998,.058940001,.0028200001
1119,25013,1777.6279296875,13626,.68185002,.0143,,.63104999,1.25405,.04036,,1.2744401,.71807998,1.20582,,.12119,-.056910001,,,.087389998,.85109001,.04174,.0032899999
1128,25013,190.7758636474609,2672,.89339,.031959999,,.94380999,1.2954,.041359998,,1.32209,.92690998,1.21077,,-.018239999,-.091940001,,,.088610001,.58494002,.058959998,.00026
1129,25013,605.746349811554,6762,.78416002,.019370001,,.81840003,1.27731,.0294,,1.3367701,.84478998,1.2565,,.031239999,-.063879997,,,.087420002,.72567999,.055149999,.0014900001
1151,25013,1446.074264526367,8807,.58516997,.01425,,.56446999,1.1536,.04521,,1.25352,.65919,1.1885999,,.1437,-.054620001,,,.08083,.82709002,.033599999,.0076000001
1201,25003,4591.39083814621,44607,.85096002,.01234,.62687999,.74203998,1.3104399,.01377,1.0034699,1.21622,.85912001,1.03882,.72965002,.13628,-.17078,.14084999,-.37527999,.11626,.99675,.061939999,.018300001
1220,25003,785.1734228134155,8209,.85908997,.018069999,.57569999,.79550999,1.20263,.022299999,.80344999,1.1273299,.86913002,1.00769,.62669998,.084700003,-.11873,.081370004,-.28204,.13496999,.99157,.064999998,.02012
1223,25003,214.8177947998047,2402,1.11306,.03712,,1.18764,1.41359,.03098,,1.44754,1.22219,1.32752,,.02826,-.090410002,,,.1114,.91119999,.10127,.047789998
1225,25003,253.5376892089844,3135,.99021,.026000001,1.1055,1.05718,1.24591,.02256,1.15284,1.2737401,1.059,1.14309,1.04502,.00173,-.11429,-.057870001,-.10317,.1312,.95563,.065909997,.017519999
1226,25003,502.4682769775391,6782,1.05583,.02269,1.1679699,1.15025,1.3581001,.01867,1.35911,1.40213,1.14544,1.25686,1.10729,-.0042099999,-.11558,-.0548,-.22742,.123,.96423,.0634,.02348
1230,25003,701.8947243690491,8542,1.09628,.025800001,.98772001,1.13571,1.52711,.020269999,1.29453,1.5628099,1.23106,1.41213,1.095,.077459998,-.1067,.097970001,-.18223,.11203,.98277998,.092210002,.05068
1235,25003,222.4514863789082,2640,1.0455,.02991,1.08446,1.13236,1.31577,.026149999,1.23119,1.36259,1.15476,1.2498,1.05645,.01939,-.09025,-.02651,-.1654,.1248,.93348998,.071970001,.018409999
1236,25003,122.8307662010193,1140,,,,,,,,,,,,,,,,.10188088,.76987529,.079405285,.023076465
1237,25003,184.3490676879883,2580,1.00351,.033969998,,1.09701,1.37178,.03139,,1.44705,1.14836,1.32767,,.044720002,-.089919999,,,.1145,.89383,.09065,.04033
1238,25003,400.1287980079651,5903,1.05779,.02832,1.2492,1.1956199,1.40792,.020959999,1.48771,1.4864,1.24338,1.3715,1.27562,.038410001,-.083769999,.020710001,-.16627,.12654001,.98587,.07587,.02015
1240,25003,209.2264285087585,4441,1.11115,.036839999,,1.2307301,1.5598,.02293,,1.61684,1.20149,1.46288,,-.02434,-.10524,,,.10725,.90347999,.079609998,.041839998
1247,25003,1820.268043518066,15573,.81819999,.015760001,.51918,.70103002,1.2456501,.02036,.79258001,1.15,.80177999,1.02589,.59644002,.12566,-.12098,.12953,-.32886001,.12612,.99620998,.08845,.02396
1253,25003,59.92781448364258,672,,,,,,,,,,,,,,,,.11336461,.93418032,.089877799,.028571717
1257,25003,195.8612823486328,2003,1.17075,.038430002,,1.28336,1.52868,.024429999,,1.56982,1.30381,1.44836,,.01568,-.083860002,,,.12211,.97118998,.088919997,.059889998
1262,25003,90.42807006835938,1066,,,,,,,,,,,,,,,,.11083421,.56886983,.11169018,.097848125
1266,25003,92.48739528656006,1369,,,,,,,,,,,,,,,,.1012313,.88020748,.11287478,.030662077
1267,25003,374.4463167190552,7955,1.06407,.030850001,1.0958,1.15326,1.53092,.023250001,1.39688,1.58728,1.15648,1.42442,1.10088,.0027900001,-.11433,.0046199998,-.26887,.10669,.93268001,.12834001,.055989999
1301,25011,1795.821256637573,17713,.97351003,.015930001,.73750001,.95367002,1.4481,.01491,1.15958,1.42055,1.03861,1.25612,.86764997,.081780002,-.1309,.15001,-.33645001,.11105,.98499,.13252001,.024250001
1330,25011,110.8787307739258,1367,1.20581,.0405,,,1.5455,.032669999,,,,,,,,,,.10683,.98027003,.17518,.058959998
1331,25027,1465.832717895508,13383,1.03843,.01792,1.1816,1.14759,1.36371,.01536,1.46565,1.4631701,1.2679501,1.34785,1.2934901,.094930001,-.085560001,.086510003,-.13309,.10819,.98044997,.080289997,.01623
1337,25011,190.8822479248047,2498,1.17582,.032200001,,1.24356,1.46745,.023779999,,1.49113,1.19144,1.31366,,-.043749999,-.13508999,,,.11332,.95087999,.069839999,.031479999
1339,25011,174.3394470214844,1428,1.02715,.036800001,,1.07623,1.41135,.036120001,,1.40767,1.13647,1.2854199,,.053010002,-.095100001,,,.1189,.94791001,.0995,.028349999
1340,25011,214.7243804931641,1808,1.00363,.03475,,1.0740499,1.3491,.03008,,1.3947999,1.12555,1.2582099,,.045759998,-.10855,,,.12301,.96796,.09003,.01295
1341,25011,134.9595336914063,1836,,,,,,,,,,,,,,,,.093461484,.80230939,.17905344,.038236286
1342,25011,71.95391082763672,1439,,,,,,,,,,,,,,,,.099823795,.9314037,.10642376,.028690251
1344,25011,147.8604278564453,1459,1.07901,.03582,,1.15179,1.3863699,.027930001,,1.43556,1.1316299,1.2853,,-.01781,-.11691,,,.11827,.95045,.08467,.01407
1349,25011,89.7048454284668,1292,,,,,,,,,,,,,,,,.097629279,.82924211,.12889597,.035461891
1351,25011,169.9349517822266,2099,1.1696,.033130001,,1.2130899,1.4957,.02641,,1.48497,1.20151,1.34456,,-.0096399998,-.10442,,,.11202,.84161001,.14714999,.0147
1354,25011,110.2790145874023,1608,,,,,,,,,,,,,,,,.11194341,.87074244,.053791419,.050547451
1360,25011,236.3969421386719,2997,1.2163,.02932,,1.2724,1.44617,.022530001,,1.47657,1.25252,1.32728,,-.015869999,-.11247,,,.1189,.93765998,.13578001,.047809999
1364,25011,895.8999372720718,7785,1.05818,.017759999,.65061998,.99888003,1.3674901,.021849999,.9048,1.3186899,1.05107,1.17715,.71441001,.049660001,-.12023,.08929,-.26651001,.11002,.97499001,.069810003,.020470001
1366,25027,141.4416403770447,1269,,,,,,,,,,,,,,,,.11087229,.8537643,.11573491,.057904765
1368,25027,149.8441221117973,1170,,,,,,,,,,,,,,,,.10466059,.8056882,.062322572,.035011344
1370,25011,356.5399613678455,4041,1.17246,.027790001,1.04188,1.20033,1.50499,.021740001,1.24106,1.52941,1.21442,1.38527,1.09711,.0116,-.10406,.050340001,-.13122,.10459,.96798003,.16463,.042029999
1373,25011,238.4816780090332,4634,1.1847,.028100001,1.1361099,1.29072,1.5641201,.017829999,1.3595099,1.58113,1.28979,1.4283,1.15553,-.00072000001,-.107,.016799999,-.17653,.1137,.94227999,.079499997,.0207
1375,25011,240.8239288330078,3659,1.2361701,.027720001,,1.3390599,1.5619,.021400001,,1.6181099,1.3418601,1.5133801,,.0020900001,-.069200002,,,.1045,.82018,.11422,.01176
1376,25011,540.7288818359375,5123,.95520997,.023259999,.76015002,1.02127,1.40248,.02124,1.15687,1.43257,1.10031,1.27267,.87611002,.071840003,-.12564,.13235,-.32047001,.11066,.95232999,.13874,.017449999
1420,25027,4535.329406738281,40737,.86328,.01355,.93848997,.98246002,1.37565,.01308,1.40429,1.45907,1.16642,1.32287,1.1372,.15772,-.10296,.17474,-.23487,.093269996,.97671002,.053720001,.016729999
1430,25027,420.5554132461548,6253,1.28276,.032919999,,1.4135799,1.58376,.01481,,1.6749001,1.42711,1.52312,,.0094799995,-.099650003,,,.10323,.88293999,.083870001,.022670001
1431,25017,187.7328948974609,3215,,,,,,,,,,,,,,,,.10426544,.92379165,.086548798,.029654698
1432,25017,651.7992553710938,7762,1.21924,.04104,,1.41892,1.57477,.01739,,1.6739399,1.44013,1.5888799,,.01473,-.053539999,,,.10221,.90964001,.090530001,.01616
1434,25027,76.11179161071777,1875,,,,,,,,,,,,,,,,.1024253,.21098408,.077245012,.051405512
1436,25027,244.4752502441406,3392,1.20388,.03053,,1.29682,1.48817,.01819,,1.5614001,1.35325,1.45006,,.041700002,-.076779999,,,.10379,.90103,.10027,.01763
1440,25027,1928.590561509132,20555,1.0570101,.01592,1.16601,1.17721,1.44269,.01319,1.49804,1.52583,1.29619,1.39957,1.30448,.091789998,-.090219997,.10615,-.14838,.099019997,.96647,.07683,.0131
1450,25017,412.6957702636719,11301,1.42231,.046410002,,1.5815099,1.7142299,.01462,,1.7693,1.49964,1.6677001,,-.054590002,-.06092,,,.10419,.92295998,.078720003,.036309998
1451,25027,146.7315521240234,4625,,,,,,,,,,,,,,,,.10182964,.95408845,.095235139,.049227167
1452,25027,276.1637573242188,4642,1.2907701,.038509998,,1.42989,1.56547,.016140001,,1.6381299,1.37348,1.4936,,-.041069999,-.096759997,,,.10476,.90608001,.091179997,.02245
1453,25027,3828.432448863983,41579,.95249999,.01496,1.14574,1.10956,1.49134,.01203,1.57072,1.57143,1.28645,1.43891,1.3255,.1375,-.092100002,.13561,-.18501,.09663,.96995997,.049339999,.01108
1460,25017,398.2361602783203,9935,1.34579,.04964,,1.42682,1.71147,.01505,,1.80266,1.4795901,1.6764899,,.035670001,-.075259998,,,.096220002,.95116001,.10212,.026450001
1462,25027,445.3986663818359,11271,1.23022,.02798,1.64306,1.39115,1.62198,.01359,1.78846,1.69512,1.40095,1.56337,1.62308,.0069900001,-.08427,-.01231,-.10189,.09668,.92062002,.082879998,.01787
1463,25017,630.5417175292969,12083,1.34521,.030680001,,1.48887,1.60285,.01525,,1.71398,1.42018,1.57741,,-.04837,-.086580001,,,.10366,.9321,.13948999,.01242
1464,25017,351.3157653808594,7598,1.20237,.049389999,,1.43608,1.56938,.01859,,1.6309,1.38991,1.57467,,-.033209998,-.03571,,,.098820001,.93199998,.09584,.01957
1468,25027,294.6857604980469,4024,1.2633801,.033709999,,1.41395,1.5430501,.016340001,,1.6215301,1.39301,1.47725,,-.01504,-.097659998,,,.10671,.92036003,.088430002,.01403
1469,25017,366.2336578369141,7632,1.31609,.038940001,,1.45597,1.57804,.01698,,1.68764,1.4355,1.58376,,-.01426,-.065590002,,,.10474,.92376,.091700003,.01551
1473,25027,386.261474609375,7665,1.35374,.030710001,,1.46725,1.64534,.01351,,1.71224,1.4278899,1.5553499,,-.02757,-.10087,,,.1016,.94221002,.061129998,.01737
1474,25017,113.4504280090332,1823,,,,,,,,,,,,,,,,.10113966,.8134743,.08871194,.020866683
1475,25027,1106.848739624023,10798,1.13086,.02077,1.27403,1.25884,1.45,.01513,1.50866,1.53829,1.33479,1.42351,1.38032,.056899998,-.080629997,.077009998,-.092969999,.10709,.97237003,.078699999,.015799999
1501,25027,752.4298477172852,16549,1.07858,.02062,1.44153,1.2063,1.54451,.01282,1.66185,1.62218,1.23207,1.47802,1.456,.02091,-.097539999,.0099400003,-.14138,.098569997,.93273002,.067259997,.016009999
1503,25027,107.5828323364258,3144,1.17896,.046610001,,,1.6373,.01753,,,,,,,,,,.092799999,.89001,.076240003,.01504
1504,25027,536.8466186523438,9246,1.207,.025110001,1.47509,1.33525,1.54945,.01447,1.62514,1.63763,1.35303,1.5209,1.48611,.01314,-.076750003,.0074200002,-.093549997,.10605,.94591999,.067529999,.00502
1505,25027,148.3472290039063,4581,1.27459,.04809,,1.42058,1.6331199,.017100001,,1.72023,1.36257,1.57917,,-.042580001,-.089330003,,,.097669996,.91747999,.065059997,.033100002
1506,25027,289.5533142089844,3431,1.1835001,.03627,,1.28777,1.5119801,.020500001,,1.5616,1.36897,1.46874,,.05931,-.06323,,,.099140003,.91289002,.12185,.018990001
1507,25027,814.3507385253906,13482,1.18836,.0222,1.56583,1.36044,1.5397,.01359,1.6752,1.62753,1.34653,1.48958,1.54682,-.01033,-.092610002,-.01229,-.082999997,.10159,.93524998,.077059999,.01685
1510,25027,1224.480682373047,13899,1.01963,.02139,1.20628,1.22066,1.5434999,.0142,1.65421,1.63701,1.34602,1.5053999,1.39481,.093139999,-.08743,.13517,-.18598001,.10732,.97408998,.05714,.01203
1515,25027,163.9899749755859,2159,,,,,,,,,,,,,,,,.11093824,.90088999,.078942545,.030015193
1516,25027,503.4523284435272,8794,1.27534,.027650001,1.6444,1.42707,1.5855401,.01423,1.78487,1.61739,1.44102,1.53732,1.62444,.0096800001,-.052080002,-.01229,-.098760001,.10593,.92860001,.085649997,.018239999
1518,25027,122.5126676559448,3919,1.19651,.04002,,1.31384,1.59562,.018929999,,1.66195,1.35671,1.50822,,.031599998,-.10192,,,.096940003,.84157997,.069049999,.01592
1519,25027,234.8236484527588,6741,1.25274,.039000001,,1.4066401,1.6732,.01488,,1.71832,1.45604,1.60814,,.03393,-.068510003,,,.097170003,.89122999,.072619997,.02599
1520,25027,416.0331916809082,15645,1.22241,.027039999,1.67867,1.33972,1.64459,.01286,1.8079799,1.6904,1.33775,1.5475,1.59454,-.00147,-.09234,-.052760001,-.13384999,.096040003,.90990001,.07277,.01363
1521,25013,229.0528869628906,2539,,,,,,,,,,,,,,,,.098675646,.94803596,.056660276,.019494817
1522,25027,91.34086608886719,3176,1.2014,.048640002,,,1.59569,.017929999,,,,,,,,,,.096259996,.83191001,.074840002,.00581
1523,25027,340.5038452148438,7749,1.1642801,.038410001,,1.36581,1.6432199,.01572,,1.71803,1.37463,1.59936,,.0064099999,-.074199997,,,.095480002,.91592997,.06673,.037780002
1524,25027,397.2004852294922,6902,1.08068,.028379999,1.55093,1.16878,1.46779,.01698,1.66899,1.54553,1.2126,1.42347,1.44294,.036139999,-.085749999,-.074840002,-.15666001,.10324,.92945999,.063660003,.021670001
1527,25027,752.4777199625969,13630,1.11845,.02225,1.43758,1.25438,1.55142,.01365,1.71052,1.62335,1.30181,1.5118001,1.52908,.036430001,-.073789999,.059840001,-.11866,.10003,.93720001,.066270001,.01142
1529,25027,200.6743774414063,3242,1.32724,.034759998,,,1.53935,.01881,,,,,,,,,,.11504,.92183,.097580001,.0057399999
1532,25027,487.6199569702148,14985,1.18223,.029750001,,1.36686,1.68732,.01373,,1.75265,1.37883,1.64017,,.00868,-.068570003,,,.10156,.92272002,.083810002,.017440001
1534,25027,246.5722239017487,6311,1.2016799,.033640001,,1.29324,1.59341,.01678,,1.65719,1.36768,1.54257,,.05443,-.074309997,,,.10122,.87677002,.070029996,.0063700001
1535,25027,395.9722900390625,4764,1.18557,.028100001,1.5060101,1.31665,1.4629101,.016489999,1.61821,1.5443701,1.35063,1.43014,1.43554,.025149999,-.07987,-.049090002,-.12725,.10386,.96043998,.13316,.019540001
1536,25027,350.8234529495239,7786,1.27479,.032200001,,1.36095,1.68029,.01379,,1.76617,1.37419,1.61044,,.0096399998,-.096699998,,,.098729998,.88567001,.082439996,.0076299999
1537,25027,157.4641265869141,2289,1.04693,.048530001,,,1.46147,.02461,,,,,,,,,,.10469,.77034998,.056430001,.01568
1540,25027,801.97509765625,11484,1.07735,.02227,1.35358,1.21329,1.46451,.01444,1.5727299,1.49546,1.24553,1.4156899,1.3851,.02589,-.05635,.02276,-.13546,.097489998,.92741001,.053350002,.01341
1541,25027,97.343505859375,3443,,,,,,,,,,,,,,,,.090574704,.84720862,.095165722,.018895026
1542,25027,167.9333419799805,2314,1.0351599,.045820002,,,1.4673001,.022879999,,,,,,,,,,.098520003,.80074,.07745,.01866
1543,25027,388.8914489746094,8586,1.17099,.02703,1.5728,1.3175499,1.5799201,.01451,1.73675,1.64899,1.32485,1.52424,1.518,.00551,-.081840001,-.0361,-.1441,.096050002,.93733001,.077119999,.01437
1545,25027,1405.667236328125,36666,1.1869,.020129999,1.44722,1.30162,1.63263,.01352,1.7479399,1.68636,1.36186,1.58781,1.5581501,.044229999,-.062070001,.07119,-.12181,.10533,.95324999,.091849998,.016450001
1550,25027,2311.539505004883,16894,.78627002,.01555,.87592,.90899998,1.27298,.016580001,1.2939301,1.36769,1.07499,1.24455,1.0655299,.15441,-.098949999,.17794,-.21435,.095909998,.98321998,.037599999,.01424
1560,25027,269.4009094238281,4401,1.21817,.037670001,,1.39031,1.59433,.018309999,,1.6661201,1.44056,1.5707,,.034880001,-.06075,,,.098300003,.82880998,.06081,.0035999999
1562,25027,851.1467590332031,11913,.99552,.020260001,1.2594399,1.28016,1.4420201,.01535,1.53196,1.52793,1.2026,1.4026999,1.3102,-.064489998,-.089280002,.038740002,-.16925,.10303,.94718999,.072300002,.0090399999
1564,25027,252.7411499023438,8052,1.25453,.033659998,,1.3894399,1.62922,.01489,,1.6695,1.39173,1.56792,,.00165,-.064790003,,,.099509999,.91737002,.070809998,.02399
1566,25027,260.1826858520508,5618,1.14151,.032170001,,1.25813,1.59267,.0147,,1.66645,1.28488,1.49951,,.020819999,-.11133,,,.098130003,.89747,.083109997,.02506
1568,25027,312.2359924316406,7762,1.33285,.038789999,,1.43495,1.69828,.01495,,1.7514,1.46916,1.6377,,.02328,-.069430001,,,.098109998,.92237002,.12976,.018829999
1569,25027,813.4201135635376,13939,1.23025,.024289999,1.64478,1.4267401,1.59391,.01294,1.74242,1.6753401,1.41924,1.55919,1.58026,-.0052800002,-.074500002,-.040830001,-.10262,.10675,.94133002,.11411,.01976
1570,25027,1549.390045166016,16971,.88552999,.01647,1.0519,1.03141,1.36639,.0153,1.46055,1.47833,1.14814,1.35578,1.18762,.10167,-.090389997,.11428,-.22982,.095229998,.94278997,.04634,.0091700004
