state,place,environmental,subgroup,subgroup_type,geoid,environmental_quality,year
06,54652,NA,High Poverty,poverty,0654652,NA,2018
06,54652,52,Not High Poverty,poverty,0654652,1,2018
06,55156,49,High Poverty,poverty,0655156,1,2018
06,55156,68,Not High Poverty,poverty,0655156,1,2018
06,56000,NA,High Poverty,poverty,0656000,NA,2018
06,56000,5,Not High Poverty,poverty,0656000,1,2018
06,56700,NA,High Poverty,poverty,0656700,NA,2018
06,56700,27,Not High Poverty,poverty,0656700,1,2018
06,57456,NA,High Poverty,poverty,0657456,NA,2018
06,57456,17,Not High Poverty,poverty,0657456,1,2018
06,57792,NA,High Poverty,poverty,0657792,NA,2018
06,57792,55,Not High Poverty,poverty,0657792,1,2018
06,58072,5,High Poverty,poverty,0658072,1,2018
06,58072,5,Not High Poverty,poverty,0658072,1,2018
06,59444,NA,High Poverty,poverty,0659444,NA,2018
06,59444,2,Not High Poverty,poverty,0659444,1,2018
06,59451,NA,High Poverty,poverty,0659451,NA,2018
06,59451,20,Not High Poverty,poverty,0659451,1,2018
06,59920,NA,High Poverty,poverty,0659920,NA,2018
06,59920,0,Not High Poverty,poverty,0659920,1,2018
06,60102,NA,High Poverty,poverty,0660102,NA,2018
06,60102,58,Not High Poverty,poverty,0660102,1,2018
06,60466,NA,High Poverty,poverty,0660466,NA,2018
06,60466,11,Not High Poverty,poverty,0660466,1,2018
06,60620,NA,High Poverty,poverty,0660620,NA,2018
06,60620,14,Not High Poverty,poverty,0660620,1,2018
06,62000,NA,High Poverty,poverty,0662000,NA,2018
06,62000,8,Not High Poverty,poverty,0662000,1,2018
06,62938,NA,High Poverty,poverty,0662938,NA,2018
06,62938,2,Not High Poverty,poverty,0662938,1,2018
06,64000,1,High Poverty,poverty,0664000,1,2018
06,64000,2,Not High Poverty,poverty,0664000,1,2018
06,64224,NA,High Poverty,poverty,0664224,NA,2018
06,64224,73,Not High Poverty,poverty,0664224,1,2018
06,65000,11,High Poverty,poverty,0665000,1,2018
06,65000,14,Not High Poverty,poverty,0665000,1,2018
06,65042,NA,High Poverty,poverty,0665042,NA,2018
06,65042,64,Not High Poverty,poverty,0665042,1,2018
06,66000,22,High Poverty,poverty,0666000,1,2018
06,66000,34,Not High Poverty,poverty,0666000,1,2018
06,67000,49,High Poverty,poverty,0667000,1,2018
06,67000,47,Not High Poverty,poverty,0667000,1,2018
06,68000,13,High Poverty,poverty,0668000,1,2018
06,68000,36,Not High Poverty,poverty,0668000,1,2018
06,68084,NA,High Poverty,poverty,0668084,NA,2018
06,68084,46,Not High Poverty,poverty,0668084,1,2018
06,68196,NA,High Poverty,poverty,0668196,NA,2018
06,68196,44,Not High Poverty,poverty,0668196,1,2018
06,68252,NA,High Poverty,poverty,0668252,NA,2018
06,68252,53,Not High Poverty,poverty,0668252,1,2018
06,68378,NA,High Poverty,poverty,0668378,NA,2018
06,68378,49,Not High Poverty,poverty,0668378,1,2018
06,69000,NA,High Poverty,poverty,0669000,NA,2018
06,69000,9,Not High Poverty,poverty,0669000,1,2018
06,69070,NA,High Poverty,poverty,0669070,NA,2018
06,69070,58,Not High Poverty,poverty,0669070,1,2018
06,69084,NA,High Poverty,poverty,0669084,NA,2018
06,69084,21,Not High Poverty,poverty,0669084,1,2018
06,69088,NA,High Poverty,poverty,0669088,NA,2018
06,69088,42,Not High Poverty,poverty,0669088,1,2018
06,69196,NA,High Poverty,poverty,0669196,NA,2018
06,69196,74,Not High Poverty,poverty,0669196,1,2018
06,70000,NA,High Poverty,poverty,0670000,NA,2018
06,70000,16,Not High Poverty,poverty,0670000,1,2018
06,70098,NA,High Poverty,poverty,0670098,NA,2018
06,70098,36,Not High Poverty,poverty,0670098,1,2018
06,72016,NA,High Poverty,poverty,0672016,NA,2018
06,72016,54,Not High Poverty,poverty,0672016,1,2018
06,73080,NA,High Poverty,poverty,0673080,NA,2018
06,73080,4,Not High Poverty,poverty,0673080,1,2018
06,75000,14,High Poverty,poverty,0675000,1,2018
06,75000,17,Not High Poverty,poverty,0675000,1,2018
06,77000,NA,High Poverty,poverty,0677000,NA,2018
06,77000,51,Not High Poverty,poverty,0677000,1,2018
06,78120,NA,High Poverty,poverty,0678120,NA,2018
06,78120,49,Not High Poverty,poverty,0678120,1,2018
06,78582,NA,High Poverty,poverty,0678582,NA,2018
06,78582,42,Not High Poverty,poverty,0678582,1,2018
06,80000,NA,High Poverty,poverty,0680000,NA,2018
06,80000,4,Not High Poverty,poverty,0680000,1,2018
06,80238,NA,High Poverty,poverty,0680238,NA,2018
06,80238,42,Not High Poverty,poverty,0680238,1,2018
06,80854,NA,High Poverty,poverty,0680854,NA,2018
06,80854,9,Not High Poverty,poverty,0680854,1,2018
06,81344,NA,High Poverty,poverty,0681344,NA,2018
06,81344,14,Not High Poverty,poverty,0681344,1,2018
06,81554,NA,High Poverty,poverty,0681554,NA,2018
06,81554,25,Not High Poverty,poverty,0681554,1,2018
06,81666,35,High Poverty,poverty,0681666,1,2018
06,81666,45,Not High Poverty,poverty,0681666,1,2018
06,82590,38,High Poverty,poverty,0682590,1,2018
06,82590,44,Not High Poverty,poverty,0682590,1,2018
06,82954,NA,High Poverty,poverty,0682954,NA,2018
06,82954,8,Not High Poverty,poverty,0682954,1,2018
06,82996,NA,High Poverty,poverty,0682996,NA,2018
06,82996,40,Not High Poverty,poverty,0682996,1,2018
06,84200,NA,High Poverty,poverty,0684200,NA,2018
06,84200,4,Not High Poverty,poverty,0684200,1,2018
06,84550,NA,High Poverty,poverty,0684550,NA,2018
06,84550,10,Not High Poverty,poverty,0684550,1,2018
06,85292,NA,High Poverty,poverty,0685292,NA,2018
06,85292,3,Not High Poverty,poverty,0685292,1,2018
08,03455,NA,High Poverty,poverty,0803455,NA,2018
08,03455,37,Not High Poverty,poverty,0803455,1,2018
08,04000,NA,High Poverty,poverty,0804000,NA,2018
08,04000,48,Not High Poverty,poverty,0804000,1,2018
08,07850,76,High Poverty,poverty,0807850,1,2018
08,07850,70,Not High Poverty,poverty,0807850,1,2018
08,12815,NA,High Poverty,poverty,0812815,NA,2018
08,12815,52,Not High Poverty,poverty,0812815,1,2018
08,16000,NA,High Poverty,poverty,0816000,NA,2018
08,16000,76,Not High Poverty,poverty,0816000,1,2018
08,20000,17,High Poverty,poverty,0820000,1,2018
08,20000,25,Not High Poverty,poverty,0820000,1,2018
08,27425,55,High Poverty,poverty,0827425,1,2018
08,27425,37,Not High Poverty,poverty,0827425,1,2018
08,32155,1,High Poverty,poverty,0832155,1,2018
08,32155,1,Not High Poverty,poverty,0832155,1,2018
08,43000,NA,High Poverty,poverty,0843000,NA,2018
08,43000,39,Not High Poverty,poverty,0843000,1,2018
08,45970,NA,High Poverty,poverty,0845970,NA,2018
08,45970,6,Not High Poverty,poverty,0845970,1,2018
08,46465,NA,High Poverty,poverty,0846465,NA,2018
08,46465,20,Not High Poverty,poverty,0846465,1,2018
08,62000,60,High Poverty,poverty,0862000,1,2018
08,62000,72,Not High Poverty,poverty,0862000,1,2018
08,77290,NA,High Poverty,poverty,0877290,NA,2018
08,77290,16,Not High Poverty,poverty,0877290,1,2018
08,83835,NA,High Poverty,poverty,0883835,NA,2018
08,83835,27,Not High Poverty,poverty,0883835,1,2018
09,08000,53,High Poverty,poverty,0908000,1,2018
09,08000,54,Not High Poverty,poverty,0908000,1,2018
09,18430,NA,High Poverty,poverty,0918430,NA,2018
09,18430,95,Not High Poverty,poverty,0918430,1,2018
09,37000,50,High Poverty,poverty,0937000,1,2018
09,37000,52,Not High Poverty,poverty,0937000,1,2018
09,52000,53,High Poverty,poverty,0952000,1,2018
09,52000,58,Not High Poverty,poverty,0952000,1,2018
09,55990,NA,High Poverty,poverty,0955990,NA,2018
09,55990,52,Not High Poverty,poverty,0955990,1,2018
09,73000,NA,High Poverty,poverty,0973000,NA,2018
09,73000,55,Not High Poverty,poverty,0973000,1,2018
09,80000,56,High Poverty,poverty,0980000,1,2018
09,80000,71,Not High Poverty,poverty,0980000,1,2018
11,50000,23,High Poverty,poverty,1150000,1,2018
11,50000,22,Not High Poverty,poverty,1150000,1,2018
12,07300,NA,High Poverty,poverty,1207300,NA,2018
12,07300,69,Not High Poverty,poverty,1207300,1,2018
12,07875,NA,High Poverty,poverty,1207875,NA,2018
12,07875,64,Not High Poverty,poverty,1207875,1,2018
12,10275,NA,High Poverty,poverty,1210275,NA,2018
12,10275,55,Not High Poverty,poverty,1210275,1,2018
12,12875,NA,High Poverty,poverty,1212875,NA,2018
12,12875,53,Not High Poverty,poverty,1212875,1,2018
12,14400,NA,High Poverty,poverty,1214400,NA,2018
12,14400,55,Not High Poverty,poverty,1214400,1,2018
12,16475,NA,High Poverty,poverty,1216475,NA,2018
12,16475,39,Not High Poverty,poverty,1216475,1,2018
12,16725,NA,High Poverty,poverty,1216725,NA,2018
12,16725,63,Not High Poverty,poverty,1216725,1,2018
12,17200,NA,High Poverty,poverty,1217200,NA,2018
12,17200,47,Not High Poverty,poverty,1217200,1,2018
12,17935,NA,High Poverty,poverty,1217935,NA,2018
12,17935,33,Not High Poverty,poverty,1217935,1,2018
12,24000,55,High Poverty,poverty,1224000,1,2018
12,24000,57,Not High Poverty,poverty,1224000,1,2018
12,24125,NA,High Poverty,poverty,1224125,NA,2018
12,24125,55,Not High Poverty,poverty,1224125,1,2018
12,25175,22,High Poverty,poverty,1225175,1,2018
12,25175,27,Not High Poverty,poverty,1225175,1,2018
12,30000,NA,High Poverty,poverty,1230000,NA,2018
12,30000,24,Not High Poverty,poverty,1230000,1,2018
12,32000,47,High Poverty,poverty,1232000,1,2018
12,32000,50,Not High Poverty,poverty,1232000,1,2018
12,32275,NA,High Poverty,poverty,1232275,NA,2018
12,32275,55,Not High Poverty,poverty,1232275,1,2018
12,35000,26,High Poverty,poverty,1235000,1,2018
12,35000,37,Not High Poverty,poverty,1235000,1,2018
12,36950,NA,High Poverty,poverty,1236950,NA,2018
12,36950,23,Not High Poverty,poverty,1236950,1,2018
12,38250,26,High Poverty,poverty,1238250,1,2018
12,38250,36,Not High Poverty,poverty,1238250,1,2018
12,39425,NA,High Poverty,poverty,1239425,NA,2018
12,39425,54,Not High Poverty,poverty,1239425,1,2018
12,43975,55,High Poverty,poverty,1243975,1,2018
12,43975,73,Not High Poverty,poverty,1243975,1,2018
12,45000,52,High Poverty,poverty,1245000,1,2018
12,45000,55,Not High Poverty,poverty,1245000,1,2018
12,45025,NA,High Poverty,poverty,1245025,NA,2018
12,45025,77,Not High Poverty,poverty,1245025,1,2018
12,45060,NA,High Poverty,poverty,1245060,NA,2018
12,45060,26,Not High Poverty,poverty,1245060,1,2018
12,45975,NA,High Poverty,poverty,1245975,NA,2018
12,45975,34,Not High Poverty,poverty,1245975,1,2018
12,49675,NA,High Poverty,poverty,1249675,NA,2018
12,49675,69,Not High Poverty,poverty,1249675,1,2018
12,53000,26,High Poverty,poverty,1253000,1,2018
12,53000,25,Not High Poverty,poverty,1253000,1,2018
12,54000,NA,High Poverty,poverty,1254000,NA,2018
12,54000,80,Not High Poverty,poverty,1254000,1,2018
12,54200,NA,High Poverty,poverty,1254200,NA,2018
12,54200,58,Not High Poverty,poverty,1254200,1,2018
12,55775,NA,High Poverty,poverty,1255775,NA,2018
12,55775,29,Not High Poverty,poverty,1255775,1,2018
12,57425,55,High Poverty,poverty,1257425,1,2018
12,57425,55,Not High Poverty,poverty,1257425,1,2018
12,58050,55,High Poverty,poverty,1258050,1,2018
12,58050,68,Not High Poverty,poverty,1258050,1,2018
12,58715,NA,High Poverty,poverty,1258715,NA,2018
12,58715,60,Not High Poverty,poverty,1258715,1,2018
12,63000,57,High Poverty,poverty,1263000,1,2018
12,63000,63,Not High Poverty,poverty,1263000,1,2018
12,69700,NA,High Poverty,poverty,1269700,NA,2018
12,69700,55,Not High Poverty,poverty,1269700,1,2018
12,70600,16,High Poverty,poverty,1270600,1,2018
12,70600,22,Not High Poverty,poverty,1270600,1,2018
12,71000,23,High Poverty,poverty,1271000,1,2018
12,71000,32,Not High Poverty,poverty,1271000,1,2018
12,76600,73,High Poverty,poverty,1276600,1,2018
12,76600,61,Not High Poverty,poverty,1276600,1,2018
13,03440,26,High Poverty,poverty,1303440,1,2018
13,03440,25,Not High Poverty,poverty,1303440,1,2018
13,04000,8,High Poverty,poverty,1304000,1,2018
13,04000,7,Not High Poverty,poverty,1304000,1,2018
13,04204,20,High Poverty,poverty,1304204,1,2018
13,04204,24,Not High Poverty,poverty,1304204,1,2018
13,19000,12,High Poverty,poverty,1319000,1,2018
13,19000,15,Not High Poverty,poverty,1319000,1,2018
13,42425,NA,High Poverty,poverty,1342425,NA,2018
13,42425,26,Not High Poverty,poverty,1342425,1,2018
13,49008,19,High Poverty,poverty,1349008,1,2018
13,49008,22,Not High Poverty,poverty,1349008,1,2018
13,67284,NA,High Poverty,poverty,1367284,NA,2018
13,67284,26,Not High Poverty,poverty,1367284,1,2018
13,68516,NA,High Poverty,poverty,1368516,NA,2018
13,68516,17,Not High Poverty,poverty,1368516,1,2018
13,69000,26,High Poverty,poverty,1369000,1,2018
13,69000,35,Not High Poverty,poverty,1369000,1,2018
13,72122,NA,High Poverty,poverty,1372122,NA,2018
13,72122,11,Not High Poverty,poverty,1372122,1,2018
13,80508,8,High Poverty,poverty,1380508,1,2018
13,80508,18,Not High Poverty,poverty,1380508,1,2018
15,71550,97,High Poverty,poverty,1571550,1,2018
15,71550,97,Not High Poverty,poverty,1571550,1,2018
16,08830,NA,High Poverty,poverty,1608830,NA,2018
16,08830,49,Not High Poverty,poverty,1608830,1,2018
16,56260,NA,High Poverty,poverty,1656260,NA,2018
16,56260,54,Not High Poverty,poverty,1656260,1,2018
17,02154,NA,High Poverty,poverty,1702154,NA,2018
17,02154,19,Not High Poverty,poverty,1702154,1,2018
17,03012,NA,High Poverty,poverty,1703012,NA,2018
17,03012,40,Not High Poverty,poverty,1703012,1,2018
17,06613,49,High Poverty,poverty,1706613,1,2018
17,06613,69,Not High Poverty,poverty,1706613,1,2018
17,12385,47,High Poverty,poverty,1712385,1,2018
17,12385,48,Not High Poverty,poverty,1712385,1,2018
17,14000,10,High Poverty,poverty,1714000,1,2018
17,14000,8,Not High Poverty,poverty,1714000,1,2018
17,14351,NA,High Poverty,poverty,1714351,NA,2018
17,14351,3,Not High Poverty,poverty,1714351,1,2018
17,23074,NA,High Poverty,poverty,1723074,NA,2018
17,23074,38,Not High Poverty,poverty,1723074,1,2018
17,24582,36,High Poverty,poverty,1724582,1,2018
17,24582,33,Not High Poverty,poverty,1724582,1,2018
17,38570,NA,High Poverty,poverty,1738570,NA,2018
17,38570,39,Not High Poverty,poverty,1738570,1,2018
17,51622,NA,High Poverty,poverty,1751622,NA,2018
17,51622,36,Not High Poverty,poverty,1751622,1,2018
17,59000,45,High Poverty,poverty,1759000,1,2018
17,59000,49,Not High Poverty,poverty,1759000,1,2018
17,65000,48,High Poverty,poverty,1765000,1,2018
17,65000,43,Not High Poverty,poverty,1765000,1,2018
17,68003,NA,High Poverty,poverty,1768003,NA,2018
17,68003,22,Not High Poverty,poverty,1768003,1,2018
17,72000,36,High Poverty,poverty,1772000,1,2018
17,72000,46,Not High Poverty,poverty,1772000,1,2018
17,79293,NA,High Poverty,poverty,1779293,NA,2018
17,79293,24,Not High Poverty,poverty,1779293,1,2018
18,05860,50,High Poverty,poverty,1805860,1,2018
18,05860,52,Not High Poverty,poverty,1805860,1,2018
18,10342,NA,High Poverty,poverty,1810342,NA,2018
18,10342,55,Not High Poverty,poverty,1810342,1,2018
18,22000,36,High Poverty,poverty,1822000,1,2018
18,22000,35,Not High Poverty,poverty,1822000,1,2018
18,23278,NA,High Poverty,poverty,1823278,NA,2018
18,23278,55,Not High Poverty,poverty,1823278,1,2018
18,25000,48,High Poverty,poverty,1825000,1,2018
18,25000,59,Not High Poverty,poverty,1825000,1,2018
18,31000,39,High Poverty,poverty,1831000,1,2018
18,31000,40,Not High Poverty,poverty,1831000,1,2018
18,36003,54,High Poverty,poverty,1836003,1,2018
18,36003,54,Not High Poverty,poverty,1836003,1,2018
18,71000,56,High Poverty,poverty,1871000,1,2018
18,71000,65,Not High Poverty,poverty,1871000,1,2018
19,12000,NA,High Poverty,poverty,1912000,NA,2018
19,12000,46,Not High Poverty,poverty,1912000,1,2018
19,19000,NA,High Poverty,poverty,1919000,NA,2018
19,19000,53,Not High Poverty,poverty,1919000,1,2018
19,21000,NA,High Poverty,poverty,1921000,NA,2018
19,21000,52,Not High Poverty,poverty,1921000,1,2018
19,73335,75,High Poverty,poverty,1973335,1,2018
19,73335,76,Not High Poverty,poverty,1973335,1,2018
20,36000,23,High Poverty,poverty,2036000,1,2018
20,36000,38,Not High Poverty,poverty,2036000,1,2018
20,38900,55,High Poverty,poverty,2038900,1,2018
20,38900,55,Not High Poverty,poverty,2038900,1,2018
20,52575,NA,High Poverty,poverty,2052575,NA,2018
20,52575,55,Not High Poverty,poverty,2052575,1,2018
20,53775,NA,High Poverty,poverty,2053775,NA,2018
20,53775,48,Not High Poverty,poverty,2053775,1,2018
20,71000,NA,High Poverty,poverty,2071000,NA,2018
20,71000,55,Not High Poverty,poverty,2071000,1,2018
20,79000,33,High Poverty,poverty,2079000,1,2018
20,79000,34,Not High Poverty,poverty,2079000,1,2018
