year,state,place,subgroup_type,subgroup,environmental,environmental_quality
2018,06,00884,poverty,High Poverty,NA,NA
2018,06,00884,poverty,Not High Poverty,9,1
2018,06,00884,race-ethnicity,Majority Non-White,9,1
2018,06,00884,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,00884,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2018,06,02000,all,All,10,1
2018,06,02000,poverty,High Poverty,NA,NA
2018,06,02000,poverty,Not High Poverty,10,1
2018,06,02000,race-ethnicity,Majority Non-White,8,1
2018,06,02000,race-ethnicity,"Majority White, Non-Hispanic",16,1
2018,06,02000,race-ethnicity,Mixed Race and Ethnicity,20,1
2018,06,02252,all,All,60,1
2018,06,02252,poverty,High Poverty,NA,NA
2018,06,02252,poverty,Not High Poverty,60,1
2018,06,02252,race-ethnicity,Majority Non-White,59,1
2018,06,02252,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,02252,race-ethnicity,Mixed Race and Ethnicity,61,1
2018,06,02364,all,All,76,1
2018,06,02364,poverty,High Poverty,NA,NA
2018,06,02364,poverty,Not High Poverty,76,1
2018,06,02364,race-ethnicity,Majority Non-White,NA,NA
2018,06,02364,race-ethnicity,"Majority White, Non-Hispanic",78,1
2018,06,02364,race-ethnicity,Mixed Race and Ethnicity,76,1
2018,06,03526,all,All,7,1
2018,06,03526,poverty,High Poverty,8,1
2018,06,03526,poverty,Not High Poverty,7,1
2018,06,03526,race-ethnicity,Majority Non-White,8,1
2018,06,03526,race-ethnicity,"Majority White, Non-Hispanic",14,1
2018,06,03526,race-ethnicity,Mixed Race and Ethnicity,4,1
2018,06,04982,all,All,4,1
2018,06,04982,poverty,High Poverty,NA,NA
2018,06,04982,poverty,Not High Poverty,4,1
2018,06,04982,race-ethnicity,Majority Non-White,4,1
2018,06,04982,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,04982,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2018,06,06000,all,All,29,1
2018,06,06000,poverty,High Poverty,31,1
2018,06,06000,poverty,Not High Poverty,29,1
2018,06,06000,race-ethnicity,Majority Non-White,30,1
2018,06,06000,race-ethnicity,"Majority White, Non-Hispanic",29,1
2018,06,06000,race-ethnicity,Mixed Race and Ethnicity,30,1
2018,06,08786,all,All,6,1
2018,06,08786,poverty,High Poverty,NA,NA
2018,06,08786,poverty,Not High Poverty,6,1
2018,06,08786,race-ethnicity,Majority Non-White,6,1
2018,06,08786,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,08786,race-ethnicity,Mixed Race and Ethnicity,6,1
2018,06,08954,all,All,19,1
2018,06,08954,poverty,High Poverty,NA,NA
2018,06,08954,poverty,Not High Poverty,19,1
2018,06,08954,race-ethnicity,Majority Non-White,20,1
2018,06,08954,race-ethnicity,"Majority White, Non-Hispanic",19,1
2018,06,08954,race-ethnicity,Mixed Race and Ethnicity,18,1
2018,06,11194,all,All,46,1
2018,06,11194,poverty,High Poverty,NA,NA
2018,06,11194,poverty,Not High Poverty,46,1
2018,06,11194,race-ethnicity,Majority Non-White,NA,NA
2018,06,11194,race-ethnicity,"Majority White, Non-Hispanic",46,1
2018,06,11194,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2018,06,11530,all,All,1,1
2018,06,11530,poverty,High Poverty,NA,NA
2018,06,11530,poverty,Not High Poverty,1,1
2018,06,11530,race-ethnicity,Majority Non-White,1,1
2018,06,11530,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,11530,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2018,06,13014,all,All,8,1
2018,06,13014,poverty,High Poverty,6,1
2018,06,13014,poverty,Not High Poverty,8,1
2018,06,13014,race-ethnicity,Majority Non-White,NA,NA
2018,06,13014,race-ethnicity,"Majority White, Non-Hispanic",8,1
2018,06,13014,race-ethnicity,Mixed Race and Ethnicity,7,1
2018,06,13210,all,All,14,1
2018,06,13210,poverty,High Poverty,NA,NA
2018,06,13210,poverty,Not High Poverty,14,1
2018,06,13210,race-ethnicity,Majority Non-White,14,1
2018,06,13210,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,13210,race-ethnicity,Mixed Race and Ethnicity,20,1
2018,06,13214,all,All,20,1
2018,06,13214,poverty,High Poverty,NA,NA
2018,06,13214,poverty,Not High Poverty,20,1
2018,06,13214,race-ethnicity,Majority Non-White,19,1
2018,06,13214,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,13214,race-ethnicity,Mixed Race and Ethnicity,22,1
2018,06,13392,all,All,28,1
2018,06,13392,poverty,High Poverty,NA,NA
2018,06,13392,poverty,Not High Poverty,29,1
2018,06,13392,race-ethnicity,Majority Non-White,28,1
2018,06,13392,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,13392,race-ethnicity,Mixed Race and Ethnicity,36,1
2018,06,13588,all,All,10,1
2018,06,13588,poverty,High Poverty,NA,NA
2018,06,13588,poverty,Not High Poverty,10,1
2018,06,13588,race-ethnicity,Majority Non-White,NA,NA
2018,06,13588,race-ethnicity,"Majority White, Non-Hispanic",10,1
2018,06,13588,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2018,06,14218,all,All,12,1
2018,06,14218,poverty,High Poverty,NA,NA
2018,06,14218,poverty,Not High Poverty,12,1
2018,06,14218,race-ethnicity,Majority Non-White,NA,NA
2018,06,14218,race-ethnicity,"Majority White, Non-Hispanic",13,1
2018,06,14218,race-ethnicity,Mixed Race and Ethnicity,10,1
2018,06,15044,all,All,1,1
2018,06,15044,poverty,High Poverty,2,1
2018,06,15044,poverty,Not High Poverty,1,1
2018,06,15044,race-ethnicity,Majority Non-White,1,1
2018,06,15044,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,15044,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2018,06,16000,all,All,38,1
2018,06,16000,poverty,High Poverty,NA,NA
2018,06,16000,poverty,Not High Poverty,38,1
2018,06,16000,race-ethnicity,Majority Non-White,34,1
2018,06,16000,race-ethnicity,"Majority White, Non-Hispanic",45,1
2018,06,16000,race-ethnicity,Mixed Race and Ethnicity,36,1
2018,06,16350,all,All,37,1
2018,06,16350,poverty,High Poverty,NA,NA
2018,06,16350,poverty,Not High Poverty,38,1
2018,06,16350,race-ethnicity,Majority Non-White,32,1
2018,06,16350,race-ethnicity,"Majority White, Non-Hispanic",29,1
2018,06,16350,race-ethnicity,Mixed Race and Ethnicity,43,1
2018,06,16532,all,All,29,1
2018,06,16532,poverty,High Poverty,NA,NA
2018,06,16532,poverty,Not High Poverty,29,1
2018,06,16532,race-ethnicity,Majority Non-White,35,1
2018,06,16532,race-ethnicity,"Majority White, Non-Hispanic",31,1
2018,06,16532,race-ethnicity,Mixed Race and Ethnicity,23,1
2018,06,17918,all,All,82,1
2018,06,17918,poverty,High Poverty,NA,NA
2018,06,17918,poverty,Not High Poverty,82,1
2018,06,17918,race-ethnicity,Majority Non-White,82,1
2018,06,17918,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,17918,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2018,06,19766,all,All,5,1
2018,06,19766,poverty,High Poverty,NA,NA
2018,06,19766,poverty,Not High Poverty,5,1
2018,06,19766,race-ethnicity,Majority Non-White,5,1
2018,06,19766,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,19766,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2018,06,21712,all,All,24,1
2018,06,21712,poverty,High Poverty,23,1
2018,06,21712,poverty,Not High Poverty,25,1
2018,06,21712,race-ethnicity,Majority Non-White,24,1
2018,06,21712,race-ethnicity,"Majority White, Non-Hispanic",27,1
2018,06,21712,race-ethnicity,Mixed Race and Ethnicity,23,1
2018,06,22020,all,All,27,1
2018,06,22020,poverty,High Poverty,NA,NA
2018,06,22020,poverty,Not High Poverty,28,1
2018,06,22020,race-ethnicity,Majority Non-White,28,1
2018,06,22020,race-ethnicity,"Majority White, Non-Hispanic",26,1
2018,06,22020,race-ethnicity,Mixed Race and Ethnicity,26,1
2018,06,22230,all,All,7,1
2018,06,22230,poverty,High Poverty,NA,NA
2018,06,22230,poverty,Not High Poverty,7,1
2018,06,22230,race-ethnicity,Majority Non-White,7,1
2018,06,22230,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,22230,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2018,06,22804,all,All,35,1
2018,06,22804,poverty,High Poverty,31,1
2018,06,22804,poverty,Not High Poverty,36,1
2018,06,22804,race-ethnicity,Majority Non-White,36,1
2018,06,22804,race-ethnicity,"Majority White, Non-Hispanic",38,1
2018,06,22804,race-ethnicity,Mixed Race and Ethnicity,33,1
2018,06,23182,all,All,55,1
2018,06,23182,poverty,High Poverty,NA,NA
2018,06,23182,poverty,Not High Poverty,56,1
2018,06,23182,race-ethnicity,Majority Non-White,53,1
2018,06,23182,race-ethnicity,"Majority White, Non-Hispanic",69,1
2018,06,23182,race-ethnicity,Mixed Race and Ethnicity,58,1
2018,06,24638,all,All,29,1
2018,06,24638,poverty,High Poverty,NA,NA
2018,06,24638,poverty,Not High Poverty,28,1
2018,06,24638,race-ethnicity,Majority Non-White,31,1
2018,06,24638,race-ethnicity,"Majority White, Non-Hispanic",28,1
2018,06,24638,race-ethnicity,Mixed Race and Ethnicity,30,1
2018,06,24680,all,All,22,1
2018,06,24680,poverty,High Poverty,31,1
2018,06,24680,poverty,Not High Poverty,22,1
2018,06,24680,race-ethnicity,Majority Non-White,22,1
2018,06,24680,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,24680,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2018,06,26000,all,All,62,1
2018,06,26000,poverty,High Poverty,NA,NA
2018,06,26000,poverty,Not High Poverty,62,1
2018,06,26000,race-ethnicity,Majority Non-White,62,1
2018,06,26000,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,26000,race-ethnicity,Mixed Race and Ethnicity,61,1
2018,06,27000,all,All,6,1
2018,06,27000,poverty,High Poverty,5,1
2018,06,27000,poverty,Not High Poverty,7,1
2018,06,27000,race-ethnicity,Majority Non-White,5,1
2018,06,27000,race-ethnicity,"Majority White, Non-Hispanic",8,1
2018,06,27000,race-ethnicity,Mixed Race and Ethnicity,8,1
2018,06,28000,all,All,9,1
2018,06,28000,poverty,High Poverty,NA,NA
2018,06,28000,poverty,Not High Poverty,9,1
2018,06,28000,race-ethnicity,Majority Non-White,8,1
2018,06,28000,race-ethnicity,"Majority White, Non-Hispanic",9,1
2018,06,28000,race-ethnicity,Mixed Race and Ethnicity,10,1
2018,06,29000,all,All,7,1
2018,06,29000,poverty,High Poverty,NA,NA
2018,06,29000,poverty,Not High Poverty,7,1
2018,06,29000,race-ethnicity,Majority Non-White,7,1
2018,06,29000,race-ethnicity,"Majority White, Non-Hispanic",3,1
2018,06,29000,race-ethnicity,Mixed Race and Ethnicity,3,1
2018,06,30000,all,All,18,1
2018,06,30000,poverty,High Poverty,NA,NA
2018,06,30000,poverty,Not High Poverty,18,1
2018,06,30000,race-ethnicity,Majority Non-White,10,1
2018,06,30000,race-ethnicity,"Majority White, Non-Hispanic",19,1
2018,06,30000,race-ethnicity,Mixed Race and Ethnicity,18,1
2018,06,32548,all,All,4,1
2018,06,32548,poverty,High Poverty,4,1
2018,06,32548,poverty,Not High Poverty,4,1
2018,06,32548,race-ethnicity,Majority Non-White,4,1
2018,06,32548,race-ethnicity,"Majority White, Non-Hispanic",3,1
2018,06,32548,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2018,06,33000,all,All,50,1
2018,06,33000,poverty,High Poverty,NA,NA
2018,06,33000,poverty,Not High Poverty,50,1
2018,06,33000,race-ethnicity,Majority Non-White,49,1
2018,06,33000,race-ethnicity,"Majority White, Non-Hispanic",69,1
2018,06,33000,race-ethnicity,Mixed Race and Ethnicity,58,1
2018,06,33182,all,All,55,1
2018,06,33182,poverty,High Poverty,52,1
2018,06,33182,poverty,Not High Poverty,55,1
2018,06,33182,race-ethnicity,Majority Non-White,56,1
2018,06,33182,race-ethnicity,"Majority White, Non-Hispanic",52,1
2018,06,33182,race-ethnicity,Mixed Race and Ethnicity,56,1
2018,06,33434,all,All,70,1
2018,06,33434,poverty,High Poverty,NA,NA
2018,06,33434,poverty,Not High Poverty,70,1
2018,06,33434,race-ethnicity,Majority Non-White,67,1
2018,06,33434,race-ethnicity,"Majority White, Non-Hispanic",74,1
2018,06,33434,race-ethnicity,Mixed Race and Ethnicity,71,1
2018,06,36000,all,All,26,1
2018,06,36000,poverty,High Poverty,NA,NA
2018,06,36000,poverty,Not High Poverty,26,1
2018,06,36000,race-ethnicity,Majority Non-White,3,1
2018,06,36000,race-ethnicity,"Majority White, Non-Hispanic",30,1
2018,06,36000,race-ethnicity,Mixed Race and Ethnicity,17,1
2018,06,36448,all,All,56,1
2018,06,36448,poverty,High Poverty,58,1
2018,06,36448,poverty,Not High Poverty,57,1
2018,06,36448,race-ethnicity,Majority Non-White,55,1
2018,06,36448,race-ethnicity,"Majority White, Non-Hispanic",57,1
2018,06,36448,race-ethnicity,Mixed Race and Ethnicity,61,1
2018,06,36546,all,All,3,1
2018,06,36546,poverty,High Poverty,5,1
2018,06,36546,poverty,Not High Poverty,3,1
2018,06,36546,race-ethnicity,Majority Non-White,3,1
2018,06,36546,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,36546,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2018,06,36770,all,All,25,1
2018,06,36770,poverty,High Poverty,35,1
2018,06,36770,poverty,Not High Poverty,23,1
2018,06,36770,race-ethnicity,Majority Non-White,30,1
2018,06,36770,race-ethnicity,"Majority White, Non-Hispanic",25,1
2018,06,36770,race-ethnicity,Mixed Race and Ethnicity,23,1
2018,06,37692,all,All,16,1
2018,06,37692,poverty,High Poverty,NA,NA
2018,06,37692,poverty,Not High Poverty,16,1
2018,06,37692,race-ethnicity,Majority Non-White,16,1
2018,06,37692,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,37692,race-ethnicity,Mixed Race and Ethnicity,18,1
2018,06,39496,all,All,42,1
2018,06,39496,poverty,High Poverty,NA,NA
2018,06,39496,poverty,Not High Poverty,42,1
2018,06,39496,race-ethnicity,Majority Non-White,34,1
2018,06,39496,race-ethnicity,"Majority White, Non-Hispanic",44,1
2018,06,39496,race-ethnicity,Mixed Race and Ethnicity,42,1
2018,06,39892,all,All,5,1
2018,06,39892,poverty,High Poverty,NA,NA
2018,06,39892,poverty,Not High Poverty,5,1
2018,06,39892,race-ethnicity,Majority Non-White,4,1
2018,06,39892,race-ethnicity,"Majority White, Non-Hispanic",4,1
2018,06,39892,race-ethnicity,Mixed Race and Ethnicity,5,1
2018,06,40130,all,All,64,1
2018,06,40130,poverty,High Poverty,62,1
2018,06,40130,poverty,Not High Poverty,63,1
2018,06,40130,race-ethnicity,Majority Non-White,62,1
2018,06,40130,race-ethnicity,"Majority White, Non-Hispanic",67,1
2018,06,40130,race-ethnicity,Mixed Race and Ethnicity,67,1
2018,06,41992,all,All,69,1
2018,06,41992,poverty,High Poverty,NA,NA
2018,06,41992,poverty,Not High Poverty,69,1
2018,06,41992,race-ethnicity,Majority Non-White,59,1
2018,06,41992,race-ethnicity,"Majority White, Non-Hispanic",70,1
2018,06,41992,race-ethnicity,Mixed Race and Ethnicity,68,1
2018,06,43000,all,All,1,1
2018,06,43000,poverty,High Poverty,0,1
2018,06,43000,poverty,Not High Poverty,1,1
2018,06,43000,race-ethnicity,Majority Non-White,1,1
2018,06,43000,race-ethnicity,"Majority White, Non-Hispanic",1,1
2018,06,43000,race-ethnicity,Mixed Race and Ethnicity,1,1
2018,06,44000,all,All,12,1
2018,06,44000,poverty,High Poverty,6,1
2018,06,44000,poverty,Not High Poverty,14,1
2018,06,44000,race-ethnicity,Majority Non-White,10,1
2018,06,44000,race-ethnicity,"Majority White, Non-Hispanic",16,1
2018,06,44000,race-ethnicity,Mixed Race and Ethnicity,17,1
2018,06,45484,all,All,25,1
2018,06,45484,poverty,High Poverty,NA,NA
2018,06,45484,poverty,Not High Poverty,25,1
2018,06,45484,race-ethnicity,Majority Non-White,23,1
2018,06,45484,race-ethnicity,"Majority White, Non-Hispanic",24,1
2018,06,45484,race-ethnicity,Mixed Race and Ethnicity,25,1
2018,06,46842,all,All,38,1
2018,06,46842,poverty,High Poverty,NA,NA
2018,06,46842,poverty,Not High Poverty,38,1
2018,06,46842,race-ethnicity,Majority Non-White,37,1
2018,06,46842,race-ethnicity,"Majority White, Non-Hispanic",35,1
2018,06,46842,race-ethnicity,Mixed Race and Ethnicity,39,1
2018,06,46898,all,All,16,1
2018,06,46898,poverty,High Poverty,13,1
2018,06,46898,poverty,Not High Poverty,18,1
2018,06,46898,race-ethnicity,Majority Non-White,14,1
2018,06,46898,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,46898,race-ethnicity,Mixed Race and Ethnicity,20,1
2018,06,47766,all,All,63,1
2018,06,47766,poverty,High Poverty,NA,NA
2018,06,47766,poverty,Not High Poverty,63,1
2018,06,47766,race-ethnicity,Majority Non-White,63,1
2018,06,47766,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,47766,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2018,06,48256,all,All,46,1
2018,06,48256,poverty,High Poverty,NA,NA
2018,06,48256,poverty,Not High Poverty,46,1
2018,06,48256,race-ethnicity,Majority Non-White,NA,NA
2018,06,48256,race-ethnicity,"Majority White, Non-Hispanic",47,1
2018,06,48256,race-ethnicity,Mixed Race and Ethnicity,42,1
2018,06,48354,all,All,25,1
2018,06,48354,poverty,High Poverty,22,1
2018,06,48354,poverty,Not High Poverty,25,1
2018,06,48354,race-ethnicity,Majority Non-White,23,1
2018,06,48354,race-ethnicity,"Majority White, Non-Hispanic",24,1
2018,06,48354,race-ethnicity,Mixed Race and Ethnicity,26,1
2018,06,49270,all,All,35,1
2018,06,49270,poverty,High Poverty,31,1
2018,06,49270,poverty,Not High Poverty,36,1
2018,06,49270,race-ethnicity,Majority Non-White,35,1
2018,06,49270,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,49270,race-ethnicity,Mixed Race and Ethnicity,36,1
2018,06,49670,all,All,55,1
2018,06,49670,poverty,High Poverty,NA,NA
2018,06,49670,poverty,Not High Poverty,55,1
