year,state,county,state_name,county_name,subgroup_type,subgroup,share_debt_col,share_debt_col_ub,share_debt_col_lb,share_debt_col_quality,transportation_cost,index_transit_trips,transportation_cost_quality,index_transit_trips_quality,index_air_quality,index_air_quality_quality
2014,01,011,Alabama,Bullock County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,011,Alabama,Bullock County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,013,Alabama,Butler County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,14,1
2014,01,013,Alabama,Butler County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,13,1
2014,01,013,Alabama,Butler County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,13,1
2014,01,013,Alabama,Butler County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,15,1
2014,01,015,Alabama,Calhoun County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,16,1
2014,01,015,Alabama,Calhoun County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,12,1
2014,01,015,Alabama,Calhoun County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,17,1
2014,01,015,Alabama,Calhoun County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,15,1
2014,01,017,Alabama,Chambers County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,12,1
2014,01,017,Alabama,Chambers County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,10,1
2014,01,017,Alabama,Chambers County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,13,1
2014,01,017,Alabama,Chambers County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,12,1
2014,01,019,Alabama,Cherokee County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,24,1
2014,01,019,Alabama,Cherokee County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,019,Alabama,Cherokee County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,24,1
2014,01,019,Alabama,Cherokee County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,021,Alabama,Chilton County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,13,1
2014,01,021,Alabama,Chilton County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,021,Alabama,Chilton County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,13,1
2014,01,021,Alabama,Chilton County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,023,Alabama,Choctaw County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,20,1
2014,01,023,Alabama,Choctaw County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,19,1
2014,01,023,Alabama,Choctaw County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,21,1
2014,01,023,Alabama,Choctaw County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,19,1
2014,01,025,Alabama,Clarke County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,15,1
2014,01,025,Alabama,Clarke County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,16,1
2014,01,025,Alabama,Clarke County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,15,1
2014,01,025,Alabama,Clarke County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,14,1
2014,01,027,Alabama,Clay County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,19,1
2014,01,027,Alabama,Clay County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,027,Alabama,Clay County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,19,1
2014,01,027,Alabama,Clay County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,029,Alabama,Cleburne County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,24,1
2014,01,029,Alabama,Cleburne County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,029,Alabama,Cleburne County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,24,1
2014,01,029,Alabama,Cleburne County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,031,Alabama,Coffee County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,15,1
2014,01,031,Alabama,Coffee County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,031,Alabama,Coffee County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,15,1
2014,01,031,Alabama,Coffee County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,14,1
2014,01,033,Alabama,Colbert County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,33,1
2014,01,033,Alabama,Colbert County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,033,Alabama,Colbert County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,33,1
2014,01,033,Alabama,Colbert County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,28,1
2014,01,035,Alabama,Conecuh County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,13,1
2014,01,035,Alabama,Conecuh County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,035,Alabama,Conecuh County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,21,1
2014,01,035,Alabama,Conecuh County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,12,1
2014,01,037,Alabama,Coosa County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,15,1
2014,01,037,Alabama,Coosa County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,037,Alabama,Coosa County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,15,1
2014,01,037,Alabama,Coosa County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,16,1
2014,01,039,Alabama,Covington County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,17,1
2014,01,039,Alabama,Covington County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,039,Alabama,Covington County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,17,1
2014,01,039,Alabama,Covington County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,17,1
2014,01,041,Alabama,Crenshaw County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,16,1
2014,01,041,Alabama,Crenshaw County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,041,Alabama,Crenshaw County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,15,1
2014,01,041,Alabama,Crenshaw County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,17,1
2014,01,043,Alabama,Cullman County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,24,1
2014,01,043,Alabama,Cullman County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,043,Alabama,Cullman County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,24,1
2014,01,043,Alabama,Cullman County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,045,Alabama,Dale County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,14,1
2014,01,045,Alabama,Dale County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,045,Alabama,Dale County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,14,1
2014,01,045,Alabama,Dale County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,13,1
2014,01,047,Alabama,Dallas County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,10,1
2014,01,047,Alabama,Dallas County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,10,1
2014,01,047,Alabama,Dallas County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,10,1
2014,01,047,Alabama,Dallas County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,11,1
2014,01,049,Alabama,DeKalb County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,44,1
2014,01,049,Alabama,DeKalb County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,049,Alabama,DeKalb County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,45,1
2014,01,049,Alabama,DeKalb County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,41,1
2014,01,051,Alabama,Elmore County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,8,1
2014,01,051,Alabama,Elmore County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,051,Alabama,Elmore County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,8,1
2014,01,051,Alabama,Elmore County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,7,1
2014,01,053,Alabama,Escambia County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,16,1
2014,01,053,Alabama,Escambia County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,16,1
2014,01,053,Alabama,Escambia County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,15,1
2014,01,053,Alabama,Escambia County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,25,1
2014,01,055,Alabama,Etowah County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,19,1
2014,01,055,Alabama,Etowah County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,12,1
2014,01,055,Alabama,Etowah County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,21,1
2014,01,055,Alabama,Etowah County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,12,1
2014,01,057,Alabama,Fayette County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,21,1
2014,01,057,Alabama,Fayette County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,057,Alabama,Fayette County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,22,1
2014,01,057,Alabama,Fayette County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,059,Alabama,Franklin County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,36,1
2014,01,059,Alabama,Franklin County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,059,Alabama,Franklin County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,34,1
2014,01,059,Alabama,Franklin County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,40,1
2014,01,061,Alabama,Geneva County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,19,1
2014,01,061,Alabama,Geneva County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,061,Alabama,Geneva County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,19,1
2014,01,061,Alabama,Geneva County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,063,Alabama,Greene County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,13,1
2014,01,063,Alabama,Greene County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,13,1
2014,01,063,Alabama,Greene County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,063,Alabama,Greene County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,065,Alabama,Hale County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,15,1
2014,01,065,Alabama,Hale County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,15,1
2014,01,065,Alabama,Hale County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,14,1
2014,01,065,Alabama,Hale County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,16,1
2014,01,067,Alabama,Henry County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,16,1
2014,01,067,Alabama,Henry County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,067,Alabama,Henry County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,17,1
2014,01,067,Alabama,Henry County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,13,1
2014,01,069,Alabama,Houston County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,16,1
2014,01,069,Alabama,Houston County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,13,1
2014,01,069,Alabama,Houston County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,17,1
2014,01,069,Alabama,Houston County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,13,1
2014,01,071,Alabama,Jackson County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,49,1
2014,01,071,Alabama,Jackson County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,071,Alabama,Jackson County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,49,1
2014,01,071,Alabama,Jackson County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,073,Alabama,Jefferson County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,9,1
2014,01,073,Alabama,Jefferson County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,7,1
2014,01,073,Alabama,Jefferson County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,10,1
2014,01,073,Alabama,Jefferson County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,9,1
2014,01,075,Alabama,Lamar County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,25,1
2014,01,075,Alabama,Lamar County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,075,Alabama,Lamar County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,25,1
2014,01,075,Alabama,Lamar County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,077,Alabama,Lauderdale County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,35,1
2014,01,077,Alabama,Lauderdale County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,23,1
2014,01,077,Alabama,Lauderdale County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,37,1
2014,01,077,Alabama,Lauderdale County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,079,Alabama,Lawrence County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,35,1
2014,01,079,Alabama,Lawrence County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,079,Alabama,Lawrence County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,35,1
2014,01,079,Alabama,Lawrence County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,37,1
2014,01,081,Alabama,Lee County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,7,1
2014,01,081,Alabama,Lee County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,5,1
2014,01,081,Alabama,Lee County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,8,1
2014,01,081,Alabama,Lee County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,7,1
2014,01,083,Alabama,Limestone County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,34,1
2014,01,083,Alabama,Limestone County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,083,Alabama,Limestone County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,35,1
2014,01,083,Alabama,Limestone County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,25,1
2014,01,085,Alabama,Lowndes County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,15,1
2014,01,085,Alabama,Lowndes County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,15,1
2014,01,085,Alabama,Lowndes County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,085,Alabama,Lowndes County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,087,Alabama,Macon County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,5,1
2014,01,087,Alabama,Macon County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,5,1
2014,01,087,Alabama,Macon County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,087,Alabama,Macon County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,7,1
2014,01,089,Alabama,Madison County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,27,1
2014,01,089,Alabama,Madison County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,21,1
2014,01,089,Alabama,Madison County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,31,1
2014,01,089,Alabama,Madison County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,22,1
2014,01,091,Alabama,Marengo County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,14,1
2014,01,091,Alabama,Marengo County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,13,1
2014,01,091,Alabama,Marengo County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,13,1
2014,01,091,Alabama,Marengo County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,16,1
2014,01,093,Alabama,Marion County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,32,1
2014,01,093,Alabama,Marion County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,093,Alabama,Marion County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,32,1
2014,01,093,Alabama,Marion County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,095,Alabama,Marshall County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,35,1
2014,01,095,Alabama,Marshall County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,095,Alabama,Marshall County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,36,1
2014,01,095,Alabama,Marshall County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,26,1
2014,01,097,Alabama,Mobile County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,16,1
2014,01,097,Alabama,Mobile County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,11,1
2014,01,097,Alabama,Mobile County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,20,1
2014,01,097,Alabama,Mobile County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,14,1
2014,01,099,Alabama,Monroe County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,22,1
2014,01,099,Alabama,Monroe County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,19,1
2014,01,099,Alabama,Monroe County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,23,1
2014,01,099,Alabama,Monroe County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,23,1
2014,01,101,Alabama,Montgomery County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,6,1
2014,01,101,Alabama,Montgomery County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,6,1
2014,01,101,Alabama,Montgomery County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,6,1
2014,01,101,Alabama,Montgomery County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,8,1
2014,01,103,Alabama,Morgan County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,24,1
2014,01,103,Alabama,Morgan County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,9,1
2014,01,103,Alabama,Morgan County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,27,1
2014,01,103,Alabama,Morgan County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,16,1
2014,01,105,Alabama,Perry County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,13,1
2014,01,105,Alabama,Perry County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,13,1
2014,01,105,Alabama,Perry County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,105,Alabama,Perry County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,14,1
2014,01,107,Alabama,Pickens County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,19,1
2014,01,107,Alabama,Pickens County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,16,1
2014,01,107,Alabama,Pickens County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,20,1
2014,01,107,Alabama,Pickens County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,18,1
2014,01,109,Alabama,Pike County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,10,1
2014,01,109,Alabama,Pike County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,10,1
2014,01,109,Alabama,Pike County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,10,1
