year,state,county,state_name,county_name,in_universe,subgroup,subgroup_type,pctl_income_20,pctl_income_20_lb,pctl_income_20_ub,pctl_income_20_quality,pctl_income_50,pctl_income_50_lb,pctl_income_50_ub,pctl_income_50_quality,pctl_income_80,pctl_income_80_lb,pctl_income_80_ub,pctl_income_80_quality,rate_juv_arrest,rate_juv_arrest_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2014,01,007,Alabama,Bibb County,TRUE,Male,gender,24864,21781,28025,Weak,58045,53899,63435,Weak,124877,113260,134056,Weak,NA,NA,0.9,0.61,1.2,Strong,NA,NA,NA,NA,0.7341,0.6979,0.7702,Weak
2014,01,007,Alabama,Bibb County,TRUE,Female,gender,13213,11953,14533,Weak,34994,31548,38005,Weak,79005,73889,87124,Weak,NA,NA,0.97,0.69,1.25,Strong,NA,NA,NA,NA,0.5771,0.5405,0.6137,Weak
2014,01,009,Alabama,Blount County,TRUE,All,all,27166,24876,28876,Marginal,61627,58663,65197,Marginal,118853,114369,122999,Marginal,NA,NA,0.81,0.7,0.92,Strong,0.7829,0.7076,0.8583,Marginal,0.6855,0.6618,0.7091,Marginal
2014,01,009,Alabama,Blount County,TRUE,Male,gender,33019,31295,35241,Marginal,71519,67107,76959,Marginal,126595,121101,132578,Marginal,NA,NA,0.8,0.62,0.98,Strong,0.8084,0.6968,0.9201,Marginal,0.7791,0.7514,0.8069,Marginal
2014,01,009,Alabama,Blount County,TRUE,Female,gender,20052,17425,23640,Marginal,48080,45013,53899,Marginal,104696,98304,113227,Marginal,NA,NA,0.78,0.62,0.94,Strong,NA,NA,NA,NA,0.5947,0.56,0.6294,Marginal
2014,01,011,Alabama,Bullock County,TRUE,All,all,22458,20670,24463,Weak,56900,54330,60156,Weak,114637,108350,120913,Weak,NA,NA,0.58,0.28,0.88,Strong,NA,NA,NA,NA,0.7207,0.6943,0.7472,Weak
2014,01,011,Alabama,Bullock County,TRUE,Male,gender,32148,29022,34676,Weak,68565,64725,71988,Weak,134081,122999,142369,Weak,NA,NA,0.49,0.02,0.97,Strong,NA,NA,NA,NA,0.8012,0.7747,0.8278,Weak
2014,01,011,Alabama,Bullock County,TRUE,Female,gender,17213,15373,18879,Weak,43464,39703,47773,Weak,91479,84220,98739,Weak,NA,NA,0.88,0.43,1.34,Strong,NA,NA,NA,NA,0.6444,0.6047,0.6841,Weak
2014,01,013,Alabama,Butler County,TRUE,All,all,23524,21964,25604,Weak,59087,56146,62438,Weak,116164,112219,120913,Weak,NA,NA,0.84,0.64,1.05,Strong,0.8417,0.7745,0.9089,Weak,0.7151,0.6939,0.7363,Weak
2014,01,013,Alabama,Butler County,TRUE,Male,gender,31295,28315,36301,Weak,72548,68653,76062,Weak,131411,125181,139398,Weak,NA,NA,0.81,0.48,1.14,Strong,NA,NA,NA,NA,0.7867,0.7605,0.8129,Weak
2014,01,013,Alabama,Butler County,TRUE,Female,gender,18337,16042,20052,Weak,43561,40657,48644,Weak,94128,87124,100918,Weak,NA,NA,0.78,0.49,1.08,Strong,NA,NA,NA,NA,0.6489,0.6166,0.6812,Weak
2014,01,015,Alabama,Calhoun County,TRUE,All,all,18933,17646,20306,Strong,49712,46902,52157,Strong,100998,97294,106119,Strong,NA,NA,0.83,0.75,0.91,Strong,0.8888,0.8231,0.9544,Strong,0.6657,0.6393,0.692,Strong
2014,01,015,Alabama,Calhoun County,TRUE,Male,gender,28169,25178,31950,Strong,62161,57611,65503,Strong,116077,108904,122184,Strong,NA,NA,0.79,0.66,0.91,Strong,0.8567,0.7439,0.9695,Strong,0.7436,0.7062,0.781,Strong
2014,01,015,Alabama,Calhoun County,TRUE,Female,gender,14521,12833,16031,Strong,36348,33687,40216,Strong,86929,78238,97794,Strong,NA,NA,0.83,0.71,0.95,Strong,0.9184,0.8525,0.9843,Strong,0.592,0.5621,0.6218,Strong
2014,01,017,Alabama,Chambers County,TRUE,All,all,19966,18441,20988,Weak,48371,46452,51206,Weak,100749,96741,105976,Weak,NA,NA,0.97,0.81,1.14,Strong,0.8464,0.7818,0.9109,Weak,0.6725,0.6519,0.6931,Weak
2014,01,017,Alabama,Chambers County,TRUE,Male,gender,30404,27087,32575,Weak,62875,59840,68280,Weak,115451,110386,122317,Weak,NA,NA,0.89,0.63,1.15,Strong,0.8171,0.7195,0.9148,Weak,0.7432,0.7163,0.7701,Weak
2014,01,017,Alabama,Chambers County,TRUE,Female,gender,16031,14521,17070,Weak,37430,34550,40657,Weak,80087,74345,86385,Weak,NA,NA,1.06,0.81,1.31,Strong,0.878,0.793,0.9631,Weak,0.6068,0.5723,0.6413,Weak
2014,01,019,Alabama,Cherokee County,TRUE,All,all,20052,18777,22112,Weak,49477,46788,51779,Weak,100191,94383,103651,Weak,NA,NA,0.99,0.81,1.17,Strong,NA,NA,NA,NA,0.6778,0.6542,0.7013,Weak
2014,01,019,Alabama,Cherokee County,TRUE,Male,gender,27271,24449,29543,Weak,59319,55281,63899,Weak,110907,104618,118039,Weak,NA,NA,0.94,0.65,1.22,Strong,NA,NA,NA,NA,0.7479,0.714,0.7818,Weak
2014,01,019,Alabama,Cherokee County,TRUE,Female,gender,16860,15392,18066,Weak,38982,36701,42391,Weak,85689,78053,93576,Weak,NA,NA,1.04,0.79,1.29,Strong,NA,NA,NA,NA,0.6107,0.5761,0.6452,Weak
2014,01,021,Alabama,Chilton County,TRUE,All,all,19966,18441,20988,Weak,48371,46452,51206,Weak,100749,96741,105976,Weak,NA,NA,0.9,0.78,1.03,Strong,0.8464,0.7818,0.9109,Weak,0.6725,0.6519,0.6931,Weak
2014,01,021,Alabama,Chilton County,TRUE,Male,gender,30404,27087,32575,Weak,62875,59840,68280,Weak,115451,110386,122317,Weak,NA,NA,0.9,0.7,1.1,Strong,0.8171,0.7195,0.9148,Weak,0.7432,0.7163,0.7701,Weak
2014,01,021,Alabama,Chilton County,TRUE,Female,gender,16031,14521,17070,Weak,37430,34550,40657,Weak,80087,74345,86385,Weak,NA,NA,0.88,0.7,1.06,Strong,0.878,0.793,0.9631,Weak,0.6068,0.5723,0.6413,Weak
2014,01,023,Alabama,Choctaw County,TRUE,All,all,18492,17070,20177,Weak,48354,45607,51135,Weak,101934,97287,106895,Weak,NA,NA,0.76,0.51,1.02,Strong,NA,NA,NA,NA,0.6454,0.6216,0.6693,Weak
2014,01,023,Alabama,Choctaw County,TRUE,Male,gender,25400,21559,29303,Weak,62830,59427,68280,Weak,119109,113260,127283,Weak,NA,NA,0.75,0.36,1.14,Strong,NA,NA,NA,NA,0.7011,0.6727,0.7295,Weak
2014,01,023,Alabama,Choctaw County,TRUE,Female,gender,14932,13086,16584,Weak,36538,33998,38977,Weak,83565,75392,89618,Weak,NA,NA,0.71,0.33,1.09,Strong,NA,NA,NA,NA,0.5958,0.5625,0.629,Weak
2014,01,025,Alabama,Clarke County,TRUE,All,all,18492,17070,20177,Weak,48354,45607,51135,Weak,101934,97287,106895,Weak,NA,NA,0.88,0.73,1.04,Strong,0.8009,0.7212,0.8806,Weak,0.6454,0.6216,0.6693,Weak
2014,01,025,Alabama,Clarke County,TRUE,Male,gender,25400,21559,29303,Weak,62830,59427,68280,Weak,119109,113260,127283,Weak,NA,NA,0.9,0.63,1.17,Strong,NA,NA,NA,NA,0.7011,0.6727,0.7295,Weak
2014,01,025,Alabama,Clarke County,TRUE,Female,gender,14932,13086,16584,Weak,36538,33998,38977,Weak,83565,75392,89618,Weak,NA,NA,0.89,0.67,1.11,Strong,NA,NA,NA,NA,0.5958,0.5625,0.629,Weak
2014,01,027,Alabama,Clay County,TRUE,All,all,20052,18777,22112,Weak,49477,46788,51779,Weak,100191,94383,103651,Weak,NA,NA,1.13,0.89,1.36,Strong,NA,NA,NA,NA,0.6778,0.6542,0.7013,Weak
2014,01,027,Alabama,Clay County,TRUE,Male,gender,27271,24449,29543,Weak,59319,55281,63899,Weak,110907,104618,118039,Weak,NA,NA,1.28,0.92,1.65,Strong,NA,NA,NA,NA,0.7479,0.714,0.7818,Weak
2014,01,027,Alabama,Clay County,TRUE,Female,gender,16860,15392,18066,Weak,38982,36701,42391,Weak,85689,78053,93576,Weak,NA,NA,1.17,0.83,1.51,Strong,NA,NA,NA,NA,0.6107,0.5761,0.6452,Weak
2014,01,029,Alabama,Cleburne County,TRUE,All,all,20052,18777,22112,Weak,49477,46788,51779,Weak,100191,94383,103651,Weak,NA,NA,0.88,0.66,1.1,Strong,NA,NA,NA,NA,0.6778,0.6542,0.7013,Weak
2014,01,029,Alabama,Cleburne County,TRUE,Male,gender,27271,24449,29543,Weak,59319,55281,63899,Weak,110907,104618,118039,Weak,NA,NA,0.93,0.59,1.28,Strong,NA,NA,NA,NA,0.7479,0.714,0.7818,Weak
2014,01,029,Alabama,Cleburne County,TRUE,Female,gender,16860,15392,18066,Weak,38982,36701,42391,Weak,85689,78053,93576,Weak,NA,NA,0.83,0.5,1.17,Strong,NA,NA,NA,NA,0.6107,0.5761,0.6452,Weak
2014,01,031,Alabama,Coffee County,TRUE,All,all,23524,21964,25604,Marginal,59087,56146,62438,Marginal,116164,112219,120913,Marginal,NA,NA,1,0.88,1.12,Strong,0.8417,0.7745,0.9089,Marginal,0.7151,0.6939,0.7363,Marginal
2014,01,031,Alabama,Coffee County,TRUE,Male,gender,31295,28315,36301,Marginal,72548,68653,76062,Marginal,131411,125181,139398,Marginal,NA,NA,0.86,0.67,1.05,Strong,0.7946,0.6843,0.905,Marginal,0.7867,0.7605,0.8129,Marginal
2014,01,031,Alabama,Coffee County,TRUE,Female,gender,18337,16042,20052,Marginal,43561,40657,48644,Marginal,94128,87124,100918,Marginal,NA,NA,1.05,0.88,1.22,Strong,0.8923,0.8215,0.9631,Marginal,0.6489,0.6166,0.6812,Marginal
2014,01,033,Alabama,Colbert County,TRUE,All,all,21732,20626,23218,Weak,53472,51112,56801,Weak,106944,102934,111808,Weak,NA,NA,0.82,0.69,0.95,Strong,0.9137,0.8735,0.954,Weak,0.7079,0.6864,0.7295,Weak
2014,01,033,Alabama,Colbert County,TRUE,Male,gender,28461,25604,31946,Weak,66172,62191,69543,Weak,121836,116780,130104,Weak,NA,NA,0.87,0.66,1.07,Strong,NA,NA,NA,NA,0.7842,0.7538,0.8147,Weak
2014,01,033,Alabama,Colbert County,TRUE,Female,gender,17657,16031,19348,Weak,41323,38479,43561,Weak,85685,81495,92178,Weak,NA,NA,0.82,0.64,0.99,Strong,0.9332,0.8812,0.9852,Weak,0.6355,0.6034,0.6676,Weak
2014,01,035,Alabama,Conecuh County,TRUE,All,all,18492,17070,20177,Weak,48354,45607,51135,Weak,101934,97287,106895,Weak,NA,NA,1.03,0.74,1.31,Strong,NA,NA,NA,NA,0.6454,0.6216,0.6693,Weak
2014,01,035,Alabama,Conecuh County,TRUE,Male,gender,25400,21559,29303,Weak,62830,59427,68280,Weak,119109,113260,127283,Weak,NA,NA,0.91,0.45,1.37,Strong,NA,NA,NA,NA,0.7011,0.6727,0.7295,Weak
2014,01,035,Alabama,Conecuh County,TRUE,Female,gender,14932,13086,16584,Weak,36538,33998,38977,Weak,83565,75392,89618,Weak,NA,NA,1.03,0.63,1.44,Strong,NA,NA,NA,NA,0.5958,0.5625,0.629,Weak
2014,01,037,Alabama,Coosa County,TRUE,All,all,19966,18441,20988,Weak,48371,46452,51206,Weak,100749,96741,105976,Weak,NA,NA,0.98,0.64,1.33,Strong,NA,NA,NA,NA,0.6725,0.6519,0.6931,Weak
2014,01,037,Alabama,Coosa County,TRUE,Male,gender,30404,27087,32575,Weak,62875,59840,68280,Weak,115451,110386,122317,Weak,NA,NA,1.27,0.75,1.78,Strong,NA,NA,NA,NA,0.7432,0.7163,0.7701,Weak
2014,01,037,Alabama,Coosa County,TRUE,Female,gender,16031,14521,17070,Weak,37430,34550,40657,Weak,80087,74345,86385,Weak,NA,NA,1.1,0.52,1.67,Weak,NA,NA,NA,NA,0.6068,0.5723,0.6413,Weak
2014,01,039,Alabama,Covington County,TRUE,All,all,23524,21964,25604,Weak,59087,56146,62438,Weak,116164,112219,120913,Weak,NA,NA,0.9,0.75,1.04,Strong,0.8417,0.7745,0.9089,Weak,0.7151,0.6939,0.7363,Weak
2014,01,039,Alabama,Covington County,TRUE,Male,gender,31295,28315,36301,Weak,72548,68653,76062,Weak,131411,125181,139398,Weak,NA,NA,0.96,0.73,1.19,Strong,0.7946,0.6843,0.905,Weak,0.7867,0.7605,0.8129,Weak
2014,01,039,Alabama,Covington County,TRUE,Female,gender,18337,16042,20052,Weak,43561,40657,48644,Weak,94128,87124,100918,Weak,NA,NA,1.03,0.82,1.24,Strong,NA,NA,NA,NA,0.6489,0.6166,0.6812,Weak
2014,01,041,Alabama,Crenshaw County,TRUE,All,all,23524,21964,25604,Weak,59087,56146,62438,Weak,116164,112219,120913,Weak,NA,NA,1.16,0.93,1.38,Strong,NA,NA,NA,NA,0.7151,0.6939,0.7363,Weak
2014,01,041,Alabama,Crenshaw County,TRUE,Male,gender,31295,28315,36301,Weak,72548,68653,76062,Weak,131411,125181,139398,Weak,NA,NA,1.12,0.75,1.48,Strong,NA,NA,NA,NA,0.7867,0.7605,0.8129,Weak
2014,01,041,Alabama,Crenshaw County,TRUE,Female,gender,18337,16042,20052,Weak,43561,40657,48644,Weak,94128,87124,100918,Weak,NA,NA,1.17,0.85,1.5,Strong,NA,NA,NA,NA,0.6489,0.6166,0.6812,Weak
2014,01,043,Alabama,Cullman County,TRUE,All,all,19348,17828,20764,Strong,47955,45520,49788,Strong,95877,91894,100191,Strong,NA,NA,0.86,0.76,0.96,Strong,0.8798,0.816,0.9437,Strong,0.6527,0.6235,0.6819,Strong
2014,01,043,Alabama,Cullman County,TRUE,Male,gender,27739,25399,30212,Strong,56630,53472,59427,Strong,107452,101644,116810,Strong,NA,NA,0.85,0.69,1,Strong,0.8545,0.7544,0.9546,Strong,0.7222,0.6854,0.7591,Strong
2014,01,043,Alabama,Cullman County,TRUE,Female,gender,15064,13069,16263,Strong,35562,33956,39663,Strong,81083,75396,87159,Strong,NA,NA,0.84,0.69,0.98,Strong,0.8972,0.8172,0.9772,Strong,0.5851,0.5431,0.6272,Strong
2014,01,045,Alabama,Dale County,TRUE,All,all,20374,19748,21461,Weak,54274,52517,56146,Weak,108661,105607,113325,Weak,NA,NA,0.98,0.85,1.11,Strong,0.8838,0.837,0.9307,Weak,0.709,0.6939,0.724,Weak
2014,01,045,Alabama,Dale County,TRUE,Male,gender,29882,27404,32718,Weak,66559,64126,69988,Weak,123601,119309,129035,Weak,NA,NA,0.99,0.78,1.2,Strong,0.8865,0.8183,0.9548,Weak,0.7907,0.7721,0.8094,Weak
2014,01,045,Alabama,Dale County,TRUE,Female,gender,16786,16042,17657,Weak,40748,38031,43867,Weak,89831,84756,96730,Weak,NA,NA,1.1,0.91,1.29,Strong,0.8813,0.8208,0.9419,Weak,0.6326,0.6103,0.655,Weak
2014,01,047,Alabama,Dallas County,TRUE,All,all,16989,15647,18448,Weak,46120,43118,48898,Weak,100527,94964,107542,Weak,NA,NA,0.9,0.77,1.03,Strong,0.9162,0.8716,0.9607,Weak,0.6505,0.625,0.676,Weak
2014,01,047,Alabama,Dallas County,TRUE,Male,gender,24864,21781,28025,Weak,58045,53899,63435,Weak,124877,113260,134056,Weak,NA,NA,0.95,0.73,1.16,Strong,0.8869,0.8101,0.9637,Weak,0.7341,0.6979,0.7702,Weak
2014,01,047,Alabama,Dallas County,TRUE,Female,gender,13213,11953,14533,Weak,34994,31548,38005,Weak,79005,73889,87124,Weak,NA,NA,0.98,0.79,1.17,Strong,0.953,0.9173,0.9886,Weak,0.5771,0.5405,0.6137,Weak
2014,01,049,Alabama,DeKalb County,TRUE,All,all,21338,19489,23898,Marginal,51210,48935,53436,Marginal,94529,89333,98864,Marginal,NA,NA,0.96,0.86,1.06,Strong,0.7893,0.6862,0.8923,Marginal,0.6772,0.6506,0.7037,Marginal
2014,01,049,Alabama,DeKalb County,TRUE,Male,gender,27640,25265,31946,Marginal,61122,56484,65197,Marginal,103096,97794,112158,Marginal,NA,NA,0.9,0.73,1.06,Strong,0.691,0.5367,0.8453,Marginal,0.7608,0.7261,0.7955,Marginal
2014,01,049,Alabama,DeKalb County,TRUE,Female,gender,16584,15106,18744,Marginal,40907,36012,45013,Marginal,77104,72548,84303,Marginal,NA,NA,1.03,0.88,1.17,Strong,0.8982,0.8045,0.9919,Marginal,0.5945,0.5594,0.6296,Marginal
2014,01,051,Alabama,Elmore County,TRUE,All,all,22507,21055,24395,Marginal,58460,55688,62032,Marginal,117499,113260,121662,Marginal,NA,NA,0.87,0.77,0.97,Strong,0.7918,0.7175,0.8661,Marginal,0.6918,0.672,0.7116,Marginal
2014,01,051,Alabama,Elmore County,TRUE,Male,gender,31722,27166,34849,Marginal,71125,66840,76149,Marginal,132949,124441,139829,Marginal,NA,NA,0.92,0.77,1.07,Strong,0.7768,0.6763,0.8773,Marginal,0.7578,0.7344,0.7813,Marginal
2014,01,051,Alabama,Elmore County,TRUE,Female,gender,18983,17070,20485,Marginal,46181,43057,49788,Marginal,104110,100260,109194,Marginal,NA,NA,0.97,0.83,1.11,Strong,0.8117,0.6896,0.9338,Marginal,0.6338,0.6044,0.6631,Marginal
2014,01,053,Alabama,Escambia County,TRUE,All,all,18492,17070,20177,Weak,48354,45607,51135,Weak,101934,97287,106895,Weak,NA,NA,0.99,0.84,1.14,Strong,0.8009,0.7212,0.8806,Weak,0.6454,0.6216,0.6693,Weak
2014,01,053,Alabama,Escambia County,TRUE,Male,gender,25400,21559,29303,Weak,62830,59427,68280,Weak,119109,113260,127283,Weak,NA,NA,0.82,0.57,1.06,Strong,NA,NA,NA,NA,0.7011,0.6727,0.7295,Weak
2014,01,053,Alabama,Escambia County,TRUE,Female,gender,14932,13086,16584,Weak,36538,33998,38977,Weak,83565,75392,89618,Weak,NA,NA,1.02,0.81,1.24,Strong,NA,NA,NA,NA,0.5958,0.5625,0.629,Weak
2014,01,055,Alabama,Etowah County,TRUE,All,all,22250,20374,24463,Strong,52379,48082,57183,Strong,103228,98676,109618,Strong,NA,NA,0.8,0.71,0.89,Strong,0.8541,0.7505,0.9577,Strong,0.6737,0.636,0.7113,Strong
2014,01,055,Alabama,Etowah County,TRUE,Male,gender,27166,24876,30479,Strong,62696,56146,69101,Strong,107303,102076,114296,Strong,NA,NA,0.7,0.55,0.84,Strong,0.7226,0.5214,0.9238,Strong,0.7244,0.6768,0.772,Strong
2014,01,055,Alabama,Etowah County,TRUE,Female,gender,18448,16446,20854,Strong,43396,35932,49576,Strong,95077,87336,110561,Strong,NA,NA,0.88,0.75,1.01,Strong,0.9564,0.8823,1,Strong,0.6269,0.5712,0.6826,Strong
2014,01,057,Alabama,Fayette County,TRUE,All,all,21389,19966,22818,Weak,53515,50028,56195,Weak,109533,104548,114965,Weak,NA,NA,0.74,0.51,0.97,Strong,0.9092,0.8565,0.962,Weak,0.6979,0.6746,0.7212,Weak
2014,01,057,Alabama,Fayette County,TRUE,Male,gender,31371,28388,34530,Weak,67233,64013,69989,Weak,126602,120913,133589,Weak,NA,NA,0.67,0.29,1.06,Strong,NA,NA,NA,NA,0.7557,0.724,0.7873,Weak
2014,01,057,Alabama,Fayette County,TRUE,Female,gender,16643,15364,18387,Weak,38266,35430,42255,Weak,85555,80298,92595,Weak,NA,NA,0.81,0.49,1.13,Strong,NA,NA,NA,NA,0.6421,0.613,0.6712,Weak
2014,01,059,Alabama,Franklin County,TRUE,All,all,21732,20626,23218,Weak,53472,51112,56801,Weak,106944,102934,111808,Weak,NA,NA,0.87,0.72,1.01,Strong,0.9137,0.8735,0.954,Weak,0.7079,0.6864,0.7295,Weak
2014,01,059,Alabama,Franklin County,TRUE,Male,gender,28461,25604,31946,Weak,66172,62191,69543,Weak,121836,116780,130104,Weak,NA,NA,0.84,0.6,1.08,Strong,NA,NA,NA,NA,0.7842,0.7538,0.8147,Weak
2014,01,059,Alabama,Franklin County,TRUE,Female,gender,17657,16031,19348,Weak,41323,38479,43561,Weak,85685,81495,92178,Weak,NA,NA,0.89,0.68,1.09,Strong,NA,NA,NA,NA,0.6355,0.6034,0.6676,Weak
2014,01,061,Alabama,Geneva County,TRUE,All,all,20374,19748,21461,Weak,54274,52517,56146,Weak,108661,105607,113325,Weak,NA,NA,0.92,0.75,1.08,Strong,0.8838,0.837,0.9307,Weak,0.709,0.6939,0.724,Weak
2014,01,061,Alabama,Geneva County,TRUE,Male,gender,29882,27404,32718,Weak,66559,64126,69988,Weak,123601,119309,129035,Weak,NA,NA,0.84,0.58,1.11,Strong,NA,NA,NA,NA,0.7907,0.7721,0.8094,Weak
2014,01,061,Alabama,Geneva County,TRUE,Female,gender,16786,16042,17657,Weak,40748,38031,43867,Weak,89831,84756,96730,Weak,NA,NA,1.06,0.82,1.3,Strong,NA,NA,NA,NA,0.6326,0.6103,0.655,Weak
2014,01,063,Alabama,Greene County,TRUE,All,all,16989,15647,18448,Weak,46120,43118,48898,Weak,100527,94964,107542,Weak,NA,NA,0.69,0.37,1,Strong,NA,NA,NA,NA,0.6505,0.625,0.676,Weak
2014,01,063,Alabama,Greene County,TRUE,Male,gender,24864,21781,28025,Weak,58045,53899,63435,Weak,124877,113260,134056,Weak,NA,NA,0.69,0.19,1.19,Strong,NA,NA,NA,NA,0.7341,0.6979,0.7702,Weak
2014,01,063,Alabama,Greene County,TRUE,Female,gender,13213,11953,14533,Weak,34994,31548,38005,Weak,79005,73889,87124,Weak,NA,NA,0.7,0.22,1.18,Strong,NA,NA,NA,NA,0.5771,0.5405,0.6137,Weak
2014,01,065,Alabama,Hale County,TRUE,All,all,16989,15647,18448,Weak,46120,43118,48898,Weak,100527,94964,107542,Weak,NA,NA,0.95,0.74,1.15,Strong,0.9162,0.8716,0.9607,Weak,0.6505,0.625,0.676,Weak
2014,01,065,Alabama,Hale County,TRUE,Male,gender,24864,21781,28025,Weak,58045,53899,63435,Weak,124877,113260,134056,Weak,NA,NA,0.9,0.57,1.23,Strong,NA,NA,NA,NA,0.7341,0.6979,0.7702,Weak
2014,01,065,Alabama,Hale County,TRUE,Female,gender,13213,11953,14533,Weak,34994,31548,38005,Weak,79005,73889,87124,Weak,NA,NA,0.98,0.69,1.28,Strong,NA,NA,NA,NA,0.5771,0.5405,0.6137,Weak
2014,01,067,Alabama,Henry County,TRUE,All,all,20374,19748,21461,Weak,54274,52517,56146,Weak,108661,105607,113325,Weak,NA,NA,0.9,0.67,1.12,Strong,NA,NA,NA,NA,0.709,0.6939,0.724,Weak
2014,01,067,Alabama,Henry County,TRUE,Male,gender,29882,27404,32718,Weak,66559,64126,69988,Weak,123601,119309,129035,Weak,NA,NA,0.85,0.5,1.21,Strong,NA,NA,NA,NA,0.7907,0.7721,0.8094,Weak
2014,01,067,Alabama,Henry County,TRUE,Female,gender,16786,16042,17657,Weak,40748,38031,43867,Weak,89831,84756,96730,Weak,NA,NA,0.92,0.59,1.25,Strong,NA,NA,NA,NA,0.6326,0.6103,0.655,Weak
2014,01,069,Alabama,Houston County,TRUE,All,all,20374,19748,21461,Marginal,54274,52517,56146,Marginal,108661,105607,113325,Marginal,NA,NA,0.95,0.86,1.04,Strong,0.8838,0.837,0.9307,Marginal,0.709,0.6939,0.724,Marginal
2014,01,069,Alabama,Houston County,TRUE,Male,gender,29882,27404,32718,Marginal,66559,64126,69988,Marginal,123601,119309,129035,Marginal,NA,NA,0.87,0.73,1.01,Strong,0.8865,0.8183,0.9548,Marginal,0.7907,0.7721,0.8094,Marginal
2014,01,069,Alabama,Houston County,TRUE,Female,gender,16786,16042,17657,Marginal,40748,38031,43867,Marginal,89831,84756,96730,Marginal,NA,NA,0.94,0.81,1.07,Strong,0.8813,0.8208,0.9419,Marginal,0.6326,0.6103,0.655,Marginal
2014,01,071,Alabama,Jackson County,TRUE,All,all,21338,19489,23898,Marginal,51210,48935,53436,Marginal,94529,89333,98864,Marginal,NA,NA,0.9,0.78,1.02,Strong,0.7893,0.6862,0.8923,Marginal,0.6772,0.6506,0.7037,Marginal
2014,01,071,Alabama,Jackson County,TRUE,Male,gender,27640,25265,31946,Marginal,61122,56484,65197,Marginal,103096,97794,112158,Marginal,NA,NA,0.84,0.65,1.04,Strong,0.691,0.5367,0.8453,Marginal,0.7608,0.7261,0.7955,Marginal
2014,01,071,Alabama,Jackson County,TRUE,Female,gender,16584,15106,18744,Marginal,40907,36012,45013,Marginal,77104,72548,84303,Marginal,NA,NA,0.88,0.71,1.06,Strong,NA,NA,NA,NA,0.5945,0.5594,0.6296,Marginal
