state,place,state_name,place_name,share_in_preschool,share_in_preschool_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,meps20_black,meps20_black_quality,meps20_hispanic,meps20_hispanic_quality,meps20_white,meps20_white_quality,share_hs_degree,share_hs_degree_quality,share_digital_access,share_digital_access_quality,pctl_income_20,pctl_income_50,pctl_income_80,pctl_income_quality,share_debt_col,share_debt_col_quality,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,homeless_quality,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,housing_quality,share_election_turnout,share_election_turnout_quality,share_desc_rep_asian_other,share_desc_rep_black_nonhispanic,share_desc_rep_hispanic,share_desc_rep_white_nonhispanic,share_poverty_exposure,share_poverty_exposure_quality,share_black_nh_exposure,share_black_nh_exposure_quality,share_hispanic_exposure,share_hispanic_exposure_quality,share_other_nh_exposure,share_other_nh_exposure_quality,share_white_nh_exposure,share_white_nh_exposure_quality,index_air_quality,index_air_quality_quality,ratio_high_low_ses_fb_friends,ratio_high_low_ses_fb_friends_quality,count_membership_associations_per_10k,count_membership_associations_per_10k_quality,rate_juv_arrest,rate_juv_arrest_quality,rate_violent_crime,rate_property_crime,rate_crime_quality,share_employed,share_employed_quality
04,85540,Arizona,Yuma city,0.3475531229877656,2,1.0327247,0.82317227,1.2422771,1,0.6195122,1,0.65731353,1,0.43049815,1,0.7714108141702921,2,0.8712613237488702,1,24718.272,56646.04,103507.764,2,NA,NA,0.3%:1.3%,3,49.7%:56.6%,3,7.2%:5.5%,3,42.8%:36.7%,3,284,284,284,0.0100616449,1,1.8665598784777329,1.9183812365060653,1.8997993763761711,2,0.4979241371076536,3,0.0544485780944574,0.02219559871366416,0.5981566723416777,0.32519915085020074,0.1170901769149542,1,0.9438850160067482,1,0.34847582961811013,1,0.9264691734697428,1,0.5984532273875858,1,34,1,0.670022862189781,3,3.3,2,1927.2148938160728,2,1005.7380667129077,3989.3225718309263,2,0.7446019186737385,2
05,23290,Arkansas,Fayetteville city,0.25926903285393854,2,0.89648151,0.71484071,1.0781224,1,0.22580644,1,0.18799368,1,0.11643462,1,0.9357174007849978,2,0.8458889975019007,1,25748.2,64885.46399999999,115351.936,2,NA,NA,0.7%:2.7%,3,6.3%:11.7%,3,13.8%:13.1%,3,79.2%:72.4%,3,240,240,240,0.0225818586,1,1.89116315876851,1.70329276384059,1.3183140885998978,2,0.5545152926323912,1,0.09985880308460954,0.05770609318996415,0.07493211686760073,0.7675029868578256,0.21138409196569077,1,0.914812617282776,1,0.8984893590663889,1,0.8737524171664517,1,0.21541331764966756,1,28,1,0.9717053692371708,3,3.4,2,1116.1767017764505,1,1871.4021939828392,7733.246442923862,1,0.8168726391854164,2
05,24550,Arkansas,Fort Smith city,0.2957000635458589,3,1.0500624,0.88975453,1.2103703,1,0.83292079,1,0.89650738,1,0.5821256,1,0.9195922989807476,2,0.8317137214417164,1,23070.3872,49436.544,97843.16,2,NA,NA,1.5%:3.9%,3,4.9%:8.4%,3,6.3%:10.2%,3,87.2%:77.4%,3,208,208,208,0.0138907442,1,1.9237500082210708,1.8590993270888705,1.79654604088157,2,0.47471480976574654,1,0.13010009425916785,0.08279096907401588,0.19379236051887427,0.593316576147942,0,1,0.8859039606477436,1,0.6818046129563623,1,0.8511254495976892,1,0.33736111149852244,1,13,1,0.7197938702862636,3,1.9,2,4469.6889266376475,1,3109.430405314422,8525.966156470218,1,0.7208135235076598,2
05,35710,Arkansas,Jonesboro city,0.4561479286352161,2,0.99228662,0.70674312,1.2778302,1,0.78879225,1,0.66713387,1,0.36519885,1,0.9557787367436756,2,0.8329205366357069,1,19671.6248,51496.4,107431.78968,2,NA,NA,4.1%:8.2%,3,1.0%:2.3%,3,7.2%:5.4%,3,87.7%:84.1%,3,294,294,294,0.0193230361,1,1.892950530218812,1.7116903910506778,1.6401526234861192,2,0.4544197700069031,1,0.05989422084623323,0.2101780185758514,0.06536377708978328,0.6645639834881321,0.21258457257341565,1,0.7457503903978393,1,0.8982501146909699,1,0.916055978203668,1,0.29839764879390335,1,47,1,0.7362277826544943,3,5.1,2,2233.192289609779,1,2337.4613003095974,5908.152734778121,1,0.7283213075767251,2
05,41000,Arkansas,Little Rock city,0.4983221356713956,1,0.84009838,0.72116882,0.95902801,1,0.67850429,1,0.75025952,1,0.24147254,1,0.8404141161225881,1,0.8568944936179065,1,22761.4088,53556.256,120913.5472,1,NA,NA,21.9%:42.2%,1,4.3%:6.3%,1,5.4%:5.2%,1,68.4%:46.4%,1,423,420,426,0.0093716765,1,1.5535329533996605,1.288193919748672,0.9071560257012332,1,0.5835440182975836,1,0.06011600204068491,0.4116289321571327,0.07768966729901483,0.4505653985031675,0.09242745898663708,1,0.4215527947908325,1,0.8087105380415517,1,0.8983035376230142,1,0.3693531953213885,1,20,1,0.802513719115417,2,1.3,1,2642.09057221233,1,4802.543921780349,9494.137983981616,1,0.8127853395304382,1
05,66080,Arkansas,Springdale city,0.26760918158951197,3,0.97905791,0.86227655,1.0958393,1,0.66666669,1,0.78290993,1,0.45120811,1,0.9356651838308946,3,0.8140580064503359,1,26778.128,65493.12152,116474.55752,3,NA,NA,0.6%:2.3%,3,6.9%:12.1%,3,14.7%:15.6%,3,77.8%:70.1%,3,502,502,502,0.0213890076,1,2.14012775601906,1.838798867886249,1.4966248670952882,3,0.541651216074228,1,0.15863867640038656,0.02842106488758485,0.39050147286550935,0.4224387858465193,0.11540553525391804,1,0.937618733574764,2,0.5264247126804591,1,0.8199219130455434,1,0.4725351336019838,1,23,1,0.665453742986536,3,3.2,2,3746.7152665932017,1,1720.865788768964,4797.000710235542,1,0.8198140787578101,3
06,00562,California,Alameda city,0.5655711594261675,2,1.0466795,0.86225927,1.2310997,1,0,1,0,1,0,1,0.9725524237153887,2,0.9371552604698672,1,37077.408,97843.16,198364.1328,2,NA,NA,4.0%:8.8%,3,10.5%:18.1%,3,37.9%:35.0%,3,47.7%:38.1%,3,95,94,96,0.0085477773,1,1.4352398318832271,1.4315669715081636,1.099235460091654,2,0.6720202197981199,2,0.39491828396322776,0.06013789581205311,0.1241317671092952,0.4208120531154239,0,1,0.9086776564879272,1,0.864496509739312,1,0.5895728216658331,1,0.5578230791747739,1,47,1,1.1748747072468195,3,3.4,2,NA,NA,NA,NA,NA,0.8043262290963514,2
06,00884,California,Alhambra city,0.4189494569022752,2,1.2848969,1.1302552,1.4395385,1,0.77777779,1,0.75836581,1,0.72014928,1,0.8316793706498309,2,0.9246519344987616,1,33369.6672,79304.456,154489.2,2,NA,NA,2.0%:1.6%,3,17.5%:31.6%,2,47.8%:46.8%,2,32.7%:20.0%,2,296,296,296,0.0181840528,1,1.391154183404034,1.0508931051435313,0.9011171072630813,2,0.6055266017412088,1,0.53153629740063,0.0201625507971241,0.35710678817899827,0.09119436362324763,0,1,0.9617721323047888,2,0.6092366128255522,1,0.439663383297913,1,0.8902856418952865,1,4,1,0.9662200798504488,3,2.8,2,NA,NA,NA,NA,NA,0.7893594108164365,2
06,02000,California,Anaheim city,0.3386578135033906,1,0.93655139,0.79025978,1.0828429,1,0.68068832,1,0.77091521,1,0.30818936,1,0.9324557310359451,1,0.9133869800461798,1,36047.48,87234.9016,171827.667105924,1,0.26539,1,2.7%:3.1%,2,27.6%:41.1%,2,29.4%:24.2%,2,40.3%:31.6%,2,6549,6549,6549,0.11898835,1,1.3380332828580248,0.9979433416999404,0.7983587552518598,1,0.6352802332388183,1,0.2036650928765896,0.02472688424027294,0.5395027053106799,0.23210531757245753,0,1,0.9554206328644048,1,0.3803878226357717,1,0.7492332824892162,1,0.6612825556411023,1,6,1,0.8481785662612613,3,0.7,2,NA,NA,NA,NA,NA,0.7811456513752781,1
06,02252,California,Antioch city,0.3831028119390711,1,0.99355137,0.8511188,1.1359839,2,0.58281904,1,0.67229682,1,0.56647396,1,0.7272040238545368,1,0.9426928104575164,1,31721.7824,82394.24,182297.256,1,NA,NA,26.7%:19.4%,2,17.1%:25.7%,2,18.8%:22.3%,2,37.4%:32.6%,2,468,468,468,0.0279119704,1,1.2439596488750415,0.7425273600144296,0.5552138399517209,1,0.6282211578441416,1,0.20022657952069717,0.19470152505446625,0.34983006535947714,0.2552418300653595,0,1,0.7599847512170501,1,0.6005157015013646,1,0.7751283765978361,1,0.7224672396698719,1,32,1,0.923427501407923,3,1.6,2,NA,NA,NA,NA,NA,0.754500644971665,1
06,02364,California,Apple Valley town,0.11864571883275651,2,0.95998055,0.80047745,1.1194837,1,0.83834279,1,0.77099234,1,0.66195416,1,0.8219199512266201,2,0.9405797293888012,1,31721.7824,66945.32,121943.47520000002,2,NA,NA,3.0%:4.4%,3,36.6%:44.2%,3,9.3%:6.9%,3,51.1%:44.4%,3,817,817,817,0.0554424524,1,1.5329036314225266,1.2915705274204252,1.2599143294163535,2,0.6882122047090552,1,0.07854098338888077,0.06676315544873923,0.4019200382414256,0.4527758229209544,0.18628457914421767,1,0.8931852131205439,1,0.5693879712631166,1,0.8911520158089344,1,0.5104246597385147,1,53,1,0.7894599946484374,3,1.5,2,NA,NA,NA,NA,NA,0.6520912494599335,2
06,03526,California,Bakersfield city,0.12936261758682485,2,1.1727148,1.0036114,1.3418182,1,0.81327599,1,0.81162679,1,0.40314415,1,0.9373357227285068,2,0.9187347651195216,1,25676.10504,61795.68000000001,127093.1152,2,0.40165,1,2.5%:6.3%,2,38.0%:47.3%,2,11.2%:8.8%,2,48.3%:37.6%,2,3325,3324,3326,0.0251907296,1,1.204983822094713,1.0263130250582977,0.7965970736777055,2,0.6414061866301699,1,0.10706798142222312,0.06631624351733892,0.5195056626107193,0.30711011244971864,0.2598131211034019,1,0.8728150478267945,1,0.3991111002458715,1,0.8260990376765328,1,0.5818232831113009,1,24,1,0.7028404607209302,3,0.6,2,NA,NA,NA,NA,NA,0.7280971560406932,2
