year,state,county,state_name,county_name,subgroup_type,subgroup,environmental,environmental_quality
2018,01,055,Alabama,Etowah County,race-ethnicity,No Majority Race/Ethnicity,19,1
2018,01,057,Alabama,Fayette County,all,All,26,1
2018,01,057,Alabama,Fayette County,poverty,High Poverty Tracts,NA,NA
2018,01,057,Alabama,Fayette County,poverty,Not High Poverty Tracts,26,1
2018,01,057,Alabama,Fayette County,race-ethnicity,Majority Non-White,NA,NA
2018,01,057,Alabama,Fayette County,race-ethnicity,"Majority White, Non-Hispanic",26,1
2018,01,057,Alabama,Fayette County,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,059,Alabama,Franklin County,all,All,23,1
2018,01,059,Alabama,Franklin County,poverty,High Poverty Tracts,NA,NA
2018,01,059,Alabama,Franklin County,poverty,Not High Poverty Tracts,24,1
2018,01,059,Alabama,Franklin County,race-ethnicity,Majority Non-White,NA,NA
2018,01,059,Alabama,Franklin County,race-ethnicity,"Majority White, Non-Hispanic",22,1
2018,01,059,Alabama,Franklin County,race-ethnicity,No Majority Race/Ethnicity,26,1
2018,01,061,Alabama,Geneva County,all,All,44,1
2018,01,061,Alabama,Geneva County,poverty,High Poverty Tracts,NA,NA
2018,01,061,Alabama,Geneva County,poverty,Not High Poverty Tracts,45,1
2018,01,061,Alabama,Geneva County,race-ethnicity,Majority Non-White,NA,NA
2018,01,061,Alabama,Geneva County,race-ethnicity,"Majority White, Non-Hispanic",44,1
2018,01,061,Alabama,Geneva County,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,063,Alabama,Greene County,all,All,22,1
2018,01,063,Alabama,Greene County,poverty,High Poverty Tracts,19,1
2018,01,063,Alabama,Greene County,poverty,Not High Poverty Tracts,26,1
2018,01,063,Alabama,Greene County,race-ethnicity,Majority Non-White,22,1
2018,01,063,Alabama,Greene County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,01,063,Alabama,Greene County,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,065,Alabama,Hale County,all,All,23,1
2018,01,065,Alabama,Hale County,poverty,High Poverty Tracts,NA,NA
2018,01,065,Alabama,Hale County,poverty,Not High Poverty Tracts,23,1
2018,01,065,Alabama,Hale County,race-ethnicity,Majority Non-White,26,1
2018,01,065,Alabama,Hale County,race-ethnicity,"Majority White, Non-Hispanic",15,1
2018,01,065,Alabama,Hale County,race-ethnicity,No Majority Race/Ethnicity,26,1
2018,01,067,Alabama,Henry County,all,All,26,1
2018,01,067,Alabama,Henry County,poverty,High Poverty Tracts,NA,NA
2018,01,067,Alabama,Henry County,poverty,Not High Poverty Tracts,26,1
2018,01,067,Alabama,Henry County,race-ethnicity,Majority Non-White,NA,NA
2018,01,067,Alabama,Henry County,race-ethnicity,"Majority White, Non-Hispanic",26,1
2018,01,067,Alabama,Henry County,race-ethnicity,No Majority Race/Ethnicity,26,1
2018,01,069,Alabama,Houston County,all,All,27,1
2018,01,069,Alabama,Houston County,poverty,High Poverty Tracts,26,1
2018,01,069,Alabama,Houston County,poverty,Not High Poverty Tracts,27,1
2018,01,069,Alabama,Houston County,race-ethnicity,Majority Non-White,26,1
2018,01,069,Alabama,Houston County,race-ethnicity,"Majority White, Non-Hispanic",27,1
2018,01,069,Alabama,Houston County,race-ethnicity,No Majority Race/Ethnicity,26,1
2018,01,071,Alabama,Jackson County,all,All,37,1
2018,01,071,Alabama,Jackson County,poverty,High Poverty Tracts,NA,NA
2018,01,071,Alabama,Jackson County,poverty,Not High Poverty Tracts,37,1
2018,01,071,Alabama,Jackson County,race-ethnicity,Majority Non-White,NA,NA
2018,01,071,Alabama,Jackson County,race-ethnicity,"Majority White, Non-Hispanic",37,1
2018,01,071,Alabama,Jackson County,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,073,Alabama,Jefferson County,all,All,10,1
2018,01,073,Alabama,Jefferson County,poverty,High Poverty Tracts,6,1
2018,01,073,Alabama,Jefferson County,poverty,Not High Poverty Tracts,10,1
2018,01,073,Alabama,Jefferson County,race-ethnicity,Majority Non-White,8,1
2018,01,073,Alabama,Jefferson County,race-ethnicity,"Majority White, Non-Hispanic",12,1
2018,01,073,Alabama,Jefferson County,race-ethnicity,No Majority Race/Ethnicity,7,1
2018,01,075,Alabama,Lamar County,all,All,26,1
2018,01,075,Alabama,Lamar County,poverty,High Poverty Tracts,NA,NA
2018,01,075,Alabama,Lamar County,poverty,Not High Poverty Tracts,26,1
2018,01,075,Alabama,Lamar County,race-ethnicity,Majority Non-White,NA,NA
2018,01,075,Alabama,Lamar County,race-ethnicity,"Majority White, Non-Hispanic",26,1
2018,01,075,Alabama,Lamar County,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,077,Alabama,Lauderdale County,all,All,26,1
2018,01,077,Alabama,Lauderdale County,poverty,High Poverty Tracts,20,1
2018,01,077,Alabama,Lauderdale County,poverty,Not High Poverty Tracts,26,1
2018,01,077,Alabama,Lauderdale County,race-ethnicity,Majority Non-White,20,1
2018,01,077,Alabama,Lauderdale County,race-ethnicity,"Majority White, Non-Hispanic",27,1
2018,01,077,Alabama,Lauderdale County,race-ethnicity,No Majority Race/Ethnicity,17,1
2018,01,079,Alabama,Lawrence County,all,All,24,1
2018,01,079,Alabama,Lawrence County,poverty,High Poverty Tracts,NA,NA
2018,01,079,Alabama,Lawrence County,poverty,Not High Poverty Tracts,24,1
2018,01,079,Alabama,Lawrence County,race-ethnicity,Majority Non-White,20,1
2018,01,079,Alabama,Lawrence County,race-ethnicity,"Majority White, Non-Hispanic",23,1
2018,01,079,Alabama,Lawrence County,race-ethnicity,No Majority Race/Ethnicity,26,1
2018,01,081,Alabama,Lee County,all,All,16,1
2018,01,081,Alabama,Lee County,poverty,High Poverty Tracts,15,1
2018,01,081,Alabama,Lee County,poverty,Not High Poverty Tracts,16,1
2018,01,081,Alabama,Lee County,race-ethnicity,Majority Non-White,15,1
2018,01,081,Alabama,Lee County,race-ethnicity,"Majority White, Non-Hispanic",16,1
2018,01,081,Alabama,Lee County,race-ethnicity,No Majority Race/Ethnicity,15,1
2018,01,083,Alabama,Limestone County,all,All,24,1
2018,01,083,Alabama,Limestone County,poverty,High Poverty Tracts,NA,NA
2018,01,083,Alabama,Limestone County,poverty,Not High Poverty Tracts,24,1
2018,01,083,Alabama,Limestone County,race-ethnicity,Majority Non-White,NA,NA
2018,01,083,Alabama,Limestone County,race-ethnicity,"Majority White, Non-Hispanic",25,1
2018,01,083,Alabama,Limestone County,race-ethnicity,No Majority Race/Ethnicity,20,1
2018,01,085,Alabama,Lowndes County,all,All,26,1
2018,01,085,Alabama,Lowndes County,poverty,High Poverty Tracts,NA,NA
2018,01,085,Alabama,Lowndes County,poverty,Not High Poverty Tracts,26,1
2018,01,085,Alabama,Lowndes County,race-ethnicity,Majority Non-White,26,1
2018,01,085,Alabama,Lowndes County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,01,085,Alabama,Lowndes County,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,087,Alabama,Macon County,all,All,15,1
2018,01,087,Alabama,Macon County,poverty,High Poverty Tracts,NA,NA
2018,01,087,Alabama,Macon County,poverty,Not High Poverty Tracts,15,1
2018,01,087,Alabama,Macon County,race-ethnicity,Majority Non-White,15,1
2018,01,087,Alabama,Macon County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,01,087,Alabama,Macon County,race-ethnicity,No Majority Race/Ethnicity,15,1
2018,01,089,Alabama,Madison County,all,All,21,1
2018,01,089,Alabama,Madison County,poverty,High Poverty Tracts,20,1
2018,01,089,Alabama,Madison County,poverty,Not High Poverty Tracts,21,1
2018,01,089,Alabama,Madison County,race-ethnicity,Majority Non-White,18,1
2018,01,089,Alabama,Madison County,race-ethnicity,"Majority White, Non-Hispanic",22,1
2018,01,089,Alabama,Madison County,race-ethnicity,No Majority Race/Ethnicity,20,1
2018,01,091,Alabama,Marengo County,all,All,19,1
2018,01,091,Alabama,Marengo County,poverty,High Poverty Tracts,NA,NA
2018,01,091,Alabama,Marengo County,poverty,Not High Poverty Tracts,19,1
2018,01,091,Alabama,Marengo County,race-ethnicity,Majority Non-White,18,1
2018,01,091,Alabama,Marengo County,race-ethnicity,"Majority White, Non-Hispanic",15,1
2018,01,091,Alabama,Marengo County,race-ethnicity,No Majority Race/Ethnicity,23,1
2018,01,093,Alabama,Marion County,all,All,25,1
2018,01,093,Alabama,Marion County,poverty,High Poverty Tracts,NA,NA
2018,01,093,Alabama,Marion County,poverty,Not High Poverty Tracts,25,1
2018,01,093,Alabama,Marion County,race-ethnicity,Majority Non-White,NA,NA
2018,01,093,Alabama,Marion County,race-ethnicity,"Majority White, Non-Hispanic",25,1
2018,01,093,Alabama,Marion County,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,095,Alabama,Marshall County,all,All,29,1
2018,01,095,Alabama,Marshall County,poverty,High Poverty Tracts,NA,NA
2018,01,095,Alabama,Marshall County,poverty,Not High Poverty Tracts,30,1
2018,01,095,Alabama,Marshall County,race-ethnicity,Majority Non-White,NA,NA
2018,01,095,Alabama,Marshall County,race-ethnicity,"Majority White, Non-Hispanic",31,1
2018,01,095,Alabama,Marshall County,race-ethnicity,No Majority Race/Ethnicity,20,1
2018,01,097,Alabama,Mobile County,all,All,22,1
2018,01,097,Alabama,Mobile County,poverty,High Poverty Tracts,14,1
2018,01,097,Alabama,Mobile County,poverty,Not High Poverty Tracts,23,1
2018,01,097,Alabama,Mobile County,race-ethnicity,Majority Non-White,15,1
2018,01,097,Alabama,Mobile County,race-ethnicity,"Majority White, Non-Hispanic",26,1
2018,01,097,Alabama,Mobile County,race-ethnicity,No Majority Race/Ethnicity,18,1
2018,01,099,Alabama,Monroe County,all,All,26,1
2018,01,099,Alabama,Monroe County,poverty,High Poverty Tracts,26,1
2018,01,099,Alabama,Monroe County,poverty,Not High Poverty Tracts,26,1
2018,01,099,Alabama,Monroe County,race-ethnicity,Majority Non-White,26,1
2018,01,099,Alabama,Monroe County,race-ethnicity,"Majority White, Non-Hispanic",26,1
2018,01,099,Alabama,Monroe County,race-ethnicity,No Majority Race/Ethnicity,26,1
2018,01,101,Alabama,Montgomery County,all,All,16,1
2018,01,101,Alabama,Montgomery County,poverty,High Poverty Tracts,15,1
2018,01,101,Alabama,Montgomery County,poverty,Not High Poverty Tracts,16,1
2018,01,101,Alabama,Montgomery County,race-ethnicity,Majority Non-White,16,1
2018,01,101,Alabama,Montgomery County,race-ethnicity,"Majority White, Non-Hispanic",16,1
2018,01,101,Alabama,Montgomery County,race-ethnicity,No Majority Race/Ethnicity,17,1
2018,01,103,Alabama,Morgan County,all,All,18,1
2018,01,103,Alabama,Morgan County,poverty,High Poverty Tracts,2,1
2018,01,103,Alabama,Morgan County,poverty,Not High Poverty Tracts,19,1
2018,01,103,Alabama,Morgan County,race-ethnicity,Majority Non-White,2,1
2018,01,103,Alabama,Morgan County,race-ethnicity,"Majority White, Non-Hispanic",22,1
2018,01,103,Alabama,Morgan County,race-ethnicity,No Majority Race/Ethnicity,10,1
2018,01,105,Alabama,Perry County,all,All,26,1
2018,01,105,Alabama,Perry County,poverty,High Poverty Tracts,26,1
2018,01,105,Alabama,Perry County,poverty,Not High Poverty Tracts,26,1
2018,01,105,Alabama,Perry County,race-ethnicity,Majority Non-White,26,1
2018,01,105,Alabama,Perry County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,01,105,Alabama,Perry County,race-ethnicity,No Majority Race/Ethnicity,26,1
2018,01,107,Alabama,Pickens County,all,All,20,1
2018,01,107,Alabama,Pickens County,poverty,High Poverty Tracts,NA,NA
2018,01,107,Alabama,Pickens County,poverty,Not High Poverty Tracts,19,1
2018,01,107,Alabama,Pickens County,race-ethnicity,Majority Non-White,26,1
2018,01,107,Alabama,Pickens County,race-ethnicity,"Majority White, Non-Hispanic",15,1
2018,01,107,Alabama,Pickens County,race-ethnicity,No Majority Race/Ethnicity,15,1
2018,01,109,Alabama,Pike County,all,All,25,1
2018,01,109,Alabama,Pike County,poverty,High Poverty Tracts,26,1
2018,01,109,Alabama,Pike County,poverty,Not High Poverty Tracts,24,1
2018,01,109,Alabama,Pike County,race-ethnicity,Majority Non-White,26,1
2018,01,109,Alabama,Pike County,race-ethnicity,"Majority White, Non-Hispanic",27,1
2018,01,109,Alabama,Pike County,race-ethnicity,No Majority Race/Ethnicity,21,1
2018,01,111,Alabama,Randolph County,all,All,25,1
2018,01,111,Alabama,Randolph County,poverty,High Poverty Tracts,NA,NA
2018,01,111,Alabama,Randolph County,poverty,Not High Poverty Tracts,25,1
2018,01,111,Alabama,Randolph County,race-ethnicity,Majority Non-White,NA,NA
2018,01,111,Alabama,Randolph County,race-ethnicity,"Majority White, Non-Hispanic",25,1
2018,01,111,Alabama,Randolph County,race-ethnicity,No Majority Race/Ethnicity,26,1
2018,01,113,Alabama,Russell County,all,All,14,1
2018,01,113,Alabama,Russell County,poverty,High Poverty Tracts,13,1
2018,01,113,Alabama,Russell County,poverty,Not High Poverty Tracts,14,1
2018,01,113,Alabama,Russell County,race-ethnicity,Majority Non-White,14,1
2018,01,113,Alabama,Russell County,race-ethnicity,"Majority White, Non-Hispanic",15,1
2018,01,113,Alabama,Russell County,race-ethnicity,No Majority Race/Ethnicity,13,1
2018,01,115,Alabama,St. Clair County,all,All,20,1
2018,01,115,Alabama,St. Clair County,poverty,High Poverty Tracts,NA,NA
2018,01,115,Alabama,St. Clair County,poverty,Not High Poverty Tracts,20,1
2018,01,115,Alabama,St. Clair County,race-ethnicity,Majority Non-White,NA,NA
2018,01,115,Alabama,St. Clair County,race-ethnicity,"Majority White, Non-Hispanic",20,1
2018,01,115,Alabama,St. Clair County,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,117,Alabama,Shelby County,all,All,11,1
2018,01,117,Alabama,Shelby County,poverty,High Poverty Tracts,NA,NA
2018,01,117,Alabama,Shelby County,poverty,Not High Poverty Tracts,11,1
2018,01,117,Alabama,Shelby County,race-ethnicity,Majority Non-White,NA,NA
2018,01,117,Alabama,Shelby County,race-ethnicity,"Majority White, Non-Hispanic",11,1
2018,01,117,Alabama,Shelby County,race-ethnicity,No Majority Race/Ethnicity,9,1
2018,01,119,Alabama,Sumter County,all,All,17,1
2018,01,119,Alabama,Sumter County,poverty,High Poverty Tracts,NA,NA
2018,01,119,Alabama,Sumter County,poverty,Not High Poverty Tracts,18,1
2018,01,119,Alabama,Sumter County,race-ethnicity,Majority Non-White,17,1
2018,01,119,Alabama,Sumter County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,01,119,Alabama,Sumter County,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,121,Alabama,Talladega County,all,All,22,1
2018,01,121,Alabama,Talladega County,poverty,High Poverty Tracts,26,1
2018,01,121,Alabama,Talladega County,poverty,Not High Poverty Tracts,22,1
