year,state,place,state_name,place_name,subgroup_type,subgroup,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality
2017,04,77000,Arizona,Tucson city,income,Low Income,1.0216945,0.51717526,1.5262139,2
2017,04,77000,Arizona,Tucson city,income,Not Low-Income,1.4504627,0.95243484,1.9484906,2
2017,04,85540,Arizona,Yuma city,all,All,1.0327247,0.82317227,1.2422771,1
2017,04,85540,Arizona,Yuma city,income,Low Income,1.0676847,0.8562687,1.2791007,1
2017,04,85540,Arizona,Yuma city,income,Not Low-Income,0.98655361,0.54832172,1.4247854,1
2017,05,23290,Arkansas,Fayetteville city,all,All,0.89648151,0.71484071,1.0781224,1
2017,05,23290,Arkansas,Fayetteville city,income,Low Income,0.8382284,0.58053392,1.0959228,1
2017,05,23290,Arkansas,Fayetteville city,income,Not Low-Income,0.8636207,0.66949046,1.0577509,1
2017,05,24550,Arkansas,Fort Smith city,all,All,1.0500624,0.88975453,1.2103703,1
2017,05,24550,Arkansas,Fort Smith city,income,Low Income,0.93431067,0.76887053,1.0997508,1
2017,05,24550,Arkansas,Fort Smith city,income,Not Low-Income,1.2269074,0.98464048,1.4691743,1
2017,05,35710,Arkansas,Jonesboro city,all,All,0.99228662,0.70674312,1.2778302,1
2017,05,35710,Arkansas,Jonesboro city,income,Low Income,1.0630839,0.7604264,1.3657414,1
2017,05,35710,Arkansas,Jonesboro city,income,Not Low-Income,1.0387026,0.61126137,1.4661437,1
2017,05,41000,Arkansas,Little Rock city,all,All,0.84009838,0.72116882,0.95902801,1
2017,05,41000,Arkansas,Little Rock city,income,Low Income,0.86937451,0.73601103,1.002738,1
2017,05,41000,Arkansas,Little Rock city,income,Not Low-Income,0.72962326,0.57887316,0.88037342,1
2017,05,66080,Arkansas,Springdale city,all,All,0.97905791,0.86227655,1.0958393,1
2017,05,66080,Arkansas,Springdale city,income,Low Income,0.94394177,0.80807221,1.0798113,1
2017,05,66080,Arkansas,Springdale city,income,Not Low-Income,0.81080848,0.64834046,0.9732765,1
2017,06,00562,California,Alameda city,all,All,1.0466795,0.86225927,1.2310997,1
2017,06,00562,California,Alameda city,income,Low Income,1.0806656,0.79219258,1.3691386,1
2017,06,00562,California,Alameda city,income,Not Low-Income,1.0727444,0.89621711,1.2492716,1
2017,06,00884,California,Alhambra city,all,All,1.2848969,1.1302552,1.4395385,1
2017,06,00884,California,Alhambra city,income,Low Income,1.2648008,1.1033747,1.4262269,1
2017,06,00884,California,Alhambra city,income,Not Low-Income,1.2506301,1.0244994,1.4767609,1
2017,06,02000,California,Anaheim city,all,All,0.93655139,0.79025978,1.0828429,1
2017,06,02000,California,Anaheim city,income,Low Income,0.94565862,0.81258076,1.0787364,1
2017,06,02000,California,Anaheim city,income,Not Low-Income,0.68842542,0.24978197,1.127069,2
2017,06,02252,California,Antioch city,all,All,0.99355137,0.8511188,1.1359839,2
2017,06,02252,California,Antioch city,income,Low Income,0.97974318,0.82554382,1.1339426,2
2017,06,02252,California,Antioch city,income,Not Low-Income,1.0561186,0.8632586,1.2489786,2
2017,06,02364,California,Apple Valley town,all,All,0.95998055,0.80047745,1.1194837,1
2017,06,02364,California,Apple Valley town,income,Low Income,0.95839435,0.79037046,1.1264182,1
2017,06,02364,California,Apple Valley town,income,Not Low-Income,0.9386127,0.71042436,1.1668011,1
2017,06,03526,California,Bakersfield city,all,All,1.1727148,1.0036114,1.3418182,1
2017,06,03526,California,Bakersfield city,income,Low Income,1.2028415,1.0219938,1.3836892,1
2017,06,03526,California,Bakersfield city,income,Not Low-Income,1.252005,0.99868768,1.5053222,1
2017,06,04982,California,Bellflower city,all,All,1.1626883,0.9937706,1.3316059,1
2017,06,04982,California,Bellflower city,income,Low Income,1.166278,0.98626328,1.3462927,1
2017,06,04982,California,Bellflower city,income,Not Low-Income,1.197812,0.9614538,1.4341701,1
2017,06,06000,California,Berkeley city,all,All,1.2620597,0.7289784,1.795141,3
2017,06,06000,California,Berkeley city,income,Low Income,1.0685353,0.33738437,1.7996863,3
2017,06,06000,California,Berkeley city,income,Not Low-Income,1.389207,0.84003955,1.9383745,3
2017,06,08786,California,Buena Park city,all,All,0.98042285,0.77543688,1.1854089,1
2017,06,08786,California,Buena Park city,income,Low Income,1.0560465,0.84014869,1.2719443,1
2017,06,08786,California,Buena Park city,income,Not Low-Income,0.89017695,0.59543371,1.1849202,1
2017,06,08954,California,Burbank city,all,All,0.94087148,0.7837137,1.0980293,1
2017,06,08954,California,Burbank city,income,Low Income,0.96125495,0.74685693,1.175653,1
2017,06,08954,California,Burbank city,income,Not Low-Income,0.9280898,0.76548219,1.0906974,1
2017,06,11194,California,Carlsbad city,all,All,1.0438484,0.87206042,1.2156364,1
2017,06,11194,California,Carlsbad city,income,Low Income,1.2494483,0.94476974,1.5541269,1
2017,06,11194,California,Carlsbad city,income,Not Low-Income,1.0073134,0.85075372,1.163873,1
2017,06,11530,California,Carson city,all,All,NA,NA,NA,NA
2017,06,11530,California,Carson city,income,Low Income,NA,NA,NA,NA
2017,06,11530,California,Carson city,income,Not Low-Income,NA,NA,NA,NA
2017,06,13014,California,Chico city,all,All,1.2907281,1.1237583,1.4576979,1
2017,06,13014,California,Chico city,income,Low Income,1.296013,1.0311941,1.5608319,2
2017,06,13014,California,Chico city,income,Not Low-Income,1.1836561,0.99200523,1.375307,1
2017,06,13210,California,Chino city,all,All,0.96211368,0.85187095,1.0723563,1
2017,06,13210,California,Chino city,income,Low Income,0.99878204,0.86261797,1.1349461,1
2017,06,13210,California,Chino city,income,Not Low-Income,0.94199818,0.81799346,1.0660028,1
2017,06,13214,California,Chino Hills city,all,All,NA,NA,NA,NA
2017,06,13214,California,Chino Hills city,income,Low Income,NA,NA,NA,NA
2017,06,13214,California,Chino Hills city,income,Not Low-Income,NA,NA,NA,NA
2017,06,13392,California,Chula Vista city,all,All,1.048663,0.96873754,1.1285884,1
2017,06,13392,California,Chula Vista city,income,Low Income,1.0269266,0.92910761,1.1247456,1
2017,06,13392,California,Chula Vista city,income,Not Low-Income,1.072859,0.98209721,1.1636208,1
2017,06,13588,California,Citrus Heights city,all,All,NA,NA,NA,NA
2017,06,13588,California,Citrus Heights city,income,Low Income,NA,NA,NA,NA
2017,06,13588,California,Citrus Heights city,income,Not Low-Income,NA,NA,NA,NA
2017,06,14218,California,Clovis city,all,All,1.1255575,1.0345609,1.2165542,1
2017,06,14218,California,Clovis city,income,Low Income,1.1466812,1.0250684,1.268294,1
2017,06,14218,California,Clovis city,income,Not Low-Income,1.066136,0.97049624,1.1617757,1
2017,06,15044,California,Compton city,all,All,0.9584983,0.84166026,1.0753363,1
2017,06,15044,California,Compton city,income,Low Income,0.96279746,0.85509568,1.0704993,1
2017,06,15044,California,Compton city,income,Not Low-Income,0.88378888,0.57277536,1.1948024,1
2017,06,16000,California,Concord city,all,All,1.0820061,0.97888082,1.1851313,1
2017,06,16000,California,Concord city,income,Low Income,1.1097146,0.9747749,1.2446543,1
2017,06,16000,California,Concord city,income,Not Low-Income,1.0223655,0.91222316,1.1325077,1
2017,06,16350,California,Corona city,all,All,1.0333523,0.89868432,1.1680201,1
2017,06,16350,California,Corona city,income,Low Income,0.97123837,0.84751362,1.0949632,1
2017,06,16350,California,Corona city,income,Not Low-Income,0.80282521,0.35480076,1.2508496,3
2017,06,16532,California,Costa Mesa city,all,All,0.97657305,0.85066497,1.1024811,1
2017,06,16532,California,Costa Mesa city,income,Low Income,1.0357912,0.87304574,1.1985365,1
2017,06,16532,California,Costa Mesa city,income,Not Low-Income,0.94889832,0.81312644,1.0846702,1
2017,06,17918,California,Daly City city,all,All,1.1489615,0.9144578,1.3834652,1
2017,06,17918,California,Daly City city,income,Low Income,1.1273248,0.85681957,1.3978301,1
2017,06,17918,California,Daly City city,income,Not Low-Income,1.0869627,0.83521903,1.3387064,1
2017,06,19766,California,Downey city,all,All,1.0323514,0.90236026,1.1623424,1
2017,06,19766,California,Downey city,income,Low Income,1.0317397,0.89924276,1.1642367,1
2017,06,19766,California,Downey city,income,Not Low-Income,1.0142611,0.81210375,1.2164185,1
2017,06,21712,California,El Cajon city,all,All,1.1160067,0.95878863,1.2732247,2
2017,06,21712,California,El Cajon city,income,Low Income,1.1320764,1.0002118,1.2639409,2
2017,06,21712,California,El Cajon city,income,Not Low-Income,0.93827444,0.76007968,1.1164693,2
2017,06,22020,California,Elk Grove city,all,All,1.1217085,1.0473984,1.1960186,1
2017,06,22020,California,Elk Grove city,income,Low Income,1.105163,1.0202956,1.1900303,1
2017,06,22020,California,Elk Grove city,income,Not Low-Income,1.0835762,0.9915126,1.1756399,1
2017,06,22230,California,El Monte city,all,All,1.3086005,1.1342753,1.4829258,1
2017,06,22230,California,El Monte city,income,Low Income,1.3397728,1.1716893,1.5078564,1
2017,06,22230,California,El Monte city,income,Not Low-Income,1.3057551,0.87846762,1.7330427,2
2017,06,22804,California,Escondido city,all,All,1.2763628,1.1500866,1.402639,1
2017,06,22804,California,Escondido city,income,Low Income,1.3302543,1.2127669,1.4477417,1
2017,06,22804,California,Escondido city,income,Not Low-Income,1.2511603,1.0666934,1.4356271,1
2017,06,23182,California,Fairfield city,all,All,1.0300581,0.88107246,1.1790439,1
2017,06,23182,California,Fairfield city,income,Low Income,1.0146514,0.84825438,1.1810485,1
2017,06,23182,California,Fairfield city,income,Not Low-Income,0.99539649,0.81036466,1.1804284,1
2017,06,24638,California,Folsom city,all,All,NA,NA,NA,NA
2017,06,24638,California,Folsom city,income,Low Income,NA,NA,NA,NA
2017,06,24638,California,Folsom city,income,Not Low-Income,NA,NA,NA,NA
2017,06,24680,California,Fontana city,all,All,1.0876005,0.99227852,1.1829224,1
2017,06,24680,California,Fontana city,income,Low Income,1.0904584,1.0031023,1.1778145,1
2017,06,24680,California,Fontana city,income,Not Low-Income,0.87882662,0.60872495,1.1489283,1
2017,06,26000,California,Fremont city,all,All,1.0827476,0.98263133,1.1828638,1
2017,06,26000,California,Fremont city,income,Low Income,1.0516121,0.86490166,1.2383226,1
2017,06,26000,California,Fremont city,income,Not Low-Income,1.0651135,0.97518092,1.1550462,1
2017,06,27000,California,Fresno city,all,All,1.0538182,0.94844836,1.159188,1
2017,06,27000,California,Fresno city,income,Low Income,1.0678804,0.96960604,1.1661549,1
2017,06,27000,California,Fresno city,income,Not Low-Income,0.86596578,0.66853678,1.0633948,1
2017,06,28000,California,Fullerton city,all,All,1.13957,1.0072265,1.2719135,1
2017,06,28000,California,Fullerton city,income,Low Income,1.1356294,0.9661631,1.3050957,1
2017,06,28000,California,Fullerton city,income,Not Low-Income,1.1051965,0.96128827,1.2491046,1
2017,06,29000,California,Garden Grove city,all,All,1.3665123,1.2776824,1.4553422,1
2017,06,29000,California,Garden Grove city,income,Low Income,1.3681536,1.2751662,1.461141,1
2017,06,29000,California,Garden Grove city,income,Not Low-Income,1.3455408,1.2166765,1.4744051,1
2017,06,30000,California,Glendale city,all,All,1.0545855,0.9357785,1.1733924,1
2017,06,30000,California,Glendale city,income,Low Income,1.0763019,0.93439084,1.218213,1
2017,06,30000,California,Glendale city,income,Not Low-Income,1.05299,0.91427064,1.1917093,1
2017,06,32548,California,Hawthorne city,all,All,1.1653476,0.97333813,1.357357,1
2017,06,32548,California,Hawthorne city,income,Low Income,1.1603941,0.98144478,1.3393433,1
2017,06,32548,California,Hawthorne city,income,Not Low-Income,1.1709663,0.7949304,1.5470022,1
2017,06,33000,California,Hayward city,all,All,1.3102049,1.1851816,1.4352281,1
2017,06,33000,California,Hayward city,income,Low Income,1.3319093,1.199904,1.4639146,1
2017,06,33000,California,Hayward city,income,Not Low-Income,1.2607236,1.0828503,1.4385968,1
2017,06,33182,California,Hemet city,all,All,0.99049455,0.86434412,1.116645,1
2017,06,33182,California,Hemet city,income,Low Income,0.98579478,0.86370587,1.1078837,1
2017,06,33182,California,Hemet city,income,Not Low-Income,0.97946012,0.74241608,1.2165042,1
2017,06,33434,California,Hesperia city,all,All,0.95762277,0.83313048,1.0821151,1
2017,06,33434,California,Hesperia city,income,Low Income,0.94517863,0.8188262,1.0715311,1
2017,06,33434,California,Hesperia city,income,Not Low-Income,1.0642838,0.86716688,1.2614008,1
2017,06,36000,California,Huntington Beach city,all,All,1.0865322,0.91300297,1.2600616,1
2017,06,36000,California,Huntington Beach city,income,Low Income,1.2395241,0.97563136,1.5034168,1
2017,06,36000,California,Huntington Beach city,income,Not Low-Income,1.0551541,0.88897818,1.22133,1
2017,06,36448,California,Indio city,all,All,NA,NA,NA,NA
2017,06,36448,California,Indio city,income,Low Income,NA,NA,NA,NA
2017,06,36448,California,Indio city,income,Not Low-Income,NA,NA,NA,NA
2017,06,36546,California,Inglewood city,all,All,0.98813498,0.8348549,1.141415,1
2017,06,36546,California,Inglewood city,income,Low Income,0.96489394,0.82047337,1.1093144,1
2017,06,36546,California,Inglewood city,income,Not Low-Income,1.0911608,0.74666339,1.4356581,1
2017,06,36770,California,Irvine city,all,All,1.0681034,0.96436268,1.1718441,1
2017,06,36770,California,Irvine city,income,Low Income,1.1224151,0.8836025,1.3612276,1
2017,06,36770,California,Irvine city,income,Not Low-Income,1.1060574,1.016933,1.1951818,1
2017,06,37692,California,Jurupa Valley city,all,All,1.0838259,0.94823873,1.2194132,1
2017,06,37692,California,Jurupa Valley city,income,Low Income,1.077576,0.94707984,1.2080723,1
2017,06,37692,California,Jurupa Valley city,income,Not Low-Income,1.0958779,0.83519644,1.3565594,1
2017,06,39496,California,Lake Forest city,all,All,NA,NA,NA,NA
2017,06,39496,California,Lake Forest city,income,Low Income,NA,NA,NA,NA
2017,06,39496,California,Lake Forest city,income,Not Low-Income,NA,NA,NA,NA
2017,06,39892,California,Lakewood city,all,All,NA,NA,NA,NA
2017,06,39892,California,Lakewood city,income,Low Income,NA,NA,NA,NA
2017,06,39892,California,Lakewood city,income,Not Low-Income,NA,NA,NA,NA
2017,06,40130,California,Lancaster city,all,All,1.1839614,1.0301887,1.3377339,1
2017,06,40130,California,Lancaster city,income,Low Income,1.1602017,1.0110763,1.3093271,1
2017,06,40130,California,Lancaster city,income,Not Low-Income,1.4015782,1.1121035,1.6910528,1
2017,06,41992,California,Livermore city,all,All,1.1016427,0.93768477,1.2656007,1
2017,06,41992,California,Livermore city,income,Low Income,0.97627497,0.70774078,1.2448092,1
2017,06,41992,California,Livermore city,income,Not Low-Income,1.1260936,0.97226506,1.2799221,1
2017,06,43000,California,Long Beach city,all,All,1.2251835,1.1579545,1.2924125,1
2017,06,43000,California,Long Beach city,income,Low Income,1.2379153,1.1673981,1.3084325,1
2017,06,43000,California,Long Beach city,income,Not Low-Income,1.1822259,1.0851556,1.2792963,1
2017,06,44000,California,Los Angeles city,all,All,1.0389625,1.0150136,1.0629114,1
2017,06,44000,California,Los Angeles city,income,Low Income,1.050598,1.0275488,1.0736473,1
2017,06,44000,California,Los Angeles city,income,Not Low-Income,0.96628648,0.92012978,1.0124432,1
2017,06,45484,California,Manteca city,all,All,1.2668494,1.1394836,1.3942152,1
2017,06,45484,California,Manteca city,income,Low Income,1.2801737,1.1468867,1.4134606,1
2017,06,45484,California,Manteca city,income,Not Low-Income,1.2086923999999999,1.023743,1.3936418,1
2017,06,46842,California,Menifee city,all,All,1.0704601,0.91828799,1.2226322,1
2017,06,46842,California,Menifee city,income,Low Income,1.0793906,0.88174373,1.2770375,1
2017,06,46842,California,Menifee city,income,Not Low-Income,1.0685965,0.90519124,1.2320017,1
2017,06,46898,California,Merced city,all,All,1.0684544,0.86342841,1.2734804,1
2017,06,46898,California,Merced city,income,Low Income,1.0507932,0.85430568,1.2472807,1
2017,06,46898,California,Merced city,income,Not Low-Income,1.0335034,0.66582787,1.401179,1
2017,06,47766,California,Milpitas city,all,All,1.3879143,1.1967152,1.5791134,1
2017,06,47766,California,Milpitas city,income,Low Income,1.4756979,1.197735,1.7536608,2
2017,06,47766,California,Milpitas city,income,Not Low-Income,1.293036,1.0948443,1.4912276,1
2017,06,48256,California,Mission Viejo city,all,All,1.1598039,1.0481815,1.2714262,1
2017,06,48256,California,Mission Viejo city,income,Low Income,1.2455733,1.0664608,1.4246857,1
2017,06,48256,California,Mission Viejo city,income,Not Low-Income,1.1121659,1.0065875,1.2177444,1
2017,06,48354,California,Modesto city,all,All,1.1092035,0.92208022,1.2963266,1
2017,06,48354,California,Modesto city,income,Low Income,1.0910729,0.90863043,1.2735153,1
2017,06,48354,California,Modesto city,income,Not Low-Income,1.1499637,0.88463724,1.4152902,1
2017,06,49270,California,Moreno Valley city,all,All,0.89966512,0.79934484,0.9999854,1
2017,06,49270,California,Moreno Valley city,income,Low Income,0.88140309,0.78559804,0.97720814,1
2017,06,49270,California,Moreno Valley city,income,Not Low-Income,0.99557519,0.79484332,1.1963071,1
2017,06,49670,California,Mountain View city,all,All,1.0855143,0.86657274,1.3044559,1
2017,06,49670,California,Mountain View city,income,Low Income,1.1618794,0.86213714,1.4616218,1
2017,06,49670,California,Mountain View city,income,Not Low-Income,1.1082767,0.88215411,1.3343993,1
2017,06,50076,California,Murrieta city,all,All,1.0284711,0.90214944,1.1547928,1
2017,06,50076,California,Murrieta city,income,Low Income,1.0501617,0.8697651,1.2305583,1
2017,06,50076,California,Murrieta city,income,Not Low-Income,0.99494863,0.8681165,1.1217808,1
2017,06,50258,California,Napa city,all,All,1.1523156,1.0113978,1.2932334,1
2017,06,50258,California,Napa city,income,Low Income,1.1975538,1.027055,1.3680525,1
2017,06,50258,California,Napa city,income,Not Low-Income,1.1133155,0.95125812,1.2753729,1
2017,06,51182,California,Newport Beach city,all,All,NA,NA,NA,NA
2017,06,51182,California,Newport Beach city,income,Low Income,NA,NA,NA,NA
2017,06,51182,California,Newport Beach city,income,Not Low-Income,NA,NA,NA,NA
2017,06,52526,California,Norwalk city,all,All,0.87353981,0.73415595,1.0129237,1
2017,06,52526,California,Norwalk city,income,Low Income,0.87272054,0.72935742,1.0160836,1
2017,06,52526,California,Norwalk city,income,Not Low-Income,0.89969003,0.68812656,1.1112535,1
2017,06,53000,California,Oakland city,all,All,1.0540106,0.96944463,1.1385766,2
2017,06,53000,California,Oakland city,income,Low Income,1.1016135,1.0174398,1.1857872,2
2017,06,53000,California,Oakland city,income,Not Low-Income,0.90921611,0.76749629,1.050936,2
2017,06,53322,California,Oceanside city,all,All,1.1201097,0.99120593,1.2490134,1
2017,06,53322,California,Oceanside city,income,Low Income,1.1868474,1.0454307,1.3282642,1
2017,06,53322,California,Oceanside city,income,Not Low-Income,0.94883478,0.77873522,1.1189343,1
2017,06,53896,California,Ontario city,all,All,1.2304121,1.0967942,1.36403,1
2017,06,53896,California,Ontario city,income,Low Income,1.2456625,1.1225022,1.3688227,1
2017,06,53896,California,Ontario city,income,Not Low-Income,1.210095,0.92868662,1.4915035,1
2017,06,53980,California,Orange city,all,All,1.0677049,0.95706093,1.1783489,1
2017,06,53980,California,Orange city,income,Low Income,1.1026198,0.96466786,1.2405716,1
2017,06,53980,California,Orange city,income,Not Low-Income,1.0004073,0.87702686,1.1237878,1
2017,06,54652,California,Oxnard city,all,All,1.1730261,1.0087534,1.3372988,1
2017,06,54652,California,Oxnard city,income,Low Income,1.180698,1.0245399,1.3368562,1
2017,06,54652,California,Oxnard city,income,Not Low-Income,1.0804809,0.71825659,1.4427053,2
2017,06,55156,California,Palmdale city,all,All,1.0809723,0.94639754,1.215547,1
2017,06,55156,California,Palmdale city,income,Low Income,1.097509,0.96876413,1.226254,1
2017,06,55156,California,Palmdale city,income,Not Low-Income,1.0029676,0.76795501,1.2379802,1
2017,06,56000,California,Pasadena city,all,All,0.84533155,0.70746815,0.98319495,1
2017,06,56000,California,Pasadena city,income,Low Income,0.83296067,0.68343425,0.98248708,1
2017,06,56000,California,Pasadena city,income,Not Low-Income,0.84175074,0.65613568,1.0273658,1
2017,06,56700,California,Perris city,all,All,0.9215458,0.76985294,1.0732387,1
2017,06,56700,California,Perris city,income,Low Income,0.92401242,0.78441381,1.063611,1
2017,06,56700,California,Perris city,income,Not Low-Income,0.85151339,0.40916467,1.2938622,1
2017,06,57456,California,Pittsburg city,all,All,0.87546682,0.69692314,1.0540105,1
2017,06,57456,California,Pittsburg city,income,Low Income,0.87327135,0.70550483,1.0410378,1
2017,06,57456,California,Pittsburg city,income,Not Low-Income,0.69040465,0.28894147,1.0918678,1
2017,06,57792,California,Pleasanton city,all,All,1.1720189,1.0184484,1.3255894,1
2017,06,57792,California,Pleasanton city,income,Low Income,1.1908401,0.73280966,1.6488706,1
2017,06,57792,California,Pleasanton city,income,Not Low-Income,1.1809785,1.0536871,1.30827,1
2017,06,58072,California,Pomona city,all,All,1.2003043,1.0842084,1.3164002,1
2017,06,58072,California,Pomona city,income,Low Income,1.2338171,1.1251804,1.3424538,1
2017,06,58072,California,Pomona city,income,Not Low-Income,1.0001683,0.73584229,1.2644943,1
2017,06,59444,California,Rancho Cordova city,all,All,1.0963913,0.96358848,1.2291942,1
2017,06,59444,California,Rancho Cordova city,income,Low Income,1.2464505,1.0440011,1.4489,1
2017,06,59444,California,Rancho Cordova city,income,Not Low-Income,1.0201049,0.89116234,1.1490474,1
2017,06,59451,California,Rancho Cucamonga city,all,All,1.0985099,0.83749795,1.3595219,1
2017,06,59451,California,Rancho Cucamonga city,income,Low Income,1.1267468,0.83958036,1.4139131,1
2017,06,59451,California,Rancho Cucamonga city,income,Not Low-Income,1.0508881,0.71303284,1.3887433,1
2017,06,59920,California,Redding city,all,All,1.078133,0.73571932,1.4205467,1
2017,06,59920,California,Redding city,income,Low Income,1.0214045,0.61773247,1.4250766,1
2017,06,59920,California,Redding city,income,Not Low-Income,1.0856313,0.6515913,1.5196712000000001,1
2017,06,60102,California,Redwood City city,all,All,1.259253,1.0937771,1.424729,1
2017,06,60102,California,Redwood City city,income,Low Income,1.2333069,1.0499418,1.416672,1
2017,06,60102,California,Redwood City city,income,Not Low-Income,1.0761329,0.8584702,1.2937956,1
