year,state,place,state_name,place_name,subgroup_type,subgroup,environmental,environmental_quality
2018,04,12000,Arizona,Chandler city,race-ethnicity,"Majority White, Non-Hispanic",23,1
2018,04,12000,Arizona,Chandler city,race-ethnicity,No Majority Race/Ethnicity,16,1
2018,04,23620,Arizona,Flagstaff city,all,All,92,1
2018,04,23620,Arizona,Flagstaff city,poverty,High Poverty Tracts,89,1
2018,04,23620,Arizona,Flagstaff city,poverty,Not High Poverty Tracts,95,1
2018,04,23620,Arizona,Flagstaff city,race-ethnicity,Majority Non-White,NA,NA
2018,04,23620,Arizona,Flagstaff city,race-ethnicity,"Majority White, Non-Hispanic",91,1
2018,04,23620,Arizona,Flagstaff city,race-ethnicity,No Majority Race/Ethnicity,95,1
2018,04,27400,Arizona,Gilbert town,all,All,26,1
2018,04,27400,Arizona,Gilbert town,poverty,High Poverty Tracts,NA,NA
2018,04,27400,Arizona,Gilbert town,poverty,Not High Poverty Tracts,26,1
2018,04,27400,Arizona,Gilbert town,race-ethnicity,Majority Non-White,NA,NA
2018,04,27400,Arizona,Gilbert town,race-ethnicity,"Majority White, Non-Hispanic",26,1
2018,04,27400,Arizona,Gilbert town,race-ethnicity,No Majority Race/Ethnicity,19,1
2018,04,27820,Arizona,Glendale city,all,All,26,1
2018,04,27820,Arizona,Glendale city,poverty,High Poverty Tracts,26,1
2018,04,27820,Arizona,Glendale city,poverty,Not High Poverty Tracts,26,1
2018,04,27820,Arizona,Glendale city,race-ethnicity,Majority Non-White,26,1
2018,04,27820,Arizona,Glendale city,race-ethnicity,"Majority White, Non-Hispanic",27,1
2018,04,27820,Arizona,Glendale city,race-ethnicity,No Majority Race/Ethnicity,26,1
2018,04,28380,Arizona,Goodyear city,all,All,34,1
2018,04,28380,Arizona,Goodyear city,poverty,High Poverty Tracts,NA,NA
2018,04,28380,Arizona,Goodyear city,poverty,Not High Poverty Tracts,34,1
2018,04,28380,Arizona,Goodyear city,race-ethnicity,Majority Non-White,26,1
2018,04,28380,Arizona,Goodyear city,race-ethnicity,"Majority White, Non-Hispanic",57,1
2018,04,28380,Arizona,Goodyear city,race-ethnicity,No Majority Race/Ethnicity,27,1
2018,04,46000,Arizona,Mesa city,all,All,27,1
2018,04,46000,Arizona,Mesa city,poverty,High Poverty Tracts,26,1
2018,04,46000,Arizona,Mesa city,poverty,Not High Poverty Tracts,27,1
2018,04,46000,Arizona,Mesa city,race-ethnicity,Majority Non-White,26,1
2018,04,46000,Arizona,Mesa city,race-ethnicity,"Majority White, Non-Hispanic",29,1
2018,04,46000,Arizona,Mesa city,race-ethnicity,No Majority Race/Ethnicity,24,1
2018,04,54050,Arizona,Peoria city,all,All,34,1
2018,04,54050,Arizona,Peoria city,poverty,High Poverty Tracts,NA,NA
2018,04,54050,Arizona,Peoria city,poverty,Not High Poverty Tracts,34,1
2018,04,54050,Arizona,Peoria city,race-ethnicity,Majority Non-White,26,1
2018,04,54050,Arizona,Peoria city,race-ethnicity,"Majority White, Non-Hispanic",37,1
2018,04,54050,Arizona,Peoria city,race-ethnicity,No Majority Race/Ethnicity,26,1
2018,04,55000,Arizona,Phoenix city,all,All,26,1
2018,04,55000,Arizona,Phoenix city,poverty,High Poverty Tracts,22,1
2018,04,55000,Arizona,Phoenix city,poverty,Not High Poverty Tracts,26,1
2018,04,55000,Arizona,Phoenix city,race-ethnicity,Majority Non-White,23,1
2018,04,55000,Arizona,Phoenix city,race-ethnicity,"Majority White, Non-Hispanic",31,1
2018,04,55000,Arizona,Phoenix city,race-ethnicity,No Majority Race/Ethnicity,22,1
2018,04,65000,Arizona,Scottsdale city,all,All,37,1
2018,04,65000,Arizona,Scottsdale city,poverty,High Poverty Tracts,NA,NA
2018,04,65000,Arizona,Scottsdale city,poverty,Not High Poverty Tracts,37,1
2018,04,65000,Arizona,Scottsdale city,race-ethnicity,Majority Non-White,NA,NA
2018,04,65000,Arizona,Scottsdale city,race-ethnicity,"Majority White, Non-Hispanic",38,1
2018,04,65000,Arizona,Scottsdale city,race-ethnicity,No Majority Race/Ethnicity,26,1
2018,04,71510,Arizona,Surprise city,all,All,53,1
2018,04,71510,Arizona,Surprise city,poverty,High Poverty Tracts,NA,NA
2018,04,71510,Arizona,Surprise city,poverty,Not High Poverty Tracts,54,1
2018,04,71510,Arizona,Surprise city,race-ethnicity,Majority Non-White,26,1
2018,04,71510,Arizona,Surprise city,race-ethnicity,"Majority White, Non-Hispanic",56,1
2018,04,71510,Arizona,Surprise city,race-ethnicity,No Majority Race/Ethnicity,26,1
2018,04,73000,Arizona,Tempe city,all,All,16,1
2018,04,73000,Arizona,Tempe city,poverty,High Poverty Tracts,26,1
2018,04,73000,Arizona,Tempe city,poverty,Not High Poverty Tracts,14,1
2018,04,73000,Arizona,Tempe city,race-ethnicity,Majority Non-White,17,1
2018,04,73000,Arizona,Tempe city,race-ethnicity,"Majority White, Non-Hispanic",14,1
2018,04,73000,Arizona,Tempe city,race-ethnicity,No Majority Race/Ethnicity,19,1
2018,04,77000,Arizona,Tucson city,all,All,59,1
2018,04,77000,Arizona,Tucson city,poverty,High Poverty Tracts,55,1
2018,04,77000,Arizona,Tucson city,poverty,Not High Poverty Tracts,59,1
2018,04,77000,Arizona,Tucson city,race-ethnicity,Majority Non-White,53,1
2018,04,77000,Arizona,Tucson city,race-ethnicity,"Majority White, Non-Hispanic",66,1
2018,04,77000,Arizona,Tucson city,race-ethnicity,No Majority Race/Ethnicity,55,1
2018,04,85540,Arizona,Yuma city,all,All,34,1
2018,04,85540,Arizona,Yuma city,poverty,High Poverty Tracts,41,1
2018,04,85540,Arizona,Yuma city,poverty,Not High Poverty Tracts,33,1
2018,04,85540,Arizona,Yuma city,race-ethnicity,Majority Non-White,37,1
2018,04,85540,Arizona,Yuma city,race-ethnicity,"Majority White, Non-Hispanic",25,1
2018,04,85540,Arizona,Yuma city,race-ethnicity,No Majority Race/Ethnicity,30,1
2018,05,23290,Arkansas,Fayetteville city,all,All,28,1
2018,05,23290,Arkansas,Fayetteville city,poverty,High Poverty Tracts,26,1
2018,05,23290,Arkansas,Fayetteville city,poverty,Not High Poverty Tracts,29,1
2018,05,23290,Arkansas,Fayetteville city,race-ethnicity,Majority Non-White,NA,NA
2018,05,23290,Arkansas,Fayetteville city,race-ethnicity,"Majority White, Non-Hispanic",28,1
2018,05,23290,Arkansas,Fayetteville city,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,05,24550,Arkansas,Fort Smith city,all,All,13,1
2018,05,24550,Arkansas,Fort Smith city,poverty,High Poverty Tracts,13,1
2018,05,24550,Arkansas,Fort Smith city,poverty,Not High Poverty Tracts,14,1
2018,05,24550,Arkansas,Fort Smith city,race-ethnicity,Majority Non-White,14,1
2018,05,24550,Arkansas,Fort Smith city,race-ethnicity,"Majority White, Non-Hispanic",13,1
2018,05,24550,Arkansas,Fort Smith city,race-ethnicity,No Majority Race/Ethnicity,14,1
2018,05,35710,Arkansas,Jonesboro city,all,All,47,1
2018,05,35710,Arkansas,Jonesboro city,poverty,High Poverty Tracts,40,1
2018,05,35710,Arkansas,Jonesboro city,poverty,Not High Poverty Tracts,48,1
2018,05,35710,Arkansas,Jonesboro city,race-ethnicity,Majority Non-White,NA,NA
2018,05,35710,Arkansas,Jonesboro city,race-ethnicity,"Majority White, Non-Hispanic",50,1
2018,05,35710,Arkansas,Jonesboro city,race-ethnicity,No Majority Race/Ethnicity,42,1
2018,05,41000,Arkansas,Little Rock city,all,All,20,1
2018,05,41000,Arkansas,Little Rock city,poverty,High Poverty Tracts,21,1
2018,05,41000,Arkansas,Little Rock city,poverty,Not High Poverty Tracts,20,1
2018,05,41000,Arkansas,Little Rock city,race-ethnicity,Majority Non-White,21,1
2018,05,41000,Arkansas,Little Rock city,race-ethnicity,"Majority White, Non-Hispanic",19,1
2018,05,41000,Arkansas,Little Rock city,race-ethnicity,No Majority Race/Ethnicity,19,1
2018,05,66080,Arkansas,Springdale city,all,All,23,1
2018,05,66080,Arkansas,Springdale city,poverty,High Poverty Tracts,NA,NA
2018,05,66080,Arkansas,Springdale city,poverty,Not High Poverty Tracts,23,1
2018,05,66080,Arkansas,Springdale city,race-ethnicity,Majority Non-White,24,1
2018,05,66080,Arkansas,Springdale city,race-ethnicity,"Majority White, Non-Hispanic",25,1
2018,05,66080,Arkansas,Springdale city,race-ethnicity,No Majority Race/Ethnicity,21,1
2018,06,00562,California,Alameda city,all,All,47,1
2018,06,00562,California,Alameda city,poverty,High Poverty Tracts,NA,NA
2018,06,00562,California,Alameda city,poverty,Not High Poverty Tracts,47,1
2018,06,00562,California,Alameda city,race-ethnicity,Majority Non-White,48,1
2018,06,00562,California,Alameda city,race-ethnicity,"Majority White, Non-Hispanic",47,1
2018,06,00562,California,Alameda city,race-ethnicity,No Majority Race/Ethnicity,47,1
2018,06,00884,California,Alhambra city,all,All,4,1
2018,06,00884,California,Alhambra city,poverty,High Poverty Tracts,NA,NA
2018,06,00884,California,Alhambra city,poverty,Not High Poverty Tracts,4,1
2018,06,00884,California,Alhambra city,race-ethnicity,Majority Non-White,4,1
2018,06,00884,California,Alhambra city,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,00884,California,Alhambra city,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,06,02000,California,Anaheim city,all,All,6,1
2018,06,02000,California,Anaheim city,poverty,High Poverty Tracts,NA,NA
2018,06,02000,California,Anaheim city,poverty,Not High Poverty Tracts,7,1
2018,06,02000,California,Anaheim city,race-ethnicity,Majority Non-White,5,1
2018,06,02000,California,Anaheim city,race-ethnicity,"Majority White, Non-Hispanic",11,1
2018,06,02000,California,Anaheim city,race-ethnicity,No Majority Race/Ethnicity,11,1
2018,06,02252,California,Antioch city,all,All,32,1
2018,06,02252,California,Antioch city,poverty,High Poverty Tracts,NA,NA
2018,06,02252,California,Antioch city,poverty,Not High Poverty Tracts,32,1
2018,06,02252,California,Antioch city,race-ethnicity,Majority Non-White,32,1
2018,06,02252,California,Antioch city,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,02252,California,Antioch city,race-ethnicity,No Majority Race/Ethnicity,38,1
2018,06,02364,California,Apple Valley town,all,All,53,1
2018,06,02364,California,Apple Valley town,poverty,High Poverty Tracts,NA,NA
2018,06,02364,California,Apple Valley town,poverty,Not High Poverty Tracts,54,1
2018,06,02364,California,Apple Valley town,race-ethnicity,Majority Non-White,55,1
2018,06,02364,California,Apple Valley town,race-ethnicity,"Majority White, Non-Hispanic",57,1
2018,06,02364,California,Apple Valley town,race-ethnicity,No Majority Race/Ethnicity,53,1
2018,06,03526,California,Bakersfield city,all,All,24,1
2018,06,03526,California,Bakersfield city,poverty,High Poverty Tracts,21,1
2018,06,03526,California,Bakersfield city,poverty,Not High Poverty Tracts,24,1
2018,06,03526,California,Bakersfield city,race-ethnicity,Majority Non-White,23,1
2018,06,03526,California,Bakersfield city,race-ethnicity,"Majority White, Non-Hispanic",28,1
2018,06,03526,California,Bakersfield city,race-ethnicity,No Majority Race/Ethnicity,24,1
2018,06,04982,California,Bellflower city,all,All,4,1
2018,06,04982,California,Bellflower city,poverty,High Poverty Tracts,NA,NA
2018,06,04982,California,Bellflower city,poverty,Not High Poverty Tracts,4,1
2018,06,04982,California,Bellflower city,race-ethnicity,Majority Non-White,4,1
2018,06,04982,California,Bellflower city,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,04982,California,Bellflower city,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,06,06000,California,Berkeley city,all,All,40,1
2018,06,06000,California,Berkeley city,poverty,High Poverty Tracts,40,1
2018,06,06000,California,Berkeley city,poverty,Not High Poverty Tracts,40,1
2018,06,06000,California,Berkeley city,race-ethnicity,Majority Non-White,40,1
2018,06,06000,California,Berkeley city,race-ethnicity,"Majority White, Non-Hispanic",41,1
2018,06,06000,California,Berkeley city,race-ethnicity,No Majority Race/Ethnicity,39,1
2018,06,08786,California,Buena Park city,all,All,5,1
2018,06,08786,California,Buena Park city,poverty,High Poverty Tracts,NA,NA
2018,06,08786,California,Buena Park city,poverty,Not High Poverty Tracts,5,1
2018,06,08786,California,Buena Park city,race-ethnicity,Majority Non-White,5,1
2018,06,08786,California,Buena Park city,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,08786,California,Buena Park city,race-ethnicity,No Majority Race/Ethnicity,5,1
2018,06,08954,California,Burbank city,all,All,12,1
2018,06,08954,California,Burbank city,poverty,High Poverty Tracts,NA,NA
2018,06,08954,California,Burbank city,poverty,Not High Poverty Tracts,12,1
2018,06,08954,California,Burbank city,race-ethnicity,Majority Non-White,9,1
2018,06,08954,California,Burbank city,race-ethnicity,"Majority White, Non-Hispanic",13,1
2018,06,08954,California,Burbank city,race-ethnicity,No Majority Race/Ethnicity,12,1
2018,06,11194,California,Carlsbad city,all,All,50,1
2018,06,11194,California,Carlsbad city,poverty,High Poverty Tracts,NA,NA
2018,06,11194,California,Carlsbad city,poverty,Not High Poverty Tracts,50,1
2018,06,11194,California,Carlsbad city,race-ethnicity,Majority Non-White,NA,NA
2018,06,11194,California,Carlsbad city,race-ethnicity,"Majority White, Non-Hispanic",50,1
2018,06,11194,California,Carlsbad city,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,06,11530,California,Carson city,all,All,0,1
2018,06,11530,California,Carson city,poverty,High Poverty Tracts,NA,NA
2018,06,11530,California,Carson city,poverty,Not High Poverty Tracts,0,1
2018,06,11530,California,Carson city,race-ethnicity,Majority Non-White,0,1
2018,06,11530,California,Carson city,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,11530,California,Carson city,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,06,13014,California,Chico city,all,All,1,1
2018,06,13014,California,Chico city,poverty,High Poverty Tracts,1,1
2018,06,13014,California,Chico city,poverty,Not High Poverty Tracts,1,1
2018,06,13014,California,Chico city,race-ethnicity,Majority Non-White,NA,NA
2018,06,13014,California,Chico city,race-ethnicity,"Majority White, Non-Hispanic",1,1
2018,06,13014,California,Chico city,race-ethnicity,No Majority Race/Ethnicity,1,1
2018,06,13210,California,Chino city,all,All,9,1
2018,06,13210,California,Chino city,poverty,High Poverty Tracts,NA,NA
2018,06,13210,California,Chino city,poverty,Not High Poverty Tracts,7,1
2018,06,13210,California,Chino city,race-ethnicity,Majority Non-White,9,1
2018,06,13210,California,Chino city,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,13210,California,Chino city,race-ethnicity,No Majority Race/Ethnicity,12,1
2018,06,13214,California,Chino Hills city,all,All,16,1
2018,06,13214,California,Chino Hills city,poverty,High Poverty Tracts,NA,NA
2018,06,13214,California,Chino Hills city,poverty,Not High Poverty Tracts,16,1
2018,06,13214,California,Chino Hills city,race-ethnicity,Majority Non-White,15,1
2018,06,13214,California,Chino Hills city,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,13214,California,Chino Hills city,race-ethnicity,No Majority Race/Ethnicity,18,1
2018,06,13392,California,Chula Vista city,all,All,31,1
2018,06,13392,California,Chula Vista city,poverty,High Poverty Tracts,NA,NA
2018,06,13392,California,Chula Vista city,poverty,Not High Poverty Tracts,31,1
2018,06,13392,California,Chula Vista city,race-ethnicity,Majority Non-White,31,1
2018,06,13392,California,Chula Vista city,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,13392,California,Chula Vista city,race-ethnicity,No Majority Race/Ethnicity,40,1
2018,06,13588,California,Citrus Heights city,all,All,1,1
2018,06,13588,California,Citrus Heights city,poverty,High Poverty Tracts,NA,NA
2018,06,13588,California,Citrus Heights city,poverty,Not High Poverty Tracts,1,1
2018,06,13588,California,Citrus Heights city,race-ethnicity,Majority Non-White,NA,NA
2018,06,13588,California,Citrus Heights city,race-ethnicity,"Majority White, Non-Hispanic",1,1
2018,06,13588,California,Citrus Heights city,race-ethnicity,No Majority Race/Ethnicity,1,1
2018,06,14218,California,Clovis city,all,All,10,1
2018,06,14218,California,Clovis city,poverty,High Poverty Tracts,NA,NA
2018,06,14218,California,Clovis city,poverty,Not High Poverty Tracts,11,1
2018,06,14218,California,Clovis city,race-ethnicity,Majority Non-White,6,1
2018,06,14218,California,Clovis city,race-ethnicity,"Majority White, Non-Hispanic",14,1
2018,06,14218,California,Clovis city,race-ethnicity,No Majority Race/Ethnicity,9,1
2018,06,15044,California,Compton city,all,All,1,1
2018,06,15044,California,Compton city,poverty,High Poverty Tracts,NA,NA
2018,06,15044,California,Compton city,poverty,Not High Poverty Tracts,1,1
2018,06,15044,California,Compton city,race-ethnicity,Majority Non-White,1,1
2018,06,15044,California,Compton city,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,15044,California,Compton city,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,06,16000,California,Concord city,all,All,40,1
2018,06,16000,California,Concord city,poverty,High Poverty Tracts,NA,NA
2018,06,16000,California,Concord city,poverty,Not High Poverty Tracts,40,1
2018,06,16000,California,Concord city,race-ethnicity,Majority Non-White,39,1
2018,06,16000,California,Concord city,race-ethnicity,"Majority White, Non-Hispanic",48,1
2018,06,16000,California,Concord city,race-ethnicity,No Majority Race/Ethnicity,35,1
2018,06,16350,California,Corona city,all,All,15,1
2018,06,16350,California,Corona city,poverty,High Poverty Tracts,NA,NA
2018,06,16350,California,Corona city,poverty,Not High Poverty Tracts,15,1
2018,06,16350,California,Corona city,race-ethnicity,Majority Non-White,13,1
2018,06,16350,California,Corona city,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,16350,California,Corona city,race-ethnicity,No Majority Race/Ethnicity,17,1
2018,06,16532,California,Costa Mesa city,all,All,32,1
2018,06,16532,California,Costa Mesa city,poverty,High Poverty Tracts,NA,NA
2018,06,16532,California,Costa Mesa city,poverty,Not High Poverty Tracts,31,1
2018,06,16532,California,Costa Mesa city,race-ethnicity,Majority Non-White,40,1
2018,06,16532,California,Costa Mesa city,race-ethnicity,"Majority White, Non-Hispanic",37,1
2018,06,16532,California,Costa Mesa city,race-ethnicity,No Majority Race/Ethnicity,21,1
2018,06,17918,California,Daly City city,all,All,68,1
2018,06,17918,California,Daly City city,poverty,High Poverty Tracts,NA,NA
2018,06,17918,California,Daly City city,poverty,Not High Poverty Tracts,68,1
2018,06,17918,California,Daly City city,race-ethnicity,Majority Non-White,68,1
2018,06,17918,California,Daly City city,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,17918,California,Daly City city,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,06,19766,California,Downey city,all,All,4,1
2018,06,19766,California,Downey city,poverty,High Poverty Tracts,NA,NA
2018,06,19766,California,Downey city,poverty,Not High Poverty Tracts,4,1
2018,06,19766,California,Downey city,race-ethnicity,Majority Non-White,4,1
2018,06,19766,California,Downey city,race-ethnicity,"Majority White, Non-Hispanic",9,1
2018,06,19766,California,Downey city,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,06,21712,California,El Cajon city,all,All,20,1
2018,06,21712,California,El Cajon city,poverty,High Poverty Tracts,20,1
2018,06,21712,California,El Cajon city,poverty,Not High Poverty Tracts,21,1
2018,06,21712,California,El Cajon city,race-ethnicity,Majority Non-White,20,1
2018,06,21712,California,El Cajon city,race-ethnicity,"Majority White, Non-Hispanic",21,1
2018,06,21712,California,El Cajon city,race-ethnicity,No Majority Race/Ethnicity,20,1
2018,06,22020,California,Elk Grove city,all,All,6,1
2018,06,22020,California,Elk Grove city,poverty,High Poverty Tracts,NA,NA
2018,06,22020,California,Elk Grove city,poverty,Not High Poverty Tracts,6,1
2018,06,22020,California,Elk Grove city,race-ethnicity,Majority Non-White,6,1
2018,06,22020,California,Elk Grove city,race-ethnicity,"Majority White, Non-Hispanic",6,1
2018,06,22020,California,Elk Grove city,race-ethnicity,No Majority Race/Ethnicity,4,1
2018,06,22230,California,El Monte city,all,All,4,1
2018,06,22230,California,El Monte city,poverty,High Poverty Tracts,NA,NA
2018,06,22230,California,El Monte city,poverty,Not High Poverty Tracts,4,1
2018,06,22230,California,El Monte city,race-ethnicity,Majority Non-White,4,1
2018,06,22230,California,El Monte city,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,22230,California,El Monte city,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,06,22804,California,Escondido city,all,All,37,1
2018,06,22804,California,Escondido city,poverty,High Poverty Tracts,NA,NA
2018,06,22804,California,Escondido city,poverty,Not High Poverty Tracts,38,1
2018,06,22804,California,Escondido city,race-ethnicity,Majority Non-White,37,1
2018,06,22804,California,Escondido city,race-ethnicity,"Majority White, Non-Hispanic",40,1
2018,06,22804,California,Escondido city,race-ethnicity,No Majority Race/Ethnicity,37,1
2018,06,23182,California,Fairfield city,all,All,34,1
2018,06,23182,California,Fairfield city,poverty,High Poverty Tracts,NA,NA
2018,06,23182,California,Fairfield city,poverty,Not High Poverty Tracts,34,1
2018,06,23182,California,Fairfield city,race-ethnicity,Majority Non-White,30,1
2018,06,23182,California,Fairfield city,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,23182,California,Fairfield city,race-ethnicity,No Majority Race/Ethnicity,45,1
2018,06,24638,California,Folsom city,all,All,4,1
2018,06,24638,California,Folsom city,poverty,High Poverty Tracts,NA,NA
2018,06,24638,California,Folsom city,poverty,Not High Poverty Tracts,4,1
2018,06,24638,California,Folsom city,race-ethnicity,Majority Non-White,4,1
2018,06,24638,California,Folsom city,race-ethnicity,"Majority White, Non-Hispanic",4,1
2018,06,24638,California,Folsom city,race-ethnicity,No Majority Race/Ethnicity,5,1
2018,06,24680,California,Fontana city,all,All,11,1
2018,06,24680,California,Fontana city,poverty,High Poverty Tracts,NA,NA
2018,06,24680,California,Fontana city,poverty,Not High Poverty Tracts,11,1
2018,06,24680,California,Fontana city,race-ethnicity,Majority Non-White,11,1
2018,06,24680,California,Fontana city,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,24680,California,Fontana city,race-ethnicity,No Majority Race/Ethnicity,76,1
2018,06,26000,California,Fremont city,all,All,54,1
2018,06,26000,California,Fremont city,poverty,High Poverty Tracts,NA,NA
2018,06,26000,California,Fremont city,poverty,Not High Poverty Tracts,54,1
2018,06,26000,California,Fremont city,race-ethnicity,Majority Non-White,54,1
2018,06,26000,California,Fremont city,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,06,26000,California,Fremont city,race-ethnicity,No Majority Race/Ethnicity,55,1
2018,06,27000,California,Fresno city,all,All,10,1
2018,06,27000,California,Fresno city,poverty,High Poverty Tracts,7,1
