year,state,place,state_name,place_name,in_universe,subgroup,subgroup_type,share_debt_coll,share_debt_coll_quality,index_air_hazard,index_air_hazard_quality,share_transit_commuter,share_transit_commuter_quality,share_transportation_cost,share_transportation_cost_quality
2014,02,03000,Alaska,Anchorage municipality,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,62,Strong,NA,NA,NA,NA
2014,02,03000,Alaska,Anchorage municipality,TRUE,White neighborhoods,race-ethnicity,NA,NA,77,Strong,NA,NA,NA,NA
2014,02,03000,Alaska,Anchorage municipality,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,65,Strong,NA,NA,NA,NA
2014,04,04720,Arizona,Avondale city,TRUE,All,all,NA,NA,8,Strong,NA,NA,NA,NA
2014,04,04720,Arizona,Avondale city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,7,Strong,NA,NA,NA,NA
2014,04,04720,Arizona,Avondale city,TRUE,White neighborhoods,race-ethnicity,NA,NA,9,Strong,NA,NA,NA,NA
2014,04,04720,Arizona,Avondale city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,9,Strong,NA,NA,NA,NA
2014,04,07940,Arizona,Buckeye town,TRUE,All,all,NA,NA,31,Strong,NA,NA,NA,NA
2014,04,07940,Arizona,Buckeye town,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,30,Strong,NA,NA,NA,NA
2014,04,07940,Arizona,Buckeye town,TRUE,White neighborhoods,race-ethnicity,NA,NA,41,Strong,NA,NA,NA,NA
2014,04,07940,Arizona,Buckeye town,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,29,Strong,NA,NA,NA,NA
2014,04,12000,Arizona,Chandler city,TRUE,All,all,NA,NA,16,Strong,NA,NA,NA,NA
2014,04,12000,Arizona,Chandler city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,16,Strong,NA,NA,NA,NA
2014,04,12000,Arizona,Chandler city,TRUE,White neighborhoods,race-ethnicity,NA,NA,17,Strong,NA,NA,NA,NA
2014,04,12000,Arizona,Chandler city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,15,Strong,NA,NA,NA,NA
2014,04,23620,Arizona,Flagstaff city,TRUE,All,all,NA,NA,93,Strong,NA,NA,NA,NA
2014,04,23620,Arizona,Flagstaff city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,94,Strong,NA,NA,NA,NA
2014,04,23620,Arizona,Flagstaff city,TRUE,White neighborhoods,race-ethnicity,NA,NA,93,Strong,NA,NA,NA,NA
2014,04,23620,Arizona,Flagstaff city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,94,Strong,NA,NA,NA,NA
2014,04,27400,Arizona,Gilbert town,TRUE,All,all,NA,NA,18,Strong,NA,NA,NA,NA
2014,04,27400,Arizona,Gilbert town,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,04,27400,Arizona,Gilbert town,TRUE,White neighborhoods,race-ethnicity,NA,NA,18,Strong,NA,NA,NA,NA
2014,04,27400,Arizona,Gilbert town,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,16,Strong,NA,NA,NA,NA
2014,04,27820,Arizona,Glendale city,TRUE,All,all,NA,NA,17,Strong,NA,NA,NA,NA
2014,04,27820,Arizona,Glendale city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,14,Strong,NA,NA,NA,NA
2014,04,27820,Arizona,Glendale city,TRUE,White neighborhoods,race-ethnicity,NA,NA,20,Strong,NA,NA,NA,NA
2014,04,27820,Arizona,Glendale city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,15,Strong,NA,NA,NA,NA
2014,04,28380,Arizona,Goodyear city,TRUE,All,all,NA,NA,16,Strong,NA,NA,NA,NA
2014,04,28380,Arizona,Goodyear city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,15,Strong,NA,NA,NA,NA
2014,04,28380,Arizona,Goodyear city,TRUE,White neighborhoods,race-ethnicity,NA,NA,21,Strong,NA,NA,NA,NA
2014,04,28380,Arizona,Goodyear city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,15,Strong,NA,NA,NA,NA
2014,04,46000,Arizona,Mesa city,TRUE,All,all,NA,NA,19,Strong,NA,NA,NA,NA
2014,04,46000,Arizona,Mesa city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,15,Strong,NA,NA,NA,NA
2014,04,46000,Arizona,Mesa city,TRUE,White neighborhoods,race-ethnicity,NA,NA,21,Strong,NA,NA,NA,NA
2014,04,46000,Arizona,Mesa city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,15,Strong,NA,NA,NA,NA
2014,04,54050,Arizona,Peoria city,TRUE,All,all,NA,NA,23,Strong,NA,NA,NA,NA
2014,04,54050,Arizona,Peoria city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,16,Strong,NA,NA,NA,NA
2014,04,54050,Arizona,Peoria city,TRUE,White neighborhoods,race-ethnicity,NA,NA,26,Strong,NA,NA,NA,NA
2014,04,54050,Arizona,Peoria city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,15,Strong,NA,NA,NA,NA
2014,04,55000,Arizona,Phoenix city,TRUE,All,all,NA,NA,18,Strong,NA,NA,NA,NA
2014,04,55000,Arizona,Phoenix city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,12,Strong,NA,NA,NA,NA
2014,04,55000,Arizona,Phoenix city,TRUE,White neighborhoods,race-ethnicity,NA,NA,25,Strong,NA,NA,NA,NA
2014,04,55000,Arizona,Phoenix city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,17,Strong,NA,NA,NA,NA
2014,04,65000,Arizona,Scottsdale city,TRUE,All,all,NA,NA,33,Strong,NA,NA,NA,NA
2014,04,65000,Arizona,Scottsdale city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,04,65000,Arizona,Scottsdale city,TRUE,White neighborhoods,race-ethnicity,NA,NA,34,Strong,NA,NA,NA,NA
2014,04,65000,Arizona,Scottsdale city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,20,Strong,NA,NA,NA,NA
2014,04,71510,Arizona,Surprise city,TRUE,All,all,NA,NA,32,Strong,NA,NA,NA,NA
2014,04,71510,Arizona,Surprise city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,24,Strong,NA,NA,NA,NA
2014,04,71510,Arizona,Surprise city,TRUE,White neighborhoods,race-ethnicity,NA,NA,32,Strong,NA,NA,NA,NA
2014,04,71510,Arizona,Surprise city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,30,Strong,NA,NA,NA,NA
2014,04,73000,Arizona,Tempe city,TRUE,All,all,NA,NA,14,Strong,NA,NA,NA,NA
2014,04,73000,Arizona,Tempe city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,15,Strong,NA,NA,NA,NA
2014,04,73000,Arizona,Tempe city,TRUE,White neighborhoods,race-ethnicity,NA,NA,14,Strong,NA,NA,NA,NA
2014,04,73000,Arizona,Tempe city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,14,Strong,NA,NA,NA,NA
2014,04,77000,Arizona,Tucson city,TRUE,All,all,NA,NA,29,Strong,NA,NA,NA,NA
2014,04,77000,Arizona,Tucson city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,22,Strong,NA,NA,NA,NA
2014,04,77000,Arizona,Tucson city,TRUE,White neighborhoods,race-ethnicity,NA,NA,39,Strong,NA,NA,NA,NA
2014,04,77000,Arizona,Tucson city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,24,Strong,NA,NA,NA,NA
2014,04,85540,Arizona,Yuma city,TRUE,All,all,NA,NA,25,Strong,NA,NA,NA,NA
2014,04,85540,Arizona,Yuma city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,28,Strong,NA,NA,NA,NA
2014,04,85540,Arizona,Yuma city,TRUE,White neighborhoods,race-ethnicity,NA,NA,27,Strong,NA,NA,NA,NA
2014,04,85540,Arizona,Yuma city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,20,Strong,NA,NA,NA,NA
2014,05,23290,Arkansas,Fayetteville city,TRUE,All,all,NA,NA,52,Strong,NA,NA,NA,NA
2014,05,23290,Arkansas,Fayetteville city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,05,23290,Arkansas,Fayetteville city,TRUE,White neighborhoods,race-ethnicity,NA,NA,52,Strong,NA,NA,NA,NA
2014,05,23290,Arkansas,Fayetteville city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,05,24550,Arkansas,Fort Smith city,TRUE,All,all,NA,NA,20,Strong,NA,NA,NA,NA
2014,05,24550,Arkansas,Fort Smith city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,22,Strong,NA,NA,NA,NA
2014,05,24550,Arkansas,Fort Smith city,TRUE,White neighborhoods,race-ethnicity,NA,NA,20,Strong,NA,NA,NA,NA
2014,05,24550,Arkansas,Fort Smith city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,21,Strong,NA,NA,NA,NA
2014,05,35710,Arkansas,Jonesboro city,TRUE,All,all,NA,NA,51,Strong,NA,NA,NA,NA
2014,05,35710,Arkansas,Jonesboro city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,48,Strong,NA,NA,NA,NA
2014,05,35710,Arkansas,Jonesboro city,TRUE,White neighborhoods,race-ethnicity,NA,NA,52,Strong,NA,NA,NA,NA
2014,05,35710,Arkansas,Jonesboro city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,50,Strong,NA,NA,NA,NA
2014,05,41000,Arkansas,Little Rock city,TRUE,All,all,NA,NA,23,Strong,NA,NA,NA,NA
2014,05,41000,Arkansas,Little Rock city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,23,Strong,NA,NA,NA,NA
2014,05,41000,Arkansas,Little Rock city,TRUE,White neighborhoods,race-ethnicity,NA,NA,24,Strong,NA,NA,NA,NA
2014,05,41000,Arkansas,Little Rock city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,22,Strong,NA,NA,NA,NA
2014,05,66080,Arkansas,Springdale city,TRUE,All,all,NA,NA,42,Strong,NA,NA,NA,NA
2014,05,66080,Arkansas,Springdale city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,41,Strong,NA,NA,NA,NA
2014,05,66080,Arkansas,Springdale city,TRUE,White neighborhoods,race-ethnicity,NA,NA,42,Strong,NA,NA,NA,NA
2014,05,66080,Arkansas,Springdale city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,41,Strong,NA,NA,NA,NA
2014,06,00562,California,Alameda city,TRUE,All,all,NA,NA,56,Strong,NA,NA,NA,NA
2014,06,00562,California,Alameda city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,53,Strong,NA,NA,NA,NA
2014,06,00562,California,Alameda city,TRUE,White neighborhoods,race-ethnicity,NA,NA,56,Strong,NA,NA,NA,NA
2014,06,00562,California,Alameda city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,57,Strong,NA,NA,NA,NA
2014,06,00884,California,Alhambra city,TRUE,All,all,NA,NA,10,Strong,NA,NA,NA,NA
2014,06,00884,California,Alhambra city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,10,Strong,NA,NA,NA,NA
2014,06,00884,California,Alhambra city,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,00884,California,Alhambra city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,02000,California,Anaheim city,TRUE,All,all,NA,NA,10,Strong,NA,NA,NA,NA
2014,06,02000,California,Anaheim city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,8,Strong,NA,NA,NA,NA
2014,06,02000,California,Anaheim city,TRUE,White neighborhoods,race-ethnicity,NA,NA,16,Strong,NA,NA,NA,NA
2014,06,02000,California,Anaheim city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,20,Strong,NA,NA,NA,NA
2014,06,02252,California,Antioch city,TRUE,All,all,NA,NA,61,Strong,NA,NA,NA,NA
2014,06,02252,California,Antioch city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,61,Strong,NA,NA,NA,NA
2014,06,02252,California,Antioch city,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,02252,California,Antioch city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,62,Strong,NA,NA,NA,NA
2014,06,02364,California,Apple Valley town,TRUE,All,all,NA,NA,76,Strong,NA,NA,NA,NA
2014,06,02364,California,Apple Valley town,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,02364,California,Apple Valley town,TRUE,White neighborhoods,race-ethnicity,NA,NA,76,Strong,NA,NA,NA,NA
2014,06,02364,California,Apple Valley town,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,76,Strong,NA,NA,NA,NA
2014,06,03526,California,Bakersfield city,TRUE,All,all,NA,NA,7,Strong,NA,NA,NA,NA
2014,06,03526,California,Bakersfield city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,8,Strong,NA,NA,NA,NA
2014,06,03526,California,Bakersfield city,TRUE,White neighborhoods,race-ethnicity,NA,NA,9,Strong,NA,NA,NA,NA
2014,06,03526,California,Bakersfield city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,4,Strong,NA,NA,NA,NA
2014,06,04982,California,Bellflower city,TRUE,All,all,NA,NA,4,Strong,NA,NA,NA,NA
2014,06,04982,California,Bellflower city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,4,Strong,NA,NA,NA,NA
2014,06,04982,California,Bellflower city,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,04982,California,Bellflower city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,06000,California,Berkeley city,TRUE,All,all,NA,NA,30,Strong,NA,NA,NA,NA
2014,06,06000,California,Berkeley city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,30,Strong,NA,NA,NA,NA
2014,06,06000,California,Berkeley city,TRUE,White neighborhoods,race-ethnicity,NA,NA,30,Strong,NA,NA,NA,NA
2014,06,06000,California,Berkeley city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,30,Strong,NA,NA,NA,NA
2014,06,08786,California,Buena Park city,TRUE,All,all,NA,NA,6,Strong,NA,NA,NA,NA
2014,06,08786,California,Buena Park city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,6,Strong,NA,NA,NA,NA
2014,06,08786,California,Buena Park city,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,08786,California,Buena Park city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,7,Strong,NA,NA,NA,NA
2014,06,08954,California,Burbank city,TRUE,All,all,NA,NA,19,Strong,NA,NA,NA,NA
2014,06,08954,California,Burbank city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,20,Strong,NA,NA,NA,NA
2014,06,08954,California,Burbank city,TRUE,White neighborhoods,race-ethnicity,NA,NA,19,Strong,NA,NA,NA,NA
2014,06,08954,California,Burbank city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,19,Strong,NA,NA,NA,NA
2014,06,11194,California,Carlsbad city,TRUE,All,all,NA,NA,45,Strong,NA,NA,NA,NA
2014,06,11194,California,Carlsbad city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,11194,California,Carlsbad city,TRUE,White neighborhoods,race-ethnicity,NA,NA,45,Strong,NA,NA,NA,NA
2014,06,11194,California,Carlsbad city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,48,Strong,NA,NA,NA,NA
2014,06,11530,California,Carson city,TRUE,All,all,NA,NA,2,Strong,NA,NA,NA,NA
2014,06,11530,California,Carson city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,2,Strong,NA,NA,NA,NA
2014,06,11530,California,Carson city,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,11530,California,Carson city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,13014,California,Chico city,TRUE,All,all,NA,NA,8,Strong,NA,NA,NA,NA
2014,06,13014,California,Chico city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,13014,California,Chico city,TRUE,White neighborhoods,race-ethnicity,NA,NA,9,Strong,NA,NA,NA,NA
2014,06,13014,California,Chico city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,7,Strong,NA,NA,NA,NA
2014,06,13210,California,Chino city,TRUE,All,all,NA,NA,15,Strong,NA,NA,NA,NA
2014,06,13210,California,Chino city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,15,Strong,NA,NA,NA,NA
2014,06,13210,California,Chino city,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,13210,California,Chino city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,20,Strong,NA,NA,NA,NA
2014,06,13214,California,Chino Hills city,TRUE,All,all,NA,NA,21,Strong,NA,NA,NA,NA
2014,06,13214,California,Chino Hills city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,21,Strong,NA,NA,NA,NA
2014,06,13214,California,Chino Hills city,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,13214,California,Chino Hills city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,22,Strong,NA,NA,NA,NA
2014,06,13392,California,Chula Vista city,TRUE,All,all,NA,NA,31,Strong,NA,NA,NA,NA
2014,06,13392,California,Chula Vista city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,31,Strong,NA,NA,NA,NA
2014,06,13392,California,Chula Vista city,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,13392,California,Chula Vista city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,43,Strong,NA,NA,NA,NA
2014,06,13588,California,Citrus Heights city,TRUE,All,all,NA,NA,10,Strong,NA,NA,NA,NA
2014,06,13588,California,Citrus Heights city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,13588,California,Citrus Heights city,TRUE,White neighborhoods,race-ethnicity,NA,NA,10,Strong,NA,NA,NA,NA
2014,06,13588,California,Citrus Heights city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,14218,California,Clovis city,TRUE,All,all,NA,NA,12,Strong,NA,NA,NA,NA
2014,06,14218,California,Clovis city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,14218,California,Clovis city,TRUE,White neighborhoods,race-ethnicity,NA,NA,13,Strong,NA,NA,NA,NA
2014,06,14218,California,Clovis city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,10,Strong,NA,NA,NA,NA
2014,06,15044,California,Compton city,TRUE,All,all,NA,NA,1,Strong,NA,NA,NA,NA
2014,06,15044,California,Compton city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,1,Strong,NA,NA,NA,NA
2014,06,15044,California,Compton city,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,15044,California,Compton city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,16000,California,Concord city,TRUE,All,all,NA,NA,39,Strong,NA,NA,NA,NA
2014,06,16000,California,Concord city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,34,Strong,NA,NA,NA,NA
2014,06,16000,California,Concord city,TRUE,White neighborhoods,race-ethnicity,NA,NA,49,Strong,NA,NA,NA,NA
2014,06,16000,California,Concord city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,37,Strong,NA,NA,NA,NA
2014,06,16350,California,Corona city,TRUE,All,all,NA,NA,39,Strong,NA,NA,NA,NA
2014,06,16350,California,Corona city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,32,Strong,NA,NA,NA,NA
2014,06,16350,California,Corona city,TRUE,White neighborhoods,race-ethnicity,NA,NA,28,Strong,NA,NA,NA,NA
2014,06,16350,California,Corona city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,46,Strong,NA,NA,NA,NA
2014,06,16532,California,Costa Mesa city,TRUE,All,all,NA,NA,29,Strong,NA,NA,NA,NA
2014,06,16532,California,Costa Mesa city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,36,Strong,NA,NA,NA,NA
2014,06,16532,California,Costa Mesa city,TRUE,White neighborhoods,race-ethnicity,NA,NA,31,Strong,NA,NA,NA,NA
2014,06,16532,California,Costa Mesa city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,21,Strong,NA,NA,NA,NA
2014,06,17918,California,Daly City city,TRUE,All,all,NA,NA,82,Strong,NA,NA,NA,NA
2014,06,17918,California,Daly City city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,82,Strong,NA,NA,NA,NA
2014,06,17918,California,Daly City city,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,17918,California,Daly City city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,19766,California,Downey city,TRUE,All,all,NA,NA,5,Strong,NA,NA,NA,NA
2014,06,19766,California,Downey city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,5,Strong,NA,NA,NA,NA
2014,06,19766,California,Downey city,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,19766,California,Downey city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,21712,California,El Cajon city,TRUE,All,all,NA,NA,25,Strong,NA,NA,NA,NA
2014,06,21712,California,El Cajon city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,24,Strong,NA,NA,NA,NA
2014,06,21712,California,El Cajon city,TRUE,White neighborhoods,race-ethnicity,NA,NA,27,Strong,NA,NA,NA,NA
2014,06,21712,California,El Cajon city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,24,Strong,NA,NA,NA,NA
2014,06,22020,California,Elk Grove city,TRUE,All,all,NA,NA,28,Strong,NA,NA,NA,NA
2014,06,22020,California,Elk Grove city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,28,Strong,NA,NA,NA,NA
2014,06,22020,California,Elk Grove city,TRUE,White neighborhoods,race-ethnicity,NA,NA,27,Strong,NA,NA,NA,NA
2014,06,22020,California,Elk Grove city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,27,Strong,NA,NA,NA,NA
2014,06,22230,California,El Monte city,TRUE,All,all,NA,NA,8,Strong,NA,NA,NA,NA
2014,06,22230,California,El Monte city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,8,Strong,NA,NA,NA,NA
2014,06,22230,California,El Monte city,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,22230,California,El Monte city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,06,22804,California,Escondido city,TRUE,All,all,NA,NA,36,Strong,NA,NA,NA,NA
2014,06,22804,California,Escondido city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,36,Strong,NA,NA,NA,NA
2014,06,22804,California,Escondido city,TRUE,White neighborhoods,race-ethnicity,NA,NA,33,Strong,NA,NA,NA,NA
