year,state,place,state_name,place_name,subgroup_type,subgroup,index_air_quality,index_air_quality_quality
2018,05,24550,Arkansas,Fort Smith city,all,All,13,1
2018,05,24550,Arkansas,Fort Smith city,poverty,High Poverty Tracts,13,1
2018,05,24550,Arkansas,Fort Smith city,poverty,Not High Poverty Tracts,14,1
2018,05,35710,Arkansas,Jonesboro city,all,All,47,1
2018,05,35710,Arkansas,Jonesboro city,poverty,High Poverty Tracts,40,1
2018,05,35710,Arkansas,Jonesboro city,poverty,Not High Poverty Tracts,48,1
2018,05,41000,Arkansas,Little Rock city,all,All,20,1
2018,05,41000,Arkansas,Little Rock city,poverty,High Poverty Tracts,21,1
2018,05,41000,Arkansas,Little Rock city,poverty,Not High Poverty Tracts,20,1
2018,05,66080,Arkansas,Springdale city,all,All,23,1
2018,05,66080,Arkansas,Springdale city,poverty,High Poverty Tracts,NA,NA
2018,05,66080,Arkansas,Springdale city,poverty,Not High Poverty Tracts,23,1
2018,06,00562,California,Alameda city,all,All,47,1
2018,06,00562,California,Alameda city,poverty,High Poverty Tracts,NA,NA
2018,06,00562,California,Alameda city,poverty,Not High Poverty Tracts,47,1
2018,06,00884,California,Alhambra city,all,All,4,1
2018,06,00884,California,Alhambra city,poverty,High Poverty Tracts,NA,NA
2018,06,00884,California,Alhambra city,poverty,Not High Poverty Tracts,4,1
2018,06,02000,California,Anaheim city,all,All,6,1
2018,06,02000,California,Anaheim city,poverty,High Poverty Tracts,NA,NA
2018,06,02000,California,Anaheim city,poverty,Not High Poverty Tracts,7,1
2018,06,02252,California,Antioch city,all,All,32,1
2018,06,02252,California,Antioch city,poverty,High Poverty Tracts,NA,NA
2018,06,02252,California,Antioch city,poverty,Not High Poverty Tracts,32,1
2018,06,02364,California,Apple Valley town,all,All,53,1
2018,06,02364,California,Apple Valley town,poverty,High Poverty Tracts,NA,NA
2018,06,02364,California,Apple Valley town,poverty,Not High Poverty Tracts,54,1
2018,06,03526,California,Bakersfield city,all,All,24,1
2018,06,03526,California,Bakersfield city,poverty,High Poverty Tracts,21,1
2018,06,03526,California,Bakersfield city,poverty,Not High Poverty Tracts,24,1
2018,06,04982,California,Bellflower city,all,All,4,1
2018,06,04982,California,Bellflower city,poverty,High Poverty Tracts,NA,NA
2018,06,04982,California,Bellflower city,poverty,Not High Poverty Tracts,4,1
2018,06,06000,California,Berkeley city,all,All,40,1
2018,06,06000,California,Berkeley city,poverty,High Poverty Tracts,40,1
2018,06,06000,California,Berkeley city,poverty,Not High Poverty Tracts,40,1
2018,06,08786,California,Buena Park city,all,All,5,1
2018,06,08786,California,Buena Park city,poverty,High Poverty Tracts,NA,NA
2018,06,08786,California,Buena Park city,poverty,Not High Poverty Tracts,5,1
2018,06,08954,California,Burbank city,all,All,12,1
2018,06,08954,California,Burbank city,poverty,High Poverty Tracts,NA,NA
2018,06,08954,California,Burbank city,poverty,Not High Poverty Tracts,12,1
2018,06,11194,California,Carlsbad city,all,All,50,1
2018,06,11194,California,Carlsbad city,poverty,High Poverty Tracts,NA,NA
2018,06,11194,California,Carlsbad city,poverty,Not High Poverty Tracts,50,1
2018,06,11530,California,Carson city,all,All,0,1
2018,06,11530,California,Carson city,poverty,High Poverty Tracts,NA,NA
2018,06,11530,California,Carson city,poverty,Not High Poverty Tracts,0,1
2018,06,13014,California,Chico city,all,All,1,1
2018,06,13014,California,Chico city,poverty,High Poverty Tracts,1,1
2018,06,13014,California,Chico city,poverty,Not High Poverty Tracts,1,1
2018,06,13210,California,Chino city,all,All,9,1
2018,06,13210,California,Chino city,poverty,High Poverty Tracts,NA,NA
2018,06,13210,California,Chino city,poverty,Not High Poverty Tracts,7,1
2018,06,13214,California,Chino Hills city,all,All,16,1
2018,06,13214,California,Chino Hills city,poverty,High Poverty Tracts,NA,NA
2018,06,13214,California,Chino Hills city,poverty,Not High Poverty Tracts,16,1
2018,06,13392,California,Chula Vista city,all,All,31,1
2018,06,13392,California,Chula Vista city,poverty,High Poverty Tracts,NA,NA
2018,06,13392,California,Chula Vista city,poverty,Not High Poverty Tracts,31,1
2018,06,13588,California,Citrus Heights city,all,All,1,1
2018,06,13588,California,Citrus Heights city,poverty,High Poverty Tracts,NA,NA
2018,06,13588,California,Citrus Heights city,poverty,Not High Poverty Tracts,1,1
2018,06,14218,California,Clovis city,all,All,10,1
2018,06,14218,California,Clovis city,poverty,High Poverty Tracts,NA,NA
2018,06,14218,California,Clovis city,poverty,Not High Poverty Tracts,11,1
2018,06,15044,California,Compton city,all,All,1,1
2018,06,15044,California,Compton city,poverty,High Poverty Tracts,NA,NA
2018,06,15044,California,Compton city,poverty,Not High Poverty Tracts,1,1
2018,06,16000,California,Concord city,all,All,40,1
2018,06,16000,California,Concord city,poverty,High Poverty Tracts,NA,NA
2018,06,16000,California,Concord city,poverty,Not High Poverty Tracts,40,1
2018,06,16350,California,Corona city,all,All,15,1
2018,06,16350,California,Corona city,poverty,High Poverty Tracts,NA,NA
2018,06,16350,California,Corona city,poverty,Not High Poverty Tracts,15,1
2018,06,16532,California,Costa Mesa city,all,All,32,1
2018,06,16532,California,Costa Mesa city,poverty,High Poverty Tracts,NA,NA
2018,06,16532,California,Costa Mesa city,poverty,Not High Poverty Tracts,31,1
2018,06,17918,California,Daly City city,all,All,68,1
2018,06,17918,California,Daly City city,poverty,High Poverty Tracts,NA,NA
2018,06,17918,California,Daly City city,poverty,Not High Poverty Tracts,68,1
2018,06,19766,California,Downey city,all,All,4,1
2018,06,19766,California,Downey city,poverty,High Poverty Tracts,NA,NA
2018,06,19766,California,Downey city,poverty,Not High Poverty Tracts,4,1
2018,06,21712,California,El Cajon city,all,All,20,1
2018,06,21712,California,El Cajon city,poverty,High Poverty Tracts,20,1
2018,06,21712,California,El Cajon city,poverty,Not High Poverty Tracts,21,1
2018,06,22020,California,Elk Grove city,all,All,6,1
2018,06,22020,California,Elk Grove city,poverty,High Poverty Tracts,NA,NA
2018,06,22020,California,Elk Grove city,poverty,Not High Poverty Tracts,6,1
2018,06,22230,California,El Monte city,all,All,4,1
2018,06,22230,California,El Monte city,poverty,High Poverty Tracts,NA,NA
2018,06,22230,California,El Monte city,poverty,Not High Poverty Tracts,4,1
2018,06,22804,California,Escondido city,all,All,37,1
2018,06,22804,California,Escondido city,poverty,High Poverty Tracts,NA,NA
2018,06,22804,California,Escondido city,poverty,Not High Poverty Tracts,38,1
2018,06,23182,California,Fairfield city,all,All,34,1
2018,06,23182,California,Fairfield city,poverty,High Poverty Tracts,NA,NA
2018,06,23182,California,Fairfield city,poverty,Not High Poverty Tracts,34,1
2018,06,24638,California,Folsom city,all,All,4,1
2018,06,24638,California,Folsom city,poverty,High Poverty Tracts,NA,NA
2018,06,24638,California,Folsom city,poverty,Not High Poverty Tracts,4,1
2018,06,24680,California,Fontana city,all,All,11,1
2018,06,24680,California,Fontana city,poverty,High Poverty Tracts,NA,NA
2018,06,24680,California,Fontana city,poverty,Not High Poverty Tracts,11,1
2018,06,26000,California,Fremont city,all,All,54,1
2018,06,26000,California,Fremont city,poverty,High Poverty Tracts,NA,NA
2018,06,26000,California,Fremont city,poverty,Not High Poverty Tracts,54,1
2018,06,27000,California,Fresno city,all,All,10,1
2018,06,27000,California,Fresno city,poverty,High Poverty Tracts,7,1
2018,06,27000,California,Fresno city,poverty,Not High Poverty Tracts,11,1
2018,06,28000,California,Fullerton city,all,All,6,1
2018,06,28000,California,Fullerton city,poverty,High Poverty Tracts,NA,NA
2018,06,28000,California,Fullerton city,poverty,Not High Poverty Tracts,6,1
2018,06,29000,California,Garden Grove city,all,All,6,1
2018,06,29000,California,Garden Grove city,poverty,High Poverty Tracts,NA,NA
2018,06,29000,California,Garden Grove city,poverty,Not High Poverty Tracts,6,1
2018,06,30000,California,Glendale city,all,All,10,1
2018,06,30000,California,Glendale city,poverty,High Poverty Tracts,NA,NA
2018,06,30000,California,Glendale city,poverty,Not High Poverty Tracts,10,1
2018,06,32548,California,Hawthorne city,all,All,4,1
2018,06,32548,California,Hawthorne city,poverty,High Poverty Tracts,NA,NA
2018,06,32548,California,Hawthorne city,poverty,Not High Poverty Tracts,4,1
2018,06,33000,California,Hayward city,all,All,46,1
2018,06,33000,California,Hayward city,poverty,High Poverty Tracts,NA,NA
2018,06,33000,California,Hayward city,poverty,Not High Poverty Tracts,45,1
2018,06,33182,California,Hemet city,all,All,47,1
2018,06,33182,California,Hemet city,poverty,High Poverty Tracts,55,1
2018,06,33182,California,Hemet city,poverty,Not High Poverty Tracts,47,1
2018,06,33434,California,Hesperia city,all,All,42,1
2018,06,33434,California,Hesperia city,poverty,High Poverty Tracts,NA,NA
2018,06,33434,California,Hesperia city,poverty,Not High Poverty Tracts,42,1
2018,06,36000,California,Huntington Beach city,all,All,32,1
2018,06,36000,California,Huntington Beach city,poverty,High Poverty Tracts,NA,NA
2018,06,36000,California,Huntington Beach city,poverty,Not High Poverty Tracts,32,1
2018,06,36448,California,Indio city,all,All,49,1
2018,06,36448,California,Indio city,poverty,High Poverty Tracts,NA,NA
2018,06,36448,California,Indio city,poverty,Not High Poverty Tracts,49,1
2018,06,36546,California,Inglewood city,all,All,2,1
2018,06,36546,California,Inglewood city,poverty,High Poverty Tracts,NA,NA
2018,06,36546,California,Inglewood city,poverty,Not High Poverty Tracts,2,1
2018,06,36770,California,Irvine city,all,All,17,1
2018,06,36770,California,Irvine city,poverty,High Poverty Tracts,46,1
2018,06,36770,California,Irvine city,poverty,Not High Poverty Tracts,14,1
2018,06,39496,California,Lake Forest city,all,All,20,1
2018,06,39496,California,Lake Forest city,poverty,High Poverty Tracts,NA,NA
2018,06,39496,California,Lake Forest city,poverty,Not High Poverty Tracts,20,1
2018,06,39892,California,Lakewood city,all,All,1,1
2018,06,39892,California,Lakewood city,poverty,High Poverty Tracts,NA,NA
2018,06,39892,California,Lakewood city,poverty,Not High Poverty Tracts,1,1
2018,06,40130,California,Lancaster city,all,All,62,1
2018,06,40130,California,Lancaster city,poverty,High Poverty Tracts,55,1
2018,06,40130,California,Lancaster city,poverty,Not High Poverty Tracts,63,1
2018,06,41992,California,Livermore city,all,All,55,1
2018,06,41992,California,Livermore city,poverty,High Poverty Tracts,NA,NA
2018,06,41992,California,Livermore city,poverty,Not High Poverty Tracts,55,1
2018,06,43000,California,Long Beach city,all,All,0,1
2018,06,43000,California,Long Beach city,poverty,High Poverty Tracts,0,1
2018,06,43000,California,Long Beach city,poverty,Not High Poverty Tracts,0,1
2018,06,44000,California,Los Angeles city,all,All,10,1
2018,06,44000,California,Los Angeles city,poverty,High Poverty Tracts,5,1
2018,06,44000,California,Los Angeles city,poverty,Not High Poverty Tracts,11,1
2018,06,45484,California,Manteca city,all,All,26,1
2018,06,45484,California,Manteca city,poverty,High Poverty Tracts,NA,NA
2018,06,45484,California,Manteca city,poverty,Not High Poverty Tracts,26,1
2018,06,46842,California,Menifee city,all,All,33,1
2018,06,46842,California,Menifee city,poverty,High Poverty Tracts,NA,NA
2018,06,46842,California,Menifee city,poverty,Not High Poverty Tracts,33,1
2018,06,46898,California,Merced city,all,All,17,1
2018,06,46898,California,Merced city,poverty,High Poverty Tracts,14,1
2018,06,46898,California,Merced city,poverty,Not High Poverty Tracts,17,1
2018,06,47766,California,Milpitas city,all,All,58,1
2018,06,47766,California,Milpitas city,poverty,High Poverty Tracts,NA,NA
2018,06,47766,California,Milpitas city,poverty,Not High Poverty Tracts,57,1
2018,06,48256,California,Mission Viejo city,all,All,21,1
2018,06,48256,California,Mission Viejo city,poverty,High Poverty Tracts,NA,NA
2018,06,48256,California,Mission Viejo city,poverty,Not High Poverty Tracts,21,1
2018,06,48354,California,Modesto city,all,All,26,1
2018,06,48354,California,Modesto city,poverty,High Poverty Tracts,26,1
2018,06,48354,California,Modesto city,poverty,Not High Poverty Tracts,25,1
2018,06,49270,California,Moreno Valley city,all,All,23,1
2018,06,49270,California,Moreno Valley city,poverty,High Poverty Tracts,NA,NA
2018,06,49270,California,Moreno Valley city,poverty,Not High Poverty Tracts,24,1
2018,06,49670,California,Mountain View city,all,All,55,1
2018,06,49670,California,Mountain View city,poverty,High Poverty Tracts,NA,NA
2018,06,49670,California,Mountain View city,poverty,Not High Poverty Tracts,55,1
2018,06,50076,California,Murrieta city,all,All,39,1
2018,06,50076,California,Murrieta city,poverty,High Poverty Tracts,NA,NA
2018,06,50076,California,Murrieta city,poverty,Not High Poverty Tracts,39,1
2018,06,50258,California,Napa city,all,All,54,1
2018,06,50258,California,Napa city,poverty,High Poverty Tracts,55,1
2018,06,50258,California,Napa city,poverty,Not High Poverty Tracts,54,1
2018,06,51182,California,Newport Beach city,all,All,44,1
2018,06,51182,California,Newport Beach city,poverty,High Poverty Tracts,NA,NA
2018,06,51182,California,Newport Beach city,poverty,Not High Poverty Tracts,44,1
2018,06,52526,California,Norwalk city,all,All,5,1
2018,06,52526,California,Norwalk city,poverty,High Poverty Tracts,5,1
2018,06,52526,California,Norwalk city,poverty,Not High Poverty Tracts,5,1
2018,06,53000,California,Oakland city,all,All,46,1
2018,06,53000,California,Oakland city,poverty,High Poverty Tracts,47,1
2018,06,53000,California,Oakland city,poverty,Not High Poverty Tracts,46,1
2018,06,53322,California,Oceanside city,all,All,45,1
2018,06,53322,California,Oceanside city,poverty,High Poverty Tracts,NA,NA
2018,06,53322,California,Oceanside city,poverty,Not High Poverty Tracts,45,1
2018,06,53896,California,Ontario city,all,All,5,1
2018,06,53896,California,Ontario city,poverty,High Poverty Tracts,NA,NA
2018,06,53896,California,Ontario city,poverty,Not High Poverty Tracts,5,1
2018,06,53980,California,Orange city,all,All,7,1
2018,06,53980,California,Orange city,poverty,High Poverty Tracts,NA,NA
2018,06,53980,California,Orange city,poverty,Not High Poverty Tracts,7,1
2018,06,54652,California,Oxnard city,all,All,51,1
2018,06,54652,California,Oxnard city,poverty,High Poverty Tracts,55,1
2018,06,54652,California,Oxnard city,poverty,Not High Poverty Tracts,51,1
2018,06,55156,California,Palmdale city,all,All,66,1
2018,06,55156,California,Palmdale city,poverty,High Poverty Tracts,50,1
2018,06,55156,California,Palmdale city,poverty,Not High Poverty Tracts,68,1
2018,06,56000,California,Pasadena city,all,All,6,1
2018,06,56000,California,Pasadena city,poverty,High Poverty Tracts,NA,NA
2018,06,56000,California,Pasadena city,poverty,Not High Poverty Tracts,6,1
2018,06,56700,California,Perris city,all,All,28,1
2018,06,56700,California,Perris city,poverty,High Poverty Tracts,NA,NA
2018,06,56700,California,Perris city,poverty,Not High Poverty Tracts,29,1
2018,06,57456,California,Pittsburg city,all,All,19,1
2018,06,57456,California,Pittsburg city,poverty,High Poverty Tracts,NA,NA
2018,06,57456,California,Pittsburg city,poverty,Not High Poverty Tracts,19,1
2018,06,57792,California,Pleasanton city,all,All,54,1
2018,06,57792,California,Pleasanton city,poverty,High Poverty Tracts,NA,NA
2018,06,57792,California,Pleasanton city,poverty,Not High Poverty Tracts,54,1
2018,06,58072,California,Pomona city,all,All,5,1
2018,06,58072,California,Pomona city,poverty,High Poverty Tracts,5,1
2018,06,58072,California,Pomona city,poverty,Not High Poverty Tracts,5,1
2018,06,59444,California,Rancho Cordova city,all,All,3,1
2018,06,59444,California,Rancho Cordova city,poverty,High Poverty Tracts,NA,NA
2018,06,59444,California,Rancho Cordova city,poverty,Not High Poverty Tracts,3,1
2018,06,59451,California,Rancho Cucamonga city,all,All,17,1
2018,06,59451,California,Rancho Cucamonga city,poverty,High Poverty Tracts,NA,NA
2018,06,59451,California,Rancho Cucamonga city,poverty,Not High Poverty Tracts,18,1
2018,06,59920,California,Redding city,all,All,0,1
2018,06,59920,California,Redding city,poverty,High Poverty Tracts,NA,NA
2018,06,59920,California,Redding city,poverty,Not High Poverty Tracts,0,1
2018,06,60102,California,Redwood City city,all,All,58,1
2018,06,60102,California,Redwood City city,poverty,High Poverty Tracts,NA,NA
2018,06,60102,California,Redwood City city,poverty,Not High Poverty Tracts,58,1
2018,06,60466,California,Rialto city,all,All,12,1
2018,06,60466,California,Rialto city,poverty,High Poverty Tracts,NA,NA
2018,06,60466,California,Rialto city,poverty,Not High Poverty Tracts,12,1
2018,06,60620,California,Richmond city,all,All,14,1
2018,06,60620,California,Richmond city,poverty,High Poverty Tracts,NA,NA
2018,06,60620,California,Richmond city,poverty,Not High Poverty Tracts,14,1
2018,06,62000,California,Riverside city,all,All,8,1
2018,06,62000,California,Riverside city,poverty,High Poverty Tracts,6,1
2018,06,62000,California,Riverside city,poverty,Not High Poverty Tracts,8,1
2018,06,62938,California,Roseville city,all,All,2,1
2018,06,62938,California,Roseville city,poverty,High Poverty Tracts,NA,NA
2018,06,62938,California,Roseville city,poverty,Not High Poverty Tracts,2,1
2018,06,64000,California,Sacramento city,all,All,2,1
2018,06,64000,California,Sacramento city,poverty,High Poverty Tracts,1,1
2018,06,64000,California,Sacramento city,poverty,Not High Poverty Tracts,2,1
2018,06,64224,California,Salinas city,all,All,73,1
2018,06,64224,California,Salinas city,poverty,High Poverty Tracts,NA,NA
2018,06,64224,California,Salinas city,poverty,Not High Poverty Tracts,73,1
2018,06,65000,California,San Bernardino city,all,All,14,1
2018,06,65000,California,San Bernardino city,poverty,High Poverty Tracts,10,1
2018,06,65000,California,San Bernardino city,poverty,Not High Poverty Tracts,15,1
2018,06,65042,California,San Buenaventura (Ventura) city,all,All,65,1
2018,06,65042,California,San Buenaventura (Ventura) city,poverty,High Poverty Tracts,NA,NA
2018,06,65042,California,San Buenaventura (Ventura) city,poverty,Not High Poverty Tracts,65,1
2018,06,66000,California,San Diego city,all,All,34,1
2018,06,66000,California,San Diego city,poverty,High Poverty Tracts,26,1
2018,06,66000,California,San Diego city,poverty,Not High Poverty Tracts,35,1
2018,06,67000,California,San Francisco city,all,All,45,1
2018,06,67000,California,San Francisco city,poverty,High Poverty Tracts,41,1
2018,06,67000,California,San Francisco city,poverty,Not High Poverty Tracts,45,1
2018,06,68000,California,San Jose city,all,All,35,1
2018,06,68000,California,San Jose city,poverty,High Poverty Tracts,13,1
2018,06,68000,California,San Jose city,poverty,Not High Poverty Tracts,35,1
2018,06,68084,California,San Leandro city,all,All,46,1
2018,06,68084,California,San Leandro city,poverty,High Poverty Tracts,NA,NA
2018,06,68084,California,San Leandro city,poverty,Not High Poverty Tracts,46,1
2018,06,68196,California,San Marcos city,all,All,44,1
2018,06,68196,California,San Marcos city,poverty,High Poverty Tracts,NA,NA
2018,06,68196,California,San Marcos city,poverty,Not High Poverty Tracts,44,1
2018,06,68252,California,San Mateo city,all,All,53,1
2018,06,68252,California,San Mateo city,poverty,High Poverty Tracts,NA,NA
2018,06,68252,California,San Mateo city,poverty,Not High Poverty Tracts,54,1
2018,06,68378,California,San Ramon city,all,All,51,1
2018,06,68378,California,San Ramon city,poverty,High Poverty Tracts,NA,NA
2018,06,68378,California,San Ramon city,poverty,Not High Poverty Tracts,51,1
2018,06,69000,California,Santa Ana city,all,All,9,1
2018,06,69000,California,Santa Ana city,poverty,High Poverty Tracts,NA,NA
2018,06,69000,California,Santa Ana city,poverty,Not High Poverty Tracts,9,1
2018,06,69070,California,Santa Barbara city,all,All,58,1
2018,06,69070,California,Santa Barbara city,poverty,High Poverty Tracts,NA,NA
2018,06,69070,California,Santa Barbara city,poverty,Not High Poverty Tracts,58,1
2018,06,69084,California,Santa Clara city,all,All,20,1
2018,06,69084,California,Santa Clara city,poverty,High Poverty Tracts,NA,NA
2018,06,69084,California,Santa Clara city,poverty,Not High Poverty Tracts,20,1
2018,06,69088,California,Santa Clarita city,all,All,41,1
2018,06,69088,California,Santa Clarita city,poverty,High Poverty Tracts,NA,NA
2018,06,69088,California,Santa Clarita city,poverty,Not High Poverty Tracts,42,1
2018,06,69196,California,Santa Maria city,all,All,75,1
2018,06,69196,California,Santa Maria city,poverty,High Poverty Tracts,NA,NA
2018,06,69196,California,Santa Maria city,poverty,Not High Poverty Tracts,75,1
2018,06,70000,California,Santa Monica city,all,All,15,1
2018,06,70000,California,Santa Monica city,poverty,High Poverty Tracts,NA,NA
2018,06,70000,California,Santa Monica city,poverty,Not High Poverty Tracts,16,1
2018,06,70098,California,Santa Rosa city,all,All,37,1
2018,06,70098,California,Santa Rosa city,poverty,High Poverty Tracts,NA,NA
2018,06,70098,California,Santa Rosa city,poverty,Not High Poverty Tracts,38,1
2018,06,72016,California,Simi Valley city,all,All,54,1
2018,06,72016,California,Simi Valley city,poverty,High Poverty Tracts,NA,NA
2018,06,72016,California,Simi Valley city,poverty,Not High Poverty Tracts,54,1
2018,06,73080,California,South Gate city,all,All,4,1
2018,06,73080,California,South Gate city,poverty,High Poverty Tracts,NA,NA
2018,06,73080,California,South Gate city,poverty,Not High Poverty Tracts,4,1
2018,06,75000,California,Stockton city,all,All,18,1
2018,06,75000,California,Stockton city,poverty,High Poverty Tracts,14,1
2018,06,75000,California,Stockton city,poverty,Not High Poverty Tracts,18,1
2018,06,77000,California,Sunnyvale city,all,All,48,1
2018,06,77000,California,Sunnyvale city,poverty,High Poverty Tracts,NA,NA
2018,06,77000,California,Sunnyvale city,poverty,Not High Poverty Tracts,48,1
2018,06,78120,California,Temecula city,all,All,49,1
2018,06,78120,California,Temecula city,poverty,High Poverty Tracts,NA,NA
2018,06,78120,California,Temecula city,poverty,Not High Poverty Tracts,49,1
2018,06,78582,California,Thousand Oaks city,all,All,44,1
2018,06,78582,California,Thousand Oaks city,poverty,High Poverty Tracts,NA,NA
2018,06,78582,California,Thousand Oaks city,poverty,Not High Poverty Tracts,44,1
2018,06,80000,California,Torrance city,all,All,3,1
2018,06,80000,California,Torrance city,poverty,High Poverty Tracts,NA,NA
2018,06,80000,California,Torrance city,poverty,Not High Poverty Tracts,3,1
2018,06,80238,California,Tracy city,all,All,45,1
2018,06,80238,California,Tracy city,poverty,High Poverty Tracts,NA,NA
2018,06,80238,California,Tracy city,poverty,Not High Poverty Tracts,45,1
2018,06,80854,California,Tustin city,all,All,10,1
2018,06,80854,California,Tustin city,poverty,High Poverty Tracts,NA,NA
2018,06,80854,California,Tustin city,poverty,Not High Poverty Tracts,10,1
2018,06,81344,California,Upland city,all,All,14,1
2018,06,81344,California,Upland city,poverty,High Poverty Tracts,NA,NA
2018,06,81344,California,Upland city,poverty,Not High Poverty Tracts,14,1
2018,06,81554,California,Vacaville city,all,All,26,1
2018,06,81554,California,Vacaville city,poverty,High Poverty Tracts,NA,NA
2018,06,81554,California,Vacaville city,poverty,Not High Poverty Tracts,26,1
2018,06,81666,California,Vallejo city,all,All,44,1
2018,06,81666,California,Vallejo city,poverty,High Poverty Tracts,35,1
2018,06,81666,California,Vallejo city,poverty,Not High Poverty Tracts,45,1
