state,county,state_name,county_name,population,subgroup_type,subgroup,juvenile_arrest_rate,juvenile_arrest_rate_quality
01,087,Alabama,Macon County,18439,race-ethnicity,Black,1095.1943,2
01,087,Alabama,Macon County,18439,race-ethnicity,Other Races,NA,NA
01,087,Alabama,Macon County,18439,race-ethnicity,White,NA,NA
01,089,Alabama,Madison County,366519,all,All,1604.8883,1
01,089,Alabama,Madison County,366519,race-ethnicity,Black,3799.0391,1
01,089,Alabama,Madison County,366519,race-ethnicity,Other Races,59.112064,1
01,089,Alabama,Madison County,366519,race-ethnicity,White,994.65192,1
01,091,Alabama,Marengo County,19066,all,All,1515.598,2
01,091,Alabama,Marengo County,19066,race-ethnicity,Black,2177.5247,2
01,091,Alabama,Marengo County,19066,race-ethnicity,Other Races,NA,NA
01,091,Alabama,Marengo County,19066,race-ethnicity,White,247.84375,2
01,093,Alabama,Marion County,29763,all,All,1727.9226,1
01,093,Alabama,Marion County,29763,race-ethnicity,Black,1767.0878,1
01,093,Alabama,Marion County,29763,race-ethnicity,Other Races,NA,NA
01,093,Alabama,Marion County,29763,race-ethnicity,White,1761.9434,1
01,095,Alabama,Marshall County,96109,all,All,646.99994,1
01,095,Alabama,Marshall County,96109,race-ethnicity,Black,737.54468,1
01,095,Alabama,Marshall County,96109,race-ethnicity,Other Races,NA,NA
01,095,Alabama,Marshall County,96109,race-ethnicity,White,682.42334,1
01,097,Alabama,Mobile County,413757,all,All,1742.1064,2
01,097,Alabama,Mobile County,413757,race-ethnicity,Black,3389.2954,2
01,097,Alabama,Mobile County,413757,race-ethnicity,Other Races,142.93883,2
01,097,Alabama,Mobile County,413757,race-ethnicity,White,680.09302,2
01,099,Alabama,Monroe County,21067,all,All,762.6347,2
01,099,Alabama,Monroe County,21067,race-ethnicity,Black,1291.0819,2
01,099,Alabama,Monroe County,21067,race-ethnicity,Other Races,NA,NA
01,099,Alabama,Monroe County,21067,race-ethnicity,White,451.65649,2
01,101,Alabama,Montgomery County,225763,all,All,294.71042,2
01,101,Alabama,Montgomery County,225763,race-ethnicity,Black,478.26721,2
01,101,Alabama,Montgomery County,225763,race-ethnicity,Other Races,NA,NA
01,101,Alabama,Montgomery County,225763,race-ethnicity,White,43.824539,2
01,103,Alabama,Morgan County,119089,all,All,1869.7816,2
01,103,Alabama,Morgan County,119089,race-ethnicity,Black,12599.284,2
01,103,Alabama,Morgan County,119089,race-ethnicity,Other Races,68.312172,2
01,103,Alabama,Morgan County,119089,race-ethnicity,White,954.74872,2
01,105,Alabama,Perry County,9140,all,All,252.59967,1
01,105,Alabama,Perry County,9140,race-ethnicity,Black,384.26904,1
01,105,Alabama,Perry County,9140,race-ethnicity,Other Races,NA,NA
01,105,Alabama,Perry County,9140,race-ethnicity,White,NA,NA
01,107,Alabama,Pickens County,19938,all,All,254.60323,1
01,107,Alabama,Pickens County,19938,race-ethnicity,Black,419.20813,1
01,107,Alabama,Pickens County,19938,race-ethnicity,Other Races,NA,NA
01,107,Alabama,Pickens County,19938,race-ethnicity,White,204.42093,1
01,109,Alabama,Pike County,33338,all,All,1429.6548,1
01,109,Alabama,Pike County,33338,race-ethnicity,Black,1933.5509,1
01,109,Alabama,Pike County,33338,race-ethnicity,Other Races,NA,NA
01,109,Alabama,Pike County,33338,race-ethnicity,White,678.64703,1
01,111,Alabama,Randolph County,22725,all,All,763.16943,2
01,111,Alabama,Randolph County,22725,race-ethnicity,Black,1483.1404,2
01,111,Alabama,Randolph County,22725,race-ethnicity,Other Races,NA,NA
01,111,Alabama,Randolph County,22725,race-ethnicity,White,513.76672,2
01,113,Alabama,Russell County,57781,all,All,77.398933,2
01,113,Alabama,Russell County,57781,race-ethnicity,Black,31.679174,2
01,113,Alabama,Russell County,57781,race-ethnicity,Other Races,NA,NA
01,113,Alabama,Russell County,57781,race-ethnicity,White,158.44446,2
01,115,Alabama,St. Clair County,88690,all,All,476.3942,1
01,115,Alabama,St. Clair County,88690,race-ethnicity,Black,963.62323,1
01,115,Alabama,St. Clair County,88690,race-ethnicity,Other Races,NA,NA
01,115,Alabama,St. Clair County,88690,race-ethnicity,White,453.52551,1
01,117,Alabama,Shelby County,215707,all,All,781.4967,1
01,117,Alabama,Shelby County,215707,race-ethnicity,Black,1598.9036,1
01,117,Alabama,Shelby County,215707,race-ethnicity,Other Races,NA,NA
01,117,Alabama,Shelby County,215707,race-ethnicity,White,765.74841,1
01,119,Alabama,Sumter County,12691,all,All,192.57681,2
01,119,Alabama,Sumter County,12691,race-ethnicity,Black,292.95761,2
01,119,Alabama,Sumter County,12691,race-ethnicity,Other Races,NA,NA
01,119,Alabama,Sumter County,12691,race-ethnicity,White,NA,NA
01,121,Alabama,Talladega County,79828,all,All,278.67166,1
01,121,Alabama,Talladega County,79828,race-ethnicity,Black,515.78082,1
01,121,Alabama,Talladega County,79828,race-ethnicity,Other Races,NA,NA
01,121,Alabama,Talladega County,79828,race-ethnicity,White,214.40265,1
01,123,Alabama,Tallapoosa County,40497,all,All,2150.499,2
01,123,Alabama,Tallapoosa County,40497,race-ethnicity,Black,3602.7131,2
01,123,Alabama,Tallapoosa County,40497,race-ethnicity,Other Races,NA,NA
01,123,Alabama,Tallapoosa County,40497,race-ethnicity,White,1682.6556,2
01,125,Alabama,Tuscaloosa County,208911,all,All,1963.873,1
01,125,Alabama,Tuscaloosa County,208911,race-ethnicity,Black,3033.7007,1
01,125,Alabama,Tuscaloosa County,208911,race-ethnicity,Other Races,445.62286,1
01,125,Alabama,Tuscaloosa County,208911,race-ethnicity,White,1088.5226,1
01,127,Alabama,Walker County,63711,all,All,663.73151,2
01,127,Alabama,Walker County,63711,race-ethnicity,Black,1176.8167,2
01,127,Alabama,Walker County,63711,race-ethnicity,Other Races,NA,NA
01,127,Alabama,Walker County,63711,race-ethnicity,White,624.74341,2
01,129,Alabama,Washington County,16378,all,All,754.82141,1
01,129,Alabama,Washington County,16378,race-ethnicity,Black,1419.8373,1
01,129,Alabama,Washington County,16378,race-ethnicity,Other Races,NA,NA
01,129,Alabama,Washington County,16378,race-ethnicity,White,476.83078,1
01,131,Alabama,Wilcox County,10627,all,All,189.48186,1
01,131,Alabama,Wilcox County,10627,race-ethnicity,Black,427.7041,1
01,131,Alabama,Wilcox County,10627,race-ethnicity,Other Races,NA,NA
01,131,Alabama,Wilcox County,10627,race-ethnicity,White,NA,NA
01,133,Alabama,Winston County,23660,all,All,81.016273,1
01,133,Alabama,Winston County,23660,race-ethnicity,Black,NA,NA
01,133,Alabama,Winston County,23660,race-ethnicity,Other Races,NA,NA
01,133,Alabama,Winston County,23660,race-ethnicity,White,42.396973,1
02,013,Alaska,Aleutians East Borough,3515,all,All,NA,NA
02,013,Alaska,Aleutians East Borough,3515,race-ethnicity,Black,NA,NA
02,013,Alaska,Aleutians East Borough,3515,race-ethnicity,Other Races,NA,NA
02,013,Alaska,Aleutians East Borough,3515,race-ethnicity,White,NA,NA
02,016,Alaska,Aleutians West Census Area,5723,all,All,NA,NA
02,016,Alaska,Aleutians West Census Area,5723,race-ethnicity,Black,NA,NA
02,016,Alaska,Aleutians West Census Area,5723,race-ethnicity,Other Races,NA,NA
02,016,Alaska,Aleutians West Census Area,5723,race-ethnicity,White,NA,NA
02,020,Alaska,Anchorage Municipality,291538,all,All,NA,NA
02,020,Alaska,Anchorage Municipality,291538,race-ethnicity,Black,NA,NA
02,020,Alaska,Anchorage Municipality,291538,race-ethnicity,Other Races,NA,NA
02,020,Alaska,Anchorage Municipality,291538,race-ethnicity,White,NA,NA
02,050,Alaska,Bethel Census Area,18216,all,All,NA,NA
02,050,Alaska,Bethel Census Area,18216,race-ethnicity,Black,NA,NA
02,050,Alaska,Bethel Census Area,18216,race-ethnicity,Other Races,NA,NA
02,050,Alaska,Bethel Census Area,18216,race-ethnicity,White,NA,NA
02,060,Alaska,Bristol Bay Borough,877,all,All,NA,NA
02,060,Alaska,Bristol Bay Borough,877,race-ethnicity,Black,NA,NA
02,060,Alaska,Bristol Bay Borough,877,race-ethnicity,Other Races,NA,NA
02,060,Alaska,Bristol Bay Borough,877,race-ethnicity,White,NA,NA
02,068,Alaska,Denali Borough,2059,all,All,NA,NA
02,068,Alaska,Denali Borough,2059,race-ethnicity,Black,NA,NA
02,068,Alaska,Denali Borough,2059,race-ethnicity,Other Races,NA,NA
02,068,Alaska,Denali Borough,2059,race-ethnicity,White,NA,NA
02,070,Alaska,Dillingham Census Area,5000,all,All,NA,NA
02,070,Alaska,Dillingham Census Area,5000,race-ethnicity,Black,NA,NA
02,070,Alaska,Dillingham Census Area,5000,race-ethnicity,Other Races,NA,NA
02,070,Alaska,Dillingham Census Area,5000,race-ethnicity,White,NA,NA
02,090,Alaska,Fairbanks North Star Borough,98971,all,All,NA,NA
02,090,Alaska,Fairbanks North Star Borough,98971,race-ethnicity,Black,NA,NA
02,090,Alaska,Fairbanks North Star Borough,98971,race-ethnicity,Other Races,NA,NA
02,090,Alaska,Fairbanks North Star Borough,98971,race-ethnicity,White,NA,NA
02,100,Alaska,Haines Borough,2474,all,All,NA,NA
02,100,Alaska,Haines Borough,2474,race-ethnicity,Black,NA,NA
02,100,Alaska,Haines Borough,2474,race-ethnicity,Other Races,NA,NA
02,100,Alaska,Haines Borough,2474,race-ethnicity,White,NA,NA
02,105,Alaska,Hoonah-Angoon Census Area,2151,all,All,NA,NA
02,105,Alaska,Hoonah-Angoon Census Area,2151,race-ethnicity,Black,NA,NA
02,105,Alaska,Hoonah-Angoon Census Area,2151,race-ethnicity,Other Races,NA,NA
02,105,Alaska,Hoonah-Angoon Census Area,2151,race-ethnicity,White,NA,NA
02,110,Alaska,Juneau City and Borough,32113,all,All,NA,NA
02,110,Alaska,Juneau City and Borough,32113,race-ethnicity,Black,NA,NA
02,110,Alaska,Juneau City and Borough,32113,race-ethnicity,Other Races,NA,NA
02,110,Alaska,Juneau City and Borough,32113,race-ethnicity,White,NA,NA
02,122,Alaska,Kenai Peninsula Borough,58533,all,All,NA,NA
02,122,Alaska,Kenai Peninsula Borough,58533,race-ethnicity,Black,NA,NA
02,122,Alaska,Kenai Peninsula Borough,58533,race-ethnicity,Other Races,NA,NA
02,122,Alaska,Kenai Peninsula Borough,58533,race-ethnicity,White,NA,NA
02,130,Alaska,Ketchikan Gateway Borough,13918,all,All,NA,NA
02,130,Alaska,Ketchikan Gateway Borough,13918,race-ethnicity,Black,NA,NA
02,130,Alaska,Ketchikan Gateway Borough,13918,race-ethnicity,Other Races,NA,NA
02,130,Alaska,Ketchikan Gateway Borough,13918,race-ethnicity,White,NA,NA
02,150,Alaska,Kodiak Island Borough,13345,all,All,NA,NA
02,150,Alaska,Kodiak Island Borough,13345,race-ethnicity,Black,NA,NA
02,150,Alaska,Kodiak Island Borough,13345,race-ethnicity,Other Races,NA,NA
02,150,Alaska,Kodiak Island Borough,13345,race-ethnicity,White,NA,NA
02,158,Alaska,Kusilvak Census Area,8303,all,All,NA,NA
02,158,Alaska,Kusilvak Census Area,8303,race-ethnicity,Black,NA,NA
02,158,Alaska,Kusilvak Census Area,8303,race-ethnicity,Other Races,NA,NA
02,158,Alaska,Kusilvak Census Area,8303,race-ethnicity,White,NA,NA
02,164,Alaska,Lake and Peninsula Borough,1587,all,All,NA,NA
02,164,Alaska,Lake and Peninsula Borough,1587,race-ethnicity,Black,NA,NA
02,164,Alaska,Lake and Peninsula Borough,1587,race-ethnicity,Other Races,NA,NA
02,164,Alaska,Lake and Peninsula Borough,1587,race-ethnicity,White,NA,NA
02,170,Alaska,Matanuska-Susitna Borough,107610,all,All,NA,NA
02,170,Alaska,Matanuska-Susitna Borough,107610,race-ethnicity,Black,NA,NA
02,170,Alaska,Matanuska-Susitna Borough,107610,race-ethnicity,Other Races,NA,NA
02,170,Alaska,Matanuska-Susitna Borough,107610,race-ethnicity,White,NA,NA
02,180,Alaska,Nome Census Area,10008,all,All,NA,NA
02,180,Alaska,Nome Census Area,10008,race-ethnicity,Black,NA,NA
02,180,Alaska,Nome Census Area,10008,race-ethnicity,Other Races,NA,NA
02,180,Alaska,Nome Census Area,10008,race-ethnicity,White,NA,NA
02,185,Alaska,North Slope Borough,9872,all,All,NA,NA
02,185,Alaska,North Slope Borough,9872,race-ethnicity,Black,NA,NA
02,185,Alaska,North Slope Borough,9872,race-ethnicity,Other Races,NA,NA
02,185,Alaska,North Slope Borough,9872,race-ethnicity,White,NA,NA
02,188,Alaska,Northwest Arctic Borough,7671,all,All,NA,NA
02,188,Alaska,Northwest Arctic Borough,7671,race-ethnicity,Black,NA,NA
02,188,Alaska,Northwest Arctic Borough,7671,race-ethnicity,Other Races,NA,NA
02,188,Alaska,Northwest Arctic Borough,7671,race-ethnicity,White,NA,NA
02,195,Alaska,Petersburg Borough,3221,all,All,NA,NA
02,195,Alaska,Petersburg Borough,3221,race-ethnicity,Black,NA,NA
02,195,Alaska,Petersburg Borough,3221,race-ethnicity,Other Races,NA,NA
02,195,Alaska,Petersburg Borough,3221,race-ethnicity,White,NA,NA
02,198,Alaska,Prince of Wales-Hyder Census Area,6422,all,All,NA,NA
02,198,Alaska,Prince of Wales-Hyder Census Area,6422,race-ethnicity,Black,NA,NA
02,198,Alaska,Prince of Wales-Hyder Census Area,6422,race-ethnicity,Other Races,NA,NA
02,198,Alaska,Prince of Wales-Hyder Census Area,6422,race-ethnicity,White,NA,NA
02,220,Alaska,Sitka City and Borough,8647,all,All,NA,NA
02,220,Alaska,Sitka City and Borough,8647,race-ethnicity,Black,NA,NA
02,220,Alaska,Sitka City and Borough,8647,race-ethnicity,Other Races,NA,NA
02,220,Alaska,Sitka City and Borough,8647,race-ethnicity,White,NA,NA
02,230,Alaska,Skagway Municipality,1148,all,All,NA,NA
02,230,Alaska,Skagway Municipality,1148,race-ethnicity,Black,NA,NA
02,230,Alaska,Skagway Municipality,1148,race-ethnicity,Other Races,NA,NA
02,230,Alaska,Skagway Municipality,1148,race-ethnicity,White,NA,NA
02,240,Alaska,Southeast Fairbanks Census Area,6918,all,All,NA,NA
02,240,Alaska,Southeast Fairbanks Census Area,6918,race-ethnicity,Black,NA,NA
02,240,Alaska,Southeast Fairbanks Census Area,6918,race-ethnicity,Other Races,NA,NA
02,240,Alaska,Southeast Fairbanks Census Area,6918,race-ethnicity,White,NA,NA
02,261,Alaska,Valdez-Cordova Census Area,9164,all,All,NA,NA
02,261,Alaska,Valdez-Cordova Census Area,9164,race-ethnicity,Black,NA,NA
02,261,Alaska,Valdez-Cordova Census Area,9164,race-ethnicity,Other Races,NA,NA
02,261,Alaska,Valdez-Cordova Census Area,9164,race-ethnicity,White,NA,NA
02,275,Alaska,Wrangell City and Borough,2503,all,All,NA,NA
02,275,Alaska,Wrangell City and Borough,2503,race-ethnicity,Black,NA,NA
02,275,Alaska,Wrangell City and Borough,2503,race-ethnicity,Other Races,NA,NA
02,275,Alaska,Wrangell City and Borough,2503,race-ethnicity,White,NA,NA
02,282,Alaska,Yakutat City and Borough,604,all,All,NA,NA
02,282,Alaska,Yakutat City and Borough,604,race-ethnicity,Black,NA,NA
02,282,Alaska,Yakutat City and Borough,604,race-ethnicity,Other Races,NA,NA
02,282,Alaska,Yakutat City and Borough,604,race-ethnicity,White,NA,NA
02,290,Alaska,Yukon-Koyukuk Census Area,5327,all,All,NA,NA
02,290,Alaska,Yukon-Koyukuk Census Area,5327,race-ethnicity,Black,NA,NA
02,290,Alaska,Yukon-Koyukuk Census Area,5327,race-ethnicity,Other Races,NA,NA
02,290,Alaska,Yukon-Koyukuk Census Area,5327,race-ethnicity,White,NA,NA
04,001,Arizona,Apache County,71818,all,All,5642.6021,1
04,001,Arizona,Apache County,71818,race-ethnicity,Black,NA,NA
04,001,Arizona,Apache County,71818,race-ethnicity,Other Races,6151.8398,1
04,001,Arizona,Apache County,71818,race-ethnicity,White,4332.0107,1
