state,place,state_name,place_name,year,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality,count_desc_rep_total_population,count_desc_rep_total_nonhisp,share_desc_rep_asian_other,share_desc_rep_black_nonhispanic,count_desc_rep_total_hispanic,share_desc_rep_white_nonhispanic,count_desc_rep_total_population_quality,count_desc_rep_total_nonhisp_quality,share_desc_rep_asian_other_quality,share_desc_rep_black_nonhispanic_quality,count_desc_rep_total_hispanic_quality,share_desc_rep_white_nonhispanic_quality,ratio_high_low_ses_fb_friends,ratio_high_low_ses_fb_friends_quality,count_membership_associations_per_10k,count_membership_associations_per_10k_quality
01,77256,Alabama,Tuscaloosa city,2017,25.0%:40.8%,2,3.4%:4.7%,3,2.5%:2.7%,3,69.1%:51.8%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,77256,Alabama,Tuscaloosa city,2018,19.4%:41.2%,2,2.2%:4.7%,3,2.8%:1.9%,3,75.6%:52.2%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,77256,Alabama,Tuscaloosa city,2019,25.3%:45.3%,2,0.5%:1.2%,3,2.3%:3.7%,3,71.9%:49.8%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,77256,Alabama,Tuscaloosa city,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6458033893619709,3,2.4,2
01,77256,Alabama,Tuscaloosa city,2021,27.6%:46.9%,2,1.3%:3.3%,3,1.2%:2.6%,3,69.9%:47.2%,2,99252,94929,0.0430721799056946,0.4397896264055132,0.04355579736428485,0.4735823963245073,1,1,1,1,1,1,NA,NA,NA,NA
01,77256,Alabama,Tuscaloosa city,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,03000,Alaska,Anchorage municipality,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,03000,Alaska,Anchorage municipality,2014,0.9%:6.2%,3,3.3%:7.3%,3,11.0%:19.1%,2,84.8%:67.5%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,03000,Alaska,Anchorage municipality,2015,2.4%:6.2%,3,4.5%:6.1%,3,11.9%:17.2%,2,81.3%:70.5%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,03000,Alaska,Anchorage municipality,2016,3.0%:4.1%,3,2.7%:6.5%,3,13.0%:21.4%,2,81.3%:68.0%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,03000,Alaska,Anchorage municipality,2017,2.3%:5.8%,3,3.1%:7.1%,3,16.6%:21.3%,2,78.0%:65.8%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,03000,Alaska,Anchorage municipality,2018,3.2%:5.9%,3,4.7%:7.6%,2,11.9%:20.1%,2,80.2%:66.5%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,03000,Alaska,Anchorage municipality,2019,2.7%:4.5%,3,5.1%:7.4%,2,15.9%:22.1%,2,76.3%:66.0%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,03000,Alaska,Anchorage municipality,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1350326583072032,1,0.7,1
02,03000,Alaska,Anchorage municipality,2021,1.9%:4.7%,3,4.0%:8.5%,2,21.7%:22.0%,2,72.4%:64.9%,2,292545,264762,0.2921089063221043,0.0516023175921653,0.09497000461467468,0.5613187714710557,1,1,1,1,1,1,NA,NA,NA,NA
02,03000,Alaska,Anchorage municipality,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,04720,Arizona,Avondale city,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,04720,Arizona,Avondale city,2014,6.2%:8.5%,3,29.6%:38.4%,3,4.3%:5.9%,3,59.9%:47.1%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,04720,Arizona,Avondale city,2015,4.8%:10.0%,3,34.3%:38.6%,3,4.5%:3.8%,3,56.4%:47.5%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,04720,Arizona,Avondale city,2016,5.8%:9.2%,3,30.8%:40.8%,3,6.8%:6.5%,3,56.6%:43.5%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,04720,Arizona,Avondale city,2017,5.3%:9.8%,3,38.9%:45.7%,3,5.8%:7.6%,3,50.0%:36.9%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,04720,Arizona,Avondale city,2018,9.6%:10.2%,3,31.3%:39.6%,3,4.8%:4.4%,3,54.2%:45.8%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,04720,Arizona,Avondale city,2019,8.3%:6.8%,3,37.6%:44.0%,3,7.0%:5.4%,3,47.2%:43.8%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,04720,Arizona,Avondale city,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6753094900992167,3,1,2
04,04720,Arizona,Avondale city,2021,4.8%:6.4%,3,46.7%:43.2%,3,8.7%:7.6%,3,39.8%:42.8%,3,88065,38467,0.07786294214500653,0.0937375801964458,0.5631976381082155,0.26520183955033216,1,1,1,1,1,1,NA,NA,NA,NA
04,04720,Arizona,Avondale city,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,07940,Arizona,Buckeye city,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,07940,Arizona,Buckeye city,2014,2.8%:4.1%,3,14.9%:21.2%,3,4.4%:6.0%,3,77.9%:68.7%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,07940,Arizona,Buckeye city,2015,2.1%:5.5%,3,12.6%:18.9%,3,5.4%:6.6%,3,79.9%:69.0%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,07940,Arizona,Buckeye city,2016,4.0%:5.1%,3,16.2%:21.7%,3,6.3%:5.4%,3,73.5%:67.8%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,07940,Arizona,Buckeye city,2017,3.4%:4.0%,3,15.2%:21.0%,3,7.0%:8.0%,3,74.4%:67.1%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,07940,Arizona,Buckeye city,2018,4.9%:5.0%,3,17.7%:22.7%,3,3.6%:4.7%,3,73.9%:67.5%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,07940,Arizona,Buckeye city,2019,3.5%:4.3%,3,21.1%:25.1%,3,4.7%:4.1%,3,70.7%:66.5%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,07940,Arizona,Buckeye city,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8483871200502512,3,1.1,2
04,07940,Arizona,Buckeye city,2021,5.2%:4.3%,3,19.8%:23.1%,3,7.3%:7.0%,3,67.7%:65.6%,3,89711,48119,0.05931268183388882,0.05061809588567734,0.4636220753307844,0.4264471469496494,1,1,1,1,1,1,NA,NA,NA,NA
04,07940,Arizona,Buckeye city,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,12000,Arizona,Chandler city,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,12000,Arizona,Chandler city,2014,2.7%:6.1%,2,11.7%:18.0%,2,10.2%:10.8%,2,75.3%:65.1%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,12000,Arizona,Chandler city,2015,2.2%:4.3%,2,8.4%:16.4%,2,11.9%:12.0%,2,77.5%:67.2%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,12000,Arizona,Chandler city,2016,2.8%:6.5%,2,10.7%:15.7%,2,14.0%:9.3%,2,72.5%:68.5%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,12000,Arizona,Chandler city,2017,2.6%:5.5%,2,8.6%:13.9%,2,12.4%:10.8%,2,76.4%:69.8%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,12000,Arizona,Chandler city,2018,2.0%:5.1%,2,10.9%:15.6%,2,13.0%:12.2%,2,74.1%:67.1%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,12000,Arizona,Chandler city,2019,2.1%:3.8%,2,11.7%:16.2%,2,13.9%:13.7%,2,72.3%:66.3%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,12000,Arizona,Chandler city,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0219126015132876,3,0.8,2
04,12000,Arizona,Chandler city,2021,2.4%:5.4%,2,14.7%:19.8%,2,13.1%:12.1%,2,69.8%:62.6%,2,272439,213832,0.16660977319693582,0.05430940504112847,0.215119714871953,0.5639611068899827,1,1,1,1,1,1,NA,NA,NA,NA
04,12000,Arizona,Chandler city,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,23620,Arizona,Flagstaff city,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,23620,Arizona,Flagstaff city,2014,0.7%:1.3%,3,7.7%:11.5%,3,11.2%:24.2%,3,80.4%:63.1%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,23620,Arizona,Flagstaff city,2015,0.0%:0.2%,3,8.9%:11.9%,3,6.5%:22.6%,3,84.6%:65.3%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,23620,Arizona,Flagstaff city,2016,0.8%:0.6%,3,6.8%:10.5%,3,12.0%:22.6%,3,80.5%:66.3%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,23620,Arizona,Flagstaff city,2017,0.2%:0.8%,3,8.2%:12.3%,3,11.2%:24.1%,3,80.4%:62.7%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,23620,Arizona,Flagstaff city,2018,0.0%:1.6%,3,8.3%:10.8%,3,8.2%:25.1%,3,83.5%:62.5%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,23620,Arizona,Flagstaff city,2019,1.6%:0.7%,3,14.8%:11.3%,3,11.1%:24.3%,3,72.4%:63.8%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,23620,Arizona,Flagstaff city,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8626045520253164,3,5.1,2
