state,county,state_name,county_name,population,subgroup_type,subgroup,lbw,lbw_lb,lbw_ub,lbw_quality,learning_rate,learning_rate_lb,learning_rate_ub,learning_rate_quality
01,007,Alabama,Bibb County,22400,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,1.001448,0.81703466,1.1858613,1
01,009,Alabama,Blount County,57840,all,All,0.10073359,0.09678819,0.10467898,3,0.69946158,0.58988708,0.80903608,1
01,009,Alabama,Blount County,57840,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,NA,NA,NA,NA
01,009,Alabama,Blount County,57840,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,0.74864334,0.52034545,0.97694123,1
01,009,Alabama,Blount County,57840,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,009,Alabama,Blount County,57840,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.67728448,0.57271713,0.78185183,1
01,011,Alabama,Bullock County,10138,all,All,0.10073359,0.09678819,0.10467898,3,0.65637618,0.34711632,0.96563601,1
01,011,Alabama,Bullock County,10138,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.63788414,0.36647391,0.90929437,1
01,011,Alabama,Bullock County,10138,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,011,Alabama,Bullock County,10138,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,011,Alabama,Bullock County,10138,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,NA,NA,NA,NA
01,013,Alabama,Butler County,19680,all,All,0.10073359,0.09678819,0.10467898,3,0.69228435,0.51053286,0.87403584,1
01,013,Alabama,Butler County,19680,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.76803368,0.58630711,0.94976026,1
01,013,Alabama,Butler County,19680,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,013,Alabama,Butler County,19680,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,013,Alabama,Butler County,19680,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.57519317,0.29444769,0.85593861,1
01,015,Alabama,Calhoun County,114277,all,All,0.098023713,0.081637673,0.11440975,1,0.80768371,0.7214883,0.89387912,2
01,015,Alabama,Calhoun County,114277,race-ethnicity,"Black, Non-Hispanic",0.15337424,0.11425691,0.19249158,1,0.90061629,0.76383233,1.0374002,2
01,015,Alabama,Calhoun County,114277,race-ethnicity,Hispanic,NA,NA,NA,3,0.95897216,0.66575944,1.2521849,2
01,015,Alabama,Calhoun County,114277,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3,NA,NA,NA,NA
01,015,Alabama,Calhoun County,114277,race-ethnicity,"White, Non-Hispanic",0.080389768,0.061790887,0.098988645,1,0.75837517,0.66567606,0.85107428,2
01,017,Alabama,Chambers County,33615,all,All,0.10073359,0.09678819,0.10467898,3,0.83473289,0.68028319,0.98918259,1
01,017,Alabama,Chambers County,33615,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.95259136,0.77907002,1.1261127,1
01,017,Alabama,Chambers County,33615,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,017,Alabama,Chambers County,33615,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,017,Alabama,Chambers County,33615,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.68533403,0.48487446,0.88579357,1
01,019,Alabama,Cherokee County,26032,all,All,0.10073359,0.09678819,0.10467898,3,0.88491708,0.72593564,1.0438986,1
01,019,Alabama,Cherokee County,26032,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.9539538,0.47923872,1.4286689,3
01,019,Alabama,Cherokee County,26032,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,019,Alabama,Cherokee County,26032,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,019,Alabama,Cherokee County,26032,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.87218565,0.71854991,1.0258213,1
01,021,Alabama,Chilton County,44153,all,All,0.10073359,0.09678819,0.10467898,3,0.85760283,0.74285507,0.9723506,1
01,021,Alabama,Chilton County,44153,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.975658,0.68967831,1.2616377,1
01,021,Alabama,Chilton County,44153,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,0.73353142,0.46436372,1.0026991,1
01,021,Alabama,Chilton County,44153,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,021,Alabama,Chilton County,44153,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.85762185,0.74315512,0.97208858,1
01,023,Alabama,Choctaw County,12841,all,All,0.10073359,0.09678819,0.10467898,3,0.71454346,0.45819685,0.97089005,1
01,023,Alabama,Choctaw County,12841,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.73241782,0.47210053,0.99273509,1
01,023,Alabama,Choctaw County,12841,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,023,Alabama,Choctaw County,12841,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,023,Alabama,Choctaw County,12841,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.56839567,0.18681103,0.94998032,1
01,025,Alabama,Clarke County,23920,all,All,0.10073359,0.09678819,0.10467898,3,0.89799666,0.73302466,1.0629687,1
01,025,Alabama,Clarke County,23920,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.9240489,0.7475335,1.1005644,1
01,025,Alabama,Clarke County,23920,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,025,Alabama,Clarke County,23920,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,025,Alabama,Clarke County,23920,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.85992295,0.63213992,1.087706,1
01,027,Alabama,Clay County,13275,all,All,0.10073359,0.09678819,0.10467898,3,1.040749,0.56959754,1.5119004,2
01,027,Alabama,Clay County,13275,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.88322622,0.035770077,1.7306824,3
01,027,Alabama,Clay County,13275,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,027,Alabama,Clay County,13275,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,027,Alabama,Clay County,13275,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.93403,0.45783222,1.4102278,2
01,029,Alabama,Cleburne County,14987,all,All,0.10073359,0.09678819,0.10467898,3,0.8560946,0.64088237,1.0713068,1
01,029,Alabama,Cleburne County,14987,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,NA,NA,NA,NA
01,029,Alabama,Cleburne County,14987,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,029,Alabama,Cleburne County,14987,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,029,Alabama,Cleburne County,14987,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.87334067,0.67648888,1.0701925,1
01,031,Alabama,Coffee County,51909,all,All,0.10073359,0.09678819,0.10467898,3,0.90605193,0.79725254,1.0148513,1
01,031,Alabama,Coffee County,51909,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.95466691,0.75600237,1.1533314,1
01,031,Alabama,Coffee County,51909,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,0.97290343,0.68209451,1.2637123,1
01,031,Alabama,Coffee County,51909,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,031,Alabama,Coffee County,51909,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.8671605,0.75148386,0.98283714,1
01,033,Alabama,Colbert County,54762,all,All,0.10073359,0.09678819,0.10467898,3,0.92089593,0.80330312,1.0384887,1
01,033,Alabama,Colbert County,54762,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.98618138,0.78137386,1.1909889,1
01,033,Alabama,Colbert County,54762,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,0.53828287,-2.016896,3.0934618,3
01,033,Alabama,Colbert County,54762,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,033,Alabama,Colbert County,54762,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.89440143,0.77377564,1.0150272,1
01,035,Alabama,Conecuh County,12277,all,All,0.10073359,0.09678819,0.10467898,3,0.84211808,0.58087748,1.1033587,1
01,035,Alabama,Conecuh County,12277,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.83952349,0.61328131,1.0657656,1
01,035,Alabama,Conecuh County,12277,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,035,Alabama,Conecuh County,12277,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,035,Alabama,Conecuh County,12277,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,NA,NA,NA,NA
01,037,Alabama,Coosa County,10715,all,All,0.10073359,0.09678819,0.10467898,3,0.95738834,0.65455425,1.2602224,1
01,037,Alabama,Coosa County,10715,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,1.0502872,0.69457656,1.405998,1
01,037,Alabama,Coosa County,10715,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,037,Alabama,Coosa County,10715,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,037,Alabama,Coosa County,10715,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.75955403,0.37893549,1.1401726,1
01,039,Alabama,Covington County,36986,all,All,0.10073359,0.09678819,0.10467898,3,0.79705739,0.65972066,0.93439412,1
01,039,Alabama,Covington County,36986,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.85422218,0.57098669,1.1374577,1
01,039,Alabama,Covington County,36986,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,039,Alabama,Covington County,36986,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,039,Alabama,Covington County,36986,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.7724818,0.63944638,0.90551722,1
01,041,Alabama,Crenshaw County,13824,all,All,0.10073359,0.09678819,0.10467898,3,0.98512226,0.77744842,1.1927961,1
01,041,Alabama,Crenshaw County,13824,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,1.0628303,0.76629299,1.3593677,1
01,041,Alabama,Crenshaw County,13824,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,041,Alabama,Crenshaw County,13824,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,041,Alabama,Crenshaw County,13824,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.97042584,0.74472558,1.1961261,1
01,043,Alabama,Cullman County,83442,all,All,0.10073359,0.09678819,0.10467898,3,0.84989625,0.75536227,0.94443023,1
01,043,Alabama,Cullman County,83442,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,NA,NA,NA,NA
01,043,Alabama,Cullman County,83442,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,0.91035873,0.53246188,1.2882556,2
01,043,Alabama,Cullman County,83442,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,043,Alabama,Cullman County,83442,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.85502833,0.76861429,0.94144237,1
01,045,Alabama,Dale County,48956,all,All,0.10073359,0.09678819,0.10467898,3,0.89664298,0.76155776,1.0317283,1
01,045,Alabama,Dale County,48956,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.86014831,0.57246828,1.1478283,2
01,045,Alabama,Dale County,48956,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,0.89126289,-0.52925551,2.3117812,3
01,045,Alabama,Dale County,48956,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,045,Alabama,Dale County,48956,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.93603873,0.50275856,1.369319,3
01,047,Alabama,Dallas County,38310,all,All,0.10073359,0.09678819,0.10467898,3,0.73880881,0.61471194,0.86290568,1
01,047,Alabama,Dallas County,38310,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.73095477,0.62376171,0.83814782,1
01,047,Alabama,Dallas County,38310,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,047,Alabama,Dallas County,38310,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,047,Alabama,Dallas County,38310,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.85005873,0.53718185,1.1629356,1
01,049,Alabama,DeKalb County,71385,all,All,0.10073359,0.09678819,0.10467898,3,0.96281493,0.86494249,1.0606873000000001,1
01,049,Alabama,DeKalb County,71385,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,NA,NA,NA,NA
01,049,Alabama,DeKalb County,71385,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,1.0880386,0.9381336,1.2379435,1
01,049,Alabama,DeKalb County,71385,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,049,Alabama,DeKalb County,71385,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.86463749,0.75410658,0.97516841,1
01,051,Alabama,Elmore County,81887,all,All,0.10073359,0.09678819,0.10467898,3,0.83646441,0.74417889,0.92874992,1
01,051,Alabama,Elmore County,81887,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.87944388,0.73486441,1.0240233,1
01,051,Alabama,Elmore County,81887,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,1.0939875,0.71124995,1.476725,3
01,051,Alabama,Elmore County,81887,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,051,Alabama,Elmore County,81887,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.83584172,0.73769176,0.93399167,1
01,053,Alabama,Escambia County,36748,all,All,0.10073359,0.09678819,0.10467898,3,0.91928917,0.78461754,1.0539608,1
01,053,Alabama,Escambia County,36748,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.96894443,0.7965126,1.1413763,1
01,053,Alabama,Escambia County,36748,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,053,Alabama,Escambia County,36748,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,053,Alabama,Escambia County,36748,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.82711118,0.66604269,0.98817968,1
01,055,Alabama,Etowah County,102501,all,All,0.10663308,0.089103922,0.12416224,1,0.78274858,0.69984168,0.86565548,1
01,055,Alabama,Etowah County,102501,race-ethnicity,"Black, Non-Hispanic",0.16826923,0.11742776,0.21911071,1,0.8899892,0.73446077,1.0455177,1
01,055,Alabama,Etowah County,102501,race-ethnicity,Hispanic,NA,NA,NA,3,0.97206682,0.68622684,1.2579068,1
01,055,Alabama,Etowah County,102501,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3,NA,NA,NA,NA
01,055,Alabama,Etowah County,102501,race-ethnicity,"White, Non-Hispanic",0.097303636,0.077414453,0.11719282,1,0.72967768,0.64552093,0.81383443,1
01,057,Alabama,Fayette County,16433,all,All,0.10073359,0.09678819,0.10467898,3,0.72158933,0.50432312,0.93885553,1
01,057,Alabama,Fayette County,16433,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.78763568,0.35825819,1.2170132,3
01,057,Alabama,Fayette County,16433,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,057,Alabama,Fayette County,16433,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,057,Alabama,Fayette County,16433,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.65608692,0.44587696,0.86629689,1
01,059,Alabama,Franklin County,31363,all,All,0.10073359,0.09678819,0.10467898,3,0.79975539,0.66548085,0.93402994,1
01,059,Alabama,Franklin County,31363,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,NA,NA,NA,NA
01,059,Alabama,Franklin County,31363,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,0.90349036,0.70149469,1.105486,1
01,059,Alabama,Franklin County,31363,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,059,Alabama,Franklin County,31363,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.72477931,0.58459383,0.86496478,1
01,061,Alabama,Geneva County,26314,all,All,0.10073359,0.09678819,0.10467898,3,0.96491987,0.79495168,1.1348881,1
01,061,Alabama,Geneva County,26314,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.892869,0.53767002,1.248068,1
01,061,Alabama,Geneva County,26314,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,061,Alabama,Geneva County,26314,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,061,Alabama,Geneva County,26314,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.97339714,0.80727541,1.1395189,1
01,063,Alabama,Greene County,8233,all,All,0.10073359,0.09678819,0.10467898,3,0.67099077,0.37332058,0.96866095,1
01,063,Alabama,Greene County,8233,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.64597213,0.40511912,0.88682514,1
01,063,Alabama,Greene County,8233,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,063,Alabama,Greene County,8233,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,063,Alabama,Greene County,8233,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,NA,NA,NA,NA
01,065,Alabama,Hale County,14726,all,All,0.10073359,0.09678819,0.10467898,3,1.0310644,0.78501552,1.2771133,1
01,065,Alabama,Hale County,14726,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,1.0963339,0.86688393,1.3257838,1
01,065,Alabama,Hale County,14726,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,065,Alabama,Hale County,14726,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,065,Alabama,Hale County,14726,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.92712891,0.46906593,1.3851919,1
01,067,Alabama,Henry County,17209,all,All,0.10073359,0.09678819,0.10467898,3,1.0025274,0.81108654,1.1939682,1
01,067,Alabama,Henry County,17209,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.9896965,0.72690934,1.2524836,1
01,067,Alabama,Henry County,17209,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,067,Alabama,Henry County,17209,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,067,Alabama,Henry County,17209,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.9492889,0.73268807,1.1658897,1
01,069,Alabama,Houston County,104722,all,All,0.10672515,0.090363055,0.12308724,1,0.80163556,0.71850532,0.8847658,1
01,069,Alabama,Houston County,104722,race-ethnicity,"Black, Non-Hispanic",0.16049382,0.12785916,0.19312848,1,0.75767618,0.6514253,0.86392707,1
01,069,Alabama,Houston County,104722,race-ethnicity,Hispanic,NA,NA,NA,3,1.0235639,2.1146775e-4,2.0469162,3
01,069,Alabama,Houston County,104722,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3,NA,NA,NA,NA
01,069,Alabama,Houston County,104722,race-ethnicity,"White, Non-Hispanic",0.073697589,0.055443015,0.091952167,1,0.78309143,0.68398416,0.88219869,1
01,071,Alabama,Jackson County,51736,all,All,0.10073359,0.09678819,0.10467898,3,0.79607219,0.68248773,0.90965664,1
01,071,Alabama,Jackson County,51736,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.88991803,0.16647449,1.6133616,3
01,071,Alabama,Jackson County,51736,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,0.69714063,0.047948498,1.3463328,3
01,071,Alabama,Jackson County,51736,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,071,Alabama,Jackson County,51736,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.79986143,0.69330329,0.90641958,1
01,073,Alabama,Jefferson County,659300,all,All,0.11694936,0.11008961,0.12380911,1,0.86449623,0.83046913,0.89852333,1
01,073,Alabama,Jefferson County,659300,race-ethnicity,"Black, Non-Hispanic",0.16461127,0.15271048,0.17651205,1,0.86892992,0.82524055,0.91261929,2
01,073,Alabama,Jefferson County,659300,race-ethnicity,Hispanic,0.089939028,0.068045616,0.11183244,1,0.92609352,0.75951105,1.0926759,2
01,073,Alabama,Jefferson County,659300,race-ethnicity,Other Races and Ethnicities,0.077669904,0.047826633,0.10751317,2,NA,NA,NA,NA
01,073,Alabama,Jefferson County,659300,race-ethnicity,"White, Non-Hispanic",0.077129081,0.068571553,0.085686609,1,0.74366766,0.69833821,0.78899711,2
01,075,Alabama,Lamar County,13844,all,All,0.10073359,0.09678819,0.10467898,3,0.80173796,0.59032947,1.0131464,1
01,075,Alabama,Lamar County,13844,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.88134438,0.42585051,1.3368382,3
01,075,Alabama,Lamar County,13844,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,075,Alabama,Lamar County,13844,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,075,Alabama,Lamar County,13844,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.81660575,0.61452055,1.0186909,1
01,077,Alabama,Lauderdale County,92387,all,All,0.10073359,0.09678819,0.10467898,3,1.0332123,0.93144345,1.1349812,1
01,077,Alabama,Lauderdale County,92387,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.88960022,0.27973327,1.4994671,3
01,077,Alabama,Lauderdale County,92387,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,0.19938722,-1.0001978,1.3989722,3
01,077,Alabama,Lauderdale County,92387,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,077,Alabama,Lauderdale County,92387,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,1.0073856,0.90599567,1.1087755,2
