year,state,county,subgroup_type,subgroup,Broad industry,Unweighted N,share_employed,share_employed_ub,share_employed_lb,employed_quality
2018,6,1,race-ethnicity,Hispanic,Construction,789,0.941750473,0.95809347,0.925407476,1
2018,6,1,race-ethnicity,Hispanic,"Educational Services, and Health Care and Social Assistance",1122,0.916875811,0.933029757,0.900721866,1
2018,6,1,race-ethnicity,Hispanic,"Finance and Insurance, and Real Estate, and Rental and Leasing",275,0.93581245,0.964779851,0.906845048,1
2018,6,1,race-ethnicity,Hispanic,Information,138,0.929041697,0.971880344,0.886203051,1
2018,6,1,race-ethnicity,Hispanic,Manufacturing,581,0.919795471,0.941881269,0.897709674,1
2018,6,1,race-ethnicity,Hispanic,Military,12,,,,3
2018,6,1,race-ethnicity,Hispanic,Not in universe,801,0,0,0,1
2018,6,1,race-ethnicity,Hispanic,"Other Services, Except Public Administration",386,0.891173416,0.922241254,0.860105579,1
2018,6,1,race-ethnicity,Hispanic,"Professional, Scientific, and Management, and Administrative,  and Waste Management Services",934,0.905055963,0.923855805,0.886256121,1
2018,6,1,race-ethnicity,Hispanic,Public Administration,178,0.926247897,0.964644861,0.887850932,1
2018,6,1,race-ethnicity,Hispanic,Retail Trade,584,0.886180078,0.911938531,0.860421625,1
2018,6,1,race-ethnicity,Hispanic,"Transportation and Warehousing, and Utilities",301,0.92999148,0.958817704,0.901165256,1
2018,6,1,race-ethnicity,Hispanic,"Unemployed, last worked 5 years ago or earlier or never worked",48,0,0,0,3
2018,6,1,race-ethnicity,Hispanic,Wholesale Trade,183,0.94235706,0.976125526,0.908588593,1
2018,6,1,race-ethnicity,Other Races and Ethnicities,"Agriculture, Forestry, Fishing, and Hunting, and Mining",25,,,,3
2018,6,1,race-ethnicity,Other Races and Ethnicities,"Arts, Entertainment, and Recreation, and Accommodation and Food Services",712,0.858771493,0.884352407,0.833190578,1
2018,6,1,race-ethnicity,Other Races and Ethnicities,Construction,257,0.866990129,0.908508329,0.825471928,1
2018,6,1,race-ethnicity,Other Races and Ethnicities,"Educational Services, and Health Care and Social Assistance",2408,0.915988989,0.927069022,0.904908956,1
2018,6,1,race-ethnicity,Other Races and Ethnicities,"Finance and Insurance, and Real Estate, and Rental and Leasing",867,0.932737285,0.949410271,0.916064299,1
2018,6,1,race-ethnicity,Other Races and Ethnicities,Information,588,0.932675045,0.952929503,0.912420587,1
2018,6,1,race-ethnicity,Other Races and Ethnicities,Manufacturing,1620,0.931535337,0.943833252,0.919237423,1
2018,6,1,race-ethnicity,Other Races and Ethnicities,Military,12,,,,3
2018,6,1,race-ethnicity,Other Races and Ethnicities,Not in universe,1328,0,0,0,1
2018,6,1,race-ethnicity,Other Races and Ethnicities,"Other Services, Except Public Administration",506,0.893867925,0.920705348,0.867030501,1
2018,6,1,race-ethnicity,Other Races and Ethnicities,"Professional, Scientific, and Management, and Administrative,  and Waste Management Services",2856,0.911579846,0.921992225,0.901167468,1
2018,6,1,race-ethnicity,Other Races and Ethnicities,Public Administration,351,0.944103911,0.968136642,0.920071181,1
2018,6,1,race-ethnicity,Other Races and Ethnicities,Retail Trade,877,0.866655428,0.889154633,0.844156223,1
2018,6,1,race-ethnicity,Other Races and Ethnicities,"Transportation and Warehousing, and Utilities",489,0.919807311,0.943879604,0.895735018,1
2018,6,1,race-ethnicity,Other Races and Ethnicities,"Unemployed, last worked 5 years ago or earlier or never worked",80,0,0,0,3
2018,6,1,race-ethnicity,Other Races and Ethnicities,Wholesale Trade,322,0.91718725,0.94728997,0.887084529,1
2018,6,1,race-ethnicity,"White, Non-Hispanic","Agriculture, Forestry, Fishing, and Hunting, and Mining",50,0.855942377,0.953275679,0.758609075,3
2018,6,1,race-ethnicity,"White, Non-Hispanic","Arts, Entertainment, and Recreation, and Accommodation and Food Services",796,0.842677125,0.867971624,0.817382626,1
2018,6,1,race-ethnicity,"White, Non-Hispanic",Construction,527,0.909681171,0.934154019,0.885208323,1
2018,6,1,race-ethnicity,"White, Non-Hispanic","Educational Services, and Health Care and Social Assistance",2732,0.900035301,0.911283133,0.888787469,1
2018,6,1,race-ethnicity,"White, Non-Hispanic","Finance and Insurance, and Real Estate, and Rental and Leasing",774,0.919057599,0.938272803,0.899842395,1
2018,6,1,race-ethnicity,"White, Non-Hispanic",Information,627,0.927657573,0.947934992,0.907380153,1
2018,6,1,race-ethnicity,"White, Non-Hispanic",Manufacturing,984,0.931551424,0.94732914,0.915773707,1
2018,6,1,race-ethnicity,"White, Non-Hispanic",Military,32,0.703125,0.861426185,0.544823815,3
2018,6,1,race-ethnicity,"White, Non-Hispanic",Not in universe,685,0,0,0,1
2018,6,1,race-ethnicity,"White, Non-Hispanic","Other Services, Except Public Administration",526,0.882237183,0.909783273,0.854691092,1
2018,6,1,race-ethnicity,"White, Non-Hispanic","Professional, Scientific, and Management, and Administrative,  and Waste Management Services",2718,0.914678068,0.925180644,0.904175493,1
2018,6,1,race-ethnicity,"White, Non-Hispanic",Public Administration,410,0.960814179,0.979596459,0.942031899,1
2018,6,1,race-ethnicity,"White, Non-Hispanic",Retail Trade,942,0.870014935,0.891490307,0.848539562,1
2018,6,1,race-ethnicity,"White, Non-Hispanic","Transportation and Warehousing, and Utilities",383,0.930445311,0.95592331,0.904967313,1
2018,6,1,race-ethnicity,"White, Non-Hispanic","Unemployed, last worked 5 years ago or earlier or never worked",36,0,0,0,3
2018,6,1,race-ethnicity,"White, Non-Hispanic",Wholesale Trade,296,0.934249084,0.962484388,0.906013781,1
2018,6,13,race-ethnicity,"Black, Non-Hispanic","Agriculture, Forestry, Fishing, and Hunting, and Mining",3,,,,3
2018,6,13,race-ethnicity,"Black, Non-Hispanic","Arts, Entertainment, and Recreation, and Accommodation and Food Services",54,0.716232228,0.836477402,0.595987053,3
2018,6,13,race-ethnicity,"Black, Non-Hispanic",Construction,37,0.767710049,0.903782132,0.631637967,3
2018,6,13,race-ethnicity,"Black, Non-Hispanic","Educational Services, and Health Care and Social Assistance",333,0.903929727,0.935581337,0.872278118,1
2018,6,13,race-ethnicity,"Black, Non-Hispanic","Finance and Insurance, and Real Estate, and Rental and Leasing",66,0.92999489,0.991553564,0.868436216,3
2018,6,13,race-ethnicity,"Black, Non-Hispanic",Information,27,,,,3
2018,6,13,race-ethnicity,"Black, Non-Hispanic",Manufacturing,49,0.842470507,0.9444743,0.740466713,3
2018,6,13,race-ethnicity,"Black, Non-Hispanic",Military,1,,,,3
2018,6,13,race-ethnicity,"Black, Non-Hispanic",Not in universe,129,0,0,0,1
2018,6,13,race-ethnicity,"Black, Non-Hispanic","Other Services, Except Public Administration",36,0.78,0.915320459,0.644679541,3
2018,6,13,race-ethnicity,"Black, Non-Hispanic","Professional, Scientific, and Management, and Administrative,  and Waste Management Services",131,0.810183951,0.877339006,0.743028896,1
2018,6,13,race-ethnicity,"Black, Non-Hispanic",Public Administration,79,0.860119048,0.93660842,0.783629675,3
2018,6,13,race-ethnicity,"Black, Non-Hispanic",Retail Trade,107,0.810686195,0.88491658,0.73645581,1
2018,6,13,race-ethnicity,"Black, Non-Hispanic","Transportation and Warehousing, and Utilities",120,0.842000991,0.90726127,0.776740711,1
2018,6,13,race-ethnicity,"Black, Non-Hispanic","Unemployed, last worked 5 years ago or earlier or never worked",14,,,,3
2018,6,13,race-ethnicity,"Black, Non-Hispanic",Wholesale Trade,17,,,,3
2018,6,13,race-ethnicity,Hispanic,"Agriculture, Forestry, Fishing, and Hunting, and Mining",65,0.705517669,0.816328691,0.594706647,3
2018,6,13,race-ethnicity,Hispanic,"Arts, Entertainment, and Recreation, and Accommodation and Food Services",439,0.854641118,0.88761245,0.821669787,1
2018,6,13,race-ethnicity,Hispanic,Construction,535,0.914784394,0.938443489,0.8911253,1
2018,6,13,race-ethnicity,Hispanic,"Educational Services, and Health Care and Social Assistance",719,0.877218935,0.90120789,0.85322998,1
2018,6,13,race-ethnicity,Hispanic,"Finance and Insurance, and Real Estate, and Rental and Leasing",242,0.880361545,0.921251282,0.839471808,1
2018,6,13,race-ethnicity,Hispanic,Information,72,0.914255091,0.978928788,0.849581394,3
2018,6,13,race-ethnicity,Hispanic,Manufacturing,248,0.855466337,0.899230255,0.811702419,1
2018,6,13,race-ethnicity,Hispanic,Military,5,,,,3
2018,6,13,race-ethnicity,Hispanic,Not in universe,520,0,0,0,1
2018,6,13,race-ethnicity,Hispanic,"Other Services, Except Public Administration",266,0.877930477,0.917271798,0.838589156,1
2018,6,13,race-ethnicity,Hispanic,"Professional, Scientific, and Management, and Administrative,  and Waste Management Services",588,0.911879896,0.934792462,0.88896733,1
2018,6,13,race-ethnicity,Hispanic,Public Administration,153,0.950550927,0.984904913,0.916196942,1
2018,6,13,race-ethnicity,Hispanic,Retail Trade,357,0.819897084,0.859759352,0.780034816,1
2018,6,13,race-ethnicity,Hispanic,"Transportation and Warehousing, and Utilities",191,0.920746388,0.959056986,0.882435791,1
2018,6,13,race-ethnicity,Hispanic,"Unemployed, last worked 5 years ago or earlier or never worked",36,0,0,0,3
2018,6,13,race-ethnicity,Hispanic,Wholesale Trade,94,0.887671233,0.951506946,0.82383552,3
2018,6,13,race-ethnicity,Other Races and Ethnicities,"Agriculture, Forestry, Fishing, and Hunting, and Mining",16,,,,3
2018,6,13,race-ethnicity,Other Races and Ethnicities,"Arts, Entertainment, and Recreation, and Accommodation and Food Services",299,0.820741567,0.864218959,0.777264174,1
2018,6,13,race-ethnicity,Other Races and Ethnicities,Construction,115,0.856417694,0.920509193,0.792326195,1
2018,6,13,race-ethnicity,Other Races and Ethnicities,"Educational Services, and Health Care and Social Assistance",1049,0.904557901,0.922338914,0.886776888,1
2018,6,13,race-ethnicity,Other Races and Ethnicities,"Finance and Insurance, and Real Estate, and Rental and Leasing",389,0.941088137,0.964487164,0.91768911,1
2018,6,13,race-ethnicity,Other Races and Ethnicities,Information,144,0.903562433,0.951776862,0.855348003,1
2018,6,13,race-ethnicity,Other Races and Ethnicities,Manufacturing,385,0.899504172,0.929537352,0.869470993,1
2018,6,13,race-ethnicity,Other Races and Ethnicities,Military,4,,,,3
2018,6,13,race-ethnicity,Other Races and Ethnicities,Not in universe,492,0,0,0,1
2018,6,13,race-ethnicity,Other Races and Ethnicities,"Other Services, Except Public Administration",179,0.820061076,0.876336039,0.763786113,1
2018,6,13,race-ethnicity,Other Races and Ethnicities,"Professional, Scientific, and Management, and Administrative,  and Waste Management Services",843,0.88370671,0.905347529,0.862065891,1
2018,6,13,race-ethnicity,Other Races and Ethnicities,Public Administration,162,0.926499578,0.966684774,0.886314381,1
2018,6,13,race-ethnicity,Other Races and Ethnicities,Retail Trade,398,0.850579602,0.885604507,0.815554698,1
2018,6,13,race-ethnicity,Other Races and Ethnicities,"Transportation and Warehousing, and Utilities",229,0.927123928,0.960790563,0.893457294,1
2018,6,13,race-ethnicity,Other Races and Ethnicities,"Unemployed, last worked 5 years ago or earlier or never worked",28,,,,3
2018,6,13,race-ethnicity,Other Races and Ethnicities,Wholesale Trade,98,0.823501873,0.898984217,0.748019528,3
2018,6,13,race-ethnicity,"White, Non-Hispanic","Agriculture, Forestry, Fishing, and Hunting, and Mining",42,0.811181435,0.929543565,0.692819304,3
2018,6,13,race-ethnicity,"White, Non-Hispanic","Arts, Entertainment, and Recreation, and Accommodation and Food Services",478,0.83690159,0.870022646,0.803780533,1
2018,6,13,race-ethnicity,"White, Non-Hispanic",Construction,529,0.850012018,0.880439709,0.819584327,1
2018,6,13,race-ethnicity,"White, Non-Hispanic","Educational Services, and Health Care and Social Assistance",1792,0.884009834,0.898835909,0.869183758,1
2018,6,13,race-ethnicity,"White, Non-Hispanic","Finance and Insurance, and Real Estate, and Rental and Leasing",744,0.926252777,0.945033279,0.907472275,1
2018,6,13,race-ethnicity,"White, Non-Hispanic",Information,314,0.924120023,0.95341,0.894830046,1
2018,6,13,race-ethnicity,"White, Non-Hispanic",Manufacturing,543,0.919217391,0.942137898,0.896296885,1
2018,6,13,race-ethnicity,"White, Non-Hispanic",Military,15,,,,3
2018,6,13,race-ethnicity,"White, Non-Hispanic",Not in universe,676,0,0,0,1
2018,6,13,race-ethnicity,"White, Non-Hispanic","Other Services, Except Public Administration",334,0.866888314,0.903319433,0.830457196,1
2018,6,13,race-ethnicity,"White, Non-Hispanic","Professional, Scientific, and Management, and Administrative,  and Waste Management Services",1422,0.898448472,0.914148343,0.882748601,1
2018,6,13,race-ethnicity,"White, Non-Hispanic",Public Administration,371,0.932716569,0.958208223,0.907224914,1
2018,6,13,race-ethnicity,"White, Non-Hispanic",Retail Trade,726,0.835570663,0.862533712,0.808607614,1
2018,6,13,race-ethnicity,"White, Non-Hispanic","Transportation and Warehousing, and Utilities",315,0.91916955,0.949270909,0.889068191,1
2018,6,13,race-ethnicity,"White, Non-Hispanic","Unemployed, last worked 5 years ago or earlier or never worked",35,0,0,0,3
2018,6,13,race-ethnicity,"White, Non-Hispanic",Wholesale Trade,187,0.919182315,0.958247448,0.880117183,1
2018,6,41,race-ethnicity,"Black, Non-Hispanic","Agriculture, Forestry, Fishing, and Hunting, and Mining",0,,,,3
2018,6,41,race-ethnicity,"Black, Non-Hispanic","Arts, Entertainment, and Recreation, and Accommodation and Food Services",4,,,,3
2018,6,41,race-ethnicity,"Black, Non-Hispanic",Construction,1,,,,3
2018,6,41,race-ethnicity,"Black, Non-Hispanic","Educational Services, and Health Care and Social Assistance",15,,,,3
2018,6,41,race-ethnicity,"Black, Non-Hispanic","Finance and Insurance, and Real Estate, and Rental and Leasing",5,,,,3
2018,6,41,race-ethnicity,"Black, Non-Hispanic",Information,1,,,,3
2018,6,41,race-ethnicity,"Black, Non-Hispanic",Manufacturing,1,,,,3
2018,6,41,race-ethnicity,"Black, Non-Hispanic",Military,0,,,,3
2018,6,41,race-ethnicity,"Black, Non-Hispanic",Not in universe,6,,,,3
2018,6,41,race-ethnicity,"Black, Non-Hispanic","Other Services, Except Public Administration",3,,,,3
2018,6,41,race-ethnicity,"Black, Non-Hispanic","Professional, Scientific, and Management, and Administrative,  and Waste Management Services",5,,,,3
2018,6,41,race-ethnicity,"Black, Non-Hispanic",Public Administration,3,,,,3
2018,6,41,race-ethnicity,"Black, Non-Hispanic",Retail Trade,5,,,,3
2018,6,41,race-ethnicity,"Black, Non-Hispanic","Transportation and Warehousing, and Utilities",0,,,,3
2018,6,41,race-ethnicity,"Black, Non-Hispanic","Unemployed, last worked 5 years ago or earlier or never worked",0,,,,3
2018,6,41,race-ethnicity,"Black, Non-Hispanic",Wholesale Trade,0,,,,3
2018,6,41,race-ethnicity,Hispanic,"Agriculture, Forestry, Fishing, and Hunting, and Mining",8,,,,3
2018,6,41,race-ethnicity,Hispanic,"Arts, Entertainment, and Recreation, and Accommodation and Food Services",56,0.886455331,0.969550134,0.803360529,3
2018,6,41,race-ethnicity,Hispanic,Construction,45,0.973966309,1,0.927440959,3
2018,6,41,race-ethnicity,Hispanic,"Educational Services, and Health Care and Social Assistance",91,0.864336246,0.934693463,0.793979029,3
2018,6,41,race-ethnicity,Hispanic,"Finance and Insurance, and Real Estate, and Rental and Leasing",32,0.872049689,0.987786729,0.75631265,3
2018,6,41,race-ethnicity,Hispanic,Information,11,,,,3
2018,6,41,race-ethnicity,Hispanic,Manufacturing,27,,,,3
2018,6,41,race-ethnicity,Hispanic,Military,1,,,,3
2018,6,41,race-ethnicity,Hispanic,Not in universe,53,0,0,0,3
2018,6,41,race-ethnicity,Hispanic,"Other Services, Except Public Administration",61,0.911749347,0.982934242,0.840564453,3
2018,6,41,race-ethnicity,Hispanic,"Professional, Scientific, and Management, and Administrative,  and Waste Management Services",82,0.921489126,0.979707378,0.863270875,3
2018,6,41,race-ethnicity,Hispanic,Public Administration,12,,,,3
2018,6,41,race-ethnicity,Hispanic,Retail Trade,63,0.898143741,0.972832042,0.82345544,3
2018,6,41,race-ethnicity,Hispanic,"Transportation and Warehousing, and Utilities",8,,,,3
2018,6,41,race-ethnicity,Hispanic,"Unemployed, last worked 5 years ago or earlier or never worked",2,,,,3
2018,6,41,race-ethnicity,Hispanic,Wholesale Trade,13,,,,3
2018,6,41,race-ethnicity,Other Races and Ethnicities,"Agriculture, Forestry, Fishing, and Hunting, and Mining",2,,,,3
2018,6,41,race-ethnicity,Other Races and Ethnicities,"Arts, Entertainment, and Recreation, and Accommodation and Food Services",37,0.90942029,1,0.816939189,3
2018,6,41,race-ethnicity,Other Races and Ethnicities,Construction,6,,,,3
2018,6,41,race-ethnicity,Other Races and Ethnicities,"Educational Services, and Health Care and Social Assistance",99,0.897482838,0.957234479,0.837731196,3
2018,6,41,race-ethnicity,Other Races and Ethnicities,"Finance and Insurance, and Real Estate, and Rental and Leasing",44,0.953554502,1,0.891371125,3
2018,6,41,race-ethnicity,Other Races and Ethnicities,Information,24,,,,3
2018,6,41,race-ethnicity,Other Races and Ethnicities,Manufacturing,26,,,,3
2018,6,41,race-ethnicity,Other Races and Ethnicities,Military,3,,,,3
2018,6,41,race-ethnicity,Other Races and Ethnicities,Not in universe,40,0,0,0,3
2018,6,41,race-ethnicity,Other Races and Ethnicities,"Other Services, Except Public Administration",39,0.935275081,1,0.858055186,3
2018,6,41,race-ethnicity,Other Races and Ethnicities,"Professional, Scientific, and Management, and Administrative,  and Waste Management Services",86,0.842469706,0.919465328,0.765474083,3
2018,6,41,race-ethnicity,Other Races and Ethnicities,Public Administration,15,,,,3
2018,6,41,race-ethnicity,Other Races and Ethnicities,Retail Trade,38,0.896440129,0.993317126,0.799563133,3
2018,6,41,race-ethnicity,Other Races and Ethnicities,"Transportation and Warehousing, and Utilities",11,,,,3
2018,6,41,race-ethnicity,Other Races and Ethnicities,"Unemployed, last worked 5 years ago or earlier or never worked",1,,,,3
2018,6,41,race-ethnicity,Other Races and Ethnicities,Wholesale Trade,12,,,,3
2018,6,41,race-ethnicity,"White, Non-Hispanic","Agriculture, Forestry, Fishing, and Hunting, and Mining",21,,,,3
2018,6,41,race-ethnicity,"White, Non-Hispanic","Arts, Entertainment, and Recreation, and Accommodation and Food Services",163,0.880390144,0.930207806,0.830572482,1
2018,6,41,race-ethnicity,"White, Non-Hispanic",Construction,132,0.912226671,0.960499391,0.86395395,1
2018,6,41,race-ethnicity,"White, Non-Hispanic","Educational Services, and Health Care and Social Assistance",530,0.888424921,0.915229692,0.861620149,1
2018,6,41,race-ethnicity,"White, Non-Hispanic","Finance and Insurance, and Real Estate, and Rental and Leasing",338,0.909969622,0.940484083,0.879455161,1
2018,6,41,race-ethnicity,"White, Non-Hispanic",Information,127,0.910520404,0.960163752,0.860877057,1
2018,6,41,race-ethnicity,"White, Non-Hispanic",Manufacturing,114,0.942977421,0.985544879,0.900409962,1
2018,6,41,race-ethnicity,"White, Non-Hispanic",Military,5,,,,3
2018,6,41,race-ethnicity,"White, Non-Hispanic",Not in universe,192,0,0,0,1
2018,6,41,race-ethnicity,"White, Non-Hispanic","Other Services, Except Public Administration",118,0.91521197,0.965474366,0.864949574,1
2018,6,41,race-ethnicity,"White, Non-Hispanic","Professional, Scientific, and Management, and Administrative,  and Waste Management Services",610,0.892515561,0.917094993,0.867936129,1
2018,6,41,race-ethnicity,"White, Non-Hispanic",Public Administration,82,0.936882547,0.989516556,0.884248537,3
2018,6,41,race-ethnicity,"White, Non-Hispanic",Retail Trade,221,0.801879838,0.854430588,0.749329088,1
2018,6,41,race-ethnicity,"White, Non-Hispanic","Transportation and Warehousing, and Utilities",72,0.906040269,0.973436321,0.838644216,3
2018,6,41,race-ethnicity,"White, Non-Hispanic","Unemployed, last worked 5 years ago or earlier or never worked",7,,,,3
2018,6,41,race-ethnicity,"White, Non-Hispanic",Wholesale Trade,85,0.923297081,0.979871915,0.866722247,3
2018,6,55,race-ethnicity,"Black, Non-Hispanic","Agriculture, Forestry, Fishing, and Hunting, and Mining",0,,,,3
2018,6,55,race-ethnicity,"Black, Non-Hispanic","Arts, Entertainment, and Recreation, and Accommodation and Food Services",3,,,,3
2018,6,55,race-ethnicity,"Black, Non-Hispanic",Construction,0,,,,3
2018,6,55,race-ethnicity,"Black, Non-Hispanic","Educational Services, and Health Care and Social Assistance",10,,,,3
2018,6,55,race-ethnicity,"Black, Non-Hispanic","Finance and Insurance, and Real Estate, and Rental and Leasing",2,,,,3
2018,6,55,race-ethnicity,"Black, Non-Hispanic",Information,1,,,,3
2018,6,55,race-ethnicity,"Black, Non-Hispanic",Manufacturing,4,,,,3
2018,6,55,race-ethnicity,"Black, Non-Hispanic",Military,0,,,,3
2018,6,55,race-ethnicity,"Black, Non-Hispanic",Not in universe,5,,,,3
2018,6,55,race-ethnicity,"Black, Non-Hispanic","Other Services, Except Public Administration",2,,,,3
2018,6,55,race-ethnicity,"Black, Non-Hispanic","Professional, Scientific, and Management, and Administrative,  and Waste Management Services",7,,,,3
2018,6,55,race-ethnicity,"Black, Non-Hispanic",Public Administration,2,,,,3
2018,6,55,race-ethnicity,"Black, Non-Hispanic",Retail Trade,0,,,,3
2018,6,55,race-ethnicity,"Black, Non-Hispanic","Transportation and Warehousing, and Utilities",2,,,,3
2018,6,55,race-ethnicity,"Black, Non-Hispanic","Unemployed, last worked 5 years ago or earlier or never worked",0,,,,3
2018,6,55,race-ethnicity,"Black, Non-Hispanic",Wholesale Trade,1,,,,3
2018,6,55,race-ethnicity,Hispanic,"Agriculture, Forestry, Fishing, and Hunting, and Mining",86,0.853580048,0.928298713,0.778861383,3
2018,6,55,race-ethnicity,Hispanic,"Arts, Entertainment, and Recreation, and Accommodation and Food Services",104,0.880980163,0.943214798,0.818745529,1
2018,6,55,race-ethnicity,Hispanic,Construction,50,0.922401171,0.996559268,0.848243075,3
2018,6,55,race-ethnicity,Hispanic,"Educational Services, and Health Care and Social Assistance",128,0.93737614,0.979349907,0.895402372,1
2018,6,55,race-ethnicity,Hispanic,"Finance and Insurance, and Real Estate, and Rental and Leasing",29,,,,3
2018,6,55,race-ethnicity,Hispanic,Information,5,,,,3
2018,6,55,race-ethnicity,Hispanic,Manufacturing,101,0.905954826,0.962881644,0.849028007,1
2018,6,55,race-ethnicity,Hispanic,Military,0,,,,3
2018,6,55,race-ethnicity,Hispanic,Not in universe,80,0,0,0,3
2018,6,55,race-ethnicity,Hispanic,"Other Services, Except Public Administration",48,0.868324125,0.963983931,0.77266432,3
2018,6,55,race-ethnicity,Hispanic,"Professional, Scientific, and Management, and Administrative,  and Waste Management Services",67,0.90562249,0.975627082,0.835617898,3
2018,6,55,race-ethnicity,Hispanic,Public Administration,29,,,,3
2018,6,55,race-ethnicity,Hispanic,Retail Trade,55,0.903225807,0.981362077,0.825089536,3
2018,6,55,race-ethnicity,Hispanic,"Transportation and Warehousing, and Utilities",20,,,,3
2018,6,55,race-ethnicity,Hispanic,"Unemployed, last worked 5 years ago or earlier or never worked",4,,,,3
2018,6,55,race-ethnicity,Hispanic,Wholesale Trade,17,,,,3
2018,6,55,race-ethnicity,Other Races and Ethnicities,"Agriculture, Forestry, Fishing, and Hunting, and Mining",3,,,,3
2018,6,55,race-ethnicity,Other Races and Ethnicities,"Arts, Entertainment, and Recreation, and Accommodation and Food Services",22,,,,3
2018,6,55,race-ethnicity,Other Races and Ethnicities,Construction,17,,,,3
2018,6,55,race-ethnicity,Other Races and Ethnicities,"Educational Services, and Health Care and Social Assistance",146,0.834736376,0.894984419,0.774488332,1
2018,6,55,race-ethnicity,Other Races and Ethnicities,"Finance and Insurance, and Real Estate, and Rental and Leasing",21,,,,3
2018,6,55,race-ethnicity,Other Races and Ethnicities,Information,8,,,,3
2018,6,55,race-ethnicity,Other Races and Ethnicities,Manufacturing,28,,,,3
2018,6,55,race-ethnicity,Other Races and Ethnicities,Military,1,,,,3
2018,6,55,race-ethnicity,Other Races and Ethnicities,Not in universe,30,0,0,0,3
2018,6,55,race-ethnicity,Other Races and Ethnicities,"Other Services, Except Public Administration",10,,,,3
2018,6,55,race-ethnicity,Other Races and Ethnicities,"Professional, Scientific, and Management, and Administrative,  and Waste Management Services",28,,,,3
2018,6,55,race-ethnicity,Other Races and Ethnicities,Public Administration,20,,,,3
2018,6,55,race-ethnicity,Other Races and Ethnicities,Retail Trade,32,0.933665008,1,0.847437078,3
2018,6,55,race-ethnicity,Other Races and Ethnicities,"Transportation and Warehousing, and Utilities",12,,,,3
2018,6,55,race-ethnicity,Other Races and Ethnicities,"Unemployed, last worked 5 years ago or earlier or never worked",0,,,,3
2018,6,55,race-ethnicity,Other Races and Ethnicities,Wholesale Trade,6,,,,3
2018,6,55,race-ethnicity,"White, Non-Hispanic","Agriculture, Forestry, Fishing, and Hunting, and Mining",36,0.957230143,1,0.891133119,3
2018,6,55,race-ethnicity,"White, Non-Hispanic","Arts, Entertainment, and Recreation, and Accommodation and Food Services",187,0.902777778,0.945240562,0.860314993,1
2018,6,55,race-ethnicity,"White, Non-Hispanic",Construction,109,0.933295964,0.980137225,0.886454704,1
2018,6,55,race-ethnicity,"White, Non-Hispanic","Educational Services, and Health Care and Social Assistance",365,0.932120758,0.957926373,0.906315142,1
2018,6,55,race-ethnicity,"White, Non-Hispanic","Finance and Insurance, and Real Estate, and Rental and Leasing",75,0.927794263,0.986372613,0.869215913,3
2018,6,55,race-ethnicity,"White, Non-Hispanic",Information,37,0.885177453,0.987904303,0.782450604,3
2018,6,55,race-ethnicity,"White, Non-Hispanic",Manufacturing,224,0.958579882,0.984674556,0.932485207,1
2018,6,55,race-ethnicity,"White, Non-Hispanic",Military,4,,,,3
