"School Year",State,"File Spec","Data Group","Reporting Level","Data Note","State Note"
2021-2022,ILLINOIS,118,655,LEA,"Year to Year comparison: The State reported a change of 56% between the prior year and the current year number for English Learner Status.",
2021-2022,ILLINOIS,"118,195","655,814","LEA,SCH","Across File Comparison: In 77 LEAs, no homeless enrolled students were reported in FS118/DG655, but homeless enrolled students were reported as chronically absent in FS195/DG814.",
2021-2022,ILLINOIS,"118,170","655,754",LEA,"Across File Comparison: 81 LEAs with membership were reported as subgrantees in FS170, but were excluded from FS118.",
2021-2022,INDIANA,118,655,LEA,"Year to Year comparison: The State reported a change of -20% between the prior year and the current year number of homeless unaccompanied youth.","Data is accurate per collected data from LEAs."
2021-2022,INDIANA,"118,195","655,814","LEA,SCH","Across File Comparison: In 34 LEAs, no homeless enrolled students were reported in FS118/DG655, but homeless enrolled students were reported as chronically absent in FS195/DG814.","In FS118, students homeless status is reported as identifid by the LEA.  In FS195, students are identified demographically as homeless or not (if any LEA reported them), so students could be in the homeless demographic group and show up in FS195 but not reported by the specific LEA in FS118."
2021-2022,KENTUCKY,118,655,LEA,"Year to Year comparison: The State reported a change of 37% between the prior year and the current year number of homeless unaccompanied youth.","When reviewing the data for Unaccompanied Youth (UY) from 20-21 to 21-22 the increase is correct based on the LEA data obtained from the student information system. 
The increases seem relevant considering the overall population of homeless students indicate an increase between the two years. The change can be attributed to the decrease in reporting of homeless students being served during the 20-21 SY due to the pandemic, reference comparison of year prior to and following the pandemic."
2021-2022,LOUISIANA,118,655,LEA,"Year to Year comparison: The State reported a change of 2583% between the prior year and the current year number for English learner status.",
2021-2022,LOUISIANA,"118,175","583,655",LEA,"Across file comparison: LEA data show more students reported in Grade 3, 5, and 6 as valid test takers in FS175 than were reported as enrolled in FS118.","FS175 is the number of students who took the assessment,received a valid score, and were assigned a proficiency level; but FS118 is SIS enrollment count at end of school year. They can be different since the data source is different."
2021-2022,LOUISIANA,"118,179","585,655",LEA,"Across file comparison: LEA data show more students reported in Grade 3, 5, and 6 as valid test takers in FS178 than were reported as enrolled in FS118.","FS178 is the number of students who took the assessment,received a valid score, and were assigned a proficiency level; but FS118 is SIS enrollment count at end of school year. They can be different since the data source is different."
2021-2022,LOUISIANA,"118,179","585,655",LEA,"Across file comparison: LEA data show more students reported in Grade 3, 5, and 6 as valid test takers in FS179 than were reported as enrolled in FS118.","FS179 is the number of students who took the assessment,received a valid score, and were assigned a proficiency level; but FS118 is SIS enrollment count at end of school year. They can be different since the data source is different."
2021-2022,MAINE,118,655,LEA,"Year to Year comparison: The LEA data indicate a change of 33% between the prior year and the current year total homeless student enrollment in Category Set A.","Professional development and awareness building of McKinney-Vento has increased significantly over the year, with the hiring of contractors to support the work under ARP-HCY. Over 4000 individuals participated in professional learning about McKinney-Vento in recent years, which would lead to more understanding and referrals. Additionally, Maine is experiencing an affordable housing crisis, and through the Emergency Rental Assistance program, most families were sheltered in hotels/motels. Increased understanding in LEAs on documenting homeless status in their student information systems is also leading to increased identification."
2021-2022,MARYLAND,118,655,LEA,"Year to Year comparison: The State reported a change of 66% between the prior year and the current year number for English Learner Status.","The data are accurate as reported. The state observed an overall increase in the number of homeless students in 2022.  Also, there was an increase overall in the state of English Learner students."
2021-2022,MARYLAND,118,655,LEA,"Year to Year comparison: The State reported a change of 72% between the prior year and the current year number of homeless unaccompanied youth.","The data are accurate as reported. The state observed an overall increase in the number of homeless students in 2022."
2021-2022,MASSACHUSETTS,118,655,LEA,"Year to Year comparison: The State reported a change of 29% between the prior year and the current year number for English Learner Status.","These data are correct.   Statewide, we saw significant increases in the ELL population during the 21-22 SY across many student groups and overall.  We believe this was due to both an increase in student population from families where English is not the first language, as well as an increase in identification which lapsed during the pandemic year 20-21 and resumed during 21-22 SY.  These data are correct at both the SEA and LEA level."
2021-2022,MICHIGAN,"118,195","655,814","LEA,SCH","Across File Comparison: In 32 LEAs, no homeless enrolled students were reported in FS118/DG655, but homeless enrolled students were reported as chronically absent in FS195/DG814.","The data reported accurately reflect the data submitted to the SEA. FS 118 business rules state the student must be homeless identified by the district and the nighttime residence reported. Therefore, FS118 only includes districts reporting a homeless nighttime district for homeless students (that is, the district specifically identified the student as homeless).
Students may be enrolled in multiple districts during in a school year and our business rules for FS 195 use the homeless flag at the student level which spans these district enrollments."
2021-2022,MICHIGAN,"118,170","655,754",LEA,"Across File Comparison: 86 LEAs with membership were reported as subgrantees in FS170, but were excluded from FS118.","The data reported accurately reflect the data submitted to the SEA. Michigan allows LEAs to participate as consortium members in McKinney-Vento subgrants whether or not they have counts of student experiencing homeless as allowed under the law.  FS118 only includes districts reporting a homeless nighttime district for homeless students (that is, the district specifically identified the student as homeless). Participating LEAs included in FS 170 that do not have identified students experiencing homelessness will not be included in FS118."
2021-2022,MINNESOTA,"118,195","655,814","LEA,SCH","Across File Comparison: In 120 LEAs, no homeless enrolled students were reported in FS118/DG655, but homeless enrolled students were reported as chronically absent in FS195/DG814.","These are the result of a difference in data collection systems for the two files. Data for 118 are collected via survey to allow for reporting of nighttime residence. Data for 195 are collected from the statewide student record system which has data on attendance but not on nighttime residence. Minnesota is shifting to use the Ed-Fi data collection protocol to collect all of this data from a single source. Some districts have started reporting all necessary data via Ed-Fi, and the participation rate is expected to increase dramatically for these elements."
2021-2022,MINNESOTA,118,655,"LEA,SEA","SEA to LEA Comparison: The total number of homeless enrolled students reported at the SEA-level is greater than or equal to the sum of the total homeless enrolled students reported across LEAs in the LEA-level data. The LEA-level data should be greater.","The SEA-level data are aggregated from the LEA-level data in a survey. The shift to the Ed-Fi protocol will allow for an unduplicated SEA-level count."
2021-2022,MISSISSIPPI,118,655,LEA,"Year to Year comparison: The LEA data indicate a change of -26% between the prior year and the current year total homeless student enrollment in Category Set A.","The data has been verified as accurate."
2021-2022,MISSISSIPPI,118,655,LEA,"Year to Year comparison: The State reported a change of -18% between the prior year and the current year number for disability status.","The data has been verified as accurate."
2021-2022,MISSISSIPPI,"118,195","655,814","LEA,SCH","Across File Comparison: In 12 LEAs, no homeless enrolled students were reported in FS118/DG655, but homeless enrolled students were reported as chronically absent in FS195/DG814.","The data has been verified as accurate. For chronic absence calculations, students' homeless status is captured at the end of the year. This may result in differences (higher and lower) in homeless enrolled counts, where students are counted in each LEA in which they were enrolled."
2021-2022,NEVADA,118,655,LEA,"Year to Year comparison: The State reported a change of -69% between the prior year and the current year number for disability status.","The process Nevada has used to pull the reporting data has  changed.  During the change in process it was found that although all homeless students were reported the disability status reporting may be incomplete."
2021-2022,"NEW HAMPSHIRE","118,195","655,814","LEA,SCH","Across File Comparison: In 6 LEAs, no homeless enrolled students were reported in FS118/DG655, but homeless enrolled students were reported as chronically absent in FS195/DG814.","Absenteeism uses the student's school ID from the end of the school year, wherever they had the most average daily membership, the homeless enrollment file uses the district where the student was at the end of the year (or the latest record).   This accounts for why there were homeless students were in some districts with no homeless students enrolled in FS 118. Homeless students moved and were counted in different districts."
2021-2022,"NEW JERSEY",118,655,LEA,"EA-Level: In 1 LEA, data were not reported for Category Set B [Homeless Primary Nighttime Residence].","Students in the LEA had data quality error and did not report the night time residence. Outreach will be done."
2021-2022,"NEW JERSEY","118,170","655,754",LEA,"Across File Comparison: 222 LEAs with membership were reported as subgrantees in FS170, but were excluded from FS118.","FS 170 is resubmitted. Four of the five LEAs did not have any students experiencing homelessness directly enrolled within their LEAs.  New Jersey has a regional approach in which each McKinney-Vento subgrantee LEA is responsible for overseeing and supporting the McKinney-Vento programs in all LEAs within their regions.  Region 1 (Bergen County Special Services District: LEAID 3401450) supported 201 LEAs. Region 2 (Essex County Educational Services Commission: LEAID 3480300) supported 135 LEAs. Region 3 (Monmouth-Ocean Educational Services Commission: LEAID 3480240) supported 134 LEAs.  Region 4 (Gloucester County Special Services District: 3480363) supported 137 LEAs.  Region 5 (Woodstown-Pilesgrove Regional: LEAID 3418330) supported 48 LEAs."
2021-2022,"NEW JERSEY",118,655,LEA,"LEA-Level: In 10 LEAs, data were not reported for Category Set B [Homeless Primary Nighttime Residence].","We collect data on homelessness during three collections: Fall NJSMART survey, EOY NJSMART survey, and during assessment.  On the fall and EOY surveys, we collect whether the student was unaccompanied or accompanied, and the primary nighttime residence.  We have not collected this data in the assessment collection.  Any students reported as homeless during the assessment collection are therefore included in the count, but we can not report their status for accompanied or unaccompanied, or primary nighttime residence.  We will be submitting a data modiciation request to collect these fields in the assessment collection in the future."
2021-2022,"NEW JERSEY",118,655,LEA,"Category Set Comparison: In 110 LEAs, the sum of the Category Set B [Homeless Primary Nighttime Residence] does not equal the Education Unit Total. These two counts should equal.","We collect data on homelessness during three collections: Fall NJSMART survey, EOY NJSMART survey, and during assessment.  On the fall and EOY surveys, we collect whether the student was unaccompanied or accompanied, and the primary nighttime residence.  We have not collected this data in the assessment collection.  Any students reported as homeless during the assessment collection are therefore included in the count, but we can not report their status for accompanied or unaccompanied, or primary nighttime residence.  We will be submitting a data modification request to collect these fields in the assessment collection in the future."
2021-2022,"NEW MEXICO","118,195","655,814","LEA,SCH","Across File Comparison: In 82 LEAs, no homeless enrolled students were reported in FS118/DG655, but homeless enrolled students were reported as chronically absent in FS195/DG814.",
2021-2022,"NEW MEXICO",118,655,LEA,"LEA-Level: Data were not reported or were reported as missing or all zeros for Education Unit Total.",
2021-2022,"NEW YORK",118,655,LEA,"Year to Year comparison: The State reported a change of 18% between the prior year and the current year number for English learner status.","The difference is mostly due to charter schools in one large school district not reporting English Language Learner data in 2020-21."
2021-2022,"NEW YORK","118,170","655,754",LEA,"Across File Comparison: 5 LEAs with membership were reported as subgrantees in FS170, but were excluded from FS118.","LEA only offers grades KG through 08. The LEA receives MV subgrant funds to transport HS students to a neighboring LEA. 
The other LEAs are in their 3rd and final  year of MV Subgrant eligibilty.  These LEAs are eligible based on homeless enrollment in prior school years."
2021-2022,"NORTH CAROLINA",118,655,LEA,"Year to Year comparison: The State reported a change of 38% between the prior year and the current year number of homeless unaccompanied youth.","NC has made it a priority in our professional development and technical assistance to increase the awareness of understanding the definition of Homeless Unaccompanied Youth and making proper identifications.  With the return of students to brick and mortar, there have been more opportunities for students to share about their homeless situations, which increased identifications. Data are accurate as reported, and very related to the drop in this same number last year due to COVID...recovery is happening!"
2021-2022,OHIO,"118,195","655,814","LEA,SCH","Across File Comparison: In 11 LEAs, no homeless enrolled students were reported in FS118/DG655, but homeless enrolled students were reported as chronically absent in FS195/DG814.","The FS195 is reported at the school level whereas the FS118 is reported at the LEA and SEA level.  Ohio’s business rules from an attendance rate and Chronic Absenteeism perspective has business rules for certain organizations.  These 11 IRNs are charter schools/community schools in Ohio so these students count at these IRNs at a school level but have their data rollup to a public district for other reasons.  As a result, the students that are coded and counting as homeless in the FS195 are being reported and counted at a different LEA for FS118 purposes.  Data is accurately reflecting the way in which the attendance rate and chronic absenteeism measures rollup at a SCH and LEA level within Ohio."
2021-2022,OHIO,118,655,"LEA,SEA","SEA to LEA Comparison: The total number of homeless enrolled students reported at the SEA-level is greater than or equal to the sum of the total homeless enrolled students reported across LEAs in the LEA-level data. The LEA-level data should be greater.","The data reported in CSPR Part I have been verified as correct and accurately reflect the data submitted to ODE by LEAs. The data accurately reflect the way in which attendance rate measures rollup at the LEA and SEA levels in Ohio. Ohio’s business rules for calculating attendance rate can result in students being accountable at the SEA level without being accountable at the LEA level."
2021-2022,OHIO,"118,170","655,754",LEA,"Across File Comparison: 1 LEA with membership were reported as subgrantees in FS170, but were excluded from FS118.","The data reported in CSPR Part I have been verified as correct and accurately reflect the data submitted to ODE by LEAs. Since the law allows for grants to go to any LEA it is possible that a grant could be provided to an LEA without students.  We are also including a LEA if it is a partner administratively or financially or has any accountability in serving the children through these grant funds."
2021-2022,OREGON,"118,195","655,814","LEA,SCH","Across File Comparison: In 16 LEAs, no homeless enrolled students were reported in FS118/DG655, but homeless enrolled students were reported as chronically absent in FS195/DG814.","The comparission between FS 118 and FS 195 is difficult.  FS 118 is a year long collection and FS 195 is a point in time.  A student's homeless marker is fluid across districts in the Chronically Abesent file,  a student could be marked Homeless in FS 118 in District A but for FS 195 the student is reported in District B, that homeless flag from District A is transferred onto the student's record in  District B for the purposes of the Chronically Absent calculation even thought District B did not report in FS 118."
2021-2022,PENNSYLVANIA,118,655,LEA,"Year to Year comparison: The State reported a change of -21% between the prior year and the current year number of homeless unaccompanied youth.","These data are accurate.The nature of the population experiencing homelessness is such that changes in counts from year to year are expected.  The decline in this count is likely due to the impact of the COVID-19 pandemic."
2021-2022,PENNSYLVANIA,"118,170","655,754",LEA,"Across File Comparison: 38 LEAs with membership were reported as subgrantees in FS170, but were excluded from FS118.","These data are accurate. Despite multiple follow ups, these LEAs reported no children experiencing homelessness."
2021-2022,PENNSYLVANIA,118,655,LEA,"Category Set Comparison: In 59 LEAs, the sum of the Category Set H [Racial Ethnic] does not equal the Education Unit Total. These two counts should equal.","These data are accurate. There are children and youth identified as homeless by non-LEA entities and who cannot be matched to an LEA.  These children and youth are included in the SEA count but, as they cannot be matched to an LEA, they are not included in the LEA counts."
2021-2022,"SOUTH CAROLINA",118,655,LEA,"Year to Year comparison: The State reported a change of 28% between the prior year and the current year number for English Learner Status.",
2021-2022,"SOUTH CAROLINA",118,655,LEA,"In 36 LEAs, the sum of Category Set G [Homeless Unaccompanied Youth Status, Homeless Primary Nighttime Residence] does not equal the Category Set F [Homeless Unaccompanied Youth Status]. These two counts should be equal.",
2021-2022,"SOUTH CAROLINA",118,655,LEA,"LEA-Level: Data were not reported or were reported as missing or all zeros Category Set C [Disability Status].",
2021-2022,"SOUTH CAROLINA",118,655,LEA,"LEA-Level: In 15 LEAs, data were not reported for Category Set B [Homeless Primary Nighttime Residence].",
2021-2022,TEXAS,118,655,LEA,"Year to Year comparison: The State reported a change of 22% between the prior year and the current year number for English Learner Status.","There was an increase in the McKinney-Vento grant funds from the USDE and there were more LEAs applied for the grant. There were more homeless students served, therefore the proportion of homeless English Learner students also increased. Data are verified to be correct."
2021-2022,TEXAS,118,655,LEA,"Year to Year comparison: The State reported a change of 17% between the prior year and the current year number of homeless unaccompanied youth.","There was an increase in the McKinney-Vento grant funds from the USDE and there were more LEAs applied for the grant. There were more homeless students served, therefore the proportion of homeless Unaccompanied Youth students also increased. Data are verified to be correct."
2021-2022,TEXAS,"118,170","655,754",LEA,"Across File Comparison: 1 LEA with membership were reported as subgrantees in FS170, but were excluded from FS118.","There were homeless students in SY2020-21 but the students graduated and moved. Homeless students are expected in SY2022-23. Data are verified to be correct."
2021-2022,UTAH,118,655,LEA,"Year to Year comparison: The State reported a change of 46% between the prior year and the current year number for English Learner Status.",
2021-2022,UTAH,118,655,"LEA,SEA","SEA to LEA Comparison: The total number of homeless enrolled students reported at the SEA-level is greater than or equal to the sum of the total homeless enrolled students reported across LEAs in the LEA-level data. The LEA-level data should be greater.",
2021-2022,VIRGINIA,118,655,LEA,"Year to Year comparison: The State reported a change of 59% between the prior year and the current year number for English learner status.","Virginia's total number of students identified as homeless in 2021-22 increased over the previous year as virtual learning ended and students returned to the classroom. The increase is likely impacted by the significant number of Afghan refugees who landed in Virginia in summer/fall 2021."
2021-2022,VIRGINIA,118,655,LEA,"Year to Year comparison: The State reported a change of 60% between the prior year and the current year number homeless unaccompanied youth.","Virginia's total number of students identified as homeless in 2021-22 increased over the previous year as virtual learning ended and students returned to the classroom. The relatively small increase is likely impacted by the mental health stressors experienced by families as a result of the pandemic."
2021-2022,WASHINGTON,118,655,LEA,"Year to Year comparison: The State reported a change of 24% between the prior year and the current year number for English Learner Status.","The EL data is correct. The increase in EL numbers could partly be due to an increased focus on the crosswalk between McKinney-Vento and Migrant/Bi-Lingual in our liaison training workshops. Additionally, there has been a push to ensure district liaisons are working closely with their local Migrant/Bi-Lingual/English Learner programs to improve identification and service delivery to homeless children and youth that are served by multiple programs. McKinney-Vento outreach materials including posters, housing questionnaires, parent brochures, the dispute resolution process, transportation forms and other resources have all been translated into multiple languages and posted to the OSPI website for ease of use by districts and families."
2021-2022,WASHINGTON,118,655,LEA,"Year to Year comparison: The State reported a change of 26% between the prior year and the current year number of homeless unaccompanied youth.","The UHY data is correct. The higher-than-average unaccompanied youth numbers could be due to an increased emphasis on unaccompanied youth in liaison training to include guest speakers, unaccompanied youth panels, contracted video products highlighting youth, and other added elements of training to highlight unaccompanied homeless youth. Also, Washington state law now requires building level points of contact in every school building, thus improving identification overall. In addition, Washington recently passed state legislation that provides avenues for non-emergency health care, credit retrieval, state ID cards, and other help for unaccompanied youth which may drive some of the increase in identification as youth seek services."
2021-2022,"WEST VIRGINIA",118,655,"LEA,SEA","SEA to LEA Comparison: The total number of homeless enrolled students reported at the SEA-level is greater than or equal to the sum of the total homeless enrolled students reported across LEAs in the LEA-level data. The LEA-level data should be greater.","The data submitted during a certified collection and is accurate as certified by the LEAs."
2021-2022,"WEST VIRGINIA",118,655,LEA,"Category Set Comparison: In 1 LEAs, the sum of the Category Set H [Racial Ethnic] does not equal the Education Unit Total. These two counts should equal.",
2021-2022,WISCONSIN,118,655,LEA,"Year to Year comparison: The State reported a change of 35% between the prior year and the current year number of homeless unaccompanied youth.","The COVID-19 pandemic caused most LEAs to conduct virtual learning during the 2020-21 school year. Due to virtual learning homeless liaisons reported it was very difficult to identify students as homeless throughout the year. The 2021-22 school year all schools were back to in-person learning. This increased identification overall of students experincing homelessness, including the identification of UHY."
2021-2022,WISCONSIN,"118,195","655,814","LEA,SCH","Across File Comparison: In 32 LEAs, no homeless enrolled students were reported in FS118/DG655, but homeless enrolled students were reported as chronically absent in FS195/DG814.","The Wisconsin Department of Public Instruction considers a student experiencing homelessness to have that status in the database for the entire year, even if they were able to find housing later in the year. Thus when we report Chronic Absenteeism data, the students may appear as chronically absent in a different district than where they were identifed as experiencing homelessness."
