SCHOOL_YEAR_TEXT,STNAM,FIPST,LEAID,ST_LEAID,LEANM,SUBGRANT_STATUS,TOTAL,PREK_FLAG,HOTELS_MOTELS,UNSHELTERED,SHELTERED_TRANSITIONAL_HOUSING,DOUBLED_UP,CWD,EL,MIG,UHY,DATE_CUR
2018-2019,ARIZONA,04,0400295,AZ-79598,Kingman Unified School District (79598),No,299,Y,23,7,27,242,66,3,.,6,08APR20
2018-2019,ARIZONA,04,0400310,AZ-79055,Calibre Academy (79055),No,11,,.,.,.,11,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400311,AZ-79059,"E-Institute Charter Schools, Inc. (79059)",No,11,,S,S,S,7,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400318,AZ-79426,Aprender Tucson (79426),No,31,,.,.,.,31,7,17,.,.,08APR20
2018-2019,ARIZONA,04,0400321,AZ-79439,"Pinnacle Education-WMCB, Inc. (79439)",No,9,,.,S,S,4,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400322,AZ-79441,"Desert Rose Academy,Inc. (79441)",No,21,,.,.,3,15,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400329,AZ-79461,American Virtual Academy (79461),No,S,,S,.,.,.,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400340,AZ-10760,Noah Webster Schools - Mesa (10760),No,5,,S,S,.,3,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400350,AZ-79866,"PEAK School Inc., The (79866)",No,12,,S,.,4,S,.,3,.,.,08APR20
2018-2019,ARIZONA,04,0400351,AZ-79871,Kaizen Education Foundation dba Vista Grove Prepar (79871),No,20,,.,.,3,17,S,5,.,.,08APR20
2018-2019,ARIZONA,04,0400352,AZ-79873,American Charter Schools Foundation d.b.a. Estrell (79873),No,31,,.,.,6,25,4,4,.,.,08APR20
2018-2019,ARIZONA,04,0400353,AZ-79875,American Charter Schools Foundation d.b.a. Peoria  (79875),No,35,,S,S,11,21,6,S,.,.,08APR20
2018-2019,ARIZONA,04,0400354,AZ-79877,American Charter Schools Foundation d.b.a. Sun Val (79877),No,5,,.,S,.,S,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400355,AZ-79879,American Charter Schools Foundation d.b.a. West Ph (79879),Yes,202,,S,S,5,192,11,49,.,.,08APR20
2018-2019,ARIZONA,04,0400357,AZ-79883,American Charter Schools Foundation d.b.a. Apache  (79883),No,46,,4,.,28,14,11,.,.,.,08APR20
2018-2019,ARIZONA,04,0400361,AZ-79947,Arizona Community Development Corporation (79947),No,23,,S,S,S,19,5,S,.,.,08APR20
2018-2019,ARIZONA,04,0400363,AZ-79951,"SC Jensen Corporation, Inc. dba Intelli-School (79951)",Yes,12,,S,.,S,10,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400364,AZ-79953,"PAS Charter, Inc., dba Intelli-School (79953)",Yes,70,,4,4,.,62,14,.,.,.,08APR20
2018-2019,ARIZONA,04,0400367,AZ-79959,Pima Prevention Partnership dba Pima Partnership S (79959),No,4,,.,.,S,S,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400368,AZ-79961,"Academy of Mathematics and Science, Inc. (79961)",No,S,,.,.,.,S,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400370,AZ-79994,Midtown Primary School (79994),No,19,,.,.,.,17,5,.,.,.,08APR20
2018-2019,ARIZONA,04,0400373,AZ-79979,"Tucson International Academy, Inc. (79979)",No,37,,.,.,S,S,12,3,.,.,08APR20
2018-2019,ARIZONA,04,0400374,AZ-79983,"Bell Canyon Charter School, Inc (79983)",No,S,,.,.,S,.,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400376,AZ-79988,"Cortez Park Charter Middle School, Inc. (79988)",No,S,,.,.,.,S,.,S,.,.,08APR20
2018-2019,ARIZONA,04,0400381,AZ-80001,Carpe Diem Collegiate High School (80001),No,3,,.,.,S,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400382,AZ-80032,CPLC Community Schools dba Toltecalli High School (80032),No,38,,.,.,.,.,4,6,.,.,08APR20
2018-2019,ARIZONA,04,0400384,AZ-79872,American Charter Schools Foundation d.b.a. Desert  (79872),No,17,,.,S,8,S,7,.,.,.,08APR20
2018-2019,ARIZONA,04,0400385,AZ-79874,American Charter Schools Foundation d.b.a. Crestvi (79874),No,69,,.,.,3,66,8,15,.,.,08APR20
2018-2019,ARIZONA,04,0400386,AZ-79876,Kaizen Education Foundation dba Summit High School (79876),Yes,25,,S,.,S,21,4,9,.,S,08APR20
2018-2019,ARIZONA,04,0400387,AZ-79878,Kaizen Education Foundation dba Tempe Accelerated  (79878),No,19,,.,.,S,S,4,S,.,.,08APR20
2018-2019,ARIZONA,04,0400388,AZ-79880,Kaizen Education Foundation dba Skyview High Schoo (79880),No,6,,.,.,S,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400389,AZ-79882,Kaizen Education Foundation dba Maya High School (79882),No,93,,3,10,6,74,7,18,.,.,08APR20
2018-2019,ARIZONA,04,0400395,AZ-79967,LEAD Charter Schools (79967),No,S,,.,.,.,.,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400397,AZ-79971,"CAFA, Inc. dba Learning Foundation Performing Arts (79971)",No,36,,.,.,S,S,5,5,.,.,08APR20
2018-2019,ARIZONA,04,0400414,AZ-85540,"Academy of Building Industries, Inc. (85540)",No,9,,.,.,5,4,3,.,.,.,08APR20
2018-2019,ARIZONA,04,0400419,AZ-87600,Gila County Regional School District (87600),No,131,,.,.,S,S,5,.,.,.,08APR20
2018-2019,ARIZONA,04,0400423,AZ-87349,Legacy Education Group (87349),No,5,,.,.,.,5,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400424,AZ-87399,"Rosefield Charter Elementary School, Inc. (87399)",No,19,,4,.,.,15,4,.,.,.,08APR20
2018-2019,ARIZONA,04,0400425,AZ-87401,"East Mesa Charter Elementary School, Inc. (87401)",No,7,,.,.,3,4,.,S,.,.,08APR20
2018-2019,ARIZONA,04,0400427,AZ-87407,"Arizona Connections Academy Charter School, Inc. (87407)",No,13,,7,S,S,3,3,.,.,.,08APR20
2018-2019,ARIZONA,04,0400429,AZ-79074,Country Gardens Charter Schools (79074),No,11,,.,.,S,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400432,AZ-87405,"Portable Practical Educational Preparation, Inc. ( (87405)",No,86,,20,S,S,61,16,.,.,.,08APR20
2018-2019,ARIZONA,04,0400438,AZ-88367,"Imagine Charter Elementary at Desert West, Inc. (88367)",No,24,,.,.,.,24,S,4,.,.,08APR20
2018-2019,ARIZONA,04,0400445,AZ-88365,"Imagine Charter Elementary at Camelback, Inc. (88365)",No,17,,S,.,S,11,3,.,.,.,08APR20
2018-2019,ARIZONA,04,0400447,AZ-88334,American Charter Schools Foundation d.b.a. South R (88334),No,5,,S,.,.,S,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400450,AZ-4289,Agua Fria Union High School District (4289),No,91,,86,5,.,.,24,8,.,33,08APR20
2018-2019,ARIZONA,04,0400600,AZ-4280,Alhambra Elementary District (4280),Yes,360,,37,10,74,239,55,33,.,.,08APR20
2018-2019,ARIZONA,04,0400610,AZ-81099,Desert Heights Charter Schools (81099),No,28,,S,.,.,S,5,S,.,3,08APR20
2018-2019,ARIZONA,04,0400618,AZ-80989,American Charter Schools Foundation d.b.a. South P (80989),No,177,,S,S,25,146,19,18,.,.,08APR20
2018-2019,ARIZONA,04,0400619,AZ-80995,American Charter Schools Foundation d.b.a. Alta Vi (80995),No,62,,S,.,S,58,7,15,.,.,08APR20
2018-2019,ARIZONA,04,0400621,AZ-81001,"Pinnacle Education-Tempe, Inc. (81001)",No,53,,S,S,33,18,13,.,.,.,08APR20
2018-2019,ARIZONA,04,0400625,AZ-81009,"Pinnacle Education-Kino, Inc. (81009)",No,7,,.,3,S,S,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400626,AZ-81011,"Pinnacle Education-Casa Grande, Inc. (81011)",No,S,,.,.,S,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400632,AZ-81027,Cochise Community Development Corporation (81027),No,20,,.,.,5,.,5,.,.,.,08APR20
2018-2019,ARIZONA,04,0400633,AZ-81029,"Canyon Rose Academy, Inc. (81029)",No,14,,.,S,.,S,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400636,AZ-81041,Blueprint Education (81041),No,10,,5,.,.,5,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400637,AZ-81043,"Edkey, Inc. - Redwood Academy (81043)",No,8,,.,.,.,8,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400638,AZ-81045,"Edkey, Inc. - Pathfinder Academy (81045)",No,7,,.,.,3,4,3,.,.,.,08APR20
2018-2019,ARIZONA,04,0400640,AZ-81050,"Edkey, Inc. - Sequoia School for the Deaf and Hard (81050)",No,3,,S,.,.,S,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400641,AZ-81052,"Edkey, Inc. - Sequoia Ranch School (81052)",No,81,,5,.,15,61,15,5,.,.,08APR20
2018-2019,ARIZONA,04,0400649,AZ-81076,Heritage Elementary School (81076),No,11,,.,.,S,S,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400653,AZ-79981,"Edkey, Inc. - Arizona Conservatory for Arts and Ac (79981)",No,11,,S,.,S,8,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400680,AZ-4406,Amphitheater Unified District (4406),Yes,210,Y,S,S,51,138,51,14,.,.,08APR20
2018-2019,ARIZONA,04,0400745,AZ-88360,Legacy Traditional School - Maricopa (88360),No,4,,.,.,.,4,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400748,AZ-89414,"Sage Academy, Inc. (89414)",No,3,,.,.,.,.,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400754,AZ-89563,"Imagine Desert West Middle, Inc. (89563)",No,5,,.,.,S,S,.,S,.,.,08APR20
2018-2019,ARIZONA,04,0400756,AZ-89561,"Imagine Camelback Middle, Inc. (89561)",No,S,,.,.,.,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400764,AZ-89949,ASU Preparatory Academy (89949),No,S,,.,.,.,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400766,AZ-89786,"Imagine Coolidge Elementary, Inc. (89786)",No,25,,S,.,.,S,4,3,.,.,08APR20
2018-2019,ARIZONA,04,0400768,AZ-89864,Pima Prevention Partnership dba Pima Partnership A (89864),No,S,,.,.,S,.,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400769,AZ-90034,"Imagine Prep Coolidge, Inc. (90034)",No,10,,S,3,3,S,.,S,.,.,08APR20
2018-2019,ARIZONA,04,0400770,AZ-89790,"Imagine Prep Surprise, Inc. (89790)",No,5,,.,.,.,5,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400776,AZ-89914,Daisy Education Corporation dba Sonoran Science Ac (89914),No,S,,.,.,.,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400780,AZ-89784,"Imagine Avondale Elementary, Inc. (89784)",No,S,,.,.,.,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400783,AZ-89788,"Imagine Prep Superstition, Inc. (89788)",No,41,,.,.,38,3,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400785,AZ-89869,"AZ Compass Schools, Inc. (89869)",No,10,,.,.,.,10,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400786,AZ-90036,"West Valley Arts and Technology Academy, Inc. (90036)",No,18,,.,S,.,S,5,S,.,.,08APR20
2018-2019,ARIZONA,04,0400787,AZ-90330,Kaizen Education Foundation dba Vista Grove Prepar (90330),Yes,74,,S,.,S,66,8,9,.,.,08APR20
2018-2019,ARIZONA,04,0400789,AZ-90334,Kaizen Education Foundation dba Liberty Arts Acade (90334),No,33,,4,.,11,18,8,S,.,.,08APR20
2018-2019,ARIZONA,04,0400790,AZ-4443,Apache Junction Unified District (4443),No,27,,S,S,5,15,6,.,.,4,08APR20
2018-2019,ARIZONA,04,0400792,AZ-90317,"Vector School District, Inc. (90317)",No,12,,S,.,S,7,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400796,AZ-90328,"CAFA, Inc. dba Learning Foundation and Performing  (90328)",No,12,,3,.,.,9,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400798,AZ-90140,Pioneer Preparatory School (90140),No,S,,.,.,S,.,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400799,AZ-90333,Kaizen Education Foundation dba Gilbert Arts Acade (90333),No,5,,S,.,S,3,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400801,AZ-90329,"Skyline Gila River Schools, LLC (90329)",No,S,,.,.,.,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400803,AZ-90327,"CAFA, Inc. dba Learning Foundation and Performing  (90327)",No,11,,.,S,S,6,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400810,AZ-90160,"Imagine Superstition Middle, Inc. (90160)",No,5,,.,.,.,5,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400814,AZ-90331,CPLC Community Schools dba Hiaki High School (90331),No,10,,.,.,.,.,.,S,.,.,08APR20
2018-2019,ARIZONA,04,0400817,AZ-90506,Ed Ahead (90506),No,S,,.,.,.,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400820,AZ-90533,"Compass Points International, Inc (90533)",No,S,,.,.,.,.,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400821,AZ-90536,Pima Prevention Partnership (90536),No,3,,.,.,.,3,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400823,AZ-90548,Kaizen Education Foundation dba Mission Heights Pr (90548),No,16,,.,.,.,16,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400827,AZ-90758,Arizona Education Solutions (90758),No,S,,S,.,.,.,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400839,AZ-90997,"Pima Rose Academy, Inc. (90997)",No,11,,.,.,.,11,S,S,.,.,08APR20
2018-2019,ARIZONA,04,0400842,AZ-91137,Legacy Traditional School - Northwest Tucson (91137),No,7,,.,.,.,7,3,.,.,.,08APR20
2018-2019,ARIZONA,04,0400846,AZ-90540,"South Valley Academy, Inc. (90540)",No,12,,.,.,.,12,3,.,.,.,08APR20
2018-2019,ARIZONA,04,0400847,AZ-91135,Legacy Traditional School - Avondale (91135),No,9,,.,.,.,9,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400852,AZ-90535,Kaizen Education Foundation dba Havasu Preparatory (90535),No,S,,.,S,.,S,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400853,AZ-91108,South Phoenix Academy Inc. (91108),No,12,,S,.,.,S,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400858,AZ-91303,ASU Preparatory Academy (91303),No,S,,.,.,.,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400859,AZ-91305,ASU Preparatory Academy (91305),No,9,,S,.,5,S,6,.,.,S,08APR20
2018-2019,ARIZONA,04,0400871,AZ-91763,Legacy Traditional School ? Laveen Village (91763),No,8,,.,.,.,8,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400875,AZ-90861,Maryvale Preparatory Academy (90861),No,7,,S,.,S,4,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400876,AZ-90884,"George Gervin Youth Center, Inc. (90884)",No,4,,.,.,.,4,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400877,AZ-91277,Empower College Prep (91277),No,18,,.,.,S,S,S,9,.,.,08APR20
2018-2019,ARIZONA,04,0400880,AZ-92043,Southwest Leadership Academy (92043),No,30,,.,.,30,.,3,S,.,.,08APR20
2018-2019,ARIZONA,04,0400882,AZ-91329,Kaizen Education Foundation dba Advance U (91329),No,S,,.,.,.,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400890,AZ-92325,ASU Preparatory Academy (92325),No,3,,.,.,.,3,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400891,AZ-90878,"Academy of Mathematics and Science South, Inc. (90878)",No,4,,.,.,.,4,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400892,AZ-92199,Legacy Traditional School - Casa Grande (92199),No,24,,S,.,.,S,3,.,.,.,08APR20
2018-2019,ARIZONA,04,0400893,AZ-91275,Hirsch Academy A Challenge Foundation (91275),No,6,,S,.,.,S,.,3,.,.,08APR20
2018-2019,ARIZONA,04,0400894,AZ-91328,Kaizen Education Foundation dba Discover U Element (91328),No,3,,S,.,.,S,S,S,.,.,08APR20
2018-2019,ARIZONA,04,0400895,AZ-92250,Espiritu Community Development Corp. (92250),No,3,,.,.,.,3,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400907,AZ-91992,StrengthBuilding Partners (91992),No,S,,.,.,S,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400910,AZ-4471,Ash Fork Joint Unified District (4471),No,23,,.,.,.,23,6,S,.,.,08APR20
2018-2019,ARIZONA,04,0400914,AZ-92596,"Franklin Phonetic Primary School, Inc. (92596)",No,8,,.,.,.,8,3,3,.,.,08APR20
2018-2019,ARIZONA,04,0400916,AZ-91938,"EAGLE College Prep Maryvale, LLC (91938)",No,S,,S,.,.,.,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400917,AZ-92499,Innovative Humanities Education Corporation (92499),No,4,,.,.,.,4,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400919,AZ-92657,Lincoln Preparatory Academy (92657),No,7,,.,.,S,S,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400929,AZ-92374,Noah Webster Schools-Pima (92374),No,5,,.,S,S,S,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400930,AZ-92704,Archway Classical Academy Trivium East (92704),No,S,,.,.,.,S,S,S,.,.,08APR20
2018-2019,ARIZONA,04,0400934,AZ-92381,Self Development Academy-Phoenix (92381),No,S,,.,.,S,.,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400938,AZ-92369,Create Academy (92369),No,19,,.,.,.,.,.,S,.,.,08APR20
2018-2019,ARIZONA,04,0400939,AZ-92902,Espiritu Schools (92902),No,4,,.,.,.,4,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400940,AZ-92768,"Academy of Mathematics and Science, Inc. (92768)",No,S,,S,.,.,.,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400946,AZ-346763,ASU Preparatory Academy (346763),No,S,,.,.,S,.,S,S,.,.,08APR20
2018-2019,ARIZONA,04,0400947,AZ-92987,ASU Preparatory Academy - Casa Grande (92987),No,S,,.,.,.,.,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400948,AZ-850100,Legacy Traditional School - Glendale (850100),No,11,,3,S,S,5,8,.,.,.,08APR20
2018-2019,ARIZONA,04,0400951,AZ-850099,Legacy Traditional School - Peoria (850099),No,S,,.,.,.,S,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400952,AZ-92989,Kaizen Education Foundation dba Colegio Petite Pho (92989),No,17,,.,.,.,.,S,S,.,.,08APR20
2018-2019,ARIZONA,04,0400954,AZ-850101,Legacy Traditional School - North Chandler (850101),No,S,,.,.,S,S,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400955,AZ-92988,Estrella Educational Foundation (92988),No,3,,S,.,.,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400959,AZ-873957,Legacy Traditional School - Phoenix (873957),No,3,,.,.,.,3,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400960,AZ-4272,Avondale Elementary District (4272),No,284,Y,5,.,56,218,30,25,.,.,08APR20
2018-2019,ARIZONA,04,0400962,AZ-834265,Legacy Traditional School - East Mesa (834265),No,4,,.,.,4,.,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400965,AZ-522074,ASU Preparatory Academy Digital (522074),No,S,,.,.,S,.,.,.,.,S,08APR20
2018-2019,ARIZONA,04,0400968,AZ-92985,Victory Collegiate Academy Corporation (92985),No,S,,.,.,.,.,.,S,.,.,08APR20
2018-2019,ARIZONA,04,0400976,AZ-92976,Think Through Academy (92976),No,9,,.,.,3,6,S,3,.,.,08APR20
2018-2019,ARIZONA,04,0401000,AZ-4468,Bagdad Unified District (4468),No,55,,11,.,.,44,23,S,.,7,08APR20
2018-2019,ARIZONA,04,0401050,AZ-4268,Balsz Elementary District (4268),No,191,,14,.,124,53,24,22,.,.,08APR20
2018-2019,ARIZONA,04,0401080,AZ-4481,Beaver Creek Elementary District (4481),No,3,,.,.,.,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0401160,AZ-4515,Bicentennial Union High School District (4515),No,8,,S,.,S,4,3,.,.,.,08APR20
2018-2019,ARIZONA,04,0401180,AZ-4169,Bisbee Unified District (4169),No,S,,.,.,.,S,.,S,.,.,08APR20
2018-2019,ARIZONA,04,0401330,AZ-4171,Bowie Unified District (4171),No,S,,.,.,.,.,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0401380,AZ-4269,Buckeye Elementary District (4269),No,8,,.,8,.,.,3,.,.,.,08APR20
2018-2019,ARIZONA,04,0401410,AZ-4284,Buckeye Union High School District (4284),No,19,,.,.,S,S,3,.,.,.,08APR20
2018-2019,ARIZONA,04,0401460,AZ-4175,Sierra Vista Unified District (4175),No,66,,14,6,4,41,23,S,.,6,08APR20
2018-2019,ARIZONA,04,0401500,AZ-4378,Bullhead City School District (4378),Yes,5,,.,.,.,5,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0401600,AZ-4470,Camp Verde Unified District (4470),No,65,Y,.,.,.,65,10,S,.,.,08APR20
2018-2019,ARIZONA,04,0401650,AZ-4484,Canon Elementary District (4484),No,17,,.,3,.,12,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0401680,AZ-4282,Cartwright Elementary District (4282),No,176,,43,.,13,115,29,15,.,.,08APR20
2018-2019,ARIZONA,04,0401710,AZ-4446,Casa Grande Elementary District (4446),No,140,Y,61,3,7,69,30,18,.,.,08APR20
2018-2019,ARIZONA,04,0401740,AZ-4453,Casa Grande Union High School District (4453),No,33,,7,.,.,25,7,S,.,S,08APR20
2018-2019,ARIZONA,04,0401810,AZ-4395,Cedar Unified District (4395),No,4,,.,.,S,S,S,S,.,.,08APR20
2018-2019,ARIZONA,04,0401870,AZ-4242,Chandler Unified District #80 (4242),Yes,316,Y,24,40,54,140,74,31,4,19,08APR20
2018-2019,ARIZONA,04,0402190,AZ-4160,Concho Elementary District (4160),Yes,22,,.,11,.,11,5,.,.,.,08APR20
2018-2019,ARIZONA,04,0402250,AZ-4416,Continental Elementary District (4416),No,S,,.,.,.,S,.,S,.,.,08APR20
2018-2019,ARIZONA,04,0402320,AZ-4442,Coolidge Unified District (4442),No,41,,S,S,8,28,5,S,3,.,08APR20
2018-2019,ARIZONA,04,0402370,AZ-4487,Cottonwood-Oak Creek Elementary District (4487),Yes,99,Y,16,20,25,36,25,S,.,.,08APR20
2018-2019,ARIZONA,04,0402400,AZ-4501,Crane Elementary District (4501),Yes,93,,.,4,10,79,12,26,S,.,08APR20
2018-2019,ARIZONA,04,0402430,AZ-4263,Creighton Elementary District (4263),Yes,283,Y,S,S,36,211,28,77,.,.,08APR20
2018-2019,ARIZONA,04,0402530,AZ-4174,Douglas Unified District (4174),No,120,Y,S,S,15,103,6,55,6,.,08APR20
2018-2019,ARIZONA,04,0402690,AZ-4243,Dysart Unified District (4243),No,40,,S,S,S,31,9,S,.,.,08APR20
2018-2019,ARIZONA,04,0402860,AZ-4192,Flagstaff Unified District (4192),Yes,285,Y,73,35,58,117,71,26,.,22,08APR20
2018-2019,ARIZONA,04,0402920,AZ-4437,Florence Unified School District (4437),No,16,,.,.,.,16,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0403010,AZ-4405,Flowing Wells Unified District (4405),Yes,109,,18,3,9,79,16,26,.,.,08APR20
2018-2019,ARIZONA,04,0403040,AZ-4247,Fountain Hills Unified District (4247),No,8,Y,S,.,.,S,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0403060,AZ-4273,Fowler Elementary District (4273),No,154,Y,52,S,S,99,18,17,.,.,08APR20
2018-2019,ARIZONA,04,0403240,AZ-4505,Gadsden Elementary District (4505),No,65,Y,3,.,11,51,7,29,21,.,08APR20
2018-2019,ARIZONA,04,0403400,AZ-4239,Gilbert Unified District (4239),No,219,,38,4,15,160,58,4,.,.,08APR20
2018-2019,ARIZONA,04,0403420,AZ-4271,Glendale Elementary District (4271),No,161,Y,19,.,20,122,35,9,.,.,08APR20
2018-2019,ARIZONA,04,0403450,AZ-4285,Glendale Union High School District (4285),Yes,333,,24,12,53,234,59,26,.,19,08APR20
2018-2019,ARIZONA,04,0403780,AZ-4248,Higley Unified School District (4248),Yes,107,Y,13,.,41,50,27,3,.,.,08APR20
2018-2019,ARIZONA,04,0403820,AZ-4389,Holbrook Unified District (4389),No,37,Y,S,S,19,.,3,3,.,.,08APR20
2018-2019,ARIZONA,04,0403860,AZ-4234,Maricopa County Regional School District (4234),Yes,1338,,5,.,7,29,3,264,.,1299,08APR20
2018-2019,ARIZONA,04,0403870,AZ-4469,Humboldt Unified District (4469),No,86,,11,6,35,34,13,4,.,14,08APR20
2018-2019,ARIZONA,04,0403950,AZ-4412,Baboquivari Unified School District #40 (4412),No,228,Y,.,3,8,154,45,.,.,.,08APR20
2018-2019,ARIZONA,04,0403960,AZ-4259,Isaac Elementary District (4259),No,121,,43,S,S,54,18,23,.,.,08APR20
2018-2019,ARIZONA,04,0403990,AZ-4445,J O Combs Unified School District (4445),No,56,Y,5,.,3,47,10,5,.,.,08APR20
2018-2019,ARIZONA,04,0404060,AZ-4396,Kayenta Unified School District #27 (4396),No,53,Y,.,.,14,39,5,8,.,.,08APR20
2018-2019,ARIZONA,04,0404170,AZ-4480,Kirkland Elementary District (4480),No,S,,.,.,.,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0404230,AZ-4267,Kyrene Elementary District (4267),No,190,Y,34,3,8,145,39,5,.,.,08APR20
2018-2019,ARIZONA,04,0404290,AZ-4276,Laveen Elementary District (4276),No,70,,S,.,S,45,13,S,.,.,08APR20
2018-2019,ARIZONA,04,0404320,AZ-4266,Liberty Elementary District (4266),No,12,,3,.,.,9,3,S,.,.,08APR20
2018-2019,ARIZONA,04,0404380,AZ-4281,Litchfield Elementary District (4281),No,26,,S,.,S,19,8,S,.,.,08APR20
2018-2019,ARIZONA,04,0404440,AZ-4278,Littleton Elementary District (4278),No,210,Y,7,3,34,166,25,28,.,.,08APR20
2018-2019,ARIZONA,04,0404500,AZ-4270,Madison Elementary District (4270),No,14,,3,.,.,11,6,S,.,.,08APR20
2018-2019,ARIZONA,04,0404630,AZ-4404,Marana Unified District (4404),Yes,234,,21,6,11,196,57,13,S,.,08APR20
2018-2019,ARIZONA,04,0404720,AZ-4441,Maricopa Unified School District (4441),Yes,95,,11,.,3,55,26,6,.,26,08APR20
2018-2019,ARIZONA,04,0404770,AZ-4418,Altar Valley Elementary District (4418),No,41,Y,.,5,.,36,10,S,.,.,08APR20
2018-2019,ARIZONA,04,0404820,AZ-4473,Mayer Unified School District (4473),Yes,104,Y,S,8,S,93,29,.,.,.,08APR20
2018-2019,ARIZONA,04,0404970,AZ-4235,Mesa Unified District (4235),Yes,1282,Y,231,60,132,858,275,131,4,248,08APR20
2018-2019,ARIZONA,04,0405030,AZ-4211,Miami Unified District (4211),No,33,,S,.,.,S,S,S,.,.,08APR20
2018-2019,ARIZONA,04,0405070,AZ-4488,Mingus Union High School District (4488),No,33,,.,S,S,17,7,S,.,.,08APR20
2018-2019,ARIZONA,04,0405100,AZ-4253,Mobile Elementary District (4253),No,7,,.,.,.,5,.,.,.,.,08APR20
