SCHOOL_YEAR_TEXT,STNAM,FIPST,LEAID,LEANM,SUBGRANT_STATUS,TOTAL,PREK_FLAG,HOTELS_MOTELS,UNSHELTERED,SHELTERED,DOUBLED_UP,CDW,LEP,MIG,UHY,DATE_CUR
2015-2016,MINNESOTA,27,2791446,TRI-COUNTY SCHOOL DISTRICT,No,S,,S,S,S,S,S,S,S,S,12APR17
2015-2016,MINNESOTA,27,2791447,KITTSON CENTRAL SCHOOL DISTRICT,No,S,,S,S,S,S,S,S,S,S,12APR17
2015-2016,MINNESOTA,27,2791448,NORMAN COUNTY WEST SCHOOL DISTRICT,No,3,,S,S,S,3,S,S,S,S,12APR17
2015-2016,MINNESOTA,27,2791449,WIN-E-MAC SCHOOL DISTRICT,No,S,,S,S,S,S,S,S,S,S,12APR17
2015-2016,MINNESOTA,27,2791450,MESABI EAST SCHOOL DISTRICT,No,S,,S,S,S,S,S,S,S,S,12APR17
2015-2016,MINNESOTA,27,2791451,JANESVILLE-WALDORF-PEMBERTON,No,9,,S,S,S,9,4,S,S,S,12APR17
2015-2016,MISSISSIPPI,28,2800187,SUNFLOWER CO CONSOLIDATE SCH DIST,No,39,,.,.,.,39,S,17,.,.,12APR17
2015-2016,MISSISSIPPI,28,2800189,STARKVILLE- OKTIBBEHA CONS SD,Yes,459,,3,.,.,456,92,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2800191,WEST POINT CONSOLIDATED SCHOOL DIST,No,11,,.,.,11,.,5,S,.,.,12APR17
2015-2016,MISSISSIPPI,28,2800390,ALCORN SCHOOL DIST,No,146,,S,.,.,S,15,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2800450,AMORY SCHOOL DIST,No,7,,.,.,.,7,.,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2800510,ATTALA CO SCHOOL DIST,No,4,,.,.,.,4,.,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2800540,BALDWYN SCHOOL DISTRICT,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2800630,BILOXI PUBLIC SCHOOL DIST,No,34,,.,.,17,17,.,S,.,S,12APR17
2015-2016,MISSISSIPPI,28,2800750,CLEVELAND SCHOOL DIST,No,85,,.,.,.,85,11,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2800870,CALHOUN CO SCHOOL DIST,No,42,Y,.,.,.,42,7,S,4,.,12APR17
2015-2016,MISSISSIPPI,28,2801050,CLARKSDALE MUNICIPAL SCHOOL DIST,No,46,,.,S,.,S,6,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2801170,COLUMBIA SCHOOL DISTRICT,No,8,,.,.,5,3,.,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2801200,COLUMBUS MUNICIPAL SCHOOL DIST,No,113,Y,3,.,8,102,11,S,.,38,12APR17
2015-2016,MISSISSIPPI,28,2801220,COPIAH CO SCHOOL DIST,No,11,,.,.,.,11,S,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2801260,CORINTH SCHOOL DIST,Yes,193,Y,.,.,.,193,31,15,.,.,12APR17
2015-2016,MISSISSIPPI,28,2801290,COVINGTON CO SCHOOLS,No,28,,S,.,.,S,S,.,.,S,12APR17
2015-2016,MISSISSIPPI,28,2801490,FORREST COUNTY SCHOOL DISTRICT,No,64,,.,.,.,64,18,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2801510,FORREST COUNTY AG HIGH SCHOOL,No,3,,.,.,.,3,.,.,.,S,12APR17
2015-2016,MISSISSIPPI,28,2801560,GEORGE CO SCHOOL DIST,No,62,,4,7,3,48,8,S,.,9,12APR17
2015-2016,MISSISSIPPI,28,2801620,GREENVILLE PUBLIC SCHOOLS,No,65,Y,26,.,.,39,10,.,.,8,12APR17
2015-2016,MISSISSIPPI,28,2801650,GREENWOOD PUBLIC SCHOOL DISTRICT,No,20,,S,.,.,S,S,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2801710,GULFPORT SCHOOL DIST,No,73,,.,.,S,S,7,S,.,.,12APR17
2015-2016,MISSISSIPPI,28,2801770,HARRISON CO SCHOOL DIST,Yes,1706,Y,35,11,257,1403,257,33,.,20,12APR17
2015-2016,MISSISSIPPI,28,2801800,HATTIESBURG PUBLIC SCHOOL DIST,Yes,84,,S,S,9,64,8,S,.,.,12APR17
2015-2016,MISSISSIPPI,28,2801830,HAZLEHURST CITY SCHOOL DISTRICT,No,19,,.,.,4,15,3,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2801860,HINDS CO SCHOOL DIST,No,157,,.,S,S,138,15,S,.,10,12APR17
2015-2016,MISSISSIPPI,28,2801950,HOLLY SPRINGS SCHOOL DIST,No,129,,7,.,.,122,17,3,.,.,12APR17
2015-2016,MISSISSIPPI,28,2802040,HUMPHREYS CO SCHOOL DIST,No,15,,.,.,.,15,3,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2802100,ITAWAMBA CO SCHOOL DIST,No,73,,.,.,S,S,10,.,.,5,12APR17
2015-2016,MISSISSIPPI,28,2802160,JACKSON CO SCHOOL DIST,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2802190,JACKSON PUBLIC SCHOOL DIST,Yes,4096,Y,48,.,48,4000,472,81,S,.,12APR17
2015-2016,MISSISSIPPI,28,2802250,JEFFERSON DAVIS CO SCHOOL DIST,No,18,,.,.,.,18,3,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2802280,JONES CO SCHOOL DIST,No,15,,S,.,.,S,3,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2802370,LAFAYETTE CO SCHOOL DIST,Yes,196,Y,.,.,.,196,34,S,.,.,12APR17
2015-2016,MISSISSIPPI,28,2802400,LAMAR COUNTY SCHOOL DISTRICT,No,90,,6,.,.,84,23,3,.,.,12APR17
2015-2016,MISSISSIPPI,28,2802430,LAUDERDALE CO SCHOOL DIST,No,29,,3,.,.,26,3,.,.,S,12APR17
2015-2016,MISSISSIPPI,28,2802460,LAUREL SCHOOL DISTRICT,No,9,,6,S,S,.,S,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2802520,LEAKE CO SCHOOL DIST,No,91,,.,.,.,91,7,5,.,3,12APR17
2015-2016,MISSISSIPPI,28,2802580,LEFLORE CO SCHOOL DIST,No,147,Y,.,.,.,147,17,S,8,.,12APR17
2015-2016,MISSISSIPPI,28,2802670,LONG BEACH SCHOOL DIST,No,8,,.,.,.,8,S,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2802730,LOWNDES CO SCHOOL DIST,Yes,59,Y,.,.,.,59,14,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2802760,LUMBERTON PUBLIC SCHOOL DISTRICT,No,91,,.,.,.,91,17,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2802820,MARION CO SCHOOL DIST,No,38,,.,.,S,S,3,3,.,16,12APR17
2015-2016,MISSISSIPPI,28,2802850,MARSHALL CO SCHOOL DIST,No,34,,7,.,.,27,6,.,.,5,12APR17
2015-2016,MISSISSIPPI,28,2802880,MCCOMB SCHOOL DISTRICT,No,61,,S,.,S,56,3,.,.,S,12APR17
2015-2016,MISSISSIPPI,28,2802910,MERIDIAN PUBLIC SCHOOL DIST,No,163,Y,11,7,32,113,21,4,.,S,12APR17
2015-2016,MISSISSIPPI,28,2802940,MONROE CO SCHOOL DIST,No,59,,.,.,.,59,11,.,.,19,12APR17
2015-2016,MISSISSIPPI,28,2803030,NATCHEZ-ADAMS SCHOOL DIST,Yes,25,,S,.,S,12,3,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2803090,NETTLETON SCHOOL DIST,No,38,,.,.,.,38,9,S,.,.,12APR17
2015-2016,MISSISSIPPI,28,2803120,NEW ALBANY PUBLIC SCHOOLS,No,6,,.,.,.,6,3,S,.,S,12APR17
2015-2016,MISSISSIPPI,28,2803300,NOXUBEE COUNTY SCHOOL DISTRICT,Yes,72,,.,.,.,72,10,S,.,.,12APR17
2015-2016,MISSISSIPPI,28,2803360,OCEAN SPRINGS SCHOOL DIST,No,73,,S,.,.,S,16,.,.,S,12APR17
2015-2016,MISSISSIPPI,28,2803450,OXFORD SCHOOL DISTRICT,Yes,18,,S,.,S,16,3,8,S,.,12APR17
2015-2016,MISSISSIPPI,28,2803480,PASCAGOULA SCHOOL DIST,No,71,,5,.,16,50,15,9,.,26,12APR17
2015-2016,MISSISSIPPI,28,2803510,PASS CHRISTIAN PUBLIC SCHOOL DIST,No,18,,.,.,.,18,3,.,.,8,12APR17
2015-2016,MISSISSIPPI,28,2803520,PEARL PUBLIC SCHOOL DIST,No,24,Y,4,.,8,12,S,.,.,5,12APR17
2015-2016,MISSISSIPPI,28,2803530,PETAL SCHOOL DIST,No,49,Y,.,.,.,49,9,S,.,4,12APR17
2015-2016,MISSISSIPPI,28,2803540,PEARL RIVER CO SCHOOL DIST,No,15,Y,.,.,.,15,S,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2803600,PHILADELPHIA PUBLIC SCHOOL DIST,No,9,,.,.,.,9,S,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2803630,PICAYUNE SCHOOL DIST,No,29,,6,.,.,23,3,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2803660,PONTOTOC CO SCHOOL DIST,No,39,,.,.,.,39,5,7,.,16,12APR17
2015-2016,MISSISSIPPI,28,2803720,POPLARVILLE SEPARATE SCHOOL DIST,No,21,,.,.,.,21,6,.,.,S,12APR17
2015-2016,MISSISSIPPI,28,2803750,PRENTISS CO SCHOOL DIST,No,209,,.,.,.,209,51,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2803830,RANKIN CO SCHOOL DIST,No,15,,S,S,.,10,.,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2803870,RICHTON SCHOOL DIST,No,5,,.,.,.,5,.,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2803990,SIMPSON CO SCHOOL DIST,Yes,368,Y,S,9,S,354,54,.,.,4,12APR17
2015-2016,MISSISSIPPI,28,2804080,SOUTH PIKE SCHOOL DIST,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2804170,STONE CO SCHOOL DIST,No,21,,.,13,.,8,3,.,.,6,12APR17
2015-2016,MISSISSIPPI,28,2804230,TATE CO SCHOOL DIST,No,18,,.,S,.,S,.,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2804260,TISHOMINGO CO SP MUN SCH DIST,No,18,,.,4,.,14,6,S,.,S,12APR17
2015-2016,MISSISSIPPI,28,2804320,TUPELO PUBLIC SCHOOL DIST,Yes,165,Y,12,.,26,127,27,21,.,19,12APR17
2015-2016,MISSISSIPPI,28,2804350,UNION CO SCHOOL DIST,No,12,,.,.,.,12,S,.,.,6,12APR17
2015-2016,MISSISSIPPI,28,2804470,VICKSBURG WARREN SCHOOL DIST,Yes,174,Y,S,S,33,121,23,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2804560,WEBSTER CO SCHOOL DIST,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2804650,WEST TALLAHATCHIE SCHOOL DISTRICT,No,82,Y,.,.,.,82,11,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2804680,WESTERN LINE SCHOOL DISTRICT,No,8,,.,.,.,8,S,.,.,S,12APR17
2015-2016,MISSISSIPPI,28,2804710,WILKINSON CO SCHOOL DIST,No,8,,3,.,.,5,.,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2804740,WINONA SEPARATE SCHOOL DIST,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,MISSISSIPPI,28,2804800,YAZOO CO SCHOOL DIST,No,60,,.,.,.,60,5,.,.,.,12APR17
2015-2016,MISSOURI,29,2900002,SOUTH HARRISON CO. R-II,No,3,,.,.,.,3,.,.,.,.,12APR17
2015-2016,MISSOURI,29,2900003,PORTAGEVILLE,No,4,,.,.,.,4,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2900011,B. BANNEKER ACADEMY,No,5,,.,.,.,5,.,.,.,.,12APR17
2015-2016,MISSOURI,29,2900013,DELLA LAMB ELEM.,No,107,,S,.,S,84,13,23,.,3,12APR17
2015-2016,MISSOURI,29,2900014,HOGAN PREPARATORY ACADEMY,No,113,,.,3,7,103,25,.,.,31,12APR17
2015-2016,MISSOURI,29,2900015,GORDON PARKS ELEM.,No,8,,.,.,4,4,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2900016,GENESIS SCHOOL INC.,No,17,,4,.,7,6,3,.,.,S,12APR17
2015-2016,MISSOURI,29,2900017,ACADEMIE LAFAYETTE,No,8,,.,.,.,8,.,.,.,.,12APR17
2015-2016,MISSOURI,29,2900019,SCUOLA VITA NUOVA,No,S,,.,.,.,S,.,S,.,.,12APR17
2015-2016,MISSOURI,29,2900024,BROOKSIDE CHARTER SCH.,No,S,,.,.,S,.,.,S,.,.,12APR17
2015-2016,MISSOURI,29,2900027,UNIVERSITY ACADEMY,No,47,,.,.,5,42,S,.,.,4,12APR17
2015-2016,MISSOURI,29,2900028,LEE A. TOLBERT COM. ACADEMY,No,54,,.,.,S,S,3,.,.,.,12APR17
2015-2016,MISSOURI,29,2900029,ALTA VISTA CHARTER SCH.,No,35,,S,15,S,14,S,25,.,.,12APR17
2015-2016,MISSOURI,29,2900031,KIPP: ENDEAVOR ACADEMY,No,23,,5,.,3,15,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2900574,LIFT FOR LIFE ACADEMY,No,34,,.,S,S,29,6,.,.,.,12APR17
2015-2016,MISSOURI,29,2900576,PREMIER CHARTER SCHOOL,No,35,,4,.,.,31,7,S,.,7,12APR17
2015-2016,MISSOURI,29,2900579,CONFLUENCE ACADEMIES,No,281,,S,S,38,239,31,.,.,4,12APR17
2015-2016,MISSOURI,29,2900586,ST LOUIS LANG IMMERSION SCHOOL,No,28,,.,.,.,28,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2900587,PATHWAY ACADEMY,No,25,,S,.,S,22,.,.,.,.,12APR17
2015-2016,MISSOURI,29,2900590,FRONTIER SCHOOL OF INNOVATION,No,30,,6,.,8,16,7,5,.,3,12APR17
2015-2016,MISSOURI,29,2900591,KIPP ST LOUIS PUBLIC SCHOOLS,No,40,,.,.,.,40,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2900593,DELASALLE CHARTER SCHOOL,No,3,,.,.,S,S,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2900594,CARONDELET LEADERSHIP ACADEMY,No,30,,.,.,7,23,4,.,.,.,12APR17
2015-2016,MISSOURI,29,2900595,GRAND CENTER ARTS ACADEMY,No,14,,.,.,S,S,3,.,.,.,12APR17
2015-2016,MISSOURI,29,2900597,EWING MARION KAUFFMAN SCHOOL,No,3,,.,.,3,.,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2900598,PRECLARUS MASTERY ACADEMY,No,8,,.,S,.,S,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2900599,BETTER LEARNING COMM ACADEMY,No,6,,.,.,.,6,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2900600,SOUTH CITY PREPARATORY ACADEMY,No,36,,.,.,.,36,7,.,.,S,12APR17
2015-2016,MISSOURI,29,2900601,HOPE LEADERSHIP ACADEMY,No,45,,S,.,S,40,4,.,.,S,12APR17
2015-2016,MISSOURI,29,2900602,JAMAA LEARNING CENTER,No,30,,10,.,6,14,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2900603,CROSSROADS ACAD OF KANSAS CITY,No,59,,.,.,3,56,7,S,.,.,12APR17
2015-2016,MISSOURI,29,2900604,ACADEMY FOR INTEGRATED ARTS,No,16,,.,.,.,16,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2900605,EAGLE COLLEGE PREP ENDEAVOR,No,23,,.,S,S,16,5,3,.,.,12APR17
2015-2016,MISSOURI,29,2900606,LAFAYETTE PREPARATORY ACADEMY,No,S,,.,.,.,S,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2900608,HAWTHORN LEADERSHIP SCHL GIRLS,No,S,,.,.,S,.,.,.,.,.,12APR17
2015-2016,MISSOURI,29,2900609,THE BIOME,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,MISSOURI,29,2900611,LA SALLE CHARTER SCHOOL,No,8,,.,.,.,8,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2901000,COLUMBIA 93,No,243,Y,52,S,S,153,48,11,.,S,12APR17
2015-2016,MISSOURI,29,2902850,ADRIAN R-III,No,S,,.,.,.,S,.,.,.,S,12APR17
2015-2016,MISSOURI,29,2902910,AFFTON 101,No,48,,3,S,S,42,7,S,.,16,12APR17
2015-2016,MISSOURI,29,2902970,ALBANY R-III,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,MISSOURI,29,2903060,ALTON R-IV,No,5,,.,.,.,5,.,.,.,S,12APR17
2015-2016,MISSOURI,29,2903200,ARCHIE R-V,No,38,,.,.,.,38,4,.,.,11,12APR17
2015-2016,MISSOURI,29,2904020,AURORA R-VIII,No,71,Y,5,.,.,66,12,S,.,16,12APR17
2015-2016,MISSOURI,29,2904050,AVA R-I,No,7,,.,.,.,7,3,.,.,4,12APR17
2015-2016,MISSOURI,29,2904140,BAKERSFIELD R-IV,No,S,,.,.,S,S,.,.,.,.,12APR17
2015-2016,MISSOURI,29,2904500,BAYLESS,No,23,,.,.,S,S,5,.,.,.,12APR17
2015-2016,MISSOURI,29,2904590,BELLEVIEW R-III,No,5,,S,.,.,S,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2904620,BELTON 124,No,130,Y,50,9,6,65,38,S,.,9,12APR17
2015-2016,MISSOURI,29,2904890,SCOTT CO. R-IV,No,42,Y,.,.,S,S,4,S,.,.,12APR17
2015-2016,MISSOURI,29,2905070,BILLINGS R-IV,No,12,,.,.,.,12,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2905130,BISMARCK R-V,No,93,Y,.,.,.,93,27,.,.,.,12APR17
2015-2016,MISSOURI,29,2905250,BLOOMFIELD R-XIV,No,5,,S,.,.,S,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2905280,BLUE EYE R-V,No,11,,.,.,.,11,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2905310,BLUE SPRINGS R-IV,No,7,,S,.,4,S,.,.,.,.,12APR17
2015-2016,MISSOURI,29,2905370,BOLIVAR R-I,No,10,,.,.,S,S,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2905430,NORTH ST. FRANCOIS CO. R-I,No,251,,30,.,38,183,52,.,.,12,12APR17
2015-2016,MISSOURI,29,2905580,BOONVILLE R-I,No,22,Y,6,.,11,5,5,.,.,.,12APR17
2015-2016,MISSOURI,29,2905640,CRAWFORD CO. R-I,No,S,,.,.,.,S,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2905760,BRANSON R-IV,No,358,Y,196,.,6,156,83,26,.,S,12APR17
2015-2016,MISSOURI,29,2905880,BRENTWOOD,No,9,,.,.,.,9,.,.,.,.,12APR17
2015-2016,MISSOURI,29,2905940,BROOKFIELD R-III,No,10,,.,.,.,10,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2906000,LINN CO. R-I,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,MISSOURI,29,2906120,DALLAS CO. R-I,No,47,,S,.,.,S,5,.,.,4,12APR17
2015-2016,MISSOURI,29,2906430,CABOOL R-IV,No,20,,.,.,.,20,3,.,.,.,12APR17
2015-2016,MISSOURI,29,2906450,CAINSVILLE R-I,No,3,,.,.,.,3,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2906510,MONITEAU CO. R-I,No,34,,.,.,.,34,3,S,.,.,12APR17
2015-2016,MISSOURI,29,2906990,CAMDENTON R-III,No,459,Y,S,S,10,441,92,6,.,70,12APR17
2015-2016,MISSOURI,29,2907020,CAMERON R-I,No,42,Y,6,S,S,32,8,.,.,8,12APR17
2015-2016,MISSOURI,29,2907050,CAMPBELL R-II,No,29,,S,.,.,S,3,.,.,6,12APR17
2015-2016,MISSOURI,29,2907120,CAPE GIRARDEAU 63,No,252,Y,S,.,S,244,44,3,.,16,12APR17
2015-2016,MISSOURI,29,2907350,CARL JUNCTION R-I,No,18,,.,3,.,15,3,.,.,S,12APR17
2015-2016,MISSOURI,29,2907380,CARROLLTON R-VII,No,10,,.,.,.,10,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2907460,CARTHAGE R-IX,No,308,Y,22,4,22,260,44,101,10,53,12APR17
2015-2016,MISSOURI,29,2907470,CARUTHERSVILLE 18,No,4,,.,.,.,4,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2908170,CASSVILLE R-IV,No,128,,5,4,.,119,11,S,.,3,12APR17
2015-2016,MISSOURI,29,2908250,CENTER 58,No,187,Y,21,S,S,151,26,.,.,S,12APR17
2015-2016,MISSOURI,29,2908320,JOHNSON CO. R-VII,No,45,,S,.,.,S,12,.,.,12,12APR17
2015-2016,MISSOURI,29,2908370,FT. ZUMWALT R-II,No,178,,36,S,S,119,57,3,.,20,12APR17
2015-2016,MISSOURI,29,2908400,CENTRALIA R-VI,No,15,,.,.,.,15,S,.,.,4,12APR17
2015-2016,MISSOURI,29,2908430,CHADWICK R-I,No,16,,.,.,.,16,3,.,.,3,12APR17
2015-2016,MISSOURI,29,2908460,CHAFFEE R-II,No,4,,.,.,.,4,.,.,.,.,12APR17
2015-2016,MISSOURI,29,2908730,CHILHOWEE R-IV,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,MISSOURI,29,2908760,CHILLICOTHE R-II,No,3,,.,.,S,S,.,.,.,S,12APR17
2015-2016,MISSOURI,29,2909720,CLAYTON,No,11,,S,.,S,7,S,.,.,S,12APR17
2015-2016,MISSOURI,29,2909780,CLEVER R-V,No,14,,.,.,.,14,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2909860,CLINTON,No,78,Y,S,.,.,S,17,.,.,17,12APR17
2015-2016,MISSOURI,29,2909900,COLE CAMP R-I,No,27,Y,.,.,.,27,3,.,.,.,12APR17
2015-2016,MISSOURI,29,2909930,BLAIR OAKS R-II,No,19,,.,.,.,19,3,.,.,4,12APR17
2015-2016,MISSOURI,29,2910110,LACLEDE CO. R-I,No,6,,.,.,.,6,S,.,.,S,12APR17
2015-2016,MISSOURI,29,2910200,COUCH R-I,No,S,,.,.,.,S,.,.,.,S,12APR17
2015-2016,MISSOURI,29,2910290,CRANE R-III,No,4,,.,.,.,4,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2910320,SHERWOOD CASS R-VIII,No,46,,S,.,.,S,8,.,.,.,12APR17
2015-2016,MISSOURI,29,2910380,CRYSTAL CITY 47,No,6,,.,.,.,6,.,.,.,S,12APR17
2015-2016,MISSOURI,29,2910410,CRAWFORD CO. R-II,No,90,,3,.,4,83,20,5,.,S,12APR17
2015-2016,MISSOURI,29,2910440,DADEVILLE R-II,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,MISSOURI,29,2910500,DESOTO 73,No,108,,S,.,S,105,20,.,.,15,12APR17
2015-2016,MISSOURI,29,2910620,DELTA R-V,No,4,,.,.,S,S,.,.,.,.,12APR17
2015-2016,MISSOURI,29,2910710,DENT-PHELPS R-III,No,25,Y,.,5,.,20,8,.,.,11,12APR17
2015-2016,MISSOURI,29,2910770,DEXTER R-XI,No,3,,.,.,S,S,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2910800,DIAMOND R-IV,No,72,,.,.,.,72,16,S,.,.,12APR17
2015-2016,MISSOURI,29,2910920,DONIPHAN R-I,No,12,,S,S,S,7,S,.,.,3,12APR17
2015-2016,MISSOURI,29,2910950,DORA R-III,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,MISSOURI,29,2911100,EAST CARTER CO. R-II,No,6,,.,3,.,3,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2911250,EAST BUCHANAN CO. C-1,No,3,,.,.,.,3,.,.,.,.,12APR17
2015-2016,MISSOURI,29,2911310,EL DORADO SPRINGS R-II,No,3,,.,.,.,3,.,.,.,S,12APR17
2015-2016,MISSOURI,29,2911340,ELDON R-I,No,7,,S,.,.,S,3,.,.,.,12APR17
2015-2016,MISSOURI,29,2911400,ELSBERRY R-II,No,12,,.,.,.,12,3,.,.,.,12APR17
2015-2016,MISSOURI,29,2911650,EXCELSIOR SPRINGS 40,No,157,Y,8,3,3,143,33,.,.,.,12APR17
2015-2016,MISSOURI,29,2911670,EXETER R-VI,No,13,,.,S,.,S,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2911700,FAIR GROVE R-X,No,11,,.,.,.,11,.,.,.,.,12APR17
2015-2016,MISSOURI,29,2911730,FAIR PLAY R-II,No,11,,.,.,.,11,5,.,.,.,12APR17
2015-2016,MISSOURI,29,2911850,FAIRVIEW R-XI,No,15,,.,.,.,15,5,.,.,.,12APR17
2015-2016,MISSOURI,29,2911910,FARMINGTON R-VII,No,149,,S,S,.,141,26,S,.,29,12APR17
2015-2016,MISSOURI,29,2911940,MID-BUCHANAN CO. R-V,No,8,,.,.,.,8,S,.,.,S,12APR17
2015-2016,MISSOURI,29,2911990,FAYETTE R-III,No,41,,S,S,.,39,11,.,.,16,12APR17
2015-2016,MISSOURI,29,2912010,FERGUSON-FLORISSANT R-II,Yes,1669,Y,54,28,55,1532,271,17,.,203,12APR17
2015-2016,MISSOURI,29,2912180,FORDLAND R-III,No,61,,.,S,.,S,11,.,.,8,12APR17
2015-2016,MISSOURI,29,2912240,FORSYTH R-III,No,60,,.,.,.,60,12,.,.,.,12APR17
2015-2016,MISSOURI,29,2912290,FORT OSAGE R-I,Yes,545,Y,9,64,7,465,80,14,.,231,12APR17
2015-2016,MISSOURI,29,2912300,FOX C-6,No,221,,46,.,.,175,56,.,.,3,12APR17
2015-2016,MISSOURI,29,2912510,FRANKLIN CO. R-II,No,4,,.,.,.,4,.,.,.,.,12APR17
2015-2016,MISSOURI,29,2912540,FREDERICKTOWN R-I,No,12,,.,.,.,12,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2912550,FULTON 58,No,76,Y,14,S,S,48,19,.,.,5,12APR17
2015-2016,MISSOURI,29,2912600,GAINESVILLE R-V,No,10,,.,.,.,10,3,.,.,S,12APR17
2015-2016,MISSOURI,29,2912630,GALENA R-II,No,53,Y,.,.,.,53,11,S,.,15,12APR17
2015-2016,MISSOURI,29,2912690,GRUNDY CO. R-V,No,4,,S,.,.,S,.,.,.,S,12APR17
2015-2016,MISSOURI,29,2912720,GASCONADE C-4,No,S,Y,.,.,.,S,.,.,.,.,12APR17
2015-2016,MISSOURI,29,2912780,GIDEON 37,No,15,,.,.,.,15,S,.,.,.,12APR17
2015-2016,MISSOURI,29,2912900,GLASGOW,No,S,,S,.,.,.,.,.,.,S,12APR17
2015-2016,MISSOURI,29,2913080,GRAIN VALLEY R-V,No,19,,S,.,S,16,3,.,.,S,12APR17
2015-2016,MISSOURI,29,2913140,GRANDVIEW C-4,No,76,Y,19,.,15,42,14,.,.,S,12APR17
2015-2016,MISSOURI,29,2913170,GRANDVIEW R-II,No,60,,.,.,.,60,18,.,.,.,12APR17
2015-2016,MISSOURI,29,2913230,GREEN CITY R-I,No,10,,S,.,.,S,.,S,.,.,12APR17
2015-2016,MISSOURI,29,2913590,HAMILTON R-II,No,17,Y,.,.,.,17,5,.,.,.,12APR17
2015-2016,MISSOURI,29,2913620,HANCOCK PLACE,No,59,,S,S,S,55,10,.,.,S,12APR17
2015-2016,MISSOURI,29,2913650,HANNIBAL 60,No,108,Y,S,.,S,98,34,.,.,S,12APR17
