tract_fips_2020,Tract_fips_2022,tract_name,town_name,town_fips_2020,town_fips_2022,county_name,county_fips_2020,ce_name_2022,ce_fips_2022,PUMA2020code,PUMA2020name,school_district_code,school_district_name,zip5_zcta2020
09009345202,09140345202,3452.02,Naugatuck,0900949950,0914049950,New Haven,09009,Naugatuck Valley Planning Region,09140,20603,Naugatuck Valley South,88,Naugatuck,06770
09009347100,09140347100,3471,Prospect,0900962290,0914062290,New Haven,09009,Naugatuck Valley Planning Region,09140,20602,Naugatuck Valley North,216,Region 16,06712
09009347200,09140347200,3472,Prospect,0900962290,0914062290,New Haven,09009,Naugatuck Valley Planning Region,09140,20602,Naugatuck Valley North,216,Region 16,06712
09009352200,09140352200,3522,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06704
09009352500,09140352500,3525,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06704
09009352600,09140352600,3526,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06705
09009352100,09140352100,3521,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06708
09015907200,09150907200,9072,Plainfield,0901559980,0915059980,Windham,09015,Northeastern Connecticut Planning Region,09150,20204,Northeastern Planning Region & Stafford Town,109,Plainfield,06354
09003460204,09110460204,4602.04,Farmington,0900327600,0911027600,Hartford,09003,Capitol Planning Region,09110,20208,Capitol West,52,Farmington,06032
09003410101,09160410101,4101.01,Burlington,0900310100,0916010100,Hartford,09003,Northwest Hills Planning Region,09160,20100,Northwest Hills,210,Region 10,06013
09003410102,09160410102,4101.02,Burlington,0900310100,0916010100,Hartford,09003,Northwest Hills Planning Region,09160,20100,Northwest Hills,210,Region 10,06013
09003524501,09110524501,5245.01,Hartford,0900337070,0911037070,Hartford,09003,Capitol Planning Region,09110,20201,Hartford Town,64,Hartford,06106
09005320200,09160320200,3202,Winchester,0900586440,0916086440,Litchfield,09005,Northwest Hills Planning Region,09160,20100,Northwest Hills,162,Winchester,06098
09005266100,09160266100,2661,Kent,0900540290,0916040290,Litchfield,09005,Northwest Hills Planning Region,09160,20100,Northwest Hills,201,Region 1,06757
09005298400,09160298400,2984,Harwinton,0900537280,0916037280,Litchfield,09005,Northwest Hills Planning Region,09160,20100,Northwest Hills,210,Region 10,06791
09005342100,09140342100,3421,Bethlehem,0900504930,0914004930,Litchfield,09005,Naugatuck Valley Planning Region,09140,20602,Naugatuck Valley North,214,Region 14,06751
09005310602,09160310602,3106.02,Torrington,0900576570,0916076570,Litchfield,09005,Northwest Hills Planning Region,09160,20100,Northwest Hills,143,Torrington,06790
09005250100,09190250100,2501,Bridgewater,0900508210,0919008210,Litchfield,09005,Western Connecticut Planning Region,09190,20804,Western North,212,Region 12,06752
09005265100,09160265100,2651,Warren,0900579510,0916079510,Litchfield,09005,Northwest Hills Planning Region,09160,20100,Northwest Hills,206,Region 6,06754
09005253100,09190253100,2531,New Milford,0900552630,0919052630,Litchfield,09005,Western Connecticut Planning Region,09190,20804,Western North,96,New Milford,06776
09009345400,09140345400,3454,Naugatuck,0900949950,0914049950,New Haven,09009,Naugatuck Valley Planning Region,09140,20603,Naugatuck Valley South,88,Naugatuck,06770
09009346101,09140346101,3461.01,Oxford,0900958300,0914058300,New Haven,09009,Naugatuck Valley Planning Region,09140,20603,Naugatuck Valley South,108,Oxford,06478
09009352400,09140352400,3524,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06704
09009186200,09170186200,1862,North Branford,0900953890,0917053890,New Haven,09009,South Central Connecticut Planning Region,09170,20504,South Central East,99,North Branford,06472
09009170500,09170170500,1705,Meriden,0900946520,0917046520,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,80,Meriden,06451
09009361200,09140361200,3612,Wolcott,0900987560,0914087560,New Haven,09009,Naugatuck Valley Planning Region,09140,20602,Naugatuck Valley North,166,Wolcott,06716
09009351602,09140351602,3516.02,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06708
09009352000,09140352000,3520,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06708
09009167201,09170167201,1672.01,North Haven,0900954870,0917054870,New Haven,09009,South Central Connecticut Planning Region,09170,20504,South Central East,101,North Haven,06473
09009186100,09170186100,1861,North Branford,0900953890,0917053890,New Haven,09009,South Central Connecticut Planning Region,09170,20504,South Central East,99,North Branford,06471
09009170900,09170170900,1709,Meriden,0900946520,0917046520,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,80,Meriden,06451
09009142000,09170142000,1420,New Haven,0900952070,0917052070,New Haven,09009,South Central Connecticut Planning Region,09170,20501,New Haven Town,93,New Haven,06511
09009343300,09140343300,3433,Cheshire,0900914160,0914014160,New Haven,09009,Naugatuck Valley Planning Region,09140,20602,Naugatuck Valley North,25,Cheshire,06410
09009184300,09170184300,1843,Branford,0900907310,0917007310,New Haven,09009,South Central Connecticut Planning Region,09170,20504,South Central East,14,Branford,06405
09009151200,09170151200,1512,Milford,0900947535,0917047535,New Haven,09009,South Central Connecticut Planning Region,09170,20502,South Central West,84,Milford,06460
09009176000,09170176000,1760,Wallingford,0900978740,0917078740,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,148,Wallingford,06492
09009167202,09170167202,1672.02,North Haven,0900954870,0917054870,New Haven,09009,South Central Connecticut Planning Region,09170,20504,South Central East,101,North Haven,06473
09009155000,09170155000,1550,West Haven,0900982870,0917082870,New Haven,09009,South Central Connecticut Planning Region,09170,20502,South Central West,156,West Haven,06516
09009351900,09140351900,3519,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06708
09009125200,09140125200,1252,Ansonia,0900901220,0914001220,New Haven,09009,Naugatuck Valley Planning Region,09140,20603,Naugatuck Valley South,2,Ansonia,06401
09009184200,09170184200,1842,Branford,0900907310,0917007310,New Haven,09009,South Central Connecticut Planning Region,09170,20504,South Central East,14,Branford,06405
09009190100,09170190100,1901,Guilford,0900934950,0917034950,New Haven,09009,South Central Connecticut Planning Region,09170,20504,South Central East,60,Guilford,06437
09005310803,09160310803,3108.03,Torrington,0900576570,0916076570,Litchfield,09005,Northwest Hills Planning Region,09160,20100,Northwest Hills,143,Torrington,06790
09005310804,09160310804,3108.04,Torrington,0900576570,0916076570,Litchfield,09005,Northwest Hills Planning Region,09160,20100,Northwest Hills,143,Torrington,06790
09009140900,09170140900,1409,New Haven,0900952070,0917052070,New Haven,09009,South Central Connecticut Planning Region,09170,20501,New Haven Town,93,New Haven,06511
09009190200,09170190200,1902,Guilford,0900934950,0917034950,New Haven,09009,South Central Connecticut Planning Region,09170,20504,South Central East,60,Guilford,06437
09009175800,09170175800,1758,Wallingford,0900978740,0917078740,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,148,Wallingford,06492
09009344100,09140344100,3441,Middlebury,0900946940,0914046940,New Haven,09009,Naugatuck Valley Planning Region,09140,20602,Naugatuck Valley North,215,Region 15,06762
09009343101,09140343101,3431.01,Cheshire,0900914160,0914014160,New Haven,09009,Naugatuck Valley Planning Region,09140,20602,Naugatuck Valley North,25,Cheshire,06410
09009160100,09170160100,1601,Woodbridge,0900987700,0917087700,New Haven,09009,South Central Connecticut Planning Region,09170,20502,South Central West,205,Region 5,06525
09009351700,09140351700,3517,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06708
09009151100,09170151100,1511,Milford,0900947535,0917047535,New Haven,09009,South Central Connecticut Planning Region,09170,20502,South Central West,84,Milford,06460
09009348111,09140348111,3481.11,Southbury,0900969640,0914069640,New Haven,09009,Naugatuck Valley Planning Region,09140,20603,Naugatuck Valley South,215,Region 15,06488
09009343400,09140343400,3434,Cheshire,0900914160,0914014160,New Haven,09009,Naugatuck Valley Planning Region,09140,20602,Naugatuck Valley North,25,Cheshire,06410
09009150900,09170150900,1509,Milford,0900947535,0917047535,New Haven,09009,South Central Connecticut Planning Region,09170,20502,South Central West,84,Milford,06460
09009170100,09170170100,1701,Meriden,0900946520,0917046520,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,80,Meriden,06450
09009157400,09170157400,1574,Orange,0900957600,0917057600,New Haven,09009,South Central Connecticut Planning Region,09170,20502,South Central West,205,Region 5,06477
09009157100,09170157100,1571,Orange,0900957600,0917057600,New Haven,09009,South Central Connecticut Planning Region,09170,20502,South Central West,205,Region 5,06477
09009361100,09140361100,3611,Wolcott,0900987560,0914087560,New Haven,09009,Naugatuck Valley Planning Region,09140,20602,Naugatuck Valley North,166,Wolcott,06716
09009345201,09140345201,3452.01,Naugatuck,0900949950,0914049950,New Haven,09009,Naugatuck Valley Planning Region,09140,20603,Naugatuck Valley South,88,Naugatuck,06770
09009142800,09170142800,1428,New Haven,0900952070,0917052070,New Haven,09009,South Central Connecticut Planning Region,09170,20501,New Haven Town,93,New Haven,06512
09009190302,09170190302,1903.02,Guilford,0900934950,0917034950,New Haven,09009,South Central Connecticut Planning Region,09170,20504,South Central East,60,Guilford,06437
09005262100,09160262100,2621,Sharon,0900567960,0916067960,Litchfield,09005,Northwest Hills Planning Region,09160,20100,Northwest Hills,201,Region 1,06069
09005310300,09160310300,3103,Torrington,0900576570,0916076570,Litchfield,09005,Northwest Hills Planning Region,09160,20100,Northwest Hills,143,Torrington,06790
09005310801,09160310801,3108.01,Torrington,0900576570,0916076570,Litchfield,09005,Northwest Hills Planning Region,09160,20100,Northwest Hills,143,Torrington,06790
09005360200,09140360200,3602,Watertown,0900580490,0914080490,Litchfield,09005,Naugatuck Valley Planning Region,09140,20602,Naugatuck Valley North,153,Watertown,06795
09005425400,09140425400,4254,Plymouth,0900560750,0914060750,Litchfield,09005,Naugatuck Valley Planning Region,09140,20602,Naugatuck Valley North,111,Plymouth,06786
09005425500,09140425500,4255,Plymouth,0900560750,0914060750,Litchfield,09005,Naugatuck Valley Planning Region,09140,20602,Naugatuck Valley North,111,Plymouth,06786
09005260200,09160260200,2602,North Canaan,0900554030,0916054030,Litchfield,09005,Northwest Hills Planning Region,09160,20100,Northwest Hills,201,Region 1,06024
09005267100,09160267100,2671,Washington,0900579720,0916079720,Litchfield,09005,Northwest Hills Planning Region,09160,20100,Northwest Hills,212,Region 12,06794
09005298300,09160298300,2983,Harwinton,0900537280,0916037280,Litchfield,09005,Northwest Hills Planning Region,09160,20100,Northwest Hills,210,Region 10,06791
09005310700,09160310700,3107,Torrington,0900576570,0916076570,Litchfield,09005,Northwest Hills Planning Region,09160,20100,Northwest Hills,143,Torrington,06790
09005360300,09140360300,3603,Watertown,0900580490,0914080490,Litchfield,09005,Naugatuck Valley Planning Region,09140,20602,Naugatuck Valley North,153,Watertown,06779
09009171100,09170171100,1711,Meriden,0900946520,0917046520,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,80,Meriden,06450
09009175400,09170175400,1754,Wallingford,0900978740,0917078740,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,148,Wallingford,06492
09009190301,09170190301,1903.01,Guilford,0900934950,0917034950,New Haven,09009,South Central Connecticut Planning Region,09170,20504,South Central East,60,Guilford,06437
09009194201,09170194201,1942.01,Madison,0900944560,0917044560,New Haven,09009,South Central Connecticut Planning Region,09170,20504,South Central East,76,Madison,06443
09009343102,09140343102,3431.02,Cheshire,0900914160,0914014160,New Haven,09009,Naugatuck Valley Planning Region,09140,20602,Naugatuck Valley North,25,Cheshire,06410
09009344200,09140344200,3442,Middlebury,0900946940,0914046940,New Haven,09009,Naugatuck Valley Planning Region,09140,20602,Naugatuck Valley North,215,Region 15,06762
09009352300,09140352300,3523,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06704
09009154700,09170154700,1547,West Haven,0900982870,0917082870,New Haven,09009,South Central Connecticut Planning Region,09170,20502,South Central West,156,West Haven,06516
09009160200,09170160200,1602,Woodbridge,0900987700,0917087700,New Haven,09009,South Central Connecticut Planning Region,09170,20502,South Central West,205,Region 5,06525
09009345300,09140345300,3453,Naugatuck,0900949950,0914049950,New Haven,09009,Naugatuck Valley Planning Region,09140,20603,Naugatuck Valley South,88,Naugatuck,06770
09009141200,09170141200,1412,New Haven,0900952070,0917052070,New Haven,09009,South Central Connecticut Planning Region,09170,20501,New Haven Town,93,New Haven,06515
09005425601,09160425601,4256.01,Norfolk,0900553470,0916053470,Litchfield,09005,Northwest Hills Planning Region,09160,20100,Northwest Hills,207,Region 7,06058
09005320101,09160320101,3201.01,Winchester,0900586440,0916086440,Litchfield,09005,Northwest Hills Planning Region,09160,20100,Northwest Hills,162,Winchester,06098
09005320102,09160320102,3201.02,Winchester,0900586440,0916086440,Litchfield,09005,Northwest Hills Planning Region,09160,20100,Northwest Hills,162,Winchester,06098
09005425700,09190425700,4257,New Milford,0900552630,0919052630,Litchfield,09005,Western Connecticut Planning Region,09190,20804,Western North,96,New Milford,06776
09005425602,09160425602,4256.02,Canaan,0900510940,0916010940,Litchfield,09005,Northwest Hills Planning Region,09160,20100,Northwest Hills,201,Region 1,06031
09005360400,09140360400,3604,Watertown,0900580490,0914080490,Litchfield,09005,Naugatuck Valley Planning Region,09140,20602,Naugatuck Valley North,153,Watertown,06779
09001043800,09190043800,438,Norwalk,0900156060,0919056060,Fairfield,09001,Western Connecticut Planning Region,09190,20803,Norwalk & Westport Towns,103,Norwalk,06854
09001061100,09120061100,611,Fairfield,0900126620,0912026620,Fairfield,09001,Greater Bridgeport Planning Region,09120,20702,Bridgeport Suburban,51,Fairfield,06825
09009170600,09170170600,1706,Meriden,0900946520,0917046520,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,80,Meriden,06451
09009170700,09170170700,1707,Meriden,0900946520,0917046520,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,80,Meriden,06451
09009170800,09170170800,1708,Meriden,0900946520,0917046520,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,80,Meriden,06451
09009171000,09170171000,1710,Meriden,0900946520,0917046520,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,80,Meriden,06450
09001061300,09120061300,613,Fairfield,0900126620,0912026620,Fairfield,09001,Greater Bridgeport Planning Region,09120,20702,Bridgeport Suburban,51,Fairfield,06825
09009165600,09170165600,1656,Hamden,0900935650,0917035650,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,62,Hamden,06514
09009165700,09170165700,1657,Hamden,0900935650,0917035650,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,62,Hamden,06514
09009165801,09170165801,1658.01,Hamden,0900935650,0917035650,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,62,Hamden,06514
09009165802,09170165802,1658.02,Hamden,0900935650,0917035650,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,62,Hamden,06514
09009165500,09170165500,1655,Hamden,0900935650,0917035650,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,62,Hamden,06514
09003514400,09110514400,5144,Manchester,0900344700,0911044700,Hartford,09003,Capitol Planning Region,09110,20205,"East Hartford, Manchester & Vernon Towns",77,Manchester,06040
09015902200,09150902200,9022,Eastford,0901521860,0915021860,Windham,09015,Northeastern Connecticut Planning Region,09150,20204,Northeastern Planning Region & Stafford Town,39,Eastford,06242
09007541100,09130541100,5411,Middletown,0900747360,0913047360,Middlesex,09007,Lower Connecticut River Valley Planning Region,09130,20400,Lower Connecticut River Valley,83,Middletown,06457
09007541500,09130541500,5415,Middletown,0900747360,0913047360,Middlesex,09007,Lower Connecticut River Valley Planning Region,09130,20400,Lower Connecticut River Valley,83,Middletown,06459
09015800300,09180800300,8003,Windham,0901586790,0918086790,Windham,09015,Southeastern Connecticut Planning Region,09180,20302,Inland Southeastern,163,Windham,06226
09015902500,09150902500,9025,Pomfret,0901561030,0915061030,Windham,09015,Northeastern Connecticut Planning Region,09150,20204,Northeastern Planning Region & Stafford Town,112,Pomfret,06259
09015904500,09150904500,9045,Killingly,0901540500,0915040500,Windham,09015,Northeastern Connecticut Planning Region,09150,20204,Northeastern Planning Region & Stafford Town,69,Killingly,06239
09015800400,09180800400,8004,Windham,0901586790,0918086790,Windham,09015,Southeastern Connecticut Planning Region,09180,20302,Inland Southeastern,163,Windham,06226
09015800600,09180800600,8006,Windham,0901586790,0918086790,Windham,09015,Southeastern Connecticut Planning Region,09180,20302,Inland Southeastern,163,Windham,06226
09015907100,09150907100,9071,Plainfield,0901559980,0915059980,Windham,09015,Northeastern Connecticut Planning Region,09150,20204,Northeastern Planning Region & Stafford Town,109,Plainfield,06374
09015900100,09150900100,9001,Thompson,0901575870,0915075870,Windham,09015,Northeastern Connecticut Planning Region,09150,20204,Northeastern Planning Region & Stafford Town,141,Thompson,06277
09015830100,09150830100,8301,Ashford,0901501430,0915001430,Windham,09015,Northeastern Connecticut Planning Region,09150,20204,Northeastern Planning Region & Stafford Town,219,Region 19,06278
09001230502,09190230502,2305.02,Newtown,0900152980,0919052980,Fairfield,09001,Western Connecticut Planning Region,09190,20804,Western North,97,Newtown,06482
09001230501,09190230501,2305.01,Newtown,0900152980,0919052980,Fairfield,09001,Western Connecticut Planning Region,09190,20804,Western North,97,Newtown,06482
09003514500,09110514500,5145,Manchester,0900344700,0911044700,Hartford,09003,Capitol Planning Region,09110,20205,"East Hartford, Manchester & Vernon Towns",77,Manchester,06040
09003514600,09110514600,5146,Manchester,0900344700,0911044700,Hartford,09003,Capitol Planning Region,09110,20205,"East Hartford, Manchester & Vernon Towns",77,Manchester,06040
09003514700,09110514700,5147,Manchester,0900344700,0911044700,Hartford,09003,Capitol Planning Region,09110,20205,"East Hartford, Manchester & Vernon Towns",77,Manchester,06040
09003514800,09110514800,5148,Manchester,0900344700,0911044700,Hartford,09003,Capitol Planning Region,09110,20205,"East Hartford, Manchester & Vernon Towns",77,Manchester,06040
09003514900,09110514900,5149,Manchester,0900344700,0911044700,Hartford,09003,Capitol Planning Region,09110,20205,"East Hartford, Manchester & Vernon Towns",77,Manchester,06042
09003515000,09110515000,5150,Manchester,0900344700,0911044700,Hartford,09003,Capitol Planning Region,09110,20205,"East Hartford, Manchester & Vernon Towns",77,Manchester,06040
09003515200,09110515200,5152,Manchester,0900344700,0911044700,Hartford,09003,Capitol Planning Region,09110,20205,"East Hartford, Manchester & Vernon Towns",77,Manchester,06040
09003500500,09110500500,5005,Hartford,0900337070,0911037070,Hartford,09003,Capitol Planning Region,09110,20201,Hartford Town,64,Hartford,06106
09003520201,09110520201,5202.01,Glastonbury,0900331240,0911031240,Hartford,09003,Capitol Planning Region,09110,20206,"Glastonbury, Wethersfield, Rocky Hill & Newington Towns",54,Glastonbury,06033
09013533103,09110533103,5331.03,Tolland,0901376290,0911076290,Tolland,09013,Capitol Planning Region,09110,20203,Capitol East,142,Tolland,06084
09013533104,09110533104,5331.04,Tolland,0901376290,0911076290,Tolland,09013,Capitol Planning Region,09110,20203,Capitol East,142,Tolland,06084
09013535102,09110535102,5351.02,Ellington,0901325360,0911025360,Tolland,09013,Capitol Planning Region,09110,20203,Capitol East,48,Ellington,06029
09013535101,09110535101,5351.01,Ellington,0901325360,0911025360,Tolland,09013,Capitol Planning Region,09110,20203,Capitol East,48,Ellington,06029
09009184101,09170184101,1841.01,Branford,0900907310,0917007310,New Haven,09009,South Central Connecticut Planning Region,09170,20504,South Central East,14,Branford,06405
09009167101,09170167101,1671.01,North Haven,0900954870,0917054870,New Haven,09009,South Central Connecticut Planning Region,09170,20504,South Central East,101,North Haven,06473
09009180101,09170180101,1801.01,East Haven,0900922910,0917022910,New Haven,09009,South Central Connecticut Planning Region,09170,20504,South Central East,44,East Haven,06512
09009350101,09140350101,3501.01,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06702
09009166003,09170166003,1660.03,Hamden,0900935650,0917035650,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,62,Hamden,06518
09009142605,09170142605,1426.05,New Haven,0900952070,0917052070,New Haven,09009,South Central Connecticut Planning Region,09170,20501,New Haven Town,93,New Haven,06513
09009175502,09170175502,1755.02,Wallingford,0900978740,0917078740,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,148,Wallingford,06492
09009180102,09170180102,1801.02,East Haven,0900922910,0917022910,New Haven,09009,South Central Connecticut Planning Region,09170,20504,South Central East,44,East Haven,06512
09009130202,09140130202,1302.02,Seymour,0900967610,0914067610,New Haven,09009,Naugatuck Valley Planning Region,09140,20603,Naugatuck Valley South,124,Seymour,06483
09009140102,09170140102,1401.02,New Haven,0900952070,0917052070,New Haven,09009,South Central Connecticut Planning Region,09170,20501,New Haven Town,93,New Haven,06510
09009141301,09170141301,1413.01,New Haven,0900952070,0917052070,New Haven,09009,South Central Connecticut Planning Region,09170,20501,New Haven Town,93,New Haven,06515
09009167102,09170167102,1671.02,North Haven,0900954870,0917054870,New Haven,09009,South Central Connecticut Planning Region,09170,20504,South Central East,101,North Haven,06473
09009166004,09170166004,1660.04,Hamden,0900935650,0917035650,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,62,Hamden,06518
09009154102,09170154102,1541.02,West Haven,0900982870,0917082870,New Haven,09009,South Central Connecticut Planning Region,09170,20502,South Central West,156,West Haven,06516
09009171202,09170171202,1712.02,Meriden,0900946520,0917046520,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,80,Meriden,06450
09009167301,09170167301,1673.01,North Haven,0900954870,0917054870,New Haven,09009,South Central Connecticut Planning Region,09170,20504,South Central East,101,North Haven,06473
09009175501,09170175501,1755.01,Wallingford,0900978740,0917078740,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,148,Wallingford,06492
09009194101,09170194101,1941.01,Madison,0900944560,0917044560,New Haven,09009,South Central Connecticut Planning Region,09170,20504,South Central East,76,Madison,06443
09009154101,09170154101,1541.01,West Haven,0900982870,0917082870,New Haven,09009,South Central Connecticut Planning Region,09170,20502,South Central West,156,West Haven,06516
09009194102,09170194102,1941.02,Madison,0900944560,0917044560,New Haven,09009,South Central Connecticut Planning Region,09170,20504,South Central East,76,Madison,06443
09009171201,09170171201,1712.01,Meriden,0900946520,0917046520,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,80,Meriden,06450
09009130201,09140130201,1302.01,Seymour,0900967610,0914067610,New Haven,09009,Naugatuck Valley Planning Region,09140,20603,Naugatuck Valley South,124,Seymour,06483
09009140101,09170140101,1401.01,New Haven,0900952070,0917052070,New Haven,09009,South Central Connecticut Planning Region,09170,20501,New Haven Town,93,New Haven,06510
09009351601,09140351601,3516.01,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06708
09009351500,09140351500,3515,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06706
09009150300,09170150300,1503,Milford,0900947535,0917047535,New Haven,09009,South Central Connecticut Planning Region,09170,20502,South Central West,84,Milford,06460
09009150600,09170150600,1506,Milford,0900947535,0917047535,New Haven,09009,South Central Connecticut Planning Region,09170,20502,South Central West,84,Milford,06461
09009165200,09170165200,1652,Hamden,0900935650,0917035650,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,62,Hamden,06517
09009171300,09170171300,1713,Meriden,0900946520,0917046520,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,80,Meriden,06450
09009171400,09170171400,1714,Meriden,0900946520,0917046520,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,80,Meriden,06450
09009171500,09170171500,1715,Meriden,0900946520,0917046520,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,80,Meriden,06450
