year,state,place,state_name,place_name,population
2014,20,53775,Kansas,Overland Park city,184525
2014,20,71000,Kansas,Topeka city,127215
2014,20,79000,Kansas,Wichita city,388413
2014,21,46027,Kentucky,Lexington-Fayette urban county,310797
2014,21,48006,Kentucky,Louisville/Jefferson County metro government (balance),612780
2014,22,05000,Louisiana,Baton Rouge city,228895
2014,22,40735,Louisiana,Lafayette city,126066
2014,22,41155,Louisiana,Lake Charles city,74889
2014,22,55000,Louisiana,New Orleans city,384320
2014,22,70000,Louisiana,Shreveport city,198242
2014,24,04000,Maryland,Baltimore city,622793
2014,24,30325,Maryland,Frederick city,68400
2014,25,07000,Massachusetts,Boston city,655884
2014,25,09000,Massachusetts,Brockton city,94779
2014,25,11000,Massachusetts,Cambridge city,109694
2014,25,23000,Massachusetts,Fall River city,88712
2014,25,34550,Massachusetts,Lawrence city,78197
2014,25,37000,Massachusetts,Lowell city,109945
2014,25,37490,Massachusetts,Lynn city,92137
2014,25,45000,Massachusetts,New Bedford city,94845
2014,25,45560,Massachusetts,Newton city,88287
2014,25,55745,Massachusetts,Quincy city,93397
2014,25,62535,Massachusetts,Somerville city,78901
2014,25,67000,Massachusetts,Springfield city,153991
2014,25,82000,Massachusetts,Worcester city,183016
2014,26,03000,Michigan,Ann Arbor city,117770
2014,26,21000,Michigan,Dearborn city,95535
2014,26,22000,Michigan,Detroit city,680250
2014,26,27440,Michigan,Farmington Hills city,81435
2014,26,29000,Michigan,Flint city,99002
2014,26,34000,Michigan,Grand Rapids city,193792
2014,26,46000,Michigan,Lansing city,114620
2014,26,49000,Michigan,Livonia city,94958
2014,26,69035,Michigan,Rochester Hills city,73125
2014,26,74900,Michigan,Southfield city,73002
2014,26,76460,Michigan,Sterling Heights city,131741
2014,26,80700,Michigan,Troy city,83107
2014,26,84000,Michigan,Warren city,135099
2014,26,86000,Michigan,Westland city,82314
2014,26,88940,Michigan,Wyoming city,74826
2014,27,06616,Minnesota,Bloomington city,86314
2014,27,07966,Minnesota,Brooklyn Park city,78728
2014,27,17000,Minnesota,Duluth city,86238
2014,27,43000,Minnesota,Minneapolis city,407207
2014,27,51730,Minnesota,Plymouth city,75057
2014,27,54880,Minnesota,Rochester city,111402
2014,27,58000,Minnesota,St. Paul city,297640
2014,27,71428,Minnesota,Woodbury city,66807
2014,28,36000,Mississippi,Jackson city,171155
2014,29,15670,Missouri,Columbia city,116906
2014,29,35000,Missouri,Independence city,117494
2014,29,38000,Missouri,Kansas City city,470800
2014,29,41348,Missouri,Lee's Summit city,93864
2014,29,54074,Missouri,O'Fallon city,84009
2014,29,65000,Missouri,St. Louis city,317419
2014,29,70000,Missouri,Springfield city,165378
2014,30,06550,Montana,Billings city,108869
2014,31,28000,Nebraska,Lincoln city,272996
2014,31,37000,Nebraska,Omaha city,446599
2014,32,31900,Nevada,Henderson city,277440
2014,32,40000,Nevada,Las Vegas city,613599
2014,32,51800,Nevada,North Las Vegas city,230788
2014,32,60600,Nevada,Reno city,236995
2014,32,68400,Nevada,Sparks city,94708
2014,33,45140,New Hampshire,Manchester city,110448
2014,33,50260,New Hampshire,Nashua city,87259
2014,34,13690,New Jersey,Clifton city,85927
2014,34,21000,New Jersey,Elizabeth city,128705
2014,34,36000,New Jersey,Jersey City city,262146
2014,34,51000,New Jersey,Newark city,280579
2014,34,57000,New Jersey,Paterson city,146753
2014,34,74000,New Jersey,Trenton city,84034
2014,35,02000,New Mexico,Albuquerque city,557169
2014,35,39380,New Mexico,Las Cruces city,101408
2014,35,63460,New Mexico,Rio Rancho city,93820
2014,35,70500,New Mexico,Santa Fe city,70297
2014,36,01000,New York,Albany city,98566
2014,36,11000,New York,Buffalo city,258703
2014,36,50617,New York,New Rochelle city,79637
2014,36,51000,New York,New York city,8491079
2014,36,63000,New York,Rochester city,209983
2014,36,73000,New York,Syracuse city,144263
2014,36,84000,New York,Yonkers city,200667
2014,37,02140,North Carolina,Asheville city,87882
2014,37,10740,North Carolina,Cary town,155227
2014,37,12000,North Carolina,Charlotte city,809958
2014,37,14100,North Carolina,Concord city,85560
2014,37,19000,North Carolina,Durham city,251893
2014,37,22920,North Carolina,Fayetteville city,203948
2014,37,25580,North Carolina,Gastonia city,73698
2014,37,28000,North Carolina,Greensboro city,282586
2014,37,28080,North Carolina,Greenville city,89852
2014,37,31400,North Carolina,High Point city,108629
2014,37,55000,North Carolina,Raleigh city,439896
2014,37,74440,North Carolina,Wilmington city,113657
2014,37,75000,North Carolina,Winston-Salem city,239269
2014,38,25700,North Dakota,Fargo city,115863
2014,39,01000,Ohio,Akron city,197859
2014,39,15000,Ohio,Cincinnati city,298165
2014,39,16000,Ohio,Cleveland city,389521
2014,39,18000,Ohio,Columbus city,835957
2014,39,21000,Ohio,Dayton city,141003
2014,39,61000,Ohio,Parma city,80015
2014,39,77000,Ohio,Toledo city,281031
2014,40,09050,Oklahoma,Broken Arrow city,104726
2014,40,23200,Oklahoma,Edmond city,88605
2014,40,41850,Oklahoma,Lawton city,97017
2014,40,52500,Oklahoma,Norman city,118040
2014,40,55000,Oklahoma,Oklahoma City city,620602
2014,40,75000,Oklahoma,Tulsa city,399682
2014,41,05350,Oregon,Beaverton city,95109
2014,41,05800,Oregon,Bend city,84080
2014,41,23850,Oregon,Eugene city,160561
2014,41,31250,Oregon,Gresham city,109892
2014,41,34100,Oregon,Hillsboro city,99393
2014,41,47000,Oregon,Medford city,78557
2014,41,59000,Oregon,Portland city,619360
2014,41,64900,Oregon,Salem city,161637
2014,42,02000,Pennsylvania,Allentown city,119104
2014,42,06088,Pennsylvania,Bethlehem city,75135
2014,42,24000,Pennsylvania,Erie city,99452
2014,42,60000,Pennsylvania,Philadelphia city,1560297
2014,42,61000,Pennsylvania,Pittsburgh city,305412
2014,42,63624,Pennsylvania,Reading city,87812
2014,42,69000,Pennsylvania,Scranton city,75281
2014,44,19180,Rhode Island,Cranston city,81037
2014,44,54640,Rhode Island,Pawtucket city,71499
2014,44,59000,Rhode Island,Providence city,179154
2014,44,74300,Rhode Island,Warwick city,81963
2014,45,13330,South Carolina,Charleston city,130113
2014,45,16000,South Carolina,Columbia city,132067
2014,45,48535,South Carolina,Mount Pleasant town,77796
2014,45,50875,South Carolina,North Charleston city,106749
2014,46,59020,South Dakota,Sioux Falls city,168586
2014,47,14000,Tennessee,Chattanooga city,173778
2014,47,15160,Tennessee,Clarksville city,146806
2014,47,27740,Tennessee,Franklin city,70612
2014,47,40000,Tennessee,Knoxville city,184281
2014,47,48000,Tennessee,Memphis city,656861
2014,47,51560,Tennessee,Murfreesboro city,120954
2014,47,52006,Tennessee,Nashville-Davidson metropolitan government (balance),644014
2014,48,01000,Texas,Abilene city,120958
2014,48,01924,Texas,Allen city,94179
2014,48,03000,Texas,Amarillo city,197254
2014,48,04000,Texas,Arlington city,383204
2014,48,05000,Texas,Austin city,912791
2014,48,06128,Texas,Baytown city,76127
2014,48,07000,Texas,Beaumont city,117585
2014,48,10768,Texas,Brownsville city,183046
2014,48,10912,Texas,Bryan city,80913
2014,48,13024,Texas,Carrollton city,128353
2014,48,13552,Texas,Cedar Park city,63574
2014,48,15976,Texas,College Station city,103483
2014,48,16432,Texas,Conroe city,65871
2014,48,17000,Texas,Corpus Christi city,320434
2014,48,19000,Texas,Dallas city,1281047
2014,48,19972,Texas,Denton city,128205
2014,48,22660,Texas,Edinburg city,83014
2014,48,24000,Texas,El Paso city,679036
2014,48,26232,Texas,Flower Mound town,69650
2014,48,27000,Texas,Fort Worth city,812238
2014,48,27684,Texas,Frisco city,145035
2014,48,29000,Texas,Garland city,235501
2014,48,30464,Texas,Grand Prairie city,185453
2014,48,35000,Texas,Houston city,2239558
2014,48,37000,Texas,Irving city,232406
2014,48,39148,Texas,Killeen city,138154
2014,48,41464,Texas,Laredo city,252309
2014,48,41980,Texas,League City city,94403
2014,48,42508,Texas,Lewisville city,102889
2014,48,43888,Texas,Longview city,81593
2014,48,45000,Texas,Lubbock city,243839
2014,48,45384,Texas,McAllen city,138596
2014,48,45744,Texas,McKinney city,156767
2014,48,47892,Texas,Mesquite city,144416
2014,48,48072,Texas,Midland city,128037
2014,48,48768,Texas,Mission city,82431
2014,48,50820,Texas,New Braunfels city,66394
2014,48,53388,Texas,Odessa city,114597
2014,48,56000,Texas,Pasadena city,153887
2014,48,56348,Texas,Pearland city,103441
2014,48,57200,Texas,Pharr city,75382
2014,48,58016,Texas,Plano city,278480
2014,48,61796,Texas,Richardson city,108617
2014,48,63500,Texas,Round Rock city,112744
2014,48,64472,Texas,San Angelo city,98975
2014,48,65000,Texas,San Antonio city,1436697
2014,48,70808,Texas,Sugar Land city,86777
2014,48,72176,Texas,Temple city,70765
2014,48,74144,Texas,Tyler city,101421
2014,48,76000,Texas,Waco city,130194
2014,48,79000,Texas,Wichita Falls city,105114
2014,49,43660,Utah,Layton city,72231
2014,49,44320,Utah,Lehi city,56275
2014,49,55980,Utah,Ogden city,84316
2014,49,57300,Utah,Orem city,91781
2014,49,62470,Utah,Provo city,114801
2014,49,65330,Utah,St. George city,78505
2014,49,67000,Utah,Salt Lake City city,190884
2014,49,67440,Utah,Sandy city,91148
2014,49,70850,Utah,South Jordan city,62781
2014,49,82950,Utah,West Jordan city,110920
2014,49,83470,Utah,West Valley City city,134495
2014,51,01000,Virginia,Alexandria city,150575
2014,51,16000,Virginia,Chesapeake city,233371
2014,51,35000,Virginia,Hampton city,136879
2014,51,47672,Virginia,Lynchburg city,79047
2014,51,56000,Virginia,Newport News city,182965
2014,51,57000,Virginia,Norfolk city,245428
2014,51,64000,Virginia,Portsmouth city,96004
2014,51,67000,Virginia,Richmond city,217853
2014,51,68000,Virginia,Roanoke city,99428
2014,51,76432,Virginia,Suffolk city,86806
2014,51,82000,Virginia,Virginia Beach city,450980
2014,53,03180,Washington,Auburn city,76347
2014,53,05210,Washington,Bellevue city,136426
2014,53,05280,Washington,Bellingham city,83365
2014,53,22640,Washington,Everett city,106736
2014,53,23515,Washington,Federal Way city,93425
2014,53,35275,Washington,Kennewick city,77421
2014,53,35415,Washington,Kent city,125560
2014,53,35940,Washington,Kirkland city,85763
2014,53,53545,Washington,Pasco city,68648
2014,53,57745,Washington,Renton city,98404
2014,53,63000,Washington,Seattle city,668342
2014,53,67000,Washington,Spokane city,212052
2014,53,67167,Washington,Spokane Valley city,91729
2014,53,70000,Washington,Tacoma city,205159
2014,53,74060,Washington,Vancouver city,169294
2014,53,80010,Washington,Yakima city,93357
2014,55,02375,Wisconsin,Appleton city,73971
2014,55,31000,Wisconsin,Green Bay city,104891
2014,55,39225,Wisconsin,Kenosha city,99894
2014,55,48000,Wisconsin,Madison city,245691
2014,55,53000,Wisconsin,Milwaukee city,599642
2014,55,66000,Wisconsin,Racine city,78065
2015,01,03076,Alabama,Auburn city,62059
2015,01,07000,Alabama,Birmingham city,212461
2015,01,35896,Alabama,Hoover city,84848
2015,01,37000,Alabama,Huntsville city,190582
2015,01,50000,Alabama,Mobile city,194288
2015,01,51000,Alabama,Montgomery city,200602
2015,01,77256,Alabama,Tuscaloosa city,98332
2015,02,03000,Alaska,Anchorage municipality,298695
2015,04,04720,Arizona,Avondale city,80684
2015,04,07940,Arizona,Buckeye town,62138
2015,04,12000,Arizona,Chandler city,260828
2015,04,23620,Arizona,Flagstaff city,70320
2015,04,27400,Arizona,Gilbert town,247542
2015,04,27820,Arizona,Glendale city,240126
2015,04,28380,Arizona,Goodyear city,79003
2015,04,46000,Arizona,Mesa city,471825
2015,04,54050,Arizona,Peoria city,171237
2015,04,55000,Arizona,Phoenix city,1563025
2015,04,65000,Arizona,Scottsdale city,236839
2015,04,71510,Arizona,Surprise city,128422
2015,04,73000,Arizona,Tempe city,175826
2015,04,77000,Arizona,Tucson city,531641
2015,04,85540,Arizona,Yuma city,94139
2015,05,23290,Arkansas,Fayetteville city,82830
2015,05,24550,Arkansas,Fort Smith city,88194
2015,05,35710,Arkansas,Jonesboro city,73907
2015,05,41000,Arkansas,Little Rock city,197992
2015,05,66080,Arkansas,Springdale city,77859
2015,06,00562,California,Alameda city,78630
2015,06,00884,California,Alhambra city,85551
2015,06,02000,California,Anaheim city,350742
2015,06,02252,California,Antioch city,110542
2015,06,02364,California,Apple Valley town,72174
2015,06,03526,California,Bakersfield city,373640
2015,06,04982,California,Bellflower city,78441
2015,06,06000,California,Berkeley city,120972
2015,06,08786,California,Buena Park city,83270
2015,06,08954,California,Burbank city,105319
2015,06,11194,California,Carlsbad city,113453
2015,06,11530,California,Carson city,93281
2015,06,13014,California,Chico city,90316
2015,06,13210,California,Chino city,85595
2015,06,13214,California,Chino Hills city,78309
2015,06,13392,California,Chula Vista city,265757
2015,06,13588,California,Citrus Heights city,87056
2015,06,14218,California,Clovis city,104180
2015,06,15044,California,Compton city,98462
2015,06,16000,California,Concord city,128667
2015,06,16350,California,Corona city,164226
2015,06,16532,California,Costa Mesa city,113204
2015,06,17918,California,Daly City city,106562
2015,06,19766,California,Downey city,114219
2015,06,21712,California,El Cajon city,103679
2015,06,22020,California,Elk Grove city,166913
2015,06,22230,California,El Monte city,116732
2015,06,22804,California,Escondido city,151451
2015,06,23182,California,Fairfield city,112970
2015,06,24638,California,Folsom city,76375
2015,06,24680,California,Fontana city,207460
2015,06,26000,California,Fremont city,232206
2015,06,27000,California,Fresno city,520052
2015,06,28000,California,Fullerton city,140847
2015,06,29000,California,Garden Grove city,175393
2015,06,30000,California,Glendale city,201020
2015,06,32548,California,Hawthorne city,88451
2015,06,33000,California,Hayward city,158289
2015,06,33182,California,Hemet city,83861
2015,06,33434,California,Hesperia city,93295
2015,06,36000,California,Huntington Beach city,201899
2015,06,36448,California,Indio city,87533
2015,06,36546,California,Inglewood city,111666
2015,06,36770,California,Irvine city,256927
2015,06,37692,California,Jurupa Valley city,100314
2015,06,39496,California,Lake Forest city,82492
2015,06,39892,California,Lakewood city,81611
2015,06,40130,California,Lancaster city,161103
2015,06,41992,California,Livermore city,88126
2015,06,43000,California,Long Beach city,474140
2015,06,44000,California,Los Angeles city,3971883
2015,06,45484,California,Manteca city,75448
2015,06,46842,California,Menifee city,87174
2015,06,46898,California,Merced city,82436
2015,06,47766,California,Milpitas city,77604
2015,06,48256,California,Mission Viejo city,97156
2015,06,48354,California,Modesto city,211266
2015,06,49270,California,Moreno Valley city,204198
2015,06,49670,California,Mountain View city,80435
2015,06,50076,California,Murrieta city,109830
2015,06,50258,California,Napa city,80434
2015,06,51182,California,Newport Beach city,87127
2015,06,52526,California,Norwalk city,107140
2015,06,53000,California,Oakland city,419267
2015,06,53322,California,Oceanside city,175691
2015,06,53896,California,Ontario city,171214
2015,06,53980,California,Orange city,140992
2015,06,54652,California,Oxnard city,207254
2015,06,55156,California,Palmdale city,158351
2015,06,56000,California,Pasadena city,142250
2015,06,56700,California,Perris city,74971
2015,06,57456,California,Pittsburg city,69424
2015,06,57792,California,Pleasanton city,79510
2015,06,58072,California,Pomona city,153266
2015,06,59444,California,Rancho Cordova city,71017
2015,06,59451,California,Rancho Cucamonga city,175236
2015,06,59920,California,Redding city,91582
2015,06,60102,California,Redwood City city,85288
2015,06,60466,California,Rialto city,103132
2015,06,60620,California,Richmond city,109708
2015,06,62000,California,Riverside city,322424
2015,06,62938,California,Roseville city,130269
2015,06,64000,California,Sacramento city,490712
2015,06,64224,California,Salinas city,157380
2015,06,65000,California,San Bernardino city,216108
2015,06,65042,California,San Buenaventura (Ventura) city,109708
2015,06,66000,California,San Diego city,1394928
2015,06,67000,California,San Francisco city,864816
2015,06,68000,California,San Jose city,1026908
2015,06,68084,California,San Leandro city,90712
2015,06,68196,California,San Marcos city,92931
2015,06,68252,California,San Mateo city,103536
2015,06,68378,California,San Ramon city,76134
2015,06,69000,California,Santa Ana city,335400
2015,06,69070,California,Santa Barbara city,91842
2015,06,69084,California,Santa Clara city,126215
2015,06,69088,California,Santa Clarita city,182371
2015,06,69196,California,Santa Maria city,105093
2015,06,70000,California,Santa Monica city,93220
2015,06,70098,California,Santa Rosa city,174972
2015,06,72016,California,Simi Valley city,126788
2015,06,73080,California,South Gate city,96401
2015,06,75000,California,Stockton city,305658
2015,06,77000,California,Sunnyvale city,151754
2015,06,78120,California,Temecula city,112011
2015,06,78582,California,Thousand Oaks city,129339
2015,06,80000,California,Torrance city,148475
2015,06,80238,California,Tracy city,87075
2015,06,80854,California,Tustin city,80583
2015,06,81344,California,Upland city,76443
2015,06,81554,California,Vacaville city,96803
2015,06,81666,California,Vallejo city,121253
2015,06,82590,California,Victorville city,122225
2015,06,82954,California,Visalia city,130104
2015,06,82996,California,Vista city,100890
2015,06,84200,California,West Covina city,108484
2015,06,84550,California,Westminster city,92114
2015,06,85292,California,Whittier city,87438
2015,08,03455,Colorado,Arvada city,115368
2015,08,04000,Colorado,Aurora city,359407
2015,08,07850,Colorado,Boulder city,107349
2015,08,12815,Colorado,Centennial city,109741
2015,08,16000,Colorado,Colorado Springs city,456568
2015,08,20000,Colorado,Denver city,682545
2015,08,27425,Colorado,Fort Collins city,161175
