"School Year",State,"File Spec","Data Group","Reporting Level","Data Note","State Note"
2016-2017,"NEW MEXICO",118,655,"LEA,SEA","New Mexico: Partial Data: Primary nighttime residence was not collected for all students. ",
2015-2016,"NEW MEXICO",118,655,"LEA,SEA","New Mexico: Partial Data: Primary nighttime residence was not collected for all students.",
2014-2015,"NEW MEXICO",118,655,"LEA,SEA","Partial Data: Primary nighttime residence was not collected for all students.",
2013-2014,"NEW MEXICO",118,655,"LEA,SEA","Partial Data: The state indicated that primary nighttime residence was not collected for all students.",
2016-2017,"NORTH CAROLINA",118,655,"LEA,SEA","North Carolina: Hurricanes resulted in an increase in the number of homeless students.",
2014-2015,"NORTH CAROLINA",118,655,"LEA,SEA","North Carolina reported more students by primary nighttime residence than by age/grade.  ",
2014-2015,"NORTH CAROLINA",118,655,"LEA,SEA","Partial Data: Not all LEAs reported data.",
2015-2016,"NORTH DAKOTA",118,655,"LEA,SEA","North Dakota: Partial Data: Only 87% of LEAs reported data.  Twenty-nine non-grantee districts failed to report data.",
2011-2012,"NORTH DAKOTA",118,655,"LEA,SEA","The number of homeless enrolled students reported by primary nighttime residence is less than the number of homeless enrolled students by age/grade. The difference is greater than or equal to 10 percent.",
2011-2012,"NORTH DAKOTA",118,655,"LEA,SEA","The number of homeless enrolled students in SY2011-12 is greater than the number of students reported as homeless enrolled in SY2010-11 by 50 percentage points or more.",
2010-2011,"NORTH DAKOTA",118,655,"LEA,SEA",,"North Dakota has missing data for Homeless Children/Youth Enrolled primary nighttime residences due to the following: (1) Data from LEA’s using a local system not transferring to the ND online reporting system (2) Data disappearing after being entered (3) LEA’s not checking data We are currently working with our reporting system to incorporate more validation requirements to resolve these issues."
2016-2017,OHIO,118,655,"LEA,SEA","Ohio: Increases in the number of unaccompanied homeless youth attributed to enhancements made to the data collection system and increased awareness training related to identifying unaccompanied homeless youth.",
2016-2017,OKLAHOMA,118,655,"LEA,SEA","Oklahoma: The state provided the same number for the LEA and SEA counts.  ",
2010-2011,OKLAHOMA,118,655,"LEA,SEA","Oklahoma did not report FS118/DG655 in SY2010-11.",
2015-2016,OREGON,118,655,"LEA,SEA","Oregon: Partial Data: Not all LEAs, including subgrantees, reported data.",
2014-2015,OREGON,118,655,"LEA,SEA","Partial Data: Not all LEAs reported data.",
2013-2014,OREGON,118,655,"LEA,SEA","Partial Data: Oregon did not report data on all LEAs.",
2017-2018,PENNSYLVANIA,118,655,LEA,"Students residing in domestic violence shelters are excluded from all LEA level data counts.",
2016-2017,PENNSYLVANIA,118,655,"LEA,SEA","Pennsylvania: More students were reported at the SEA level than the LEA level as a result of domestic violence shelters reporting data directly to the SEA. ",
2015-2016,PENNSYLVANIA,118,655,"LEA,SEA","Pennsylvania: More students were reported at the SEA level than the LEA level as a result of domestic violence shelters reporting data directly to the SEA for the following categories: Grades 3 to 5 not KG, 1, 2, 9, 10, 12, and shelters. ",
2015-2016,PENNSYLVANIA,118,655,"LEA,SEA","Pennsylvania: Partial Data: Only 90% of subgrantee districts reported data. No non-grantee districts reported data.",
2014-2015,PENNSYLVANIA,118,655,"LEA,SEA","Pennsylvania reported fewer students enrolled in the LEAs than they did at the SEA level. Beyond a possible error during data submission, there is no explanation for this data anomaly. Not all LEAs, including subgrantees, reported data.",
2013-2014,PENNSYLVANIA,118,655,"LEA,SEA","Partial Data: Pennsylvania did not report data on all LEAs. The state indicated that primary nighttime residence was not collected for all students.",
2017-2018,"PUERTO RICO",118,655,"LEA,SEA","Data were not reported on homeless students identified as also as migratory students. The state does not operate a migrant program.",
2017-2018,"RHODE ISLAND",118,655,"LEA,SEA","Data were not reported on homeless students identified as also as migratory students. The state does not operate a migrant program.",
2016-2017,"SOUTH CAROLINA",118,655,"LEA,SEA","South Carolina: Historic floods, liaison turnover, and changes to the definition of homeless impacted student counts.",
2017-2018,TENNESSEE,118,655,"LEA,SEA","Primary nighttime residence data was not provided for all students.",
2016-2017,TENNESSEE,118,655,"LEA,SEA","Tennessee: Partial Data: Primary nighttime residence was not collected for all students. ",
2016-2017,TENNESSEE,118,655,"LEA,SEA","Tennessee: Increased outreach and identification activities lead to an increase in the number of students identified as homeless. ",
2015-2016,TENNESSEE,118,655,"LEA,SEA","Tennessee: Increases in counts of homeless students from the prior year are due in part to increased outreach and technical assistance.  ",
2015-2016,TENNESSEE,118,655,"LEA,SEA","Tennessee: Partial Data: Primary nighttime residence was not collected for all students.",
2015-2016,TEXAS,118,655,"LEA,SEA","Texas: Increases in counts of homeless students from the prior year are due in part to increased outreach and technical assistance.",
2016-2017,UTAH,118,655,"LEA,SEA","Utah: The state provided the same number for the LEA and SEA counts.",
2017-2018,VERMONT,118,655,"LEA,SEA","No data was provided by the final due date for the FS118 data file.",
2016-2017,VERMONT,118,655,"LEA,SEA","Vermont: The state provided the same number for the LEA and SEA counts; the SEA count includes duplicate counts of students.",
2016-2017,VIRGINIA,118,655,"LEA,SEA","Virginia: Increases in the cost of housing in Fairfax and Loudoun Counties, as well as the impact of Hurricane Matthew caused an increase in the number of homeless students.",
2017-2018,WASHINGTON,118,655,"LEA,SEA","Not all (73) LEAs reported data.",
2016-2017,WASHINGTON,118,655,"LEA,SEA","Washington: The state provided the same number for the LEA and SEA counts.",
2017-2018,"WEST VIRGINIA",118,655,"LEA,SEA","Data were not reported on homeless students identified as also as migratory students. The state does not operate a migrant program.",
2016-2017,"WEST VIRGINIA",118,655,"LEA,SEA","West Virginia: The state provided the same number for the LEA and SEA counts.",
2016-2017,WISCONSIN,118,655,"LEA,SEA","Wisconsin: The state provided the same number for the LEA and SEA counts; the SEA count includes duplicate counts of students.",
2015-2016,WISCONSIN,118,655,"LEA,SEA","Wisconsin: Partial: Not all districts reported data. ",
2014-2015,WISCONSIN,118,655,"LEA,SEA","North Carolina reported more students by primary nighttime residence than by age/grade.  ",
2014-2015,WISCONSIN,118,655,"LEA,SEA","Partial Data: Not all LEAs reported data.",
2013-2014,WISCONSIN,118,655,"LEA,SEA","Partial Data: Wisconsin did not report data on all LEAs.",
2014-2015,WYOMING,118,655,"LEA,SEA","Partial Data: Did not report on the number of unaccompanied homeless youth. ",
