state,county,state_name,county_name,share_digital_access,share_digital_access_quality
01,113,Alabama,Russell County,NA,NA
01,115,Alabama,St. Clair County,0.9043815737668035,1
01,117,Alabama,Shelby County,0.9317987579055325,1
01,119,Alabama,Sumter County,NA,NA
01,121,Alabama,Talladega County,0.8571758124513394,1
01,123,Alabama,Tallapoosa County,NA,NA
01,125,Alabama,Tuscaloosa County,0.8813022733651418,1
01,127,Alabama,Walker County,NA,NA
01,129,Alabama,Washington County,NA,NA
01,131,Alabama,Wilcox County,NA,NA
01,133,Alabama,Winston County,NA,NA
02,013,Alaska,Aleutians East Borough,NA,NA
02,016,Alaska,Aleutians West Census Area,NA,NA
02,020,Alaska,Anchorage Municipality,0.9556055199533935,1
02,050,Alaska,Bethel Census Area,NA,NA
02,060,Alaska,Bristol Bay Borough,NA,NA
02,063,Alaska,Chugach Census Area,NA,NA
02,066,Alaska,Copper River Census Area,NA,NA
02,068,Alaska,Denali Borough,NA,NA
02,070,Alaska,Dillingham Census Area,NA,NA
02,090,Alaska,Fairbanks North Star Borough,0.9215387086411821,1
02,100,Alaska,Haines Borough,NA,NA
02,105,Alaska,Hoonah-Angoon Census Area,NA,NA
02,110,Alaska,Juneau City and Borough,NA,NA
02,122,Alaska,Kenai Peninsula Borough,NA,NA
02,130,Alaska,Ketchikan Gateway Borough,NA,NA
02,150,Alaska,Kodiak Island Borough,NA,NA
02,158,Alaska,Kusilvak Census Area,NA,NA
02,164,Alaska,Lake and Peninsula Borough,NA,NA
02,170,Alaska,Matanuska-Susitna Borough,0.9174803465024285,1
02,180,Alaska,Nome Census Area,NA,NA
02,185,Alaska,North Slope Borough,NA,NA
02,188,Alaska,Northwest Arctic Borough,NA,NA
02,195,Alaska,Petersburg Borough,NA,NA
02,198,Alaska,Prince of Wales-Hyder Census Area,NA,NA
02,220,Alaska,Sitka City and Borough,NA,NA
02,230,Alaska,Skagway Municipality,NA,NA
02,240,Alaska,Southeast Fairbanks Census Area,NA,NA
02,275,Alaska,Wrangell City and Borough,NA,NA
02,282,Alaska,Yakutat City and Borough,NA,NA
02,290,Alaska,Yukon-Koyukuk Census Area,NA,NA
04,001,Arizona,Apache County,0.5447075882068633,1
04,003,Arizona,Cochise County,0.8654488705708169,1
04,005,Arizona,Coconino County,0.8284989256871897,1
04,007,Arizona,Gila County,NA,NA
04,009,Arizona,Graham County,NA,NA
04,011,Arizona,Greenlee County,NA,NA
04,012,Arizona,La Paz County,NA,NA
04,013,Arizona,Maricopa County,0.9218472170577926,1
04,015,Arizona,Mohave County,0.8752411769434842,1
04,017,Arizona,Navajo County,0.7539780272848002,1
04,019,Arizona,Pima County,0.9067677200442643,1
04,021,Arizona,Pinal County,0.9162897717934515,1
04,023,Arizona,Santa Cruz County,NA,NA
04,025,Arizona,Yavapai County,0.9092384249242752,1
04,027,Arizona,Yuma County,0.8668760898870846,1
05,001,Arkansas,Arkansas County,NA,NA
05,003,Arkansas,Ashley County,NA,NA
05,005,Arkansas,Baxter County,NA,NA
05,007,Arkansas,Benton County,0.9327234593243786,1
05,009,Arkansas,Boone County,NA,NA
05,011,Arkansas,Bradley County,NA,NA
05,013,Arkansas,Calhoun County,NA,NA
05,015,Arkansas,Carroll County,NA,NA
05,017,Arkansas,Chicot County,NA,NA
05,019,Arkansas,Clark County,NA,NA
05,021,Arkansas,Clay County,NA,NA
05,023,Arkansas,Cleburne County,NA,NA
05,025,Arkansas,Cleveland County,NA,NA
05,027,Arkansas,Columbia County,NA,NA
05,029,Arkansas,Conway County,NA,NA
05,031,Arkansas,Craighead County,0.9155812073302192,1
05,033,Arkansas,Crawford County,NA,NA
05,035,Arkansas,Crittenden County,NA,NA
05,037,Arkansas,Cross County,NA,NA
05,039,Arkansas,Dallas County,NA,NA
05,041,Arkansas,Desha County,NA,NA
05,043,Arkansas,Drew County,NA,NA
05,045,Arkansas,Faulkner County,0.9367972396996144,1
05,047,Arkansas,Franklin County,NA,NA
05,049,Arkansas,Fulton County,NA,NA
05,051,Arkansas,Garland County,0.8336568151742391,1
05,053,Arkansas,Grant County,NA,NA
05,055,Arkansas,Greene County,NA,NA
05,057,Arkansas,Hempstead County,NA,NA
05,059,Arkansas,Hot Spring County,NA,NA
05,061,Arkansas,Howard County,NA,NA
05,063,Arkansas,Independence County,NA,NA
05,065,Arkansas,Izard County,NA,NA
05,067,Arkansas,Jackson County,NA,NA
05,069,Arkansas,Jefferson County,0.8638904875441914,1
05,071,Arkansas,Johnson County,NA,NA
05,073,Arkansas,Lafayette County,NA,NA
05,075,Arkansas,Lawrence County,NA,NA
05,077,Arkansas,Lee County,NA,NA
05,079,Arkansas,Lincoln County,NA,NA
05,081,Arkansas,Little River County,NA,NA
05,083,Arkansas,Logan County,NA,NA
05,085,Arkansas,Lonoke County,0.8708079807556247,1
05,087,Arkansas,Madison County,NA,NA
05,089,Arkansas,Marion County,NA,NA
05,091,Arkansas,Miller County,NA,NA
05,093,Arkansas,Mississippi County,NA,NA
05,095,Arkansas,Monroe County,NA,NA
05,097,Arkansas,Montgomery County,NA,NA
05,099,Arkansas,Nevada County,NA,NA
05,101,Arkansas,Newton County,NA,NA
05,103,Arkansas,Ouachita County,NA,NA
05,105,Arkansas,Perry County,NA,NA
05,107,Arkansas,Phillips County,NA,NA
05,109,Arkansas,Pike County,NA,NA
05,111,Arkansas,Poinsett County,NA,NA
05,113,Arkansas,Polk County,NA,NA
05,115,Arkansas,Pope County,NA,NA
05,117,Arkansas,Prairie County,NA,NA
05,119,Arkansas,Pulaski County,0.8836440891495064,1
05,121,Arkansas,Randolph County,NA,NA
05,123,Arkansas,St. Francis County,NA,NA
05,125,Arkansas,Saline County,0.8857813961820968,1
05,127,Arkansas,Scott County,NA,NA
05,129,Arkansas,Searcy County,NA,NA
05,131,Arkansas,Sebastian County,0.8614002073812358,1
05,133,Arkansas,Sevier County,NA,NA
05,135,Arkansas,Sharp County,NA,NA
05,137,Arkansas,Stone County,NA,NA
05,139,Arkansas,Union County,NA,NA
05,141,Arkansas,Van Buren County,NA,NA
05,143,Arkansas,Washington County,0.9048365088189215,1
05,145,Arkansas,White County,0.803690655930213,1
05,147,Arkansas,Woodruff County,NA,NA
05,149,Arkansas,Yell County,NA,NA
06,001,California,Alameda County,0.9379950855997345,1
06,003,California,Alpine County,NA,NA
06,005,California,Amador County,NA,NA
06,007,California,Butte County,0.8907193250418213,1
06,009,California,Calaveras County,NA,NA
06,011,California,Colusa County,NA,NA
06,013,California,Contra Costa County,0.9511385039282841,1
06,015,California,Del Norte County,NA,NA
06,017,California,El Dorado County,0.933002581477896,1
06,019,California,Fresno County,0.8935136903979131,1
06,021,California,Glenn County,NA,NA
06,023,California,Humboldt County,0.898300607554812,1
06,025,California,Imperial County,0.8725160681643965,1
06,027,California,Inyo County,NA,NA
06,029,California,Kern County,0.9084935275651652,1
06,031,California,Kings County,0.8812949640287769,1
06,033,California,Lake County,0.8000960898809963,1
06,035,California,Lassen County,NA,NA
06,037,California,Los Angeles County,0.9184299326116907,1
06,039,California,Madera County,0.8828915874305541,1
06,041,California,Marin County,0.960032918623227,1
06,043,California,Mariposa County,NA,NA
06,045,California,Mendocino County,0.9075661466369507,1
06,047,California,Merced County,0.8883524991460776,1
06,049,California,Modoc County,NA,NA
06,051,California,Mono County,NA,NA
06,053,California,Monterey County,0.9230577519994563,1
06,055,California,Napa County,0.9337971582557569,1
06,057,California,Nevada County,0.9413863636363636,1
06,059,California,Orange County,0.9491663019189569,1
06,061,California,Placer County,0.9359562555008333,1
06,063,California,Plumas County,NA,NA
06,065,California,Riverside County,0.9217258520419767,1
06,067,California,Sacramento County,0.9313410528962329,1
06,069,California,San Benito County,0.9652595827268317,1
06,071,California,San Bernardino County,0.92972762911400475,1
06,073,California,San Diego County,0.942219981694777,1
06,075,California,San Francisco County,0.9305549415327483,1
06,077,California,San Joaquin County,0.9246888215524405,1
06,079,California,San Luis Obispo County,0.9395683582036111,1
06,081,California,San Mateo County,0.957103943965024,1
06,083,California,Santa Barbara County,0.9177996831310365,1
06,085,California,Santa Clara County,0.9500576562469059,1
06,087,California,Santa Cruz County,0.9336353694735198,1
06,089,California,Shasta County,0.8909468776768287,1
06,091,California,Sierra County,NA,NA
06,093,California,Siskiyou County,NA,NA
06,095,California,Solano County,0.9165442515097869,1
06,097,California,Sonoma County,0.950595280896568,1
06,099,California,Stanislaus County,0.9162963506699567,1
06,101,California,Sutter County,0.8693525435787975,1
06,103,California,Tehama County,0.8555939086294416,1
06,105,California,Trinity County,NA,NA
06,107,California,Tulare County,0.8915244290115909,1
06,109,California,Tuolumne County,NA,NA
06,111,California,Ventura County,0.9340705090244804,1
06,113,California,Yolo County,0.9177605628338269,1
06,115,California,Yuba County,0.9152565409446144,1
08,001,Colorado,Adams County,0.9136099702591701,1
08,003,Colorado,Alamosa County,NA,NA
08,005,Colorado,Arapahoe County,0.9348655445927646,1
08,007,Colorado,Archuleta County,NA,NA
08,009,Colorado,Baca County,NA,NA
08,011,Colorado,Bent County,NA,NA
08,013,Colorado,Boulder County,0.9522302701290407,1
08,014,Colorado,Broomfield County,0.9712264754832928,1
08,015,Colorado,Chaffee County,NA,NA
08,017,Colorado,Cheyenne County,NA,NA
08,019,Colorado,Clear Creek County,NA,NA
08,021,Colorado,Conejos County,NA,NA
08,023,Colorado,Costilla County,NA,NA
08,025,Colorado,Crowley County,NA,NA
08,027,Colorado,Custer County,NA,NA
08,029,Colorado,Delta County,NA,NA
08,031,Colorado,Denver County,0.9136746063497561,1
08,033,Colorado,Dolores County,NA,NA
08,035,Colorado,Douglas County,0.9732762312633833,1
08,037,Colorado,Eagle County,NA,NA
08,039,Colorado,Elbert County,NA,NA
08,041,Colorado,El Paso County,0.9432388166649606,1
08,043,Colorado,Fremont County,NA,NA
08,045,Colorado,Garfield County,NA,NA
08,047,Colorado,Gilpin County,NA,NA
08,049,Colorado,Grand County,NA,NA
08,051,Colorado,Gunnison County,NA,NA
08,053,Colorado,Hinsdale County,NA,NA
08,055,Colorado,Huerfano County,NA,NA
08,057,Colorado,Jackson County,NA,NA
08,059,Colorado,Jefferson County,0.9488362652793253,1
08,061,Colorado,Kiowa County,NA,NA
08,063,Colorado,Kit Carson County,NA,NA
08,065,Colorado,Lake County,NA,NA
08,067,Colorado,La Plata County,NA,NA
08,069,Colorado,Larimer County,0.9324053863243323,1
08,071,Colorado,Las Animas County,NA,NA
08,073,Colorado,Lincoln County,NA,NA
08,075,Colorado,Logan County,NA,NA
08,077,Colorado,Mesa County,0.9155956089152327,1
08,079,Colorado,Mineral County,NA,NA
08,081,Colorado,Moffat County,NA,NA
08,083,Colorado,Montezuma County,NA,NA
08,085,Colorado,Montrose County,NA,NA
08,087,Colorado,Morgan County,NA,NA
08,089,Colorado,Otero County,NA,NA
08,091,Colorado,Ouray County,NA,NA
08,093,Colorado,Park County,NA,NA
08,095,Colorado,Phillips County,NA,NA
08,097,Colorado,Pitkin County,NA,NA
08,099,Colorado,Prowers County,NA,NA
08,101,Colorado,Pueblo County,0.8653154481132076,1
08,103,Colorado,Rio Blanco County,NA,NA
08,105,Colorado,Rio Grande County,NA,NA
08,107,Colorado,Routt County,NA,NA
08,109,Colorado,Saguache County,NA,NA
08,111,Colorado,San Juan County,NA,NA
08,113,Colorado,San Miguel County,NA,NA
08,115,Colorado,Sedgwick County,NA,NA
08,117,Colorado,Summit County,NA,NA
08,119,Colorado,Teller County,NA,NA
08,121,Colorado,Washington County,NA,NA
08,123,Colorado,Weld County,0.9245225116091258,1
08,125,Colorado,Yuma County,NA,NA
09,110,Connecticut,Capitol Planning Region,0.9061568928297443,1
09,120,Connecticut,Greater Bridgeport Planning Region,0.8936227721935974,1
09,130,Connecticut,Lower Connecticut River Valley Planning Regio,0.9302949781249161,1
09,140,Connecticut,Naugatuck Valley Planning Region,0.8970050848679432,1
09,150,Connecticut,Northeastern Connecticut Planning Region,0.8851629633396044,1
09,160,Connecticut,Northwest Hills Planning Region,0.8988257868062652,1
09,170,Connecticut,South Central Connecticut Planning Region,0.9167801114295779,1
09,180,Connecticut,Southeastern Connecticut Planning Region,0.9001531049157923,1
09,190,Connecticut,Western Connecticut Planning Region,0.9345608053531498,1
10,001,Delaware,Kent County,0.9074247928486877,1
10,003,Delaware,New Castle County,0.9198085620275995,1
10,005,Delaware,Sussex County,0.9236704562795666,1
11,001,District of Columbia,District of Columbia,0.9162002630210723,1
12,001,Florida,Alachua County,0.8867965014977641,1
12,003,Florida,Baker County,NA,NA
12,005,Florida,Bay County,0.9426015889884115,1
12,007,Florida,Bradford County,NA,NA
12,009,Florida,Brevard County,0.9340067182068097,1
12,011,Florida,Broward County,0.915986795629704,1
12,013,Florida,Calhoun County,NA,NA
12,015,Florida,Charlotte County,0.9111953745978753,1
12,017,Florida,Citrus County,0.9116137244205726,1
12,019,Florida,Clay County,0.9417498504451456,1
12,021,Florida,Collier County,0.9392139874613431,1
12,023,Florida,Columbia County,0.8626399170332225,1
12,027,Florida,DeSoto County,NA,NA
12,029,Florida,Dixie County,NA,NA
12,031,Florida,Duval County,0.907414349982697,1
12,033,Florida,Escambia County,0.9313819290797106,1
12,035,Florida,Flagler County,0.9342947538812449,1
12,037,Florida,Franklin County,NA,NA
12,039,Florida,Gadsden County,NA,NA
12,041,Florida,Gilchrist County,NA,NA
12,043,Florida,Glades County,NA,NA
12,045,Florida,Gulf County,NA,NA
12,047,Florida,Hamilton County,NA,NA
12,049,Florida,Hardee County,NA,NA
12,051,Florida,Hendry County,NA,NA
12,053,Florida,Hernando County,0.8996771016444128,1
12,055,Florida,Highlands County,0.844086697690018,1
12,057,Florida,Hillsborough County,0.9366721342978326,1
12,059,Florida,Holmes County,NA,NA
12,061,Florida,Indian River County,0.8952201554038145,1
12,063,Florida,Jackson County,NA,NA
12,065,Florida,Jefferson County,NA,NA
12,067,Florida,Lafayette County,NA,NA
12,069,Florida,Lake County,0.8997940114040063,1
12,071,Florida,Lee County,0.916983278755206,1
12,073,Florida,Leon County,0.9110380968224921,1
12,075,Florida,Levy County,NA,NA
12,077,Florida,Liberty County,NA,NA
12,079,Florida,Madison County,NA,NA
12,081,Florida,Manatee County,0.9090410245966556,1
12,083,Florida,Marion County,0.9087962425005963,1
12,085,Florida,Martin County,0.9273227557536152,1
12,086,Florida,Miami-Dade County,0.8741363830935965,1
12,087,Florida,Monroe County,0.8901223776223777,1
12,089,Florida,Nassau County,0.9532251432993929,1
12,091,Florida,Okaloosa County,0.9434068717759764,1
12,093,Florida,Okeechobee County,NA,NA
12,095,Florida,Orange County,0.9292523962129666,1
12,097,Florida,Osceola County,0.9241053173106095,1
12,099,Florida,Palm Beach County,0.9025027450683427,1
12,101,Florida,Pasco County,0.9112569304566315,1
12,103,Florida,Pinellas County,0.8895321630551081,1
12,105,Florida,Polk County,0.8970355555251135,1
12,107,Florida,Putnam County,0.8765400328111429,1
12,109,Florida,St. Johns County,0.9482659080450153,1
12,111,Florida,St. Lucie County,0.9034087099057483,1
12,113,Florida,Santa Rosa County,0.9293221836970562,1
12,115,Florida,Sarasota County,0.9380406740267286,1
12,117,Florida,Seminole County,0.9492986141163805,1
12,119,Florida,Sumter County,0.9177757852559613,1
12,121,Florida,Suwannee County,NA,NA
12,123,Florida,Taylor County,NA,NA
12,125,Florida,Union County,NA,NA
12,127,Florida,Volusia County,0.901608708774512,1
12,129,Florida,Wakulla County,NA,NA
12,131,Florida,Walton County,0.9314677327241576,1
12,133,Florida,Washington County,NA,NA
13,001,Georgia,Appling County,NA,NA
13,003,Georgia,Atkinson County,NA,NA
13,005,Georgia,Bacon County,NA,NA
13,007,Georgia,Baker County,NA,NA
13,009,Georgia,Baldwin County,NA,NA
13,011,Georgia,Banks County,NA,NA
13,013,Georgia,Barrow County,0.9363166397415186,1
13,015,Georgia,Bartow County,0.9012555391432792,1
13,017,Georgia,Ben Hill County,NA,NA
13,019,Georgia,Berrien County,NA,NA
13,021,Georgia,Bibb County,0.8449106524226164,1
13,023,Georgia,Bleckley County,NA,NA
13,025,Georgia,Brantley County,NA,NA
13,027,Georgia,Brooks County,NA,NA
13,029,Georgia,Bryan County,NA,NA
13,031,Georgia,Bulloch County,0.8526600427619168,1
13,033,Georgia,Burke County,NA,NA
13,035,Georgia,Butts County,NA,NA
13,037,Georgia,Calhoun County,NA,NA
13,039,Georgia,Camden County,NA,NA
13,043,Georgia,Candler County,NA,NA
13,045,Georgia,Carroll County,0.8885618072745924,1
13,047,Georgia,Catoosa County,0.8784846582727172,1
13,049,Georgia,Charlton County,NA,NA
13,051,Georgia,Chatham County,0.9274646786310861,1
13,053,Georgia,Chattahoochee County,NA,NA
13,055,Georgia,Chattooga County,NA,NA
13,057,Georgia,Cherokee County,0.9453404152583293,1
13,059,Georgia,Clarke County,0.9415557715311005,1
13,061,Georgia,Clay County,NA,NA
13,063,Georgia,Clayton County,0.8851340118588027,1
13,065,Georgia,Clinch County,NA,NA
13,067,Georgia,Cobb County,0.957554176348499,1
13,069,Georgia,Coffee County,NA,NA
13,071,Georgia,Colquitt County,NA,NA
13,073,Georgia,Columbia County,0.8977884580638167,1
13,075,Georgia,Cook County,NA,NA
13,077,Georgia,Coweta County,0.9065751919020014,1
13,079,Georgia,Crawford County,NA,NA
13,081,Georgia,Crisp County,NA,NA
13,083,Georgia,Dade County,NA,NA
13,085,Georgia,Dawson County,NA,NA
13,087,Georgia,Decatur County,NA,NA
13,089,Georgia,DeKalb County,0.9381157074404793,1
13,091,Georgia,Dodge County,NA,NA
13,093,Georgia,Dooly County,NA,NA
13,095,Georgia,Dougherty County,0.8366559485530547,1
13,097,Georgia,Douglas County,0.9691951228776541,1
13,099,Georgia,Early County,NA,NA
13,101,Georgia,Echols County,NA,NA
13,103,Georgia,Effingham County,0.9410731462506796,1
13,105,Georgia,Elbert County,NA,NA
13,107,Georgia,Emanuel County,NA,NA
13,109,Georgia,Evans County,NA,NA
13,111,Georgia,Fannin County,NA,NA
13,113,Georgia,Fayette County,0.9545239329921313,1
13,115,Georgia,Floyd County,0.8726599627169376,1
13,117,Georgia,Forsyth County,0.9704412989175687,1
13,119,Georgia,Franklin County,NA,NA
13,121,Georgia,Fulton County,0.9235725475745645,1
13,123,Georgia,Gilmer County,NA,NA
13,125,Georgia,Glascock County,NA,NA
13,127,Georgia,Glynn County,0.9036157910753313,1
13,129,Georgia,Gordon County,NA,NA
13,131,Georgia,Grady County,NA,NA
13,133,Georgia,Greene County,NA,NA
13,135,Georgia,Gwinnett County,0.9408811108834655,1
13,137,Georgia,Habersham County,NA,NA
13,139,Georgia,Hall County,0.9260604592969286,1
13,141,Georgia,Hancock County,NA,NA
13,143,Georgia,Haralson County,NA,NA
13,145,Georgia,Harris County,NA,NA
13,147,Georgia,Hart County,NA,NA
13,149,Georgia,Heard County,NA,NA
13,151,Georgia,Henry County,0.9454275919577504,1
13,153,Georgia,Houston County,0.907953330247554,1
13,155,Georgia,Irwin County,NA,NA
13,157,Georgia,Jackson County,0.9431160063954521,1
13,159,Georgia,Jasper County,NA,NA
13,161,Georgia,Jeff Davis County,NA,NA
13,163,Georgia,Jefferson County,NA,NA
13,165,Georgia,Jenkins County,NA,NA
13,167,Georgia,Johnson County,NA,NA
13,169,Georgia,Jones County,NA,NA
13,171,Georgia,Lamar County,NA,NA
13,173,Georgia,Lanier County,NA,NA
13,175,Georgia,Laurens County,NA,NA
13,177,Georgia,Lee County,NA,NA
13,179,Georgia,Liberty County,0.9507138991799525,1
13,181,Georgia,Lincoln County,NA,NA
13,183,Georgia,Long County,NA,NA
13,185,Georgia,Lowndes County,0.8500845510124442,1
13,187,Georgia,Lumpkin County,NA,NA
13,189,Georgia,McDuffie County,NA,NA
13,191,Georgia,McIntosh County,NA,NA
13,193,Georgia,Macon County,NA,NA
13,195,Georgia,Madison County,NA,NA
13,197,Georgia,Marion County,NA,NA
13,199,Georgia,Meriwether County,NA,NA
13,201,Georgia,Miller County,NA,NA
13,205,Georgia,Mitchell County,NA,NA
13,207,Georgia,Monroe County,NA,NA
13,209,Georgia,Montgomery County,NA,NA
13,211,Georgia,Morgan County,NA,NA
13,213,Georgia,Murray County,NA,NA
13,215,Georgia,Muscogee County,0.9036359580637966,1
13,217,Georgia,Newton County,0.9434797329979685,1
13,219,Georgia,Oconee County,NA,NA
13,221,Georgia,Oglethorpe County,NA,NA
13,223,Georgia,Paulding County,0.94491240168793,1
13,225,Georgia,Peach County,NA,NA
13,227,Georgia,Pickens County,NA,NA
13,229,Georgia,Pierce County,NA,NA
13,231,Georgia,Pike County,NA,NA
13,233,Georgia,Polk County,NA,NA
13,235,Georgia,Pulaski County,NA,NA
13,237,Georgia,Putnam County,NA,NA
13,239,Georgia,Quitman County,NA,NA
13,241,Georgia,Rabun County,NA,NA
13,243,Georgia,Randolph County,NA,NA
13,245,Georgia,Richmond County,0.8517693281299441,1
13,247,Georgia,Rockdale County,0.9384583258755445,1
13,249,Georgia,Schley County,NA,NA
13,251,Georgia,Screven County,NA,NA
13,253,Georgia,Seminole County,NA,NA
13,255,Georgia,Spalding County,0.8700606506156956,1
13,257,Georgia,Stephens County,NA,NA
13,259,Georgia,Stewart County,NA,NA
13,261,Georgia,Sumter County,NA,NA
13,263,Georgia,Talbot County,NA,NA
13,265,Georgia,Taliaferro County,NA,NA
13,267,Georgia,Tattnall County,NA,NA
13,269,Georgia,Taylor County,NA,NA
13,271,Georgia,Telfair County,NA,NA
13,273,Georgia,Terrell County,NA,NA
13,275,Georgia,Thomas County,NA,NA
13,277,Georgia,Tift County,NA,NA
13,279,Georgia,Toombs County,NA,NA
13,281,Georgia,Towns County,NA,NA
13,283,Georgia,Treutlen County,NA,NA
13,285,Georgia,Troup County,0.8848344541211921,1
13,287,Georgia,Turner County,NA,NA
13,289,Georgia,Twiggs County,NA,NA
13,291,Georgia,Union County,NA,NA
13,293,Georgia,Upson County,NA,NA
13,295,Georgia,Walker County,0.8777716492002207,1
13,297,Georgia,Walton County,0.9299547561244759,1
13,299,Georgia,Ware County,NA,NA
13,301,Georgia,Warren County,NA,NA
13,303,Georgia,Washington County,NA,NA
13,305,Georgia,Wayne County,NA,NA
13,307,Georgia,Webster County,NA,NA
13,309,Georgia,Wheeler County,NA,NA
13,311,Georgia,White County,NA,NA
13,313,Georgia,Whitfield County,0.8804309383246729,1
13,315,Georgia,Wilcox County,NA,NA
13,317,Georgia,Wilkes County,NA,NA
13,319,Georgia,Wilkinson County,NA,NA
13,321,Georgia,Worth County,NA,NA
15,001,Hawaii,Hawaii County,0.9014766465143652,1
15,003,Hawaii,Honolulu County,0.9073715126551983,1
15,005,Hawaii,Kalawao County,NA,NA
15,007,Hawaii,Kauai County,0.9571729174402772,1
15,009,Hawaii,Maui County,0.8859035829483044,1
16,001,Idaho,Ada County,0.9421126354794807,1
16,003,Idaho,Adams County,NA,NA
16,005,Idaho,Bannock County,0.8881139203719849,1
16,007,Idaho,Bear Lake County,NA,NA
16,009,Idaho,Benewah County,NA,NA
16,011,Idaho,Bingham County,NA,NA
16,013,Idaho,Blaine County,NA,NA
16,015,Idaho,Boise County,NA,NA
16,017,Idaho,Bonner County,NA,NA
16,019,Idaho,Bonneville County,0.9114084669512055,1
16,021,Idaho,Boundary County,NA,NA
16,023,Idaho,Butte County,NA,NA
16,025,Idaho,Camas County,NA,NA
16,027,Idaho,Canyon County,0.9332916043629956,1
16,029,Idaho,Caribou County,NA,NA
16,031,Idaho,Cassia County,NA,NA
16,033,Idaho,Clark County,NA,NA
16,035,Idaho,Clearwater County,NA,NA
16,037,Idaho,Custer County,NA,NA
16,039,Idaho,Elmore County,NA,NA
16,041,Idaho,Franklin County,NA,NA
16,043,Idaho,Fremont County,NA,NA
16,045,Idaho,Gem County,NA,NA
16,047,Idaho,Gooding County,NA,NA
16,049,Idaho,Idaho County,NA,NA
16,051,Idaho,Jefferson County,NA,NA
16,053,Idaho,Jerome County,NA,NA
16,055,Idaho,Kootenai County,0.9245116324727594,1
16,057,Idaho,Latah County,NA,NA
16,059,Idaho,Lemhi County,NA,NA
16,061,Idaho,Lewis County,NA,NA
16,063,Idaho,Lincoln County,NA,NA
16,065,Idaho,Madison County,NA,NA
16,067,Idaho,Minidoka County,NA,NA
16,069,Idaho,Nez Perce County,NA,NA
16,071,Idaho,Oneida County,NA,NA
16,073,Idaho,Owyhee County,NA,NA
16,075,Idaho,Payette County,NA,NA
16,077,Idaho,Power County,NA,NA
16,079,Idaho,Shoshone County,NA,NA
16,081,Idaho,Teton County,NA,NA
16,083,Idaho,Twin Falls County,0.9340825035561877,1
16,085,Idaho,Valley County,NA,NA
16,087,Idaho,Washington County,NA,NA
17,001,Illinois,Adams County,NA,NA
17,003,Illinois,Alexander County,NA,NA
17,005,Illinois,Bond County,NA,NA
17,007,Illinois,Boone County,NA,NA
17,009,Illinois,Brown County,NA,NA
17,011,Illinois,Bureau County,NA,NA
17,013,Illinois,Calhoun County,NA,NA
17,015,Illinois,Carroll County,NA,NA
17,017,Illinois,Cass County,NA,NA
17,019,Illinois,Champaign County,0.8911973368904419,1
17,021,Illinois,Christian County,NA,NA
17,023,Illinois,Clark County,NA,NA
17,025,Illinois,Clay County,NA,NA
17,027,Illinois,Clinton County,NA,NA
