state,place,city_name,subgroup,achievement_change,achievement_change_lb,achievement_change_ub,achievement_change_quality,year,state_name,_merge,subgroup_type,missing_outcome
01,37000,Huntsville,"Black, Non-Hispanic",.11988156,-.1728349,.41259801,1,2022,Alabama,Matched (3),race-ethnicity,0
01,37000,Huntsville,All,-.042729646,-.29434422,.20888492,1,2022,Alabama,Matched (3),,0
01,37000,Huntsville,Hispanic,.32886946,-.094064884,.75180382,2,2022,Alabama,Matched (3),race-ethnicity,0
01,50000,Mobile,"White, Non-Hispanic",-.18810846,-.43141189,.055194978,1,2022,Alabama,Matched (3),race-ethnicity,0
01,50000,Mobile,Not Economically Disadvantaged,,,,,2022,Alabama,Matched (3),income,1
01,50000,Mobile,Hispanic,.068919659,-.33620632,.47404563,3,2022,Alabama,Matched (3),race-ethnicity,0
01,50000,Mobile,All,-.058365647,-.29710066,.18036935,1,2022,Alabama,Matched (3),,0
01,50000,Mobile,Economically Disadvantaged,-.046309132,-.28579891,.19318065,1,2022,Alabama,Matched (3),income,0
01,50000,Mobile,"Black, Non-Hispanic",.020419201,-.2407499,.28158829,1,2022,Alabama,Matched (3),race-ethnicity,0
01,51000,Montgomery,"White, Non-Hispanic",-.89510328,-1.3172259,-.47298062,1,2022,Alabama,Matched (3),race-ethnicity,0
01,51000,Montgomery,All,-.088672571,-.3447358,.16739066,1,2022,Alabama,Matched (3),,0
01,51000,Montgomery,Hispanic,.56352043,.15767895,.9693619,1,2022,Alabama,Matched (3),race-ethnicity,0
01,51000,Montgomery,Economically Disadvantaged,.050535135,-.20141497,.30248523,1,2022,Alabama,Matched (3),income,0
01,51000,Montgomery,Not Economically Disadvantaged,,,,,2022,Alabama,Matched (3),income,1
01,51000,Montgomery,"Black, Non-Hispanic",-.10964928,-.38129646,.16199788,1,2022,Alabama,Matched (3),race-ethnicity,0
01,77256,Tuscaloosa,Hispanic,.79717273,.36322689,1.2311186,3,2022,Alabama,Matched (3),race-ethnicity,0
01,77256,Tuscaloosa,All,.0028738778,-.25484043,.2605882,1,2022,Alabama,Matched (3),,0
01,77256,Tuscaloosa,Not Economically Disadvantaged,,,,,2022,Alabama,Matched (3),income,1
01,77256,Tuscaloosa,"Black, Non-Hispanic",.09859886,-.19395623,.39115393,1,2022,Alabama,Matched (3),race-ethnicity,0
01,77256,Tuscaloosa,"White, Non-Hispanic",-.18133344,-.46040422,.097737312,1,2022,Alabama,Matched (3),race-ethnicity,0
01,77256,Tuscaloosa,Economically Disadvantaged,.031417895,-.24310996,.30594575,1,2022,Alabama,Matched (3),income,0
02,03000,Anchorage,"Black, Non-Hispanic",,,,,2022,Alaska,Using only (2),race-ethnicity,1
02,03000,Anchorage,"White, Non-Hispanic",,,,,2022,Alaska,Using only (2),race-ethnicity,1
02,03000,Anchorage,Not Economically Disadvantaged,,,,,2022,Alaska,Using only (2),income,1
02,03000,Anchorage,All,,,,,2022,Alaska,Using only (2),,1
02,03000,Anchorage,Hispanic,,,,,2022,Alaska,Using only (2),race-ethnicity,1
02,03000,Anchorage,Economically Disadvantaged,,,,,2022,Alaska,Using only (2),income,1
04,04720,Avondale,Not Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,04720,Avondale,"White, Non-Hispanic",.031830858,-.38271746,.44637918,1,2022,Arizona,Matched (3),race-ethnicity,0
04,04720,Avondale,"Black, Non-Hispanic",,,,,2022,Arizona,Matched (3),race-ethnicity,1
04,04720,Avondale,All,.15236647,-.19970548,.5044384,1,2022,Arizona,Matched (3),,0
04,04720,Avondale,Hispanic,.12679765,-.18823658,.44183189,1,2022,Arizona,Matched (3),race-ethnicity,0
04,04720,Avondale,Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,07940,Buckeye,"Black, Non-Hispanic",,,,,2022,Arizona,Matched (3),race-ethnicity,1
04,07940,Buckeye,"White, Non-Hispanic",.44961578,.055253871,.84397763,1,2022,Arizona,Matched (3),race-ethnicity,0
04,07940,Buckeye,All,.32061854,-.037741702,.6789788,1,2022,Arizona,Matched (3),,0
04,07940,Buckeye,Hispanic,.3019231,-.037433676,.64127988,1,2022,Arizona,Matched (3),race-ethnicity,0
04,07940,Buckeye,Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,07940,Buckeye,Not Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,12000,Chandler,"Black, Non-Hispanic",.15080233,-.013136468,.31474113,1,2022,Arizona,Matched (3),race-ethnicity,0
04,12000,Chandler,"White, Non-Hispanic",.24673957,-.060921762,.55440092,1,2022,Arizona,Matched (3),race-ethnicity,0
04,12000,Chandler,All,.33363095,.011032662,.65622926,1,2022,Arizona,Matched (3),,0
04,12000,Chandler,Not Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,12000,Chandler,Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,12000,Chandler,Hispanic,.45416173,.17158103,.73674244,1,2022,Arizona,Matched (3),race-ethnicity,0
04,23620,Flagstaff,Hispanic,-.21488489,-.59969395,.16992415,1,2022,Arizona,Matched (3),race-ethnicity,0
04,23620,Flagstaff,Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,23620,Flagstaff,"Black, Non-Hispanic",,,,,2022,Arizona,Matched (3),race-ethnicity,1
04,23620,Flagstaff,All,-.29458964,-.65398663,.064807363,1,2022,Arizona,Matched (3),,0
04,23620,Flagstaff,Not Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,23620,Flagstaff,"White, Non-Hispanic",-.076164991,-.43904611,.28671613,1,2022,Arizona,Matched (3),race-ethnicity,0
04,27400,Gilbert,All,.1426062,-.18506262,.47027501,1,2022,Arizona,Matched (3),,0
04,27400,Gilbert,Not Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,27400,Gilbert,Hispanic,.13936873,-.1627789,.44151634,1,2022,Arizona,Matched (3),race-ethnicity,0
04,27400,Gilbert,"Black, Non-Hispanic",.14290504,-.030513836,.31632394,1,2022,Arizona,Matched (3),race-ethnicity,0
04,27400,Gilbert,Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,27400,Gilbert,"White, Non-Hispanic",.16039915,-.15331432,.4741126,1,2022,Arizona,Matched (3),race-ethnicity,0
04,27820,Glendale,Not Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,27820,Glendale,Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,27820,Glendale,"Black, Non-Hispanic",.30193874,.13614926,.46772826,1,2022,Arizona,Matched (3),race-ethnicity,0
04,27820,Glendale,"White, Non-Hispanic",.079361871,-.2345964,.39332011,1,2022,Arizona,Matched (3),race-ethnicity,0
04,27820,Glendale,All,.044022307,-.28423458,.3722792,1,2022,Arizona,Matched (3),,0
04,27820,Glendale,Hispanic,.0093258535,-.27832291,.2969746,1,2022,Arizona,Matched (3),race-ethnicity,0
04,28380,Goodyear,Hispanic,,,,,2022,Arizona,Using only (2),race-ethnicity,1
04,28380,Goodyear,"Black, Non-Hispanic",,,,,2022,Arizona,Using only (2),race-ethnicity,1
04,28380,Goodyear,"White, Non-Hispanic",,,,,2022,Arizona,Using only (2),race-ethnicity,1
04,28380,Goodyear,Economically Disadvantaged,,,,,2022,Arizona,Using only (2),income,1
04,28380,Goodyear,Not Economically Disadvantaged,,,,,2022,Arizona,Using only (2),income,1
04,28380,Goodyear,All,,,,,2022,Arizona,Using only (2),,1
04,46000,Mesa,All,-.17240079,-.49322209,.1484205,1,2022,Arizona,Matched (3),,0
04,46000,Mesa,"Black, Non-Hispanic",.21086195,.045070577,.37665334,1,2022,Arizona,Matched (3),race-ethnicity,0
04,46000,Mesa,Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,46000,Mesa,Hispanic,-.11740561,-.39039537,.15558417,1,2022,Arizona,Matched (3),race-ethnicity,0
04,46000,Mesa,"White, Non-Hispanic",-.11381887,-.42175895,.19412121,1,2022,Arizona,Matched (3),race-ethnicity,0
04,46000,Mesa,Not Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,54050,Peoria,Hispanic,,,,,2022,Arizona,Using only (2),race-ethnicity,1
04,54050,Peoria,"White, Non-Hispanic",,,,,2022,Arizona,Using only (2),race-ethnicity,1
04,54050,Peoria,"Black, Non-Hispanic",,,,,2022,Arizona,Using only (2),race-ethnicity,1
04,54050,Peoria,Not Economically Disadvantaged,,,,,2022,Arizona,Using only (2),income,1
04,54050,Peoria,All,,,,,2022,Arizona,Using only (2),,1
04,54050,Peoria,Economically Disadvantaged,,,,,2022,Arizona,Using only (2),income,1
04,55000,Phoenix,"Black, Non-Hispanic",,,,,2022,Arizona,Matched (3),race-ethnicity,1
04,55000,Phoenix,Hispanic,.0013370591,-.31412289,.31679699,1,2022,Arizona,Matched (3),race-ethnicity,0
04,55000,Phoenix,All,.045366548,-.30212685,.39285997,1,2022,Arizona,Matched (3),,0
04,55000,Phoenix,Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,55000,Phoenix,"White, Non-Hispanic",.17418619,-.1410224,.48939475,1,2022,Arizona,Matched (3),race-ethnicity,0
04,55000,Phoenix,Not Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,65000,Scottsdale,"White, Non-Hispanic",.035091098,-.28770989,.35789207,1,2022,Arizona,Matched (3),race-ethnicity,0
04,65000,Scottsdale,"Black, Non-Hispanic",,,,,2022,Arizona,Matched (3),race-ethnicity,1
04,65000,Scottsdale,Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,65000,Scottsdale,Not Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,65000,Scottsdale,All,.072188705,-.26438355,.40876096,1,2022,Arizona,Matched (3),,0
04,65000,Scottsdale,Hispanic,.24208559,-.077318341,.56148952,1,2022,Arizona,Matched (3),race-ethnicity,0
04,71510,Surprise,"White, Non-Hispanic",.42623881,.10295282,.74952483,1,2022,Arizona,Matched (3),race-ethnicity,0
04,71510,Surprise,All,.50836873,.17992532,.83681214,1,2022,Arizona,Matched (3),,0
04,71510,Surprise,Not Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,71510,Surprise,"Black, Non-Hispanic",.27124354,.10212339,.44036368,1,2022,Arizona,Matched (3),race-ethnicity,0
04,71510,Surprise,Hispanic,.47039205,.17831014,.76247394,1,2022,Arizona,Matched (3),race-ethnicity,0
04,71510,Surprise,Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,73000,Tempe,Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,73000,Tempe,"White, Non-Hispanic",-.050179686,-.38360268,.2832433,1,2022,Arizona,Matched (3),race-ethnicity,0
04,73000,Tempe,Hispanic,-.12498096,-.42214698,.17218503,1,2022,Arizona,Matched (3),race-ethnicity,0
04,73000,Tempe,Not Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,73000,Tempe,All,-.10115246,-.43330854,.23100364,1,2022,Arizona,Matched (3),,0
04,73000,Tempe,"Black, Non-Hispanic",.18540385,.02052616,.35028154,1,2022,Arizona,Matched (3),race-ethnicity,0
04,77000,Tucson,Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,77000,Tucson,Hispanic,-.17549163,-.4672533,.11627005,1,2022,Arizona,Matched (3),race-ethnicity,0
04,77000,Tucson,Not Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,77000,Tucson,"White, Non-Hispanic",.14943933,-.20610146,.50498015,1,2022,Arizona,Matched (3),race-ethnicity,0
04,77000,Tucson,"Black, Non-Hispanic",.25434822,.086995758,.42170066,1,2022,Arizona,Matched (3),race-ethnicity,0
04,77000,Tucson,All,-.099094033,-.43807286,.23988481,1,2022,Arizona,Matched (3),,0
04,85540,Yuma,Not Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,85540,Yuma,Economically Disadvantaged,,,,,2022,Arizona,Matched (3),income,1
04,85540,Yuma,"Black, Non-Hispanic",,,,,2022,Arizona,Matched (3),race-ethnicity,1
04,85540,Yuma,All,.017787298,-.32777017,.36334479,1,2022,Arizona,Matched (3),,0
04,85540,Yuma,Hispanic,.11862342,-.1843884,.42163524,1,2022,Arizona,Matched (3),race-ethnicity,0
04,85540,Yuma,"White, Non-Hispanic",-.03714582,-.43151462,.35722297,1,2022,Arizona,Matched (3),race-ethnicity,0
05,23290,Fayetteville,"Black, Non-Hispanic",,,,,2022,Arkansas,Using only (2),race-ethnicity,1
05,23290,Fayetteville,"White, Non-Hispanic",,,,,2022,Arkansas,Using only (2),race-ethnicity,1
05,23290,Fayetteville,Hispanic,,,,,2022,Arkansas,Using only (2),race-ethnicity,1
05,23290,Fayetteville,Not Economically Disadvantaged,,,,,2022,Arkansas,Using only (2),income,1
05,23290,Fayetteville,Economically Disadvantaged,,,,,2022,Arkansas,Using only (2),income,1
05,23290,Fayetteville,All,,,,,2022,Arkansas,Using only (2),,1
05,24550,Fort Smith,Economically Disadvantaged,,,,,2022,Arkansas,Using only (2),income,1
05,24550,Fort Smith,"Black, Non-Hispanic",,,,,2022,Arkansas,Using only (2),race-ethnicity,1
05,24550,Fort Smith,All,,,,,2022,Arkansas,Using only (2),,1
05,24550,Fort Smith,Not Economically Disadvantaged,,,,,2022,Arkansas,Using only (2),income,1
05,24550,Fort Smith,"White, Non-Hispanic",,,,,2022,Arkansas,Using only (2),race-ethnicity,1
05,24550,Fort Smith,Hispanic,,,,,2022,Arkansas,Using only (2),race-ethnicity,1
05,35710,Jonesboro,Hispanic,,,,,2022,Arkansas,Using only (2),race-ethnicity,1
05,35710,Jonesboro,All,,,,,2022,Arkansas,Using only (2),,1
05,35710,Jonesboro,Economically Disadvantaged,,,,,2022,Arkansas,Using only (2),income,1
05,35710,Jonesboro,Not Economically Disadvantaged,,,,,2022,Arkansas,Using only (2),income,1
05,35710,Jonesboro,"Black, Non-Hispanic",,,,,2022,Arkansas,Using only (2),race-ethnicity,1
05,35710,Jonesboro,"White, Non-Hispanic",,,,,2022,Arkansas,Using only (2),race-ethnicity,1
05,41000,Little Rock,"Black, Non-Hispanic",,,,,2022,Arkansas,Using only (2),race-ethnicity,1
05,41000,Little Rock,"White, Non-Hispanic",,,,,2022,Arkansas,Using only (2),race-ethnicity,1
05,41000,Little Rock,Hispanic,,,,,2022,Arkansas,Using only (2),race-ethnicity,1
05,41000,Little Rock,Economically Disadvantaged,,,,,2022,Arkansas,Using only (2),income,1
05,41000,Little Rock,Not Economically Disadvantaged,,,,,2022,Arkansas,Using only (2),income,1
05,41000,Little Rock,All,,,,,2022,Arkansas,Using only (2),,1
05,66080,Springdale,All,,,,,2022,Arkansas,Using only (2),,1
05,66080,Springdale,Not Economically Disadvantaged,,,,,2022,Arkansas,Using only (2),income,1
05,66080,Springdale,"Black, Non-Hispanic",,,,,2022,Arkansas,Using only (2),race-ethnicity,1
05,66080,Springdale,Economically Disadvantaged,,,,,2022,Arkansas,Using only (2),income,1
05,66080,Springdale,"White, Non-Hispanic",,,,,2022,Arkansas,Using only (2),race-ethnicity,1
05,66080,Springdale,Hispanic,,,,,2022,Arkansas,Using only (2),race-ethnicity,1
06,00562,Alameda,All,.0096267341,-.28871897,.30797246,1,2022,California,Matched (3),,0
06,00562,Alameda,Not Economically Disadvantaged,-.26830432,-.59450006,.057891402,1,2022,California,Matched (3),income,0
06,00562,Alameda,Economically Disadvantaged,-.0050023249,-.38162923,.37162456,1,2022,California,Matched (3),income,0
06,00562,Alameda,Hispanic,.046978816,-.27420971,.36816734,1,2022,California,Matched (3),race-ethnicity,0
06,00562,Alameda,"White, Non-Hispanic",-.21163824,-.49741557,.074139081,1,2022,California,Matched (3),race-ethnicity,0
06,00562,Alameda,"Black, Non-Hispanic",,,,,2022,California,Matched (3),race-ethnicity,1
06,00884,Alhambra,Not Economically Disadvantaged,.0130224,-.33106482,.35710961,1,2022,California,Matched (3),income,0
06,00884,Alhambra,"White, Non-Hispanic",,,,,2022,California,Matched (3),race-ethnicity,1
06,00884,Alhambra,"Black, Non-Hispanic",,,,,2022,California,Matched (3),race-ethnicity,1
06,00884,Alhambra,Economically Disadvantaged,.043489456,-.26965028,.35662919,1,2022,California,Matched (3),income,0
06,00884,Alhambra,All,.092852138,-.19835655,.38406083,1,2022,California,Matched (3),,0
06,00884,Alhambra,Hispanic,-.071039014,-.34918195,.20710392,1,2022,California,Matched (3),race-ethnicity,0
06,02000,Anaheim,"Black, Non-Hispanic",,,,,2022,California,Matched (3),race-ethnicity,1
06,02000,Anaheim,Hispanic,-.10237087,-.39839533,.19365357,2,2022,California,Matched (3),race-ethnicity,0
06,02000,Anaheim,Economically Disadvantaged,-.033718858,-.37541518,.30797747,2,2022,California,Matched (3),income,0
06,02000,Anaheim,All,-.10339286,-.42373908,.21695335,2,2022,California,Matched (3),,0
06,02000,Anaheim,"White, Non-Hispanic",,,,,2022,California,Matched (3),race-ethnicity,1
06,02000,Anaheim,Not Economically Disadvantaged,-.67512143,-1.0947295,-.25551328,2,2022,California,Matched (3),income,0
06,02252,Antioch,Hispanic,-.14361368,-.41638085,.1291535,1,2022,California,Matched (3),race-ethnicity,0
06,02252,Antioch,Not Economically Disadvantaged,-.14693199,-.47858441,.18472043,1,2022,California,Matched (3),income,0
06,02252,Antioch,"White, Non-Hispanic",-.1477645,-.44338003,.14785101,1,2022,California,Matched (3),race-ethnicity,0
06,02252,Antioch,Economically Disadvantaged,-.1957249,-.50279349,.1113437,1,2022,California,Matched (3),income,0
06,02252,Antioch,"Black, Non-Hispanic",-.17860538,-.47593814,.11872739,1,2022,California,Matched (3),race-ethnicity,0
06,02252,Antioch,All,-.16775452,-.45567593,.12016692,1,2022,California,Matched (3),,0
06,02364,Apple Valley,All,-.68292898,-.97143549,-.3944225,1,2022,California,Matched (3),,0
06,02364,Apple Valley,"Black, Non-Hispanic",,,,,2022,California,Matched (3),race-ethnicity,1
06,02364,Apple Valley,Not Economically Disadvantaged,-1.3495029,-1.6992933,-.99971253,1,2022,California,Matched (3),income,0
06,02364,Apple Valley,Economically Disadvantaged,-.6508531,-.95721489,-.34449127,1,2022,California,Matched (3),income,0
06,02364,Apple Valley,"White, Non-Hispanic",,,,,2022,California,Matched (3),race-ethnicity,1
06,02364,Apple Valley,Hispanic,,,,,2022,California,Matched (3),race-ethnicity,1
06,03526,Bakersfield,"White, Non-Hispanic",-.24036367,-.51419479,.033467446,1,2022,California,Matched (3),race-ethnicity,0
06,03526,Bakersfield,Hispanic,-.28189081,-.55190599,-.011875652,1,2022,California,Matched (3),race-ethnicity,0
06,03526,Bakersfield,Economically Disadvantaged,-.29357293,-.59987348,.012727627,1,2022,California,Matched (3),income,0
06,03526,Bakersfield,All,-.28670847,-.57629752,.0028806268,1,2022,California,Matched (3),,0
06,03526,Bakersfield,"Black, Non-Hispanic",-.16867274,-.47072807,.13338259,1,2022,California,Matched (3),race-ethnicity,0
06,03526,Bakersfield,Not Economically Disadvantaged,-.41637245,-.75847399,-.074270882,1,2022,California,Matched (3),income,0
06,04982,Bellflower,Hispanic,-.2205309,-.49174294,.050681151,1,2022,California,Matched (3),race-ethnicity,0
06,04982,Bellflower,"Black, Non-Hispanic",-.22304578,-.52270323,.076611668,1,2022,California,Matched (3),race-ethnicity,0
06,04982,Bellflower,Not Economically Disadvantaged,-.44520143,-.80176425,-.088638589,1,2022,California,Matched (3),income,0
06,04982,Bellflower,"White, Non-Hispanic",-.35407239,-.66327494,-.044869836,1,2022,California,Matched (3),race-ethnicity,0
06,04982,Bellflower,Economically Disadvantaged,-.25548947,-.56165415,.050675221,1,2022,California,Matched (3),income,0
06,04982,Bellflower,All,-.27258557,-.56141633,.01624519,1,2022,California,Matched (3),,0
06,06000,Berkeley,Economically Disadvantaged,.2944335,-.090325274,.6791923,3,2022,California,Matched (3),income,0
06,06000,Berkeley,Not Economically Disadvantaged,-.036273353,-.38662833,.31408164,1,2022,California,Matched (3),income,0
06,06000,Berkeley,All,.1658491,-.14469925,.47639745,1,2022,California,Matched (3),,0
06,06000,Berkeley,Hispanic,.1734609,-.15723157,.50415337,3,2022,California,Matched (3),race-ethnicity,0
06,06000,Berkeley,"White, Non-Hispanic",-.08898522,-.37207514,.1941047,1,2022,California,Matched (3),race-ethnicity,0
06,06000,Berkeley,"Black, Non-Hispanic",,,,,2022,California,Matched (3),race-ethnicity,1
06,08786,Buena Park,Hispanic,-.22064367,-.52802664,.086739294,1,2022,California,Matched (3),race-ethnicity,0
06,08786,Buena Park,"White, Non-Hispanic",,,,,2022,California,Matched (3),race-ethnicity,1
06,08786,Buena Park,Economically Disadvantaged,-.1453115,-.49846503,.20784201,2,2022,California,Matched (3),income,0
06,08786,Buena Park,Not Economically Disadvantaged,-.030061711,-.50029302,.44016957,2,2022,California,Matched (3),income,0
06,08786,Buena Park,All,-.15499651,-.48125648,.17126346,2,2022,California,Matched (3),,0
06,08786,Buena Park,"Black, Non-Hispanic",,,,,2022,California,Matched (3),race-ethnicity,1
06,08954,Burbank,All,-.17165926,-.45780426,.11448573,1,2022,California,Matched (3),,0
06,08954,Burbank,Not Economically Disadvantaged,-.43847334,-.74239534,-.13455135,1,2022,California,Matched (3),income,0
06,08954,Burbank,"White, Non-Hispanic",-.26709703,-.5196659,-.014528165,1,2022,California,Matched (3),race-ethnicity,0
06,08954,Burbank,Economically Disadvantaged,-.16500384,-.48268384,.15267618,1,2022,California,Matched (3),income,0
06,08954,Burbank,"Black, Non-Hispanic",,,,,2022,California,Matched (3),race-ethnicity,1
06,08954,Burbank,Hispanic,-.098628327,-.37648538,.17922874,1,2022,California,Matched (3),race-ethnicity,0
06,11194,Carlsbad,"White, Non-Hispanic",-.020365411,-.28843641,.24770558,3,2022,California,Matched (3),race-ethnicity,0
06,11194,Carlsbad,"Black, Non-Hispanic",,,,,2022,California,Matched (3),race-ethnicity,1
06,11194,Carlsbad,Not Economically Disadvantaged,-.25175694,-.58191103,.078397125,1,2022,California,Matched (3),income,0
06,11194,Carlsbad,All,-.012510485,-.3122949,.28727394,1,2022,California,Matched (3),,0
06,11194,Carlsbad,Hispanic,-.023477817,-.31768149,.27072588,1,2022,California,Matched (3),race-ethnicity,0
06,11194,Carlsbad,Economically Disadvantaged,-.05288795,-.42324123,.31746534,3,2022,California,Matched (3),income,0
06,11530,Carson,"White, Non-Hispanic",,,,,2022,California,Using only (2),race-ethnicity,1
06,11530,Carson,Not Economically Disadvantaged,,,,,2022,California,Using only (2),income,1
06,11530,Carson,"Black, Non-Hispanic",,,,,2022,California,Using only (2),race-ethnicity,1
06,11530,Carson,Economically Disadvantaged,,,,,2022,California,Using only (2),income,1
06,11530,Carson,All,,,,,2022,California,Using only (2),,1
06,11530,Carson,Hispanic,,,,,2022,California,Using only (2),race-ethnicity,1
06,13014,Chico,"Black, Non-Hispanic",,,,,2022,California,Matched (3),race-ethnicity,1
06,13014,Chico,All,.054161843,-.23572662,.34405032,1,2022,California,Matched (3),,0
06,13014,Chico,Economically Disadvantaged,.0091569144,-.30341572,.32172957,1,2022,California,Matched (3),income,0
06,13014,Chico,Not Economically Disadvantaged,.28918168,-.0416792,.62004256,1,2022,California,Matched (3),income,0
06,13014,Chico,"White, Non-Hispanic",.050161954,-.20486443,.30518833,1,2022,California,Matched (3),race-ethnicity,0
06,13014,Chico,Hispanic,.020893781,-.27279282,.31458038,1,2022,California,Matched (3),race-ethnicity,0
06,13210,Chino,"Black, Non-Hispanic",-.067198798,-.40039405,.26599646,1,2022,California,Matched (3),race-ethnicity,0
06,13210,Chino,All,.27384979,-.0081022773,.55580187,1,2022,California,Matched (3),,0
06,13210,Chino,"White, Non-Hispanic",.12508413,-.1425344,.39270267,1,2022,California,Matched (3),race-ethnicity,0
06,13210,Chino,Economically Disadvantaged,.17778522,-.12214763,.47771806,1,2022,California,Matched (3),income,0
06,13210,Chino,Not Economically Disadvantaged,.17902733,-.1188642,.47691888,1,2022,California,Matched (3),income,0
06,13210,Chino,Hispanic,.090030722,-.1720567,.35211813,1,2022,California,Matched (3),race-ethnicity,0
06,13214,Chino Hills,"Black, Non-Hispanic",,,,,2022,California,Using only (2),race-ethnicity,1
06,13214,Chino Hills,Not Economically Disadvantaged,,,,,2022,California,Using only (2),income,1
06,13214,Chino Hills,"White, Non-Hispanic",,,,,2022,California,Using only (2),race-ethnicity,1
06,13214,Chino Hills,All,,,,,2022,California,Using only (2),,1
06,13214,Chino Hills,Economically Disadvantaged,,,,,2022,California,Using only (2),income,1
06,13214,Chino Hills,Hispanic,,,,,2022,California,Using only (2),race-ethnicity,1
06,13392,Chula Vista,Economically Disadvantaged,-.44750354,-.78118652,-.11382054,2,2022,California,Matched (3),income,0
06,13392,Chula Vista,All,-.3393108,-.65242153,-.02620008,2,2022,California,Matched (3),,0
06,13392,Chula Vista,Hispanic,-.34691864,-.63639605,-.057441272,2,2022,California,Matched (3),race-ethnicity,0
06,13392,Chula Vista,"Black, Non-Hispanic",-.21969466,-.53885704,.099467754,2,2022,California,Matched (3),race-ethnicity,0
06,13392,Chula Vista,Not Economically Disadvantaged,-.66336274,-1.0049181,-.32180735,2,2022,California,Matched (3),income,0
06,13392,Chula Vista,"White, Non-Hispanic",-.2565704,-.54735059,.034209754,2,2022,California,Matched (3),race-ethnicity,0
