year,state,county,race_ind,environmental_quality,quality_flag
2014,01,065,Predominantly People of Color,14.666666666666666,1
2014,01,065,"Predominantly White, Non-Hispanic",13.5,1
2014,01,067,No Predominant Racial Group,13,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,067,"Predominantly White, Non-Hispanic",16.5,1
2014,01,069,No Predominant Racial Group,12,1
2014,01,069,Predominantly People of Color,12.8,1
2014,01,069,"Predominantly White, Non-Hispanic",16.857142857142858,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,071,"Predominantly White, Non-Hispanic",48,1
2014,01,073,No Predominant Racial Group,7.933333333333334,1
2014,01,073,Predominantly People of Color,6.189873417721519,1
2014,01,073,"Predominantly White, Non-Hispanic",9.26086956521739,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,075,"Predominantly White, Non-Hispanic",24.666666666666668,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,01,077,Predominantly People of Color,23,1
2014,01,077,"Predominantly White, Non-Hispanic",33.904761904761905,1
2014,01,079,No Predominant Racial Group,35.5,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,079,"Predominantly White, Non-Hispanic",35.57142857142857,1
2014,01,081,No Predominant Racial Group,6.75,1
2014,01,081,Predominantly People of Color,5.5,1
2014,01,081,"Predominantly White, Non-Hispanic",6.857142857142857,1
2014,01,083,No Predominant Racial Group,25,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,083,"Predominantly White, Non-Hispanic",33.666666666666664,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,01,085,Predominantly People of Color,14.75,1
2014,NA,NA,"Predominantly White, Non-Hispanic",NA,1
2014,01,087,No Predominant Racial Group,6,1
2014,01,087,Predominantly People of Color,4.545454545454546,1
2014,NA,NA,"Predominantly White, Non-Hispanic",NA,1
2014,01,089,No Predominant Racial Group,20.555555555555557,1
2014,01,089,Predominantly People of Color,20,1
2014,01,089,"Predominantly White, Non-Hispanic",27.727272727272727,1
2014,01,091,No Predominant Racial Group,16,1
2014,01,091,Predominantly People of Color,13.666666666666666,1
2014,01,091,"Predominantly White, Non-Hispanic",12,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,093,"Predominantly White, Non-Hispanic",32.25,1
2014,01,095,No Predominant Racial Group,26,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,095,"Predominantly White, Non-Hispanic",35,1
2014,01,097,No Predominant Racial Group,12.625,1
2014,01,097,Predominantly People of Color,10.439024390243903,1
2014,01,097,"Predominantly White, Non-Hispanic",18.428571428571427,1
2014,01,099,No Predominant Racial Group,21.5,1
2014,01,099,Predominantly People of Color,18,1
2014,01,099,"Predominantly White, Non-Hispanic",23,1
2014,01,101,No Predominant Racial Group,7.5,1
2014,01,101,Predominantly People of Color,4.975,1
2014,01,101,"Predominantly White, Non-Hispanic",5.882352941176471,1
2014,01,103,No Predominant Racial Group,15.2,1
2014,01,103,Predominantly People of Color,7.5,1
2014,01,103,"Predominantly White, Non-Hispanic",25.7,1
2014,01,105,No Predominant Racial Group,13,1
2014,01,105,Predominantly People of Color,13.5,1
2014,NA,NA,"Predominantly White, Non-Hispanic",NA,1
2014,01,107,No Predominant Racial Group,18,1
2014,01,107,Predominantly People of Color,16,1
2014,01,107,"Predominantly White, Non-Hispanic",20.333333333333332,1
2014,01,109,No Predominant Racial Group,7.5,1
2014,01,109,Predominantly People of Color,10,1
2014,01,109,"Predominantly White, Non-Hispanic",10.4,1
2014,01,111,No Predominant Racial Group,16,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,111,"Predominantly White, Non-Hispanic",21.2,1
2014,01,113,No Predominant Racial Group,5,1
2014,01,113,Predominantly People of Color,3.2,1
2014,01,113,"Predominantly White, Non-Hispanic",4.666666666666667,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,115,"Predominantly White, Non-Hispanic",15.461538461538462,1
2014,01,117,No Predominant Racial Group,9.25,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,117,"Predominantly White, Non-Hispanic",10.720930232558139,1
2014,01,119,No Predominant Racial Group,20,1
2014,01,119,Predominantly People of Color,18,1
2014,NA,NA,"Predominantly White, Non-Hispanic",NA,1
2014,01,121,No Predominant Racial Group,13,1
2014,01,121,Predominantly People of Color,13.5,1
2014,01,121,"Predominantly White, Non-Hispanic",12.857142857142858,1
2014,01,123,No Predominant Racial Group,12,1
2014,01,123,Predominantly People of Color,12,1
2014,01,123,"Predominantly White, Non-Hispanic",11.571428571428571,1
2014,01,125,No Predominant Racial Group,4.5,1
2014,01,125,Predominantly People of Color,3.75,1
2014,01,125,"Predominantly White, Non-Hispanic",8.703703703703704,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,127,"Predominantly White, Non-Hispanic",15.666666666666666,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,01,129,Predominantly People of Color,9,1
2014,01,129,"Predominantly White, Non-Hispanic",19.5,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,01,131,Predominantly People of Color,13.75,1
2014,NA,NA,"Predominantly White, Non-Hispanic",NA,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,133,"Predominantly White, Non-Hispanic",28.714285714285715,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,02,013,Predominantly People of Color,99,1
2014,NA,NA,"Predominantly White, Non-Hispanic",NA,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,02,016,Predominantly People of Color,99,1
2014,NA,NA,"Predominantly White, Non-Hispanic",NA,1
2014,02,020,No Predominant Racial Group,63.13636363636363,1
2014,02,020,Predominantly People of Color,58.5,1
2014,02,020,"Predominantly White, Non-Hispanic",74.62962962962963,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,02,050,Predominantly People of Color,99,1
2014,NA,NA,"Predominantly White, Non-Hispanic",NA,1
2014,02,060,No Predominant Racial Group,99,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,NA,NA,"Predominantly White, Non-Hispanic",NA,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,02,068,"Predominantly White, Non-Hispanic",99,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,02,070,Predominantly People of Color,99,1
2014,NA,NA,"Predominantly White, Non-Hispanic",NA,1
2014,02,090,No Predominant Racial Group,90.75,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,02,090,"Predominantly White, Non-Hispanic",95.4,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,02,100,"Predominantly White, Non-Hispanic",99,1
2014,02,105,No Predominant Racial Group,99,1
2014,02,105,Predominantly People of Color,99,1
2014,NA,NA,"Predominantly White, Non-Hispanic",NA,1
2014,02,110,No Predominant Racial Group,99,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,02,110,"Predominantly White, Non-Hispanic",99,1
2014,02,122,No Predominant Racial Group,99,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,02,122,"Predominantly White, Non-Hispanic",99,1
2014,02,130,No Predominant Racial Group,95,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,02,130,"Predominantly White, Non-Hispanic",99,1
2014,02,150,No Predominant Racial Group,99,1
2014,02,150,Predominantly People of Color,99,1
2014,02,150,"Predominantly White, Non-Hispanic",99,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,02,158,Predominantly People of Color,99,1
2014,NA,NA,"Predominantly White, Non-Hispanic",NA,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,02,164,Predominantly People of Color,99,1
2014,NA,NA,"Predominantly White, Non-Hispanic",NA,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,02,170,"Predominantly White, Non-Hispanic",98.91666666666667,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,02,180,Predominantly People of Color,99,1
2014,NA,NA,"Predominantly White, Non-Hispanic",NA,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,02,185,Predominantly People of Color,99,1
2014,02,185,"Predominantly White, Non-Hispanic",96,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,02,188,Predominantly People of Color,92,1
2014,NA,NA,"Predominantly White, Non-Hispanic",NA,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,02,195,"Predominantly White, Non-Hispanic",99,1
2014,02,198,No Predominant Racial Group,99,1
2014,02,198,Predominantly People of Color,99,1
2014,02,198,"Predominantly White, Non-Hispanic",99,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,02,220,"Predominantly White, Non-Hispanic",99,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,02,230,"Predominantly White, Non-Hispanic",99,1
2014,02,240,No Predominant Racial Group,99,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,02,240,"Predominantly White, Non-Hispanic",99,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,02,261,"Predominantly White, Non-Hispanic",99,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,02,275,"Predominantly White, Non-Hispanic",99,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,02,282,Predominantly People of Color,99,1
2014,NA,NA,"Predominantly White, Non-Hispanic",NA,1
2014,02,290,No Predominant Racial Group,99,1
2014,02,290,Predominantly People of Color,99,1
2014,NA,NA,"Predominantly White, Non-Hispanic",NA,1
2014,04,001,No Predominant Racial Group,97,1
2014,04,001,Predominantly People of Color,97.58333333333333,1
2014,04,001,"Predominantly White, Non-Hispanic",98.33333333333333,1
2014,04,003,No Predominant Racial Group,90.8,1
2014,04,003,Predominantly People of Color,81.83333333333333,1
2014,04,003,"Predominantly White, Non-Hispanic",90.25,1
2014,04,005,No Predominant Racial Group,91,1
2014,04,005,Predominantly People of Color,93.42857142857143,1
2014,04,005,"Predominantly White, Non-Hispanic",92.72222222222223,1
2014,04,007,No Predominant Racial Group,76,1
2014,04,007,Predominantly People of Color,76.33333333333333,1
2014,04,007,"Predominantly White, Non-Hispanic",85.3,1
2014,04,009,No Predominant Racial Group,78.75,1
2014,04,009,Predominantly People of Color,74,1
2014,04,009,"Predominantly White, Non-Hispanic",80.5,1
2014,04,011,No Predominant Racial Group,78,1
2014,04,011,Predominantly People of Color,90,1
2014,04,011,"Predominantly White, Non-Hispanic",88,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,04,012,Predominantly People of Color,33.5,1
2014,04,012,"Predominantly White, Non-Hispanic",48.166666666666664,1
2014,04,013,No Predominant Racial Group,15.537974683544304,1
2014,04,013,Predominantly People of Color,NA,1
2014,04,013,"Predominantly White, Non-Hispanic",24.022727272727273,1
2014,04,015,No Predominant Racial Group,49,1
2014,04,015,Predominantly People of Color,93,1
2014,04,015,"Predominantly White, Non-Hispanic",60.68292682926829,1
2014,04,017,No Predominant Racial Group,79,1
2014,04,017,Predominantly People of Color,94.13333333333334,1
2014,04,017,"Predominantly White, Non-Hispanic",95.53846153846153,1
2014,04,019,No Predominant Racial Group,32.76470588235294,1
2014,04,019,Predominantly People of Color,30.423728813559322,1
2014,04,019,"Predominantly White, Non-Hispanic",54.030534351145036,1
2014,04,021,No Predominant Racial Group,35.7037037037037,1
2014,04,021,Predominantly People of Color,42,1
2014,04,021,"Predominantly White, Non-Hispanic",41.6,1
2014,04,023,No Predominant Racial Group,89,1
2014,04,023,Predominantly People of Color,79.25,1
2014,04,023,"Predominantly White, Non-Hispanic",95,1
2014,04,025,No Predominant Racial Group,78,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,04,025,"Predominantly White, Non-Hispanic",86.29268292682927,1
2014,04,027,No Predominant Racial Group,28.181818181818183,1
2014,04,027,Predominantly People of Color,32.074074074074076,1
2014,04,027,"Predominantly White, Non-Hispanic",38.13333333333333,1
2014,05,001,No Predominant Racial Group,47,1
2014,05,001,Predominantly People of Color,46,1
2014,05,001,"Predominantly White, Non-Hispanic",54.166666666666664,1
2014,05,003,No Predominant Racial Group,22,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,003,"Predominantly White, Non-Hispanic",40.333333333333336,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,005,"Predominantly White, Non-Hispanic",35.22222222222222,1
2014,05,007,No Predominant Racial Group,42.2,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,007,"Predominantly White, Non-Hispanic",51.45454545454545,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,009,"Predominantly White, Non-Hispanic",56.714285714285715,1
2014,05,011,No Predominant Racial Group,25.666666666666668,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,011,"Predominantly White, Non-Hispanic",33,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,013,"Predominantly White, Non-Hispanic",32.5,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,015,"Predominantly White, Non-Hispanic",70.4,1
2014,05,017,No Predominant Racial Group,60,1
2014,05,017,Predominantly People of Color,58,1
2014,05,017,"Predominantly White, Non-Hispanic",63,1
2014,05,019,No Predominant Racial Group,15,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,019,"Predominantly White, Non-Hispanic",22.5,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,021,"Predominantly White, Non-Hispanic",63.166666666666664,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,023,"Predominantly White, Non-Hispanic",41.714285714285715,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,025,"Predominantly White, Non-Hispanic",38,1
2014,05,027,No Predominant Racial Group,28,1
2014,05,027,Predominantly People of Color,22,1
2014,05,027,"Predominantly White, Non-Hispanic",25,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,029,"Predominantly White, Non-Hispanic",28.666666666666668,1
2014,05,031,No Predominant Racial Group,48.5,1
2014,05,031,Predominantly People of Color,46,1
2014,05,031,"Predominantly White, Non-Hispanic",53.785714285714285,1
2014,05,033,No Predominant Racial Group,25,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,033,"Predominantly White, Non-Hispanic",36.5,1
2014,05,035,No Predominant Racial Group,54.333333333333336,1
2014,05,035,Predominantly People of Color,36.9,1
2014,05,035,"Predominantly White, Non-Hispanic",45.142857142857146,1
2014,05,037,No Predominant Racial Group,50,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,037,"Predominantly White, Non-Hispanic",58.75,1
2014,05,039,No Predominant Racial Group,34,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,039,"Predominantly White, Non-Hispanic",30,1
2014,05,041,No Predominant Racial Group,54,1
2014,05,041,Predominantly People of Color,53,1
2014,05,041,"Predominantly White, Non-Hispanic",63,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,05,043,Predominantly People of Color,39,1
2014,05,043,"Predominantly White, Non-Hispanic",43.25,1
2014,05,045,No Predominant Racial Group,7,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,045,"Predominantly White, Non-Hispanic",25.875,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,047,"Predominantly White, Non-Hispanic",35.666666666666664,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,049,"Predominantly White, Non-Hispanic",48,1
2014,05,051,No Predominant Racial Group,22,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,051,"Predominantly White, Non-Hispanic",31.58823529411765,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,053,"Predominantly White, Non-Hispanic",33.25,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,055,"Predominantly White, Non-Hispanic",51,1
2014,05,057,No Predominant Racial Group,37,1
2014,05,057,Predominantly People of Color,30,1
2014,05,057,"Predominantly White, Non-Hispanic",36.5,1
2014,05,059,No Predominant Racial Group,17,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,059,"Predominantly White, Non-Hispanic",25.333333333333332,1
2014,05,061,No Predominant Racial Group,33,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,061,"Predominantly White, Non-Hispanic",39,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,063,"Predominantly White, Non-Hispanic",42.625,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,065,"Predominantly White, Non-Hispanic",47.5,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,067,"Predominantly White, Non-Hispanic",51.2,1
2014,05,069,No Predominant Racial Group,40,1
2014,05,069,Predominantly People of Color,30.384615384615383,1
2014,05,069,"Predominantly White, Non-Hispanic",31.5,1
2014,05,071,No Predominant Racial Group,25,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,071,"Predominantly White, Non-Hispanic",36.2,1
2014,05,073,No Predominant Racial Group,36,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,073,"Predominantly White, Non-Hispanic",37,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,075,"Predominantly White, Non-Hispanic",51.333333333333336,1
2014,05,077,No Predominant Racial Group,65.33333333333333,1
2014,05,077,Predominantly People of Color,62,1
2014,NA,NA,"Predominantly White, Non-Hispanic",NA,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,05,079,Predominantly People of Color,56,1
2014,05,079,"Predominantly White, Non-Hispanic",44.666666666666664,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,081,"Predominantly White, Non-Hispanic",34.75,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,083,"Predominantly White, Non-Hispanic",40.5,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,085,"Predominantly White, Non-Hispanic",39.0625,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,087,"Predominantly White, Non-Hispanic",71.5,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,089,"Predominantly White, Non-Hispanic",54.75,1
2014,05,091,No Predominant Racial Group,24.6,1
2014,05,091,Predominantly People of Color,14,1
2014,05,091,"Predominantly White, Non-Hispanic",29.4,1
2014,05,093,No Predominant Racial Group,44,1
2014,05,093,Predominantly People of Color,51.333333333333336,1
2014,05,093,"Predominantly White, Non-Hispanic",60,1
2014,05,095,No Predominant Racial Group,56.5,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,095,"Predominantly White, Non-Hispanic",58,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,097,"Predominantly White, Non-Hispanic",49.666666666666664,1
2014,05,099,No Predominant Racial Group,28,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,099,"Predominantly White, Non-Hispanic",35,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,101,"Predominantly White, Non-Hispanic",59,1
2014,05,103,No Predominant Racial Group,27,1
2014,05,103,Predominantly People of Color,23.5,1
2014,05,103,"Predominantly White, Non-Hispanic",29,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,105,"Predominantly White, Non-Hispanic",39.333333333333336,1
2014,05,107,No Predominant Racial Group,62.5,1
2014,05,107,Predominantly People of Color,59.75,1
2014,NA,NA,"Predominantly White, Non-Hispanic",NA,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,109,"Predominantly White, Non-Hispanic",42.666666666666664,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,111,"Predominantly White, Non-Hispanic",61.57142857142857,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,113,"Predominantly White, Non-Hispanic",58.666666666666664,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,115,"Predominantly White, Non-Hispanic",30.90909090909091,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,117,"Predominantly White, Non-Hispanic",54,1
2014,05,119,No Predominant Racial Group,22.76923076923077,1
2014,05,119,Predominantly People of Color,21.37142857142857,1
2014,05,119,"Predominantly White, Non-Hispanic",25.347826086956523,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,121,"Predominantly White, Non-Hispanic",50.75,1
2014,05,123,No Predominant Racial Group,54,1
2014,05,123,Predominantly People of Color,56.333333333333336,1
2014,05,123,"Predominantly White, Non-Hispanic",56.5,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,125,"Predominantly White, Non-Hispanic",27.714285714285715,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,127,"Predominantly White, Non-Hispanic",54,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,05,129,"Predominantly White, Non-Hispanic",59.333333333333336,1
2014,05,131,No Predominant Racial Group,20,1
2014,05,131,Predominantly People of Color,21.2,1
2014,05,131,"Predominantly White, Non-Hispanic",26.894736842105264,1
2014,NA,NA,No Predominant Racial Group,NA,1
