year,state,city_name,stateplacefp,homeless_count,homeless_count_lb,homeless_count_ub,homeless_share,homeless_quality,black_count,black_count_lb,black_count_ub,black_share,black_quality,hispanic_count,hispanic_count_lb,hispanic_count_ub,hispanic_share,hispanic_quality,other_count,other_count_lb,other_count_ub,other_share,other_quality,white_count,white_count_lb,white_count_ub,white_share,white_quality
2019,06,Fontana,0624680,721,721,721,.019031279,1,53,52,54,.013737688,1,595,595,595,.0090828603,1,20,0,6,.0065189051,3,45,44,46,.013489208,1
2019,06,Fremont,0626000,275,275,275,.0076856432,1,32,32,32,.023916293,1,145,144,146,.013671507,1,56,0,4,.0010671545,3,33,33,33,.0046166759,1
2019,06,Fresno,0627000,1230,1228,1232,.012318725,1,207,203,211,.012857143,1,780,775,785,.0058445353,1,90,65,85,.0031674528,3,102,91,113,.0046926755,3
2019,06,Fullerton,0628000,504,504,504,.019031795,1,42,42,42,.050359711,1,357,357,357,.012340131,1,49,33,35,.0032745255,2,55,55,55,.0066779992,1
2019,06,Garden Grove,0629000,966,966,966,.023320377,1,1,0,2,.0021929825,3,632,632,632,.014284423,1,277,0,2,.0085886149,3,49,49,49,.0083107194,1
2019,06,Glendale,0630000,1874,1874,1874,.073409587,1,31,31,31,.052542374,1,670,670,670,.064634383,1,217,0,2,.021600638,3,953,953,953,.031709589,1
2019,06,Hawthorne,0632548,41,40,42,.0048122066,1,22,22,22,.0066225166,1,2,0,4,.00016691705,3,1,0,2,.00075987843,3,0,0,0,0,3
2019,06,Hayward,0633000,787,786,788,.038654223,1,140,139,141,.038314175,1,515,515,515,.019568356,1,105,105,105,.011490479,1,27,27,27,.016770186,1
2019,06,Hemet,0633182,947,947,947,.041762214,1,205,204,206,.051198803,1,534,534,534,.01926963,1,66,66,66,.020171149,1,142,141,143,.013701274,1
2019,06,Hesperia,0633434,2084,2084,2084,.083728403,1,238,237,239,.060838446,1,1448,1448,1448,.042188685,1,69,65,73,.039609645,3,323,320,326,.032945737,1
2019,06,Huntington Beach,0636000,1135,1135,1135,.037661348,1,8,7,9,.015151516,3,778,777,779,.043949835,1,158,79,83,.0088376775,2,183,182,184,.0075719962,1
2019,06,Indio,0636448,,,,,,,,,,,,,,,,,,,,,,,,,
2019,06,Inglewood,0636546,223,221,225,.017848568,1,117,113,121,.012888301,2,78,75,81,.0052215825,2,4,0,4,.0053191488,3,3,3,3,.013636364,1
2019,06,Irvine,0636770,124,124,124,.0032950679,1,38,37,39,.02631579,2,54,53,55,.0059813913,1,16,0,6,.00035890535,3,10,8,12,.00049460877,3
2019,06,Jurupa Valley,0637692,293,293,293,.015349154,1,13,13,13,.017615177,1,242,242,242,.0073636808,1,15,15,15,.0096401032,1,23,23,23,.0076158941,1
2019,06,Lake Forest,0639496,,,,,,,,,,,,,,,,,,,,,,,,,
2019,06,Lakewood,0639892,,,,,,,,,,,,,,,,,,,,,,,,,
2019,06,Lancaster,0640130,1961,1960,1962,.04404366,1,746,745,747,.040042941,1,933,931,935,.01706853,1,109,13,25,.017285125,3,154,153,155,.016296295,1
2019,06,Livermore,0641992,141,141,141,.01027547,1,14,14,14,.036649216,1,70,70,70,.008130081,1,29,29,29,.0048986487,1,28,28,28,.0022342803,1
2019,06,Long Beach,0643000,6355,6355,6355,.088092595,1,1284,1281,1287,.070387021,1,3710,3709,3711,.044605285,1,1013,1011,1015,.040725254,1,336,336,336,.018674966,1
2019,06,Los Angeles,0644000,9556,9528,9584,.017761884,1,2085,2046,2124,.023354018,1,6511,6455,6567,.0081533035,1,389,351,405,.0046884418,3,286,276,296,.0027185278,2
2019,06,Manteca,0645484,1324,1324,1324,.055550892,1,143,143,143,.049825784,1,833,833,833,.030803934,1,139,139,139,.014802982,1,209,209,209,.024976099,1
2019,06,Menifee,0646842,50,49,51,.004041384,1,3,3,3,.0020746889,1,21,20,22,.0018544684,2,11,10,12,.0032679739,3,16,16,16,.001858736,1
2019,06,Merced,0646898,176,176,176,.010769796,1,22,20,24,.015089164,3,88,87,89,.0040326277,1,17,0,4,.0037215413,3,38,38,38,.0078577334,1
2019,06,Milpitas,0647766,365,365,365,.035409391,1,23,23,23,.061170213,1,190,190,190,.045411091,1,146,146,146,.0096573625,1,6,6,6,.0063965884,1
2019,06,Mission Viejo,0648256,1233,1233,1233,.046708085,1,23,22,24,.035603717,2,984,984,984,.051233988,1,98,0,2,.0091264667,3,126,125,127,.0056736311,1
2019,06,Modesto,0648354,974,972,976,.019162666,1,78,74,82,.024329383,3,575,570,580,.0096447384,1,136,73,91,.0091226185,3,168,163,173,.0070222369,2
2019,06,Moreno Valley,0649270,6645,6644,6646,.20010239,1,1149,1149,1149,.12362815,1,4718,4717,4719,.097701386,1,452,452,452,.10125448,1,326,326,326,.074633703,1
2019,06,Mountain View,0649670,240,240,240,.024922118,1,2,0,4,.0078740157,3,216,216,216,.036585364,1,11,0,4,.0016408114,3,7,6,8,.0010940919,3
2019,06,Murrieta,0650076,463,463,463,.019727312,1,35,35,35,.014216084,1,232,232,232,.012788006,1,100,100,100,.012309208,1,96,96,96,.0052689351,1
2019,06,Napa,0650258,358,358,358,.020454805,1,8,8,8,.010638298,1,281,281,281,.014255276,1,29,0,4,.0059450595,3,36,36,36,.0037259366,1
2019,06,Newport Beach,0651182,14,14,14,.078651689,1,5,5,5,.16666667,1,0,0,0,0,3,3,3,3,.083333336,1,6,6,6,.028301887,1
2019,06,Norwalk,0652526,5374,5374,5374,.31742468,1,139,139,139,.15582959,1,4585,4585,4585,.17090353,1,408,408,408,.11441391,1,242,242,242,.094017096,1
2019,06,Oakland,0653000,1266,1262,1270,.027747337,1,287,273,301,.014253079,3,816,806,826,.01883048,1,77,59,83,.0042391545,3,10,8,12,.0010386374,3
2019,06,Oceanside,0653322,435,434,436,.020497598,1,48,47,49,.023414634,1,256,256,256,.010610079,1,54,5,11,.0092656147,3,72,71,73,.0068925903,1
2019,06,Ontario,0653896,3989,3989,3989,.085949451,1,194,194,194,.037757881,1,3498,3498,3498,.049810611,1,154,152,154,.01879424,1,143,143,143,.015436097,1
2019,06,Orange,0653980,298,298,298,.010919351,1,8,8,8,.011869436,1,221,220,222,.0071308725,1,12,12,12,.0013869626,1,51,50,52,.0035749334,1
2019,06,Oxnard,0654652,3961,3961,3961,.094915174,1,37,35,39,.036779325,3,3532,3531,3533,.049188089,1,163,129,135,.036045998,1,163,163,163,.026590539,1
2019,06,Palmdale,0655156,352,351,353,.015044664,1,124,124,124,.019539868,1,180,179,181,.0050377832,1,22,3,7,.011156186,3,20,20,20,.0072833211,1
2019,06,Pasadena,0656000,829,829,829,.05126778,1,128,128,128,.035674471,1,664,664,664,.034089744,1,11,0,2,.0029443256,3,22,22,22,.0039725532,1
2019,06,Perris,0656700,2467,2467,2467,.067776591,1,272,272,272,.039511912,1,1937,1937,1937,.034440454,1,117,11,15,.026724532,3,124,124,124,.023422742,1
2019,06,Pittsburg,0657456,185,185,185,.016275182,1,68,68,68,.018650576,1,72,72,72,.004895295,1,25,0,2,.0077447337,3,18,18,18,.01559792,1
2019,06,Pleasanton,0657792,4,4,4,.00026885333,1,0,0,0,0,3,4,4,4,.0013596193,1,0,0,0,0,3,0,0,0,0,3
2019,06,Pomona,0658072,3744,3744,3744,.15916337,1,200,199,201,.10288066,1,3312,3312,3312,.081540205,1,149,147,149,.048345231,1,83,83,83,.05920114,1
2019,06,Rancho Cordova,0659444,974,974,974,.047276963,1,174,174,174,.08959835,1,360,360,360,.039241333,1,170,0,2,.01427372,3,259,259,259,.014247992,1
2019,06,Rancho Cucamonga,0659451,256,256,256,.037144516,1,46,46,46,.028822055,1,152,152,152,.018207954,1,28,28,28,.018087855,1,30,30,30,.013089005,1
2019,06,Redding,0659920,481,480,482,.026529148,1,12,11,13,.023715414,3,89,83,95,.016306339,3,86,61,81,.014158709,3,263,256,270,.010856105,2
2019,06,Redwood City,0660102,196,196,196,.010157546,1,9,6,12,.009615385,3,147,144,150,.0068423012,1,15,3,17,.0027985075,3,8,4,12,.00073991861,3
2019,06,Rialto,0660466,2363,2363,2363,.09202072,1,302,302,302,.067561522,1,1860,1859,1861,.042378675,1,73,72,74,.049324322,1,72,72,72,.047430828,1
2019,06,Richmond,0660620,972,971,973,.030738093,1,343,338,348,.038783357,1,460,456,464,.012870013,1,99,93,101,.0081294132,2,38,37,39,.0058641974,2
2019,06,Riverside,0662000,1241,1240,1242,.028302962,1,155,154,156,.027269529,1,859,857,861,.015228876,1,120,119,121,.014323227,1,107,105,109,.0062108198,1
2019,06,Roseville,0662938,601,601,601,.020987568,1,43,43,43,.023522977,1,226,226,226,.018103171,1,112,28,32,.0089988755,3,208,208,208,.0068160966,1
2019,06,Sacramento,0664000,1849,1843,1855,.02671502,1,595,589,601,.029330572,1,642,636,648,.011989243,1,393,357,377,.0099969478,2,202,199,205,.0079905065,1
2019,06,Salinas,0664224,5181,5179,5183,.13330074,1,24,22,26,.050420169,3,4890,4888,4892,.070962124,1,148,135,141,.042873695,1,111,108,114,.022634584,2
2019,06,San Bernardino,0665000,6514,6513,6515,.11982415,1,781,778,784,.066581413,1,5159,5156,5162,.061114006,1,326,310,322,.048511904,1,239,237,241,.040771067,1
2019,06,San Diego,0666000,9386,9379,9393,.05825761,1,1152,1140,1164,.05753671,1,6013,6004,6022,.048070926,1,1548,1312,1340,.017588111,1,579,569,589,.0064948178,1
2019,06,San Francisco,0667000,3575,3574,3576,.060380355,1,748,745,751,.080620825,1,1622,1619,1625,.043012463,1,993,982,994,.01818748,1,192,190,194,.011406844,1
2019,06,San Jose,0668000,1846,1840,1852,.013663346,1,70,60,80,.012229211,3,1396,1379,1413,.010870412,1,199,78,124,.0020510389,3,65,56,74,.0016647885,3
2019,06,San Leandro,0668084,169,169,169,.018639021,1,48,48,48,.021563342,1,84,84,84,.0095044123,1,24,0,2,.0042841844,3,11,11,11,.0074931881,1
2019,06,San Marcos,0668196,262,261,263,.010501844,1,17,15,19,.019675925,3,176,172,180,.0078952089,1,21,0,12,.0031722055,3,36,31,41,.0017878427,3
2019,06,San Mateo,0668252,38,38,38,.0040798797,1,1,0,2,.0067567569,3,16,16,16,.0025641026,1,8,0,2,.00067069079,3,11,11,11,.035256412,1
2019,06,San Ramon,0668378,,,,,,,,,,,,,,,,,,,,,,,,,
2019,06,Santa Ana,0669000,6699,6699,6699,.13467221,1,18,18,18,.07692308,1,6448,6445,6451,.067920871,1,106,101,109,.034215622,2,31,29,33,.025409836,3
2019,06,Santa Barbara,0669070,2029,2029,2029,.12684421,1,11,11,11,.041353382,1,1798,1795,1801,.097042315,1,51,0,6,.022666667,3,98,94,102,.0089514069,2
2019,06,Santa Clara,0669084,156,156,156,.010192081,1,12,12,12,.015463918,1,109,109,109,.01038293,1,23,23,23,.001726986,1,12,12,12,.0019933556,1
2019,06,Santa Clarita,0669088,893,893,893,.026706142,1,39,38,40,.015827922,2,669,669,669,.025499314,1,43,9,15,.0034857327,3,118,117,119,.0045665633,1
2019,06,Santa Maria,0669196,4981,4981,4981,.1903179,1,14,14,14,.056910571,1,4760,4759,4761,.10025274,1,95,34,38,.054161917,3,102,100,104,.035614524,1
2019,06,Santa Monica,0670000,73,73,73,.0070531401,1,29,29,29,.02244582,1,31,31,31,.0051324503,1,1,0,2,.00033377839,3,1,0,2,.000096413423,3
2019,06,Santa Rosa,0670098,402,401,403,.013623886,1,13,10,16,.012241054,3,240,238,242,.0074705845,1,48,13,29,.0074650077,3,80,75,85,.0041220114,3
2019,06,Simi Valley,0672016,348,345,351,.011506034,1,67,66,68,.015690867,1,147,139,155,.0061097257,3,26,10,20,.0029004908,3,96,91,101,.0041386448,3
2019,06,South Gate,0673080,35,35,35,.022845954,1,0,0,0,0,3,35,35,35,.011666667,1,0,0,0,0,3,0,0,0,0,3
2019,06,Stockton,0675000,2659,2656,2662,.047415253,1,635,633,637,.054788612,1,1447,1443,1451,.020487046,1,368,262,278,.018372441,2,195,192,198,.01961376,1
2019,06,Sunnyvale,0677000,89,88,90,.0025557086,1,6,4,8,.011627907,3,53,52,54,.0057923496,1,20,14,18,.00041230314,3,8,7,9,.00069613644,3
2019,06,Temecula,0678120,637,637,637,.01603161,1,47,44,50,.015171078,3,326,326,326,.011613823,1,73,61,67,.0051817149,2,176,174,178,.0051437924,1
2019,06,Thousand Oaks,0678582,410,410,410,.01950616,1,22,22,22,.030470913,1,321,320,322,.024052151,1,14,6,12,.0021328458,3,44,43,45,.0020551144,1
2019,06,Torrance,0680000,196,196,196,.0084848488,1,47,47,47,.025241675,1,96,96,96,.0066870996,1,27,0,2,.0013244384,3,23,23,23,.002396832,1
2019,06,Tracy,0680238,942,941,943,.04727729,1,53,51,55,.023597507,2,648,647,649,.031855274,1,100,3,11,.011348162,3,117,117,117,.013842877,1
2019,06,Tustin,0680854,394,394,394,.016750988,1,20,20,20,.025906736,1,315,315,315,.014445566,1,23,0,2,.0017527816,3,35,35,35,.0030853315,1
2019,06,Upland,0681344,464,464,464,.043856334,1,66,66,66,.040590405,1,296,296,296,.024503311,1,29,0,2,.011721908,3,70,70,70,.014056225,1
2019,06,Vacaville,0681554,189,189,189,.014667081,1,41,41,41,.027443105,1,65,65,65,.0064216559,1,21,0,2,.0050602411,3,59,59,59,.0058964621,1
2019,06,Vallejo,0681666,255,254,256,.020048747,1,123,122,124,.018824609,1,79,78,80,.0069080098,1,36,34,38,.0063357973,3,17,16,18,.0095184771,3
2019,06,Ventura,0665042,944,943,945,.056428954,1,1,0,2,.0026455026,3,609,608,610,.034305993,1,51,0,2,.018586006,3,277,277,277,.022012079,1
2019,06,Victorville,0682590,1273,1273,1273,.046619792,1,335,334,336,.035737146,1,710,710,710,.020600012,1,73,42,52,.018443659,3,142,142,142,.020833334,1
2019,06,Visalia,0682954,900,899,901,.027475882,1,23,23,23,.025727069,1,644,641,647,.014345541,1,83,0,6,.012792848,3,135,134,136,.010197915,1
2019,06,Vista,0682996,1188,1187,1189,.051406316,1,25,24,26,.033692721,2,986,984,988,.032855716,1,65,63,65,.014963168,1,107,107,107,.009618842,1
2019,06,West Covina,0684200,1573,1573,1573,.16034658,1,52,52,52,.10878661,1,1259,1259,1259,.084315561,1,213,4,6,.063092418,3,46,46,46,.055155877,1
2019,06,Westminster,0684550,701,701,701,.077578574,1,5,5,5,.040322579,1,427,427,427,.05272907,1,199,199,199,.025999477,1,70,70,70,.031876139,1
2019,06,Whittier,0685292,2758,2758,2758,.083656877,1,72,71,73,.10714286,1,2494,2494,2494,.043616649,1,68,6,16,.022880215,3,114,112,116,.022300469,1
2019,08,Arvada,0803455,,,,,,,,,,,,,,,,,,,,,,,,,
2019,08,Aurora,0804000,1781,1781,1781,.044427261,1,556,556,556,.039623719,1,806,806,806,.018172799,1,242,242,242,.025548987,1,177,177,177,.014366883,1
2019,08,Boulder,0807850,388,388,388,.012516129,1,15,15,15,.024916943,1,272,272,272,.023043036,1,15,0,2,.0020145045,3,76,76,76,.0018031697,1
2019,08,Centennial,0812815,,,,,,,,,,,,,,,,,,,,,,,,,
2019,08,Colorado Springs,0816000,1266,1265,1267,.015954029,1,236,233,239,.02186805,1,389,388,390,.008868725,1,149,6,14,.0082320441,3,480,480,480,.0055845124,1
2019,08,Denver,0820000,2513,2513,2513,.021017505,1,683,683,683,.026338115,1,1246,1246,1246,.010019943,1,246,240,242,.012987013,1,336,336,336,.0048063169,1
2019,08,Fort Collins,0827425,1387,1387,1387,.045099825,1,28,28,28,.038997214,1,732,732,732,.0639413,1,102,102,102,.022516556,1,525,525,525,.011715611,1
2019,08,Greeley,0832155,501,501,501,.022087026,1,8,8,8,.0068376069,1,368,367,369,.013168253,1,25,24,26,.012266928,2,93,93,93,.0065437658,1
2019,08,Lakewood,0843000,,,,,,,,,,,,,,,,,,,,,,,,,
2019,08,Longmont,0845970,391,391,391,.011900776,1,13,13,13,.022413794,1,237,237,237,.012220275,1,23,23,23,.005447655,1,118,118,118,.0028424147,1
2019,08,Loveland,0846465,778,778,778,.048134629,1,9,9,9,.026470589,1,298,298,298,.043188404,1,56,0,2,.03160271,3,411,411,411,.017628893,1
2019,08,Pueblo,0862000,497,497,497,.018670173,1,21,20,22,.026184538,2,339,339,339,.011166744,1,10,0,4,.0040883073,3,121,121,121,.0061627789,1
2019,08,Thornton,0877290,1335,1335,1335,.034489885,1,71,71,71,.05212922,1,801,801,801,.024614345,1,85,85,85,.011449354,1,378,378,378,.010474976,1
2019,08,Westminster,0883835,908,908,908,.099889986,1,16,16,16,.055172414,1,708,708,708,.051446009,1,67,67,67,.052590266,1,117,117,117,.040995095,1
2019,09,Bridgeport,0908000,112,111,113,.0054195295,1,55,55,55,.0040880037,1,44,43,45,.0020746889,1,1,0,2,.0005643341,3,1,0,2,.00020416497,3
2019,09,Danbury,0918430,63,63,63,.0051775146,1,10,9,11,.0056689344,3,38,38,38,.0031571952,1,2,0,2,.0009363296,3,12,12,12,.0014285714,1
2019,09,Hartford,0937000,589,589,589,.01532577,1,145,145,145,.007408543,1,377,377,377,.010768352,1,30,10,14,.0052910051,3,34,33,35,.0020467131,2
2019,09,New Haven,0952000,548,546,550,.02274142,1,267,263,271,.013811298,1,229,227,231,.010630396,1,18,0,2,.0089730807,3,28,28,28,.0052691004,1
2019,09,Norwalk,0955990,31,31,31,.0026627728,1,17,17,17,.0048350398,1,1,0,2,.000083361119,3,1,0,2,.0005643341,3,0,0,0,0,3
2019,09,Stamford,0973000,85,85,85,.0051580798,1,20,20,20,.0042034467,1,49,49,49,.0033283522,1,7,7,7,.0019673975,1,9,9,9,.00090725807,1
2019,09,Waterbury,0980000,631,631,631,.033748731,1,145,145,145,.017976692,1,420,420,420,.019514915,1,28,0,2,.013220019,3,38,38,38,.0066807312,1
2019,11,Washington,1150000,6498,6494,6502,.071379922,1,5497,5491,5503,.046583958,1,740,721,759,.024149859,2,89,6,54,.010901519,3,30,23,37,.0013254397,3
2019,12,Boca Raton,1207300,21,21,21,.0079185525,1,5,5,5,.00524109,1,9,9,9,.005859375,1,0,0,0,0,3,7,7,7,.0032649254,1
2019,12,Boynton Beach,1207875,42,42,42,.02550091,1,22,22,22,.015625,1,16,16,16,.01076716,1,1,0,2,.0099999998,3,1,0,2,.0033333334,3
