state,county,state_name,county_name,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality
02,180,Alaska,Nome Census Area,0.6:0.3,3,5.5:4.3,3,53.7:65.6,3,40.2:29.9,3
02,185,Alaska,North Slope Borough,0.6:0.3,3,5.5:4.3,3,53.7:65.6,3,40.2:29.9,3
02,188,Alaska,Northwest Arctic Borough,0.6:0.3,3,5.5:4.3,3,53.7:65.6,3,40.2:29.9,3
02,195,Alaska,Petersburg Borough,0.6:0.3,3,5.5:4.3,3,53.7:65.6,3,40.2:29.9,3
02,198,Alaska,Prince of Wales-Hyder Census Area,0.6:0.3,3,5.5:4.3,3,53.7:65.6,3,40.2:29.9,3
02,220,Alaska,Sitka City and Borough,0.6:0.3,3,5.5:4.3,3,53.7:65.6,3,40.2:29.9,3
02,230,Alaska,Skagway Municipality,0.7:4.2,3,2.5:6.1,3,14.7:21.8,3,82.0:67.8,3
02,240,Alaska,Southeast Fairbanks Census Area,0.7:4.2,3,2.5:6.1,3,14.7:21.8,3,82.0:67.8,3
02,275,Alaska,Wrangell City and Borough,0.6:0.3,3,5.5:4.3,3,53.7:65.6,3,40.2:29.9,3
02,282,Alaska,Yakutat City and Borough,0.6:0.3,3,5.5:4.3,3,53.7:65.6,3,40.2:29.9,3
02,290,Alaska,Yukon-Koyukuk Census Area,0.6:0.3,3,5.5:4.3,3,53.7:65.6,3,40.2:29.9,3
04,001,Arizona,Apache County,NA:0.4,NA,6.3:7.9,2,32.4:50.3,2,61.2:41.3,2
04,003,Arizona,Cochise County,1.2:2.8,2,33.9:38.8,2,10.1:5.1,2,54.8:53.3,2
04,005,Arizona,Coconino County,0.1:1.1,1,7.2:13.2,1,14.6:27.1,1,78.2:58.6,1
04,007,Arizona,Gila County,NA:0.3,NA,16.2:25.9,2,10.8:13.1,2,73.0:60.7,2
04,009,Arizona,Graham County,NA:0.3,NA,16.2:25.9,2,10.8:13.1,2,73.0:60.7,2
04,011,Arizona,Greenlee County,NA:0.3,NA,16.2:25.9,3,10.8:13.1,3,73.0:60.7,3
04,012,Arizona,La Paz County,NA:0.6,NA,44.6:45.9,3,8.1:7.4,3,47.3:46.0,3
04,013,Arizona,Maricopa County,2.7:5.2,1,16.5:24.1,1,8.3:9.0,1,72.6:61.7,1
04,015,Arizona,Mohave County,0.7:0.6,1,8.2:13.4,1,6.1:5.8,1,84.9:80.2,1
04,017,Arizona,Navajo County,NA:0.4,NA,6.3:7.9,2,32.4:50.3,2,61.2:41.3,2
04,019,Arizona,Pima County,2.0:3.3,1,24.1:31.1,1,6.7:7.7,1,67.2:57.8,1
04,021,Arizona,Pinal County,3.9:3.5,1,18.6:23.8,1,7.1:7.1,1,70.5:65.5,1
04,023,Arizona,Santa Cruz County,1.2:2.8,3,33.9:38.8,3,10.1:5.1,3,54.8:53.3,3
04,025,Arizona,Yavapai County,0.0:0.2,1,6.1:10.4,1,4.9:5.4,1,88.9:84.0,1
04,027,Arizona,Yuma County,0.4:1.9,1,53.5:54.5,1,7.1:5.6,1,39.0:38.0,1
05,001,Arkansas,Arkansas County,25.3:42.0,3,1.9:2.6,3,1.8:2.1,3,71.1:53.3,3
05,003,Arkansas,Ashley County,25.3:42.0,3,1.9:2.6,3,1.8:2.1,3,71.1:53.3,3
05,005,Arkansas,Baxter County,0.0:0.0,3,1.5:3.1,3,7.5:10.7,3,91.0:86.1,3
05,007,Arkansas,Benton County,1.5:2.0,1,8.7:12.8,1,15.6:19.9,1,74.3:65.4,1
05,009,Arkansas,Boone County,0.0:0.0,3,1.5:3.1,3,7.5:10.7,3,91.0:86.1,3
05,011,Arkansas,Bradley County,25.3:42.0,3,1.9:2.6,3,1.8:2.1,3,71.1:53.3,3
05,013,Arkansas,Calhoun County,19.3:33.1,3,2.2:3.3,3,3.0:3.6,3,75.4:60.1,3
05,015,Arkansas,Carroll County,0.0:0.0,3,1.5:3.1,3,7.5:10.7,3,91.0:86.1,3
05,017,Arkansas,Chicot County,25.3:42.0,3,1.9:2.6,3,1.8:2.1,3,71.1:53.3,3
05,019,Arkansas,Clark County,8.5:9.9,3,2.1:4.1,3,3.0:3.3,3,86.3:82.7,3
05,021,Arkansas,Clay County,0.2:0.2,3,1.3:2.4,3,2.0:4.8,3,96.6:92.7,3
05,023,Arkansas,Cleburne County,0.4:0.8,3,4.0:4.2,3,5.1:5.5,3,90.6:89.5,3
05,025,Arkansas,Cleveland County,25.3:42.0,3,1.9:2.6,3,1.8:2.1,3,71.1:53.3,3
05,027,Arkansas,Columbia County,19.3:33.1,3,2.2:3.3,3,3.0:3.6,3,75.4:60.1,3
05,029,Arkansas,Conway County,4.6:4.0,3,6.1:8.1,3,3.4:4.7,3,85.9:83.2,3
05,031,Arkansas,Craighead County,2.7:13.1,1,2.0:3.8,1,2.8:6.5,1,92.6:76.6,1
05,033,Arkansas,Crawford County,1.2:3.9,3,9.5:9.6,3,11.1:12.6,3,78.1:73.9,3
05,035,Arkansas,Crittenden County,32.0:48.8,3,2.7:2.2,3,2.5:3.8,3,62.9:45.2,3
05,037,Arkansas,Cross County,32.0:48.8,3,2.7:2.2,3,2.5:3.8,3,62.9:45.2,3
05,039,Arkansas,Dallas County,19.3:33.1,3,2.2:3.3,3,3.0:3.6,3,75.4:60.1,3
05,041,Arkansas,Desha County,25.3:42.0,3,1.9:2.6,3,1.8:2.1,3,71.1:53.3,3
05,043,Arkansas,Drew County,25.3:42.0,3,1.9:2.6,3,1.8:2.1,3,71.1:53.3,3
05,045,Arkansas,Faulkner County,6.1:9.4,2,2.2:3.7,2,6.0:4.6,2,85.7:82.3,2
05,047,Arkansas,Franklin County,1.2:3.9,3,9.5:9.6,3,11.1:12.6,3,78.1:73.9,3
05,049,Arkansas,Fulton County,0.4:0.8,3,4.0:4.2,3,5.1:5.5,3,90.6:89.5,3
05,051,Arkansas,Garland County,8.5:9.9,2,2.1:4.1,2,3.0:3.3,2,86.3:82.7,2
05,053,Arkansas,Grant County,5.9:9.2,3,3.4:3.0,3,5.2:4.6,3,85.5:83.3,3
05,055,Arkansas,Greene County,0.2:0.2,2,1.3:2.4,2,2.0:4.8,2,96.6:92.7,2
05,057,Arkansas,Hempstead County,19.3:33.1,3,2.2:3.3,3,3.0:3.6,3,75.4:60.1,3
05,059,Arkansas,Hot Spring County,8.5:9.9,3,2.1:4.1,3,3.0:3.3,3,86.3:82.7,3
05,061,Arkansas,Howard County,11.2:13.6,3,5.2:6.2,3,7.0:6.6,3,76.6:73.6,3
05,063,Arkansas,Independence County,0.4:0.8,3,4.0:4.2,3,5.1:5.5,3,90.6:89.5,3
05,065,Arkansas,Izard County,0.4:0.8,3,4.0:4.2,3,5.1:5.5,3,90.6:89.5,3
05,067,Arkansas,Jackson County,4.6:9.9,3,2.8:2.3,3,5.8:5.8,3,86.8:82.0,3
05,069,Arkansas,Jefferson County,25.3:42.0,2,1.9:2.6,2,1.8:2.1,2,71.1:53.3,2
05,071,Arkansas,Johnson County,4.6:4.0,3,6.1:8.1,3,3.4:4.7,3,85.9:83.2,3
05,073,Arkansas,Lafayette County,19.3:33.1,3,2.2:3.3,3,3.0:3.6,3,75.4:60.1,3
05,075,Arkansas,Lawrence County,0.2:0.2,3,1.3:2.4,3,2.0:4.8,3,96.6:92.7,3
05,077,Arkansas,Lee County,32.0:48.8,3,2.7:2.2,3,2.5:3.8,3,62.9:45.2,3
05,079,Arkansas,Lincoln County,25.3:42.0,3,1.9:2.6,3,1.8:2.1,3,71.1:53.3,3
05,081,Arkansas,Little River County,11.2:13.6,3,5.2:6.2,3,7.0:6.6,3,76.6:73.6,3
05,083,Arkansas,Logan County,11.2:13.6,3,5.2:6.2,3,7.0:6.6,3,76.6:73.6,3
05,085,Arkansas,Lonoke County,6.1:9.4,2,2.2:3.7,2,6.0:4.6,2,85.7:82.3,2
05,087,Arkansas,Madison County,0.0:0.0,3,1.5:3.1,3,7.5:10.7,3,91.0:86.1,3
05,089,Arkansas,Marion County,0.0:0.0,3,1.5:3.1,3,7.5:10.7,3,91.0:86.1,3
05,091,Arkansas,Miller County,11.2:13.6,3,5.2:6.2,3,7.0:6.6,3,76.6:73.6,3
05,093,Arkansas,Mississippi County,32.0:48.8,3,2.7:2.2,3,2.5:3.8,3,62.9:45.2,3
05,095,Arkansas,Monroe County,4.6:9.9,3,2.8:2.3,3,5.8:5.8,3,86.8:82.0,3
05,097,Arkansas,Montgomery County,8.5:9.9,3,2.1:4.1,3,3.0:3.3,3,86.3:82.7,3
05,099,Arkansas,Nevada County,19.3:33.1,3,2.2:3.3,3,3.0:3.6,3,75.4:60.1,3
05,101,Arkansas,Newton County,0.0:0.0,3,1.5:3.1,3,7.5:10.7,3,91.0:86.1,3
05,103,Arkansas,Ouachita County,19.3:33.1,3,2.2:3.3,3,3.0:3.6,3,75.4:60.1,3
05,105,Arkansas,Perry County,5.9:9.2,3,3.4:3.0,3,5.2:4.6,3,85.5:83.3,3
05,107,Arkansas,Phillips County,32.0:48.8,3,2.7:2.2,3,2.5:3.8,3,62.9:45.2,3
05,109,Arkansas,Pike County,8.5:9.9,3,2.1:4.1,3,3.0:3.3,3,86.3:82.7,3
05,111,Arkansas,Poinsett County,2.7:13.1,3,2.0:3.8,3,2.8:6.5,3,92.6:76.6,3
05,113,Arkansas,Polk County,11.2:13.6,3,5.2:6.2,3,7.0:6.6,3,76.6:73.6,3
05,115,Arkansas,Pope County,4.6:4.0,2,6.1:8.1,2,3.4:4.7,2,85.9:83.2,2
05,117,Arkansas,Prairie County,4.6:9.9,3,2.8:2.3,3,5.8:5.8,3,86.8:82.0,3
05,119,Arkansas,Pulaski County,18.5:35.5,1,2.9:5.1,1,6.0:5.4,1,72.6:54.1,1
05,121,Arkansas,Randolph County,0.2:0.2,3,1.3:2.4,3,2.0:4.8,3,96.6:92.7,3
05,123,Arkansas,St. Francis County,32.0:48.8,3,2.7:2.2,3,2.5:3.8,3,62.9:45.2,3
05,125,Arkansas,Saline County,5.9:9.2,1,3.4:3.0,1,5.2:4.6,1,85.5:83.3,1
05,127,Arkansas,Scott County,11.2:13.6,3,5.2:6.2,3,7.0:6.6,3,76.6:73.6,3
05,129,Arkansas,Searcy County,0.0:0.0,3,1.5:3.1,3,7.5:10.7,3,91.0:86.1,3
05,131,Arkansas,Sebastian County,1.2:3.9,2,9.5:9.6,2,11.1:12.6,2,78.1:73.9,2
05,133,Arkansas,Sevier County,11.2:13.6,3,5.2:6.2,3,7.0:6.6,3,76.6:73.6,3
05,135,Arkansas,Sharp County,0.2:0.2,3,1.3:2.4,3,2.0:4.8,3,96.6:92.7,3
05,137,Arkansas,Stone County,0.4:0.8,3,4.0:4.2,3,5.1:5.5,3,90.6:89.5,3
05,139,Arkansas,Union County,19.3:33.1,3,2.2:3.3,3,3.0:3.6,3,75.4:60.1,3
05,141,Arkansas,Van Buren County,0.4:0.8,3,4.0:4.2,3,5.1:5.5,3,90.6:89.5,3
05,143,Arkansas,Washington County,0.4:2.5,1,7.1:12.9,1,14.3:15.8,1,78.1:68.7,1
05,145,Arkansas,White County,4.6:9.9,2,2.8:2.3,2,5.8:5.8,2,86.8:82.0,2
05,147,Arkansas,Woodruff County,4.6:9.9,3,2.8:2.3,3,5.8:5.8,3,86.8:82.0,3
05,149,Arkansas,Yell County,4.6:4.0,3,6.1:8.1,3,3.4:4.7,3,85.9:83.2,3
06,001,California,Alameda County,4.4:11.4,1,8.5:16.7,1,44.7:37.1,1,42.4:34.8,1
06,003,California,Alpine County,0.6:0.4,3,6.2:10.7,3,5.1:7.3,3,88.1:81.6,3
06,005,California,Amador County,0.6:0.4,3,6.2:10.7,3,5.1:7.3,3,88.1:81.6,3
06,007,California,Butte County,1.1:1.4,1,13.0:16.2,1,9.0:12.3,1,76.9:70.1,1
06,009,California,Calaveras County,0.6:0.4,3,6.2:10.7,3,5.1:7.3,3,88.1:81.6,3
06,011,California,Colusa County,0.2:0.1,3,20.7:23.4,3,6.1:7.9,3,73.0:68.6,3
06,013,California,Contra Costa County,4.1:9.0,1,12.9:20.6,1,25.1:23.0,1,58.0:47.4,1
06,015,California,Del Norte County,0.1:1.0,3,6.8:11.6,3,6.4:9.6,3,86.7:77.8,3
06,017,California,El Dorado County,0.7:0.7,1,5.8:9.3,1,10.0:9.4,1,83.5:80.6,1
06,019,California,Fresno County,3.2:5.7,1,35.7:47.5,1,16.2:12.9,1,44.9:34.0,1
06,021,California,Glenn County,0.2:0.1,3,20.7:23.4,3,6.1:7.9,3,73.0:68.6,3
06,023,California,Humboldt County,1.2:1.2,1,5.5:9.4,1,4.8:11.8,1,88.5:77.7,1
06,025,California,Imperial County,1.2:1.6,1,67.7:80.2,1,5.6:3.9,1,25.5:14.2,1
06,027,California,Inyo County,0.6:0.4,3,6.2:10.7,3,5.1:7.3,3,88.1:81.6,3
06,029,California,Kern County,2.8:4.7,1,38.8:47.1,1,12.6:8.7,1,45.8:39.4,1
06,031,California,Kings County,1.8:8.6,1,32.3:44.5,1,8.9:9.5,1,57.0:37.4,1
06,033,California,Lake County,0.1:1.0,2,18.2:17.2,2,5.1:9.0,2,76.5:72.8,2
06,035,California,Lassen County,0.1:1.0,3,6.8:11.6,3,6.4:9.6,3,86.7:77.8,3
06,037,California,Los Angeles County,5.2:8.9,1,24.8:39.2,1,22.5:19.5,1,47.5:32.4,1
06,039,California,Madera County,1.7:3.5,1,30.1:46.1,1,11.0:8.3,1,57.2:42.1,1
06,041,California,Marin County,0.8:1.5,1,2.9:9.9,1,10.0:10.8,1,86.4:77.8,1
06,043,California,Mariposa County,0.6:0.4,3,6.2:10.7,3,5.1:7.3,3,88.1:81.6,3
06,045,California,Mendocino County,0.1:1.0,2,18.2:17.2,2,5.1:9.0,2,76.5:72.8,2
06,047,California,Merced County,3.1:2.9,1,41.8:55.8,1,12.6:10.2,1,42.5:31.1,1
06,049,California,Modoc County,0.1:1.0,3,6.8:11.6,3,6.4:9.6,3,86.7:77.8,3
06,051,California,Mono County,0.6:0.4,3,6.2:10.7,3,5.1:7.3,3,88.1:81.6,3
06,053,California,Monterey County,1.1:2.3,1,25.0:45.9,1,10.4:11.1,1,63.5:40.6,1
06,055,California,Napa County,0.9:1.6,1,16.5:25.7,1,9.9:10.4,1,72.7:62.2,1
06,057,California,Nevada County,NA,NA,4.8:8.0,1,4.4:7.0,1,90.8:85.0,1
06,059,California,Orange County,0.5:1.6,1,12.6:25.4,1,29.1:25.8,1,57.7:47.2,1
06,061,California,Placer County,0.8:1.3,1,9.1:12.0,1,14.1:14.7,1,76.0:72.0,1
06,063,California,Plumas County,0.1:1.0,3,6.8:11.6,3,6.4:9.6,3,86.7:77.8,3
06,065,California,Riverside County,5.5:7.0,1,32.6:41.2,1,13.9:10.5,1,48.0:41.4,1
06,067,California,Sacramento County,6.6:9.1,1,13.5:18.5,1,22.8:22.2,1,57.1:50.2,1
06,069,California,San Benito County,0.3:2.3,2,48.9:62.2,2,7.7:6.5,2,43.1:28.9,2
06,071,California,San Bernardino County,5.4:8.7,1,38.1:47.1,1,15.9:12.4,1,40.6:31.9,1
06,073,California,San Diego County,2.6:4.6,1,17.0:27.4,1,17.3:16.8,1,63.1:51.2,1
06,075,California,San Francisco County,2.5:4.5,1,8.0:12.3,1,39.7:39.2,1,49.7:43.9,1
06,077,California,San Joaquin County,4.1:7.2,1,24.5:35.1,1,25.7:21.7,1,45.6:36.0,1
06,079,California,San Luis Obispo County,0.3:0.7,1,11.9:17.4,1,6.3:8.0,1,81.5:73.9,1
06,081,California,San Mateo County,1.2:2.0,1,9.7:18.5,1,36.3:35.1,1,52.8:44.5,1
06,083,California,Santa Barbara County,0.6:2.4,1,17.3:35.6,1,7.2:8.0,1,74.9:54.0,1
06,085,California,Santa Clara County,0.8:2.2,1,8.1:19.1,1,48.0:44.0,1,43.1:34.6,1
06,087,California,Santa Cruz County,0.4:0.8,1,11.9:24.4,1,8.3:8.2,1,79.4:66.7,1
06,089,California,Shasta County,NA:0.1,NA,6.1:9.9,1,6.1:9.9,1,87.9:80.1,1
06,091,California,Sierra County,NA,NA,4.8:8.0,3,4.4:7.0,3,90.8:85.0,3
06,093,California,Siskiyou County,0.1:1.0,3,6.8:11.6,3,6.4:9.6,3,86.7:77.8,3
06,095,California,Solano County,9.2:13.6,1,16.3:23.4,1,25.1:22.1,1,49.3:40.9,1
06,097,California,Sonoma County,0.4:1.4,1,11.1:20.0,1,9.8:9.6,1,78.7:69.0,1
06,099,California,Stanislaus County,1.7:2.7,1,29.4:40.0,1,11.8:10.7,1,57.1:46.6,1
06,101,California,Sutter County,2.9:3.9,2,14.4:21.5,2,17.0:16.4,2,65.7:58.2,2
06,103,California,Tehama County,0.2:0.1,2,20.7:23.4,2,6.1:7.9,2,73.0:68.6,2
06,105,California,Trinity County,0.2:0.1,3,20.7:23.4,3,6.1:7.9,3,73.0:68.6,3
06,107,California,Tulare County,0.7:1.8,1,43.1:56.1,1,9.1:6.5,1,47.0:35.5,1
06,109,California,Tuolumne County,0.6:0.4,3,6.2:10.7,3,5.1:7.3,3,88.1:81.6,3
06,111,California,Ventura County,1.4:1.8,1,17.9:31.4,1,13.6:12.1,1,67.2:54.7,1
06,113,California,Yolo County,0.3:2.0,1,20.9:26.1,1,18.1:18.4,1,60.7:53.6,1
06,115,California,Yuba County,2.9:3.9,2,14.4:21.5,2,17.0:16.4,2,65.7:58.2,2
08,001,Colorado,Adams County,2.6:4.1,1,24.2:31.6,1,7.3:7.7,1,65.8:56.6,1
08,003,Colorado,Alamosa County,0.1:0.4,3,32.8:38.0,3,5.6:6.9,3,61.5:54.7,3
08,005,Colorado,Arapahoe County,6.1:9.7,1,9.8:15.7,1,10.7:10.8,1,73.5:63.7,1
