year,state,place,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality
2014,06,30000,0.003:0.005,2,0.081:0.156,2,0.142:0.162,2,0.774:0.678,2
2014,06,32548,0.108:0.211,NA,0.397:0.487,NA,0.148:0.167,NA,0.347:0.135,NA
2014,06,33000,0.069:0.141,1,0.213:0.314,1,0.389:0.289,1,0.329:0.255,1
2014,06,33182,0.050:0.061,2,0.203:0.272,2,0.075:0.063,2,0.672:0.604,2
2014,06,33434,0.042:0.064,2,0.249:0.314,2,0.086:0.051,2,0.623:0.571,2
2014,06,36000,0.000:0.001,3,0.082:0.137,3,0.183:0.153,3,0.735:0.708,3
2014,06,36448,0.006:0.020,2,0.452:0.690,2,0.025:0.018,2,0.517:0.272,2
2014,06,36546,0.575:0.498,1,0.276:0.402,1,0.083:0.044,1,0.066:0.056,1
2014,06,36770,0.008:0.017,2,0.074:0.119,2,0.325:0.318,2,0.594:0.545,2
2014,06,37692,0.045:0.074,2,0.442:0.507,2,0.189:0.123,2,0.324:0.297,2
2014,06,39496,0.015:0.018,3,0.130:0.200,3,0.265:0.244,3,0.591:0.538,3
2014,06,39892,0.056:0.056,2,0.240:0.292,2,0.324:0.307,2,0.380:0.345,2
2014,06,40130,0.095:0.227,1,0.298:0.268,1,0.100:0.075,1,0.507:0.430,1
2014,06,41992,0.010:0.020,2,0.069:0.110,2,0.284:0.251,2,0.637:0.618,2
2014,06,43000,0.065:0.138,2,0.200:0.308,2,0.149:0.156,2,0.586:0.398,2
2014,06,44000,0.051:0.110,1,0.167:0.362,1,0.135:0.150,1,0.647:0.378,1
2014,06,45484,0.018:0.035,3,0.210:0.299,3,0.225:0.190,3,0.547:0.476,3
2014,06,46842,0.059:0.057,2,0.236:0.306,2,0.103:0.076,2,0.601:0.561,2
2014,06,46898,0.025:0.055,2,0.257:0.419,2,0.109:0.102,2,0.610:0.424,2
2014,06,47766,0.016:0.015,2,0.085:0.121,2,0.713:0.689,2,0.186:0.175,2
2014,06,48256,0.010:0.015,1,0.110:0.133,1,0.124:0.114,1,0.756:0.738,1
2014,06,48354,0.025:0.027,1,0.181:0.296,1,0.114:0.105,1,0.680:0.571,1
2014,06,49270,0.166:0.201,1,0.384:0.449,1,0.140:0.098,1,0.310:0.253,1
2014,06,49670,0.000:0.022,2,0.033:0.088,2,0.295:0.308,2,0.672:0.582,2
2014,06,50076,0.048:0.086,2,0.171:0.209,2,0.090:0.090,2,0.691:0.615,2
2014,06,50258,0.017:0.039,2,0.103:0.255,2,0.054:0.069,2,0.826:0.637,2
2014,06,51182,0.001:0.010,3,0.031:0.088,3,0.153:0.152,3,0.815:0.751,3
2014,06,52526,0.032:0.056,1,0.653:0.623,1,0.138:0.162,1,0.177:0.159,1
2014,06,53000,0.170:0.272,3,0.063:0.166,3,0.190:0.198,3,0.577:0.364,3
2014,06,53322,0.031:0.054,2,0.196:0.237,2,0.092:0.074,2,0.680:0.635,2
2014,06,53896,0.053:0.072,1,0.567:0.608,1,0.104:0.085,1,0.276:0.235,1
2014,06,53980,0.007:0.013,2,0.129:0.269,2,0.186:0.137,2,0.678:0.581,2
2014,06,54652,0.033:0.034,1,0.373:0.546,1,0.114:0.088,1,0.481:0.332,1
2014,06,55156,0.085:0.134,1,0.381:0.450,1,0.092:0.075,1,0.443:0.341,1
2014,06,56000,0.043:0.084,3,0.110:0.235,3,0.219:0.227,3,0.628:0.453,3
2014,06,56700,0.054:0.096,2,0.450:0.556,2,0.042:0.045,2,0.454:0.304,2
2014,06,57456,0.078:0.120,2,0.225:0.261,2,0.201:0.202,2,0.496:0.417,2
2014,06,57792,0.010:0.020,3,0.069:0.110,3,0.284:0.251,3,0.637:0.618,3
2014,06,58072,0.081:0.076,1,0.519:0.627,1,0.205:0.124,1,0.195:0.173,1
2014,06,59444,0.044:0.093,2,0.071:0.133,2,0.173:0.139,2,0.712:0.634,2
2014,06,59451,0.069:0.082,1,0.262:0.296,1,0.186:0.155,1,0.483:0.466,1
2014,06,59920,NA:0.008,NA,0.034:0.063,2,0.056:0.062,2,0.910:0.867,2
2014,06,60102,0.010:0.024,2,0.073:0.180,2,0.166:0.183,2,0.751:0.613,2
2014,06,60466,0.124:0.125,2,0.605:0.617,2,0.110:0.079,2,0.161:0.179,2
2014,06,60620,0.109:0.213,2,0.195:0.319,2,0.280:0.225,2,0.416:0.244,2
2014,06,62000,0.053:0.069,2,0.310:0.412,2,0.114:0.105,2,0.523:0.414,2
2014,06,62938,0.018:0.016,1,0.075:0.099,1,0.145:0.101,1,0.763:0.784,1
2014,06,64000,0.057:0.143,2,0.157:0.204,2,0.219:0.216,2,0.567:0.436,2
2014,06,64224,NA:0.015,NA,0.465:0.620,1,0.103:0.077,1,0.432:0.289,1
2014,06,65000,0.124:0.140,3,0.410:0.537,3,0.074:0.060,3,0.392:0.263,3
2014,06,65042,0.027:0.015,NA,0.137:0.276,NA,0.047:0.064,NA,0.790:0.645,NA
2014,06,66000,0.026:0.062,1,0.102:0.225,1,0.163:0.167,1,0.710:0.547,1
2014,06,67000,0.018:0.046,2,0.067:0.120,2,0.346:0.330,2,0.569:0.504,2
2014,06,68000,0.013:0.034,1,0.138:0.252,1,0.374:0.346,1,0.475:0.368,1
2014,06,68084,0.033:0.101,2,0.071:0.175,2,0.315:0.286,2,0.581:0.438,2
2014,06,68196,0.017:0.027,2,0.130:0.218,2,0.148:0.107,2,0.706:0.648,2
2014,06,68252,0.001:0.014,2,0.062:0.127,2,0.259:0.278,2,0.677:0.581,2
2014,06,68378,0.008:0.027,2,0.041:0.042,2,0.314:0.320,2,0.637:0.610,2
2014,06,69000,0.005:0.010,2,0.517:0.649,2,0.194:0.167,2,0.283:0.174,2
2014,06,69070,0.005:0.007,2,0.075:0.226,2,0.047:0.077,2,0.872:0.690,2
2014,06,69084,0.015:0.031,1,0.044:0.113,1,0.402:0.415,1,0.539:0.441,1
2014,06,69088,0.033:0.057,1,0.192:0.257,1,0.170:0.142,1,0.606:0.544,1
2014,06,69196,0.005:0.022,2,0.298:0.478,2,0.064:0.060,2,0.633:0.441,2
2014,06,70000,0.007:0.027,3,0.094:0.129,3,0.078:0.109,3,0.821:0.734,3
2014,06,70098,0.006:0.009,1,0.085:0.188,1,0.053:0.086,1,0.856:0.717,1
2014,06,72016,0.005:0.008,1,0.169:0.214,1,0.121:0.111,1,0.705:0.667,1
2014,06,73080,0.047:0.057,2,0.871:0.881,2,0.012:0.008,2,0.070:0.053,2
2014,06,75000,0.056:0.139,3,0.212:0.333,3,0.238:0.196,3,0.493:0.332,3
2014,06,77000,0.001:0.014,3,0.062:0.143,3,0.400:0.440,3,0.537:0.403,3
2014,06,78120,0.031:0.035,1,0.123:0.168,1,0.107:0.109,1,0.740:0.688,1
2014,06,78582,0.005:0.006,1,0.052:0.097,1,0.123:0.110,1,0.820:0.788,1
2014,06,80000,0.019:0.028,2,0.060:0.112,2,0.344:0.341,2,0.578:0.519,2
2014,06,80238,0.018:0.035,2,0.210:0.299,2,0.226:0.190,2,0.546:0.476,2
2014,06,80854,0.015:0.018,3,0.130:0.201,3,0.267:0.247,3,0.588:0.534,3
2014,06,81344,0.037:0.068,2,0.232:0.396,2,0.101:0.092,2,0.630:0.445,2
2014,06,81554,0.091:0.071,NA,0.124:0.199,NA,0.114:0.095,NA,0.670:0.635,NA
2014,06,81666,0.152:0.220,1,0.127:0.166,1,0.227:0.213,1,0.494:0.402,1
2014,06,82590,0.139:0.184,2,0.365:0.443,2,0.153:0.074,2,0.342:0.299,2
2014,06,82954,0.010:0.022,1,0.297:0.387,1,0.124:0.062,1,0.568:0.529,1
2014,06,82996,0.015:0.025,2,0.188:0.306,2,0.048:0.068,2,0.749:0.601,2
2014,06,84200,0.064:0.054,2,0.385:0.511,2,0.322:0.268,2,0.229:0.167,2
2014,06,84550,0.006:0.014,2,0.140:0.209,2,0.327:0.377,2,0.528:0.401,2
2014,06,85292,0.004:0.010,2,0.453:0.536,2,0.252:0.180,2,0.292:0.274,2
2014,08,03455,0.003:0.003,1,0.063:0.105,1,0.041:0.031,1,0.893:0.861,1
2014,08,04000,0.117:0.144,3,0.096:0.199,3,0.060:0.074,3,0.727:0.583,3
2014,08,07850,NA:0.019,NA,0.040:0.062,2,0.035:0.073,2,0.925:0.847,2
2014,08,12815,0.024:0.033,2,0.037:0.072,2,0.053:0.060,2,0.886:0.834,2
2014,08,16000,0.022:0.047,3,0.060:0.124,3,0.058:0.058,3,0.860:0.771,3
2014,08,20000,0.032:0.090,1,0.125:0.224,1,0.032:0.058,1,0.810:0.629,1
2014,08,27425,0.000:0.002,2,0.053:0.103,2,0.031:0.035,2,0.915:0.861,2
2014,08,32155,NA:0.007,NA,0.129:0.243,2,0.024:0.026,2,0.847:0.724,2
2014,08,43000,0.002:0.017,3,0.083:0.143,3,0.034:0.039,3,0.881:0.801,3
2014,08,45970,0.002:0.018,2,0.064:0.134,2,0.039:0.057,2,0.895:0.791,2
2014,08,46465,NA,NA,0.012:0.042,2,0.029:0.035,2,0.959:0.922,2
2014,08,62000,0.005:0.010,3,0.273:0.388,3,0.020:0.018,3,0.702:0.584,3
2014,08,77290,0.006:0.008,2,0.268:0.341,2,0.065:0.063,2,0.661:0.588,2
2014,08,83835,0.020:0.014,2,0.110:0.178,2,0.058:0.056,2,0.811:0.752,2
2014,09,08000,0.436:0.336,1,0.203:0.352,1,0.042:0.057,1,0.319:0.255,1
2014,09,18430,0.025:0.031,2,0.040:0.132,2,0.063:0.067,2,0.872:0.771,2
2014,09,37000,0.331:0.337,3,0.264:0.427,3,0.032:0.062,3,0.373:0.174,3
2014,09,52000,0.245:0.336,1,0.099:0.219,1,0.102:0.081,1,0.554:0.364,1
2014,09,55990,0.016:0.097,2,0.051:0.129,2,0.027:0.057,2,0.906:0.718,2
2014,09,73000,0.028:0.098,3,0.059:0.155,3,0.045:0.093,3,0.868:0.654,3
2014,09,80000,0.114:0.172,2,0.171:0.324,2,0.030:0.046,2,0.684:0.458,2
2014,11,50000,0.269:0.449,1,0.050:0.078,1,0.048:0.060,1,0.633:0.413,1
2014,12,07300,0.002:0.036,2,0.078:0.112,2,0.031:0.033,2,0.889:0.819,2
2014,12,07875,0.042:0.134,2,0.059:0.095,2,0.022:0.029,2,0.877:0.742,2
2014,12,10275,0.026:0.046,1,0.090:0.150,1,0.021:0.012,1,0.863:0.793,1
2014,12,12875,0.023:0.086,2,0.027:0.095,2,0.032:0.035,2,0.918:0.784,2
2014,12,14400,0.051:0.149,1,0.131:0.194,1,0.089:0.096,1,0.728:0.561,1
2014,12,16475,0.025:0.061,2,0.217:0.288,2,0.057:0.048,2,0.700:0.602,2
2014,12,16725,0.050:0.144,2,0.143:0.135,2,0.046:0.041,2,0.761:0.679,2
2014,12,17200,0.102:0.101,2,0.113:0.171,2,0.046:0.027,2,0.738:0.701,2
2014,12,17935,0.008:0.006,2,0.795:0.878,2,0.060:0.040,2,0.137:0.076,2
2014,12,24000,0.047:0.235,3,0.140:0.166,3,0.024:0.025,3,0.789:0.574,3
2014,12,24125,0.028:0.138,2,0.047:0.142,2,0.052:0.033,2,0.873:0.687,2
2014,12,25175,0.120:0.195,1,0.062:0.078,1,0.054:0.089,1,0.764:0.638,1
2014,12,30000,0.031:0.030,2,0.921:0.943,2,0.007:0.003,2,0.041:0.023,2
2014,12,32000,0.078:0.174,2,0.206:0.276,2,0.042:0.054,2,0.675:0.496,2
2014,12,32275,0.034:0.144,3,0.279:0.532,3,0.018:0.013,3,0.669:0.312,3
2014,12,35000,0.130:0.288,3,0.038:0.064,3,0.050:0.056,3,0.781:0.591,3
2014,12,36950,0.091:0.115,2,0.399:0.473,2,0.038:0.037,2,0.472:0.374,2
2014,12,38250,0.088:0.146,2,0.075:0.114,2,0.026:0.033,2,0.810:0.707,2
2014,12,39425,0.025:0.060,2,0.053:0.084,2,0.028:0.036,2,0.894:0.821,2
2014,12,43975,0.030:0.051,2,0.060:0.070,2,0.057:0.052,2,0.853:0.828,2
2014,12,45000,0.038:0.148,2,0.571:0.695,2,0.040:0.020,2,0.352:0.137,2
2014,12,45025,0.020:0.059,2,0.272:0.432,2,0.016:0.034,2,0.693:0.476,2
2014,12,45060,0.573:0.572,2,0.308:0.350,2,0.029:0.027,2,0.090:0.051,2
2014,12,45975,0.275:0.307,2,0.341:0.358,2,0.073:0.056,2,0.311:0.279,2
2014,12,49675,0.018:0.023,3,0.053:0.030,3,0.029:0.015,3,0.899:0.933,3
2014,12,53000,0.071:0.228,3,0.134:0.255,3,0.056:0.057,3,0.740:0.460,3
2014,12,54000,0.114:0.181,1,0.138:0.122,1,0.019:0.033,1,0.729:0.664,1
2014,12,54200,0.066:0.095,2,0.037:0.048,2,0.019:0.017,2,0.878:0.841,2
2014,12,55775,0.147:0.170,2,0.340:0.383,2,0.068:0.064,2,0.446:0.383,2
2014,12,57425,0.159:0.241,2,0.163:0.223,2,0.035:0.054,2,0.643:0.483,2
2014,12,58050,0.029:0.155,2,0.080:0.102,2,0.012:0.023,2,0.879:0.720,2
2014,12,58715,0.125:0.149,1,0.107:0.143,1,0.035:0.030,1,0.733:0.678,1
2014,12,63000,0.060:0.177,3,0.030:0.052,3,0.022:0.035,3,0.888:0.736,3
2014,12,69700,0.152:0.233,2,0.179:0.231,2,0.038:0.054,2,0.632:0.483,2
2014,12,70600,0.143:0.339,1,0.050:0.063,1,0.041:0.045,1,0.766:0.554,1
2014,12,71000,0.067:0.228,2,0.133:0.213,2,0.056:0.046,2,0.744:0.514,2
2014,12,76600,0.091:0.263,2,0.080:0.230,2,0.017:0.035,2,0.812:0.472,2
2014,13,03440,0.117:0.278,2,0.019:0.079,2,0.030:0.031,2,0.833:0.612,2
2014,13,04000,0.129:0.464,3,0.021:0.038,3,0.032:0.049,3,0.818:0.448,3
2014,13,04204,0.382:0.539,1,0.028:0.032,1,0.033:0.036,1,0.558:0.393,1
2014,13,19000,0.261:0.440,3,0.029:0.052,3,0.031:0.053,3,0.680:0.454,3
2014,13,42425,0.025:0.094,2,0.015:0.048,2,0.228:0.224,2,0.731:0.633,2
2014,13,49008,0.249:0.504,1,0.021:0.021,1,0.014:0.027,1,0.715:0.448,1
2014,13,67284,0.030:0.120,2,0.016:0.083,2,0.069:0.093,2,0.884:0.705,2
2014,13,68516,0.014:0.206,1,0.044:0.065,1,0.074:0.097,1,0.868:0.631,1
2014,13,69000,0.228:0.472,3,0.049:0.036,3,0.040:0.027,3,0.682:0.465,3
2014,13,80508,0.145:0.285,2,0.031:0.053,2,0.067:0.043,2,0.757:0.618,2
2014,15,71550,0.002:0.023,1,0.019:0.041,1,0.773:0.717,1,0.206:0.218,1
2014,16,08830,0.012:0.012,2,0.020:0.061,2,0.037:0.052,2,0.931:0.875,2
2014,16,52120,NA,NA,0.041:0.071,3,0.055:0.037,3,0.905:0.891,3
2014,16,56260,NA,NA,0.068:0.130,2,0.034:0.027,2,0.898:0.843,2
2014,17,02154,0.005:0.021,3,0.061:0.115,3,0.083:0.115,3,0.852:0.750,3
2014,17,03012,0.044:0.090,2,0.197:0.304,2,0.097:0.072,2,0.661:0.534,2
2014,17,06613,0.026:0.072,2,0.023:0.036,2,0.041:0.061,2,0.911:0.831,2
2014,17,12385,0.056:0.120,3,0.013:0.042,3,0.087:0.121,3,0.845:0.717,3
2014,17,14000,0.133:0.307,1,0.144:0.215,1,0.086:0.075,1,0.637:0.403,1
2014,17,14351,0.070:0.109,2,0.277:0.462,2,0.030:0.038,2,0.623:0.391,2
2014,17,23074,0.020:0.035,2,0.157:0.251,2,0.090:0.076,2,0.733:0.638,2
2014,17,24582,0.058:0.114,2,0.033:0.062,2,0.143:0.167,2,0.766:0.657,2
2014,17,38570,0.060:0.160,2,0.133:0.169,2,0.024:0.037,2,0.782:0.635,2
2014,17,51622,0.049:0.092,2,0.048:0.095,2,0.150:0.132,2,0.753:0.681,2
2014,17,59000,0.057:0.136,3,0.030:0.028,3,0.059:0.057,3,0.855:0.779,3
2014,17,65000,0.050:0.149,3,0.038:0.090,3,0.039:0.042,3,0.873:0.719,3
2014,17,68003,0.015:0.041,2,0.051:0.119,2,0.159:0.151,2,0.774:0.690,2
2014,17,72000,0.026:0.120,2,0.027:0.023,2,0.014:0.023,2,0.933:0.833,2
2014,17,79293,0.065:0.204,2,0.170:0.307,2,0.074:0.060,2,0.692:0.429,2
2014,18,05860,0.004:0.032,2,0.009:0.025,2,0.033:0.068,2,0.955:0.875,2
2014,18,10342,0.022:0.033,2,0.013:0.019,2,0.093:0.089,2,0.873:0.859,2
2014,18,22000,0.021:0.076,3,0.003:0.013,3,0.028:0.031,3,0.948:0.880,3
2014,18,23278,0.022:0.043,2,0.009:0.015,2,0.082:0.074,2,0.887:0.868,2
2014,18,25000,0.040:0.137,1,0.041:0.061,1,0.061:0.041,1,0.858:0.762,1
2014,18,31000,0.093:0.238,3,0.374:0.360,3,0.008:0.007,3,0.525:0.394,3
2014,18,36003,0.128:0.270,1,0.025:0.065,1,0.045:0.040,1,0.802:0.625,1
2014,18,71000,0.062:0.243,3,0.080:0.081,3,0.038:0.042,3,0.821:0.634,3
2014,19,12000,0.019:0.045,3,0.052:0.025,3,0.013:0.025,3,0.916:0.905,3
2014,19,19000,0.030:0.064,3,0.029:0.042,3,0.016:0.032,3,0.926:0.862,3
2014,19,21000,0.059:0.107,3,0.042:0.082,3,0.059:0.062,3,0.839:0.749,3
2014,19,73335,0.002:0.022,2,0.032:0.094,2,0.014:0.037,2,0.952:0.847,2
2014,20,36000,0.159:0.251,3,0.131:0.198,3,0.048:0.066,3,0.662:0.485,3
2014,20,38900,0.011:0.044,1,0.009:0.030,1,0.033:0.083,1,0.947:0.843,1
2014,20,52575,0.024:0.029,2,0.033:0.071,2,0.041:0.063,2,0.902:0.838,2
2014,20,53775,0.011:0.043,2,0.016:0.038,2,0.050:0.057,2,0.923:0.863,2
2014,20,71000,0.047:0.112,3,0.044:0.070,3,0.046:0.053,3,0.862:0.765,3
2014,20,79000,0.024:0.083,2,0.054:0.098,2,0.045:0.053,2,0.877:0.767,2
2014,21,46027,0.051:0.145,1,0.022:0.047,1,0.037:0.050,1,0.890:0.758,1
2014,21,48006,0.062:0.152,2,0.021:0.045,2,0.032:0.040,2,0.885:0.763,2
2014,22,05000,0.203:0.461,3,0.031:0.048,3,0.020:0.028,3,0.746:0.462,3
2014,22,40735,0.102:0.233,2,0.009:0.033,2,0.016:0.017,2,0.873:0.718,2
2014,22,41155,0.181:0.286,2,0.014:0.048,2,0.017:0.034,2,0.788:0.632,2
2014,22,55000,0.303:0.557,3,0.047:0.058,3,0.031:0.037,3,0.619:0.348,3
2014,22,70000,0.255:0.460,3,0.017:0.018,3,0.020:0.017,3,0.709:0.505,3
2014,24,04000,0.345:0.598,2,0.021:0.032,2,0.037:0.043,2,0.597:0.327,2
2014,24,30325,0.077:0.116,2,0.032:0.080,2,0.096:0.091,2,0.795:0.713,2
2014,25,07000,0.115:0.200,2,0.050:0.151,2,0.073:0.115,2,0.762:0.535,2
2014,25,09000,0.123:0.273,2,0.027:0.081,2,0.090:0.064,2,0.760:0.582,2
2014,25,11000,0.045:0.107,3,0.023:0.061,3,0.069:0.144,3,0.863:0.687,3
2014,25,23000,0.022:0.039,2,0.006:0.056,2,0.058:0.060,2,0.914:0.845,2
2014,25,34550,0.007:0.019,2,0.166:0.382,2,0.018:0.041,2,0.809:0.559,2
2014,25,37000,0.012:0.057,3,0.094:0.185,3,0.171:0.148,3,0.722:0.610,3
2014,25,37490,0.071:0.101,1,0.066:0.258,1,0.049:0.070,1,0.815:0.571,1
2014,25,45000,0.035:0.067,3,0.029:0.130,3,0.023:0.064,3,0.912:0.739,3
2014,25,45560,0.025:0.033,2,0.033:0.070,2,0.141:0.149,2,0.801:0.748,2
2014,25,55745,0.047:0.070,1,0.027:0.027,1,0.168:0.187,1,0.758:0.715,1
2014,25,62535,0.043:0.076,2,0.068:0.085,2,0.090:0.106,2,0.799:0.732,2
2014,25,67000,0.204:0.195,3,0.133:0.381,3,0.035:0.022,3,0.628:0.403,3
2014,25,82000,0.055:0.098,3,0.041:0.202,3,0.087:0.077,3,0.817:0.623,3
2014,26,03000,0.016:0.059,3,0.036:0.031,3,0.079:0.170,3,0.869:0.740,3
2014,26,21000,0.014:0.072,3,0.047:0.039,3,0.021:0.040,3,0.919:0.849,3
2014,26,22000,0.659:0.800,1,0.045:0.049,1,0.036:0.030,1,0.261:0.121,1
2014,26,27440,0.286:0.411,2,0.015:0.013,2,0.108:0.082,2,0.591:0.494,2
2014,26,29000,0.436:0.487,3,0.041:0.040,3,0.025:0.024,3,0.498:0.449,3
2014,26,34000,0.119:0.207,1,0.037:0.094,1,0.065:0.041,1,0.779:0.658,1
2014,26,46000,0.130:0.178,3,0.085:0.088,3,0.036:0.078,3,0.749:0.656,3
2014,26,49000,0.072:0.112,2,0.015:0.025,2,0.031:0.025,2,0.882:0.838,2
2014,26,69035,0.035:0.042,2,0.011:0.014,2,0.151:0.151,2,0.803:0.792,2
2014,26,74900,0.286:0.411,2,0.015:0.013,2,0.108:0.082,2,0.591:0.494,2
2014,26,76460,0.007:0.047,1,0.025:0.022,1,0.069:0.083,1,0.898:0.848,1
