year,state,place,subgroup,share_meps20,share_meps20_quality
2019,1,35896,Other Races and Ethnicities,0,1
2016,1,51000,"White, Non-Hispanic",45.142662,1
2020,1,50000,"White, Non-Hispanic",36.845974,1
2020,1,37000,Other Races and Ethnicities,20.680958,1
2018,1,3076,"White, Non-Hispanic",0,1
2020,1,7000,All,77.555031,1
2016,1,77256,Other Races and Ethnicities,32.932693,1
2016,1,3076,Hispanic,0,1
2017,1,37000,Hispanic,50.03228,1
2020,1,35896,Other Races and Ethnicities,0,1
2018,1,50000,Hispanic,67.4674,1
2016,1,3076,"White, Non-Hispanic",0,1
2019,1,3076,Hispanic,0,1
2017,1,3076,Other Races and Ethnicities,0,1
2019,1,3076,Other Races and Ethnicities,0,1
2016,1,50000,All,71.851112,1
2018,1,37000,All,34.638927,1
2019,1,77256,"White, Non-Hispanic",8.7305984,1
2020,1,7000,"Black, Non-Hispanic",91.646347,1
2017,1,50000,Other Races and Ethnicities,59.574467,1
2018,1,35896,"White, Non-Hispanic",0,1
2019,1,51000,Hispanic,88.949127,1
2016,1,35896,Hispanic,0,1
2017,1,51000,Hispanic,88.53717,1
2017,1,7000,Hispanic,75.203583,1
2019,1,50000,Other Races and Ethnicities,44.730812,1
2017,1,51000,All,75.22644,1
2017,1,3076,All,0,1
2018,1,3076,Other Races and Ethnicities,0,1
2018,1,51000,Hispanic,87.202515,1
2018,1,7000,Hispanic,74.661507,1
2017,1,3076,"White, Non-Hispanic",0,1
2018,1,51000,"Black, Non-Hispanic",79.346573,1
2019,1,7000,Hispanic,74.27459,1
2017,1,37000,Other Races and Ethnicities,26.594414,1
2019,1,51000,"White, Non-Hispanic",38.171326,1
2016,1,77256,"Black, Non-Hispanic",64.893761,1
2018,1,3076,All,0,1
2019,1,35896,"Black, Non-Hispanic",0,1
2017,1,37000,All,34.625294,1
2016,1,37000,Hispanic,49.733688,1
2020,1,3076,Hispanic,0,1
2018,1,37000,"Black, Non-Hispanic",54.209019,1
2019,1,51000,All,74.084419,1
2019,1,37000,All,31.127253,1
2020,1,50000,All,59.838299,1
2018,1,77256,Hispanic,66.179161,1
2018,1,3076,"Black, Non-Hispanic",0,1
2016,1,7000,All,77.30365,1
2019,1,51000,Other Races and Ethnicities,18.859316,1
2018,2,3000,"White, Non-Hispanic",20.388893,1
2019,2,3000,"Black, Non-Hispanic",28.946016,1
2016,2,3000,"Black, Non-Hispanic",50.062527,1
2020,2,3000,Other Races and Ethnicities,25.643139,1
2018,2,3000,All,26.883858,1
2016,2,3000,"White, Non-Hispanic",15.004916,1
2018,2,3000,Hispanic,27.52784,1
2019,2,3000,Other Races and Ethnicities,24.183584,1
2019,2,3000,Hispanic,19.115393,1
2018,2,3000,Other Races and Ethnicities,31.175421,1
2016,2,3000,Other Races and Ethnicities,39.908485,1
2016,2,3000,All,30.875019,1
2020,2,3000,"White, Non-Hispanic",5.4351053,1
2018,2,3000,"Black, Non-Hispanic",33.333332,1
2017,2,3000,All,50.807545,1
2020,2,3000,All,17.766415,1
2017,2,3000,Hispanic,60.498917,1
2017,2,3000,Other Races and Ethnicities,62.746605,1
2017,2,3000,"White, Non-Hispanic",29.87764,1
2020,2,3000,"Black, Non-Hispanic",31.59627,1
2019,2,3000,All,16.889336,1
2016,2,3000,Hispanic,37.715015,1
2019,2,3000,"White, Non-Hispanic",5.2157388,1
2017,2,3000,"Black, Non-Hispanic",73.324211,1
2020,2,3000,Hispanic,19.412724,1
2019,4,77000,All,48.713306,1
2018,4,23620,Hispanic,19.579082,1
2020,4,71510,"White, Non-Hispanic",1.2661124,1
2018,4,4720,Other Races and Ethnicities,29.108749,1
2018,4,77000,"Black, Non-Hispanic",62.703793,1
2017,4,28380,Hispanic,21.108742,1
2019,4,27400,All,0,1
2020,4,46000,Hispanic,16.504253,1
2020,4,73000,"Black, Non-Hispanic",22.018042,1
2017,4,46000,All,38.129078,1
2016,4,54050,"Black, Non-Hispanic",51.385929,1
2018,4,27400,Other Races and Ethnicities,0,1
2017,4,4720,"Black, Non-Hispanic",48.80497,1
2017,4,85540,"White, Non-Hispanic",42.311092,1
2016,4,71510,All,12.035302,1
2016,4,7940,Hispanic,39.102795,1
2016,4,54050,All,31.926489,1
2016,4,65000,"White, Non-Hispanic",3.6470387,1
2019,4,28380,All,2.7066002,1
2016,4,4720,"White, Non-Hispanic",45.303356,1
2017,4,85540,All,61.361351,1
2020,4,23620,"Black, Non-Hispanic",10,1
2020,4,65000,"Black, Non-Hispanic",0,1
2017,4,65000,Hispanic,17.959257,1
2016,4,27820,"White, Non-Hispanic",24.487206,1
2020,4,27400,"Black, Non-Hispanic",0,1
2020,4,23620,Other Races and Ethnicities,15.885886,1
2020,4,23620,"White, Non-Hispanic",2.2160149,1
2016,4,27820,Other Races and Ethnicities,42.774796,1
2016,4,73000,Hispanic,41.444088,1
2016,4,77000,Other Races and Ethnicities,50.663528,1
2019,4,73000,Hispanic,23.083145,1
2019,4,55000,"White, Non-Hispanic",21.043638,1
2020,4,65000,All,0,1
2019,4,28380,"White, Non-Hispanic",.56674123,1
2017,4,23620,All,14.506222,1
2018,4,65000,"White, Non-Hispanic",1.7822309,1
2019,4,55000,"Black, Non-Hispanic",68.231392,1
2016,4,27820,Hispanic,66.735992,1
2019,4,27820,All,44.250214,1
2018,4,27400,"White, Non-Hispanic",0,1
2019,4,12000,Other Races and Ethnicities,3.1781023,1
2018,4,54050,All,27.999041,1
2018,4,46000,Hispanic,42.782459,1
2019,4,46000,"Black, Non-Hispanic",35.425049,1
2020,4,4720,Hispanic,12.021732,1
2018,4,28380,Other Races and Ethnicities,3.1862745,1
2018,4,46000,All,27.937702,1
2019,4,65000,"White, Non-Hispanic",1.2490418,1
2019,4,7940,Other Races and Ethnicities,34.479935,1
2018,4,71510,"Black, Non-Hispanic",8.2234774,1
2019,4,55000,All,60.223557,1
2018,4,46000,"White, Non-Hispanic",13.009923,1
2018,4,23620,"Black, Non-Hispanic",18.348623,1
2017,4,73000,Other Races and Ethnicities,30.789614,1
2016,4,54050,Hispanic,57.205994,1
2019,4,23620,"Black, Non-Hispanic",17.525774,1
2016,4,27820,"Black, Non-Hispanic",65.009468,1
2019,4,54050,"Black, Non-Hispanic",29.20682,1
2017,4,46000,Hispanic,57.071938,1
2019,4,7940,Hispanic,48.411907,1
2018,4,85540,Other Races and Ethnicities,55.125,1
2016,4,7940,All,29.987839,1
2020,4,55000,Hispanic,44.368168,1
2020,4,54050,Hispanic,19.650656,1
2018,4,7940,"White, Non-Hispanic",26.498951,1
2020,4,46000,All,10.419044,1
2017,4,27820,Hispanic,47.227257,1
2019,4,28380,Other Races and Ethnicities,1.1031439,1
2020,4,7940,"White, Non-Hispanic",2.7031324,1
2016,4,4720,Hispanic,62.926311,1
2019,4,27400,"Black, Non-Hispanic",0,1
2016,4,65000,"Black, Non-Hispanic",22.845276,1
2019,4,27400,Other Races and Ethnicities,0,1
2019,4,85540,Hispanic,60.458881,1
2020,4,28380,All,2.5053606,1
2020,4,73000,Other Races and Ethnicities,12.897978,1
2016,4,12000,All,7.5600729,1
2018,4,71510,Hispanic,11.115538,1
2017,4,46000,"Black, Non-Hispanic",51.027985,1
2017,4,71510,All,8.4521093,1
2018,4,65000,"Black, Non-Hispanic",14.085821,1
2018,4,12000,"Black, Non-Hispanic",11.657143,1
2016,4,23620,Other Races and Ethnicities,33.800243,1
2016,4,55000,Hispanic,74.503212,1
2016,4,85540,Other Races and Ethnicities,58.433735,1
2016,4,85540,"White, Non-Hispanic",51.118076,1
2019,4,85540,"White, Non-Hispanic",37.056427,1
2016,4,65000,Other Races and Ethnicities,10.935921,1
2020,4,54050,"Black, Non-Hispanic",15.740121,1
2017,4,7940,Hispanic,34.724945,1
2020,4,55000,Other Races and Ethnicities,16.819893,1
2016,4,46000,Hispanic,62.21167,1
2019,4,55000,Hispanic,77.388588,1
2016,4,12000,Hispanic,18.688738,1
2019,4,12000,Hispanic,13.473187,1
2019,4,77000,Other Races and Ethnicities,40.894112,1
2016,4,27400,All,1.0936286,1
2020,4,7940,Hispanic,5.9960551,1
2017,4,73000,"Black, Non-Hispanic",39.615517,1
2020,4,27400,Other Races and Ethnicities,0,1
2017,4,23620,"Black, Non-Hispanic",18.446602,1
2016,4,23620,"White, Non-Hispanic",9.3012123,1
2016,4,4720,All,59.907467,1
2020,4,85540,Other Races and Ethnicities,21.701603,1
2017,4,65000,All,5.7426786,1
2020,4,27820,"Black, Non-Hispanic",24.139463,1
2016,4,85540,All,55.397827,1
2018,4,54050,"White, Non-Hispanic",15.043384,1
2017,4,71510,Hispanic,13.348384,1
2019,4,71510,Hispanic,8.2268581,1
2016,4,7940,"White, Non-Hispanic",20.504593,1
2018,4,65000,Other Races and Ethnicities,8.1986141,1
2016,4,73000,Other Races and Ethnicities,34.936779,1
2017,4,77000,"Black, Non-Hispanic",58.983936,1
2018,4,7940,Other Races and Ethnicities,34.646374,1
2019,4,65000,All,4.5645924,1
2016,4,7940,"Black, Non-Hispanic",26.99115,1
2017,4,85540,Other Races and Ethnicities,55.384617,1
2018,4,71510,"White, Non-Hispanic",3.4462574,1
2016,4,54050,"White, Non-Hispanic",18.601274,1
2016,4,4720,"Black, Non-Hispanic",68.158264,1
2016,4,23620,Hispanic,35.57505,1
2020,4,4720,"Black, Non-Hispanic",10.269445,1
2018,4,55000,"Black, Non-Hispanic",71.007942,1
2018,4,27820,Other Races and Ethnicities,39.904762,1
2020,4,7940,All,4.7322412,1
2017,4,27400,"White, Non-Hispanic",0,1
2019,4,73000,"Black, Non-Hispanic",28.189594,1
2019,4,71510,All,3.8509853,1
2017,4,46000,Other Races and Ethnicities,43.313026,1
2018,4,23620,Other Races and Ethnicities,24.934763,1
2018,4,73000,Hispanic,35.210583,1
2019,4,23620,"White, Non-Hispanic",3.4939559,1
2020,4,77000,Other Races and Ethnicities,32.380577,1
2018,4,28380,"White, Non-Hispanic",3.5849652,1
2017,4,23620,"White, Non-Hispanic",4.4365859,1
2017,4,7940,"White, Non-Hispanic",18.020342,1
2019,4,54050,All,18.267481,1
2017,4,65000,Other Races and Ethnicities,9.1918802,1
2018,4,12000,Hispanic,17.378273,1
2017,4,73000,All,30.468601,1
2018,4,65000,All,6.9803786,1
2017,4,77000,All,50.877552,1
2019,4,46000,All,25.422297,1
2018,4,71510,Other Races and Ethnicities,5.1207728,1
2017,4,85540,"Black, Non-Hispanic",60.583942,1
2019,4,77000,"White, Non-Hispanic",22.667622,1
2016,4,46000,Other Races and Ethnicities,45.575546,1
2017,4,27820,"Black, Non-Hispanic",47.797562,1
2019,4,54050,"White, Non-Hispanic",9.6758327,1
2016,4,46000,"White, Non-Hispanic",23.033386,1
2018,4,27820,"Black, Non-Hispanic",59.447414,1
2017,4,27820,"White, Non-Hispanic",14.148681,1
2018,4,7940,Hispanic,48.618092,1
2020,4,27400,"White, Non-Hispanic",0,1
2016,4,77000,"White, Non-Hispanic",28.400621,1
2019,4,4720,Hispanic,39.574566,1
2017,4,73000,"White, Non-Hispanic",11.782631,1
2016,4,85540,Hispanic,56.30209,1
2019,4,46000,"White, Non-Hispanic",12.422175,1
2016,4,12000,"White, Non-Hispanic",1.9247628,1
2017,4,4720,"White, Non-Hispanic",36.387012,1
2017,4,54050,"White, Non-Hispanic",9.6221466,1
2016,4,55000,Other Races and Ethnicities,42.913708,1
2019,4,71510,Other Races and Ethnicities,2.7202072,1
2016,4,12000,Other Races and Ethnicities,2.9907148,1
2017,4,85540,Hispanic,66.129875,1
2018,4,12000,All,7.4173403,1
2020,4,77000,"White, Non-Hispanic",16.387121,1
2018,4,23620,"White, Non-Hispanic",4.5853658,1
2018,4,4720,"White, Non-Hispanic",21.690351,1
2020,4,55000,"White, Non-Hispanic",6.9209476,1
2016,4,55000,"White, Non-Hispanic",23.447689,1
2016,4,55000,"Black, Non-Hispanic",58.578087,1
2017,4,77000,"White, Non-Hispanic",23.321894,1
2017,4,55000,"Black, Non-Hispanic",70.011078,1
2020,4,73000,All,12.429474,1
2018,4,23620,All,13.827468,1
2020,4,12000,Other Races and Ethnicities,.045754027,1
2017,4,54050,Hispanic,36.054134,1
2017,4,77000,Hispanic,65.674355,1
2017,4,7940,All,26.96825,1
2020,4,7940,Other Races and Ethnicities,3.8801906,1
2016,4,27400,"Black, Non-Hispanic",.94786727,1
2017,4,4720,Hispanic,46.524681,1
2017,4,28380,All,15.005812,1
2020,4,4720,Other Races and Ethnicities,3.1897926,1
2018,4,4720,Hispanic,41.483845,1
2020,4,23620,All,8.2104731,1
2017,4,65000,"Black, Non-Hispanic",10.446247,1
2016,4,71510,Other Races and Ethnicities,11.705508,1
2018,4,7940,All,39.132271,1
2017,4,27820,Other Races and Ethnicities,28.323353,1
2017,4,12000,All,7.410244,1
2018,4,85540,Hispanic,66.279808,1
2020,4,4720,All,10.569982,1
2016,4,28380,Hispanic,16.2843,1
2019,4,23620,Hispanic,14.945477,1
2016,4,54050,Other Races and Ethnicities,24.075319,1
2019,4,27820,"Black, Non-Hispanic",59.244534,1
2016,4,73000,"Black, Non-Hispanic",39.608269,1
2017,4,73000,Hispanic,40.697872,1
2018,4,77000,Hispanic,70.146263,1
2016,4,12000,"Black, Non-Hispanic",11.107905,1
2019,4,12000,All,6.3808279,1
2017,4,71510,Other Races and Ethnicities,7.6092544,1
2016,4,23620,All,22.093023,1
2018,4,27400,All,0,1
2020,4,65000,Other Races and Ethnicities,0,1
2018,4,27820,Hispanic,57.491676,1
2018,4,27820,All,43.165455,1
2017,4,55000,"White, Non-Hispanic",22.410282,1
2020,4,85540,Hispanic,28.781183,1
2019,4,65000,Other Races and Ethnicities,5.7663689,1
2019,4,7940,"Black, Non-Hispanic",42.693661,1
2019,4,27400,Hispanic,0,1
2020,4,27400,All,0,1
2018,4,28380,"Black, Non-Hispanic",14.416776,1
2019,4,27820,Other Races and Ethnicities,38.801991,1
2019,4,54050,Hispanic,35.025532,1
2017,4,55000,Hispanic,80.961609,1
2016,4,28380,All,10.98555,1
2019,4,85540,Other Races and Ethnicities,51.65929,1
2020,4,73000,Hispanic,16.433022,1
2017,4,55000,Other Races and Ethnicities,45.502213,1
2019,4,77000,"Black, Non-Hispanic",51.781029,1
2018,4,27400,Hispanic,0,1
2017,4,71510,"Black, Non-Hispanic",13.583441,1
2020,4,12000,All,.1564686,1
2016,4,73000,All,32.56699,1
2018,4,85540,All,61.93,1
2020,4,28380,Other Races and Ethnicities,1.0338886,1
2018,4,71510,All,6.2148027,1
2019,4,4720,"Black, Non-Hispanic",40.030289,1
2019,4,77000,Hispanic,62.826954,1
2018,4,73000,"White, Non-Hispanic",12.90981,1
2017,4,12000,"Black, Non-Hispanic",10.243468,1
2019,4,12000,"White, Non-Hispanic",2.5299215,1
2018,4,28380,Hispanic,11.785617,1
2018,4,65000,Hispanic,25.008726,1
2017,4,27400,All,0,1
2019,4,73000,"White, Non-Hispanic",7.0070958,1
2016,4,28380,"Black, Non-Hispanic",14.951456,1
2017,4,27400,"Black, Non-Hispanic",0,1
2019,4,65000,Hispanic,14.982103,1
2020,4,54050,Other Races and Ethnicities,6.2643237,1
2020,4,77000,Hispanic,48.399147,1
2018,4,73000,All,28.958256,1
2016,4,77000,Hispanic,70.462013,1
2020,4,27820,All,14.488159,1
2019,4,4720,All,36.381092,1
2019,4,71510,"White, Non-Hispanic",1.3806989,1
2019,4,73000,Other Races and Ethnicities,20.384335,1
2017,4,23620,Hispanic,21.488947,1
2018,4,77000,All,55.744823,1
2016,4,65000,Hispanic,34.479092,1
2020,4,71510,"Black, Non-Hispanic",5.7304788,1
2017,4,28380,"Black, Non-Hispanic",21,1
2017,4,77000,Other Races and Ethnicities,44.48074,1
2020,4,65000,"White, Non-Hispanic",0,1
2018,4,46000,"Black, Non-Hispanic",39.824188,1
2017,4,12000,Hispanic,17.108494,1
2016,4,55000,All,58.528126,1
2017,4,28380,"White, Non-Hispanic",8.3506641,1
2018,4,4720,All,37.673206,1
2017,4,54050,Other Races and Ethnicities,12.791392,1
2018,4,77000,Other Races and Ethnicities,48.040806,1
2016,4,73000,"White, Non-Hispanic",16.319002,1
2017,4,23620,Other Races and Ethnicities,26.864767,1
2019,4,65000,"Black, Non-Hispanic",10.402355,1
2016,4,46000,All,41.841812,1
2016,4,71510,"Black, Non-Hispanic",17.451349,1
2017,4,54050,All,18.620432,1
2016,4,65000,All,10.198349,1
2018,4,55000,Hispanic,81.112404,1
2020,4,73000,"White, Non-Hispanic",3.7514529,1
2017,4,4720,Other Races and Ethnicities,31.234043,1
2019,4,73000,All,18.533102,1
2020,4,54050,"White, Non-Hispanic",5.093224,1
2020,4,85540,"White, Non-Hispanic",13.846154,1
2017,4,28380,Other Races and Ethnicities,8.3920565,1
2020,4,71510,Hispanic,7.1276093,1
2020,4,71510,Other Races and Ethnicities,2.0381036,1
2018,4,73000,Other Races and Ethnicities,32.087799,1
2016,4,27400,Hispanic,2.0686274,1
2016,4,46000,"Black, Non-Hispanic",52.327221,1
2016,4,71510,Hispanic,18.4161,1
2018,4,12000,"White, Non-Hispanic",2.0168893,1
2020,4,46000,Other Races and Ethnicities,14.486403,1
2017,4,4720,All,44.10556,1
2018,4,27400,"Black, Non-Hispanic",0,1
2020,4,46000,"White, Non-Hispanic",3.4149175,1
2018,4,46000,Other Races and Ethnicities,30.38961,1
2017,4,7940,Other Races and Ethnicities,22.876448,1
2018,4,55000,All,63.288761,1
2020,4,23620,Hispanic,10.358565,1
2019,4,4720,Other Races and Ethnicities,28.138847,1
2016,4,85540,"Black, Non-Hispanic",56.25,1
2017,4,27400,Other Races and Ethnicities,0,1
2019,4,23620,All,11.159616,1
2018,4,7940,"Black, Non-Hispanic",43.404636,1
2019,4,27400,"White, Non-Hispanic",0,1
2017,4,12000,"White, Non-Hispanic",2.425107,1
2016,4,27400,Other Races and Ethnicities,1.1674718,1
2019,4,54050,Other Races and Ethnicities,11.87916,1
2020,4,28380,Hispanic,4.067286,1
2018,4,54050,"Black, Non-Hispanic",46.501766,1
2019,4,46000,Other Races and Ethnicities,26.701174,1
2018,4,85540,"White, Non-Hispanic",43.745922,1
2020,4,77000,All,38.06929,1
2020,4,55000,All,32.848907,1
2020,4,12000,"White, Non-Hispanic",.11919478,1
2017,4,27820,All,32.999886,1
2017,4,55000,All,63.487896,1
2018,4,77000,"White, Non-Hispanic",27.373787,1
2016,4,28380,Other Races and Ethnicities,5.7567916,1
2018,4,27820,"White, Non-Hispanic",22.490633,1
2019,4,85540,"Black, Non-Hispanic",55.308643,1
2019,4,28380,"Black, Non-Hispanic",4.6734953,1
2020,4,55000,"Black, Non-Hispanic",38.689106,1
2020,4,28380,"White, Non-Hispanic",.50259149,1
2016,4,27400,"White, Non-Hispanic",.80202252,1
2020,4,12000,Hispanic,.29992944,1
2020,4,77000,"Black, Non-Hispanic",48.793774,1
2020,4,71510,All,3.5607374,1
2018,4,55000,"White, Non-Hispanic",21.743282,1
2020,4,27820,Other Races and Ethnicities,11.263625,1
2019,4,27820,Hispanic,61.792,1
2019,4,27820,"White, Non-Hispanic",20.191547,1
2018,4,85540,"Black, Non-Hispanic",62.439026,1
2016,4,27820,All,48.045124,1
2019,4,7940,All,39.589127,1
2019,4,46000,Hispanic,39.252037,1
2019,4,55000,Other Races and Ethnicities,41.908413,1
2020,4,46000,"Black, Non-Hispanic",18.050913,1
2020,4,4720,"White, Non-Hispanic",6.5552135,1
2017,4,71510,"White, Non-Hispanic",5.4126196,1
2019,4,12000,"Black, Non-Hispanic",11.071132,1
2019,4,23620,Other Races and Ethnicities,21.285501,1
2017,4,27400,Hispanic,0,1
2019,4,28380,Hispanic,4.4905663,1
2018,4,55000,Other Races and Ethnicities,44.690514,1
2018,4,54050,Other Races and Ethnicities,17.925844,1
2018,4,54050,Hispanic,53.13068,1
2016,4,28380,"White, Non-Hispanic",5.7973266,1
2020,4,54050,All,10.211003,1
2017,4,65000,"White, Non-Hispanic",1.6630059,1
2016,4,77000,"Black, Non-Hispanic",63.742905,1
2019,4,85540,All,55.544697,1
2020,4,85540,"Black, Non-Hispanic",29.461756,1
2020,4,7940,"Black, Non-Hispanic",5.726141,1
2019,4,7940,"White, Non-Hispanic",27.449312,1
2018,4,12000,Other Races and Ethnicities,2.9123356,1
2016,4,77000,All,55.556438,1
2018,4,73000,"Black, Non-Hispanic",40.895813,1
2019,4,71510,"Black, Non-Hispanic",6.0050569,1
2019,4,4720,"White, Non-Hispanic",21.732523,1
2020,4,27400,Hispanic,0,1
2020,4,85540,All,26.242498,1
2016,4,23620,"Black, Non-Hispanic",24.489796,1
2020,4,12000,"Black, Non-Hispanic",.053475935,1
2016,4,7940,Other Races and Ethnicities,21.95122,1
2020,4,28380,"Black, Non-Hispanic",4.2475729,1
2018,4,4720,"Black, Non-Hispanic",40.436325,1
2020,4,65000,Hispanic,0,1
2018,4,28380,All,8.0992622,1
2017,4,46000,"White, Non-Hispanic",19.248178,1
2017,4,12000,Other Races and Ethnicities,3.1794872,1
2020,4,27820,"White, Non-Hispanic",6.1124454,1
2020,4,27820,Hispanic,19.519299,1
2017,4,54050,"Black, Non-Hispanic",29.893238,1
2016,4,4720,Other Races and Ethnicities,54.101078,1
2017,4,7940,"Black, Non-Hispanic",26.467932,1
2016,4,71510,"White, Non-Hispanic",8.2153597,1
2016,5,66080,"Black, Non-Hispanic",67.87072,1
2019,5,23290,Other Races and Ethnicities,13.128283,1
2017,5,35710,Hispanic,71.584305,1
2020,5,41000,All,47.576111,1
2019,5,41000,Hispanic,66.256348,1
2020,5,24550,"White, Non-Hispanic",40.443314,1
2017,5,41000,Other Races and Ethnicities,45.13179,1
2019,5,24550,Other Races and Ethnicities,57.336342,1
2017,5,41000,All,61.092651,1
2016,5,35710,"Black, Non-Hispanic",97.250862,1
2017,5,66080,"White, Non-Hispanic",34.717079,1
2020,5,66080,"Black, Non-Hispanic",65.631065,1
